C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:13:43

dec >=0&rah >=13.5&rah< 13.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3219

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |BD+84 315                                                                                                |Star                                |13 34 28.6248497184 +84 00 45.490875768|121.6013544205791 +33.0040355346638|  11.019 -1.520   |10.44    |G5              |    ~     ~    |    1|  833.959   pc  |  -7.7199     +7.7199  |paral   |2020yCat.1350....0G
24  |BD+86 200                                                                                                |High Proper Motion Star             |13 44 19.3455661968 +86 03 22.204270764|121.8808023230184 +30.9636146502783| -61.356 24.683   |10.50    |G2V:            |    ~     ~    |    1|  190.934   pc  |  -0.4521     +0.4521  |paral   |2020yCat.1350....0G
25  |TYC 4637-899-1                                                                                           |Star                                |13 34 29.7395798016 +85 03 22.317510924|121.8446297360473 +31.9808435035440|    4.383 6.204   |10.89    |~               |    ~     ~    |    1|  418.200   pc  |  -1.7839     +1.7839  |paral   |2020yCat.1350....0G
26  |BD+84 316                                                                                                |Star                                |13 41 10.5948842184 +83 25 29.332433028|121.2367928626573 +33.5389517039993| -16.825 -4.098   |10.69    |F5              |    ~     ~    |    1|  298.766   pc  |  -0.9462     +0.9462  |paral   |2020yCat.1350....0G
27  |BD+83 390                                                                                                |Star                                |13 30 16.8619156416 +82 29 37.517565948|121.3994803219901 +34.5185763876180| 23.345 -37.946   |10.14    |F8              |    ~     ~    |    1|  240.593   pc  |  -1.1751     +1.1751  |paral   |2020yCat.1350....0G
28  |BD+83 394                                                                                                |Star                                |13 38 08.2461396408 +82 38 06.643240872|121.1319087007315 +34.3291580830515| 10.776 -29.160   |9.59     |K2              |    ~     ~    |    1|  335.312   pc  |  -1.2705     +1.2705  |paral   |2020yCat.1350....0G
29  |BD+83 395                                                                                                |Star                                |13 37 50.7776222976 +82 57 43.802288136|121.2284380389522 +34.0119415617979| -34.563 15.199   |10.65    |G5              |    ~     ~    |    1|  197.507   pc  |  -0.3745     +0.3745  |paral   |2020yCat.1350....0G
30  |BD+83 396                                                                                                |Star                                |13 40 03.2300400888 +82 44 49.902454752|121.0901382413988 +34.2063953003968|  -22.548 1.509   |10.17    |F5              |    ~     ~    |    1|  303.122   pc  | -17.4578    +17.4578  |paral   |2020yCat.1350....0G
31  |HD 120565                                                                                                |High Proper Motion Star             |13 42 23.1834269472 +82 45 08.710304796|121.0050536620698 +34.1842478141406| 29.995 -43.734   |5.913    |G9III           |    ~     ~    |    1|  113.496   pc  |  -0.4689     +0.4689  |paral   |2020yCat.1350....0G
32  |BD+82 396                                                                                                |Star                                |13 30 02.9648978904 +81 51 38.721378384|121.2683043800672 +35.1424000913242|  -8.726 -3.717   |10.60    |K0              |    ~     ~    |    1|  839.278   pc  |  -8.8048     +8.8048  |paral   |2020yCat.1350....0G
33  |HD 118478                                                                                                |Star                                |13 30 50.9009821248 +81 59 38.065082928|121.2645892805211 +35.0063610878047|   3.828 -5.070   |9.14     |~               |    ~     ~    |    1| 1698.658   pc  | -87.7174    +87.7174  |paral   |2020yCat.1350....0G
34  |BD+82 398                                                                                                |Star                                |13 32 16.4640564888 +81 58 32.499135516|121.2007843971171 +35.0148360856742| 14.360 -25.442   |10.66    |G5              |    ~     ~    |    1|  167.971   pc  |  -0.3837     +0.3837  |paral   |2020yCat.1350....0G
35  |BD+82 400                                                                                                |Star                                |13 36 18.2276979528 +81 47 53.997003708|120.9868180681513 +35.1597851565983| -17.688 -4.533   |9.32     |~               |    ~     ~    |    1|  605.180   pc  |  -4.1019     +4.1019  |paral   |2020yCat.1350....0G
36  |BD+82 399                                                                                                |Star                                |13 34 14.3774429208 +81 21 29.950666884|120.9655143751622 +35.6058992749602|  -9.932 19.463   |10.15    |F5              |    ~     ~    |    1|  275.854   pc  |  -0.8675     +0.8675  |paral   |2020yCat.1350....0G
37  |BD+82 401                                                                                                |Star                                |13 37 00.4813472688 +81 22 11.291480148|120.8435242213812 +35.5728792926654|    0.231 8.388   |10.50    |F0              |    ~     ~    |    1|  373.804   pc  |  -1.7187     +1.7187  |paral   |2020yCat.1350....0G
38  |BD+82 402                                                                                                |Star                                |13 40 15.6158078256 +81 42 08.906229468|120.7915254226421 +35.2218970284148| -0.821 -10.072   |9.83     |A2              |    ~     ~    |    1|  587.027   pc  | -17.4368    +17.4368  |paral   |2020yCat.1350....0G
39  |BD+82 403                                                                                                |Star                                |13 43 26.4791449248 +81 32 47.604052248|120.6082553776819 +35.3457763808214|    -35.7 -14.6   |10.745   |G5              |    ~     ~    |    0|                |                       |        |                   
40  |BD+81 437                                                                                                |Star                                |13 33 23.3523558216 +80 59 05.252893224|120.9120244967123 +35.9783294898447|  -32.715 2.285   |10.48    |F5              |    ~     ~    |    1|  273.860   pc  |  -1.0575     +1.0575  |paral   |2020yCat.1350....0G
41  |BD+81 441                                                                                                |Star                                |13 38 35.7225915768 +81 02 13.399857924|120.6803107842375 +35.8840828642591|  -1.598 -0.451   |9.23     |K5              |    ~     ~    |    1|  671.862   pc  |  -6.0939     +6.0939  |paral   |2020yCat.1350....0G
42  |BD+81 442                                                                                                |Star                                |13 39 31.7873387184 +81 11 58.672246884|120.6823750341044 +35.7175633232198| 16.346 -12.504   |10.31    |A5              |    ~     ~    |    1|  400.160   pc  |  -7.5901     +7.5901  |paral   |2020yCat.1350....0G
43  |HD 119961                                                                                                |Star                                |13 40 18.6376807440 +81 03 22.463351064|120.6055429499098 +35.8501628264625|  18.123 -7.436   |7.79     |K2              |    ~     ~    |    1|  481.788   pc  |  -3.8532     +3.8532  |paral   |2020yCat.1350....0G
44  |BD+81 444                                                                                                |Double or Multiple Star             |13 40 38.33274 +81 10 51.0127          |120.62613651 +35.72604244          |  -41.19 -22.16   |9.53     |F8              |    ~     ~    |    0|                |                       |        |                   
45  |BD+81 445                                                                                                |Star                                |13 41 21.5205452568 +81 03 41.147494632|120.5582156464737 +35.8355561064826|  13.941 15.982   |10.47    |G5              |    ~     ~    |    1|  251.338   pc  |  -1.0171     +1.0171  |paral   |2020yCat.1350....0G
46  |HD 120363                                                                                                |Star                                |13 42 52.5343723872 +80 43 25.839418440|120.3855532690824 +36.1486849490917|  -26.481 3.901   |8.96     |K0              |    ~     ~    |    1|  287.497   pc  |  -1.3886     +1.3886  |paral   |2020yCat.1350....0G
47  |TYC 4564-1162-1                                                                                          |Star                                |13 37 32.4666100272 +81 00 20.630245032|120.7212397369296 +35.9237582073628|  -26.054 2.322   |10.66    |~               |    ~     ~    |    1|  260.335   pc  |  -0.7726     +0.7726  |paral   |2020yCat.1350....0G
48  |TYC 4564-1214-1                                                                                          |Star                                |13 40 58.7315090160 +80 59 15.261946080|120.5544265257772 +35.9108216031143|  -6.098 10.726   |10.95    |~               |    ~     ~    |    1|  194.871   pc  |  -0.4595     +0.4595  |paral   |2020yCat.1350....0G
49  |TYC 4633-772-1                                                                                           |Star                                |13 34 15.4584204480 +82 41 28.180952664|121.2927300209447 +34.3003159473709|   -1.791 0.175   |10.97    |~               |    ~     ~    |    1|  290.309   pc  |  -0.8681     +0.8681  |paral   |2020yCat.1350....0G
50  |BD+83 391                                                                                                |Star                                |13 30 01.1121179208 +83 06 59.535004464|121.5455155802058 +33.9075592348218| -32.199 16.602   |10.42    |F5              |    ~     ~    |    1|  201.353   pc  |  -4.6989     +4.6989  |paral   |2020yCat.1350....0G
51  |BD+83 393                                                                                                |Star                                |13 36 02.8926208248 +83 13 24.177707004|121.3586442875562 +33.7680716775873| -32.792 -0.852   |10.57    |F0              |    ~     ~    |    1|  339.018   pc  |  -1.3792     +1.3792  |paral   |2020yCat.1350....0G
52  |TYC 4633-416-1                                                                                           |Star                                |13 32 10.1951252616 +83 16 08.932560816|121.5039769832521 +33.7458103531962| 28.149 -28.398   |10.80    |~               |    ~     ~    |    1|  115.805   pc  |  -0.1381     +0.1381  |paral   |2020yCat.1350....0G
53  |BD+81 436                                                                                                |Star                                |13 33 23.0795469648 +80 47 32.075164752|120.8644980044646 +36.1670081548231|  25.020 -6.252   |9.61     |F2              |    ~     ~    |    1|  357.424   pc  |  -1.4564     +1.4564  |paral   |2020yCat.1350....0G
54  |BD+81 446                                                                                                |Star                                |13 42 33.8882708208 +80 24 08.392012488|120.3031069250505 +36.4635160319435|   -3.339 2.340   |10.61    |F2              |    ~     ~    |    1|  524.356   pc  |  -3.7943     +3.7943  |paral   |2020yCat.1350....0G
55  |BD+81 448                                                                                                |Star                                |13 44 25.4183028720 +80 34 25.422960972|120.2637161732781 +36.2783997172230|  -8.396 -3.831   |9.75     |K0              |    ~     ~    |    1|  670.826   pc  |  -5.2201     +5.2201  |paral   |2020yCat.1350....0G
56  |BD+81 432                                                                                                |Star                                |13 30 19.2218026992 +80 16 48.087480036|120.8945549472167 +36.6939218129894|   -4.980 5.221   |9.45     |~               |    ~     ~    |    1| 1183.992   pc  | -28.1769    +28.1769  |paral   |2020yCat.1350....0G
57  |BD+81 433                                                                                                |High Proper Motion Star             |13 30 15.3907711704 +80 17 49.557294708|120.9018399995518 +36.6776529861549|-59.823 -28.197   |9.50     |F8              |    ~     ~    |    1|  262.185   pc  |  -0.8730     +0.8730  |paral   |2020yCat.1350....0G
58  |HD 118612                                                                                                |Star                                |13 32 41.2323931248 +80 19 23.729356056|120.7830268681162 +36.6322655882888|  -20.685 8.705   |8.81     |K0              |    ~     ~    |    1|  378.115   pc  |  -1.9301     +1.9301  |paral   |2020yCat.1350....0G
59  |BD+81 438                                                                                                |Star                                |13 34 09.4124550384 +80 21 59.072893560|120.7187019872530 +36.5775587883992|  16.303 -6.113   |10.72    |F0              |    ~     ~    |    1|  395.132   pc  |  -2.0609     +2.0609  |paral   |2020yCat.1350....0G
60  |HD 119368                                                                                                |High Proper Motion Star             |13 37 13.4244084192 +80 29 05.840333628|120.5950047295770 +36.4346271920512| -59.491 19.686   |8.93     |F5              |    ~     ~    |    1|  120.544   pc  |  -0.1904     +0.1904  |paral   |2020yCat.1350....0G
61  |HD 120103                                                                                                |Star                                |13 41 39.8542161264 +80 12 13.369660740|120.2888105601652 +36.6653945578225|  -26.841 7.595   |7.070    |K5              |    ~     ~    |    1|  435.616   pc  |  -3.6055     +3.6055  |paral   |2020yCat.1350....0G
62  |BD+80 415                                                                                                |Star                                |13 36 22.9779083568 +79 24 22.108514004|120.3440561365584 +37.4952791774912|   3.076 -7.164   |10.00    |G0              |    ~     ~    |    1|  369.276   pc  |  -1.7046     +1.7046  |paral   |2020yCat.1350....0G
63  |HD 119197                                                                                                |High Proper Motion Star             |13 36 45.6617683056 +79 21 13.667464332|120.3081408880699 +37.5425223583254| -60.732 14.458   |7.46     |K5              |    ~     ~    |    1|  322.279   pc  |  -3.4483     +3.4483  |paral   |2020yCat.1350....0G
64  |BD+79 427                                                                                                |Star                                |13 40 01.9133602152 +78 39 13.430424132|119.9124019823565 +38.1881177037515|  13.337 -2.275   |10.46    |K0              |    ~     ~    |    1|  700.673   pc  |  -6.3822     +6.3822  |paral   |2020yCat.1350....0G
