C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:53:16

dec >=0&rah >=5.5&rah< 5.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6861

 #  |                                                                                  identifier                                                                                   |              typ               |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
914 |TYC 4528-1130-1                                                                                                                                                                |Star                            |05 40 40.3324307232 +76 57 26.660304252|136.3920956635525 +22.5310897130911|   2.364 -5.599   |10.94    |~                 |    ~     ~          |    1|  256.891   pc  |  -0.7985     +0.7985  |paral   |2020yCat.1350....0G
915 |TYC 4528-1132-1                                                                                                                                                                |Star                            |05 39 11.2037717256 +77 08 56.202242316|136.1660090178409 +22.5311892581188|  -1.226 -8.808   |10.99    |~                 |    ~     ~          |    1|  417.240   pc  |  -2.2458     +2.2458  |paral   |2020yCat.1350....0G
916 |TYC 4528-1292-1                                                                                                                                                                |Star                            |05 43 26.5398540480 +77 05 22.254522324|136.3262502574723 +22.7258751544554|  -6.170 30.344   |10.65    |~                 |    ~     ~          |    1|  181.848   pc  |  -0.4233     +0.4233  |paral   |2020yCat.1350....0G
917 |TYC 4528-1788-1                                                                                                                                                                |Star                            |05 34 39.4770988104 +77 17 29.191075008|135.9144733997793 +22.3609580299335|    0.340 2.299   |10.87    |~                 |    ~     ~          |    1|  444.800   pc  | -10.7827    +10.7827  |paral   |2020yCat.1350....0G
918 |TYC 4528-1990-1                                                                                                                                                                |Star                            |05 31 54.3457857024 +77 32 40.677854604|135.5979308562966 +22.3317567093946| 14.679 -37.508   |10.80    |~                 |    ~     ~          |    1|  210.451   pc  |  -0.5138     +0.5138  |paral   |2020yCat.1350....0G
919 |TYC 4528-1991-1                                                                                                                                                                |Star                            |05 31 41.2460808312 +77 40 33.886054992|135.4639429498112 +22.3771393426903|  5.324 -21.698   |10.84    |~                 |    ~     ~          |    1|  684.932   pc  |  -5.4419     +5.4419  |paral   |2020yCat.1350....0G
920 |TYC 4528-2053-1                                                                                                                                                                |Star                            |05 43 04.1665808496 +77 35 52.143023904|135.8086857845387 +22.9024799281075|   11.044 8.809   |10.26    |~                 |    ~     ~          |    1|  365.203   pc  |  -1.6538     +1.6538  |paral   |2020yCat.1350....0G
921 |TYC 4524-111-1                                                                                                                                                                 |Star                            |05 35 03.6509760648 +75 11 19.145390208|137.9799461931656 +21.4942325121649|  4.318 -17.559   |10.48    |F0                |    ~     ~          |    1|  475.851   pc  |  -7.1553     +7.1553  |paral   |2020yCat.1350....0G
922 |AG+75 239                                                                                                                                                                      |Spectroscopic Binary            |05 37 23.9513018688 +75 14 07.496414628|138.0023204847411 +21.6492087354148|  -1.102 -4.336   |10.92    |G5                |    ~     ~          |    1|  898.957   pc  | -15.4352    +15.4352  |paral   |2020yCat.1350....0G
923 |HD 36209                                                                                                                                                                       |Star                            |05 38 38.7803983992 +75 13 11.452266696|138.0532018330441 +21.7149885443958|  3.112 -32.928   |8.92     |F0                |    ~     ~          |    1|  200.469   pc  |  -0.5908     +0.5908  |paral   |2020yCat.1350....0G
924 |HD 36495                                                                                                                                                                       |Star                            |05 40 30.2105713896 +75 19 40.121751972|137.9994018417575 +21.8669417482924|   5.726 -0.483   |8.22     |K5                |    ~     ~          |    1|  625.861   pc  |  -5.9539     +5.9539  |paral   |2020yCat.1350....0G
925 |TYC 4524-1308-1                                                                                                                                                                |Star                            |05 41 11.1200252064 +75 41 22.140502836|137.6614114439740 +22.0523153307070|   0.370 -1.069   |10.34    |K2                |    ~     ~          |    1| 1991.635   pc  | -57.5159    +57.5159  |paral   |2020yCat.1350....0G
926 |TYC 4524-948-1                                                                                                                                                                 |Star                            |05 41 47.6415159312 +75 42 09.008341416|137.6648201704300 +22.0919768319526|   0.210 -0.403   |10.47    |K0                |    ~     ~          |    1|  822.436   pc  |  -8.0492     +8.0492  |paral   |2020yCat.1350....0G
927 |BD+75 231                                                                                                                                                                      |Star                            |05 43 13.3959865416 +75 11 48.383066580|138.2037346220546 +21.9725655626181| -3.583 -10.988   |9.76     |M0                |    ~     ~          |    1|  981.451   pc  | -19.5539    +19.5539  |paral   |2020yCat.1350....0G
928 |BD+75 232                                                                                                                                                                      |Star                            |05 43 43.4990819208 +75 27 41.914909476|137.9549174400967 +22.1066281762583|   8.094 -9.061   |10.42    |F8                |    ~     ~          |    1|  248.219   pc  |  -1.1583     +1.1583  |paral   |2020yCat.1350....0G
929 |HD 35277                                                                                                                                                                       |Star                            |05 31 30.4260429768 +74 24 40.376271024|138.6212810596657 +20.9454067131750|  -2.223 -7.262   |9.25     |A0                |    ~     ~          |    1|  657.289   pc  | -22.3359    +22.3359  |paral   |2020yCat.1350....0G
930 |BD+74 245                                                                                                                                                                      |Star                            |05 33 40.3499624232 +75 04 27.740745768|138.0495450953474 +21.3646393054681|   8.686 -3.515   |9.09     |K0                |    ~     ~          |    1|  667.200   pc  |  -8.0128     +8.0128  |paral   |2020yCat.1350....0G
931 |TYC 4355-112-1                                                                                                                                                                 |Star                            |05 34 13.9229464056 +74 56 48.089125572|138.1899451640992 +21.3419951085499|   -0.507 4.341   |10.29    |A5                |    ~     ~          |    1|  555.833   pc  |  -5.0050     +5.0050  |paral   |2020yCat.1350....0G
932 |BD+74 246                                                                                                                                                                      |Star                            |05 35 03.0310978080 +74 07 11.087036760|139.0147521519548 +21.0331646005734|  17.436 15.591   |10.91    |G0                |    ~     ~          |    1|  312.441   pc  |  -6.6967     +6.6967  |paral   |2020yCat.1350....0G
933 |HD 36065                                                                                                                                                                       |High Proper Motion Star         |05 36 55.6604033424 +74 19 09.296836104|138.8804353556342 +21.2341442508090|35.660 -100.086   |7.00     |F0                |    ~     ~          |    1|   62.013   pc  |  -0.0623     +0.0623  |paral   |2020yCat.1350....0G
934 |BD+74 251                                                                                                                                                                      |Star                            |05 39 14.8182328896 +74 42 08.874978624|138.5769902375311 +21.5357927770640|    1.555 2.601   |9.83     |A2                |    ~     ~          |    1|  427.004   pc  |  -2.5891     +2.5891  |paral   |2020yCat.1350....0G
935 |HD 36384                                                                                                                                                                       |Variable Star                   |05 39 43.7067831648 +75 02 37.946264748|138.2565598877492 +21.7055292050890|  -6.701 26.589   |6.170    |M0III             |    ~     ~          |    1|  212.386   pc  |  -1.2495     +1.2495  |paral   |2020yCat.1350....0G
936 |HD 36482                                                                                                                                                                       |Star                            |05 39 57.6836046744 +74 36 28.678212036|138.6905046626220 +21.5396687454922|  -3.684 -1.129   |9.12     |A0                |    ~     ~          |    1|  503.170   pc  |  -4.1268     +4.1268  |paral   |2020yCat.1350....0G
937 |HD 36505                                                                                                                                                                       |Star                            |05 40 05.0600808216 +74 15 36.212382360|139.0344926850710 +21.4031634651387|   2.301 20.485   |8.21     |K0                |    ~     ~          |    1|  283.889   pc  |  -1.3540     +1.3540  |paral   |2020yCat.1350....0G
938 |BD+73 294A                                                                                                                                                                     |Star                            |05 40 15.3521486256 +74 00 35.088476688|139.2842362968843 +21.3099242754406|  5.556 -23.255   |9.19     |A5                |    ~     ~          |    1|  262.660   pc  |  -1.4419     +1.4419  |paral   |2020yCat.1350....0G
939 |BD+73 294B                                                                                                                                                                     |Star                            |05 40 14.0976581808 +74 00 43.664965020|139.2812681353823 +21.3096045827648|  5.350 -22.866   |10.80    |~                 |    ~     ~          |    1|  267.344   pc  |  -0.9077     +0.9077  |paral   |2020yCat.1350....0G
940 |BD+73 295                                                                                                                                                                      |Star                            |05 40 36.9429325896 +73 25 44.839451316|139.8616971484047 +21.0910405357669|    8.041 4.375   |8.73     |K0                |    ~     ~          |    1|  394.400   pc  |  -5.3821     +5.3821  |paral   |2020yCat.1350....0G
941 |BD+73 296                                                                                                                                                                      |Star                            |05 42 34.0482156624 +73 46 36.532011612|139.5830035557189 +21.3600590439946| 10.407 -29.434   |9.53     |F5                |    ~     ~          |    1|  219.916   pc  |  -0.5997     +0.5997  |paral   |2020yCat.1350....0G
942 |BD+73 297                                                                                                                                                                      |Star                            |05 42 32.4698060904 +73 31 24.785708736|139.8302390283848 +21.2547448151689|   1.192 -2.142   |8.97     |K5                |    ~     ~          |    1| 1209.336   pc  | -29.8349    +29.8349  |paral   |2020yCat.1350....0G
943 |TYC 4356-398-1                                                                                                                                                                 |Star                            |05 40 03.5677008696 +73 25 46.834323672|139.8433727719184 +21.0552510937931| -10.416 -1.286   |10.96    |~                 |    ~     ~          |    1|  292.295   pc  |  -1.3755     +1.3755  |paral   |2020yCat.1350....0G
944 |TYC 4352-45-1                                                                                                                                                                  |Star                            |05 36 44.2641098400 +73 04 41.934120240|140.0743189390235 +20.6890092008936|   -0.955 3.464   |10.27    |~                 |    ~     ~          |    1|  611.060   pc  |  -4.0327     +4.0327  |paral   |2020yCat.1350....0G
945 |TYC 4355-277-1                                                                                                                                                                 |High Proper Motion Star         |05 30 43.6219964376 +74 00 41.162686740|138.9784414082419 +20.7191087458595|47.683 -101.782   |10.15    |~                 |    ~     ~          |    1|  167.165   pc  |  -0.4862     +0.4862  |paral   |2020yCat.1350....0G
946 |TYC 4355-299-1                                                                                                                                                                 |Star                            |05 35 59.1127295592 +73 44 42.124003224|139.4064833729190 +20.9291842053259|   6.544 -4.750   |9.37     |~                 |    ~     ~          |    1|  568.828   pc  |  -4.9506     +4.9506  |paral   |2020yCat.1350....0G
947 |TYC 4355-344-1                                                                                                                                                                 |Spectroscopic Binary            |05 32 47.3725329408 +74 41 47.671540008|138.3874076601709 +21.1480852779658|  -8.656 -2.000   |10.44    |~                 |    ~     ~          |    1|  333.957   pc  |  -1.5725     +1.5725  |paral   |2020yCat.1350....0G
948 |TYC 4355-456-1                                                                                                                                                                 |Star                            |05 30 33.3226616160 +74 23 51.211381488|138.6037775563652 +20.8820749203203|   5.091 -8.866   |10.26    |~                 |    ~     ~          |    1|  632.751   pc  |  -5.2449     +5.2449  |paral   |2020yCat.1350....0G
949 |TYC 4355-513-1                                                                                                                                                                 |Spectroscopic Binary            |05 33 27.2025530616 +73 58 19.086171492|139.1057256555429 +20.8698694060740|   -4.378 2.074   |10.27    |~                 |    ~     ~          |    1| 1469.508   pc  | -35.6310    +35.6310  |paral   |2020yCat.1350....0G
950 |TYC 4355-958-1                                                                                                                                                                 |Spectroscopic Binary            |05 33 55.1036720160 +74 39 22.254860448|138.4613098984001 +21.1975304033025|  4.419 -44.345   |10.81    |~                 |    ~     ~          |    1|  109.181   pc  |  -1.3351     +1.3351  |paral   |2020yCat.1350....0G
951 |TYC 4355-1008-1                                                                                                                                                                |Star                            |05 35 59.1504203616 +74 29 39.223530384|138.6816806140389 +21.2516424446843|  -5.314 -3.665   |9.91     |~                 |    ~     ~          |    1|  555.926   pc  |  -3.4305     +3.4305  |paral   |2020yCat.1350....0G
952 |TYC 4355-1011-1                                                                                                                                                                |Star                            |05 30 32.6173125336 +73 59 15.912019104|138.9949642275310 +20.6971620859483|-10.835 -12.823   |10.74    |~                 |    ~     ~          |    1| 1172.883   pc  | -20.0846    +20.0846  |paral   |2020yCat.1350....0G
953 |TYC 4355-1050-1                                                                                                                                                                |Spectroscopic Binary            |05 31 31.7684133816 +74 06 06.808657464|138.9183679368663 +20.8089073044897| -3.176 -28.989   |10.74    |~                 |    ~     ~          |    1|  349.822   pc  |  -8.3705     +8.3705  |paral   |2020yCat.1350....0G
954 |TYC 4355-1358-1                                                                                                                                                                |Star                            |05 30 27.2783436360 +73 08 39.109783380|139.7948556749161 +20.3094761432477|  7.660 -11.489   |9.95     |~                 |    ~     ~          |    1|  352.983   pc  |  -1.4952     +1.4952  |paral   |2020yCat.1350....0G
955 |TYC 4356-23-1                                                                                                                                                                  |Star                            |05 38 02.3239958256 +74 31 31.842753780|138.7137318204836 +21.3890272443200|  -1.072 -3.439   |10.27    |~                 |    ~     ~          |    1|  856.971   pc  |  -8.8128     +8.8128  |paral   |2020yCat.1350....0G
956 |GSC 04356-00067                                                                                                                                                                |Double or Multiple Star         |05 37 02.773080 +74 40 50.16720        |138.532866951 +21.394755057        |      -6.6 21.2   |10.046   |~                 |    ~     ~          |    0|                |                       |        |                   
957 |TYC 4356-198-1                                                                                                                                                                 |Star                            |05 40 31.2413712072 +73 40 18.435055080|139.6222099258887 +21.1861014891630|   6.464 -3.367   |9.82     |~                 |    ~     ~          |    1|  587.130   pc  |  -4.0332     +4.0332  |paral   |2020yCat.1350....0G
958 |GSC 04356-00216                                                                                                                                                                |Double or Multiple Star         |05 43 23.1012847968 +73 27 15.052381992|139.9244696292287 +21.2811245249284| -1.709 -20.934   |10.708   |~                 |    ~     ~          |    1|  267.016   pc  |  -3.1870     +3.1870  |paral   |2020yCat.1350....0G
959 |TYC 4356-509-1                                                                                                                                                                 |Star                            |05 41 28.9899554136 +74 36 39.598424712|138.7320904124271 +21.6329878951396|   4.329 -9.651   |10.62    |~                 |    ~     ~          |    1| 1324.854   pc  | -24.5733    +24.5733  |paral   |2020yCat.1350....0G
960 |TYC 4356-537-1                                                                                                                                                                 |Star                            |05 37 02.4090730584 +74 47 09.427608816|138.4301500860309 +21.4389686108324|  -11.619 5.826   |10.58    |~                 |    ~     ~          |    1|  189.075   pc  |  -0.5648     +0.5648  |paral   |2020yCat.1350....0G
961 |TYC 4356-562-1                                                                                                                                                                 |Star                            |05 41 11.2350379416 +73 27 26.947137240|139.8522241588408 +21.1398691380734|    3.508 0.957   |10.84    |~                 |    ~     ~          |    1| 1885.014   pc  | -50.4566    +50.4566  |paral   |2020yCat.1350....0G
962 |TYC 4356-760-1                                                                                                                                                                 |Star                            |05 40 48.7939087200 +73 15 02.138589072|140.0418610147660 +21.0293548256135|  -2.247 -7.049   |10.80    |~                 |    ~     ~          |    1|  778.210   pc  |  -7.5701     +7.5701  |paral   |2020yCat.1350....0G
963 |TYC 4356-848-1                                                                                                                                                                 |Star                            |05 39 09.4926446880 +73 17 22.356575664|139.9503622033120 +20.9376799037316|   -2.735 0.301   |10.35    |~                 |    ~     ~          |    1| 1359.989   pc  | -27.3736    +27.3736  |paral   |2020yCat.1350....0G
964 |TYC 4356-849-1                                                                                                                                                                 |Star                            |05 39 16.5475489176 +74 19 29.089470396|138.9468659984328 +21.3803094840981| 11.521 -14.313   |10.87    |~                 |    ~     ~          |    1|  170.045   pc  |  -0.2920     +0.2920  |paral   |2020yCat.1350....0G
965 |TYC 4356-992-1                                                                                                                                                                 |Star                            |05 36 17.8326364992 +74 15 36.057853188|138.9183271862588 +21.1702537567367|  -5.428 -5.501   |9.91     |~                 |    ~     ~          |    1|  358.809   pc  |  -2.7165     +2.7165  |paral   |2020yCat.1350....0G
966 |TYC 4356-1050-1                                                                                                                                                                |Star                            |05 38 23.4941166288 +74 35 51.068114916|138.6541199083537 +21.4405689074118|   -5.300 8.974   |10.81    |~                 |    ~     ~          |    1|  267.795   pc  |  -0.8893     +0.8893  |paral   |2020yCat.1350....0G
967 |TYC 4356-1073-1                                                                                                                                                                |High Proper Motion Star         |05 42 41.1501376680 +74 12 47.501766468|139.1582833042880 +21.5450885991690| 50.288 -41.212   |10.05    |~                 |    ~     ~          |    1|  100.474   pc  |  -0.1262     +0.1262  |paral   |2020yCat.1350....0G
968 |TYC 4356-1091-1                                                                                                                                                                |Star                            |05 38 26.8573666392 +74 15 01.646354952|138.9940625903395 +21.2982722358664| 13.429 -38.930   |10.85    |~                 |    ~     ~          |    1|  400.705   pc  |  -1.9589     +1.9589  |paral   |2020yCat.1350....0G
969 |TYC 4356-1139-1                                                                                                                                                                |Spectroscopic Binary            |05 44 57.4205217576 +74 23 44.198113740|139.0447037876577 +21.7589211476351|  -16.062 0.690   |10.82    |~                 |    ~     ~          |    1|  234.241   pc  |  -5.2180     +5.2180  |paral   |2020yCat.1350....0G
970 |TYC 4356-1239-1                                                                                                                                                                |Star                            |05 38 05.2823810448 +73 46 03.144158400|139.4522067111496 +21.0716928625971|  28.227 17.131   |10.70    |~                 |    ~     ~          |    1|  218.379   pc  |  -0.9776     +0.9776  |paral   |2020yCat.1350....0G
971 |TYC 4356-1282-1                                                                                                                                                                |Star                            |05 39 00.4627740432 +74 18 54.650839284|138.9480725997099 +21.3598562024142|-21.209 -11.988   |10.21    |~                 |    ~     ~          |    1|  206.988   pc  |  -0.5355     +0.5355  |paral   |2020yCat.1350....0G
972 |TYC 4524-158-1                                                                                                                                                                 |Star                            |05 37 44.8494660960 +75 05 00.987409968|138.1606634202529 +21.6058893497321|  -7.279 -4.307   |10.55    |~                 |    ~     ~          |    1|  392.711   pc  |  -2.0666     +2.0666  |paral   |2020yCat.1350....0G
973 |BD+74 255                                                                                                                                                                      |Star                            |05 41 30.0628542648 +74 41 21.062868936|138.6557849595049 +21.6659149587948|    1.443 0.762   |9.44     |M1/2              |    ~     ~          |    1|  732.923   pc  |  -7.6816     +7.6816  |paral   |2020yCat.1350....0G
974 |HD 35362                                                                                                                                                                       |Star                            |05 30 58.0712151408 +71 55 27.553681452|140.9683339820320 +19.7856766292639|   9.690 -8.797   |7.39     |K0                |    ~     ~          |    1|  180.858   pc  |  -0.5888     +0.5888  |paral   |2020yCat.1350....0G
975 |HD 35598                                                                                                                                                                       |Double or Multiple Star         |05 32 14.34588 +70 48 54.6869          |142.06306773 +19.36547292          |   -3.94 -56.93   |9.15     |G5                |    ~     ~          |    0|                |                       |        |                   
976 |IRAS 05267+7102                                                                                                                                                                |Star                            |05 32 33.7232545056 +71 04 25.098506976|141.8324831370280 +19.5076288178977|    6.923 6.596   |10.00    |~                 |    ~     ~          |    1| 1170.823   pc  | -20.9736    +20.9736  |paral   |2020yCat.1350....0G
977 |BD+72 280                                                                                                                                                                      |Star                            |05 37 57.5705170416 +72 27 34.651394316|140.7119824699660 +20.5028268590635|   2.234 -5.817   |10.00    |K2                |    ~     ~          |    1| 1226.091   pc  | -26.3077    +26.3077  |paral   |2020yCat.1350....0G
978 |HD 36614                                                                                                                                                                       |Pulsating Variable              |05 39 51.7512953016 +72 10 37.634276568|141.0506253059263 +20.5119481993089|  9.114 -22.362   |7.93     |A2                |    ~     ~          |    1|  248.719   pc  |  -1.3857     +1.3857  |paral   |2020yCat.1350....0G
979 |HD 37094                                                                                                                                                                       |Star                            |05 42 56.4459809352 +72 18 05.395942440|141.0357186509136 +20.7772420040969| -1.133 -26.833   |8.15     |F5                |    ~     ~          |    1|  169.970   pc  |  -0.8869     +0.8869  |paral   |2020yCat.1350....0G
980 |BD+71 308                                                                                                                                                                      |High Proper Motion Star         |05 31 26.0686546488 +72 04 50.830225644|140.8380694346396 +19.8894357619993|  -68.549 2.678   |9.02     |G0                |    ~     ~          |    1|  113.244   pc  |  -0.1706     +0.1706  |paral   |2020yCat.1350....0G
981 |V* RR Cam                                                                                                                                                                      |Mira Variable                   |05 35 27.1675180536 +72 27 57.597404040|140.6178761936641 +20.3357324313323|    1.550 3.313   |10.30    |M5                |    ~     ~          |    1| 1009.897   pc  | -38.8579    +38.8579  |paral   |2020yCat.1350....0G
982 |BD+71 310                                                                                                                                                                      |Star                            |05 33 48.0682746000 +71 53 08.528015112|141.1112896839185 +19.9640479547781|  -7.035 -2.648   |10.38    |A5                |    ~     ~          |    1|  362.253   pc  |  -2.7820     +2.7820  |paral   |2020yCat.1350....0G
983 |HD 36357                                                                                                                                                                       |Star                            |05 37 52.1346365640 +71 39 15.735360204|141.4821678541271 +20.1466438742185|  9.040 -44.385   |6.63     |G5                |    ~     ~          |    1|  207.689   pc  |  -1.7211     +1.7211  |paral   |2020yCat.1350....0G
984 |HD 36990                                                                                                                                                                       |Star                            |05 42 00.7056367392 +71 38 44.749946256|141.6397564102744 +20.4374035631094|   -1.640 2.478   |8.09     |A2                |    ~     ~          |    1|  240.790   pc  |  -1.9539     +1.9539  |paral   |2020yCat.1350....0G
985 |BD+71 314B                                                                                                                                                                     |Star                            |05 42 02.4388899096 +71 38 37.728677760|141.6426677214942 +20.4386420053747|   -1.841 2.667   |9.90     |~                 |    ~     ~          |    1|  241.121   pc  |  -1.1337     +1.1337  |paral   |2020yCat.1350....0G
986 |BD+71 315                                                                                                                                                                      |Star                            |05 42 37.1089353936 +71 17 06.979667640|142.0101094830913 +20.3289753378312|  5.226 -15.872   |8.36     |K0                |    ~     ~          |    1|  322.539   pc  |  -1.9974     +1.9974  |paral   |2020yCat.1350....0G
987 |HD 37228                                                                                                                                                                       |Star                            |05 43 42.7369820496 +71 41 05.513481348|141.6616786190255 +20.5752130985967| -15.538 -1.055   |8.86     |A5                |    ~     ~          |    1|  171.550   pc  |  -0.5062     +0.5062  |paral   |2020yCat.1350....0G
988 |HD 35894                                                                                                                                                                       |Star                            |05 34 14.0849898960 +70 29 15.590408604|142.4519238155446 +19.3624156736955|  3.527 -19.787   |9.28     |A2                |    ~     ~          |    1|  317.632   pc  |  -1.6344     +1.6344  |paral   |2020yCat.1350....0G
989 |HD 36210                                                                                                                                                                       |Star                            |05 36 50.7552233616 +71 03 36.295889508|142.0116945046065 +19.8116830331071|-18.334 -38.287   |8.52     |A0                |    ~     ~          |    1|  240.142   pc  |  -1.0611     +1.0611  |paral   |2020yCat.1350....0G
990 |HD 36554                                                                                                                                                                       |Star                            |05 38 44.4466811376 +70 21 52.054306344|142.7480835561905 +19.6446840649904|  9.969 -29.503   |6.96     |A0                |    ~     ~          |    1|  191.553   pc  |  -1.1191     +1.1191  |paral   |2020yCat.1350....0G
991 |HD 37135                                                                                                                                                                       |Star                            |05 42 42.4492810176 +70 28 11.334118728|142.8001661220395 +19.9898976817935| -12.460 14.803   |7.99     |K0                |    ~     ~          |    1|  420.875   pc  |  -3.1885     +3.1885  |paral   |2020yCat.1350....0G
992 |IRAS 05333+7042                                                                                                                                                                |Star                            |05 39 03.1001492592 +70 44 33.038346372|142.3992302537536 +19.8338286646713|   2.283 -3.367   |9.03     |~                 |    ~     ~          |    1|  726.956   pc  | -12.5246    +12.5246  |paral   |2020yCat.1350....0G
993 |IRAS 05358+7054                                                                                                                                                                |Star                            |05 41 34.6997556264 +70 55 51.592193508|142.3137971074211 +20.1022924113780|   3.355 -5.226   |10.26    |M3/4              |    ~     ~          |    1|  977.517   pc  | -45.1970    +45.1970  |paral   |2020yCat.1350....0G
994 |BD+72 277                                                                                                                                                                      |Star                            |05 36 54.2542 +73 01 56.348            |140.1242499 +20.6800218            |     -6.50 1.50   |10.54    |F5                |    ~     ~          |    0|                |                       |        |                   
995 |TYC 4347-217-1                                                                                                                                                                 |Star                            |05 35 09.5834168568 +70 40 22.026618336|142.3138949474778 +19.5148597494331|  9.010 -29.181   |10.17    |~                 |    ~     ~          |    1|  679.948   pc  |  -6.4726     +6.4726  |paral   |2020yCat.1350....0G
996 |TYC 4347-481-1                                                                                                                                                                 |High Proper Motion Star         |05 30 03.1957744992 +70 54 26.724229344|141.8883881202569 +19.2495959954244| -75.419 -8.205   |10.89    |~                 |    ~     ~          |    1|   84.713   pc  |  -0.0732     +0.0732  |paral   |2020yCat.1350....0G
997 |TYC 4347-1083-1                                                                                                                                                                |Star                            |05 31 16.9356149112 +70 14 19.738282380|142.5646609367410 +19.0275793141093|  -4.619 -3.969   |10.92    |~                 |    ~     ~          |    1|  529.886   pc  |  -5.3629     +5.3629  |paral   |2020yCat.1350....0G
998 |TYC 4347-1141-1                                                                                                                                                                |Star                            |05 31 32.9254283376 +70 18 36.516697164|142.5089824575193 +19.0807163352905|  -4.780 -3.803   |10.53    |~                 |    ~     ~          |    1|  427.826   pc  |  -2.8736     +2.8736  |paral   |2020yCat.1350....0G
999 |TYC 4347-1212-1                                                                                                                                                                |Star                            |05 30 11.8880512344 +70 10 24.435206004|142.5802297460930 +18.9158689906707|  -3.724 -8.119   |10.92    |~                 |    ~     ~          |    1|  560.695   pc  |  -4.1184     +4.1184  |paral   |2020yCat.1350....0G
1000|TYC 4348-86-1                                                                                                                                                                  |Star                            |05 38 48.4473310008 +71 08 16.622069136|142.0116167761102 +19.9885930022421|  -13.624 9.828   |10.99    |~                 |    ~     ~          |    1|  185.199   pc  |  -0.4905     +0.4905  |paral   |2020yCat.1350....0G
1001|TYC 4348-178-1                                                                                                                                                                 |High Proper Motion Star         |05 38 29.8649286000 +70 56 10.839547860|142.1927875750470 +19.8778218805232| -3.371 -78.509   |9.72     |~                 |    ~     ~          |    1|  191.854   pc  |  -0.4785     +0.4785  |paral   |2020yCat.1350....0G
1002|TYC 4348-701-1                                                                                                                                                                 |Star                            |05 43 14.7622861536 +70 32 05.267504976|142.7578697281146 +20.0581821301496|   -9.254 5.059   |10.47    |~                 |    ~     ~          |    1|  309.799   pc  |  -1.2477     +1.2477  |paral   |2020yCat.1350....0G
1003|TYC 4348-764-1                                                                                                                                                                 |Star                            |05 43 13.3979414880 +70 49 13.537005240|142.4813791591524 +20.1772833955542| -12.498 -5.047   |9.05     |~                 |    ~     ~          |    1|  429.627   pc  |  -2.6210     +2.6210  |paral   |2020yCat.1350....0G
1004|TYC 4348-783-1                                                                                                                                                                 |Star                            |05 37 24.4820530752 +70 46 42.325396824|142.3016340705521 +19.7280494715454|    0.774 3.822   |10.75    |~                 |    ~     ~          |    1|  497.512   pc  |  -3.6138     +3.6138  |paral   |2020yCat.1350....0G
1005|TYC 4348-1456-1                                                                                                                                                                |Star                            |05 41 43.1774517312 +70 39 23.519741580|142.5831576170806 +19.9953443232560| 14.465 -18.580   |10.63    |~                 |    ~     ~          |    1|  282.119   pc  |  -0.9631     +0.9631  |paral   |2020yCat.1350....0G
1006|TYC 4348-1511-1                                                                                                                                                                |Star                            |05 44 02.8572985680 +70 25 58.970765568|142.8861647978066 +20.0758700540856| -0.452 -22.788   |9.42     |~                 |    ~     ~          |    1|  193.005   pc  |  -0.5774     +0.5774  |paral   |2020yCat.1350....0G
1007|TYC 4348-1737-1                                                                                                                                                                |Star                            |05 38 24.9861122448 +70 20 34.365240060|142.7558855781223 +19.6106998480294| 23.260 -41.078   |10.05    |~                 |    ~     ~          |    1|  253.659   pc  |  -1.8724     +1.8724  |paral   |2020yCat.1350....0G
1008|TYC 4351-70-1                                                                                                                                                                  |Red Giant Branch star Candidate |05 30 34.9501515120 +72 39 11.413895544|140.2649961022418 +20.0937869113556|   0.343 -1.079   |10.02    |~                 |    ~     ~          |    1|  859.402   pc  |  -9.3799     +9.3799  |paral   |2020yCat.1350....0G
1009|TYC 4351-423-1                                                                                                                                                                 |Star                            |05 32 42.6398543592 +72 46 04.134181440|140.2324829067989 +20.2866973948083|    0.636 4.509   |10.63    |~                 |    ~     ~          |    1|  779.484   pc  |  -7.9595     +7.9595  |paral   |2020yCat.1350....0G
1010|TYC 4351-609-1                                                                                                                                                                 |High Proper Motion Star         |05 32 48.8608522920 +72 45 15.354302220|140.2490682933270 +20.2874758373315|-55.736 -27.483   |10.39    |~                 |    ~     ~          |    1|  150.076   pc  |  -0.2928     +0.2928  |paral   |2020yCat.1350....0G
1011|IRAS 05239+7253                                                                                                                                                                |Star                            |05 30 05.3690015928 +72 56 07.740580992|139.9798373850305 +20.1905159409938|   0.941 -5.649   |10.70    |~                 |    ~     ~          |    1| 1712.329   pc  | -60.6938    +60.6938  |paral   |2020yCat.1350....0G
1012|TYC 4351-716-1                                                                                                                                                                 |Star                            |05 34 23.9861510832 +72 15 59.796784224|140.7706668593254 +20.1758300198943|  2.745 -16.675   |9.87     |~                 |    ~     ~          |    1|  818.197   pc  |  -7.7656     +7.7656  |paral   |2020yCat.1350....0G
