C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:53:16

dec >=0&rah >=5.5&rah< 5.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6861

 #  |                                                                                  identifier                                                                                   |              typ               |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
22  |BD+50 1180                                                                                                                                                                     |Double or Multiple Star         |05 30 45.431376 +50 12 10.04328        |160.381577296 +08.853927311        |      -2.5 -8.3   |10.265   |~                 |    ~     ~          |    0|                |                       |        |                   
23  |TYC 3363-186-1                                                                                                                                                                 |Star                            |05 31 53.2188986280 +47 35 54.256463772|162.7053207881948 +07.6175949115084|  3.949 -18.697   |10.45    |~                 |    ~     ~          |    1|  399.888   pc  |  -2.2707     +2.2707  |paral   |2020yCat.1350....0G
24  |TYC 3363-309-1                                                                                                                                                                 |Star                            |05 33 50.6288021712 +48 15 03.494686176|162.3240476334746 +08.2426574001838|  -0.092 -4.005   |10.82    |~                 |    ~     ~          |    1| 1091.941   pc  | -38.0355    +38.0355  |paral   |2020yCat.1350....0G
25  |TYC 3363-341-1                                                                                                                                                                 |High Proper Motion Star         |05 30 19.0942475736 +48 05 14.806467816|162.1464851415999 +07.6584011372915|-61.064 -37.704   |10.14    |~                 |    ~     ~          |    1|  102.597   pc  |  -3.0947     +3.0947  |paral   |2020yCat.1350....0G
26  |TYC 3363-445-1                                                                                                                                                                 |Star                            |05 32 16.5990173568 +48 02 03.414903648|162.3689536877891 +07.9060206805770|  8.878 -18.911   |9.61     |~                 |    ~     ~          |    1|  289.889   pc  |  -1.5042     +1.5042  |paral   |2020yCat.1350....0G
27  |TYC 3363-787-1                                                                                                                                                                 |Star                            |05 31 59.6344304376 +48 11 51.403834176|162.2040983927324 +07.9533894249058|   6.741 -4.277   |10.78    |~                 |    ~     ~          |    1|  479.019   pc  |  -3.4648     +3.4648  |paral   |2020yCat.1350....0G
28  |TYC 3363-1044-1                                                                                                                                                                |Star                            |05 34 30.1321357632 +47 38 29.499816516|162.9053051972702 +08.0135944995229|  -1.134 -1.630   |10.79    |~                 |    ~     ~          |    1|  755.744   pc  | -28.4432    +28.4432  |paral   |2020yCat.1350....0G
29  |TYC 3363-1271-1                                                                                                                                                                |Star                            |05 32 59.3064070728 +48 05 22.988995188|162.3856085905349 +08.0361930201208|  -0.344 -6.321   |10.93    |~                 |    ~     ~          |    1|  793.336   pc  | -10.5736    +10.5736  |paral   |2020yCat.1350....0G
30  |TYC 3363-1291-1                                                                                                                                                                |Star                            |05 32 53.0108993160 +48 14 08.881742508|162.2512866384779 +08.0991125157446|  2.669 -20.464   |10.88    |~                 |    ~     ~          |    1|  299.186   pc  |  -2.1304     +2.1304  |paral   |2020yCat.1350....0G
31  |TYC 3363-1331-1                                                                                                                                                                |Star                            |05 33 18.6420780024 +47 51 17.991878472|162.6152939466078 +07.9570159940617|  -4.044 -4.401   |10.8     |~                 |    ~     ~          |    1|  894.855   pc  | -17.2164    +17.2164  |paral   |2020yCat.1350....0G
32  |TYC 3363-1397-1                                                                                                                                                                |Star                            |05 32 20.5199036832 +48 38 53.398181220|161.8503481283247 +08.2426612639306|  -7.140 20.236   |10.74    |~                 |    ~     ~          |    1|  310.520   pc  |  -1.4656     +1.4656  |paral   |2020yCat.1350....0G
33  |TYC 3363-1565-1                                                                                                                                                                |Star                            |05 34 54.6101977104 +47 50 58.835795676|162.7633982657748 +08.1817949747237|   -1.397 2.584   |10.47    |~                 |    ~     ~          |    1|  956.572   pc  | -14.4575    +14.4575  |paral   |2020yCat.1350....0G
34  |TYC 3363-1690-1                                                                                                                                                                |Star                            |05 32 04.6105423248 +47 36 56.841080472|162.7077984288766 +07.6539307517102|  6.852 -17.724   |10.8     |~                 |    ~     ~          |    1|  427.698   pc  |  -2.4878     +2.4878  |paral   |2020yCat.1350....0G
35  |TYC 3363-1779-1                                                                                                                                                                |Star                            |05 33 01.4038848600 +47 49 01.300535724|162.6218500898794 +07.8959907977645|   8.874 -4.496   |10.96    |~                 |    ~     ~          |    1|  861.549   pc  | -10.2433    +10.2433  |paral   |2020yCat.1350....0G
36  |TYC 3363-1956-1                                                                                                                                                                |Star                            |05 31 42.8837222280 +48 19 06.625305408|162.0758544170951 +07.9787697763686|   -3.263 5.140   |10.02    |~                 |    ~     ~          |    1|  316.236   pc  |  -1.5301     +1.5301  |paral   |2020yCat.1350....0G
37  |TYC 3367-366-1                                                                                                                                                                 |Star                            |05 32 18.1568163048 +49 59 54.925893240|160.6900614541945 +08.9550774602782|    5.711 3.846   |10.27    |~                 |    ~     ~          |    1|  515.145   pc  |  -3.3703     +3.3703  |paral   |2020yCat.1350....0G
38  |TYC 3367-372-1                                                                                                                                                                 |Star                            |05 32 33.8462321736 +50 06 11.822918292|160.6226864402927 +09.0461513727710|   2.420 -8.017   |10.48    |~                 |    ~     ~          |    1|  788.581   pc  | -38.0579    +38.0579  |paral   |2020yCat.1350....0G
39  |TYC 3367-438-1                                                                                                                                                                 |Star                            |05 31 19.6708463160 +49 56 54.111890868|160.6487799610995 +08.7956321778934|  -4.127 -3.956   |10.96    |~                 |    ~     ~          |    1|  429.960   pc  |  -2.8839     +2.8839  |paral   |2020yCat.1350....0G
40  |TYC 3367-644-1                                                                                                                                                                 |Star                            |05 32 18.1066346160 +50 06 20.219322276|160.5981197332729 +09.0117114018830|  -1.294 -1.390   |9.28     |~                 |    ~     ~          |    1|  713.572   pc  |  -6.7212     +6.7212  |paral   |2020yCat.1350....0G
41  |TYC 3367-680-1                                                                                                                                                                 |Star                            |05 32 00.8594241168 +49 18 23.327354412|161.2581922594916 +08.5477752368706| -25.492 31.515   |10.23    |~                 |    ~     ~          |    1|  208.442   pc  |  -0.6908     +0.6908  |paral   |2020yCat.1350....0G
42  |TYC 3367-859-1                                                                                                                                                                 |Star                            |05 31 26.1424394280 +49 30 30.905087904|161.0345278295186 +08.5758544662151|  -5.541 -2.620   |9.73     |~                 |    ~     ~          |    1|  548.787   pc  |  -3.7044     +3.7044  |paral   |2020yCat.1350....0G
43  |TYC 3367-895-1                                                                                                                                                                 |Star                            |05 33 09.0631175016 +49 24 20.913162912|161.2724363719839 +08.7573730216369|   4.473 -9.763   |10.65    |~                 |    ~     ~          |    1|  883.080   pc  | -11.7754    +11.7754  |paral   |2020yCat.1350....0G
44  |TYC 3367-1177-1                                                                                                                                                                |Star                            |05 30 12.9728001768 +49 09 13.871389032|161.2298239106975 +08.2181100292918| -15.438 -4.044   |9.74     |~                 |    ~     ~          |    1|  184.488   pc  |  -0.5480     +0.5480  |paral   |2020yCat.1350....0G
45  |TYC 3367-1343-1                                                                                                                                                                |Star                            |05 31 23.8225508856 +48 50 18.638344536|161.6036937295859 +08.2125442864653|  -2.401 -0.411   |10.49    |~                 |    ~     ~          |    1|  324.865   pc  |  -1.4775     +1.4775  |paral   |2020yCat.1350....0G
46  |TYC 3367-1427-1                                                                                                                                                                |Star                            |05 33 23.6506536384 +48 52 13.115297028|161.7532209871631 +08.5075830533258|  2.392 -20.944   |10.17    |~                 |    ~     ~          |    1|  211.180   pc  |  -0.7225     +0.7225  |paral   |2020yCat.1350....0G
47  |TYC 3367-1440-1                                                                                                                                                                |Star                            |05 31 31.8842271384 +48 46 28.282729044|161.6702752778935 +08.1970194404007|   17.848 5.259   |10.74    |~                 |    ~     ~          |    1|  263.957   pc  |  -1.0381     +1.0381  |paral   |2020yCat.1350....0G
48  |TYC 3367-1467-1                                                                                                                                                                |Star                            |05 32 43.3548990888 +49 01 58.107909936|161.5548014191130 +08.5002932517749| -1.858 -15.654   |9.97     |~                 |    ~     ~          |    1|  563.889   pc  |  -4.3880     +4.3880  |paral   |2020yCat.1350....0G
49  |TYC 3367-1516-1                                                                                                                                                                |Star                            |05 32 42.2349330432 +49 18 22.477650624|161.3188191512815 +08.6428626835015| -11.964 20.042   |10.87    |~                 |    ~     ~          |    1|  312.529   pc  |  -1.2795     +1.2795  |paral   |2020yCat.1350....0G
50  |TYC 3367-1562-1                                                                                                                                                                |Star                            |05 32 57.1647765816 +49 13 49.167322212|161.4056956389307 +08.6370095729742|  4.228 -10.209   |9.97     |~                 |    ~     ~          |    1|  317.269   pc  |  -1.5099     +1.5099  |paral   |2020yCat.1350....0G
