C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:26:25

dec >=0&rah >=20.25&rah< 20.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 9715

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |      spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|----------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |NGC 6910 68                        HD 229118                                                             |Star                              |20 22 02.8877304552 +40 44 27.879397332|078.5273339010231 +02.1713056197240|   4.504 -1.542  |8.855    |K5                    |    ~     ~    |    1|  903.179   pc  | -12.4807    +12.4807  |paral   |2020yCat.1350....0G
23  |NGC 6910 79                        HD 229158                                                             |Star                              |20 22 44.1113812032 +40 35 17.080825632|078.4759528734007 +01.9770175326219|   7.668 -0.817  |9.866    |A5                    |    ~     ~    |    1|  339.801   pc  |  -1.5472     +1.5472  |paral   |2020yCat.1350....0G
24  |NGC 6910 1                         HD 194194                                                             |Star                              |20 22 44.7595785696 +40 42 52.637679684|078.5810549832904 +02.0476195323343|  -1.828 -8.016  |8.13     |B2III                 |    ~     ~    |    1| 1002.305   pc  | -22.5034    +22.5034  |paral   |2020yCat.1350....0G
25  |NGC 6910 9                         HD 229176                                                             |Star                              |20 23 01.0073148336 +40 53 34.477837728|078.7567629989637 +02.1074546269408|    2.144 1.393  |10.8     |B9                    |    ~     ~    |    1|  449.055   pc  |  -2.8029     +2.8029  |paral   |2020yCat.1350....0G
26  |NGC 6910 83                        HD 229178                                                             |Star                              |20 23 02.9544817992 +40 36 08.602849908|078.5217990774003 +01.9362797211614|   2.143 -0.338  |9.90     |A5                    |    ~     ~    |    1|  488.091   pc  |  -3.6688     +3.6688  |paral   |2020yCat.1350....0G
27  |NGC 6910 84                        HD 229177                                                             |Double or Multiple Star           |20 23 04.9709135040 +40 36 36.029055276|078.5317023067439 +01.9354050498143|   3.299 -2.817  |9.118    |A0                    |    ~     ~    |    0|                |                       |        |                   
28  |NGC 6910 3                         HD 194241                                                             |Star                              |20 23 06.7012051680 +40 48 01.647107676|078.6911402692028 +02.0398607333049|   28.619 7.657  |7.36     |K1-III-IIIbBa0.3:     |    ~     ~    |    1|  270.907   pc  |  -0.9247     +0.9247  |paral   |2020yCat.1350....0G
29  |NGC 6910 87                        HD 229190                                                             |Star                              |20 23 07.6613586408 +40 38 41.546716944|078.5651862190231 +01.9483719910822|    6.646 2.623  |11.32    |~                     |    ~     ~    |    1|  367.579   pc  |  -9.7553     +9.7553  |paral   |2020yCat.1350....0G
30  |NGC 6910 6                         V* V1973 Cyg                                                          |Variable Star                     |20 23 07.8590917560 +40 51 13.172452488|078.7368961132952 +02.0672982324754|    4.275 1.190  |10.01    |A3V                   |    ~     ~    |    1|  358.654   pc  |  -1.7880     +1.7880  |paral   |2020yCat.1350....0G
31  |NGC 6910 5                         BD+40 4146                                                            |Star                              |20 23 10.4645410968 +40 45 52.325302104|078.6684548460098 +02.0095716282085|  -3.234 -5.360  |9.64     |B1                    |    ~     ~    |    1| 2236.136   pc  | -77.5047    +77.5047  |paral   |2020yCat.1350....0G
32  |NGC 6910 37                        BD+40 4146B                                                           |Be Star                           |20 23 09.8116404672 +40 45 52.256529216|078.6672595643024 +02.0112505728002|  -3.448 -5.374  |12.71    |B3Ve                  |    ~     ~    |    1| 1659.200   pc  | -24.7765    +24.7765  |paral   |2020yCat.1350....0G
33  |NGC 6910 4                         HD 229196                                                             |Pulsating Variable                |20 23 10.7840350992 +40 52 29.847533160|078.7596528009878 +02.0719230480176|  -4.197 -4.898  |8.59     |O6II(f)               |    ~     ~    |    1| 1806.685   pc  |-105.7572   +105.7572  |paral   |2020yCat.1350....0G
34  |NGC 6910 7                         BD+40 4149                                                            |Star                              |20 23 18.1646510736 +40 44 57.780680968|078.6699399695887 +01.9809710179412|            ~ ~  |10.00    |~                     |    ~     ~    |    0|                |                       |        |                   
35  |NGC 6910 2                         HD 194279                                                             |Blue Supergiant                   |20 23 18.1647782064 +40 45 32.598481500|078.6778750443414 +01.9865072713698|  -3.425 -5.515  |7.01     |B2Ia                  |    ~     ~    |    1| 1914.608   pc  | -59.3848    +59.3848  |paral   |2020yCat.1350....0G
