C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:26:25

dec >=0&rah >=20.25&rah< 20.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 9715

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |      spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|----------------------|---------------|-----|----------------|-----------------------|--------|-------------------
617 |BD+42 3762                                                                                               |Star                              |20 29 07.6366765176 +42 43 37.455135492|080.9130245614710 +02.2394933385148|   2.208 -4.318  |9.51     |A0                    |    ~     ~    |    1|  652.912   pc  |  -7.7586     +7.7586  |paral   |2020yCat.1350....0G
618 |BD+42 3764                                                                                               |Star                              |20 29 56.7260827008 +43 26 00.036586680|081.5734867564673 +02.5322141323296|-15.837 -36.217  |9.03     |F8                    |    ~     ~    |    1|  177.267   pc  |  -4.5030     +4.5030  |paral   |2020yCat.1350....0G
619 |BD+41 3715                                                                                               |Star                              |20 22 26.2796756184 +42 21 34.987551048|079.9006653730175 +03.0333979072148| 12.475 -13.510  |9.23     |~                     |    ~     ~    |    1|  242.401   pc  |  -0.9519     +0.9519  |paral   |2020yCat.1350....0G
620 |BD+41 3720                                                                                               |Star                              |20 23 17.4121985976 +42 15 34.156075284|079.9082776583242 +02.8468173500742|    4.634 1.269  |9.38     |A0                    |    ~     ~    |    1|  358.950   pc  |  -2.1517     +2.1517  |paral   |2020yCat.1350....0G
621 |BD+41 3731                                                                                               |Be Star                           |20 24 15.7159041312 +42 18 01.384401852|080.0449160701121 +02.7229138847401|  -2.501 -6.045  |9.84     |B3n                   |    ~     ~    |    1|  990.884   pc  | -16.9860    +16.9860  |paral   |2020yCat.1350....0G
622 |BD+41 3737                                                                                               |Star                              |20 24 46.6314039528 +42 23 05.297978328|080.1688517083735 +02.6934834995531|  -3.081 -6.278  |9.27     |B3Vn                  |    ~     ~    |    1|  977.708   pc  | -32.2143    +32.2143  |paral   |2020yCat.1350....0G
623 |HD 194669                                                                                                |Star                              |20 25 15.2121040368 +42 10 46.184928276|080.0515779412792 +02.5032482837009|  23.278 -5.483  |7.82     |F2                    |    ~     ~    |    1|  173.031   pc  |  -0.6347     +0.6347  |paral   |2020yCat.1350....0G
624 |BD+41 3751                                                                                               |Star                              |20 26 46.5412587888 +42 26 45.442395780|080.4320212537835 +02.4276324659930|-36.244 -32.107  |9.22     |F5                    |    ~     ~    |    1|  156.605   pc  |  -0.2747     +0.2747  |paral   |2020yCat.1350....0G
625 |BD+41 3754                                                                                               |Star                              |20 27 03.4873706064 +42 17 56.906189016|080.3426147308531 +02.2999766681745|  -0.342 -4.427  |8.66     |B8                    |    ~     ~    |    1| 1023.541   pc  | -24.7242    +24.7242  |paral   |2020yCat.1350....0G
626 |BD+41 3756                                                                                               |Star                              |20 27 16.6145972760 +42 24 21.505496220|080.4531533846307 +02.3291033435465|  -2.308 -8.756  |9.39     |A0                    |    ~     ~    |    1|  799.808   pc  | -10.2351    +10.2351  |paral   |2020yCat.1350....0G
627 |BD+41 3762                                                                                               |Star                              |20 28 15.2135328960 +42 25 39.146312964|080.5757016469021 +02.1950801828181|   0.564 -3.518  |10.33    |B2V                   |    ~     ~    |    1| 1384.275   pc  | -36.7914    +36.7914  |paral   |2020yCat.1350....0G
628 |HD 195376                                                                                                |Star                              |20 29 15.4788872304 +42 16 47.521720704|080.5643006900473 +01.9581990054363|    5.947 2.136  |8.84     |A                     |    ~     ~    |    1|  367.579   pc  |  -3.0536     +3.0536  |paral   |2020yCat.1350....0G
629 |HD 195405                                                                                                |High Proper Motion Star           |20 29 28.3795038768 +42 19 00.022119276|080.6174514999097 +01.9475387780014| -7.124 -63.832  |8.02     |G2IV                  |    ~     ~    |    1|  106.683   pc  |  -0.2083     +0.2083  |paral   |2020yCat.1350....0G
630 |V* UW Cyg                                                                                                |Eclipsing Binary                  |20 23 02.8400786592 +43 14 32.484144516|080.6908228031543 +03.4447235395519|   2.152 -6.419  |10.86    |A5(N)                 |    ~     ~    |    1|  649.984   pc  |  -5.5345     +5.5345  |paral   |2020yCat.1350....0G
631 |HD 229265                                                                                                |Star                              |20 24 23.8879089864 +42 03 34.272799758|079.8620008804545 +02.5639625660794|  7.556 -14.649  |10.648   |K5                    |    ~     ~    |    1|  247.893   pc  |  -1.5485     +1.5485  |paral   |2018yCat.1345....0G
632 |BD+41 3752                                                                                               |Spectroscopic Binary              |20 26 51.170136 +41 51 33.23232        |079.961970329 +02.075716876        |      2.2 -15.8  |8.89     |F5                    |    ~     ~    |    0|                |                       |        |                   
633 |HD 195089                                                                                                |Double or Multiple Star           |20 27 36.7723399 +42 02 07.493490      |080.1876215703 +02.0630596855      |    -3.09 -7.55  |7.332    |B2IV                  |0.0033  0.0    |    0|                |                       |        |                   
634 |BD+41 3761                                                                                               |Star                              |20 28 00.2028434856 +42 08 40.184951460|080.3185734211066 +02.0676759643973|   2.962 -1.174  |9.22     |A0                    |    ~     ~    |    1|  706.065   pc  | -10.5189    +10.5189  |paral   |2020yCat.1350....0G
635 |BD+41 3736                                                                                               |beta Cep Variable Candidate       |20 24 33.8990770416 +42 14 15.487509480|080.0257232154485 +02.6409803064566|  -2.388 -6.311  |10.55    |B6                    |    ~     ~    |    1|  973.805   pc  | -14.0348    +14.0348  |paral   |2020yCat.1350....0G
636 |HD 229273                                                                                                |Star                              |20 24 33.0909133008 +42 02 50.355991968|079.8683816816808 +02.5336496585194|  -3.820 -5.460  |9.42     |K8                    |    ~     ~    |    1|  768.640   pc  | -17.4288    +17.4288  |paral   |2020yCat.1350....0G
637 |Cl* NGC 6910 SIC 126                                                                                     |Star                              |20 24 41.7 +42 28 52                   |080.2390 +02.7613                  |            ~ ~  |9.22     |~                     |    ~     ~    |    0|                |                       |        |                   
638 |BD+41 3740                                                                                               |Star                              |20 25 15.4833880680 +42 28 01.469884116|080.2873342625007 +02.6682773436455|   1.118 -2.804  |10.56    |K0                    |    ~     ~    |    1|  948.767   pc  | -13.7724    +13.7724  |paral   |2020yCat.1350....0G
639 |BD+41 3738                                                                                               |Star                              |20 25 13.2532417176 +42 22 10.812050076|080.2036791342344 +02.6177651219977|  -2.110 -3.870  |10.62    |K2                    |    ~     ~    |    1|  830.220   pc  | -27.3638    +27.3638  |paral   |2020yCat.1350....0G
640 |[SKV93] 3-161                                                                                            |Star                              |20 26 01.8642017088 +42 11 18.202602372|080.1420617744093 +02.3907612254058|   1.301 -1.517  |10.51    |~                     |    ~     ~    |    1| 1021.555   pc  | -18.0538    +18.0538  |paral   |2020yCat.1350....0G
641 |BD+42 3671                                                                                               |Star                              |20 17 33.5490555528 +43 07 51.697470900|080.0331759779706 +04.2080040937305|  -2.192 -3.576  |9.77     |~                     |    ~     ~    |    1|  637.349   pc  |  -4.6715     +4.6715  |paral   |2020yCat.1350....0G
642 |BD+42 3677                                                                                               |Star                              |20 17 59.6455739064 +42 57 40.067321688|079.9363101160869 +04.0472394114022|    3.295 6.114  |9.28     |~                     |    ~     ~    |    1|  378.989   pc  |  -4.9697     +4.9697  |paral   |2020yCat.1350....0G
643 |BD+42 3719                                                                                               |Star                              |20 22 55.6671152976 +42 31 19.051152132|080.0857333543196 +03.0516629411549|  -6.886 -1.497  |9.80     |~                     |    ~     ~    |    1|  626.802   pc  |  -8.2505     +8.2505  |paral   |2020yCat.1350....0G
644 |BD+42 3761                                                                                               |Star                              |20 28 55.1118008784 +43 17 21.735133080|081.3472626278330 +02.5992314717324|  32.084 -8.270  |9.48     |~                     |    ~     ~    |    1|  128.210   pc  |  -0.2071     +0.2071  |paral   |2020yCat.1350....0G
645 |BD+43 3585                                                                                               |Star                              |20 22 24.2088106152 +43 38 54.578595228|080.9586152412938 +03.7721011147478|-14.748 -12.726  |9.94     |~                     |    ~     ~    |    1|  623.014   pc  |  -4.3084     +4.3084  |paral   |2020yCat.1350....0G
646 |BD+43 3587A                                                                                              |High Proper Motion Star           |20 22 37.4537027112 +43 43 53.545006560|081.0498137208892 +03.7865254340571| 89.331 102.402  |9.79     |~                     |    ~     ~    |    1|   74.768   pc  |  -0.0553     +0.0553  |paral   |2020yCat.1350....0G
647 |BD+43 3587B                                                                                              |Star                              |20 22 32.2733853360 +43 43 45.425782020|081.0390607020177 +03.7980681300816|    2.455 1.412  |10.43    |~                     |    ~     ~    |    1|  779.666   pc  |  -7.2946     +7.2946  |paral   |2020yCat.1350....0G
648 |BD+43 3613                                                                                               |Star                              |20 27 40.7097172704 +43 37 03.879897420|081.4831249783156 +02.9734761613217|  -4.528 -5.582  |9.75     |~                     |    ~     ~    |    1|  772.857   pc  |  -6.5107     +6.5107  |paral   |2020yCat.1350....0G
649 |BD+41 3776                                                                                               |High Proper Motion Star           |20 29 52.9080480720 +42 21 27.329001804|080.6949472955386 +01.9103508538325|-94.063 -12.900  |9.76     |F5                    |    ~     ~    |    1|  136.295   pc  |  -1.7276     +1.7276  |paral   |2020yCat.1350....0G
650 |MCC 818                                                                                                  |High Proper Motion Star           |20 15 52.6335090816 +42 58 44.607760212|079.7352689604062 +04.3790090618724| 10.210 -59.993  |10.041   |G/K                   |    ~     ~    |    1|   25.280   pc  |  -0.0070     +0.0070  |paral   |2020yCat.1350....0G
651 |HD 193236                                                                                                |Star                              |20 17 33.5165424456 +43 11 00.767481900|080.0768379909148 +04.2373684738884|   0.021 -8.370  |8.75     |A2                    |    ~     ~    |    1|  272.874   pc  |  -1.2509     +1.2509  |paral   |2020yCat.1350....0G
652 |BD+42 3657                                                                                               |Star                              |20 15 54.2032357968 +42 56 28.680429156|079.7063965756828 +04.3541139928944|   0.057 -7.808  |10.6     |A5                    |    ~     ~    |    0|                |                       |        |                   
653 |BD+42 3654                                                                                               |Star                              |20 15 23.8281358920 +42 41 14.388719172|079.4427289150762 +04.2909118376847|    5.562 1.335  |10.52    |A5                    |    ~     ~    |    1|  489.285   pc  |  -2.8249     +2.8249  |paral   |2020yCat.1350....0G
654 |BD+42 3667                                                                                               |Star                              |20 17 15.6334810680 +42 34 47.430316812|079.5438363805419 +03.9461695000844|  -1.272 -1.357  |9.64     |A0                    |    ~     ~    |    1|  698.373   pc  |  -9.5106     +9.5106  |paral   |2020yCat.1350....0G
655 |BD+41 3698                                                                                               |Star                              |20 18 46.0208617992 +42 25 24.843627840|079.5695953460546 +03.6285902938478|  -3.057 -5.081  |9.92     |B                     |    ~     ~    |    1| 1838.235   pc  | -52.0383    +52.0383  |paral   |2020yCat.1350....0G
656 |BD+41 3699                                                                                               |Star                              |20 18 55.4795112192 +42 27 28.452363552|079.6144261354398 +03.6237855130702|   2.027 -0.364  |9.80     |A5                    |    ~     ~    |    1|  494.927   pc  |  -4.3602     +4.3602  |paral   |2020yCat.1350....0G
657 |BD+41 3699B                                                                                              |Star                              |20 18 56.9221373616 +42 27 33.263315028|079.6180287688468 +03.6208657515453|   11.860 9.235  |10.87    |~                     |    ~     ~    |    1|  298.909   pc  |  -2.6000     +2.6000  |paral   |2020yCat.1350....0G
658 |HD 194007                                                                                                |Star                              |20 21 39.9647932008 +42 14 05.628194484|079.7165520456734 +03.0798051396376|    5.969 1.530  |8.30     |A0                    |    ~     ~    |    1|  339.156   pc  |  -7.6608     +7.6608  |paral   |2020yCat.1350....0G
659 |BD+41 3716                                                                                               |Star                              |20 22 30.1599260376 +42 09 45.706071096|079.7453598055557 +02.9113072226662|  -4.326 -6.760  |9.26     |B8                    |    ~     ~    |    1|  995.520   pc  | -12.6856    +12.6856  |paral   |2020yCat.1350....0G
660 |HD 229170                                                                                                |Star                              |20 23 00.0842722896 +41 50 42.400767480|079.5371651108831 +02.6540100381567|    0.088 0.195  |10.85    |A                     |    ~     ~    |    0|                |                       |        |                   
661 |HD 229188                                                                                                |Star                              |20 23 01.8586440408 +42 07 09.368815980|079.7655947297326 +02.8060988826228|    1.804 0.351  |10.52    |~                     |    ~     ~    |    1| 1066.325   pc  | -13.3035    +13.3035  |paral   |2020yCat.1350....0G
662 |HD 229210                                                                                                |Star                              |20 23 27.0817158504 +42 04 19.358352876|079.7714344367098 +02.7151169466719|    0.454 0.621  |9.219    |A0                    |    ~     ~    |    1|  757.748   pc  | -64.2510    +64.2510  |paral   |2020yCat.1350....0G
663 |HD 229230                                                                                                |Double or Multiple Star           |20 23 50.10507 +41 46 29.7297          |079.56853194 +02.48644766          |   13.11 -54.18  |9.284    |K0                    |    ~     ~    |    0|                |                       |        |                   
664 |HD 229246                                                                                                |High Proper Motion Star           |20 24 05.0627930736 +41 49 02.573943168|079.6300171129150 +02.4727326248297| -15.514 47.298  |9.269    |K2                    |    ~     ~    |    1|  250.181   pc  |  -0.7198     +0.7198  |paral   |2020yCat.1350....0G
665 |HD 229279                                                                                                |Star                              |20 24 45.8624861616 +41 58 30.787766040|079.8320917799329 +02.4598415127310|   33.683 2.090  |10.42    |~                     |    ~     ~    |    1|  581.564   pc  |  -3.3822     +3.3822  |paral   |2020yCat.1350....0G
666 |HD 194684                                                                                                |Star                              |20 25 26.3468268192 +41 54 37.438850880|079.8514040961049 +02.3199420297786|   2.107 -2.950  |7.10     |A2                    |    ~     ~    |    1|  103.952   pc  |  -0.1653     +0.1653  |paral   |2020yCat.1350....0G
667 |TYC 3160-1605-1                                                                                          |Star                              |20 25 33.2917295928 +41 55 02.353315476|079.8694960621040 +02.3063477986394|    3.649 5.144  |10.62    |~                     |    ~     ~    |    1|  466.548   pc  |  -4.4186     +4.4186  |paral   |2020yCat.1350....0G
668 |HD 229293                                                                                                |Star                              |20 25 39.0271038384 +41 53 45.588967440|079.8623446881770 +02.2795160357330|  6.837 -21.180  |8.82     |K0                    |    ~     ~    |    1|   91.690   pc  |  -0.1034     +0.1034  |paral   |2020yCat.1350....0G
669 |HD 229300                                                                                                |Star                              |20 26 28.2040145736 +41 49 12.135430920|079.8886560664884 +02.1110847614071|   3.013 -1.191  |9.60     |A0                    |    ~     ~    |    1|  408.413   pc  |  -2.6521     +2.6521  |paral   |2020yCat.1350....0G
670 |BD+41 3723                                                                                               |Star                              |20 23 24.0674919072 +42 01 16.160411820|079.7243090145256 +02.6936520147342|    2.831 0.274  |9.62     |K0                    |    ~     ~    |    1|  682.687   pc  |  -4.9403     +4.9403  |paral   |2020yCat.1350....0G
671 |BD+41 3718                                                                                               |Star                              |20 22 49.1606796072 +42 06 23.252621760|079.7326299746506 +02.8310088185332| -3.850 -15.908  |9.47     |~                     |    ~     ~    |    1|  757.117   pc  |  -7.1653     +7.1653  |paral   |2020yCat.1350....0G
672 |BD+42 3652                                                                                               |Double or Multiple Star           |20 15 07.6785 +42 49 00.599            |079.5236053 +04.4036462            |        4.4 6.1  |9.88     |F5                    |    ~     ~    |    0|                |                       |        |                   
673 |BD+43 3590                                                                                               |Star                              |20 22 58.6561650408 +44 14 45.578575032|081.5100091557317 +04.0271625413213|   1.511 -4.106  |9.97     |M2                    |    ~     ~    |    1|  856.238   pc  | -15.3960    +15.3960  |paral   |2020yCat.1350....0G
674 |BD+43 3604                                                                                               |Star                              |20 26 31.5575856528 +43 46 07.130065800|081.4852889823563 +03.2307120745761|   1.199 -5.747  |10.40    |A3                    |    ~     ~    |    1|  768.344   pc  | -11.2167    +11.2167  |paral   |2020yCat.1350....0G
675 |BD+43 3610                                                                                               |Star                              |20 27 26.6644622592 +44 06 35.199197748|081.8597320205071 +03.2935826876036|   1.904 -1.585  |10.87    |A2                    |    ~     ~    |    1|  646.747   pc  |  -6.1906     +6.1906  |paral   |2020yCat.1350....0G
676 |BD+43 3625                                                                                               |Star                              |20 29 58.8615416160 +43 47 40.445305872|081.8701223987348 +02.7388979214514|  -2.155 -7.422  |10.34    |B8                    |    ~     ~    |    1|  993.641   pc  | -15.7971    +15.7971  |paral   |2020yCat.1350....0G
677 |BD+42 3658                                                                                               |Star                              |20 16 03.2138226984 +42 45 02.028416184|079.5624664190474 +04.2255129512181|   0.704 -5.444  |10.06    |A2                    |    ~     ~    |    1|  558.254   pc  |  -4.7682     +4.7682  |paral   |2020yCat.1350....0G
678 |BD+42 3662                                                                                               |Star                              |20 16 31.5878091672 +42 48 45.011956608|079.6624132129385 +04.1876956450433|    7.361 6.034  |9.82     |A3                    |    ~     ~    |    1|  396.715   pc  |  -2.1404     +2.1404  |paral   |2020yCat.1350....0G
679 |BD+42 3689                                                                                               |Star                              |20 19 10.8857281944 +42 52 41.065767696|079.9894051364529 +03.8206471026304|  -3.066 -1.590  |10.97    |A5                    |    ~     ~    |    1|  574.053   pc  |  -4.3828     +4.3828  |paral   |2020yCat.1350....0G
680 |BD+42 3691                                                                                               |Star                              |20 19 24.8763481488 +42 47 36.970688904|079.9434532789272 +03.7378203601360|  -3.451 -8.347  |9.96     |A0                    |    ~     ~    |    1| 1024.590   pc  | -13.1223    +13.1223  |paral   |2020yCat.1350....0G
681 |BD+42 3715                                                                                               |Star                              |20 22 28.3372885968 +42 34 22.447572456|080.0797477058425 +03.1496301800584|  -0.251 -1.076  |10.89    |A2                    |    ~     ~    |    1|  654.879   pc  |  -7.8054     +7.8054  |paral   |2020yCat.1350....0G
682 |BD+42 3717                                                                                               |Star                              |20 22 44.1154379088 +42 37 37.528920732|080.1519632162349 +03.1407448557335|  5.168 -12.493  |10.73    |A3                    |    ~     ~    |    1|  344.033   pc  |  -1.2073     +1.2073  |paral   |2020yCat.1350....0G
683 |BD+42 3730                                                                                               |Star                              |20 23 30.1886783928 +42 47 00.846169296|080.3612863985364 +03.1142835310193|   3.915 -3.987  |10.45    |A5                    |    ~     ~    |    1|  458.547   pc  |  -4.2684     +4.2684  |paral   |2020yCat.1350....0G
684 |BD+42 3734                                                                                               |Star                              |20 24 24.4396617552 +43 15 04.132953684|080.8399683816554 +03.2466248216372|   1.876 -2.220  |10.38    |A2                    |    ~     ~    |    1|  941.265   pc  | -15.2389    +15.2389  |paral   |2020yCat.1350....0G
685 |BD+42 3736                                                                                               |Star                              |20 24 48.0124693560 +42 57 25.825735044|080.6401781361439 +03.0191022888699| -5.540 -14.607  |9.37     |M2                    |    ~     ~    |    1|  916.926   pc  | -15.1336    +15.1336  |paral   |2020yCat.1350....0G
686 |BD+42 3744                                                                                               |Star                              |20 25 58.9027912416 +43 05 39.125259672|080.8769053728048 +02.9215587003762|  1.647 -18.515  |10.41    |~                     |    ~     ~    |    1|  828.089   pc  |  -7.8173     +7.8173  |paral   |2020yCat.1350....0G
687 |BD+41 3696                                                                                               |Star                              |20 18 19.6319930520 +42 23 50.897471820|079.5023444858445 +03.6811950660723|   3.219 -8.773  |9.71     |A5                    |    ~     ~    |    1|  288.284   pc  |  -1.1220     +1.1220  |paral   |2020yCat.1350....0G
688 |BD+41 3717                                                                                               |Star                              |20 22 31.1452133544 +42 14 11.729434812|079.8078956686433 +02.9509212137208|   1.699 -1.807  |10.17    |A8                    |    ~     ~    |    1|  669.927   pc  | -11.7586    +11.7586  |paral   |2020yCat.1350....0G
689 |BD+41 3724                                                                                               |Star                              |20 23 25.2865904544 +42 22 54.168488832|080.0225657737957 +02.8968037838672|   12.032 3.116  |10.70    |~                     |    ~     ~    |    1|  425.062   pc  |  -1.9875     +1.9875  |paral   |2020yCat.1350....0G
690 |BD+41 3748                                                                                               |Star                              |20 26 03.4987049808 +42 10 47.688833784|080.1380599405942 +02.3817432849744|   9.702 -7.649  |10.81    |~                     |    ~     ~    |    1|  234.676   pc  |  -0.6388     +0.6388  |paral   |2020yCat.1350....0G
691 |BD+41 3750                                                                                               |Star                              |20 26 39.7807896504 +42 11 39.681200184|080.2147424991878 +02.2987652879416|   0.927 -1.740  |9.93     |A2                    |    ~     ~    |    1|  972.384   pc  | -14.6557    +14.6557  |paral   |2020yCat.1350....0G
692 |TYC 3159-29-1                                                                                            |Star                              |20 18 38.3902768320 +42 50 19.463576820|079.9009641709048 +03.8807427912223|  16.538 25.558  |9.53     |~                     |    ~     ~    |    1|  510.882   pc  |  -3.1059     +3.1059  |paral   |2020yCat.1350....0G
693 |TYC 3159-47-1                                                                                            |Pulsating Variable                |20 17 42.2420058144 +42 52 14.519050248|079.8313762987694 +04.0407928632451|    4.009 1.480  |10.51    |~                     |    ~     ~    |    1|  336.723   pc  |  -1.2585     +1.2585  |paral   |2020yCat.1350....0G
694 |TYC 3159-59-1                                                                                            |Star                              |20 18 16.7138376912 +42 46 02.519912244|079.8045012777236 +03.8956770113981|  -0.764 -2.390  |10.57    |~                     |    ~     ~    |    1| 1089.325   pc  | -13.8835    +13.8835  |paral   |2020yCat.1350....0G
695 |TYC 3159-63-1                                                                                            |Star                              |20 17 55.9263338880 +42 35 59.066395296|079.6295311198205 +03.8547165942838|  -5.811 -7.288  |10.25    |~                     |    ~     ~    |    1| 1467.782   pc  | -71.0947    +71.0947  |paral   |2020yCat.1350....0G
696 |TYC 3159-81-1                                                                                            |Star                              |20 17 52.9334011968 +42 40 11.219335500|079.6826113510026 +03.9014658912606|    4.110 3.209  |10.39    |~                     |    ~     ~    |    1|  473.373   pc  |  -3.0699     +3.0699  |paral   |2020yCat.1350....0G
697 |TYC 3159-121-1                                                                                           |Star                              |20 19 42.6243223368 +42 27 59.866980804|079.7032951468830 +03.5088526623510|  -1.436 10.810  |10.72    |~                     |    ~     ~    |    1|  413.822   pc  | -20.6526    +20.6526  |paral   |2020yCat.1350....0G
698 |IRAS 20165+4240                                                                                          |Star                              |20 18 19.8955790904 +42 50 35.274992316|079.8728944220843 +03.9300156694747|  -3.953 -6.114  |9.72     |~                     |    ~     ~    |    1| 3119.152   pc  |-138.1533   +138.1533  |paral   |2020yCat.1350....0G
699 |TYC 3159-191-1                                                                                           |Star                              |20 18 26.3222090064 +42 28 40.564319232|079.5806880088513 +03.7092186281826|    3.368 4.303  |10.30    |~                     |    ~     ~    |    1|  823.927   pc  |  -8.1463     +8.1463  |paral   |2020yCat.1350....0G
700 |TYC 3159-197-1                                                                                           |Star                              |20 18 31.1516941944 +42 39 33.802925760|079.7396393022824 +03.7985964566576|  -2.259 -5.006  |10.66    |~                     |    ~     ~    |    1| 2962.085   pc  |-111.4292   +111.4292  |paral   |2020yCat.1350....0G
701 |TYC 3159-215-1                                                                                           |Star                              |20 18 11.1894419328 +43 04 10.981507044|080.0462855070625 +04.0787699631168|-12.172 -26.290  |10.15    |~                     |    ~     ~    |    1|  557.849   pc  |  -5.4770     +5.4770  |paral   |2020yCat.1350....0G
702 |TYC 3159-223-1                                                                                           |High Proper Motion Star           |20 19 07.8573095952 +42 20 58.352918532|079.5460244444190 +03.5314175813540|-56.127 -33.525  |10.86    |~                     |    ~     ~    |    1|  199.207   pc  |  -0.3968     +0.3968  |paral   |2020yCat.1350....0G
703 |GSC 03159-00235                                                                                          |Double or Multiple Star           |20 19 32.8300335720 +43 07 00.257844540|080.2249348181493 +03.8994506571828|  -6.219 -9.286  |10.977   |~                     |    ~     ~    |    1|  834.307   pc  |  -8.9097     +8.9097  |paral   |2020yCat.1350....0G
704 |TYC 3159-293-1                                                                                           |Star                              |20 18 08.5326141696 +42 51 43.250761800|079.8691196302273 +03.9693488326879|   2.548 -0.656  |10.77    |~                     |    ~     ~    |    1|  522.411   pc  |  -3.5206     +3.5206  |paral   |2020yCat.1350....0G
705 |TYC 3159-333-1                                                                                           |Star                              |20 18 30.9842003808 +42 54 45.897309720|079.9497153427553 +03.9409355390272|  15.407 17.984  |10.45    |~                     |    ~     ~    |    1|  667.557   pc  |  -4.8128     +4.8128  |paral   |2020yCat.1350....0G
706 |TYC 3159-369-1                                                                                           |Star                              |20 19 03.3851550240 +42 50 27.764083716|079.9458049988437 +03.8188127406425|   0.759 -1.738  |10.70    |~                     |    ~     ~    |    1| 1038.422   pc  | -50.2497    +50.2497  |paral   |2020yCat.1350....0G
707 |TYC 3159-389-1                                                                                           |Star                              |20 18 11.6664679032 +42 29 25.096965864|079.5656912937816 +03.7534578305039|    4.476 0.388  |10.53    |~                     |    ~     ~    |    1|  738.989   pc  |  -6.0618     +6.0618  |paral   |2020yCat.1350....0G
708 |TYC 3159-473-1                                                                                           |Star                              |20 18 30.0778771992 +42 49 43.766632812|079.8784697746113 +03.8962267935039|    6.710 0.854  |10.26    |~                     |    ~     ~    |    1|  468.274   pc  |  -7.6968     +7.6968  |paral   |2020yCat.1350....0G
709 |TYC 3159-602-1                                                                                           |Star                              |20 17 26.9632094352 +43 03 35.914156956|079.9628308134609 +04.1850300628354|   3.381 -4.828  |10.17    |~                     |    ~     ~    |    1|  605.694   pc  |  -3.8521     +3.8521  |paral   |2020yCat.1350....0G
710 |TYC 3159-674-1                                                                                           |Star                              |20 17 36.8766335160 +42 58 32.207492172|079.9095013251523 +04.1129188150974|-12.786 -20.551  |10.55    |~                     |    ~     ~    |    1|  484.637   pc  |  -2.4897     +2.4897  |paral   |2020yCat.1350....0G
711 |TYC 3159-1008-1                                                                                          |Star                              |20 16 23.0082146328 +42 47 50.926342992|079.6352826048791 +04.2011664610429|  -2.406 -3.282  |10.65    |~                     |    ~     ~    |    1|  262.316   pc  |  -0.7225     +0.7225  |paral   |2020yCat.1350....0G
712 |BD+42 3656A                                                                                              |High Proper Motion Star           |20 15 50.8195582800 +42 33 30.804772032|079.3811101385873 +04.1507173386670|   9.062 60.810  |10.68    |~                     |    ~     ~    |    1|  213.388   pc  |  -0.5419     +0.5419  |paral   |2020yCat.1350....0G
713 |TYC 3159-1235-1                                                                                          |Star                              |20 17 40.4824734336 +42 41 35.272175280|079.6806752540233 +03.9461413823432| -0.244 -11.562  |10.91    |~                     |    ~     ~    |    1|  640.369   pc  |  -5.4130     +5.4130  |paral   |2020yCat.1350....0G
714 |TYC 3159-1329-1                                                                                          |Star                              |20 17 35.6994856296 +43 00 35.846213256|079.9360735964905 +04.1350536995142|  -4.795 -8.816  |10.52    |~                     |    ~     ~    |    1|  939.761   pc  | -11.5693    +11.5693  |paral   |2020yCat.1350....0G
715 |TYC 3159-1333-1                                                                                          |Star                              |20 16 44.4635512176 +42 23 28.575070152|079.3333773682032 +03.9207256581201|  -6.456 -5.748  |10.28    |~                     |    ~     ~    |    1|  997.208   pc  | -10.9387    +10.9387  |paral   |2020yCat.1350....0G
716 |TYC 3159-1386-1                                                                                          |Star                              |20 15 35.8829430024 +42 43 50.382700968|079.4994015858219 +04.2841288819574|  -7.124 -3.221  |10.93    |~                     |    ~     ~    |    1|  904.895   pc  |  -8.4340     +8.4340  |paral   |2020yCat.1350....0G
717 |TYC 3159-1402-1                                                                                          |Star                              |20 17 21.3252091248 +42 53 49.730988336|079.8176778230533 +04.1085490910118| -12.476 -8.175  |10.20    |~                     |    ~     ~    |    1|  723.170   pc  |  -6.2757     +6.2757  |paral   |2020yCat.1350....0G
718 |TYC 3159-1739-1                                                                                          |Star                              |20 16 10.0412343192 +42 30 15.933725604|079.3687520993467 +04.0715879716209| -0.762 -12.048  |9.36     |~                     |    ~     ~    |    1|  527.315   pc  | -17.9627    +17.9627  |paral   |2020yCat.1350....0G
719 |TYC 3159-1755-1                                                                                          |Star                              |20 16 57.0376403904 +42 38 23.446673124|079.5619557178841 +04.0269516594862|   2.491 -9.809  |10.27    |~                     |    ~     ~    |    1| 1028.172   pc  | -12.8971    +12.8971  |paral   |2020yCat.1350....0G
720 |TYC 3160-84-1                                                                                            |Star                              |20 20 13.9937035896 +43 07 09.870628296|080.2978046379128 +03.7974931634856|  14.035 -3.260  |10.23    |~                     |    ~     ~    |    1|  197.800   pc  |  -0.4578     +0.4578  |paral   |2020yCat.1350....0G
