C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:20:07

dec< 0&rah >=0.75&rah< 1.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2467

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-------------------------|--------|-------------------
272 |CD-33 345                                                                                                                                                                      |Star                                |00 55 02.3207010984 -33 03 06.277625928|295.6635810362460 -84.0256115668776|   17.412 5.953   |10.920   |~                   |    ~     ~    |    1|  296.563   pc  |  -5.0090     +5.0090    |ST-L    |2020AJ....160...83S
273 |CD-35 309                                                                                                                                                                      |Double or Multiple Star             |00 55 21.235632 -34 27 25.05600        |296.632233076 -82.623332678        |     31.4 -17.4   |10.570   |~                   |    ~     ~    |    0|                |                         |        |                   
274 |CD-35 310                                                                                                                                                                      |Star                                |00 55 28.4809117872 -34 24 38.253971484|296.3955038380829 -82.6663250765164| -0.149 -14.163   |10.713   |~                   |    ~     ~    |    1|  306.097   pc  |  -7.7460     +7.7460    |ST-L    |2020AJ....160...83S
275 |CD-34 350                                                                                                                                                                      |Star                                |00 55 51.8656302624 -33 35 31.139973312|294.8039937827049 -83.4662700446080| 11.106 -10.195   |10.761   |~                   |    ~     ~    |    1|  270.529   pc  |  -4.4280     +4.4280    |ST-L    |2020AJ....160...83S
276 |CD-35 314                                                                                                                                                                      |Star                                |00 56 10.1217142680 -35 03 40.740593616|295.9568626528951 -82.0027659523342|  -2.147 13.664   |10.606   |~                   |    ~     ~    |    1|  303.041   pc  |  -5.8350     +5.8350    |ST-L    |2020AJ....160...83S
277 |CD-34 357                                                                                                                                                                      |Star                                |00 56 14.1073630080 -33 42 58.012864452|294.3092909565899 -83.3316382299847| 10.317 -10.106   |10.16    |~                   |    ~     ~    |    1|  303.739   pc  |  -3.1644     +3.1644    |paral   |2020yCat.1350....0G
278 |TYC 7000-881-1                                                                                                                                                                 |Star                                |00 52 01.7746802592 -34 07 39.501307236|301.9272379835413 -82.9994589314974|  3.890 -15.934   |10.47    |~                   |    ~     ~    |    1|  134.629   pc  |  -0.3353     +0.3353    |paral   |2020yCat.1350....0G
279 |CD-35 287                                                                                                                                                                      |Star                                |00 51 39.2734224648 -34 53 07.775449008|302.6027719976056 -82.2426207760561|  25.160 17.209   |10.94    |~                   |    ~     ~    |    1|  337.804   pc  |  -2.6474     +2.6474    |paral   |2020yCat.1350....0G
280 |CD-36 314                                                                                                                                                                      |Star                                |00 54 34.6703633184 -35 25 25.048921656|298.5082784399583 -81.6776412083127|  0.694 -49.339   |10.231   |~                   |    ~     ~    |    1|  143.082   pc  |  -1.2470     +1.2470    |ST-L    |2020AJ....160...83S
281 |TYC 6998-2019-1                                                                                                                                                                |Star                                |00 48 13.6667270280 -33 36 10.456771752|308.8364416433846 -83.4885058494186|  4.245 -17.204   |10.79    |~                   |    ~     ~    |    1| 1594.388   pc  | -40.1647    +40.1647    |paral   |2020yCat.1350....0G
282 |TYC 7000-1031-1                                                                                                                                                                |High Proper Motion Star             |00 52 13.9678693368 -34 37 21.538774020|301.6783637830606 -82.5036679218213|  77.627 10.352   |10.71    |~                   |    ~     ~    |    1|  238.129   pc  |  -0.8563     +0.8563    |paral   |2020yCat.1350....0G
283 |TYC 7000-1295-1                                                                                                                                                                |Star                                |00 45 16.9715364792 -34 27 53.607245076|312.7575776930107 -82.5455777293018|  -1.221 -6.624   |10.75    |~                   |    ~     ~    |    1|  980.873   pc  | -16.6445    +16.6445    |paral   |2020yCat.1350....0G
284 |TYC 7001-2117-1                                                                                                                                                                |Star                                |00 55 40.5720277920 -35 16 03.467543808|296.8477174761846 -81.8104941005682|  19.070 17.189   |10.92    |~                   |    ~     ~    |    1|  222.250   pc  |  -3.5130     +3.5130    |ST-L    |2020AJ....160...83S
285 |HD 5497                                                                                                                                                                        |Pulsating Variable                  |00 56 19.8234390672 -35 36 44.865093132|296.2272922311350 -81.4520058811107|   22.507 9.851   |9.04     |A4V                 |    ~     ~    |    1|  210.912   pc  |  -2.7990     +2.7990    |ST-L    |2020AJ....160...83S
286 |CD-36 348                                                                                                                                                                      |Star                                |00 58 19.8363998616 -35 29 01.792990140|293.3782431714595 -81.5161818344127|-19.529 -17.050   |9.48     |K1                  |    ~     ~    |    1|  423.675   pc  |  -2.8900     +2.8900    |paral   |2020yCat.1350....0G
287 |[FF93] 515386                                                                                                                                                                  |Star                                |00 58 19.7 -35 29 01                   |293.3811 -81.5165                  |            ~ ~   |9.51     |~                   |    ~     ~    |    0|                |                         |        |                   
288 |TYC 7001-2080-1                                                                                                                                                                |Star                                |00 56 27.0970925184 -35 33 51.874920288|296.0204047662911 -81.4964552280902| 15.403 -11.086   |10.792   |~                   |    ~     ~    |    1|  695.880   pc  | -28.7400    +28.7400    |ST-L    |2020AJ....160...83S
289 |CD-36 338                                                                                                                                                                      |Star                                |00 57 45.3491486376 -35 31 40.163092032|294.2097657735175 -81.4931677282593| -3.823 -35.033   |9.99     |~                   |    ~     ~    |    1|  174.289   pc  |  -0.7533     +0.7533    |paral   |2020yCat.1350....0G
290 |HD 5816                                                                                                                                                                        |Pulsating Variable                  |00 59 16.3885347984 -35 29 26.713870476|292.1145523911858 -81.4723021802995|   8.459 -5.128   |9.35     |F0V                 |    ~     ~    |    1|  364.101   pc  |  -8.2590     +8.2590    |ST-L    |2020AJ....160...83S
291 |HD 5509                                                                                                                                                                        |Star                                |00 56 27.7787136096 -33 49 03.191865060|294.0513100256196 -83.2238404673002|  30.557 -8.819   |9.718    |F7V                 |    ~     ~    |    1|  122.853   pc  |  -0.9015     +0.9015    |ST-L    |2020AJ....160...83S
292 |HD 5568                                                                                                                                                                        |Star                                |00 57 05.8941614352 -33 52 11.422189308|293.0336292771546 -83.1492967468578|   -0.530 4.964   |8.82     |K0III               |    ~     ~    |    1|  332.297   pc  |  -6.5840     +6.5840    |ST-L    |2020AJ....160...83S
293 |CD-35 315                                                                                                                                                                      |Star                                |00 56 20.5704859656 -35 08 51.607385844|295.7870936197137 -81.9124270038670|  12.812 10.947   |9.81     |K1                  |    ~     ~    |    1|  446.458   pc  | -11.6600    +11.6600    |ST-L    |2020AJ....160...83S
294 |HD 5531                                                                                                                                                                        |Star                                |00 56 44.8229356128 -34 39 56.577769488|294.6744153951115 -82.3772298503884| 27.147 -15.355   |8.74     |F5V                 |    ~     ~    |    1|  164.577   pc  |  -5.4794     +5.4794    |paral   |2020yCat.1350....0G
295 |CD-35 329                                                                                                                                                                      |Star                                |00 58 37.3483077936 -34 25 26.741763984|291.4406250563864 -82.5431863963369|  15.589 -6.286   |9.82     |G5                  |    ~     ~    |    1|  547.945   pc  |  -4.9540     +4.9540    |paral   |2020yCat.1350....0G
296 |[FF93] 515384                                                                                                                                                                  |Star                                |00 58 37.2 -34 25 26                   |291.4441 -82.5435                  |            ~ ~   |9.87     |~                   |    ~     ~    |    0|                |                         |        |                   
297 |CD-35 326                                                                                                                                                                      |High Proper Motion Star             |00 57 51.4706391912 -34 26 38.745816972|292.6624426696643 -82.5557185201056|-53.704 -16.882   |9.72     |~                   |    ~     ~    |    1|   74.816   pc  |  -0.1024     +0.1024    |paral   |2020yCat.1350....0G
298 |CD-35 328                                                                                                                                                                      |Star                                |00 58 02.7280050900 -34 48 08.856320092|292.8918927846753 -82.1965688212943|   37.167 1.800   |10.76    |~                   |    ~     ~    |    0|                |                         |        |                   
299 |CD-33 365                                                                                                                                                                      |Star                                |00 59 28.9338622104 -33 06 14.917101696|287.1981674312239 -83.7765040297388|    1.787 8.873   |9.83     |G5                  |    ~     ~    |    1|  129.281   pc  |  -3.3160     +3.3160    |paral   |2020yCat.1350....0G
300 |HD 5825                                                                                                                                                                        |Spectroscopic Binary                |00 59 25.4531160240 -34 38 10.607666856|290.5792417591252 -82.2994937541290|   9.862 22.236   |7.68     |G8pBa               |    ~     ~    |    1|  333.890   pc  |  -5.8082     +5.8082    |paral   |2020yCat.1350....0G
301 |NGC 334                            NGC 334                                                                                                                                     |Galaxy                              |00 58 49.8189440856 -35 06 57.859544160|292.1977024856811 -81.8575344474177|            ~ ~   |     ~   |~                   |0.547 0.426    |    1|  104.23    Mpc |                         |        |2016AJ....152...50T
302 |CD-33 364                                                                                                                                                                      |Star                                |00 59 11.0228034696 -33 05 08.926393668|287.7047181609730 -83.8118108242855|  17.663 -8.347   |10.46    |~                   |    ~     ~    |    1|  785.546   pc  |  -9.6882     +9.6882    |paral   |2020yCat.1350....0G
303 |CD-35 330                                                                                                                                                                      |Star                                |00 58 40.5811628616 -35 14 07.373171256|292.5806161000183 -81.7468838177850|  20.002 11.960   |10.59    |~                   |    ~     ~    |    1|  884.330   pc  | -13.2947    +13.2947    |paral   |2020yCat.1350....0G
304 |CD-36 359                                                                                                                                                                      |Star                                |00 59 19.7268994128 -35 23 07.124170704|291.8912110960728 -81.5731108421022| 10.564 -18.596   |10.896   |~                   |    ~     ~    |    1|  285.010   pc  |  -5.8910     +5.8910    |ST-L    |2020AJ....160...83S
305 |TYC 6999-1754-1                                                                                                                                                                |Star                                |00 59 42.5979191160 -33 02 37.647285684|286.6121282790126 -83.8202151293376|  -9.377 -5.867   |10.87    |~                   |    ~     ~    |    1|  287.439   pc  |  -1.4789     +1.4789    |paral   |2020yCat.1350....0G
306 |HD 4356                                                                                                                                                                        |Star                                |00 45 41.8036203000 -33 09 56.751473988|314.1935167926469 -83.8364675766727| 36.776 -32.409   |10.209   |G3/5V               |    ~     ~    |    1|  214.276   pc  |  -2.9120     +2.9120    |ST-L    |2020AJ....160...83S
307 |HD 4455                                                                                                                                                                        |High Proper Motion Star             |00 46 30.8134545000 -33 08 37.974900048|312.6640289473161 -83.8910512422672|  97.436 17.050   |9.00     |F5V                 |    ~     ~    |    1|  136.934   pc  |  -0.3488     +0.3488    |paral   |2020yCat.1350....0G
308 |HD 4367                                                                                                                                                                        |Star                                |00 45 47.5297880016 -30 39 49.846063716|321.8592768826893 -86.2548088285794|  -5.743 12.406   |8.80     |G0V                 |    ~     ~    |    1|  118.772   pc  |  -0.4853     +0.4853    |paral   |2020yCat.1350....0G
309 |HD 4390                                                                                                                                                                        |Double or Multiple Star             |00 45 57.2962697544 -30 42 33.286537332|321.1275059863301 -86.2234709035947|  -0.961 15.616   |7.82     |F8V                 |0.0017  0.0    |    1|  117.886   pc  |  -0.9408     +0.9408    |paral   |2020yCat.1350....0G
310 |HD 4415                                                                                                                                                                        |Star                                |00 46 13.0395570528 -30 41 04.546457376|320.4302599913397 -86.2647409525706|  -4.848 -3.893   |9.43     |G8III               |    ~     ~    |    1|  462.157   pc  | -11.1300    +11.1300    |ST-L    |2020AJ....160...83S
311 |HD 4427                                                                                                                                                                        |High Proper Motion Star             |00 46 14.6519272104 -31 40 27.835998132|316.5898971906146 -85.3153737835942| 57.607 -16.635   |9.94     |G5(IV)              |    ~     ~    |    1|  108.033   pc  |  -1.0621     +1.0621    |paral   |2020yCat.1350....0G
312 |HD 4453                                                                                                                                                                        |Star                                |00 46 26.5113088560 -31 36 55.402431696|316.2643128365350 -85.3828632436203|   12.836 1.649   |9.85     |K2(III)             |    ~     ~    |    1|  542.446   pc  |  -4.2960     +4.2960    |paral   |2020yCat.1350....0G
313 |HD 4341                                                                                                                                                                        |Star                                |00 45 33.3414576744 -32 02 21.080834232|317.1697227819172 -84.9254797297758|  1.287 -41.654   |10.07    |G5(IV)              |    ~     ~    |    1|  230.681   pc  |  -0.8195     +0.8195    |paral   |2020yCat.1350....0G
314 |HD 4416                                                                                                                                                                        |Star                                |00 46 09.6410734152 -32 00 36.781853364|315.8375037317749 -84.9851510203152|  21.839 12.778   |8.95     |K1III               |    ~     ~    |    1|  488.305   pc  |  -5.1980     +5.1980    |paral   |2020yCat.1350....0G
315 |HD 4493                                                                                                                                                                        |Star                                |00 46 46.7198092440 -32 14 39.239794896|313.8357635914284 -84.7850300464052| 19.020 -10.930   |9.10     |K0III               |    ~     ~    |    1|  441.774   pc  |  -3.9618     +3.9618    |paral   |2020yCat.1350....0G
316 |HD 4454                                                                                                                                                                        |Star                                |00 46 30.1617115680 -32 26 06.136789848|314.0380134288075 -84.5864010279071| 18.960 -38.014   |9.91     |G1V                 |    ~     ~    |    1|  165.079   pc  |  -0.4551     +0.4551    |paral   |2020yCat.1350....0G
317 |CD-32 292                                                                                                                                                                      |Star                                |00 46 36.0571443672 -32 06 59.641224876|314.5367675597624 -84.9022646068087|  16.464 -0.696   |10.29    |~                   |    ~     ~    |    1|  378.587   pc  |  -3.5259     +3.5259    |paral   |2020yCat.1350....0G
318 |CD-32 296                                                                                                                                                                      |Star                                |00 47 03.5479271208 -31 53 41.940404196|313.9676278034829 -85.1391090491793|  36.671 -6.017   |10.87    |~                   |    ~     ~    |    1|  490.004   pc  |  -3.7696     +3.7696    |paral   |2020yCat.1350....0G
319 |HD 4573                                                                                                                                                                        |Star                                |00 47 29.2527139128 -31 07 25.451544576|314.8784685226312 -85.9125095064866|  4.373 -39.062   |8.36     |K3III               |    ~     ~    |    1|  531.971   pc  |  -6.5938     +6.5938    |paral   |2020yCat.1350....0G
320 |HD 4642                                                                                                                                                                        |Star                                |00 48 08.9003897760 -30 45 52.072672788|313.9297407804361 -86.2933025882830| -39.350 -4.886   |9.34     |F7V                 |    ~     ~    |    1|  103.302   pc  |  -0.2092     +0.2092    |paral   |2020yCat.1350....0G
321 |HD 4692                                                                                                                                                                        |Star                                |00 48 40.1297760984 -31 14 32.301205836|311.1222919533074 -85.8418258568763|   25.584 0.914   |9.76     |K0III               |    ~     ~    |    1|  658.979   pc  |  -7.3389     +7.3389    |paral   |2020yCat.1350....0G
322 |CD-31 300                                                                                                                                                                      |High Proper Motion Star             |00 49 15.1332276864 -30 37 38.940662100|310.5873593493741 -86.4682269603011|  57.676 94.535   |10.05    |G6IV                |    ~     ~    |    1|   78.206   pc  |  -0.0979     +0.0979    |paral   |2020yCat.1350....0G
323 |CD-31 303                                                                                                                                                                      |Star                                |00 49 58.4505975144 -30 35 34.119439692|308.1294082286835 -86.5206587102347|  11.979 -8.173   |10.88    |~                   |    ~     ~    |    1|  377.458   pc  |  -2.3936     +2.3936    |paral   |2020yCat.1350....0G
324 |CD-31 307                                                                                                                                                                      |Star                                |00 50 35.6559767256 -31 18 46.417044672|305.3996506840079 -85.8113157913695| 31.514 -29.339   |10.24    |~                   |    ~     ~    |    1|  473.015   pc  |  -3.8484     +3.8484    |paral   |2020yCat.1350....0G
325 |CD-31 309                                                                                                                                                                      |Spectroscopic Binary                |00 50 59.2514993784 -30 21 57.117064356|304.6515566753760 -86.7608826325247|-53.573 -50.178   |10.43    |G4V                 |    ~     ~    |    1|  134.562   pc  |  -4.1465     +4.1465    |paral   |2020yCat.1350....0G
326 |HD 4983                                                                                                                                                                        |Star                                |00 51 35.7781875672 -30 59 09.840952392|302.4273816956375 -86.1420303148550|-23.376 -24.720   |9.18     |F8/G0V              |    ~     ~    |    1|   90.509   pc  |  -0.1532     +0.1532    |paral   |2020yCat.1350....0G
327 |HD 5024                                                                                                                                                                        |Star                                |00 51 54.5659443264 -30 57 30.684811932|301.4190426250771 -86.1683436777969|   29.606 4.497   |9.20     |A9V                 |    ~     ~    |    1|  242.542   pc  |  -4.5473     +4.5473    |paral   |2020yCat.1350....0G
328 |CD-31 320                                                                                                                                                                      |Star                                |00 51 59.1387229824 -30 35 19.343273280|300.9797886317573 -86.5374696147120|-32.981 -15.948   |10.73    |~                   |    ~     ~    |    1|  222.618   pc  |  -0.6790     +0.6790    |paral   |2020yCat.1350....0G
329 |HD 5133                                                                                                                                                                        |High Proper Motion Star             |00 53 01.1348555154 -30 21 24.891057111|296.8997272303900 -86.7528021105578| 620.243 31.770   |7.171    |K2.5Vk:             |    ~     ~    |    1|   13.971   pc  |  -0.0135     +0.0135    |ST-L    |2020AJ....160...83S
330 |CD-31 327                                                                                                                                                                      |Star                                |00 53 02.8163195760 -30 54 44.020088460|297.7176995447577 -86.1997219682823|  -11.743 3.585   |9.97     |G8V                 |    ~     ~    |    1|  808.604   pc  | -10.0037    +10.0037    |paral   |2020yCat.1350....0G
331 |HD 5270                                                                                                                                                                        |Star                                |00 54 10.8750025968 -30 51 44.844860556|293.9703857664482 -86.2179525251013|    6.738 3.833   |10.02    |G2/3V               |    ~     ~    |    1|  232.412   pc  |  -0.9453     +0.9453    |paral   |2020yCat.1350....0G
332 |CD-31 345                                                                                                                                                                      |Star                                |00 54 58.9901719944 -31 01 25.476656232|291.8985345117213 -86.0282957436866|   8.816 -1.949   |10.74    |~                   |    ~     ~    |    1|  425.387   pc  |  -2.8410     +2.8410    |paral   |2020yCat.1350....0G
333 |CD-31 346                                                                                                                                                                      |Star                                |00 55 17.7262320336 -30 31 32.170088820|289.1968500613765 -86.4992285190824|  11.342 -3.378   |10.81    |~                   |    ~     ~    |    1|  465.816   pc  | -13.0900    +13.0900    |ST-L    |2020AJ....160...83S
334 |HD 4595                                                                                                                                                                        |Star                                |00 47 41.2805546736 -31 21 10.664526888|313.6638743433259 -85.6968921707367|  13.709 -5.870   |7.08     |K2III               |    ~     ~    |    1|  393.685   pc  |  -3.1618     +3.1618    |paral   |2020yCat.1350....0G
335 |CD-32 305                                                                                                                                                                      |Double or Multiple Star             |00 48 17.6047 -31 35 23.067            |311.4721805 -85.4862590            |    -22.1 -22.5   |10.43    |G                   |    ~     ~    |    0|                |                         |        |                   
336 |HD 4660                                                                                                                                                                        |Star                                |00 48 23.5405044624 -31 37 04.851835392|311.1537923675202 -85.4615235816583|  6.890 -44.931   |9.12     |G5V                 |    ~     ~    |    1|  133.910   pc  |  -0.3030     +0.3030    |paral   |2020yCat.1350....0G
337 |CD-32 327                                                                                                                                                                      |High Proper Motion Star             |00 50 14.7476163264 -31 19 57.977967612|306.3995454503534 -85.7874515721782|245.316 -87.709   |10.50    |~                   |    ~     ~    |    1|   68.639   pc  |  -0.0688     +0.0688    |paral   |2020yCat.1350....0G
338 |HD 5099                                                                                                                                                                        |Star                                |00 52 31.4214551472 -31 37 37.287001704|299.9880274488224 -85.4950203540719|  22.615 -4.807   |9.79     |G8/K0III            |    ~     ~    |    1|  318.817   pc  |  -1.3519     +1.3519    |paral   |2020yCat.1350....0G
339 |HD 5301                                                                                                                                                                        |High Proper Motion Star             |00 54 33.3811222128 -31 38 38.486702148|294.5662772380860 -85.4334724556953|   75.642 2.248   |9.22     |G5IV/V              |    ~     ~    |    1|   93.052   pc  |  -0.1437     +0.1437    |paral   |2020yCat.1350....0G
340 |HD 4792                                                                                                                                                                        |High Proper Motion Star             |00 49 39.3083105856 -31 51 00.034846452|307.5205177905154 -85.2623494978857|  63.168 -6.427   |9.46     |F7V                 |    ~     ~    |    1|  226.788   pc  |  -0.7766     +0.7766    |paral   |2020yCat.1350....0G
341 |HD 5060                                                                                                                                                                        |Spectroscopic Binary                |00 52 08.2226793720 -32 09 51.854160456|301.2469730111548 -84.9615610134266|-11.825 -28.409   |9.49     |F8/G0V              |    ~     ~    |    1|  161.776   pc  |  -0.5548     +0.5548    |paral   |2020yCat.1350....0G
342 |HD 5242                                                                                                                                                                        |Spectroscopic Binary                |00 53 47.6633538072 -31 44 59.110624176|296.7403558406125 -85.3501387319804|   9.983 -0.323   |9.71     |G8III               |    ~     ~    |    1|  697.545   pc  | -24.1825    +24.1825    |paral   |2020yCat.1350....0G
343 |HD 5252                                                                                                                                                                        |High Proper Motion Star             |00 53 53.5955582184 -32 14 15.798285312|297.1235136699761 -84.8628120188812| -5.265 -64.063   |9.22     |G5V                 |    ~     ~    |    1|   91.984   pc  |  -0.1531     +0.1531    |paral   |2020yCat.1350....0G
344 |CD-32 361                                                                                                                                                                      |High Proper Motion Star             |00 54 41.4485756544 -31 59 04.415195256|294.8423277018046 -85.0925011357796| 87.873 117.938   |10.19    |G0                  |    ~     ~    |    1|  123.400   pc  |  -0.4568     +0.4568    |paral   |2020yCat.1350....0G
345 |HD 4596                                                                                                                                                                        |Star                                |00 47 39.6597648672 -32 27 26.527604004|311.4419712329885 -84.6083416915493|  21.146 16.718   |9.09     |F3V                 |    ~     ~    |    1|  279.057   pc  |  -1.1681     +1.1681    |paral   |2020yCat.1350....0G
346 |HD 4632                                                                                                                                                                        |Star                                |00 47 58.0737020640 -32 20 07.032333444|310.9514170876649 -84.7388312783443|  -8.896 -8.529   |8.87     |K1III               |    ~     ~    |    1|  395.179   pc  |  -2.8266     +2.8266    |paral   |2020yCat.1350....0G
347 |CD-33 317                                                                                                                                                                      |Star                                |00 51 03.6273162552 -32 31 50.176817040|303.7768876087098 -84.5970284670521|-13.591 -15.471   |9.96     |G0                  |    ~     ~    |    1|  687.994   pc  |  -6.9580     +6.9580    |paral   |2020yCat.1350....0G
348 |HD 5134                                                                                                                                                                        |High Proper Motion Star             |00 52 59.5201119504 -32 39 29.890940220|299.5419508463684 -84.4597166235078| 215.853 95.238   |9.12     |G0V                 |    ~     ~    |    1|   99.247   pc  |  -0.1724     +0.1724    |paral   |2020yCat.1350....0G
349 |HD 5271                                                                                                                                                                        |Star                                |00 54 03.9800488056 -32 20 05.677835604|296.8386866591461 -84.7622111461005|  25.989 -7.572   |8.04     |F2III/IV            |    ~     ~    |    1|  216.840   pc  |  -1.8197     +1.8197    |paral   |2020yCat.1350....0G
350 |CD-33 338                                                                                                                                                                      |High Proper Motion Star             |00 54 10.1998815744 -32 27 59.898870432|296.7639060092832 -84.6288571389649| 44.831 -31.081   |9.83     |G5                  |    ~     ~    |    1|  435.161   pc  |  -3.9388     +3.9388    |paral   |2020yCat.1350....0G
351 |HD 5331                                                                                                                                                                        |High Proper Motion Star             |00 54 50.5302886152 -32 37 10.081841844|295.4868219725125 -84.4594927934467|-12.993 -61.499   |9.15     |G2V                 |    ~     ~    |    1|  103.887   pc  |  -0.1565     +0.1565    |paral   |2020yCat.1350....0G
352 |CD-33 302                                                                                                                                                                      |High Proper Motion Star             |00 47 52.7672600136 -32 45 20.594268756|310.5130059615570 -84.3200620031093|246.822 -12.020   |10.560   |K2Ve                |    ~     ~    |    1|   73.551   pc  |  -0.0958     +0.0958    |paral   |2020yCat.1350....0G
353 |CD-32 318                                                                                                                                                                      |High Proper Motion Star             |00 49 20.4189281352 -32 08 06.219261204|308.0057055448068 -84.9725114296561| 195.858 76.462   |10.48    |~                   |    ~     ~    |    1|  163.012   pc  |  -0.4517     +0.4517    |paral   |2020yCat.1350....0G
354 |CD-32 362                                                                                                                                                                      |Star                                |00 54 54.0 -31 29 00                   |293.3095 -85.5801                  |            ~ ~   |10.72    |~                   |    ~     ~    |    0|                |                         |        |                   
355 |CD-33 314                                                                                                                                                                      |High Proper Motion Star             |00 50 06.7228565856 -32 31 00.647733756|305.9053166204593 -84.6037492187757|  73.969 42.974   |10.29    |~                   |    ~     ~    |    1|  280.852   pc  |  -1.0727     +1.0727    |paral   |2020yCat.1350....0G
356 |CD-32 330                                                                                                                                                                      |Star                                |00 50 23.6759573808 -31 47 51.191729592|305.6529465065337 -85.3251858660401| 38.081 -12.260   |10.29    |~                   |    ~     ~    |    1|  230.468   pc  |  -0.9986     +0.9986    |paral   |2020yCat.1350....0G
357 |CD-32 336                                                                                                                                                                      |Star                                |00 51 40.2047168760 -31 37 34.503953628|302.3017675175746 -85.5017172463394|  15.919 -2.082   |10.54    |~                   |    ~     ~    |    1|  133.576   pc  |  -0.2230     +0.2230    |paral   |2020yCat.1350....0G
358 |CD-33 322                                                                                                                                                                      |Star                                |00 51 56.7219356688 -32 35 27.840110280|301.8093136544433 -84.5360795679691|   6.662 -2.690   |9.78     |~                   |    ~     ~    |    1|  499.326   pc  |  -3.2662     +3.2662    |paral   |2020yCat.1350....0G
359 |CD-32 346                                                                                                                                                                      |High Proper Motion Star             |00 52 27.9960331872 -32 07 10.059005136|300.4301586133827 -85.0037937457525| 58.087 -26.032   |10.46    |~                   |    ~     ~    |    1|  422.494   pc  |  -3.0345     +3.0345    |paral   |2020yCat.1350....0G
360 |CD-33 328                                                                                                                                                                      |Star                                |00 52 32.0081185344 -32 24 14.760423936|300.4188259064024 -84.7188054589256|  36.427 29.222   |10.72    |~                   |    ~     ~    |    1|  324.760   pc  |  -1.5082     +1.5082    |paral   |2020yCat.1350....0G
361 |CD-31 326                                                                                                                                                                      |Star                                |00 53 03.1354589784 -30 24 12.683177928|296.8632642939168 -86.7056875922868| 25.204 -15.121   |10.98    |~                   |    ~     ~    |    1| 1131.350   pc  | -26.4950    +26.4950    |paral   |2020yCat.1350....0G
362 |NGC 254                            NGC 254                                                                                                                                     |Galaxy in Pair of Galaxies          |00 47 27.6403595256 -31 25 18.598093788|314.1117955099523 -85.6197733054087|   0.509 -0.365   |11.82    |~                   |1.453 0.785    |    1|   17.1000  Mpc |                         |redshift|2019A&A...631A..38L
363 |CD-32 323                                                                                                                                                                      |High Proper Motion Star             |00 49 47.7192085728 -31 54 08.889116940|307.1126059344042 -85.2124428230759| 66.698 -26.758   |10.90    |~                   |    ~     ~    |    1|   85.576   pc  |  -0.1252     +0.1252    |paral   |2020yCat.1350....0G
364 |TYC 6998-559-1                                                                                                                                                                 |High Proper Motion Star             |00 47 58.4608242240 -32 38 46.568070096|310.4666464901187 -84.4312265783949| 130.002 53.033   |10.74    |~                   |    ~     ~    |    1|  140.649   pc  |  -0.3165     +0.3165    |paral   |2020yCat.1350....0G
365 |TYC 6998-1080-1                                                                                                                                                                |Star                                |00 45 42.1458370752 -30 43 54.601611384|321.7893467070435 -86.1842882451286|  1.994 -13.758   |10.791   |~                   |    ~     ~    |    1| 1017.660   pc  | -60.5800    +60.5800    |ST-L    |2020AJ....160...83S
366 |TYC 6998-1114-1                                                                                                                                                                |Star                                |00 45 19.2194979000 -30 46 48.770211684|322.6907130562741 -86.1107198001078|  13.704 -6.344   |10.99    |~                   |    ~     ~    |    1|  986.096   pc  | -15.3637    +15.3637    |paral   |2020yCat.1350....0G
367 |TYC 6998-1952-1                                                                                                                                                                |Star                                |00 45 09.4824873168 -33 13 37.544541564|315.0889958156647 -83.7522546243596| -14.579 13.540   |10.67    |~                   |    ~     ~    |    1|  151.957   pc  |  -0.3533     +0.3533    |paral   |2020yCat.1350....0G
368 |TYC 6999-1527-1                                                                                                                                                                |Star                                |00 55 16.1839424688 -31 24 48.973035564|292.1293467971311 -85.6340070390689| 24.497 -35.830   |10.96    |~                   |    ~     ~    |    1|  286.426   pc  |  -1.6080     +1.6080    |paral   |2020yCat.1350....0G
369 |NGC 289                            NGC 289                                                                                                                                     |Active Galaxy Nucleus               |00 52 42.365 -31 12 20.99              |299.124330 -85.913042              |            ~ ~   |13.44    |~                   | 3.72  2.75    |    1|   20.797   Mpc |                         |redshift|2019A&A...631A..38L
370 |HD 5496                                                                                                                                                                        |Star                                |00 56 22.5613888968 -31 11 01.621825440|288.3423205769755 -85.8037273521795|    6.523 3.805   |10.52    |B9V                 |    ~     ~    |    1|  880.359   pc  | -27.5136    +27.5136    |paral   |2020yCat.1350....0G
371 |CD-31 368                                                                                                                                                                      |Star                                |00 57 09.9909463608 -31 01 34.072549464|285.4736740287570 -85.9062357910802|  12.339 -9.680   |9.66     |K0                  |    ~     ~    |    1|  905.469   pc  | -15.6596    +15.6596    |paral   |2020yCat.1350....0G
