C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:20:07

dec< 0&rah >=0.75&rah< 1.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2467

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-------------------------|--------|-------------------
21  |CD-42 283                                                                                                                                                                      |Star                                |00 50 47.4028535472 -42 10 20.878014864|303.3943694998393 -74.9552045738327|   2.529 -6.529   |10.07    |~                   |    ~     ~    |    1|  305.633   pc  |  -3.8859     +3.8859    |paral   |2020yCat.1350....0G
22  |CD-42 287                                                                                                                                                                      |High Proper Motion Star             |00 51 29.8955026392 -41 59 27.494471004|302.8882097827035 -75.1372766065731| 68.550 -12.636   |10.36    |F8                  |    ~     ~    |    1|  145.664   pc  |  -0.3650     +0.3650    |paral   |2020yCat.1350....0G
23  |HD 5378                                                                                                                                                                        |Star                                |00 55 06.7158456240 -41 58 42.931127532|300.2702463554030 -75.1306674630678|  11.973 -6.440   |9.32     |K2/3(III)           |    ~     ~    |    1| 1022.599   pc  | -14.6399    +14.6399    |paral   |2020yCat.1350....0G
24  |HD 4751                                                                                                                                                                        |Star                                |00 49 03.8212002528 -42 33 42.441896844|304.5741358287814 -74.5588916971795|  14.818 -4.911   |7.564    |B8V                 |    ~     ~    |    1|  309.684   pc  |  -3.7019     +3.7019    |paral   |2020yCat.1350....0G
25  |HD 4784                                                                                                                                                                        |Star                                |00 49 23.9852581392 -42 20 55.274425872|304.3659407428130 -74.7738896331598|  -1.023 -8.382   |8.78     |G8III               |    ~     ~    |    1|  449.438   pc  |  -3.4339     +3.4339    |paral   |2020yCat.1350....0G
26  |HD 4877                                                                                                                                                                        |Star                                |00 50 21.5597022408 -43 06 47.304971352|303.6466708443501 -74.0136152686424|  19.533 12.340   |8.97     |K2III               |    ~     ~    |    1|  299.079   pc  |  -1.3686     +1.3686    |paral   |2020yCat.1350....0G
27  |CD-43 234                                                                                                                                                                      |Star                                |00 50 34.5732992256 -42 21 13.778414136|303.5380831656536 -74.7734108983127|  23.567 10.177   |10.32    |F8                  |    ~     ~    |    1|  179.022   pc  |  -2.3492     +2.3492    |paral   |2020yCat.1350....0G
28  |HD 5062                                                                                                                                                                        |Star                                |00 51 56.7796035216 -42 38 35.380382784|302.5823993792522 -74.4847461560857| 19.056 -16.838   |8.05     |F0V                 |    ~     ~    |    1|  166.797   pc  |  -0.6176     +0.6176    |paral   |2020yCat.1350....0G
29  |HD 5100                                                                                                                                                                        |Pulsating Variable                  |00 52 23.8553612616 -42 46 52.434441408|302.2793208179298 -74.3458045667420|   24.070 6.442   |9.65     |A3V                 |    ~     ~    |    1|  447.968   pc  |  -4.0938     +4.0938    |paral   |2020yCat.1350....0G
30  |HD 5174                                                                                                                                                                        |Star                                |00 53 09.2652258000 -42 48 27.626644800|301.7672195271485 -74.3166963220479|   19.125 2.731   |8.63     |K1/2III/IV          |    ~     ~    |    1|  404.875   pc  |  -3.1309     +3.1309    |paral   |2020yCat.1350....0G
31  |HD 5253                                                                                                                                                                        |Star                                |00 53 41.0947701000 -43 08 53.124772776|301.4472555283040 -73.9736841386804|  37.438 -3.706   |9.47     |G1/2V               |    ~     ~    |    1|  102.670   pc  |  -0.2024     +0.2024    |paral   |2020yCat.1350....0G
