C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:07:50

dec >=0&rah >=12.75&rah< 13.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2206

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |BD+83 367                                                                                                                                                                      |Star                                |12 50 29.1831331944 +82 40 03.676348020|122.9687459822829 +34.4604965131322| -21.805 17.903   |10.12    |G5               |    ~     ~    |    1|  588.132   pc  |  -3.9432     +3.9432  |paral   |2020yCat.1350....0G
23  |BD+83 368                                                                                                                                                                      |Star                                |12 52 35.5220591184 +82 37 28.218261360|122.8869799894995 +34.5036466242542|  10.868 -1.682   |10.29    |F0               |    ~     ~    |    1|  415.110   pc  |  -2.4469     +2.4469  |paral   |2020yCat.1350....0G
24  |HD 112651                                                                                                                                                                      |Star                                |12 54 13.2796957512 +82 31 03.810500868|122.8218311909172 +34.6099322714853|   42.226 4.712   |7.12     |K0               |    ~     ~    |    1|  178.136   pc  |  -1.4153     +1.4153  |paral   |2020yCat.1350....0G
25  |BD+83 371                                                                                                                                                                      |Star                                |12 58 29.3585074968 +82 44 43.701750240|122.6622435223084 +34.3790870368989| -12.766 29.038   |10.95    |F0               |    ~     ~    |    1|  295.212   pc  |  -0.9064     +0.9064  |paral   |2020yCat.1350....0G
26  |BD+83 372                                                                                                                                                                      |Star                                |12 59 07.0874398224 +82 53 38.421693312|122.6446960155011 +34.2299626471763|  -27.908 5.788   |9.60     |F0               |    ~     ~    |    1|  340.588   pc  |  -1.3224     +1.3224  |paral   |2020yCat.1350....0G
27  |HD 113467                                                                                                                                                                      |Double or Multiple Star             |12 59 12.882 +82 56 05.44              |122.642889 +34.189043              |      -18.2 1.1   |8.89     |A0               |    ~     ~    |    0|                |                       |        |                   
28  |HD 112676                                                                                                                                                                      |Star                                |12 54 32.2351546944 +82 09 18.943455348|122.8028679334852 +34.9722136825920| -47.755 12.358   |8.85     |A3               |    ~     ~    |    1|  182.239   pc  |  -0.4583     +0.4583  |paral   |2020yCat.1350....0G
29  |BD+82 373                                                                                                                                                                      |Spectroscopic Binary                |12 45 41.8208587992 +81 36 53.967129408|123.1890095698522 +35.5103956796540|  -59.538 0.027   |9.99     |G0               |    ~     ~    |    1|  421.230   pc  | -16.5901    +16.5901  |paral   |2020yCat.1350....0G
30  |BD+82 374                                                                                                                                                                      |Variable Star                       |12 47 03.5766259488 +81 42 12.622080996|123.1257334158579 +35.4230986273822|   0.074 -4.218   |9.04     |F2               |    ~     ~    |    1|  293.247   pc  |  -1.6253     +1.6253  |paral   |2020yCat.1350....0G
31  |BD+82 376                                                                                                                                                                      |High Proper Motion Star             |12 48 13.7206994256 +81 35 00.352151664|123.0762459451404 +35.5439219497102| -83.136 19.673   |9.93     |G5               |    ~     ~    |    1|   99.586   pc  |  -0.1031     +0.1031  |paral   |2020yCat.1350....0G
