C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:07:50

dec >=0&rah >=12.75&rah< 13.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2206

 #  |                                                                                  identifier                                                                                   |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
510 |BD+51 1784                                                                                                                                                                     |High Proper Motion Star             |12 47 13.1496529560 +51 03 52.039892484|124.5648719282933 +66.0504187702024|-41.964 -26.995   |10.15    |F8               |    ~     ~    |    1|  161.878   pc  |  -0.4586     +0.4586  |paral   |2020yCat.1350....0G
511 |HD 233984                                                                                                                                                                      |Star                                |12 49 42.5293687104 +51 32 12.925648032|123.5825323415686 +65.5891442922797| -26.350 16.824   |9.28     |K0               |    ~     ~    |    1|  540.015   pc  |  -3.2369     +3.2369  |paral   |2020yCat.1350....0G
512 |BD+52 1662                                                                                                                                                                     |Spectroscopic Binary                |12 54 44.7851080560 +51 33 48.747734604|121.6892655833511 +65.5567278309340|   -6.109 4.474   |10.04    |~                |    ~     ~    |    1|  858.811   pc  | -18.9552    +18.9552  |paral   |2020yCat.1350....0G
513 |HD 233985                                                                                                                                                                      |Double or Multiple Star             |12 50 47.1094661280 +50 21 56.788968780|123.1957594594889 +66.7621433112751|  2.945 -14.884   |10.380   |G5               |    ~     ~    |    1|  296.956   pc  |  -1.1640     +1.1640  |paral   |2020yCat.1350....0G
514 |HD 233986                                                                                                                                                                      |High Proper Motion Star             |12 50 49.0758361296 +50 48 06.567087996|123.1758867812124 +66.3261345451946|-86.230 -43.942   |9.67     |G5               |    ~     ~    |    1|  225.795   pc  |  -0.5710     +0.5710  |paral   |2020yCat.1350....0G
515 |HD 233987                                                                                                                                                                      |High Proper Motion Star             |12 50 56.3557711824 +50 29 53.993482404|123.1318331496515 +66.6297273405273| 43.094 -51.275   |9.82     |G5               |    ~     ~    |    1|  167.844   pc  |  -0.3521     +0.3521  |paral   |2020yCat.1350....0G
516 |HD 111957                                                                                                                                                                      |Double or Multiple Star             |12 52 21.2081020776 +50 16 54.251859468|122.5599478463779 +66.8458545206562|  6.826 -13.092   |8.69     |F4V              |0.0050  0.0    |    0|                |                       |        |                   
517 |HD 233990                                                                                                                                                                      |Star                                |12 52 47.7961391760 +51 12 08.550512316|122.4102042179351 +65.9245008956896|   6.741 -2.264   |9.53     |G0               |    ~     ~    |    1|  267.387   pc  |  -0.8294     +0.8294  |paral   |2020yCat.1350....0G
518 |HD 233995                                                                                                                                                                      |Star                                |12 56 31.4626464024 +51 04 48.141065064|120.9653778560793 +66.0287869212247|   -9.836 4.261   |9.41     |K7               |    ~     ~    |    1|  627.668   pc  |  -4.8064     +4.8064  |paral   |2020yCat.1350....0G
519 |HD 233980                                                                                                                                                                      |Spectroscopic Binary                |12 47 18.7830169680 +50 08 29.189642712|124.6216678120546 +66.9732754526512| -24.840 -8.344   |9.65     |F8               |    ~     ~    |    1|  181.212   pc  |  -5.6350     +5.6350  |paral   |2020yCat.1350....0G
520 |HD 111306                                                                                                                                                                      |Spectroscopic Binary                |12 47 48.2839537392 +50 09 25.017903216|124.4189767346777 +66.9608114825361| -99.335 -7.132   |6.817    |F0               |    ~     ~    |    1|   64.360   pc  |  -0.1889     +0.1889  |paral   |2020yCat.1350....0G
521 |HD 233982                                                                                                                                                                      |Star                                |12 48 57.8351109504 +50 05 29.505810372|123.9488367339004 +67.0318378690348| -49.369 -7.183   |9.81     |F5               |    ~     ~    |    1|  284.293   pc  |  -1.7054     +1.7054  |paral   |2020yCat.1350....0G
522 |NGC 4834                           NGC 4834                                                                                                                                    |LINER-type Active Galaxy Nucleus    |12 56 25.2795687072 +52 17 45.084153264|121.1412450804423 +64.8150655401413|            ~ ~   |     ~   |~                |0.690 0.331    |    0|                |                       |        |                   
523 |BD+51 1793                                                                                                                                                                     |Double or Multiple Star             |12 52 44.425080 +51 03 18.52200        |122.427275642 +66.071831130        |     67.4 -92.3   |10.72    |~                |    ~     ~    |    0|                |                       |        |                   
524 |NGC 4707                           NGC 4707                                                                                                                                    |Galaxy                              |12 48 21.666 +51 09 53.81              |124.115848 +65.956233              |            ~ ~   |     ~   |~                |1.120 1.045    |    1|    7.40    Mpc |                       |T-F     |2011ApJS..192....6L
525 |TYC 3461-523-1                                                                                                                                                                 |High Proper Motion Star             |12 47 55.9483401264 +50 50 25.857510108|124.3076284353975 +66.2783719041557| -49.242 22.574   |10.54    |~                |    ~     ~    |    1|  184.325   pc  |  -0.5776     +0.5776  |paral   |2020yCat.1350....0G
526 |TYC 3461-541-1                                                                                                                                                                 |High Proper Motion Star             |12 45 51.1338568392 +50 52 34.847079204|125.1181644770538 +66.2281886857191|-31.442 -67.857   |10.31    |~                |    ~     ~    |    1|  168.370   pc  |  -0.4451     +0.4451  |paral   |2020yCat.1350....0G
527 |TYC 3461-618-1                                                                                                                                                                 |High Proper Motion Star             |12 51 50.2295075736 +51 16 29.942141412|122.7792874089680 +65.8531501622069| -41.037 29.814   |10.02    |~                |    ~     ~    |    1|  112.082   pc  |  -0.1997     +0.1997  |paral   |2020yCat.1350....0G
528 |TYC 3461-782-1                                                                                                                                                                 |Star                                |12 57 18.9571361232 +51 31 42.825063324|120.7207485856510 +65.5744461215836| -10.631 -1.156   |10.60    |~                |    ~     ~    |    1|  325.744   pc  |  -1.7402     +1.7402  |paral   |2020yCat.1350....0G
529 |TYC 3461-796-1                                                                                                                                                                 |Star                                |12 52 25.6732 +51 14 10.065            |122.5525572 +65.8913940            |-35.228 -26.084   |10.81    |~                |    ~     ~    |    0|                |                       |        |                   
530 |TYC 3461-811-1                                                                                                                                                                 |Star                                |12 49 21.0466551936 +51 32 50.657479836|123.7167316512773 +65.5776670231062|  -1.303 -3.264   |10.77    |~                |    ~     ~    |    1| 1009.693   pc  | -11.9279    +11.9279  |paral   |2020yCat.1350....0G
531 |TYC 3461-819-1                                                                                                                                                                 |Star                                |12 46 50.5500570744 +50 52 02.502103368|124.7320226104344 +66.2448259928490|  -8.623 -8.538   |10.79    |~                |    ~     ~    |    1|  290.537   pc  | -13.4975    +13.4975  |paral   |2020yCat.1350....0G
532 |TYC 3461-925-1                                                                                                                                                                 |Star                                |12 53 54.5492674512 +51 19 07.405365936|121.9897750776726 +65.8050077503918| -20.889 14.160   |10.86    |~                |    ~     ~    |    1|  259.983   pc  |  -0.9868     +0.9868  |paral   |2020yCat.1350....0G
533 |TYC 3461-1078-1                                                                                                                                                                |Star                                |12 52 50.8874858592 +52 14 02.316658056|122.4230575195226 +64.8928821902170|   -2.699 5.631   |10.63    |~                |    ~     ~    |    1|  514.642   pc  |  -3.7080     +3.7080  |paral   |2020yCat.1350....0G
534 |TYC 3461-1182-1                                                                                                                                                                |High Proper Motion Star             |12 52 03.3369666720 +52 19 06.658950936|122.7101447306402 +64.8094700427463| 69.412 -31.422   |10.53    |~                |    ~     ~    |    1|  158.343   pc  |  -0.3184     +0.3184  |paral   |2020yCat.1350....0G
535 |TYC 3461-1357-1                                                                                                                                                                |Star                                |12 54 22.7979723960 +51 59 21.709407912|121.8548018735754 +65.1327352439494| -22.745 -2.224   |10.96    |~                |    ~     ~    |    1|  196.217   pc  |  -0.5121     +0.5121  |paral   |2020yCat.1350....0G
536 |TYC 3461-1381-1                                                                                                                                                                |Spectroscopic Binary                |12 49 34.7264603256 +50 54 13.778920908|123.6588867128505 +66.2218006720886|  1.930 -26.527   |10.14    |~                |    ~     ~    |    1|  338.043   pc  |  -6.3650     +6.3650  |paral   |2020yCat.1350....0G
537 |TYC 3461-1548-1                                                                                                                                                                |High Proper Motion Star             |12 50 31.2600957432 +50 52 06.663668844|123.2912546717603 +66.2590950030112|-75.224 -27.654   |10.92    |~                |    ~     ~    |    1|  165.948   pc  |  -0.4076     +0.4076  |paral   |2020yCat.1350....0G
538 |TYC 3461-1740-1                                                                                                                                                                |Star                                |12 53 24.7204760688 +50 13 36.575636844|122.1272166887922 +66.8983412814193|  -6.196 -2.664   |10.96    |~                |    ~     ~    |    1|  360.490   pc  |  -2.0922     +2.0922  |paral   |2020yCat.1350....0G
539 |TYC 3461-1801-1                                                                                                                                                                |Star                                |12 54 32.3344038552 +50 19 49.773377136|121.6761220161521 +66.7901978753501| -14.578 31.021   |10.75    |~                |    ~     ~    |    1|  340.983   pc  |  -1.4301     +1.4301  |paral   |2020yCat.1350....0G
540 |TYC 3461-1852-1                                                                                                                                                                |Star                                |12 54 52.5696073848 +51 13 03.534239208|121.6132293838609 +65.9017996534275|   2.700 30.271   |10.92    |~                |    ~     ~    |    1|  195.702   pc  |  -0.6281     +0.6281  |paral   |2020yCat.1350....0G
541 |TYC 3461-1915-1                                                                                                                                                                |Star                                |12 54 13.4602262880 +51 20 26.057545800|121.8710623826465 +65.7819409372932| 14.963 -11.108   |10.81    |~                |    ~     ~    |    1|  257.719   pc  |  -0.7904     +0.7904  |paral   |2020yCat.1350....0G
542 |TYC 3461-2029-1                                                                                                                                                                |Star                                |12 46 40.2180498288 +51 26 44.124751284|124.7349133251056 +65.6659686404288| -6.205 -25.257   |10.97    |~                |    ~     ~    |    1|  221.166   pc  |  -0.7435     +0.7435  |paral   |2020yCat.1350....0G
543 |TYC 3461-2036-1                                                                                                                                                                |High Proper Motion Star             |12 52 51.5787142200 +51 09 23.593546080|122.3844759826028 +65.9701873849810|-73.908 -50.113   |10.32    |~                |    ~     ~    |    1|  132.457   pc  |  -0.2070     +0.2070  |paral   |2020yCat.1350....0G
544 |TYC 3461-2038-1                                                                                                                                                                |Star                                |12 49 10.8116214624 +50 56 52.978748064|123.8123226542973 +66.1763431874731| 18.256 -19.768   |10.38    |~                |    ~     ~    |    1|  259.141   pc  |  -0.8797     +0.8797  |paral   |2020yCat.1350....0G
545 |TYC 3461-2049-1                                                                                                                                                                |Star                                |12 57 21.7850903160 +52 06 16.571340360|120.7788781392280 +64.9988722175162|  -39.868 8.526   |10.94    |~                |    ~     ~    |    1|  168.574   pc  |  -0.3097     +0.3097  |paral   |2020yCat.1350....0G
546 |TYC 3461-2101-1                                                                                                                                                                |Star                                |12 51 48.7561608288 +50 47 31.030642968|122.7843948570525 +66.3361921273842|  -6.758 17.781   |10.67    |~                |    ~     ~    |    1|  164.449   pc  |  -0.3840     +0.3840  |paral   |2020yCat.1350....0G
547 |TYC 3842-887-1                                                                                                                                                                 |High Proper Motion Star             |12 48 42.0090351960 +52 30 49.229904240|123.9033668701419 +64.6094131663932| -76.349 -0.865   |10.83    |~                |    ~     ~    |    1|  206.390   pc  |  -0.4728     +0.4728  |paral   |2020yCat.1350....0G
548 |TYC 3842-1142-1                                                                                                                                                                |Star                                |12 54 25.6945794072 +52 34 44.106459492|121.8750083219336 +64.5431968692711|  -37.059 2.988   |10.92    |~                |    ~     ~    |    1|  525.265   pc  |  -3.6143     +3.6143  |paral   |2020yCat.1350....0G
549 |HD 233992                                                                                                                                                                      |Star                                |12 54 20.7846553968 +49 43 47.352933840|121.7092604732808 +67.3915268382577|   0.624 -3.081   |10.52    |G8III            |    ~     ~    |    1|  978.282   pc  | -11.8672    +11.8672  |paral   |2020yCat.1350....0G
550 |HD 233991                                                                                                                                                                      |High Proper Motion Star             |12 53 41.5229974920 +49 18 50.365731636|121.9591751478978 +67.8100042286339| -87.657 14.122   |9.68     |F8               |    ~     ~    |    1|  112.189   pc  |  -0.1787     +0.1787  |paral   |2020yCat.1350....0G
551 |HD 112312                                                                                                                                                                      |Star                                |12 55 09.1467922728 +49 26 22.161088644|121.3419841164276 +67.6772944575389|  -16.539 8.888   |9.32     |G0               |    ~     ~    |    1|  263.532   pc  |  -1.1042     +1.1042  |paral   |2020yCat.1350....0G
552 |HD 111925                                                                                                                                                                      |Star                                |12 52 15.4781954136 +48 21 42.843477204|122.5558236263893 +68.7657525901383| -29.182 14.712   |9.05     |F5               |    ~     ~    |    1|  241.832   pc  | -13.2697    +13.2697  |paral   |2020yCat.1350....0G
553 |HD 112081                                                                                                                                                                      |High Proper Motion Star             |12 53 16.2631575192 +49 02 46.770761904|122.1272974998662 +68.0790631741862|  52.243 12.239   |9.46     |G0               |    ~     ~    |    1|  105.159   pc  |  -0.1924     +0.1924  |paral   |2020yCat.1350....0G
554 |HD 112046                                                                                                                                                                      |High Proper Motion Star             |12 52 59.9652218520 +47 39 32.017245840|122.1822610142977 +69.4670857586046| -80.572 76.564   |8.88     |F5               |    ~     ~    |    1|   99.587   pc  |  -0.1507     +0.1507  |paral   |2020yCat.1350....0G
555 |NGC 4741                           NGC 4741                                                                                                                                    |LINER-type Active Galaxy Nucleus    |12 50 59.5157876304 +47 40 17.460058836|123.1458756120375 +69.4565504632290|            ~ ~   |     ~   |~                |0.700 0.476    |    1|  109.65    Mpc | -19.74      +19.74    |T-F     |2020ApJ...902..145K
556 |HD 233996                                                                                                                                                                      |Star                                |12 57 23.4103719648 +49 32 56.994627084|120.4032351922386 +67.5498523942174|  11.450 -4.942   |9.84     |K5               |    ~     ~    |    1|  304.109   pc  |  -1.7479     +1.7479  |paral   |2020yCat.1350....0G
557 |HD 233994                                                                                                                                                                      |Star                                |12 56 27.3114825744 +49 18 59.271593760|120.7683927018380 +67.7907060159254|  -9.634 19.444   |10.30    |F8               |    ~     ~    |    1|  237.507   pc  |  -1.0267     +1.0267  |paral   |2020yCat.1350....0G
558 |HD 234000                                                                                                                                                                      |High Proper Motion Star             |12 58 37.8646529184 +49 16 04.633007376|119.8230616769207 +67.8168557967088| 24.907 -46.451   |10.32    |G6III:           |    ~     ~    |    1|  143.497   pc  |  -0.2286     +0.2286  |paral   |2020yCat.1350....0G
559 |HD 112296                                                                                                                                                                      |Star                                |12 55 03.5310731664 +48 12 59.492681928|121.2562627213167 +68.8999440392280|  1.147 -43.451   |8.84     |K3IV             |    ~     ~    |    1| 1252.348   pc  | -29.3286    +29.3286  |paral   |2020yCat.1350....0G
560 |HD 112705                                                                                                                                                                      |Star                                |12 58 07.5304370424 +48 14 04.125156972|119.8439091100935 +68.8536556020943|   3.163 -7.057   |9.01     |K0III            |    ~     ~    |    1|  641.149   pc  |  -6.0428     +6.0428  |paral   |2020yCat.1350....0G
561 |HD 112813                                                                                                                                                                      |Star                                |12 58 48.2869630032 +48 35 43.871325648|119.6093406883081 +68.4851791438049|  -23.323 7.399   |9.38     |K0III            |    ~     ~    |    1|  323.321   pc  |  -1.3590     +1.3590  |paral   |2020yCat.1350....0G
562 |HD 112913                                                                                                                                                                      |High Proper Motion Star             |12 59 30.5957246712 +49 07 16.421909808|119.4121827757810 +67.9518223144939| 93.346 -96.177   |9.39     |G5               |    ~     ~    |    1|  138.520   pc  |  -0.2264     +0.2264  |paral   |2020yCat.1350....0G
563 |BD+48 2068                                                                                                                                                                     |Star                                |12 57 31.0443727224 +48 05 36.142133532|120.0982114711356 +69.0014158975371| 24.209 -16.589   |10.35    |F2               |    ~     ~    |    1|  284.034   pc  |  -1.2908     +1.2908  |paral   |2020yCat.1350....0G
564 |BD+48 2071                                                                                                                                                                     |High Proper Motion Star             |12 58 43.0703223672 +48 10 02.238545064|119.5566830220475 +68.9132265766939|-82.933 -28.805   |10.97    |K0               |    ~     ~    |    1|  238.869   pc  |  -0.6904     +0.6904  |paral   |2020yCat.1350....0G
565 |BD+48 2062                                                                                                                                                                     |High Proper Motion Star             |12 53 07.9858562520 +47 29 10.533281892|122.1087841593193 +69.6392837403169| -45.094 40.689   |9.92     |G0               |    ~     ~    |    1|  240.050   pc  | -10.9140    +10.9140  |paral   |2020yCat.1350....0G
566 |BD+48 2066                                                                                                                                                                     |Star                                |12 56 12.0852941832 +47 21 14.094298764|120.6001956364995 +69.7527651392708|-31.614 -12.805   |9.94     |F2               |    ~     ~    |    1|  191.633   pc  |  -0.5802     +0.5802  |paral   |2020yCat.1350....0G
567 |BD+48 2069                                                                                                                                                                     |Star                                |12 57 38.6618413704 +47 28 00.022518264|119.9181433219412 +69.6252445868666| -22.346 17.208   |9.69     |G0               |    ~     ~    |    1|   93.846   pc  |  -0.1277     +0.1277  |paral   |2020yCat.1350....0G
568 |BD+48 2070                                                                                                                                                                     |High Proper Motion Star             |12 58 40.9460626488 +47 26 31.093060740|119.4100798653763 +69.6367119074261| 40.381 -44.046   |9.65     |G8III            |    ~     ~    |    1|  197.488   pc  |  -4.1303     +4.1303  |paral   |2020yCat.1350....0G
569 |HD 112859                                                                                                                                                                      |RS CVn Variable                     |12 59 03.8032711437 +47 09 05.135626552|119.1536441690396 +69.9208450725104|  -59.909 7.164   |8.69     |G6V:             |    ~     ~    |    1|  178.629   pc  |  -1.0753     +1.0753  |paral   |2018yCat.1345....0G
570 |BD+47 2009                                                                                                                                                                     |Star                                |12 59 38.7507240288 +47 06 10.929144420|118.8533194219927 +69.9601626516761|   1.919 -4.265   |10.10    |G8III            |    ~     ~    |    1|  754.034   pc  |  -7.0502     +7.0502  |paral   |2020yCat.1350....0G
571 |V* TU CVn                                                                                                                                                                      |Long-Period Variable                |12 54 56.5204176096 +47 11 48.200441856|121.1980239168018 +69.9197313098952| -18.034 -7.840   |5.84     |M5-III-IIIa      |    ~     ~    |    1|  239.664   pc  |  -9.3912     +9.3912  |paral   |2020yCat.1350....0G
572 |NGC 4837a                          NGC 4837                           NGC 4837                                                                                                 |Galaxy towards a Group of Galaxies  |12 56 48.3241707192 +48 17 49.000170984|120.4621641211848 +68.8055604299810|            ~ ~   |     ~   |~                |1.010 0.343    |    1|  132.5     Mpc |                       |T-F     |2011PASP..123.1011A
573 |NGC 4901                           NGC 4901                                                                                                                                    |LINER-type Active Galaxy Nucleus    |12 59 56.4206035584 +47 12 20.026587636|118.7364146598902 +69.8533663683546|            ~ ~   |     ~   |~                |0.597 0.442    |    1|  125.12    Mpc |                       |redshift|2007ApJ...655..790C
574 |TYC 3459-1092-1                                                                                                                                                                |High Proper Motion Star             |12 55 48.1871075736 +47 50 45.562476084|120.8629686610354 +69.2647231388395|-6.436 -101.190   |10.99    |~                |    ~     ~    |    1|  565.931   pc  |  -4.5479     +4.5479  |paral   |2020yCat.1350....0G
575 |TYC 3459-1453-1                                                                                                                                                                |Spectroscopic Binary                |12 53 24.9153155784 +47 20 54.985006824|121.9630232264651 +69.7759253753599|-59.124 -21.441   |10.65    |~                |    ~     ~    |    1|  319.785   pc  |  -3.0679     +3.0679  |paral   |2020yCat.1350....0G
576 |TYC 3459-1592-1                                                                                                                                                                |Star                                |12 54 29.7890548728 +47 39 05.337094428|121.4631752111733 +69.4680464962051| 35.749 -15.665   |10.96    |~                |    ~     ~    |    1|  184.407   pc  |  -0.5509     +0.5509  |paral   |2020yCat.1350....0G
577 |TYC 3461-2205-1                                                                                                                                                                |Star                                |12 54 17.7918068976 +48 47 57.958132812|121.6574939344603 +68.3217453330244| -2.283 -16.738   |10.70    |G8III            |    ~     ~    |    1| 1202.212   pc  | -19.6563    +19.6563  |paral   |2020yCat.1350....0G
578 |TYC 3461-2226-1                                                                                                                                                                |Spectroscopic Binary                |12 58 08.7008511120 +49 10 32.468172384|120.0156262971280 +67.9145708810101|-11.985 -17.809   |10.41    |~                |    ~     ~    |    1|  337.747   pc  |  -1.9278     +1.9278  |paral   |2020yCat.1350....0G
579 |HD 233981                                                                                                                                                                      |Spectroscopic Binary                |12 48 13.0950767328 +49 55 30.451592208|124.2689352409558 +67.1947678762352|  -26.744 7.455   |9.98     |G9III            |    ~     ~    |    1|  347.814   pc  |  -8.7223     +8.7223  |paral   |2020yCat.1350....0G
580 |BD+49 2159                                                                                                                                                                     |Spectroscopic Binary                |12 45 01.6274480760 +48 15 32.400747108|125.8877903960839 +68.8324423896926|  -2.367 -5.175   |9.98     |K0III            |    ~     ~    |    1|  880.359   pc  | -16.8957    +16.8957  |paral   |2020yCat.1350....0G
581 |BD+49 2161                                                                                                                                                                     |Star                                |12 46 25.1897221368 +48 51 33.754339368|125.1593819407261 +68.2471675575462| -22.425 12.231   |10.35    |F8               |    ~     ~    |    1|  394.042   pc  |  -3.8351     +3.8351  |paral   |2020yCat.1350....0G
582 |BD+48 2053                                                                                                                                                                     |Star                                |12 45 16.2943847712 +48 04 45.638020524|125.8086332506662 +69.0144513952832|  -30.391 4.162   |10.74    |F5               |    ~     ~    |    1|  348.967   pc  |  -1.7171     +1.7171  |paral   |2020yCat.1350....0G
583 |HD 233983                                                                                                                                                                      |Star                                |12 49 15.2168280912 +49 21 18.472598244|123.8721028242674 +67.7691335151342|  9.943 -24.399   |10.26    |F5               |    ~     ~    |    1|  310.145   pc  |  -1.7122     +1.7122  |paral   |2020yCat.1350....0G
584 |BD+50 1952                                                                                                                                                                     |Star                                |12 49 22.9946742816 +49 24 55.730173104|123.8129653320213 +67.7092567983131|   -6.584 0.752   |10.49    |K2III            |    ~     ~    |    1| 2080.732   pc  | -55.4169    +55.4169  |paral   |2020yCat.1350....0G
585 |HD 111811                                                                                                                                                                      |Spectroscopic Binary                |12 51 18.3552532776 +49 16 08.693421780|122.9890547480463 +67.8591562680118| -23.404 -5.956   |7.67     |K5III            |    ~     ~    |    1|  621.659   pc  |  -6.3379     +6.3379  |paral   |2020yCat.1350....0G
586 |HD 233989                                                                                                                                                                      |Star                                |12 52 28.4732234088 +49 21 09.645252408|122.4856104154496 +67.7746748266534|-29.076 -24.894   |10.00    |F8               |    ~     ~    |    1|  212.920   pc  |  -0.7163     +0.7163  |paral   |2020yCat.1350....0G
587 |BD+49 2162                                                                                                                                                                     |Star                                |12 48 33.8537706240 +48 18 34.763058180|124.2540034616917 +68.8112185527065|  -7.858 -8.424   |10.60    |G8III            |    ~     ~    |    1|  660.546   pc  |  -5.8031     +5.8031  |paral   |2020yCat.1350....0G
588 |* 11 CVn                                                                                                                                                                       |High Proper Motion Star             |12 48 41.8031339664 +48 28 00.625838016|124.1803622073930 +68.6547666289124| -64.145 11.025   |6.245    |kA6hA7VmF3       |    ~     ~    |    1|  146.610   pc  |  -0.6534     +0.6534  |paral   |2020yCat.1350....0G
589 |HD 111573                                                                                                                                                                      |Star                                |12 49 38.6495589264 +48 14 08.506744584|123.7612605350737 +68.8896675493601|  16.651 -0.920   |9.15     |F0V              |    ~     ~    |    1|  182.652   pc  |  -0.4537     +0.4537  |paral   |2020yCat.1350....0G
590 |HD 111572                                                                                                                                                                      |Variable Star                       |12 49 38.0356756008 +48 44 24.089092656|123.7393605889790 +68.3853993583918| -17.495 -8.350   |6.495    |K0III            |    ~     ~    |    1|  166.160   pc  |  -5.4528     +5.4528  |paral   |2020yCat.1350....0G
591 |BD+49 2166                                                                                                                                                                     |Star                                |12 49 54.1206389448 +48 13 27.876073188|123.6425831391022 +68.9017230255079| 34.603 -29.622   |10.35    |G7III            |    ~     ~    |    1|  189.717   pc  |  -0.5471     +0.5471  |paral   |2020yCat.1350....0G
592 |BD+49 2169                                                                                                                                                                     |High Proper Motion Star             |12 51 06.3001904976 +48 42 12.774385440|123.0812927625318 +68.4246074246627|-60.312 -34.573   |9.83     |G0               |    ~     ~    |    1|  120.651   pc  |  -3.9506     +3.9506  |paral   |2020yCat.1350....0G
593 |BD+49 2170                                                                                                                                                                     |Star                                |12 51 11.6540800296 +48 16 41.802063780|123.0442900499986 +68.8499209003074|   7.289 -8.833   |9.33     |G8III            |    ~     ~    |    1|  668.315   pc  |  -5.2257     +5.2257  |paral   |2020yCat.1350....0G
594 |BD+48 2057                                                                                                                                                                     |High Proper Motion Star             |12 49 09.9716162136 +48 09 08.885106432|123.9878596888723 +68.9711264551522| -77.106 25.810   |9.63     |F8               |    ~     ~    |    1|  123.469   pc  |  -0.2043     +0.2043  |paral   |2020yCat.1350....0G
595 |BD+48 2060                                                                                                                                                                     |Star                                |12 50 30.5150849064 +47 58 04.605997044|123.3691713777524 +69.1595173172083| -35.087 -2.592   |10.28    |F8               |    ~     ~    |    1|  206.539   pc  |  -0.7380     +0.7380  |paral   |2020yCat.1350....0G
596 |V* BY CVn                                                                                                                                                                      |Long-Period Variable                |12 46 37.4816669088 +47 22 20.257425156|125.2850806363361 +69.7339609824054| -11.565 -8.367   |7.94     |M2III            |    ~     ~    |    1|  466.984   pc  | -10.533     +10.533   |paral   |2020yCat.1350....0G
597 |HD 111041B                                                                                                                                                                     |Star                                |12 46 00.5712295200 +49 49 17.851280880|125.1995076441537 +67.2827198338410|   12.444 2.085   |9.95     |F5IV             |    ~     ~    |    1|  202.951   pc  |  -0.6425     +0.6425  |paral   |2020yCat.1350....0G
598 |BD+49 2168                                                                                                                                                                     |Star                                |12 50 51.8060762976 +48 55 57.401201388|123.1859354652706 +68.1953576375858|-10.438 -47.294   |10.21    |G7               |    ~     ~    |    1|  491.570   pc  |  -3.4555     +3.4555  |paral   |2020yCat.1350....0G
599 |TYC 3459-82-1                                                                                                                                                                  |Star                                |12 46 07.3914551664 +48 13 14.032017372|125.3895513379237 +68.8823189790890|   -8.329 6.440   |10.95    |~                |    ~     ~    |    1|  352.833   pc  |  -6.2993     +6.2993  |paral   |2020yCat.1350....0G
600 |TYC 3459-154-1                                                                                                                                                                 |Star                                |12 49 57.5860009848 +48 39 27.306444204|123.5970427192935 +68.4687583310119|  -5.754 -3.351   |10.67    |~                |    ~     ~    |    1|  328.753   pc  |  -3.2640     +3.2640  |paral   |2020yCat.1350....0G
601 |TYC 3459-156-1                                                                                                                                                                 |Star                                |12 47 44.1777138360 +48 04 37.631243496|124.6604481848689 +69.0387073900854|-14.722 -19.823   |10.55    |~                |    ~     ~    |    1|  285.804   pc  |  -1.2334     +1.2334  |paral   |2020yCat.1350....0G
602 |TYC 3459-277-1                                                                                                                                                                 |High Proper Motion Star             |12 45 25.9596056088 +47 15 17.664483960|125.8894151251036 +69.8388459954594|-81.736 -17.501   |10.96    |~                |    ~     ~    |    1|  151.750   pc  |  -0.3938     +0.3938  |paral   |2020yCat.1350....0G
603 |TYC 3459-593-1                                                                                                                                                                 |Star                                |12 49 10.3856907912 +47 15 31.604928624|124.0482791966437 +69.8645638126668|  -38.268 7.457   |10.49    |~                |    ~     ~    |    1|  174.304   pc  |  -0.5499     +0.5499  |paral   |2020yCat.1350....0G
604 |TYC 3461-289-1                                                                                                                                                                 |Spectroscopic Binary                |12 50 37.2282960144 +49 03 42.892505100|123.2904018079389 +68.0657688580979|-10.376 -11.321   |10.84    |K0III:           |    ~     ~    |    1| 1026.799   pc  | -32.2621    +32.2621  |paral   |2020yCat.1350....0G
605 |TYC 3461-417-1                                                                                                                                                                 |Star                                |12 47 29.9401529736 +49 59 37.206877776|124.5604225574120 +67.1221272623101| -47.477 10.160   |10.83    |~                |    ~     ~    |    1|  165.082   pc  |  -0.4142     +0.4142  |paral   |2020yCat.1350....0G
606 |BD+45 2076                                                                                                                                                                     |Long-Period Variable                |12 58 19.7049389952 +44 33 29.026194192|118.8437158717606 +72.5154528398598|  -8.112 -5.426   |10.4     |M3III            |    ~     ~    |    1| 2010.859   pc  | -73.1883    +73.1883  |paral   |2020yCat.1350....0G
607 |BD+45 2078                                                                                                                                                                     |Star                                |12 58 40.81 +44 48 02.4                |118.71060 +72.26818                |            ~ ~   |10.3     |G7               |    ~     ~    |    0|                |                       |        |                   
608 |HIP 63329                                                                                                                                                                      |Star                                |12 58 40.8106376688 +44 48 02.396690244|118.7105887488813 +72.2681788019620|  -30.554 0.490   |9.68     |K0III            |    ~     ~    |    1|  247.555   pc  |  -0.7354     +0.7354  |paral   |2020yCat.1350....0G
