C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:54:59

dec >=0&rah >=18.0&rah< 18.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5965

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
657 |TYC 3911-1505-1                                                                                          |Star                              |18 09 28.8992 +57 48 00.123            |086.4613522 +28.1763721            | -28.687 16.946   |10.77    |~              |    ~     ~    |    0|                |                       |        |                   
658 |TYC 3911-1592-1                                                                                          |Star                              |18 07 40.3530701136 +57 34 25.504721364|086.1737984410305 +28.3897479639054| -1.193 -11.636   |10.95    |~              |    ~     ~    |    1|  782.105   pc  |  -7.6461     +7.6461  |paral   |2020yCat.1350....0G
659 |TYC 3911-1746-1                                                                                          |Star                              |18 00 01.7666188392 +58 05 54.872569428|086.6543508922297 +29.4542055598240|  -4.923 -2.350   |10.46    |~              |    ~     ~    |    1|  898.796   pc  | -10.4211    +10.4211  |paral   |2020yCat.1350....0G
660 |TYC 3911-1799-1                                                                                          |Star                              |18 01 25.5356608296 +57 56 32.648845740|086.4942982666685 +29.2564658893588|  2.861 -11.712   |10.09    |~              |    ~     ~    |    1|  408.948   pc  |  -2.2744     +2.2744  |paral   |2020yCat.1350....0G
661 |TYC 3911-1876-1                                                                                          |High Proper Motion Star           |18 12 43.6913118504 +56 20 49.805508948|084.8985141983182 +27.5467634171569|-16.387 -75.274   |10.17    |~              |    ~     ~    |    1|  209.780   pc  |  -3.0849     +3.0849  |paral   |2020yCat.1350....0G
662 |TYC 3912-122-1                                                                                           |Spectroscopic Binary              |18 14 55.4934686640 +56 55 18.852854916|085.5887841570084 +27.3317192233851|    8.835 2.946   |10.56    |~              |    ~     ~    |    1|  418.305   pc  |  -9.0289     +9.0289  |paral   |2020yCat.1350....0G
663 |TYC 3912-191-1                                                                                           |Star                              |18 14 05.8603531944 +57 44 17.817529488|086.4815344086061 +27.5580797399627| 22.219 -10.195   |10.24    |~              |    ~     ~    |    1|  218.055   pc  |  -0.6990     +0.6990  |paral   |2020yCat.1350....0G
664 |TYC 3912-595-1                                                                                           |Star                              |18 14 06.0165625968 +58 02 59.215036884|086.8297794716426 +27.5999328263482| -24.799 11.794   |10.31    |~              |    ~     ~    |    1|  362.293   pc  |  -1.7063     +1.7063  |paral   |2020yCat.1350....0G
665 |TYC 3912-1162-1                                                                                          |Star                              |18 14 42.7839052008 +57 29 41.130990096|086.2225674478264 +27.4426297699898|   -8.228 0.220   |9.67     |~              |    ~     ~    |    1|  378.630   pc  |  -2.5088     +2.5088  |paral   |2020yCat.1350....0G
666 |TYC 3912-1175-1                                                                                          |Star                              |18 14 15.4390474296 +57 28 20.595197892|086.1879067567478 +27.5001258678094|   3.413 -4.523   |10.63    |~              |    ~     ~    |    1|  883.392   pc  | -19.9778    +19.9778  |paral   |2020yCat.1350....0G
667 |TYC 3912-1544-1                                                                                          |Star                              |18 14 29.8615395480 +56 19 34.168849716|084.9158926165006 +27.3011350148427|   -0.089 6.445   |10.43    |~              |    ~     ~    |    1|  584.659   pc  |  -4.5805     +4.5805  |paral   |2020yCat.1350....0G
668 |GSC 03912-01741                                                                                          |Double or Multiple Star           |18 13 47.4097033128 +56 45 32.885873640|085.3819414384324 +27.4615074206558| -12.045 22.465   |10.807   |~              |    ~     ~    |    1|  261.452   pc  |  -0.7998     +0.7998  |paral   |2020yCat.1350....0G
669 |TYC 3912-1757-1                                                                                          |Star                              |18 14 49.5028584744 +56 21 29.481841008|084.9592335831500 +27.2611408494635|  -0.743 17.963   |10.98    |~              |    ~     ~    |    1|  299.473   pc  |  -0.8789     +0.8789  |paral   |2020yCat.1350....0G
670 |TYC 3915-36-1                                                                                            |Star                              |18 09 16.3456747152 +58 39 50.085165744|087.4317406256135 +28.3037243759214|   -1.900 1.905   |10.91    |~              |    ~     ~    |    1|  239.848   pc  |  -0.6270     +0.6270  |paral   |2020yCat.1350....0G
671 |TYC 3915-266-1                                                                                           |Star                              |18 03 33.2820999048 +59 01 20.872877628|087.7545949121437 +29.0752580946412| -4.327 -11.089   |10.56    |~              |    ~     ~    |    1|  382.248   pc  |  -1.8118     +1.8118  |paral   |2020yCat.1350....0G
672 |TYC 3915-552-1                                                                                           |Star                              |18 00 53.2373193600 +58 32 46.532961600|087.1772613844180 +29.3791658580685|   0.840 30.008   |10.05    |~              |    ~     ~    |    1|  172.268   pc  |  -0.3086     +0.3086  |paral   |2020yCat.1350....0G
673 |TYC 3915-642-1                                                                                           |Star                              |18 05 51.4424263224 +58 52 54.640977168|087.6259274890120 +28.7666468148818|  4.932 -13.917   |10.55    |~              |    ~     ~    |    1| 1045.478   pc  | -13.2256    +13.2256  |paral   |2020yCat.1350....0G
674 |TYC 3915-862-1                                                                                           |Star                              |18 12 11.4538945056 +58 43 19.848110448|087.5473559031267 +27.9339510013927| -5.162 -24.681   |10.73    |~              |    ~     ~    |    1| 2665.956   pc  | -75.3376    +75.3376  |paral   |2020yCat.1350....0G
675 |TYC 3915-886-1                                                                                           |Star                              |18 11 00.3817305168 +58 59 24.770955876|087.8284199999428 +28.1176429016402|  -9.353 -2.631   |10.90    |~              |    ~     ~    |    1| 2355.158   pc  | -76.5454    +76.5454  |paral   |2020yCat.1350....0G
676 |TYC 3915-1118-1                                                                                          |High Proper Motion Star           |18 07 11.9062784328 +58 34 23.203832520|087.2958987006015 +28.5623246420654| -14.654 46.985   |10.41    |~              |    ~     ~    |    1|  189.072   pc  |  -1.0903     +1.0903  |paral   |2020yCat.1350....0G
677 |TYC 3915-1146-1                                                                                          |Star                              |18 06 14.0934899400 +58 41 11.285181204|087.4097107786465 +28.6986873318174|    3.115 3.694   |9.45     |~              |    ~     ~    |    1|  773.694   pc  |  -9.4579     +9.4579  |paral   |2020yCat.1350....0G
678 |TYC 3915-1194-1                                                                                          |Star                              |18 06 55.7229378984 +58 50 18.678707520|087.5924513927019 +28.6245262080688| -7.314 -31.862   |10.69    |~              |    ~     ~    |    1|  259.323   pc  |  -2.9051     +2.9051  |paral   |2020yCat.1350....0G
679 |TYC 3915-1222-1                                                                                          |Star                              |18 04 10.5918600744 +58 41 03.963784236|087.3779011878789 +28.9646897916414|  -1.806 -1.532   |10.89    |~              |    ~     ~    |    1| 1238.697   pc  | -16.5712    +16.5712  |paral   |2020yCat.1350....0G
680 |TYC 3915-1634-1                                                                                          |Star                              |18 00 45.9263086224 +58 16 16.738825368|086.8613241520223 +29.3720948379772|  -9.326 -5.797   |9.64     |~              |    ~     ~    |    1|  871.612   pc  |  -9.4963     +9.4963  |paral   |2020yCat.1350....0G
681 |TYC 3915-1767-1                                                                                          |Star                              |18 08 53.8179629088 +58 29 39.917537016|087.2342105924305 +28.3334544586360|    3.975 6.267   |10.94    |~              |    ~     ~    |    1|  295.683   pc  |  -0.9442     +0.9442  |paral   |2020yCat.1350....0G
682 |GSC 03916-01707                                                                                          |Double or Multiple Star           |18 13 22.285632 +58 57 51.14916        |087.840209871 +27.811987358        |     -36.8 26.6   |10.555   |~              |    ~     ~    |    0|                |                       |        |                   
683 |TYC 3916-1734-1                                                                                          |Star                              |18 14 39.7072755024 +58 30 19.176218208|087.3503012042432 +27.5873726920022|  -4.456 -3.705   |10.38    |~              |    ~     ~    |    1|  756.830   pc  |  -6.5298     +6.5298  |paral   |2020yCat.1350....0G
684 |HD 165862                                                                                                |Star                              |18 04 02.6638133040 +61 34 04.492635600|090.6658685901252 +29.2083577944888|  1.902 -11.436   |8.55     |F5             |    ~     ~    |    1|  115.635   pc  |  -0.9788     +0.9788  |paral   |2020yCat.1350....0G
685 |BD+61 1721                                                                                               |Star                              |18 04 53.1943956768 +61 25 41.970191196|090.5140824636445 +29.0987779140086|  0.449 -19.545   |8.77     |K0             |    ~     ~    |    1|  425.279   pc  | -19.0086    +19.0086  |paral   |2020yCat.1350....0G
686 |HD 166558                                                                                                |Star                              |18 07 06.2788456032 +61 15 21.092139288|090.3400365232240 +28.8207938759766|   1.475 -7.145   |9.06     |A0             |    ~     ~    |    1|  514.933   pc  |  -3.8713     +3.8713  |paral   |2020yCat.1350....0G
687 |BD+61 1723                                                                                               |Star                              |18 07 16.4204562360 +61 13 28.072767108|090.3061666016809 +28.7980299753702|  -4.578 10.191   |9.31     |K0             |    ~     ~    |    1|  483.559   pc  |  -3.3204     +3.3204  |paral   |2020yCat.1350....0G
688 |HD 166638                                                                                                |Star                              |18 07 30.6042330576 +61 13 13.965504636|090.3043217672509 +28.7693560755778|   2.840 19.578   |8.99     |F              |    ~     ~    |    1|  282.877   pc  |  -1.1523     +1.1523  |paral   |2020yCat.1350....0G
689 |HD 167347                                                                                                |Star                              |18 10 45.8666011080 +61 11 04.835700384|090.3025145476452 +28.3758048395986|  -0.151 -9.036   |8.21     |K0             |    ~     ~    |    1|  323.866   pc  |  -4.3634     +4.3634  |paral   |2020yCat.1350....0G
690 |BD+61 1730                                                                                               |Star                              |18 11 21.9156803880 +61 30 42.620127336|090.6802769247768 +28.3344932454383| -15.471 21.598   |9.21     |F2             |    ~     ~    |    1|  154.476   pc  |  -0.3174     +0.3174  |paral   |2020yCat.1350....0G
691 |BD+61 1735                                                                                               |Star                              |18 14 59.3975797800 +61 32 31.743331116|090.7630088490458 +27.9076117537603|  -3.964 10.686   |8.93     |K0             |    ~     ~    |    1|  398.613   pc  |  -1.9226     +1.9226  |paral   |2020yCat.1350....0G
692 |BD+60 1801                                                                                               |High Proper Motion Star           |18 02 36.0418767672 +60 26 58.065896040|089.3732724494908 +29.3075417543310| -4.560 -97.534   |9.91     |K0             |    ~     ~    |    1|  168.523   pc  |  -0.3096     +0.3096  |paral   |2020yCat.1350....0G
693 |HD 165565                                                                                                |Star                              |18 02 43.1536972920 +60 34 38.663768388|089.5208013489565 +29.3019123441716| -5.358 -11.955   |8.80     |K0             |    ~     ~    |    1|  442.537   pc  |  -2.3892     +2.3892  |paral   |2020yCat.1350....0G
694 |BD+60 1803                                                                                               |Star                              |18 03 21.2588512416 +60 36 06.820020828|089.5550918676335 +29.2258626124336| -1.729 -33.812   |8.83     |K0             |    ~     ~    |    1|  437.598   pc  |  -2.1256     +2.1256  |paral   |2020yCat.1350....0G
695 |HD 165738                                                                                                |Star                              |18 03 33.8903936736 +60 07 53.877336924|089.0200842461055 +29.1650608622206|    2.581 2.170   |8.10     |K5             |    ~     ~    |    1|  600.276   pc  | -10.9901    +10.9901  |paral   |2020yCat.1350....0G
696 |BD+60 1805                                                                                               |Star                              |18 04 28.2311335776 +60 04 24.419971380|088.9638674214422 +29.0479721945920|   -1.609 5.994   |9.37     |K2             |    ~     ~    |    1|  735.781   pc  |  -6.3341     +6.3341  |paral   |2020yCat.1350....0G
697 |BD+60 1806                                                                                               |Star                              |18 04 28.5172432200 +60 41 41.035361028|089.6726127032344 +29.0956463345065|    9.776 8.171   |9.28     |K5             |    ~     ~    |    1| 1522.533   pc  | -41.4941    +41.4941  |paral   |2020yCat.1350....0G
698 |BD+60 1807                                                                                               |Star                              |18 06 15.8712260112 +60 47 23.961692580|089.8005683126794 +28.8850755631122|   -0.040 9.717   |9.83     |A0             |    ~     ~    |    1|  528.067   pc  |  -4.3222     +4.3222  |paral   |2020yCat.1350....0G
699 |HD 166380                                                                                                |Star                              |18 06 31.6529851344 +60 43 52.693513860|089.7367543566255 +28.8482982514926| -16.445 40.573   |8.63     |K0             |    ~     ~    |    1|  257.102   pc  |  -1.4675     +1.4675  |paral   |2020yCat.1350....0G
700 |HD 166893                                                                                                |Star                              |18 08 49.6425695424 +60 29 07.506521844|089.4856096668591 +28.5457256656390|   0.375 29.489   |9.01     |F2             |    ~     ~    |    1|  215.513   pc  |  -0.5666     +0.5666  |paral   |2020yCat.1350....0G
701 |BD+60 1811                                                                                               |High Proper Motion Star           |18 09 38.7323956488 +60 23 30.489899172|089.3904440000468 +28.4364036568339|  10.509 56.951   |10.00    |K0             |    ~     ~    |    1|  110.887   pc  |  -0.1389     +0.1389  |paral   |2020yCat.1350....0G
702 |BD+60 1812                                                                                               |Double or Multiple Star           |18 10 06.8901738168 +60 06 37.058671080|089.0785432776050 +28.3506598041188|  3.189 -19.066   |9.69     |F8             |    ~     ~    |    1|  265.252   pc  |  -0.8513     +0.8513  |paral   |2020yCat.1350....0G
703 |HD 167387                                                                                                |Star                              |18 11 07.1546458656 +60 24 34.317671508|089.4310097135111 +28.2570843606052|   -6.659 4.391   |6.500    |A1Vnn          |    ~     ~    |    1|  157.550   pc  |  -0.6503     +0.6503  |paral   |2020yCat.1350....0G
704 |HD 167471                                                                                                |Star                              |18 11 31.5394809864 +60 36 43.628066784|089.6655524953151 +28.2279224911460| -24.556 36.021   |7.70     |F8             |    ~     ~    |    1|  149.051   pc  |  -0.5599     +0.5599  |paral   |2020yCat.1350....0G
705 |BD+60 1815                                                                                               |High Proper Motion Star           |18 11 50.1478008456 +60 09 01.352957328|089.1490728772365 +28.1417135016486| 12.717 110.028   |9.42     |K0             |    ~     ~    |    1|  144.888   pc  |  -1.9985     +1.9985  |paral   |2020yCat.1350....0G
706 |BD+60 1816                                                                                               |Star                              |18 14 58.5109578696 +60 24 58.277359692|089.4971957656487 +27.7846772726413|  -1.752 -2.670   |10.50    |F8             |    ~     ~    |    1|  330.284   pc  |  -1.9090     +1.9090  |paral   |2020yCat.1350....0G
707 |HD 238812                                                                                                |Star                              |18 04 41.1447358320 +59 39 40.107447648|088.4965662212753 +28.9868146886118|   3.625 -6.798   |9.720    |A3             |    ~     ~    |    1|  299.437   pc  |  -1.2463     +1.2463  |paral   |2020yCat.1350....0G
708 |HD 238817                                                                                                |High Proper Motion Star           |18 07 17.7283753296 +59 17 05.681751612|088.1038121076365 +28.6222257834343| -59.055 99.470   |9.835    |G5             |    ~     ~    |    1|  149.114   pc  |  -8.3181     +8.3181  |paral   |2020yCat.1350....0G
709 |HD 238823                                                                                                |Star                              |18 09 18.7670860248 +59 45 02.919802212|088.6604868828167 +28.4142362027186|   4.020 31.455   |9.21     |A2             |    ~     ~    |    1|  273.441   pc  |  -0.8673     +0.8673  |paral   |2020yCat.1350....0G
710 |** STF 2300D                                                                                             |Star                              |18 09 21.7 +59 45 02                   |088.6609 +28.4081                  |            ~ ~   |9.7      |~              |    ~     ~    |    0|                |                       |        |                   
711 |BD+59 1882                                                                                               |Star                              |18 10 38.4988527888 +59 09 59.679021564|088.0211511830071 +28.1841423061906| -19.042 33.482   |9.37     |F5             |    ~     ~    |    1|  516.022   pc  | -11.0772    +11.0772  |paral   |2020yCat.1350....0G
712 |BD+59 1883                                                                                               |High Proper Motion Star           |18 11 58.8212356392 +59 29 32.880088392|088.4100823656747 +28.0511827053446| 12.263 -61.287   |9.84     |F8             |    ~     ~    |    1|  174.770   pc  |  -0.3726     +0.3726  |paral   |2020yCat.1350....0G
713 |NGC 6617                           NGC 6617                                                              |Galaxy                            |18 14 02.5556718192 +61 19 10.451013852|090.4989693312926 +27.9968941883810|            ~ ~   |     ~   |~              |0.380 0.258    |    1|  110.15    Mpc | -18.84      +18.84    |T-F     |2020ApJ...902..145K
714 |NGC 6609                           NGC 6609                                                              |Galaxy towards a Group of Galaxies|18 12 33.5927823312 +61 19 54.615460908|090.4923606523268 +28.1750839102684|  -1.374 -0.055   |     ~   |~              |0.517 0.444    |    1|  116.73    Mpc |                       |redshift|2007ApJ...655..790C
715 |NGC 6607                           NGC 6607                                                              |Galaxy                            |18 12 14.722 +61 19 58.14              |090.489271 +28.212718              |            ~ ~   |     ~   |~              |0.293 0.252    |    0|                |                       |        |                   
716 |NGC 6601                           NGC 6601                                                              |Galaxy                            |18 11 44.3272762848 +61 27 11.724390756|090.6187608108331 +28.2846300725870|   -0.106 0.245   |     ~   |~              |0.487 0.321    |    0|                |                       |        |                   
717 |NGC 6597                           NGC 6597                                                              |Galaxy                            |18 11 13.499 +61 10 50.25              |090.303871 +28.320173              |            ~ ~   |     ~   |~              |0.447 0.313    |    0|                |                       |        |                   
718 |NGC 6594                           NGC 6594                                                              |Galaxy towards a Group of Galaxies|18 10 05.4973833888 +61 08 00.427558200|090.2360059549209 +28.4518678618527|            ~ ~   |     ~   |~              |0.557 0.323    |    1|  114.86    Mpc |                       |redshift|2007ApJ...655..790C
719 |NGC 6608                           NGC 6608                                                              |Galaxy                            |18 12 28.857 +61 17 53.12              |090.453201 +28.181181              |            ~ ~   |     ~   |~              |0.673 0.121    |    0|                |                       |        |                   
720 |BIS 130                                                                                                  |Long-Period Variable Candidate    |18 11 40.5854096904 +61 39 20.480296644|090.8468759162959 +28.3109260214441|  -5.931 -2.725   |10.25    |M1/2           |    ~     ~    |    1| 2521.43    pc  |-122.702    +122.702   |paral   |2020yCat.1350....0G
721 |NGC 6592                           NGC 6592                                                              |Galaxy towards a Group of Galaxies|18 09 50.7127953048 +61 25 19.163317440|090.5599354165651 +28.5071786754279|   -0.067 0.589   |     ~   |~              |0.480 0.422    |    1|  115.41    Mpc |                       |redshift|2007ApJ...655..790C
722 |BD+60 1800                                                                                               |Red Giant Branch star             |18 00 29.0075166888 +60 36 12.207732732|089.5300763798912 +29.5774889275458| 11.581 -17.840   |9.31     |K0             |    ~     ~    |    1|  279.080   pc  |  -0.9424     +0.9424  |paral   |2020yCat.1350....0G
723 |HD 165006                                                                                                |Star                              |18 00 07.5873513600 +59 31 31.215567756|088.2899509379729 +29.5514090961442|   2.839 -5.665   |8.42     |A0             |    ~     ~    |    1|  347.307   pc  |  -5.7537     +5.7537  |paral   |2020yCat.1350....0G
724 |TYC 3915-71-1                                                                                            |Star                              |18 10 33.0933217632 +59 47 30.873034752|088.7252581000916 +28.2634098059212| 11.372 -20.541   |10.76    |~              |    ~     ~    |    1|  210.988   pc  |  -0.3917     +0.3917  |paral   |2020yCat.1350....0G
725 |TYC 3915-89-1                                                                                            |Star                              |18 07 24.8925764472 +59 55 17.391369720|088.8274988003695 +28.6681031397748|  -3.338 -8.902   |10.58    |~              |    ~     ~    |    1|  381.825   pc  |  -2.1285     +2.1285  |paral   |2020yCat.1350....0G
726 |TYC 3915-126-1                                                                                           |Star                              |18 13 15.7687430904 +59 01 39.991898388|087.9096012916649 +27.8336724203401|  4.738 -15.141   |10.96    |~              |    ~     ~    |    1|  379.075   pc  |  -1.4657     +1.4657  |paral   |2020yCat.1350....0G
727 |TYC 3915-131-1                                                                                           |Star                              |18 08 13.6183414824 +59 51 34.295722272|088.7682059026232 +28.5608461506039|   10.431 7.105   |10.13    |~              |    ~     ~    |    1|  284.657   pc  |  -0.9967     +0.9967  |paral   |2020yCat.1350....0G
728 |TYC 3915-189-1                                                                                           |Star                              |18 03 28.8542044824 +59 56 40.201287072|088.8055015031795 +29.1610015292577|  31.627 28.644   |10.87    |~              |    ~     ~    |    1|  121.214   pc  |  -0.1939     +0.1939  |paral   |2020yCat.1350....0G
729 |2MASS J18045237+5955216                                                                                  |Red Giant Branch star             |18 04 52.3712946960 +59 55 21.401420448|088.7966841083044 +28.9854588052732|  5.827 -27.376   |9.73     |~              |    ~     ~    |    1|  357.833   pc  |  -1.2932     +1.2932  |paral   |2020yCat.1350....0G
730 |TYC 3915-267-1                                                                                           |High Proper Motion Star           |18 10 03.4030142568 +59 52 33.472522884|088.8128437492757 +28.3339973181649| 84.975 -46.947   |10.54    |~              |    ~     ~    |    1|   56.001   pc  |  -0.0260     +0.0260  |paral   |2020yCat.1350....0G
731 |TYC 3915-269-1                                                                                           |Star                              |18 13 04.4297982840 +59 36 42.329136168|088.5623008281989 +27.9272715707979| -14.136 15.248   |10.79    |~              |    ~     ~    |    1|  340.588   pc  |  -1.4152     +1.4152  |paral   |2020yCat.1350....0G
732 |TYC 3915-303-1                                                                                           |High Proper Motion Star           |18 09 03.7916409432 +59 39 24.412410252|088.5504886123918 +28.4360177812994| -26.180 44.531   |10.80    |~              |    ~     ~    |    1|  202.171   pc  |  -0.4128     +0.4128  |paral   |2020yCat.1350....0G
733 |TYC 3915-380-1                                                                                           |Star                              |18 07 56.2594638888 +59 06 38.266666632|087.9157688394304 +28.5229225377113|   8.548 -0.586   |9.84     |~              |    ~     ~    |    1|  650.068   pc  |  -5.0288     +5.0288  |paral   |2020yCat.1350....0G
734 |TYC 3915-479-1                                                                                           |Star                              |18 00 20.5683969816 +59 39 26.389485936|088.4434950715596 +29.5333140513467|-27.411 -14.349   |10.40    |~              |    ~     ~    |    1|  208.829   pc  |  -0.6367     +0.6367  |paral   |2020yCat.1350....0G
735 |TYC 3915-486-1                                                                                           |High Proper Motion Star           |18 11 40.5568180176 +59 07 46.477683048|087.9965599869093 +28.0481936648376|-49.324 -31.364   |10.77    |~              |    ~     ~    |    1|  391.942   pc  |  -1.6437     +1.6437  |paral   |2020yCat.1350....0G
736 |TYC 3915-610-1                                                                                           |Star                              |18 12 50.5592144760 +59 05 37.378054104|087.9762339387461 +27.8952723920799|   -4.323 8.767   |10.74    |~              |    ~     ~    |    1|  192.797   pc  |  -0.3308     +0.3308  |paral   |2020yCat.1350....0G
737 |TYC 3915-705-1                                                                                           |Star                              |18 00 56.0320909800 +59 30 32.398629912|088.2796545652472 +29.4481058174426| -6.212 -11.453   |10.46    |~              |    ~     ~    |    1|  657.678   pc  |  -5.0175     +5.0175  |paral   |2020yCat.1350....0G
738 |TYC 3915-747-1                                                                                           |Star                              |18 08 44.9064896352 +59 50 24.008641224|088.7533545379009 +28.4937753333549|  8.052 -15.349   |10.35    |~              |    ~     ~    |    1|  123.968   pc  |  -0.5686     +0.5686  |paral   |2020yCat.1350....0G
739 |2MASS J18042317+5955426                                                                                  |Red Giant Branch star             |18 04 23.2128996024 +59 55 42.709268568|088.7976734299424 +29.0466229903035|   2.321 -0.464   |10.65    |~              |    ~     ~    |    1| 1520.219   pc  | -29.3505    +29.3505  |paral   |2020yCat.1350....0G
740 |TYC 3915-835-1                                                                                           |Star                              |18 13 15.4688306136 +59 51 07.812916164|088.8356165774903 +27.9320169007902|  -7.337 14.589   |10.55    |~              |    ~     ~    |    1|  282.263   pc  |  -0.9401     +0.9401  |paral   |2020yCat.1350....0G
741 |TYC 3915-931-1                                                                                           |Star                              |18 12 29.9718639408 +59 18 41.983412436|088.2152780412798 +27.9647259325188|  -5.490 -5.437   |10.46    |~              |    ~     ~    |    1| 1051.193   pc  | -14.5861    +14.5861  |paral   |2020yCat.1350....0G
742 |TYC 3915-965-1                                                                                           |Star                              |18 04 33.4941422928 +59 33 25.731383472|088.3765335349911 +28.9939714030282|   12.387 6.978   |10.74    |~              |    ~     ~    |    1|  605.510   pc  |  -3.7398     +3.7398  |paral   |2020yCat.1350....0G
743 |TYC 3915-1077-1                                                                                          |Star                              |18 04 52.9358895864 +59 17 41.364739212|088.0820071666436 +28.9298943882003| -0.863 -21.656   |9.86     |~              |    ~     ~    |    1| 1459.854   pc  | -22.5904    +22.5904  |paral   |2020yCat.1350....0G
744 |TYC 3915-1094-1                                                                                          |Star                              |18 12 37.7016486432 +59 06 24.344361108|087.9871631303007 +27.9241484831151|  4.948 -13.305   |10.45    |~              |    ~     ~    |    1|  336.700   pc  |  -1.3037     +1.3037  |paral   |2020yCat.1350....0G
745 |TYC 3915-1095-1                                                                                          |Star                              |18 01 59.4640587072 +59 27 17.168391324|088.2292082079483 +29.3101853611832|-29.198 -22.120   |10.68    |~              |    ~     ~    |    1|  622.394   pc  |  -4.1062     +4.1062  |paral   |2020yCat.1350....0G
746 |TYC 3915-1101-1                                                                                          |Star                              |18 07 51.0144215784 +59 14 12.872381136|088.0574677113952 +28.5469035651132|  19.780 16.720   |9.89     |~              |    ~     ~    |    1|  168.520   pc  |  -0.5822     +0.5822  |paral   |2020yCat.1350....0G
747 |TYC 3915-1165-1                                                                                          |Star                              |18 05 26.7305200368 +59 14 42.062900820|088.0328267904495 +28.8537112190339|   4.528 14.929   |10.37    |~              |    ~     ~    |    1|  620.964   pc  |  -4.3187     +4.3187  |paral   |2020yCat.1350....0G
748 |TYC 3915-1349-1                                                                                          |High Proper Motion Star           |18 02 29.0039742528 +59 11 38.517261396|087.9370067419819 +29.2267988306151|   8.237 49.941   |10.85    |~              |    ~     ~    |    1|  201.284   pc  |  -0.4052     +0.4052  |paral   |2020yCat.1350....0G
749 |TYC 3915-1380-1                                                                                          |Star                              |18 11 32.8792904952 +59 03 19.245266856|087.9108570978816 +28.0559192833726|   -3.852 6.535   |10.47    |~              |    ~     ~    |    1|  508.518   pc  |  -5.3270     +5.3270  |paral   |2020yCat.1350....0G
750 |TYC 3915-1403-1                                                                                          |High Proper Motion Star           |18 05 59.1087045984 +59 11 24.914163660|087.9779563081889 +28.7798546706194| -42.903 63.125   |10.70    |~              |    ~     ~    |    1|  124.827   pc  |  -0.1792     +0.1792  |paral   |2020yCat.1350....0G
751 |TYC 3915-1433-1                                                                                          |Star                              |18 04 35.6553547200 +59 28 29.593835184|088.2832945767487 +28.9823119541334|   -0.951 1.603   |9.94     |~              |    ~     ~    |    1| 1719.690   pc  | -29.5734    +29.5734  |paral   |2020yCat.1350....0G
752 |TYC 3916-223-1                                                                                           |Star                              |18 14 06.3330363648 +59 22 00.954057288|088.3050476763339 +27.7680571964163|  -2.851 -3.755   |10.88    |~              |    ~     ~    |    1| 1189.343   pc  | -18.5304    +18.5304  |paral   |2020yCat.1350....0G
753 |TYC 3916-895-1                                                                                           |Star                              |18 14 29.5013984592 +59 38 59.801790264|088.6292316562882 +27.7538632083751| -14.600 43.701   |9.93     |~              |    ~     ~    |    1|  256.102   pc  |  -0.7215     +0.7215  |paral   |2020yCat.1350....0G
754 |TYC 4201-39-1                                                                                            |Star                              |18 06 32.7494961768 +61 46 34.660811208|090.9269087837399 +28.9265440746269|   -1.330 2.736   |10.31    |~              |    ~     ~    |    1| 1441.545   pc  | -20.3649    +20.3649  |paral   |2020yCat.1350....0G
755 |TYC 4201-110-1                                                                                           |Horizontal Branch Star            |18 00 08.1248572944 +60 47 04.201591200|089.7351112075336 +29.6307288520931|   10.814 1.285   |10.08    |~              |    ~     ~    |    1|  818.264   pc  |  -7.4321     +7.4321  |paral   |2020yCat.1350....0G
756 |TYC 4201-137-1                                                                                           |Star                              |18 03 11.7088811568 +61 35 07.010933820|090.6784436079649 +29.3103075753634|  -5.222 32.123   |10.96    |~              |    ~     ~    |    1|   76.914   pc  |  -0.0716     +0.0716  |paral   |2020yCat.1350....0G
757 |TYC 4201-152-1                                                                                           |Star                              |18 05 04.8080984208 +60 51 03.220165944|089.8571098049135 +29.0337433160927|   6.750 -6.598   |10.31    |~              |    ~     ~    |    1|  727.379   pc  |  -5.9257     +5.9257  |paral   |2020yCat.1350....0G
758 |TYC 4201-436-1                                                                                           |Star                              |18 07 04.8722351904 +60 58 45.815830248|090.0252737164304 +28.8014027295625|    4.234 7.753   |10.45    |~              |    ~     ~    |    1|  889.363   pc  |  -8.5424     +8.5424  |paral   |2020yCat.1350....0G
759 |TYC 4201-443-1                                                                                           |Horizontal Branch Star            |18 01 15.0439925712 +61 43 52.362999840|090.8306502582543 +29.5490029511493|  2.249 -12.004   |10.54    |~              |    ~     ~    |    1| 1080.847   pc  | -15.6543    +15.6543  |paral   |2020yCat.1350....0G
760 |TYC 4201-523-1                                                                                           |Star                              |18 07 21.4665557112 +61 34 06.138648228|090.6983323433093 +28.8149974645800|   1.231 -7.272   |10.49    |~              |    ~     ~    |    1|  347.790   pc  |  -1.6208     +1.6208  |paral   |2020yCat.1350....0G
