C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:26:23

dec< 0&rah >=15.0&rah< 15.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6182

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
2015|TYC 9270-2327-1                                                                                          |Star                                  |15 02 47.8373033904 -74 06 44.093646072|311.7146988016829 -13.5246387187825|   -9.995 2.679     |10.45    |~               |    ~     ~    |    1|  792.267   pc  |  -7.5950     +7.5950    |paral   |2020yCat.1350....0G
2016|TYC 9270-2375-1                                                                                          |Star                                  |15 04 07.9996281672 -74 25 03.880517664|311.6386058635088 -13.8345832694437|  -1.698 -7.274     |10.20    |~               |    ~     ~    |    1| 1588.310   pc  | -29.2637    +29.2637    |paral   |2020yCat.1350....0G
2017|TYC 9270-2379-1                                                                                          |High Proper Motion Star               |15 06 14.3997735288 -74 32 49.305482016|311.6965823109154 -14.0173420892740|-15.598 -48.392     |10.41    |~               |    ~     ~    |    1|  107.973   pc  |  -0.1516     +0.1516    |paral   |2020yCat.1350....0G
2018|TYC 9271-349-1                                                                                           |Star                                  |15 12 20.0643527952 -73 33 22.698061848|312.5936055058684 -13.3871603742115| -5.511 -18.563     |10.705   |~               |    ~     ~    |    1| 1621.620   pc  |-131.6000   +131.6000    |ST-L    |2020AJ....160...83S
2019|TYC 9271-630-1                                                                                           |Star                                  |15 12 29.0112222504 -74 31 01.759963836|312.0793391748588 -14.2080847372585| -5.711 -13.821     |10.87    |~               |    ~     ~    |    1|  803.062   pc  | -26.3400    +26.3400    |ST-L    |2020AJ....160...83S
2020|TYC 9271-924-1                                                                                           |Star                                  |15 12 26.6859831744 -74 59 14.671309236|311.8195802068246 -14.6053843901058|-32.868 -37.698     |10.43    |~               |    ~     ~    |    1|  226.501   pc  |  -0.6002     +0.6002    |paral   |2020yCat.1350....0G
2021|TYC 9271-1230-1                                                                                          |Star                                  |15 12 42.0287795688 -74 09 49.403842524|312.2852526540159 -13.9161402638615|  -4.010 -8.280     |10.96    |~               |    ~     ~    |    1| 1376.084   pc  | -24.2382    +24.2382    |paral   |2020yCat.1350....0G
2022|TYC 9271-1233-1                                                                                          |Star                                  |15 12 54.8734793472 -73 22 36.614664984|312.7270792043648 -13.2566123266740| -9.674 -10.691     |10.585   |~               |    ~     ~    |    1|  604.714   pc  | -18.3700    +18.3700    |ST-L    |2020AJ....160...83S
2023|TYC 9271-1679-1                                                                                          |Star                                  |15 13 30.9206876592 -73 56 39.704485128|312.4540939701680 -13.7600158749478|-27.707 -11.854     |10.655   |~               |    ~     ~    |    1|  484.211   pc  | -12.8600    +12.8600    |ST-L    |2020AJ....160...83S
2024|TYC 9271-1802-1                                                                                          |Star                                  |15 12 48.9401197944 -74 36 40.283847036|312.0471813844541 -14.2995149915923|  -0.028 -4.113     |10.270   |~               |    ~     ~    |    1| 1252.470   pc  | -85.3200    +85.3200    |ST-L    |2020AJ....160...83S
2025|HD 131909                                                                                                |Star                                  |15 00 03.8367950088 -67 22 17.294377944|314.8527138417759 -07.5264296838235|  -1.854 -4.073     |10.30    |B8(V)           |    ~     ~    |    1|  845.666   pc  | -14.8751    +14.8751    |paral   |2020yCat.1350....0G
2026|CPD-66 2691B                                                                                             |Star                                  |15 01 34.0403133936 -67 06 16.032944988|315.1106623595563 -07.3620426969699|  -7.570 -4.213     |8.7      |~               |    ~     ~    |    1|  797.067   pc  | -15.3746    +15.3746    |paral   |2020yCat.1350....0G
2027|HD 132225                                                                                                |Star                                  |15 01 34.6658413200 -67 06 23.909895216|315.1104930582820 -07.3644484117806|  -7.200 -3.930     |8.91     |A2/3V           |    ~     ~    |    1|  839.349   pc  | -12.1175    +12.1175    |paral   |2020yCat.1350....0G
2028|HD 132290                                                                                                |Star                                  |15 01 55.2925691040 -67 23 55.430398140|314.9974376024801 -07.6362141083718| -0.081 -12.514     |8.79     |K3/4(V)         |    ~     ~    |    1|  531.745   pc  |  -5.4854     +5.4854    |paral   |2020yCat.1350....0G
2029|HD 132420                                                                                                |Pulsating Variable                    |15 02 41.8365090693 -67 18 39.160273550|315.1063204767243 -07.5956397594027|  -2.961 -2.160     |9.37     |B7/9Ib/II       |    ~     ~    |    1|  886.211   pc  | -28.1162    +28.1162    |paral   |2020yCat.1350....0G
2030|HD 132441                                                                                                |Star                                  |15 02 50.7999460848 -67 25 04.524069180|315.0664024383702 -07.6961390459230|   -5.687 0.508     |9.56     |K0              |    ~     ~    |    1| 1040.691   pc  | -15.2708    +15.2708    |paral   |2020yCat.1350....0G
2031|HD 132631                                                                                                |Star                                  |15 03 50.1896038248 -67 15 18.632686104|315.2305916986957 -07.6007576285856|  10.308 11.335     |10.39    |F3/6            |    ~     ~    |    1|  184.812   pc  |  -0.4440     +0.4440    |paral   |2020yCat.1350....0G
2032|HD 132024                                                                                                |Star                                  |15 00 39.1911551664 -67 40 23.329482960|314.7568112587966 -07.8182294801297| -9.984 -11.556     |10.32    |A1/2V           |    ~     ~    |    1|  410.273   pc  |  -2.9962     +2.9962    |paral   |2020yCat.1350....0G
2033|HD 132127A                                                                                               |Pulsating Variable                    |15 01 15.2143179784 -67 58 59.861752687|314.6562351588934 -08.1173597767097| -10.984 -6.189     |7.10     |B4V             |    ~     ~    |    1|  386.115   pc  |  -5.0688     +5.0688    |paral   |2020yCat.1350....0G
2034|HD 132325                                                                                                |Star                                  |15 02 16.5346410240 -68 03 18.566947836|314.7056185292793 -08.2265404391023|  -2.793 -3.979     |10.77    |B9/A1V          |    ~     ~    |    1| 1057.977   pc  | -19.0284    +19.0284    |paral   |2020yCat.1350....0G
2035|HD 132557                                                                                                |Star                                  |15 03 34.7902721448 -68 04 52.742235972|314.8001222886289 -08.3088194831201|  -9.994 -5.211     |9.97     |K0              |    ~     ~    |    1|  770.594   pc  |  -7.3039     +7.3039    |paral   |2020yCat.1350....0G
2036|HD 132655                                                                                                |Star                                  |15 04 01.6291580592 -67 39 19.188964188|315.0484214411860 -07.9583604279520|  -2.015 -3.015     |10.15    |B8II/III        |    ~     ~    |    1|  951.656   pc  | -33.0562    +33.0562    |paral   |2020yCat.1350....0G
2037|HD 132734                                                                                                |Star                                  |15 04 28.9546344264 -68 07 43.866878052|314.8505509852464 -08.3916014811642|  12.557 -0.930     |10.50    |F3/5III/IV      |    ~     ~    |    1|  212.459   pc  |  -6.2427     +6.2427    |paral   |2020yCat.1350....0G
2038|HD 132749                                                                                                |Star                                  |15 04 26.8072918128 -67 32 48.874786800|315.1374175502054 -07.8836396906308|-14.494 -15.512     |10.56    |B9              |    ~     ~    |    1|  574.482   pc  |  -6.7326     +6.7326    |paral   |2020yCat.1350....0G
2039|HD 132843                                                                                                |Star                                  |15 04 54.7216919880 -67 15 09.445101084|315.3231692340132 -07.6496983137575|-18.558 -11.422     |9.42     |K0              |    ~     ~    |    1|  473.619   pc  |  -3.0731     +3.0731    |paral   |2020yCat.1350....0G
2040|HD 133282                                                                                                |Star                                  |15 07 23.2989994272 -67 27 24.319506600|315.4291469989050 -07.9454320296270|  -1.119 -3.207     |10.83    |B9              |    ~     ~    |    1| 1118.193   pc  | -48.5138    +48.5138    |paral   |2020yCat.1350....0G
2041|HD 132791                                                                                                |Star                                  |15 04 48.9493511544 -68 07 33.949971516|314.8792052140125 -08.4045372688560|  -9.906 -8.828     |9.42     |B9II/III        |    ~     ~    |    1|  727.802   pc  | -14.5137    +14.5137    |paral   |2020yCat.1350....0G
2042|HD 132811                                                                                                |Star                                  |15 04 57.6053273592 -68 08 54.177681696|314.8798577573300 -08.4305489517053|  -5.511 -2.220     |9.89     |A9/F2           |    ~     ~    |    1|  335.920   pc  |  -2.0650     +2.0650    |paral   |2020yCat.1350....0G
2043|HD 132860                                                                                                |Star                                  |15 05 06.8483618424 -67 40 02.409377052|315.1331730956411 -08.0197439751230| -9.371 -17.666     |9.34     |A7/8V           |    ~     ~    |    1|  215.457   pc  |  -0.7335     +0.7335    |paral   |2020yCat.1350....0G
2044|HD 132873                                                                                                |Star                                  |15 05 14.3651029992 -67 48 59.149062828|315.0689946403635 -08.1551415833653|  -3.043 -7.009     |9.76     |B8II/III        |    ~     ~    |    1| 1165.365   pc  | -27.8406    +27.8406    |paral   |2020yCat.1350....0G
2045|HD 132948                                                                                                |Star                                  |15 05 36.5989977288 -67 39 32.460894216|315.1786561272217 -08.0358788782673|   0.235 -0.883     |9.46     |G6/K0(III)      |    ~     ~    |    1|  479.916   pc  |  -2.9481     +2.9481    |paral   |2020yCat.1350....0G
2046|HD 133443                                                                                                |Star                                  |15 08 24.9731444328 -68 06 19.647252576|315.1833087027906 -08.5545821958232| -8.736 -11.666     |10.44    |G5              |    ~     ~    |    1|  724.743   pc  |  -6.5657     +6.5657    |paral   |2020yCat.1350....0G
2047|HD 133560                                                                                                |Star                                  |15 09 07.4995876584 -68 09 10.639488996|315.2164372328200 -08.6290132580863| -8.268 -10.491     |10.01    |K2              |    ~     ~    |    1| 1460.920   pc  | -27.9592    +27.9592    |paral   |2020yCat.1350....0G
2048|HD 133637                                                                                                |Star                                  |15 09 27.0129195360 -67 46 00.243326028|315.4418067093012 -08.3121404240233| -8.820 -12.179     |10.06    |A2/3III/IV      |    ~     ~    |    1|  467.028   pc  |  -4.4714     +4.4714    |paral   |2020yCat.1350....0G
2049|HD 133701                                                                                                |Star                                  |15 09 44.7643459632 -67 47 32.700382620|315.4528860701490 -08.3484969884369|  -6.488 -5.477     |10.90    |A0              |    ~     ~    |    1|  678.058   pc  |  -8.0458     +8.0458    |paral   |2020yCat.1350....0G
2050|HD 133811                                                                                                |Star                                  |15 10 24.3190866384 -68 11 01.832705340|315.3039738401971 -08.7163866299926|  -5.542 -5.557     |8.87     |B9III(pSi)      |    ~     ~    |    1|  555.370   pc  |  -7.0323     +7.0323    |paral   |2020yCat.1350....0G
2051|HD 133961                                                                                                |Star                                  |15 11 13.4102906928 -67 59 11.865489540|315.4727998038318 -08.5865260294992|-29.698 -12.988     |7.64     |M1III           |    ~     ~    |    1|  552.944   pc  |  -4.7391     +4.7391    |paral   |2020yCat.1350....0G
2052|HD 134332                                                                                                |Double or Multiple Star               |15 13 15.8352200664 -68 03 36.625105512|315.5992534791733 -08.7484582098371|  3.084 -16.097     |10.267   |K0              |    ~     ~    |    1|  611.845   pc  |  -4.6046     +4.6046    |paral   |2020yCat.1350....0G
2053|HD 134436                                                                                                |High Proper Motion Star               |15 13 53.0309447808 -67 59 27.891112740|315.6858329898597 -08.7199304238795|-59.406 -115.284    |9.36     |K1/2III         |    ~     ~    |    1|  175.494   pc  |  -0.4281     +0.4281    |paral   |2020yCat.1350....0G
2054|HD 134605                                                                                                |Star                                  |15 14 51.2328209712 -68 05 19.737567528|315.7118697970773 -08.8507522881650|  -15.688 0.920     |8.25     |G8III/IV        |    ~     ~    |    1|  297.513   pc  |  -1.5401     +1.5401    |paral   |2020yCat.1350....0G
2055|AKARI-IRC-V1 J1502324-682636                                                                             |Long-Period Variable Candidate        |15 02 32.4344828328 -68 26 36.712597092|314.5362704965437 -08.5777818312952|   -1.800 0.527     |10.19    |M1/3            |    ~     ~    |    1| 1257.39    pc  | -35.7311    +35.7311    |paral   |2020yCat.1350....0G
2056|HD 132387                                                                                                |Star                                  |15 02 45.9909507936 -68 26 46.727290212|314.5532218292559 -08.5903299926217|-27.920 -10.964     |10.44    |A9/F0(III)      |    ~     ~    |    1|  290.613   pc  |  -1.0473     +1.0473    |paral   |2020yCat.1350....0G
2057|HD 132542                                                                                                |Star                                  |15 03 29.6842078152 -68 16 37.580136528|314.6961220562164 -08.4755826364278| -15.294 -3.667     |9.79     |G8/K0           |    ~     ~    |    1|  680.411   pc  | -40.1386    +40.1386    |paral   |2020yCat.1350....0G
2058|HD 131910                                                                                                |Star                                  |15 00 21.7643098992 -69 07 47.278933248|314.0256902454170 -09.0829742714352| -10.622 -9.101     |9.94     |ApEuCr          |    ~     ~    |    1|  551.177   pc  |  -4.8304     +4.8304    |paral   |2020yCat.1350....0G
2059|HD 131947                                                                                                |Star                                  |15 00 29.2047401376 -68 37 49.801561536|314.2784767845423 -08.6504907680012|  -9.187 -7.213     |10.257   |K0/2(III)       |    ~     ~    |    1|  378.765   pc  |-117.2000   +117.2000    |ST-L    |2020AJ....160...83S
2060|HD 132003                                                                                                |Star                                  |15 00 41.3160383808 -68 35 01.784478120|314.3175005550417 -08.6184203253159|  -5.469 -5.452     |10.70    |A1/3(III)       |    ~     ~    |    1|  885.191   pc  | -18.8839    +18.8839    |paral   |2020yCat.1350....0G
2061|HD 132068                                                                                                |Star                                  |15 01 16.2800155848 -69 27 12.021906276|313.9388374796387 -09.4051241845526|  -3.041 -3.776     |9.94     |B9II/III        |    ~     ~    |    1|  843.099   pc  | -15.0693    +15.0693    |paral   |2020yCat.1350....0G
2062|HD 132067                                                                                                |Star                                  |15 01 13.0861066632 -69 13 07.110582240|314.0497611637894 -09.1974648913020|-17.053 -21.280     |8.14     |K2III           |    ~     ~    |    1|  364.844   pc  |  -2.3294     +2.3294    |paral   |2020yCat.1350....0G
2063|HD 132165                                                                                                |RR Lyrae Variable                     |15 01 44.8063855416 -69 23 39.657848784|314.0048608790677 -09.3737908129975|  -5.005 -6.250     |9.75     |B9V             |    ~     ~    |    1|  612.895   pc  |  -7.1747     +7.1747    |paral   |2020yCat.1350....0G
2064|HD 132186                                                                                                |Spectroscopic Binary                  |15 01 48.0937496352 -69 04 14.986200720|314.1683207190130 -09.0933312013128|-21.904 -13.593     |9.93     |F7V             |    ~     ~    |    1|  249.919   pc  |  -1.2055     +1.2055    |paral   |2020yCat.1350....0G
2065|HD 132250                                                                                                |Star                                  |15 01 56.6102317656 -68 35 22.380171144|314.4161317652757 -08.6787839881503|   0.388 -8.853     |9.53     |K1/2(III)       |    ~     ~    |    1|  465.311   pc  |  -7.5130     +7.5130    |paral   |2020yCat.1350....0G
2066|HD 132558                                                                                                |Star                                  |15 03 44.0107494216 -68 44 56.715714456|314.4809932310150 -08.8975074975163| -3.025 -11.501     |10.32    |F5/8            |    ~     ~    |    1|  267.953   pc  |  -1.0985     +1.0985    |paral   |2020yCat.1350....0G
2067|HD 132577                                                                                                |Star                                  |15 03 51.1904067912 -68 43 57.941599944|314.4986793808152 -08.8886264902710|  -7.916 -9.586     |10.46    |A0V             |    ~     ~    |    1|  750.525   pc  | -10.4208    +10.4208    |paral   |2020yCat.1350....0G
2068|HD 132695                                                                                                |Star                                  |15 04 37.4326589856 -69 17 29.446333872|314.2801113432246 -09.4086271976196|-12.032 -10.604     |10.75    |A2/5            |    ~     ~    |    1|  401.897   pc  |  -2.0836     +2.0836    |paral   |2020yCat.1350....0G
2069|HD 132716                                                                                                |Star                                  |15 04 38.1030478680 -68 57 41.227991820|314.4465462567484 -09.1223430485225| -1.984 -22.207     |10.095   |G8/K0           |    ~     ~    |    1|  676.336   pc  | -18.4700    +18.4700    |ST-L    |2020AJ....160...83S
2070|HD 131890                                                                                                |Star                                  |15 00 17.3938968384 -69 45 03.066305292|313.7172925792817 -09.6244080359145| -8.048 -11.412     |9.36     |B9/9.5V         |    ~     ~    |    1|  388.199   pc  |  -3.0592     +3.0592    |paral   |2020yCat.1350....0G
2071|HD 132141                                                                                                |Star                                  |15 01 43.4854937040 -70 01 03.967762116|313.6958163622290 -09.9176925185706|  -7.758 -6.534     |10.84    |A0V             |    ~     ~    |    1|  647.082   pc  |  -6.4901     +6.4901    |paral   |2020yCat.1350....0G
2072|HD 132520                                                                                                |Star                                  |15 03 48.6044160720 -70 02 13.655957496|313.8438009569667 -10.0218102904523|  13.440 10.942     |8.68     |K2II            |    ~     ~    |    1|  393.809   pc  |  -2.7295     +2.7295    |paral   |2020yCat.1350....0G
2073|HD 132543                                                                                                |Star                                  |15 03 42.9329699136 -69 33 35.398860084|314.0753919016458 -09.6025259382070|  -7.067 -7.730     |9.60     |K2/3(III)       |    ~     ~    |    1|  667.289   pc  |  -5.3878     +5.3878    |paral   |2020yCat.1350....0G
2074|HD 132768                                                                                                |High Proper Motion Star               |15 04 44.5497395016 -68 29 04.810543296|314.6939053717662 -08.7128303162699|-80.758 -53.235     |10.47    |G5              |    ~     ~    |    1|  215.885   pc  |  -0.6105     +0.6105    |paral   |2020yCat.1350....0G
2075|HD 132990                                                                                                |Star                                  |15 06 00.9131822160 -68 22 20.004110760|314.8531200569894 -08.6733474158365|  -7.241 -9.289     |9.38     |G5III           |    ~     ~    |    1|  380.982   pc  |  -8.3610     +8.3610    |ST-L    |2020AJ....160...83S
2076|HD 133183                                                                                                |Star                                  |15 07 09.1871228976 -68 12 30.408155748|315.0281804774218 -08.5842447319882|  -3.320 -3.011     |9.78     |B8/9III         |    ~     ~    |    1| 1129.178   pc  | -26.1384    +26.1384    |paral   |2020yCat.1350....0G
2077|HD 133384                                                                                                |Star                                  |15 08 10.5302552040 -68 25 31.916963280|314.9999519872021 -08.8193308189975|  -7.935 -7.302     |10.82    |A2              |    ~     ~    |    1|  618.774   pc  |  -6.2027     +6.2027    |paral   |2020yCat.1350....0G
2078|HD 133579                                                                                                |Star                                  |15 09 12.2645123160 -68 12 11.253953412|315.1970313600392 -08.6759547038932|  -4.607 -1.592     |10.02    |K2              |    ~     ~    |    1|  963.670   pc  | -11.2368    +11.2368    |paral   |2020yCat.1350....0G
2079|HD 133920                                                                                                |Star                                  |15 11 05.5570877208 -68 18 12.344738544|315.2970064826053 -08.8517002930225|  -0.863 -6.928     |10.14    |G5              |    ~     ~    |    1|  771.367   pc  |  -7.3186     +7.3186    |paral   |2020yCat.1350....0G
2080|HD 133993                                                                                                |Star                                  |15 11 24.0 -68 13 00                   |315.3670 -08.7921                  |            ~ ~     |10.2     |B9/A1IV/V       |    ~     ~    |    0|                |                         |        |                   
2081|HD 134039                                                                                                |Star                                  |15 11 50.7876647280 -68 11 35.914649244|315.4150968005751 -08.7935050181824|  -4.617 -4.935     |10.65    |A2              |    ~     ~    |    1| 1568.627   pc  | -36.6628    +36.6628    |paral   |2020yCat.1350....0G
2082|HD 134546                                                                                                |Star                                  |15 14 31.7905606080 -68 15 50.365070352|315.5924931853851 -08.9837357203851|  -5.508 -7.964     |9.97     |B9III/IV        |    ~     ~    |    1|  637.349   pc  |  -9.5460     +9.5460    |paral   |2020yCat.1350....0G
2083|HD 134622                                                                                                |Star                                  |15 14 57.4304228544 -68 14 05.626957200|315.6420805583261 -08.9798963648595|  -2.166 -2.434     |9.56     |K0              |    ~     ~    |    1|  842.815   pc  |  -9.8027     +9.8027    |paral   |2020yCat.1350....0G
2084|HD 132769                                                                                                |Star                                  |15 04 45.4835783880 -68 38 39.859729044|314.6151822986167 -08.8523463843471|  -5.412 -5.110     |10.68    |A0/2IV/V        |    ~     ~    |    1|  689.655   pc  | -11.7955    +11.7955    |paral   |2020yCat.1350....0G
2085|HD 132827                                                                                                |Star                                  |15 05 05.7437324064 -68 47 56.586485868|314.5645401578264 -09.0018492238453|  -4.341 -2.305     |10.76    |A3/5(V)         |    ~     ~    |    1|  471.542   pc  |  -3.0462     +3.0462    |paral   |2020yCat.1350....0G
2086|HD 132928                                                                                                |Eclipsing Binary                      |15 05 39.3316983816 -68 45 55.341449604|314.6259872102544 -08.9978065749065|      -5.7 -4.4     |9.35     |B9.5V           |    ~     ~    |    0|                |                         |        |                   
2087|HD 133154                                                                                                |Long-Period Variable                  |15 07 03.4995875784 -69 28 32.976853356|314.3750294382541 -09.6753329659140|-11.259 -21.736     |9.98     |M3/5            |    ~     ~    |    1|  557.041   pc  | -15.6389    +15.6389    |paral   |2020yCat.1350....0G
2088|HD 133250                                                                                                |Star                                  |15 07 26.8823422536 -68 41 50.445976740|314.8029331387497 -09.0203728740616|-10.305 -11.511     |10.41    |A0              |    ~     ~    |    1|  505.382   pc  |  -3.7035     +3.7035    |paral   |2020yCat.1350....0G
2089|HD 133283                                                                                                |Spectroscopic Binary                  |15 07 34.9777141824 -68 33 32.785278048|314.8842258189635 -08.9071780280942|-32.287 -33.952     |9.56     |G3/5            |    ~     ~    |    1|  275.330   pc  |  -8.9073     +8.9073    |paral   |2020yCat.1350....0G
2090|HD 133346                                                                                                |Star                                  |15 07 56.7498439776 -68 57 31.107315780|314.7085957394061 -09.2686073639634| -2.620 -10.315     |10.11    |F2/3(IV)        |    ~     ~    |    1|  279.900   pc  |  -1.0812     +1.0812    |paral   |2020yCat.1350....0G
2091|HD 133368                                                                                                |Star                                  |15 07 58.3720112256 -68 33 41.073727320|314.9141808983333 -08.9271538383600|   -4.924 2.461     |9.91     |G5              |    ~     ~    |    1|  561.956   pc  |  -4.2948     +4.2948    |paral   |2020yCat.1350....0G
2092|V* LW TrA                                                                                                |Long-Period Variable Candidate        |15 08 16.7181618336 -68 59 50.330048208|314.7148250139812 -09.3170699541815|-13.120 -10.257     |8.68     |M3(III)         |    ~     ~    |    1|  795.482   pc  | -12.5925    +12.5925    |paral   |2020yCat.1350....0G
2093|HD 133561                                                                                                |Star                                  |15 09 10.2439545552 -68 49 21.607648896|314.8748116441645 -09.2074866012637|-18.009 -15.008     |9.31     |G6(III)         |    ~     ~    |    1|  471.743   pc  |  -3.0711     +3.0711    |paral   |2020yCat.1350....0G
2094|HD 133741                                                                                                |Spectroscopic Binary                  |15 10 13.1103720768 -69 08 06.297372708|314.7945948422578 -09.5239775372036|   6.545 -4.869     |10.12    |A0              |    ~     ~    |    1|  418.113   pc  |  -3.0943     +3.0943    |paral   |2020yCat.1350....0G
2095|CD-68 1482                                                                                               |Star                                  |15 12 05.0836791984 -68 58 13.043295408|315.0257128405673 -09.4690579103355| -3.236 -10.902     |10.14    |~               |    ~     ~    |    1|  204.499   pc  |  -0.5687     +0.5687    |paral   |2020yCat.1350....0G
2096|HD 134149                                                                                                |Star                                  |15 12 20.7747813840 -68 49 59.317883760|315.1183740855101 -09.3641454717555|  -7.342 -8.478     |10.09    |A7/9III/IV      |    ~     ~    |    1|  546.388   pc  |  -5.9111     +5.9111    |paral   |2020yCat.1350....0G
2097|HD 134279                                                                                                |Star                                  |15 13 00.0624299928 -68 32 57.935893740|315.3196349252554 -09.1530136475446|-20.894 -11.109     |10.47    |G0              |    ~     ~    |    1|  484.074   pc  |  -5.9051     +5.9051    |paral   |2020yCat.1350....0G
2098|HD 134623                                                                                                |Pulsating Variable                    |15 14 59.9093515368 -68 45 48.966854832|315.3622782252037 -09.4307383242509|  -2.879 -2.115     |9.95     |B6/8II/III      |    ~     ~    |    1|  821.220   pc  | -15.4438    +15.4438    |paral   |2020yCat.1350....0G
2099|HD 133170                                                                                                |Star                                  |15 07 13.1069247744 -69 29 43.505629980|314.3773071803845 -09.6993241126368|  -8.077 14.292     |10.075   |K0              |    ~     ~    |    1|  746.974   pc  | -33.5600    +33.5600    |ST-L    |2020AJ....160...83S
2100|V* T TrA                                                                                                 |Variable Star                         |15 09 36.5397452016 -68 43 17.115650112|314.9617206809085 -09.1406752965344|-30.701 -33.892     |6.832    |B9IV            |    ~     ~    |    1|  210.349   pc  |  -5.3096     +5.3096    |paral   |2020yCat.1350....0G
2101|IRAS 14571-6950                                                                                          |Long-Period Variable Candidate        |15 01 54.9949649184 -70 02 40.735821552|313.6970578348540 -09.9491450137008|  -2.659 -2.924     |10.83    |~               |    ~     ~    |    1| 1601.02    pc  | -65.3636    +65.3636    |paral   |2020yCat.1350....0G
2102|HD 133890                                                                                                |Star                                  |15 11 01.8014415384 -69 17 14.455198068|314.7776419775584 -09.6915796419611|   1.814 -0.093     |9.54     |K5              |    ~     ~    |    1| 1019.472   pc  | -15.9016    +15.9016    |paral   |2020yCat.1350....0G
2103|CD-69 1331                                                                                               |Star                                  |15 08 07.1119775232 -69 36 05.510042676|314.3916787358271 -09.8306297848448|-14.604 -15.630     |10.21    |~               |    ~     ~    |    1|  357.795   pc  | -15.1700    +15.1700    |paral   |2020yCat.1350....0G
2104|CD-68 1447                                                                                               |Star                                  |15 00 19.2497891232 -69 20 37.119817968|313.9182533687911 -09.2687003988695| -7.343 -10.402     |9.58     |~               |    ~     ~    |    1| 1141.292   pc  | -15.5003    +15.5003    |paral   |2020yCat.1350....0G
2105|CD-69 1327                                                                                               |Star                                  |15 06 13.8199368432 -69 52 58.955470212|314.1042759308562 -09.9912805848530|-13.584 -16.392     |10.199   |~               |    ~     ~    |    1|  662.205   pc  | -17.9600    +17.9600    |ST-L    |2020AJ....160...83S
2106|TYC 9258-830-1                                                                                           |Star                                  |15 08 34.5994301952 -67 53 42.475417836|315.3041311084039 -08.3808552280456| -6.188 -10.496     |10.60    |~               |    ~     ~    |    1|  724.165   pc  |  -6.6076     +6.6076    |paral   |2020yCat.1350....0G
2107|CD-68 1480                                                                                               |Star                                  |15 11 19.1737178016 -69 05 41.840027124|314.9008340593322 -09.5401744829057|   8.925 -0.721     |10.37    |~               |    ~     ~    |    1|  521.078   pc  |  -4.0185     +4.0185    |paral   |2020yCat.1350....0G
2108|CD-68 1491                                                                                               |Star                                  |15 14 55.4428751928 -68 55 25.533628212|315.2706187118810 -09.5631119284806|   -4.597 0.754     |9.89     |~               |    ~     ~    |    1| 1066.212   pc  | -15.0059    +15.0059    |paral   |2020yCat.1350....0G
2109|CD-69 1314                                                                                               |Star                                  |15 00 52.7494650744 -70 22 05.019495708|313.4595924624558 -10.1892334342008| -8.678 -18.376     |9.51     |~               |    ~     ~    |    1| 1129.688   pc  | -17.4839    +17.4839    |paral   |2020yCat.1350....0G
2110|CPD-69 2199                                                                                              |Star                                  |15 02 19.5163881960 -70 14 11.919055704|313.6326952880394 -10.1336723150572|   -3.736 0.347     |10.524   |~               |    ~     ~    |    1| 1285.730   pc  | -86.3600    +86.3600    |ST-L    |2020AJ....160...83S
2111|TYC 9032-379-1                                                                                           |Star                                  |15 01 34.6806617448 -67 08 50.483974704|315.0906989274013 -07.4001187707388|  -1.605 -1.438     |10.99    |~               |    ~     ~    |    1| 1191.327   pc  | -30.5141    +30.5141    |paral   |2020yCat.1350....0G
2112|TYC 9032-421-1                                                                                           |Star                                  |15 00 38.0476275888 -67 23 40.415941392|314.8901109223253 -07.5729460930071|  -2.540 -2.001     |10.70    |~               |    ~     ~    |    1| 1741.760   pc  |-164.4000   +164.4000    |ST-L    |2020AJ....160...83S
2113|TYC 9032-508-1                                                                                           |Star                                  |15 02 02.2883612112 -67 14 20.175332100|315.0854077573121 -07.5018426549915| -25.201 -9.278     |10.93    |~               |    ~     ~    |    1|  628.220   pc  |  -4.8149     +4.8149    |paral   |2020yCat.1350....0G
2114|TYC 9032-706-1                                                                                           |Star                                  |15 02 47.9542584312 -67 09 10.945924920|315.1924959742106 -07.4625562491792| -2.056 -11.411     |10.67    |~               |    ~     ~    |    1|  213.429   pc  |  -0.6195     +0.6195    |paral   |2020yCat.1350....0G
2115|TYC 9032-865-1                                                                                           |Star                                  |15 00 45.8862399984 -67 02 05.158776408|315.0753834915648 -07.2633369665783|  -8.975 -9.951     |10.85    |~               |    ~     ~    |    1|  974.754   pc  | -12.5419    +12.5419    |paral   |2020yCat.1350....0G
2116|TYC 9032-991-1                                                                                           |Star                                  |15 01 41.0240664048 -67 13 22.076342148|315.0630109447910 -07.4711314097919|   3.261 -7.944     |10.28    |~               |    ~     ~    |    1|  951.294   pc  | -12.1265    +12.1265    |paral   |2020yCat.1350....0G
