C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:52:00

dec< 0&rah >=10.5&rah< 10.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6873

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |HD 91688                                                                                                 |Star                                |10 35 14.5226430480 -00 22 37.696120752|247.3525101894954 +47.2557455476553| -42.586 12.662   |9.32     |G1V                  |    ~     ~    |    1|  273.688   pc  |  -3.5505     +3.5505  |paral   |2020yCat.1350....0G
23  |BD+00 2675                                                                                               |Star                                |10 36 06.5418049608 -00 25 20.114875236|247.6187755108554 +47.3839295267706| -16.857 -2.679   |10.3     |K0                   |    ~     ~    |    1|  280.136   pc  |  -1.8049     +1.8049  |paral   |2020yCat.1350....0G
24  |BD+00 2679                                                                                               |Star                                |10 37 11.3408350776 -00 27 26.676302976|247.9295442635336 +47.5571352140883|  -24.182 9.373   |9.95     |K0                   |    ~     ~    |    1|  505.996   pc  |  -5.4279     +5.4279  |paral   |2020yCat.1350....0G
25  |HD 91990                                                                                                 |Star                                |10 37 19.7569701288 -00 28 28.799481756|247.9837650873812 +47.5708775205275| -35.628 -9.224   |9.54     |F7V                  |    ~     ~    |    1|  113.455   pc  |  -0.2716     +0.2716  |paral   |2020yCat.1350....0G
26  |HD 92033                                                                                                 |Star                                |10 37 35.9276725872 -00 35 53.323789452|248.1853751762932 +47.5352135281403| -44.180 -0.828   |9.30     |F6V                  |    ~     ~    |    1|  225.545   pc  |  -1.0123     +1.0123  |paral   |2020yCat.1350....0G
27  |BD+00 2683                                                                                               |High Proper Motion Star             |10 37 44.9801620128 -00 29 38.202655128|248.1114312371337 +47.6341718434081| -4.729 -62.509   |9.80     |G5                   |    ~     ~    |    1|  106.307   pc  |  -1.0815     +1.0815  |paral   |2020yCat.1350....0G
28  |BD+00 2690                                                                                               |Star                                |10 40 56.8454648448 -00 40 08.533876440|249.1233694554723 +48.0910953061825|    4.362 8.638   |9.74     |F8                   |    ~     ~    |    1|  248.416   pc  |  -1.4255     +1.4255  |paral   |2020yCat.1350....0G
29  |BD+00 2692                                                                                               |Star                                |10 41 04.4302 -00 26 54.418            |248.9183629 +48.2670811            |   -1.448 7.380   |10.7     |G0                   |    ~     ~    |    0|                |                       |        |                   
30  |HD 92559                                                                                                 |High Proper Motion Star             |10 41 10.5228834624 -00 16 34.707089964|248.7581541238323 +48.4046851550022|-38.499 -33.218   |7.52     |F0V                  |    ~     ~    |    1|   76.354   pc  |  -0.1679     +0.1679  |paral   |2020yCat.1350....0G
31  |HD 91300                                                                                                 |High Proper Motion Star             |10 32 33.9710838696 -01 10 01.559571384|247.5344693063907 +46.2281663900250| -65.797 45.144   |8.84     |K1III                |    ~     ~    |    1|  192.801   pc  |  -0.6765     +0.6765  |paral   |2020yCat.1350....0G
