C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:52:00

dec< 0&rah >=10.5&rah< 10.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6873

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
886 |TYC 6633-814-1                                                                                           |Star                                |10 38 04.7456752680 -23 27 27.716704056|267.3129127008715 +30.0368363648609|  -12.839 3.258   |10.459   |~                    |    ~     ~    |    1|  870.853   pc  | -33.2172    +33.2172  |paral   |2020yCat.1350....0G
887 |TYC 6633-905-1                                                                                           |High Proper Motion Star             |10 38 57.1596957120 -23 24 54.388498536|267.4764611899255 +30.1849847031677| 48.743 -32.285   |10.70    |~                    |    ~     ~    |    1|  213.712   pc  |  -0.8906     +0.8906  |paral   |2020yCat.1350....0G
888 |TYC 6633-1061-1                                                                                          |Star                                |10 38 04.7466159768 -23 20 42.552563532|267.2393920245763 +30.1296768368948|  -6.324 -0.151   |10.50    |~                    |    ~     ~    |    1|  731.582   pc  |  -9.2057     +9.2057  |paral   |2020yCat.1350....0G
889 |TYC 6633-1200-1                                                                                          |Star                                |10 37 30.8276802864 -23 16 34.271923548|267.0705694323148 +30.1129713380395|  1.116 -20.077   |10.47    |~                    |    ~     ~    |    1|  331.510   pc  |  -1.8353     +1.8353  |paral   |2020yCat.1350....0G
890 |HD 91108                                                                                                 |Star                                |10 30 46.8560384016 -23 43 43.043726856|265.9211850272723 +28.8534855867322|-23.491 -32.432   |9.11     |F5V                  |    ~     ~    |    1|  163.742   pc  |  -1.7040     +1.7040  |ST-L    |2020AJ....160...83S
891 |BD-22 2932                                                                                               |Star                                |10 31 33.1552394208 -23 40 28.340625540|266.0488794021339 +29.0005786510270| -39.836 27.384   |9.41     |F8                   |    ~     ~    |    1|  212.004   pc  |  -0.7371     +0.7371  |paral   |2020yCat.1350....0G
892 |BD-22 2933                                                                                               |Star                                |10 31 42.3136550472 -23 42 58.213674936|266.1090849355318 +28.9871212304268| -25.226 10.022   |9.10     |K0                   |    ~     ~    |    1|  409.719   pc  |  -2.2830     +2.2830  |paral   |2020yCat.1350....0G
893 |BD-22 2938                                                                                               |High Proper Motion Star             |10 32 02.5461101544 -23 42 39.493934100|266.1773860508317 +29.0362807509882| -62.751 30.444   |9.27     |K2                   |    ~     ~    |    1|  229.319   pc  |  -2.8620     +2.8620  |ST-L    |2020AJ....160...83S
894 |CD-23 9323                                                                                               |Star                                |10 30 01.4569443144 -24 06 12.953609604|266.0115948450917 +28.4482534396644|-24.261 -34.434   |10.85    |~                    |    ~     ~    |    1|  136.852   pc  |  -1.1190     +1.1190  |ST-L    |2020AJ....160...83S
895 |HD 91078                                                                                                 |Star                                |10 30 25.2117331320 -23 51 04.760518032|265.9268139806858 +28.7057001078006|   1.746 -4.067   |8.49     |A0V                  |    ~     ~    |    1|  424.147   pc  | -15.9000    +15.9000  |ST-L    |2020AJ....160...83S
896 |HD 91122                                                                                                 |Star                                |10 30 51.9114473160 -23 56 20.876947548|266.0794220126128 +28.6939613606886|-14.816 -13.591   |9.01     |F5V                  |    ~     ~    |    1|  274.386   pc  |  -1.1519     +1.1519  |paral   |2020yCat.1350....0G
897 |HD 91172                                                                                                 |Double or Multiple Star             |10 31 04.9727982843 -24 10 47.449337277|266.2853062099605 +28.5273945508786|  7.678 -22.549   |7.77     |Fm_dD                |    ~     ~    |    1|  173.813   pc  |  -0.8519     +0.8519  |paral   |2020yCat.1350....0G
898 |CD-23 9345                                                                                               |Pulsating Variable                  |10 31 16.5069720048 -23 57 57.032480736|266.1839188709172 +28.7269029161708| -23.904 10.045   |10.055   |~                    |    ~     ~    |    1|  274.168   pc  |  -4.7180     +4.7180  |ST-L    |2020AJ....160...83S
899 |CD-23 9350                                                                                               |Star                                |10 31 41.1232918080 -24 13 29.048188908|266.4422750768027 +28.5707380750390| 19.561 -22.480   |10.501   |~                    |    ~     ~    |    1|  240.304   pc  |  -3.3370     +3.3370  |ST-L    |2020AJ....160...83S
900 |CD-23 9353                                                                                               |Star                                |10 31 50.8993600992 -24 29 27.389353560|266.6521800869603 +28.3752981993783|  -12.833 0.268   |9.919    |~                    |    ~     ~    |    1| 1291.970   pc  | -96.2400    +96.2400  |ST-L    |2020AJ....160...83S
901 |HD 91290                                                                                                 |Star                                |10 31 58.4419219992 -24 33 12.415326912|266.7197686838096 +28.3408440243739|  -3.084 -1.404   |8.61     |K1III                |    ~     ~    |    1|  647.459   pc  | -10.2285    +10.2285  |paral   |2020yCat.1350....0G
902 |HD 91335                                                                                                 |Star                                |10 32 21.7135905576 -24 32 16.756276956|266.7914572892460 +28.4044051017981|  9.964 -13.683   |8.34     |K0III                |    ~     ~    |    1|  458.255   pc  | -13.9300    +13.9300  |ST-L    |2020AJ....160...83S
903 |CD-24 9107                                                                                               |Star                                |10 30 17.6507409408 -25 10 06.850768980|266.7714027456641 +27.6187029131731|   2.831 13.574   |10.573   |~                    |    ~     ~    |    1|  261.152   pc  |  -3.4510     +3.4510  |ST-L    |2020AJ....160...83S
904 |HD 91064                                                                                                 |Star                                |10 30 21.6310493928 -24 52 48.311822028|266.5959312618467 +27.8622786609671|  -7.115 -0.400   |8.72     |G8III                |    ~     ~    |    1|  475.184   pc  | -17.0400    +17.0400  |ST-L    |2020AJ....160...83S
905 |CD-24 9109                                                                                               |Star                                |10 30 26.0157075456 -24 41 39.008180832|266.4888080742918 +28.0231662963442| -24.584 10.052   |9.765    |~                    |    ~     ~    |    1|  294.274   pc  |  -5.2150     +5.2150  |ST-L    |2020AJ....160...83S
906 |HD 91123                                                                                                 |Star                                |10 30 48.0334713648 -25 13 23.780951436|266.9125583788954 +27.6404842187213|  -4.333 -7.879   |8.54     |B8/9III              |    ~     ~    |    1| 1299.545   pc  | -66.8772    +66.8772  |paral   |2020yCat.1350....0G
907 |CD-24 9127                                                                                               |Spectroscopic Binary                |10 31 43.6463395560 -25 09 02.648086128|267.0586743523008 +27.8207726347495| -24.129 15.620   |10.016   |~                    |    ~     ~    |    1|  529.718   pc  | -22.1800    +22.1800  |ST-L    |2020AJ....160...83S
908 |HD 91033                                                                                                 |High Proper Motion Star             |10 30 00.8091211848 -25 57 36.420321996|267.2289272929205 +26.9366495259619|-113.556 52.802   |9.58     |G2V                  |    ~     ~    |    1|  101.128   pc  |  -0.5696     +0.5696  |ST-L    |2020AJ....160...83S
909 |HD 91134                                                                                                 |alpha2 CVn Variable                 |10 30 54.2637671616 -26 05 44.658403548|267.5000697000099 +26.9410945940970|  -24.622 7.356   |8.42     |ApSi                 |    ~     ~    |    1|  629.129   pc  | -12.8240    +12.8240  |paral   |2020yCat.1350....0G
910 |HD 91185                                                                                                 |Star                                |10 31 11.8993895640 -25 59 30.169817628|267.4936766420240 +27.0641692041880| -4.545 -11.545   |8.80     |F0V                  |    ~     ~    |    1|  200.413   pc  |  -1.5865     +1.5865  |paral   |2020yCat.1350....0G
911 |CD-25 8095                                                                                               |Star                                |10 32 05.5340328360 -26 04 16.137226308|267.7296768618016 +27.1140361198239|   -0.840 2.122   |9.47     |~                    |    ~     ~    |    1| 1072.041   pc  | -20.9168    +20.9168  |paral   |2020yCat.1350....0G
912 |CD-23 9399                                                                                               |Star                                |10 35 11.8110736992 -23 57 51.295092156|267.0193780996420 +29.2451597950714| 15.693 -26.719   |10.42    |~                    |    ~     ~    |    1|  297.018   pc  |  -2.1349     +2.1349  |paral   |2020yCat.1350....0G
913 |CD-23 9417                                                                                               |Star                                |10 36 54.6477678120 -23 51 39.482101872|267.3216712736975 +29.5529597188386| -20.543 12.038   |10.144   |~                    |    ~     ~    |    1|  659.031   pc  | -21.7700    +21.7700  |ST-L    |2020AJ....160...83S
914 |V* HX Hya                                                                                                |Long-Period Variable                |10 37 07.6525760544 -23 53 35.459100888|267.3895902923483 +29.5544631810670|-14.551 -17.498   |8.85     |M4III                |    ~     ~    |    1|  698.861   pc  | -12.4544    +12.4544  |paral   |2020yCat.1350....0G
915 |CD-23 9433                                                                                               |Star                                |10 38 37.2562373328 -24 02 33.699655932|267.8105971322499 +29.6230834813442|   -8.298 0.915   |9.90     |~                    |    ~     ~    |    1|  338.949   pc  |  -5.7558     +5.7558  |paral   |2020yCat.1350....0G
916 |CD-23 9435                                                                                               |Star                                |10 38 44.2090581984 -24 03 11.563155432|267.8425834893274 +29.6292003172321| -14.790 12.870   |10.631   |~                    |    ~     ~    |    1| 1014.250   pc  | -63.0600    +63.0600  |ST-L    |2020AJ....160...83S
917 |CD-23 9397                                                                                               |Star                                |10 34 57.8424279024 -24 12 19.759684932|267.1271537759586 +29.0167800217806| -16.065 10.165   |9.987    |~                    |    ~     ~    |    1|  619.603   pc  | -16.6700    +16.6700  |ST-L    |2020AJ....160...83S
918 |CD-23 9422                                                                                               |Star                                |10 37 14.6300252112 -24 13 54.653704536|267.6343772189246 +29.2900046899493| -9.603 -11.905   |10.50    |~                    |    ~     ~    |    1|  597.657   pc  |  -9.0370     +9.0370  |paral   |2020yCat.1350....0G
919 |CD-23 9371                                                                                               |Star                                |10 32 49.4096320896 -24 19 21.063463860|266.7476888649493 +28.6410224741011|   -3.973 5.838   |9.21     |~                    |    ~     ~    |    1|  642.013   pc  |  -6.8834     +6.8834  |paral   |2020yCat.1350....0G
920 |CD-23 9382                                                                                               |Star                                |10 33 44.9949680304 -24 37 00.209990604|267.1366702713743 +28.5213609270869|   -0.962 1.195   |10.440   |~                    |    ~     ~    |    1|  566.911   pc  | -18.0000    +18.0000  |ST-L    |2020AJ....160...83S
921 |HD 91606                                                                                                 |High Proper Motion Star             |10 34 13.2671550336 -24 18 07.593096528|267.0315326101794 +28.8406934872384|-60.442 -19.001   |7.88     |F3V                  |    ~     ~    |    1|   86.707   pc  |  -0.4150     +0.4150  |paral   |2020yCat.1350....0G
922 |CD-23 9412                                                                                               |Star                                |10 36 23.7053062248 -24 33 57.136193856|267.6676028299766 +28.9052079196286|   0.545 -3.281   |9.610    |~                    |    ~     ~    |    1|  483.282   pc  | -17.5100    +17.5100  |ST-L    |2020AJ....160...83S
923 |CD-23 9419                                                                                               |Spectroscopic Binary                |10 37 03.6618457104 -24 33 25.765345368|267.8048844535261 +28.9978048455109|  -0.618 -9.141   |10.347   |~                    |    ~     ~    |    1|  621.949   pc  | -24.0000    +24.0000  |ST-L    |2020AJ....160...83S
924 |CD-23 9426                                                                                               |Star                                |10 37 43.5911725728 -24 19 36.921874620|267.7999716854131 +29.2733590024507|  4.091 -14.780   |10.816   |~                    |    ~     ~    |    1|  323.990   pc  |  -6.7670     +6.7670  |ST-L    |2020AJ....160...83S
925 |HD 92225                                                                                                 |Star                                |10 38 32.9989677648 -24 32 08.244949596|268.1119029020082 +29.2055268788098|  -8.440 11.258   |8.54     |K2III                |    ~     ~    |    1|  640.451   pc  |  -8.1215     +8.1215  |paral   |2020yCat.1350....0G
926 |HD 92325                                                                                                 |Star                                |10 39 13.0994627136 -24 26 59.830765332|268.2018004817591 +29.3614453715197| -7.644 -42.422   |8.86     |K2III                |    ~     ~    |    1|  160.516   pc  |  -0.5462     +0.5462  |paral   |2020yCat.1350....0G
927 |CD-23 9446                                                                                               |Double or Multiple Star             |10 39 44.863488 -24 35 07.00224        |268.402918159 +29.315890046        |      -3.8 16.1   |10.944   |~                    |    ~     ~    |    0|                |                       |        |                   
928 |CD-23 9457                                                                                               |Red Giant Branch star Candidate     |10 40 53.3892996504 -24 32 19.541526396|268.6217289082616 +29.4982809600346| -16.303 12.835   |9.58     |~                    |    ~     ~    |    1|  604.910   pc  | -28.3600    +28.3600  |ST-L    |2020AJ....160...83S
929 |CD-23 9461                                                                                               |Star                                |10 41 10.6861181328 -24 15 46.390215348|268.5096215962208 +29.7645873386661|   7.261 -5.167   |9.56     |~                    |    ~     ~    |    1|  582.351   pc  | -22.3900    +22.3900  |ST-L    |2020AJ....160...83S
930 |HD 91399                                                                                                 |Star                                |10 32 48.2500882080 -25 12 54.904459212|267.3261413994044 +27.9078962566275|  -12.322 7.379   |9.22     |G8/K0(IV)            |    ~     ~    |    1|  496.968   pc  |  -3.7047     +3.7047  |paral   |2020yCat.1350....0G
931 |HD 91415                                                                                                 |Star                                |10 32 55.1229749712 -25 08 48.131915712|267.3057504885818 +27.9789311002544| -1.040 -13.505   |8.94     |G6/8IV               |    ~     ~    |    1|  181.689   pc  |  -1.0002     +1.0002  |paral   |2020yCat.1350....0G
932 |CD-24 9140                                                                                               |Star                                |10 33 00.5754186600 -25 23 09.887225928|267.4797393572580 +27.7943407240578|  -7.656 -5.448   |9.78     |~                    |    ~     ~    |    1| 1008.520   pc  | -65.9200    +65.9200  |ST-L    |2020AJ....160...83S
933 |CD-24 9142                                                                                               |Star                                |10 33 06.3619845792 -24 45 57.584813256|267.0976927065661 +28.3152137928937|    1.169 7.443   |10.391   |~                    |    ~     ~    |    1|  231.798   pc  |  -3.1670     +3.1670  |ST-L    |2020AJ....160...83S
934 |HD 91444                                                                                                 |High Proper Motion Star             |10 33 04.5110540160 -25 35 20.565759840|267.6243482828303 +27.6361451250501| -54.242 17.883   |9.32     |G1V                  |    ~     ~    |    1|  177.705   pc  |  -0.7674     +0.7674  |paral   |2020yCat.1350....0G
935 |HD 91459                                                                                                 |Spectroscopic Binary                |10 33 11.3346436992 -25 29 56.827218300|267.5902240154943 +27.7246426238280|   -8.524 3.743   |8.93     |M1(III)              |    ~     ~    |    1|  779.180   pc  | -30.2347    +30.2347  |paral   |2020yCat.1350....0G
936 |CD-24 9151                                                                                               |Star                                |10 33 35.9380872624 -25 09 32.447598624|267.4567929511618 +28.0568316448658| 28.524 -34.011   |10.516   |~                    |    ~     ~    |    1|  181.776   pc  |  -1.9820     +1.9820  |ST-L    |2020AJ....160...83S
937 |HD 91517                                                                                                 |Star                                |10 33 36.7571499168 -25 35 43.837441080|267.7409700228598 +27.6998440056858|   -9.245 2.826   |9.30     |G8III                |    ~     ~    |    1| 1104.850   pc  | -19.7752    +19.7752  |paral   |2020yCat.1350....0G
938 |HD 91689                                                                                                 |Star                                |10 34 49.4250639840 -25 05 46.528162512|267.6748767501689 +28.2661681351093|  -31.988 4.471   |8.43     |F2V                  |    ~     ~    |    1|  153.657   pc  |  -0.4817     +0.4817  |paral   |2020yCat.1350....0G
939 |CD-24 9168                                                                                               |Star                                |10 35 01.3869343776 -24 43 06.798618084|267.4732964503037 +28.6027407414575| -15.509 -1.126   |10.042   |~                    |    ~     ~    |    1| 1118.470   pc  | -68.2300    +68.2300  |ST-L    |2020AJ....160...83S
940 |HD 91744                                                                                                 |Star                                |10 35 12.1875147864 -25 27 51.259376952|267.9912239309757 +28.0113197180030| -43.050 18.800   |9.07     |F3V                  |    ~     ~    |    1|  136.498   pc  |  -0.3391     +0.3391  |paral   |2020yCat.1350....0G
941 |CD-24 9178                                                                                               |Star                                |10 35 59.8072476888 -25 08 02.206782384|267.9478803862111 +28.3852352633923| 17.015 -29.422   |10.594   |~                    |    ~     ~    |    1|  135.860   pc  |  -1.0400     +1.0400  |ST-L    |2020AJ....160...83S
942 |CD-24 9184                                                                                               |Star                                |10 36 33.7816744416 -24 52 06.613373244|267.8983140022540 +28.6768226431660| -40.905 12.532   |10.620   |~                    |    ~     ~    |    1|  228.345   pc  |  -3.0520     +3.0520  |ST-L    |2020AJ....160...83S
943 |CD-24 9186                                                                                               |Star                                |10 36 53.9922043032 -25 31 19.955056944|268.3871772582654 +28.1785126945712|  -8.953 -4.662   |9.96     |~                    |    ~     ~    |    1|  451.816   pc  | -20.3600    +20.3600  |ST-L    |2020AJ....160...83S
944 |CD-24 9194                                                                                               |Star                                |10 37 23.9105193672 -25 03 49.682341008|268.2018102229725 +28.6215189270083|  -9.693 -5.589   |9.37     |~                    |    ~     ~    |    1|  684.161   pc  | -31.7300    +31.7300  |ST-L    |2020AJ....160...83S
945 |CD-24 9199                                                                                               |Star                                |10 37 35.7014769888 -24 51 27.400551408|268.1122505627603 +28.8172968693808| -25.915 -1.574   |9.658    |~                    |    ~     ~    |    1|  933.691   pc  | -50.2500    +50.2500  |ST-L    |2020AJ....160...83S
946 |CD-24 9201                                                                                               |Star                                |10 37 47.9773078896 -25 00 37.436043780|268.2536145617686 +28.7166002703807| -35.031 11.301   |9.35     |~                    |    ~     ~    |    1|  296.138   pc  |  -4.9730     +4.9730  |ST-L    |2020AJ....160...83S
947 |CD-24 9216                                                                                               |Long-Period Variable                |10 38 59.4788756328 -25 09 16.142926032|268.6007142807069 +28.7471012422362|  -14.631 2.864   |9.30     |~                    |    ~     ~    |    1| 1373.438   pc  | -39.9902    +39.9902  |paral   |2020yCat.1350....0G
948 |CD-24 9218                                                                                               |Star                                |10 39 19.9419652344 -25 03 12.012407352|268.6100816904231 +28.8740840610963| -10.330 10.816   |9.50     |~                    |    ~     ~    |    1|  604.485   pc  |  -6.9792     +6.9792  |paral   |2020yCat.1350....0G
949 |CD-24 9228                                                                                               |Star                                |10 40 10.8612336216 -25 08 37.745613492|268.8500865996455 +28.9048018460457|   -4.588 1.115   |9.03     |~                    |    ~     ~    |    1|  932.567   pc  | -55.9100    +55.9100  |ST-L    |2020AJ....160...83S
950 |CD-24 9229                                                                                               |Star                                |10 40 12.5441583480 -24 42 23.729344812|268.5800368161300 +29.2729294679625|-12.393 -10.935   |9.958    |~                    |    ~     ~    |    1| 1027.570   pc  | -63.0300    +63.0300  |ST-L    |2020AJ....160...83S
951 |CD-24 9232                                                                                               |Star                                |10 40 23.6739312336 -24 40 38.043681420|268.6017025948032 +29.3206798833841|  7.842 -12.358   |9.27     |~                    |    ~     ~    |    1|  312.099   pc  |  -6.1470     +6.1470  |ST-L    |2020AJ....160...83S
952 |CD-25 8130                                                                                               |Star                                |10 35 54.8290717656 -26 04 12.263640852|268.5258914328456 +27.6002538839311|  -17.620 0.544   |10.095   |~                    |    ~     ~    |    1|  679.398   pc  | -20.6200    +20.6200  |ST-L    |2020AJ....160...83S
953 |HD 91902                                                                                                 |Star                                |10 36 21.3513519096 -26 09 25.698610008|268.6736423671966 +27.5835320589467| -30.137 13.655   |9.97     |F8/G0V               |    ~     ~    |    1|  220.239   pc  |  -3.1700     +3.1700  |ST-L    |2020AJ....160...83S
954 |HD 91936                                                                                                 |Star                                |10 36 28.8220819656 -25 51 07.190785440|268.5073014817411 +27.8522519567714|  -19.017 0.348   |9.42     |A2V                  |    ~     ~    |    1|  323.536   pc  |  -7.3790     +7.3790  |ST-L    |2020AJ....160...83S
955 |CD-25 8145                                                                                               |High Proper Motion Star             |10 36 56.8802869848 -25 39 39.808381500|268.4853682965296 +28.0694372194931| -36.233 78.450   |9.57     |~                    |    ~     ~    |    1|  109.451   pc  |  -0.7440     +0.7440  |ST-L    |2020AJ....160...83S
956 |HD 92018                                                                                                 |Star                                |10 37 04.1302169088 -25 59 41.538100308|268.7216060723527 +27.8074953654966| -24.253 11.678   |10.05    |F3V                  |    ~     ~    |    1|  249.456   pc  |  -4.1760     +4.1760  |ST-L    |2020AJ....160...83S
957 |HD 92226                                                                                                 |Star                                |10 38 31.4832909192 -26 05 29.274658080|269.0900252121980 +27.9083602804917|  -5.886 -7.148   |9.22     |A7V                  |    ~     ~    |    1|  257.354   pc  |  -1.5167     +1.5167  |paral   |2020yCat.1350....0G
958 |CD-25 8165                                                                                               |Star                                |10 38 39.9808261200 -25 43 19.708313736|268.8888757997316 +28.2338030647494|  -22.052 2.596   |10.23    |~                    |    ~     ~    |    1| 1214.477   pc  | -21.3868    +21.3868  |paral   |2020yCat.1350....0G
959 |HD 92310                                                                                                 |High Proper Motion Star             |10 39 09.6584701944 -25 51 05.235241104|269.0752357340565 +28.1874369390067| 35.644 -45.505   |7.19     |F5V                  |    ~     ~    |    1|   73.291   pc  |  -3.4556     +3.4556  |paral   |2020yCat.1350....0G
960 |CD-25 8174                                                                                               |Star                                |10 39 52.8299862000 -25 39 46.937433600|269.1111237828357 +28.4339104287871| -3.696 -12.591   |9.41     |~                    |    ~     ~    |    1|  854.971   pc  | -40.7600    +40.7600  |ST-L    |2020AJ....160...83S
961 |CD-25 8180                                                                                               |Star                                |10 41 05.8046473152 -25 55 30.948508020|269.5347288592588 +28.3642059652972| -26.273 38.836   |10.20    |~                    |    ~     ~    |    1|  305.265   pc  |  -5.0940     +5.0940  |ST-L    |2020AJ....160...83S
962 |HD 91644                                                                                                 |Star                                |10 34 27.5048287056 -26 19 48.630354204|268.3860991737104 +27.2017176526816|   -4.110 5.097   |8.50     |A1V                  |    ~     ~    |    1|  288.002   pc  |  -2.6294     +2.6294  |paral   |2020yCat.1350....0G
963 |CD-25 8121                                                                                               |Spectroscopic Binary                |10 35 02.4017115432 -26 20 27.558975948|268.5141398255266 +27.2660383567557|  3.750 -20.116   |9.92     |~                    |    ~     ~    |    1|  508.603   pc  | -15.2400    +15.2400  |ST-L    |2020AJ....160...83S
964 |HD 91713                                                                                                 |Star                                |10 35 01.9791667776 -26 22 54.315228612|268.5384068831531 +27.2314134520080| -42.507 -1.804   |7.60     |K1III                |    ~     ~    |    1|  286.508   pc  |  -1.7649     +1.7649  |paral   |2020yCat.1350....0G
965 |HD 92035                                                                                                 |Star                                |10 37 11.1290983152 -26 18 09.415774764|268.9393662050800 +27.5662289273050|  -0.594 -9.905   |9.15     |K0III                |    ~     ~    |    1|  522.466   pc  |  -5.3502     +5.3502  |paral   |2020yCat.1350....0G
966 |CD-25 8153                                                                                               |Star                                |10 37 40.2962568168 -26 17 36.317689080|269.0359399102475 +27.6342761288269|   4.758 -6.491   |10.19    |~                    |    ~     ~    |    1|  735.943   pc  |  -9.1533     +9.1533  |paral   |2020yCat.1350....0G
967 |HD 92172                                                                                                 |Star                                |10 38 07.4159326848 -26 18 55.127652516|269.1448966763744 +27.6720404537418|  -24.268 2.420   |10.00    |A9V                  |    ~     ~    |    1|  345.316   pc  |  -2.3372     +2.3372  |paral   |2020yCat.1350....0G
968 |HD 92360                                                                                                 |Star                                |10 39 22.9053777336 -26 18 03.921263640|269.4020970970404 +27.8390697173011|  -33.033 7.806   |8.64     |F0V                  |    ~     ~    |    1|  254.933   pc  |  -2.4437     +2.4437  |paral   |2020yCat.1350....0G
969 |HD 92562                                                                                                 |Star                                |10 40 50.2555583160 -26 27 05.690253744|269.8040594834890 +27.8909478644524|   -8.921 8.065   |10.51    |F2V+F2V              |    ~     ~    |    1|  405.152   pc  | -21.1900    +21.1900  |ST-L    |2020AJ....160...83S
970 |CD-25 8179s                                                                                              |Star                                |10 40 50.4881387352 -26 27 20.208397752|269.8073623455038 +27.8880333454816|   -9.970 8.594   |10.29    |~                    |    ~     ~    |    1|  400.340   pc  | -10.1800    +10.1800  |ST-L    |2020AJ....160...83S
971 |NGC 3313                           NGC 3313                                                              |Emission-line galaxy                |10 37 25.4644853016 -25 19 09.838240356|268.3699884937994 +28.4128851657733|            ~ ~   |     ~   |~                    |1.540 0.770    |    1|   52.88    Mpc |                       |redshift|2007ApJ...655..790C
972 |CD-23 9459                                                                                               |Star                                |10 41 07.4447273040 -24 37 40.398963096|268.7291838074743 +29.4532376650624| -2.330 -16.594   |10.217   |~                    |    ~     ~    |    1|  393.058   pc  | -12.6800    +12.6800  |ST-L    |2020AJ....160...83S
973 |CD-25 8183                                                                                               |Star                                |10 41 13.9305281136 -26 29 31.388855352|269.9128355409042 +27.9048611149094| 23.275 -33.009   |10.59    |~                    |    ~     ~    |    1|  251.319   pc  |  -0.9980     +0.9980  |paral   |2020yCat.1350....0G
974 |CD-25 8099                                                                                               |Star                                |10 32 42.5620155960 -26 11 32.862116868|267.9352037075442 +27.0933138487329|  -8.632 -6.893   |10.238   |~                    |    ~     ~    |    1|  750.626   pc  | -30.9600    +30.9600  |ST-L    |2020AJ....160...83S
975 |CD-25 8124                                                                                               |Star                                |10 35 10.5929898792 -25 58 53.728095972|268.3151870103041 +27.5805521470342|  -5.695 -3.469   |10.096   |~                    |    ~     ~    |    1|  773.811   pc  | -29.7900    +29.7900  |ST-L    |2020AJ....160...83S
976 |CD-25 8127                                                                                               |Star                                |10 35 32.3838203448 -25 46 09.049202220|268.2565790817424 +27.8021348491549| 24.087 -20.845   |10.42    |~                    |    ~     ~    |    1|  293.953   pc  | -11.2677    +11.2677  |paral   |2020yCat.1350....0G
977 |CD-25 8142                                                                                               |Star                                |10 36 40.7341038360 -25 54 18.825043032|268.5828203996290 +27.8330500372119|  -15.772 3.192   |10.365   |~                    |    ~     ~    |    1| 1519.250   pc  |-120.2000   +120.2000  |ST-L    |2020AJ....160...83S
978 |CD-25 8169                                                                                               |Star                                |10 39 14.4230549400 -25 44 33.145132848|269.0240377049977 +28.2881705385464|  -13.845 6.574   |10.247   |~                    |    ~     ~    |    1|  755.052   pc  | -28.2900    +28.2900  |ST-L    |2020AJ....160...83S
979 |CD-24 9225                                                                                               |High Proper Motion Star             |10 40 05.2740600168 -24 53 11.941821528|268.6677543416304 +29.1076620972127|-71.981 -25.938   |10.885   |~                    |    ~     ~    |    1|  113.742   pc  |  -1.1290     +1.1290  |ST-L    |2020AJ....160...83S
980 |TYC 6620-626-1                                                                                           |High Proper Motion Star             |10 32 40.1586458112 -24 17 26.219827752|266.6940234754871 +28.6468132187894| -98.330 46.445   |10.78    |~                    |    ~     ~    |    1|  251.750   pc  |  -0.9887     +0.9887  |paral   |2020yCat.1350....0G
981 |TYC 6620-648-1                                                                                           |Star                                |10 31 42.1718215668 -23 55 17.404995329|266.2451233011980 +28.8198549303970|    1.455 6.024   |10.626   |~                    |    ~     ~    |    1|  300.041   pc  | -20.7500    +20.7500  |ST-L    |2020AJ....160...83S
982 |TYC 6620-662-1                                                                                           |High Proper Motion Star             |10 35 24.7772206968 -24 15 05.316737760|267.2532993152479 +29.0373410984711| 50.116 -26.020   |10.63    |~                    |    ~     ~    |    1|  214.754   pc  |  -1.4159     +1.4159  |paral   |2020yCat.1350....0G
983 |TYC 6620-737-1                                                                                           |Star                                |10 34 29.9410563888 -24 01 13.362985524|266.9064478587977 +29.1079304419100|   -7.878 5.349   |10.94    |~                    |    ~     ~    |    1|  735.334   pc  | -35.0700    +35.0700  |ST-L    |2020AJ....160...83S
984 |TYC 6620-821-1                                                                                           |Spectroscopic Binary                |10 33 45.8241235968 -24 02 04.483799052|266.7585198380557 +28.9999135114514| -13.536 -2.096   |10.699   |~                    |    ~     ~    |    1| 1035.040   pc  | -53.5800    +53.5800  |ST-L    |2020AJ....160...83S
985 |TYC 6624-102-1                                                                                           |Spectroscopic Binary                |10 33 54.1963419912 -25 15 39.630781116|267.5867285500257 +28.0122566358907| -24.184 -8.344   |10.596   |~                    |    ~     ~    |    1|  403.790   pc  | -11.9800    +11.9800  |ST-L    |2020AJ....160...83S
986 |TYC 6624-154-1                                                                                           |Star                                |10 31 28.2865211592 -25 01 27.789974436|266.9226915100744 +27.8905537924041| -42.217 26.135   |10.905   |~                    |    ~     ~    |    1|  371.600   pc  |  -8.3790     +8.3790  |ST-L    |2020AJ....160...83S
987 |TYC 6624-584-1                                                                                           |Star                                |10 34 45.7253502336 -25 46 40.576882332|268.0987166787973 +27.6962661956146|-27.570 -13.547   |10.859   |~                    |    ~     ~    |    1|  369.356   pc  |  -7.3600     +7.3600  |ST-L    |2020AJ....160...83S
