C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:41:54

dec< 0&rah >=16.75&rah< 17.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 7615

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
910 |HD 322182                                                                                                |Star                                  |16 52 03.9867810648 -38 46 38.327772252|345.5739170964300 +03.4215300971392|  -2.553 -6.341    |10.37    |A0             |    ~     ~    |    1|  452.325   pc  |  -4.2147     +4.2147    |paral   |2020yCat.1350....0G
911 |HD 322185                                                                                                |Star                                  |16 52 17.1676233576 -38 51 04.411665468|345.5438118865822 +03.3415859572607| -6.097 -12.609    |10.85    |K7             |    ~     ~    |    1|  619.579   pc  |  -5.6814     +5.6814    |paral   |2020yCat.1350....0G
912 |HD 322200                                                                                                |Star                                  |16 52 24.2400901128 -39 10 08.535368496|345.3120455710664 +03.1225333041420|  -1.947 -5.863    |10.30    |K5             |    ~     ~    |    1|  860.882   pc  | -11.9320    +11.9320    |paral   |2020yCat.1350....0G
913 |HD 322226                                                                                                |Star                                  |16 52 19.5027608568 -39 31 38.723113092|345.0247226267125 +02.9072494396060|  -11.602 4.351    |10.78    |F2             |    ~     ~    |    1|  282.175   pc  |  -6.3619     +6.3619    |paral   |2020yCat.1350....0G
914 |HD 322227                                                                                                |Star                                  |16 52 01.4969774328 -39 44 36.546869760|344.8207771454519 +02.8148862700650|  -5.842 -3.783    |10.81    |B9             |    ~     ~    |    1|  810.570   pc  | -10.5124    +10.5124    |paral   |2020yCat.1350....0G
915 |HD 322231                                                                                                |Star                                  |16 51 37.6108081992 -39 52 58.622598192|344.6643102703243 +02.7853626538427| -11.979 -6.053    |10.44    |K5             |    ~     ~    |    1|  583.499   pc  |  -5.1071     +5.1071    |paral   |2020yCat.1350....0G
916 |HD 322243                                                                                                |Star                                  |16 51 29.7250341816 -40 00 02.437142328|344.5572992802845 +02.7299618638874|  -5.637 -7.456    |10.63    |K2             |    ~     ~    |    1|  738.443   pc  |  -8.6157     +8.6157    |paral   |2020yCat.1350....0G
917 |HD 322287                                                                                                |Star                                  |16 51 33.0369078720 -40 32 23.477987940|344.1475120975622 +02.3789172197666| -9.414 -11.369    |10.75    |K0             |    ~     ~    |    1| 1091.703   pc  | -19.6650    +19.6650    |paral   |2020yCat.1350....0G
918 |HD 325993                                                                                                |Star                                  |16 47 34.6127593032 -40 39 33.062292468|343.5720943219894 +02.8816914604474|-12.845 -13.794    |10.49    |K5             |    ~     ~    |    1|  675.128   pc  |  -9.8452     +9.8452    |paral   |2020yCat.1350....0G
919 |CPD-40 7516                                                                                              |Star                                  |16 48 29.6557604400 -40 36 51.558246036|343.7186805778918 +02.7774449375284| -2.877 -47.265    |10.42    |~              |    ~     ~    |    1|  291.605   pc  |  -3.1632     +3.1632    |paral   |2020yCat.1350....0G
920 |HD 152002                                                                                                |Star                                  |16 52 32.3344657848 -38 26 09.967869708|345.8970276464688 +03.5662082028354|   1.023 -1.870    |7.51     |B2III          |    ~     ~    |    1|  906.043   pc  | -18.1422    +18.1422    |paral   |2020yCat.1350....0G
921 |HD 152041                                                                                                |Rotating Variable                     |16 52 41.7114937632 -38 45 37.251673020|345.6648167877528 +03.3374261702624| -9.030 -22.899    |8.881    |F3V            |    ~     ~    |    1|  161.667   pc  |  -3.3730     +3.3730    |ST-L    |2020AJ....160...83S
922 |HD 152118                                                                                                |Star                                  |16 53 08.0342290944 -38 18 29.693621412|346.0701478644468 +03.5566413409197|   0.653 -9.364    |9.38     |G8/K0(III)     |    ~     ~    |    1|  407.382   pc  |  -2.9707     +2.9707    |paral   |2020yCat.1350....0G
923 |HD 152160                                                                                                |Star                                  |16 53 26.0287221312 -39 06 11.950325388|345.4894790334058 +03.0093811562525| -0.915 -12.415    |9.04     |B8/9II         |    ~     ~    |    1|  663.417   pc  | -37.2100    +37.2100    |ST-L    |2020AJ....160...83S
924 |HD 152181                                                                                                |Star                                  |16 53 29.1208682064 -38 26 55.762922004|346.0044288816313 +03.4145068035410|   0.866 -9.448    |9.38     |B9IV           |    ~     ~    |    1|  725.268   pc  | -10.2573    +10.2573    |paral   |2020yCat.1350....0G
925 |HD 152232                                                                                                |Star                                  |16 53 46.8930813408 -38 14 40.164000504|346.2000296276047 +03.4981979944135|   7.196 -1.772    |9.31     |K2/3(III)      |    ~     ~    |    1|  741.345   pc  | -10.4423    +10.4423    |paral   |2020yCat.1350....0G
926 |HD 152267                                                                                                |Star                                  |16 54 06.4895510832 -38 25 02.672847048|346.1058349667276 +03.3395710922372|  -1.312 -4.405    |9.71     |A0V            |    ~     ~    |    1|  749.738   pc  | -11.5232    +11.5232    |paral   |2020yCat.1350....0G
927 |HD 152350                                                                                                |Star                                  |16 54 28.8669645840 -38 39 14.446860696|345.9675280462809 +03.1340646735631|-12.851 -24.153    |9.20     |A3IV           |    ~     ~    |    1|  336.259   pc  |  -4.6472     +4.6472    |paral   |2020yCat.1350....0G
928 |HD 152351                                                                                                |High Proper Motion Star               |16 54 32.6892891600 -39 11 45.726971100|345.5532380583524 +02.7836887130962|-29.940 -77.292    |10.04    |G3             |    ~     ~    |    1|  152.302   pc  |  -0.4129     +0.4129    |paral   |2020yCat.1350....0G
929 |HD 152349                                                                                                |Star                                  |16 54 33.4445846088 -38 33 52.393152780|346.0466002700824 +03.1786926506896|  -3.665 -7.379    |8.12     |B7III          |    ~     ~    |    1|  402.139   pc  |  -5.3366     +5.3366    |paral   |2020yCat.1350....0G
930 |HD 152456                                                                                                |Star                                  |16 55 06.1280382120 -38 24 47.536629912|346.2316127460920 +03.1907165846790|  -5.945 -6.707    |7.25     |B8/9III(pSi)   |    ~     ~    |    1|  417.711   pc  |  -5.0774     +5.0774    |paral   |2020yCat.1350....0G
931 |HD 152475                                                                                                |Star                                  |16 55 15.9674114520 -38 47 53.656395108|345.9513472185246 +02.9243486575900|   4.134 -1.576    |9.19     |K0/1(III)      |    ~     ~    |    1| 1235.178   pc  | -27.4620    +27.4620    |paral   |2020yCat.1350....0G
932 |HD 152020                                                                                                |Star                                  |16 52 39.1543669176 -39 18 01.177113996|345.2408097301243 +03.0021436652408|  -0.034 -7.993    |9.61     |B9Ib/II        |    ~     ~    |    1|  637.620   pc  | -25.0300    +25.0300    |ST-L    |2020AJ....160...83S
933 |HD 152095                                                                                                |Star                                  |16 53 05.8726996872 -39 45 32.929896924|344.9394204814453 +02.6453888342001|  -2.004 -5.006    |9.50     |B8/9II         |    ~     ~    |    1|  707.264   pc  |  -8.8039     +8.8039    |paral   |2020yCat.1350....0G
934 |HD 152132                                                                                                |Star                                  |16 53 16.2247384656 -39 51 36.180721980|344.8821126191542 +02.5559357316074| -2.309 -10.611    |9.34     |B8II/III       |    ~     ~    |    1|  459.782   pc  | -14.5500    +14.5500    |ST-L    |2020AJ....160...83S
935 |HD 152332                                                                                                |Star                                  |16 54 30.8311095840 -39 39 05.328622656|345.1949815631562 +02.5019241845702|   0.966 -0.285    |8.96     |B4Ib/II        |    ~     ~    |    1| 1261.193   pc  | -34.6753    +34.6753    |paral   |2020yCat.1350....0G
936 |HD 152352                                                                                                |Star                                  |16 54 36.6528538176 -39 43 59.841931440|345.1430684180660 +02.4359606750438|  8.885 -15.514    |10.32    |F0             |    ~     ~    |    1|  226.127   pc  |  -0.8539     +0.8539    |paral   |2020yCat.1350....0G
937 |HD 152434                                                                                                |Star                                  |16 55 01.6837402104 -39 20 56.290244100|345.4929370355993 +02.6148469118028|   0.787 -1.279    |9.36     |B2/3II/III     |    ~     ~    |    1| 1230.921   pc  | -34.5458    +34.5458    |paral   |2020yCat.1350....0G
938 |HD 152435                                                                                                |Star                                  |16 55 04.8068007720 -39 34 56.941552560|345.3172936569706 +02.4604457261858|   0.989 -0.997    |9.90     |B5/7Ib         |    ~     ~    |    1| 1294.480   pc  |-117.6000   +117.6000    |ST-L    |2020AJ....160...83S
939 |NGC 6242 10                        NGC 6242 10                                                           |Star                                  |16 55 22.7485239048 -39 29 18.016110240|345.4268799971101 +02.4746112010513|   1.172 -0.936    |12.21    |~              |    ~     ~    |    1| 1302.762   pc  | -29.8705    +29.8705    |paral   |2020yCat.1350....0G
940 |NGC 6242 2                         HD 322211                                                             |Star                                  |16 55 25.0993775664 -39 29 01.998415788|345.4350935776318 +02.4715113217425|   0.924 -0.894    |9.08     |B5III          |    ~     ~    |    1| 1272.265   pc  | -35.2867    +35.2867    |paral   |2020yCat.1350....0G
941 |NGC 6242 15                        CPD-39 7158                                                           |Star                                  |16 55 25.3836595128 -39 27 10.320872472|345.4598588831336 +02.4902463395545|   1.155 -0.812    |10.82    |~              |    ~     ~    |    1| 1203.369   pc  | -43.0085    +43.0085    |paral   |2020yCat.1350....0G
942 |NGC 6242 3                         CD-39 10855                                                           |Emission-line Star                    |16 55 26.6595828288 -39 30 07.246525716|345.4241074095335 +02.4562407184191|   0.800 -0.515    |9.90     |B2III          |    ~     ~    |    1| 1280.246   pc  | -31.7972    +31.7972    |paral   |2020yCat.1350....0G
943 |NGC 6242 4                         CD-39 10858                                                           |Emission-line Star                    |16 55 27.1320460176 -39 29 16.400572296|345.4360751649853 +02.4639106814744|   1.076 -0.912    |9.96     |B5:Vn          |    ~     ~    |    1| 1280.082   pc  | -37.3603    +37.3603    |paral   |2020yCat.1350....0G
944 |NGC 6242 1                         V* V1069 Sco                                                          |Eclipsing Binary                      |16 55 30.9661203600 -39 27 59.042638692|345.4605703639871 +02.4677703404637|   1.286 -0.641    |8.61     |B2/3II         |    ~     ~    |    1| 1288.162   pc  | -86.2868    +86.2868    |paral   |2020yCat.1350....0G
945 |NGC 6242 14                        CD-39 10859                                                           |Star                                  |16 55 28.4584922880 -39 27 09.077305320|345.4663351371267 +02.4827549793450|   1.159 -0.719    |10.47    |~              |    ~     ~    |    1| 1347.346   pc  | -37.0329    +37.0329    |paral   |2020yCat.1350....0G
946 |NGC 6242 11                        NGC 6242 11                                                           |Star                                  |16 55 28.8793804704 -39 26 28.655235672|345.4759421983700 +02.4887372726006|   1.053 -0.836    |11.83    |~              |    ~     ~    |    1| 1390.241   pc  | -36.9159    +36.9159    |paral   |2020yCat.1350....0G
947 |NGC 6242 19                        NGC 6242 19                                                           |Star                                  |16 55 29.5169347296 -39 30 08.507758392|345.4295975874097 +02.4488633449306|   0.892 -0.943    |13.20    |~              |    ~     ~    |    1| 1328.021   pc  | -32.9801    +32.9801    |paral   |2020yCat.1350....0G
948 |HD 152523                                                                                                |Star                                  |16 55 35.3389593024 -39 24 49.644133956|345.5104359076299 +02.4897695134881|   0.868 -0.812    |9.77     |B2/5(V)        |    ~     ~    |    1| 1308.729   pc  | -39.2225    +39.2225    |paral   |2020yCat.1350....0G
949 |NGC 6242 13                        CD-39 10863                                                           |Star                                  |16 55 31.2073936752 -39 26 39.730103880|345.4782417672175 +02.4809719490112|   1.155 -0.808    |10.35    |B6V            |    ~     ~    |    1| 1376.462   pc  | -47.5557    +47.5557    |paral   |2020yCat.1350....0G
950 |NGC 6242 12                        CD-39 10861                                                           |Be Star                               |16 55 28.8554083872 -39 25 48.913274784|345.4845040885310 +02.4957163622352|   1.134 -0.780    |9.763    |B3Ve           |    ~     ~    |    1| 1314.924   pc  | -34.5805    +34.5805    |paral   |2020yCat.1350....0G
951 |NGC 6242 7                         NGC 6242 7                                                            |Star                                  |16 55 32.1102105888 -39 28 31.915037712|345.4557561551646 +02.4591803978074|   0.898 -0.954    |12.13    |~              |    ~     ~    |    1| 1332.800   pc  | -27.8888    +27.8888    |paral   |2020yCat.1350....0G
952 |NGC 6242 18                        NGC 6242 18                                                           |Star                                  |16 55 32.6981092512 -39 30 23.155207452|345.4328392759700 +02.4383438456925|   1.132 -0.998    |13.13    |~              |    ~     ~    |    1| 1275.022   pc  | -28.7746    +28.7746    |paral   |2020yCat.1350....0G
953 |NGC 6242 16                        CD-39 10864                                                           |Star                                  |16 55 32.5047131424 -39 29 24.789234120|345.4450955194623 +02.4489880055100|   1.149 -0.859    |12.54    |~              |    ~     ~    |    1| 1314.406   pc  | -28.5064    +28.5064    |paral   |2020yCat.1350....0G
954 |NGC 6242 8                         NGC 6242 8                                                            |Star                                  |16 55 34.0959929304 -39 28 15.005716500|345.4634258986258 +02.4571460475567|   1.414 -0.323    |12.13    |~              |    ~     ~    |    0|                |                         |        |                   
955 |NGC 6242 5                         CD-39 10866                                                           |Star                                  |16 55 35.1465889584 -39 28 40.481265072|345.4600246245918 +02.4500786758843|   1.186 -1.140    |10.03    |B5V:           |    ~     ~    |    1| 1307.360   pc  | -40.3369    +40.3369    |paral   |2020yCat.1350....0G
956 |NGC 6242 17                        NGC 6242 17                                                           |Star                                  |16 55 36.7770141264 -39 29 22.737400080|345.4541555834730 +02.4386381978361|   2.000 -1.213    |12.70    |~              |    ~     ~    |    1| 1235.025   pc  | -29.1330    +29.1330    |paral   |2020yCat.1350....0G
957 |NGC 6242 6                         HD 152524                                                             |Star                                  |16 55 37.8128350032 -39 30 17.916882012|345.4442859612685 +02.4264400852910|   0.945 -0.960    |7.28     |K2II/III       |    ~     ~    |    1| 1295.840   pc  | -36.4387    +36.4387    |paral   |2020yCat.1350....0G
958 |NGC 6242 20                        CD-39 10874                                                           |Star                                  |16 55 40.9600141752 -39 31 02.048609604|345.4410644226364 +02.4108750584055|   1.070 -0.864    |11.04    |B4V            |    ~     ~    |    1| 1182.592   pc  | -36.7812    +36.7812    |paral   |2020yCat.1350....0G
959 |NGC 6242 22                        CPD-39 7173                                                           |Emission-line Star                    |16 55 43.4834771424 -39 30 06.607923624|345.4581659410851 +02.4141958981681|   1.010 -0.991    |10.86    |B7e            |    ~     ~    |    1| 1330.849   pc  | -48.7069    +48.7069    |paral   |2020yCat.1350....0G
960 |NGC 6242 21                        CD-39 10876                                                           |Star                                  |16 55 44.6285196744 -39 30 41.411547828|345.4529290862451 +02.4052718822271|   0.816 -0.760    |11.07    |B6V            |    ~     ~    |    1| 1294.498   pc  | -57.9801    +57.9801    |paral   |2020yCat.1350....0G
961 |NGC 6242 23                        NGC 6242 23                                                           |Star                                  |16 55 47.0083778880 -39 30 00.439736652|345.4666055577940 +02.4064327850731|   1.097 -0.861    |11.53    |B7V:           |    ~     ~    |    1| 1374.948   pc  | -47.0730    +47.0730    |paral   |2020yCat.1350....0G
962 |HD 322240                                                                                                |Star                                  |16 53 33.9159250776 -40 00 05.385113100|344.8080807177202 +02.4227758681340|   7.141 -5.124    |10.68    |F5V            |    ~     ~    |    1|  229.938   pc  |  -0.9411     +0.9411    |paral   |2020yCat.1350....0G
963 |HD 322222                                                                                                |Star                                  |16 53 18.0829054080 -39 38 33.848836656|345.0545003182688 +02.6886221495212|  -3.495 -8.135    |10.83    |A0             |    ~     ~    |    1|  720.669   pc  | -10.1276    +10.1276    |paral   |2020yCat.1350....0G
964 |HD 322264                                                                                                |Star                                  |16 53 29.6422893600 -40 24 58.152484800|344.4776999944349 +02.1714792934673|   1.532 -1.358    |10.67    |B3             |    ~     ~    |    1| 1384.083   pc  | -45.9765    +45.9765    |paral   |2020yCat.1350....0G
965 |HD 322294                                                                                                |Star                                  |16 53 32.1525497688 -40 49 10.855640352|344.1696853738699 +01.9104315996559|  -0.563 -1.157    |9.99     |B3             |    ~     ~    |    1| 1609.010   pc  | -56.6972    +56.6972    |paral   |2020yCat.1350....0G
966 |HD 152197                                                                                                |Star                                  |16 53 44.4090529848 -40 18 59.021954856|344.5847382958926 +02.1981044031932|   1.247 -2.183    |8.99     |B3III          |    ~     ~    |    1| 1035.626   pc  | -24.9897    +24.9897    |paral   |2020yCat.1350....0G
967 |NGC 6231 319                       HD 152245                                                             |Star                                  |16 54 00.4797621624 -40 31 58.152058500|344.4488615582990 +02.0220340094001|  -0.357 -1.104    |8.37     |B0Ib           |    ~     ~    |    1| 1858.391   pc  |-102.5724   +102.5724    |paral   |2020yCat.1350....0G
968 |HD 152258                                                                                                |Star                                  |16 54 11.8512370344 -40 27 10.179285624|344.5337291025421 +02.0444776173001| -5.522 -13.254    |8.11     |M2/3III        |    ~     ~    |    1|  512.374   pc  |  -5.7756     +5.7756    |paral   |2020yCat.1350....0G
969 |HD 322267                                                                                                |Pulsating Variable                    |16 54 17.8736740608 -40 28 13.299553272|344.5321380415950 +02.0186048024051|  -0.666 -0.827    |10.66    |B9             |    ~     ~    |    1| 1669.170   pc  | -47.3642    +47.3642    |paral   |2020yCat.1350....0G
970 |HD 152291                                                                                                |Emission-line Star                    |16 54 24.2008363200 -40 39 08.997983136|344.4031913509970 +01.8883449526592|  -0.317 -1.240    |9.27     |B1IIIe         |    ~     ~    |    1| 1695.778   pc  | -83.3942    +83.3942    |paral   |2020yCat.1350....0G
971 |NGC 6231 337                       HD 322282                                                             |Emission-line Star                    |16 54 29.0307145680 -40 41 17.357586144|344.3850895089730 +01.8540379713698|   0.848 -1.183    |9.45     |Be             |    ~     ~    |    1| 1320.306   pc  | -42.1857    +42.1857    |paral   |2020yCat.1350....0G
972 |HD 322305                                                                                                |Star                                  |16 54 31.1597360328 -40 57 11.637002592|344.1832534205578 +01.6819559853830|  -0.670 -1.551    |9.39     |B8             |    ~     ~    |    1| 1644.196   pc  | -54.3379    +54.3379    |paral   |2020yCat.1350....0G
973 |HD 322270                                                                                                |Star                                  |16 54 33.2494769592 -40 32 02.273136612|344.5133784172853 +01.9407136207026|  -0.099 -1.010    |10.4     |B5             |    ~     ~    |    1| 1524.855   pc  | -97.4252    +97.4252    |paral   |2020yCat.1350....0G
974 |HD 322280                                                                                                |Star                                  |16 54 37.8183676440 -40 45 37.597696236|344.3463557785175 +01.7869789370462|  -5.109 -7.904    |9.70     |B9             |    ~     ~    |    1|  774.833   pc  | -13.5683    +13.5683    |paral   |2020yCat.1350....0G
975 |HD 152353                                                                                                |Star                                  |16 54 44.8382198448 -40 52 51.252280680|344.2666046540837 +01.6939945841126|  -0.354 -1.892    |8.67     |B2Ib/II        |    ~     ~    |    0|                |                         |        |                   
976 |HD 322279                                                                                                |Star                                  |16 54 44.2448026584 -40 45 27.293248764|344.3613470368792 +01.7730129485751|  -0.245 -1.266    |9.73     |B9             |    ~     ~    |    1| 1688.619   pc  | -72.4264    +72.4264    |paral   |2020yCat.1350....0G
977 |HD 322307                                                                                                |Star                                  |16 54 46.5658517640 -40 54 04.888219572|344.2541191969802 +01.6768994361238|   0.012 -1.252    |9.76     |B5             |    ~     ~    |    1| 1552.795   pc  |-151.6627   +151.6627    |paral   |2020yCat.1350....0G
978 |HD 322278                                                                                                |Star                                  |16 54 47.2818884136 -40 46 00.665356440|344.3601668685391 +01.7597309466772|  -0.253 -1.254    |9.65     |B8             |    ~     ~    |    1| 1813.894   pc  | -77.9780    +77.9780    |paral   |2020yCat.1350....0G
979 |HD 322274                                                                                                |Emission-line Star                    |16 54 48.5508433104 -40 38 44.723352120|344.4568953015764 +01.8327574395512|   1.474 -1.704    |9.64     |B5             |    ~     ~    |    1| 1183.152   pc  | -28.4169    +28.4169    |paral   |2020yCat.1350....0G
980 |HD 322277                                                                                                |Star                                  |16 54 50.4111517008 -40 45 32.623252920|344.3724391986430 +01.7569495334306|  -0.358 -1.208    |9.49     |B8             |    ~     ~    |    1| 1878.287   pc  | -91.3742    +91.3742    |paral   |2020yCat.1350....0G
981 |NGC 6231 326                       HD 152405                                                             |Spectroscopic Binary                  |16 54 55.3693932960 -40 31 29.393197572|344.5645621891310 +01.8919898629295|  -0.824 -1.243    |7.29     |O9.7II         |    ~     ~    |    1| 1743.983   pc  | -89.1153    +89.1153    |paral   |2020yCat.1350....0G
982 |HD 152406                                                                                                |Star                                  |16 54 58.5410770680 -40 34 49.723323924|344.5275646166468 +01.8492104299515|   1.134 -0.923    |7.80     |K3/4III        |    ~     ~    |    1| 1306.848   pc  | -37.2312    +37.2312    |paral   |2020yCat.1350....0G
983 |HD 322275                                                                                                |Star                                  |16 55 00.3147403176 -40 42 48.446432892|344.4275883678437 +01.7612932448938|  -0.291 -1.791    |9.85     |B5             |    ~     ~    |    1| 1926.040   pc  | -85.6925    +85.6925    |paral   |2020yCat.1350....0G
984 |HD 322276                                                                                                |Star                                  |16 55 06.7739914608 -40 45 12.897349488|344.4091721240077 +01.7202189397982|  -0.401 -1.388    |9.90     |B3             |    ~     ~    |    1| 1770.852   pc  | -90.6280    +90.6280    |paral   |2020yCat.1350....0G
985 |HD 152436                                                                                                |Star                                  |16 55 08.2750987440 -40 19 29.689513248|344.7459320563005 +01.9857205288612|   1.643 -2.405    |9.11     |B3II           |    ~     ~    |    1| 1233.806   pc  | -29.5322    +29.5322    |paral   |2020yCat.1350....0G
986 |HD 322273                                                                                                |Star                                  |16 55 17.7676354311 -40 37 19.775578299|344.5333275309851 +01.7757001244151|  4.093 -18.311    |9.62     |A2             |    ~     ~    |    0|                |                         |        |                   
987 |HD 152457                                                                                                |Star                                  |16 55 20.7950406432 -40 56 06.951431724|344.2954647732447 +01.5717510079553|   2.172 -3.195    |9.60     |A3III(m)       |    ~     ~    |    1| 1122.334   pc  | -36.7813    +36.7813    |paral   |2020yCat.1350....0G
988 |HD 152458                                                                                                |Star                                  |16 55 22.0840008624 -40 56 12.774592140|344.2967522161926 +01.5675771316556|  -0.531 -1.661    |9.76     |OB-            |    ~     ~    |    1| 1677.008   pc  | -57.6533    +57.6533    |paral   |2020yCat.1350....0G
989 |HD 322452                                                                                                |Variable Star                         |16 55 22.0617437328 -40 47 00.362567652|344.4162269221226 +01.6639273994131|  -1.065 -0.979    |9.8      |B3             |    ~     ~    |    0|                |                         |        |                   
990 |HD 152490                                                                                                |Star                                  |16 55 29.5409614992 -40 58 43.692082356|344.2788249837014 +01.5230031847525|-21.360 -26.879    |7.73     |A5m            |    ~     ~    |    1|  168.902   pc  |  -0.8758     +0.8758    |paral   |2020yCat.1350....0G
991 |HD 322308                                                                                                |Star                                  |16 55 10.5621580800 -40 55 11.566779636|344.2872123352316 +01.6064838645448|  11.216 -6.201    |9.16     |K0             |    ~     ~    |    1|  241.214   pc  |  -1.0531     +1.0531    |paral   |2020yCat.1350....0G
992 |HD 322292                                                                                                |Pulsating Variable                    |16 52 58.3744402224 -40 50 28.072369032|344.0856823658555 +01.9793684389557|   -0.134 0.507    |9.06     |F2             |    ~     ~    |    1|  966.651   pc  | -20.5571    +20.5571    |paral   |2020yCat.1350....0G
993 |CD-40 10906                                                                                              |Star                                  |16 54 38.7640754160 -40 40 41.084230980|344.4122882258591 +01.8364778844479|  -0.705 -1.210    |10.45    |~              |    ~     ~    |    1| 1335.113   pc  | -75.2227    +75.2227    |paral   |2020yCat.1350....0G
994 |CD-40 10908                                                                                              |Star                                  |16 54 38.7544206000 -40 43 11.785948428|344.3797135704197 +01.8101651582587|  -0.569 -0.483    |10.16    |~              |    ~     ~    |    0|                |                         |        |                   
995 |HD 322256                                                                                                |Star                                  |16 52 58.2709764864 -40 17 46.950292176|344.5075566491880 +02.3243799015299|  -6.955 -7.794    |10.36    |B8             |    ~     ~    |    1|  423.191   pc  |  -3.1878     +3.1878    |paral   |2020yCat.1350....0G
996 |HD 322257                                                                                                |Star                                  |16 52 43.7865294888 -40 17 11.654260296|344.4859875066479 +02.3662228431545|    4.338 0.179    |10.59    |A2             |    ~     ~    |    1|  533.561   pc  |  -5.4660     +5.4660    |paral   |2020yCat.1350....0G
997 |HD 322258                                                                                                |Star                                  |16 52 34.6224040848 -40 20 21.327124380|344.4267258169801 +02.3553754705669| -4.332 -11.121    |10.56    |F0             |    ~     ~    |    1|  751.202   pc  | -10.1575    +10.1575    |paral   |2020yCat.1350....0G
998 |HD 322266                                                                                                |Star                                  |16 53 57.2910339360 -40 24 33.693574068|344.5383701510046 +02.1077271580221|   0.099 -2.289    |10.50    |B8             |    ~     ~    |    1| 1148.633   pc  | -27.4426    +27.4426    |paral   |2020yCat.1350....0G
999 |HD 322269                                                                                                |Star                                  |16 54 07.5516927384 -40 32 24.439741872|344.4573151726524 +02.0000465856978|  -0.216 -1.106    |10.42    |B8             |    ~     ~    |    1| 1723.841   pc  | -58.5410    +58.5410    |paral   |2020yCat.1350....0G
1000|HD 322272                                                                                                |Star                                  |16 55 13.5546252648 -40 31 59.627336376|344.5942169733255 +01.8419005153876|  1.111 -22.004    |10.6     |G              |    ~     ~    |    1|  223.914   pc  |  -1.1832     +1.1832    |paral   |2020yCat.1350....0G
1001|HD 322283                                                                                                |High Proper Motion Star               |16 53 31.8685891128 -40 38 48.767562132|344.3031616851087 +02.0202790098343|-19.043 -53.095    |10.15    |G0             |    ~     ~    |    1|  145.092   pc  |  -0.3431     +0.3431    |paral   |2020yCat.1350....0G
1002|HD 322286                                                                                                |Star                                  |16 52 57.6439981944 -40 35 47.040556128|344.2738152856856 +02.1360536987180|-10.149 -17.671    |9.11     |K2             |    ~     ~    |    1|  508.880   pc  |  -5.5158     +5.5158    |paral   |2020yCat.1350....0G
1003|HD 322295                                                                                                |Star                                  |16 53 30.8418859968 -40 52 46.277584140|344.1206617488410 +01.8758320484723|   0.637 -1.441    |10.57    |B8             |    ~     ~    |    1| 1201.779   pc  | -46.7944    +46.7944    |paral   |2020yCat.1350....0G
1004|HD 322309                                                                                                |Star                                  |16 55 06.3199315104 -40 57 55.261558836|344.2434264469591 +01.5883138948552|  -0.495 -1.381    |10.5     |B8             |    ~     ~    |    1| 1696.353   pc  | -57.8400    +57.8400    |paral   |2020yCat.1350....0G
1005|HD 322408                                                                                                |Star                                  |16 55 30.8817326040 -40 14 32.758350972|344.8553081620268 +01.9815215932433|  -1.057 -1.175    |10.22    |F0             |    ~     ~    |    1| 1587.554   pc  | -46.8781    +46.8781    |paral   |2020yCat.1350....0G
1006|HD 322409                                                                                                |Star                                  |16 55 42.4229169072 -40 15 12.931860348|344.8696270568367 +01.9459281281278|-21.491 -38.127    |9.06     |K5             |    ~     ~    |    1|  319.622   pc  |  -2.0023     +2.0023    |paral   |2020yCat.1350....0G
1007|C 1652-407                                                                                               |Open Cluster                          |16 55 30.00 -40 50 00.0                |344.39306 +01.61314                |    -2.26 -3.39    |3.4      |~              |    ~     ~    |    0|                |                         |        |                   
1008|[SC96] Mis 165                                                                                           |Star                                  |16 52 30.0 -40 43 00                   |344.1253 +02.1275                  |            ~ ~    |6.14     |~              |    ~     ~    |    0|                |                         |        |                   
1009|[SC96] Mis 182                                                                                           |Star                                  |16 54 12.0 -40 32 00                   |344.4715 +01.9934                  |            ~ ~    |7.43     |~              |    ~     ~    |    0|                |                         |        |                   
1010|[SC96] Mis 186                                                                                           |Star                                  |16 54 30.0 -38 33 00                   |346.0509 +03.1966                  |            ~ ~    |8.63     |~              |    ~     ~    |    0|                |                         |        |                   
1011|[SC96] Mis 190                                                                                           |UV-emission Source                    |16 54 54.0 -40 44 00                   |344.3996 +01.7643                  |            ~ ~    |3.40     |~              |    ~     ~    |    0|                |                         |        |                   
1012|NGC 6231 329                       HD 152559                                                             |Star                                  |16 55 55.2304916328 -40 46 46.874099604|344.4847772218043 +01.5847446937935|  -0.598 -1.638    |9.26     |O9             |    ~     ~    |    1| 1916.443   pc  |-111.2844   +111.2844    |paral   |2020yCat.1350....0G
1013|HD 322235                                                                                                |Star                                  |16 53 37.1981392488 -39 56 07.238645196|344.8660568373838 +02.4564028682934|    1.424 0.029    |10.02    |K7             |    ~     ~    |    1| 1572.574   pc  | -45.0084    +45.0084    |paral   |2020yCat.1350....0G
