C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:41:54

dec< 0&rah >=16.75&rah< 17.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 7615

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
22  |HD 326036                                                                                                |Pulsating Variable                    |16 46 43.1087018040 -41 40 44.645444508|342.6885099089370 +02.3458126566249|  -5.235 -7.485    |10.44    |A3             |    ~     ~    |    1|  398.502   pc  | -12.4026    +12.4026    |paral   |2020yCat.1350....0G
23  |HD 151051                                                                                                |Star                                  |16 46 50.3153382096 -41 28 51.950570736|342.8540917442244 +02.4568430685537|   -0.090 8.179    |7.41     |M2/3II         |    ~     ~    |    1|  488.759   pc  |  -6.4977     +6.4977    |paral   |2020yCat.1350....0G
24  |HD 326004                                                                                                |Star                                  |16 47 02.6893282591 -41 14 17.843968175|343.0644955719209 +02.5843925122701|  0.922 -17.395    |10.4     |B8             |    ~     ~    |    0|                |                         |        |                   
25  |HD 326005                                                                                                |High Proper Motion Star               |16 47 04.3197889536 -41 18 45.546541632|343.0110150327180 +02.5324186690212| 48.502 -46.720    |10.08    |K0             |    ~     ~    |    1|  131.460   pc  |  -0.2869     +0.2869    |paral   |2020yCat.1350....0G
26  |HD 326041                                                                                                |Star                                  |16 47 08.2036808568 -41 57 24.668154324|342.5270241470579 +02.1066509985735|   0.642 -1.136    |10.40    |B8             |    ~     ~    |    1| 1266.785   pc  | -25.3550    +25.3550    |paral   |2020yCat.1350....0G
27  |HD 326006                                                                                                |Star                                  |16 47 10.1437304328 -41 16 31.925725716|343.0511595220972 +02.5425010088069|  -1.715 -1.872    |10.22    |B2             |    ~     ~    |    1| 1670.844   pc  | -61.4178    +61.4178    |paral   |2020yCat.1350....0G
28  |HD 151111                                                                                                |Star                                  |16 47 14.5379063880 -41 37 16.400112780|342.7960103658319 +02.3086128593080|  -0.541 -2.770    |9.16     |A5II           |    ~     ~    |    1| 1185.818   pc  | -29.9513    +29.9513    |paral   |2020yCat.1350....0G
29  |HD 151139                                                                                                |Star                                  |16 47 23.6641264896 -41 48 32.052364956|342.6710155638986 +02.1656791563129|   0.334 -1.435    |9.04     |B2Ib/II        |    ~     ~    |    1| 1286.008   pc  | -42.3377    +42.3377    |paral   |2020yCat.1350....0G
30  |HD 326037                                                                                                |Star                                  |16 47 40.7890350936 -41 41 47.567521896|342.7912706492658 +02.1975752543217| -4.168 -16.589    |9.68     |F5             |    ~     ~    |    1|  199.322   pc  |  -0.7151     +0.7151    |paral   |2020yCat.1350....0G
31  |HD 326017                                                                                                |Star                                  |16 47 48.3359407104 -41 30 25.341308604|342.9513601259449 +02.3018670760217|  -0.675 -0.551    |10.95    |A2             |    ~     ~    |    1|  793.588   pc  | -10.0765    +10.0765    |paral   |2020yCat.1350....0G
32  |HD 326040                                                                                                |Eclipsing Binary                      |16 47 51.4368042936 -41 58 41.694350232|342.5972350760451 +01.9905751513780|  -2.434 -2.066    |10.08    |B3             |    ~     ~    |    1| 1951.220   pc  | -68.1499    +68.1499    |paral   |2020yCat.1350....0G
33  |HD 326060                                                                                                |Pulsating Variable                    |16 48 06.9836425464 -42 05 15.932144112|342.5445165937257 +01.8831902341674|   1.462 -1.099    |10.11    |B5             |    ~     ~    |    1| 1396.843   pc  | -27.1213    +27.1213    |paral   |2020yCat.1350....0G
34  |HD 326155                                                                                                |Star                                  |16 48 56.5328392224 -41 15 36.784672488|343.2777461734080 +02.2975514976375|   1.296 -1.621    |10.06    |B3             |    ~     ~    |    1| 1331.558   pc  | -31.9148    +31.9148    |paral   |2020yCat.1350....0G
35  |HD 151421                                                                                                |Star                                  |16 49 12.0019855608 -41 57 41.629903380|342.7707036490836 +01.8102651223493|    3.693 9.937    |9.55     |A              |    ~     ~    |    1|  184.260   pc  |  -0.4991     +0.4991    |paral   |2020yCat.1350....0G
36  |HD 151438                                                                                                |Star                                  |16 49 12.6856846344 -42 03 05.295807000|342.7030933587394 +01.7509267104952|  -0.221 -3.141    |9.17     |A0             |    ~     ~    |    1|  752.672   pc  | -11.1603    +11.1603    |paral   |2020yCat.1350....0G
37  |NGC 6231 301                       HD 151515                                                             |Spectroscopic Binary                  |16 49 48.2512632192 -42 00 06.177451752|342.8119110344628 +01.6983650597925|  -0.934 -3.062    |7.30     |O7II(f)        |    ~     ~    |    1| 1523.461   pc  | -58.9517    +58.9517    |paral   |2020yCat.1350....0G
38  |NGC 6231 302                       V* V1290 Sco                                                          |Eclipsing Binary                      |16 50 01.4443831536 -41 37 16.491545688|343.1305619733772 +01.9104905535838|  -1.643 -1.767    |7.98     |B0III          |    ~     ~    |    1| 1518.834   pc  | -76.3569    +76.3569    |paral   |2020yCat.1350....0G
39  |HD 151683                                                                                                |Double or Multiple Star               |16 50 42.0068029 -41 27 23.734074      |343.3381665286 +01.9184363442      |   -1.47 -10.61    |8.02     |B8IV           |0.0050  0.0    |    0|                |                         |        |                   
40  |NGC 6231 344                       HD 326176                                                             |Star                                  |16 50 44.3891687712 -41 44 49.753451472|343.1191363110909 +01.7272424461595|  -0.982 -2.277    |9.18     |B0             |    ~     ~    |    1| 1489.425   pc  | -58.3436    +58.3436    |paral   |2020yCat.1350....0G
41  |HD 151707                                                                                                |Star                                  |16 50 54.2114561544 -41 49 49.396610136|343.0745098968880 +01.6506310738327|  -3.684 -8.492    |7.26     |K0IIICNII      |    ~     ~    |    1|  326.776   pc  |  -7.1224     +7.1224    |paral   |2020yCat.1350....0G
42  |HD 326167                                                                                                |Star                                  |16 50 56.9821786104 -41 35 16.272663684|343.2668723263295 +01.7987103145161|  -0.735 -2.546    |10.3     |B3             |    ~     ~    |    1| 1901.141   pc  | -82.4069    +82.4069    |paral   |2020yCat.1350....0G
43  |NGC 6231 303                       HD 151804                                                             |Blue Supergiant                       |16 51 33.7218052272 -41 13 49.919519496|343.6156260842997 +01.9378492157978|  -0.693 -0.754    |5.22     |O8Iaf          |    ~     ~    |    1| 2009       pc  |-306        +306         |CaIIHK  |2009A&A...507..833M
44  |NGC 6231 304                       HD 151805                                                             |Star                                  |16 51 35.7118253472 -41 46 35.556351744|343.1981923172917 +01.5855992693481|  -0.885 -2.147    |8.86     |B1Ib           |    ~     ~    |    1| 1447.040   pc  |-131.2000   +131.2000    |ST-L    |2020AJ....160...83S
45  |NGC 6231 370                       HD 151912                                                             |Star                                  |16 52 14.9392443552 -41 48 19.030212648|343.2534878984018 +01.4732541089984|  -2.191 -5.368    |9.55     |B9/A0IV/V      |    ~     ~    |    1|  691.419   pc  |  -9.5134     +9.5134    |paral   |2020yCat.1350....0G
46  |HD 151911                                                                                                |Star                                  |16 52 17.7781796712 -41 36 17.658484704|343.4139751500273 +01.5936403438082|  -0.939 -1.864    |9.19     |B2II/III       |    ~     ~    |    1| 1521.144   pc  | -84.2252    +84.2252    |paral   |2020yCat.1350....0G
47  |HD 326301A                                                                                               |Star                                  |16 52 29.8556604072 -41 26 34.978440876|343.5630422849649 +01.6672178886915|  -0.711 -1.937    |10.55    |~              |    ~     ~    |    1| 1672.520   pc  | -63.2195    +63.2195    |paral   |2020yCat.1350....0G
48  |V* V565 Sco                                                                                              |Eclipsing Binary                      |16 49 32.5178068176 -40 55 55.692548256|343.6021815779368 +02.4213450556396|  -0.678 -0.848    |10.33    |B3             |    ~     ~    |    1| 1686.056   pc  | -52.3073    +52.3073    |paral   |2020yCat.1350....0G
49  |V* V563 Sco                                                                                              |Long-Period Variable                  |16 45 06.1939448568 -41 24 44.795363652|342.6950703239815 +02.7487817118603|  -3.630 -7.959    |10.86    |~              |    ~     ~    |    1| 1282.05    pc  | -94.1815    +94.1815    |paral   |2020yCat.1350....0G
50  |HD 326010                                                                                                |Star                                  |16 48 26.0925549048 -41 18 11.233542276|343.1835336450922 +02.3429798456082|  -5.257 -4.038    |10.90    |K0             |    ~     ~    |    1|  861.401   pc  | -10.3140    +10.3140    |paral   |2020yCat.1350....0G
51  |HD 326000                                                                                                |Star                                  |16 46 21.1735141920 -41 01 27.562944468|343.1433389610805 +02.8222057403991|  -5.454 -3.894    |10.42    |G5             |    ~     ~    |    1|  582.819   pc  |  -5.4009     +5.4009    |paral   |2020yCat.1350....0G
52  |HD 325987                                                                                                |Star                                  |16 45 25.1033642520 -40 42 00.071908308|343.2755742081801 +03.1671004310099|  -1.040 -2.849    |10.99    |A0             |    ~     ~    |    1|  945.358   pc  | -18.4103    +18.4103    |paral   |2020yCat.1350....0G
53  |HD 325994                                                                                                |Star                                  |16 47 52.3804110144 -40 49 02.627961780|343.4872293951598 +02.7368017996672|  -1.578 -6.118    |10.95    |A7             |    ~     ~    |    1|  954.745   pc  | -16.6811    +16.6811    |paral   |2020yCat.1350....0G
54  |HD 325996                                                                                                |Star                                  |16 47 41.4766830864 -41 01 45.302696436|343.3029547405615 +02.6264489359407|    3.889 3.712    |10.96    |A5             |    ~     ~    |    1|  525.928   pc  |  -5.7533     +5.7533    |paral   |2020yCat.1350....0G
55  |HD 325999                                                                                                |Star                                  |16 46 33.8067606168 -40 57 09.664147584|343.2237520781769 +02.8383410216792|   1.120 -3.329    |10.00    |K7             |    ~     ~    |    1| 1070.664   pc  | -21.5508    +21.5508    |paral   |2020yCat.1350....0G
56  |HD 326001                                                                                                |Star                                  |16 45 14.3407851816 -41 09 05.994218376|342.9099212126200 +02.8991382166062|  -0.317 -9.498    |10.91    |F0             |    ~     ~    |    1|  335.008   pc  |  -5.0392     +5.0392    |paral   |2020yCat.1350....0G
57  |HD 326009                                                                                                |Pulsating Variable                    |16 48 30.2258116416 -41 12 01.306493100|343.2706070572629 +02.3991754815499|   0.606 -1.248    |10.83    |B3             |    ~     ~    |    1| 1291.656   pc  | -38.2058    +38.2058    |paral   |2020yCat.1350....0G
58  |HD 326011                                                                                                |Star                                  |16 47 42.6866814000 -41 17 25.289344824|343.1056848224984 +02.4551230234859|   2.771 -2.288    |10.21    |K0             |    ~     ~    |    1|  733.568   pc  |  -9.3095     +9.3095    |paral   |2020yCat.1350....0G
59  |HD 326012                                                                                                |Star                                  |16 47 23.5188347136 -41 19 58.454783832|343.0344017936663 +02.4734820822225|  -0.114 -6.510    |10.84    |K0             |    ~     ~    |    1|  710.379   pc  |  -7.5696     +7.5696    |paral   |2020yCat.1350....0G
60  |HD 326016                                                                                                |Star                                  |16 48 19.1509203864 -41 29 23.928522288|343.0264300732983 +02.2393206377300|    1.239 6.508    |10.11    |K0             |    ~     ~    |    1|  624.181   pc  |  -5.2596     +5.2596    |paral   |2020yCat.1350....0G
61  |HD 326021                                                                                                |Star                                  |16 46 57.5787672288 -41 33 00.101743416|342.8161621066977 +02.3949648433315|  -3.407 -5.443    |10.62    |A3             |    ~     ~    |    1|  764.526   pc  | -11.9238    +11.9238    |paral   |2020yCat.1350....0G
62  |HD 326031                                                                                                |Star                                  |16 45 52.3974702264 -41 44 49.714091484|342.5342713521690 +02.4217372450040|   0.214 -6.648    |10.99    |A2             |    ~     ~    |    1|  822.098   pc  | -63.1915    +63.1915    |paral   |2020yCat.1350....0G
63  |HD 326032                                                                                                |Star                                  |16 46 03.2772817944 -41 45 31.574694780|342.5473960626364 +02.3884658224336|  -0.276 -3.487    |10.77    |K2             |    ~     ~    |    1|  763.534   pc  |  -9.2111     +9.2111    |paral   |2020yCat.1350....0G
64  |HD 326039                                                                                                |Star                                  |16 48 08.6451074568 -41 55 13.615366440|342.6758462976012 +01.9870716693283|  1.528 -14.438    |10.54    |K7             |    ~     ~    |    1|  523.944   pc  |  -6.0119     +6.0119    |paral   |2020yCat.1350....0G
65  |HD 326048                                                                                                |Star                                  |16 45 00.5321194008 -42 04 18.927248196|342.1826792484773 +02.3326115686852|-18.960 -35.698    |10.79    |G0             |    ~     ~    |    1|  111.922   pc  |  -0.2029     +0.2029    |paral   |2020yCat.1350....0G
66  |HD 326134                                                                                                |Star                                  |16 48 46.5973340712 -41 04 09.448071384|343.4041506803939 +02.4440901391579|   0.661 -4.768    |10.86    |B5             |    ~     ~    |    1|  847.673   pc  | -17.3889    +17.3889    |paral   |2020yCat.1350....0G
67  |HD 326136                                                                                                |Star                                  |16 49 27.2675539152 -41 02 48.663742128|343.5034549798876 +02.3605006306760|   0.011 -3.624    |9.44     |K5             |    ~     ~    |    1|  497.438   pc  |  -3.9839     +3.9839    |paral   |2020yCat.1350....0G
68  |HD 326137                                                                                                |Star                                  |16 49 33.5700721656 -41 07 23.857602780|343.4574247654283 +02.2963134877509|  -1.479 -2.433    |10.79    |B2             |    ~     ~    |    1| 1533.742   pc  | -52.4578    +52.4578    |paral   |2020yCat.1350....0G
69  |HD 326145                                                                                                |Star                                  |16 52 07.1586448824 -41 05 31.670269944|343.7892416784409 +01.9448536192479|   2.550 -1.702    |10.74    |B8             |    ~     ~    |    1|  789.889   pc  | -15.0990    +15.0990    |paral   |2020yCat.1350....0G
