C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:57:10

dec< 0&rah >=5.75&rah< 6.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 5111

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1491|HD 40120                                                              |Star                                  |05 56 28.2716661888 -11 16 40.698519672|217.0046736436692 -17.2478675787268|-12.331 -42.240  |6.80     |K0III            |    ~     ~    |    1|  122.495   pc  |  -0.3241     +0.3241  |paral   |2020yCat.1350....0G
1492|HD 40191                                                              |Star                                  |05 56 47.9609838816 -11 45 44.160203952|217.4998146162333 -17.3803582155539| 10.916 -10.408  |8.98     |G8IV             |    ~     ~    |    1|  433.520   pc  |  -3.2138     +3.2138  |paral   |2020yCat.1350....0G
1493|HD 40263                                                              |High Proper Motion Star               |05 57 12.0171969528 -11 49 24.496491612|217.6013844020584 -17.3173175615673|  63.212 26.477  |9.48     |G2/3V            |    ~     ~    |    1|  111.473   pc  |  -0.1727     +0.1727  |paral   |2020yCat.1350....0G
1494|HD 40431                                                              |Star                                  |05 58 15.7266785976 -11 24 19.381965660|217.3204597974313 -16.9046177899056|    6.351 0.661  |9.36     |G2/3V            |    ~     ~    |    1|  185.818   pc  |  -1.8749     +1.8749  |paral   |2020yCat.1350....0G
1495|HD 40500                                                              |Star                                  |05 58 47.5306935192 -11 15 45.986272416|217.2433435120600 -16.7263741989412|  -7.297 -5.339  |8.86     |A1III/IV         |    ~     ~    |    1|  281.183   pc  |  -1.6208     +1.6208  |paral   |2020yCat.1350....0G
1496|HD 40619                                                              |Star                                  |05 59 36.0945062544 -11 41 31.644582900|217.7371640942269 -16.7292546425950| -12.235 15.707  |8.88     |F5V              |    ~     ~    |    1|  136.245   pc  |  -0.2766     +0.2766  |paral   |2020yCat.1350....0G
1497|HD 40659                                                              |Star                                  |05 59 43.3311510192 -11 39 16.571936700|217.7147638562875 -16.6865998684993|  -0.756 13.847  |9.64     |F6V              |    ~     ~    |    1|  151.957   pc  |  -0.3140     +0.3140  |paral   |2020yCat.1350....0G
1498|BD-12 1291                                                            |Long-Period Variable Candidate        |05 51 29.7433043160 -12 46 55.201298232|217.9017195027924 -18.9842964691846| 26.446 -26.974  |9.161    |M1               |    ~     ~    |    1|  594.036   pc  | -11.1157    +11.1157  |paral   |2020yCat.1350....0G
1499|BD-12 1292                                                            |Star                                  |05 51 45.6691953048 -12 01 06.225748572|217.1977151290192 -18.6059848492366| 34.821 -18.053  |9.20     |F8               |    ~     ~    |    1|  211.555   pc  |  -0.8146     +0.8146  |paral   |2020yCat.1350....0G
1500|HD 39513                                                              |Star                                  |05 52 38.0550003936 -12 46 03.913728816|218.0102458289674 -18.7260149264832| -12.069 19.562  |8.07     |F5V              |    ~     ~    |    1|   94.744   pc  |  -0.2361     +0.2361  |paral   |2020yCat.1350....0G
1501|BD-12 1297                                                            |Star                                  |05 52 46.1742042000 -12 11 09.861448848|217.4673925554354 -18.4526974944447|  8.787 -42.466  |9.80     |F8               |    ~     ~    |    1|  174.972   pc  |  -3.3799     +3.3799  |paral   |2020yCat.1350....0G
1502|HD 39596                                                              |Star                                  |05 53 03.9259196208 -12 38 07.064727468|217.9295070070282 -18.5751800185941|   2.372 -8.217  |8.95     |A9V              |    ~     ~    |    1|  214.874   pc  |  -2.4840     +2.4840  |paral   |2020yCat.1350....0G
1503|BD-12 1301                                                            |Star                                  |05 53 09.8995570656 -12 02 33.888252012|217.3731272021968 -18.3047726688006|  -4.405 -0.775  |10.05    |A2               |    ~     ~    |    1|  389.029   pc  |  -3.0117     +3.0117  |paral   |2020yCat.1350....0G
1504|HD 39595                                                              |Star                                  |05 53 10.1724757344 -12 17 52.597724640|217.6176458298161 -18.4109244545360|  -0.187 -0.949  |9.38     |B9(IV)           |    ~     ~    |    1|  487.068   pc  |  -6.2867     +6.2867  |paral   |2020yCat.1350....0G
1505|BD-12 1303                                                            |Star                                  |05 53 14.4531144672 -12 49 41.610932436|218.1333353360644 -18.6167885822706|   5.393 -1.081  |9.26     |K7               |    ~     ~    |    1|  596.125   pc  |  -8.8486     +8.8486  |paral   |2020yCat.1350....0G
1506|HD 39733                                                              |Star                                  |05 53 54.5952183240 -12 23 39.556042188|217.7896892293098 -18.2871635630338|   11.718 6.937  |7.79     |G8III/IV         |    ~     ~    |    1|  261.376   pc  |  -1.6601     +1.6601  |paral   |2020yCat.1350....0G
1507|HD 39899                                                              |Spectroscopic Binary                  |05 54 57.4731175728 -12 56 19.565947032|218.4231201872224 -18.2824976812816|-30.069 -42.393  |7.73     |F5V              |    ~     ~    |    1|   63.357   pc  |  -1.1653     +1.1653  |paral   |2020yCat.1350....0G
1508|HD 40318                                                              |Star                                  |05 57 26.7678860040 -12 57 44.629604856|218.7116759915749 -17.7414053251278| -14.851 -1.732  |9.27     |F3IV/V           |    ~     ~    |    1|  323.415   pc  |  -1.7154     +1.7154  |paral   |2020yCat.1350....0G
1509|HD 40375                                                              |Star                                  |05 57 49.1499494520 -12 35 05.123419044|218.3917651917173 -17.5007388499959|  -3.740 -2.800  |9.73     |A2IV             |    ~     ~    |    1|  336.338   pc  |  -2.1267     +2.1267  |paral   |2020yCat.1350....0G
1510|HD 40398                                                              |Star                                  |05 58 01.2320444232 -12 43 44.455837872|218.5506904289690 -17.5166175701436|   -2.352 0.107  |9.60     |B8/9III          |    ~     ~    |    1|  788.706   pc  | -14.8050    +14.8050  |paral   |2020yCat.1350....0G
1511|HD 40399                                                              |Star                                  |05 58 02.3316984288 -12 48 28.066534308|218.6276789618715 -17.5455476680184|  4.167 -19.948  |8.57     |K1III            |    ~     ~    |    1|  355.366   pc  |  -2.6520     +2.6520  |paral   |2020yCat.1350....0G
1512|HD 40432                                                              |Star                                  |05 58 13.9606555152 -12 10 23.827125432|218.0450899881224 -17.2361058459763|  -8.809 -1.117  |8.84     |F2V              |    ~     ~    |    1|  133.617   pc  |  -0.2624     +0.2624  |paral   |2020yCat.1350....0G
1513|BD-12 1327                                                            |Star                                  |05 58 21.8377895136 -12 47 05.642194020|218.6406704525931 -17.4639857962011| 23.189 -33.816  |9.99     |G5               |    ~     ~    |    1|  119.032   pc  |  -0.2196     +0.2196  |paral   |2020yCat.1350....0G
1514|HD 40578                                                              |High Proper Motion Star               |05 59 11.5940436912 -12 19 53.633964684|218.2987997405104 -17.0899598701679| -1.964 -53.227  |9.64     |F5/6V            |    ~     ~    |    1|  199.017   pc  |  -0.7803     +0.7803  |paral   |2020yCat.1350....0G
1515|HD 40605                                                              |Star                                  |05 59 22.2236801016 -12 50 06.906993756|218.7962451498256 -17.2622887210553|  19.855 12.864  |7.05     |K4III            |    ~     ~    |    1|  213.598   pc  |  -0.9764     +0.9764  |paral   |2020yCat.1350....0G
1516|HD 40604                                                              |Spectroscopic Binary                  |05 59 25.7717389968 -12 42 03.749292252|218.6750038882004 -17.1929326757115|   1.891 12.734  |8.19     |A8III/IV         |    ~     ~    |    1|  136.390   pc  |  -1.1589     +1.1589  |paral   |2020yCat.1350....0G
1517|HD 39377                                                              |High Proper Motion Star               |05 51 35.4774878064 -13 48 18.231809256|218.8980110419606 -19.3865488492880| 18.803 -47.648  |8.46     |K2III            |    ~     ~    |    1|  303.223   pc  |  -1.6274     +1.6274  |paral   |2020yCat.1350....0G
1518|HD 39383                                                              |Star                                  |05 51 40.9560730488 -13 53 54.257159832|218.9978786637691 -19.4047153845950|  -0.747 -6.708  |8.79     |F3V              |    ~     ~    |    1|  308.1474  pc  | -23.9096    +23.9096  |paral   |2018yCat.1345....0G
1519|BD-13 1285                                                            |Star                                  |05 52 21.9305362968 -13 13 51.075655572|218.4265629410473 -18.9780552930191|   0.522 -0.654  |9.42     |A0               |    ~     ~    |    1|  285.323   pc  |  -2.0352     +2.0352  |paral   |2020yCat.1350....0G
1520|BD-13 1287                                                            |Star                                  |05 52 31.7315946624 -13 36 59.713246512|218.8154678667339 -19.1014109249119|    2.063 2.185  |9.59     |B9               |    ~     ~    |    1|  976.181   pc  | -20.7739    +20.7739  |paral   |2020yCat.1350....0G
1521|HD 40071                                                              |alpha2 CVn Variable                   |05 56 06.1202530968 -13 08 07.159881876|218.7334065674794 -18.1110492414550|   -5.242 5.435  |8.06     |ApSi             |    ~     ~    |    1|  271.474   pc  |  -3.4933     +3.4933  |paral   |2020yCat.1350....0G
1522|HD 40192                                                              |Star                                  |05 56 44.1663574512 -13 09 30.785774292|218.8232220308422 -17.9803697279882| 29.722 -23.132  |7.85     |F3IV/V           |    ~     ~    |    1|   72.404   pc  |  -0.1279     +0.1279  |paral   |2020yCat.1350....0G
1523|HD 40246                                                              |Double or Multiple Star               |05 57 00.810216 -13 16 07.24404        |218.958036012 -17.964823080        |       -2.5 1.3  |10.197   |B9III/IV         |    ~     ~    |    0|                |                       |        |                   
1524|BD-13 1310                                                            |High Proper Motion Star               |05 57 02.4527059656 -13 52 29.019000432|219.5411090867747 -18.2100496461802| 19.252 -87.750  |9.29     |G0               |    ~     ~    |    1|   86.898   pc  |  -0.1087     +0.1087  |paral   |2020yCat.1350....0G
1525|BD-14 1277                                                            |Star                                  |05 55 10.2623514024 -13 58 58.601336448|219.4477223033290 -18.6680005412051| 15.907 -31.791  |8.77     |K0               |    ~     ~    |    1|  397.978   pc  |  -2.6134     +2.6134  |paral   |2020yCat.1350....0G
1526|BD-14 1293                                                            |Double or Multiple Star               |05 57 54.0134 -14 01 37.539            |219.7777568 -18.0830945            |54.658 -164.898  |10.41    |M                |    ~     ~    |    0|                |                       |        |                   
1527|BD-13 1293                                                            |Long-Period Variable                  |05 53 38.4396436008 -13 27 50.455855620|218.7866291757115 -18.7922905470597|   -1.021 2.686  |9.46     |~                |    ~     ~    |    1| 1206.564   pc  | -46.2943    +46.2943  |paral   |2020yCat.1350....0G
1528|BD-12 1295                                                            |Star                                  |05 52 18.6802750368 -12 03 34.339553748|217.2967230253888 -18.5012063999429|  11.558 -2.074  |9.99     |~                |    ~     ~    |    1|  620.155   pc  |  -5.4228     +5.4228  |paral   |2020yCat.1350....0G
1529|BD-13 1288                                                            |Star                                  |05 52 32.3548299264 -13 47 30.633990612|218.9855839433909 -19.1713497672537|-20.141 -19.981  |10.11    |~                |    ~     ~    |    1|  336.112   pc  |  -1.4573     +1.4573  |paral   |2020yCat.1350....0G
1530|BD-11 1316                                                            |Star                                  |05 53 17.5513537032 -11 49 27.877577880|217.1784352487977 -18.1845473418613|  12.028 -9.268  |9.88     |~                |    ~     ~    |    1|  492.927   pc  |  -3.2316     +3.2316  |paral   |2020yCat.1350....0G
1531|BD-12 1305                                                            |Star                                  |05 53 55.3328188056 -12 34 27.066499824|217.9630802705061 -18.3597380422917|  -1.441 -2.769  |9.33     |~                |    ~     ~    |    1|  775.314   pc  | -16.8912    +16.8912  |paral   |2020yCat.1350....0G
1532|BD-13 1295                                                            |Star                                  |05 54 10.2110280072 -13 55 39.918375084|219.2889938850191 -18.8665571726089|  -7.456 42.658  |9.63     |~                |    ~     ~    |    1|  207.413   pc  |  -0.8217     +0.8217  |paral   |2020yCat.1350....0G
1533|BD-12 1308                                                            |Star                                  |05 54 30.9921294816 -12 52 41.013487128|218.3177621311466 -18.3549450467391|  22.096 -7.346  |10.14    |~                |    ~     ~    |    1|  386.503   pc  |  -2.1661     +2.1661  |paral   |2020yCat.1350....0G
1534|BD-12 1309                                                            |Star                                  |05 54 35.3995704888 -12 58 29.475099120|218.4183334855296 -18.3790136638852|-27.770 -11.857  |9.79     |~                |    ~     ~    |    1|  197.985   pc  |  -0.7212     +0.7212  |paral   |2020yCat.1350....0G
1535|BD-13 1299                                                            |Star                                  |05 55 02.0280852864 -13 26 32.920839348|218.9139763946650 -18.4750539648862|    2.510 4.554  |9.70     |~                |    ~     ~    |    1|  447.608   pc  |  -3.0454     +3.0454  |paral   |2020yCat.1350....0G
1536|BD-13 1300                                                            |Star                                  |05 55 25.8509862216 -13 09 49.035762864|218.6889250874384 -18.2713960084093|  -2.914 -0.366  |9.47     |~                |    ~     ~    |    1|  464.360   pc  |  -3.2991     +3.2991  |paral   |2020yCat.1350....0G
1537|BD-13 1303                                                            |Star                                  |05 55 32.9149034496 -13 37 14.327809428|219.1395665767611 -18.4349469072311|  -2.913 -8.180  |9.74     |~                |    ~     ~    |    1|  370.659   pc  |  -2.4455     +2.4455  |paral   |2020yCat.1350....0G
1538|BD-11 1340                                                            |Star                                  |05 58 01.8199398024 -11 45 10.436468580|217.6243927376230 -17.1033989129162|   1.988 -9.463  |9.99     |~                |    ~     ~    |    1|  626.409   pc  |  -6.6706     +6.6706  |paral   |2020yCat.1350....0G
1539|BD-13 1314                                                            |Star                                  |05 58 27.6093242832 -13 56 17.723797764|219.7517052476244 -17.9226905463720|  -13.291 3.835  |10.80    |~                |    ~     ~    |    1|  486.429   pc  | -10.0087    +10.0087  |paral   |2020yCat.1350....0G
1540|BD-11 1347                                                            |Spectroscopic Binary                  |05 59 07.3376649288 -11 56 35.781938016|217.9229983010775 -16.9418415263176|  -4.822 -2.265  |9.72     |~                |    ~     ~    |    1|  234.703   pc  |  -1.1678     +1.1678  |paral   |2020yCat.1350....0G
1541|ASAS J055549-1207.3                                                   |Rotating Variable                     |05 55 48.6972913560 -12 07 20.148219084|217.7352518922496 -17.7512764336061|    6.977 1.220  |10.96    |~                |    ~     ~    |    1|  157.366   pc  |  -0.3789     +0.3789  |paral   |2020yCat.1350....0G
1542|BD-13 1277                                                            |Star                                  |05 51 15.1148346024 -13 45 24.751956096|218.8154996153771 -19.4418329038214|  -2.244 -3.402  |10.14    |~                |    ~     ~    |    1|  663.922   pc  | -11.1961    +11.1961  |paral   |2020yCat.1350....0G
1543|BD-12 1289                                                            |High Proper Motion Star               |05 51 17.7879035520 -12 26 57.394858884|217.5605923717026 -18.8896585073195|-54.934 -65.363  |10.26    |~                |    ~     ~    |    1|   79.007   pc  |  -0.0918     +0.0918  |paral   |2020yCat.1350....0G
1544|BD-13 1278                                                            |Star                                  |05 51 19.2758387112 -13 06 42.624185976|218.2004638972820 -19.1600291805093|   -4.368 5.614  |10.44    |~                |    ~     ~    |    1|  385.431   pc  |  -4.6201     +4.6201  |paral   |2020yCat.1350....0G
1545|TYC 5355-62-1                                                         |Star                                  |05 51 38.8281863688 -11 45 25.674657228|216.9353242955226 -18.5213324078675|    6.316 2.774  |10.50    |~                |    ~     ~    |    1|  837.872   pc  | -14.8830    +14.8830  |paral   |2020yCat.1350....0G
1546|BD-13 1283                                                            |Star                                  |05 51 54.5016218472 -13 21 08.630006364|218.4948792367945 -19.1296273728008| -9.554 -46.822  |10.47    |~                |    ~     ~    |    1|  151.304   pc  |  -7.7813     +7.7813  |paral   |2020yCat.1350....0G
1547|BD-11 1306                                                            |Star                                  |05 52 05.3030612640 -11 40 17.966722260|216.9016441729739 -18.3873462248097|   -0.523 2.848  |10.73    |~                |    ~     ~    |    1| 1214.477   pc  | -37.4638    +37.4638  |paral   |2020yCat.1350....0G
1548|BD-11 1307                                                            |Star                                  |05 52 05.6604246936 -11 21 27.165707244|216.6024314844996 -18.2532360286971|  -5.655 -3.761  |10.49    |~                |    ~     ~    |    1|  314.495   pc  |  -1.8100     +1.8100  |paral   |2020yCat.1350....0G
1549|TYC 5360-166-1                                                        |Star                                  |05 52 28.8453803088 -13 12 33.366676032|218.4180872142829 -18.9435820921626|   -1.004 0.864  |10.62    |~                |    ~     ~    |    1| 1342.282   pc  | -30.2689    +30.2689  |paral   |2020yCat.1350....0G
1550|BD-11 1309                                                            |Star                                  |05 52 34.0485399312 -11 30 52.517349396|216.8038962628373 -18.2146488292321|   8.857 -8.286  |10.49    |~                |    ~     ~    |    1|  329.359   pc  |  -4.8815     +4.8815  |paral   |2020yCat.1350....0G
1551|BD-13 1289                                                            |Star                                  |05 52 40.6151472144 -13 17 14.137776168|218.5140439724239 -18.9324657629706|   -1.657 4.348  |10.19    |~                |    ~     ~    |    1| 1074.345   pc  | -16.3899    +16.3899  |paral   |2020yCat.1350....0G
1552|BD-11 1311                                                            |High Proper Motion Star               |05 52 51.9745279272 -11 49 41.486927916|217.1357522362516 -18.2807292052385| -16.404 51.615  |10.50    |~                |    ~     ~    |    0|                |                       |        |                   
1553|BD-11 1314                                                            |Star                                  |05 53 05.3211424896 -11 52 13.051166916|217.2001098211053 -18.2491122319253|  -7.057 -3.178  |10.43    |~                |    ~     ~    |    1|  559.816   pc  |  -4.0114     +4.0114  |paral   |2020yCat.1350....0G
1554|BD-13 1291                                                            |Star                                  |05 53 19.7954329272 -13 00 53.000704620|218.3218269876430 -18.6747069191422|   4.862 11.479  |10.55    |~                |    ~     ~    |    1|  373.832   pc  |  -3.4798     +3.4798  |paral   |2020yCat.1350....0G
1555|BD-13 1292                                                            |Star                                  |05 53 28.3671456984 -13 31 50.684731464|218.8329844349919 -18.8570459932163|   1.549 -0.318  |10.66    |~                |    ~     ~    |    1| 2579.314   pc  |-123.7432   +123.7432  |paral   |2020yCat.1350....0G
1556|BD-11 1317                                                            |Star                                  |05 53 50.9482500384 -11 47 44.270391552|217.2114188136002 -18.0489074060998|   -0.931 4.072  |10.50    |~                |    ~     ~    |    1|  687.191   pc  |  -8.9724     +8.9724  |paral   |2020yCat.1350....0G
1557|BD-13 1294                                                            |Star                                  |05 53 52.3043224512 -12 58 34.957595712|218.3429803568639 -18.5387351061347| -11.587 36.503  |10.07    |~                |    ~     ~    |    1|  159.803   pc  |  -0.4163     +0.4163  |paral   |2020yCat.1350....0G
1558|BD-12 1306                                                            |Star                                  |05 54 09.1255553904 -11 58 29.696047104|217.4152748190213 -18.0572666850708|  -4.727 13.689  |10.07    |~                |    ~     ~    |    1|  645.786   pc  |  -5.7969     +5.7969  |paral   |2020yCat.1350....0G
1559|BD-13 1296                                                            |Star                                  |05 54 13.3623024384 -13 07 33.688904844|218.5240076111639 -18.5232546451401|   10.117 1.599  |10.45    |~                |    ~     ~    |    1|  484.144   pc  |  -3.4691     +3.4691  |paral   |2020yCat.1350....0G
1560|BD-11 1319                                                            |Star                                  |05 54 26.9962105368 -11 36 17.329686696|217.0949223539091 -17.8349920974796|  -1.694 -3.174  |10.70    |~                |    ~     ~    |    1|  326.243   pc  |  -1.7562     +1.7562  |paral   |2020yCat.1350....0G
1561|BD-12 1313                                                            |Star                                  |05 55 24.6597722280 -12 45 42.051464100|218.3022374800570 -18.1082299252900|  -3.582 -6.788  |10.26    |~                |    ~     ~    |    1|  205.910   pc  |  -0.6063     +0.6063  |paral   |2020yCat.1350....0G
1562|BD-13 1302                                                            |Star                                  |05 55 32.9323174200 -13 01 38.116851744|218.5709791089450 -18.1884995437988|  -11.869 3.831  |10.16    |~                |    ~     ~    |    1|  622.239   pc  |  -4.9946     +4.9946  |paral   |2020yCat.1350....0G
1563|BD-13 1304                                                            |High Proper Motion Star               |05 55 33.7417048536 -13 58 10.287157440|219.4760906889273 -18.5759681626907|-18.262 -62.619  |10.56    |~                |    ~     ~    |    1|  184.356   pc  |  -0.6118     +0.6118  |paral   |2020yCat.1350....0G
1564|BD-11 1331                                                            |Star                                  |05 56 34.5196001880 -11 56 51.418670640|217.6516448657589 -17.5083347153916|   3.434 -1.204  |10.46    |~                |    ~     ~    |    1|  338.673   pc  |  -2.2940     +2.2940  |paral   |2020yCat.1350....0G
1565|BD-13 1307                                                            |Star                                  |05 56 49.7569 -13 06 55.123            |218.7918325 -17.9417350            |  11.458 13.574  |9.86     |~                |    ~     ~    |    0|                |                       |        |                   
1566|BD-12 1318                                                            |Star                                  |05 56 51.2642429568 -12 33 29.347173036|218.2628513860215 -17.7032869041298| -14.243 29.383  |10.38    |~                |    ~     ~    |    1|  245.712   pc  |  -0.9298     +0.9298  |paral   |2020yCat.1350....0G
1567|BD-11 1334                                                            |Star                                  |05 56 54.8607274272 -11 49 48.749015172|217.5767987132999 -17.3835759364031|  0.742 -18.337  |10.63    |~                |    ~     ~    |    1|  180.226   pc  |  -0.4742     +0.4742  |paral   |2020yCat.1350....0G
1568|BD-13 1308                                                            |Star                                  |05 56 59.0708727072 -12 59 47.469855444|218.6949350761751 -17.8578379227835|  -1.017 -0.232  |10.20    |~                |    ~     ~    |    1|  545.613   pc  |  -7.3233     +7.3233  |paral   |2020yCat.1350....0G
1569|BD-14 1291                                                            |Star                                  |05 57 14.6465269704 -13 59 32.403682788|219.6753058651965 -18.2137045663524|  4.321 -38.859  |10.23    |~                |    ~     ~    |    1|  175.602   pc  |  -0.5365     +0.5365  |paral   |2020yCat.1350....0G
1570|TYC 5356-1120-1                                                       |Star                                  |05 58 23.4210736872 -11 41 05.697349584|217.5990122135533 -16.9947731278216|  -4.584 -1.826  |10.82    |~                |    ~     ~    |    1|  917.852   pc  | -20.1346    +20.1346  |paral   |2020yCat.1350....0G
1571|BD-11 1344                                                            |Star                                  |05 58 27.5433154128 -11 48 03.563850240|217.7164245687934 -17.0286893313666|  9.894 -11.723  |10.75    |~                |    ~     ~    |    1|  255.761   pc  |  -1.1971     +1.1971  |paral   |2020yCat.1350....0G
1572|BD-13 1315                                                            |Star                                  |05 58 40.1854682496 -13 49 33.179151540|219.6663342599281 -17.8298783468229|   0.482 -1.731  |10.19    |~                |    ~     ~    |    1|  480.931   pc  |  -3.7238     +3.7238  |paral   |2020yCat.1350....0G
1573|BD-11 1348                                                            |Star                                  |05 59 12.8864397672 -11 45 32.249406348|217.7584795113205 -16.8433386980409|-23.451 -14.480  |10.17    |~                |    ~     ~    |    1|  274.891   pc  |  -1.2922     +1.2922  |paral   |2020yCat.1350....0G
1574|BD-13 1312                                                            |Star                                  |05 57 51.6397388256 -13 29 55.245375924|219.2678995016179 -17.8730335490600|   -0.384 0.138  |10.23    |~                |    ~     ~    |    1|  478.446   pc  |  -4.7613     +4.7613  |paral   |2020yCat.1350....0G
1575|TYC 5351-494-1                                                        |Star                                  |05 49 34.1208712008 -11 14 25.492559352|216.2140221739525 -18.7645500858381| -9.405 -18.798  |10.92    |~                |    ~     ~    |    1|  340.623   pc  |  -1.7172     +1.7172  |paral   |2020yCat.1350....0G
1576|TYC 5355-376-1                                                        |Star                                  |05 51 28.9554947232 -12 14 51.611925012|217.3872420819324 -18.7639984099603|   -2.464 3.260  |10.39    |~                |    ~     ~    |    1|  299.949   pc  |  -1.5925     +1.5925  |paral   |2020yCat.1350....0G
1577|TYC 5355-446-1                                                        |Spectroscopic Binary                  |05 50 52.7823542808 -12 09 02.364993720|217.2289547969452 -18.8570797837699| -26.037 -4.602  |10.70    |~                |    ~     ~    |    1|  221.720   pc  |  -0.7571     +0.7571  |paral   |2020yCat.1350....0G
1578|TYC 5355-665-1                                                        |Star                                  |05 48 53.2018090200 -12 04 55.087729104|216.9468855364587 -19.2705543672120|  10.201 15.374  |10.98    |~                |    ~     ~    |    1|  186.745   pc  |  -0.7847     +0.7847  |paral   |2020yCat.1350....0G
1579|TYC 5355-824-1                                                        |Star                                  |05 49 24.8737577976 -12 22 43.832211348|217.2897003324965 -19.2776544699085|  -2.002 -6.604  |10.87    |~                |    ~     ~    |    1|  855.139   pc  | -10.7496    +10.7496  |paral   |2020yCat.1350....0G
1580|TYC 5355-1018-1                                                       |Star                                  |05 51 28.5289250928 -12 26 30.038188452|217.5726044803108 -18.8467812084705|    2.775 4.960  |10.97    |~                |    ~     ~    |    1|  747.217   pc  | -11.6133    +11.6133  |paral   |2020yCat.1350....0G
1581|TYC 5355-1081-1                                                       |Star                                  |05 49 17.5566464952 -12 42 46.927979244|217.5985155286030 -19.4440431526616|   -4.295 1.631  |10.59    |~                |    ~     ~    |    1|  262.660   pc  |  -1.0900     +1.0900  |paral   |2020yCat.1350....0G
1582|TYC 5355-1103-1                                                       |Star                                  |05 49 03.2544794328 -12 59 23.597811312|217.8401279715534 -19.6118798037298|      -22.5 1.4  |10.55    |~                |    ~     ~    |    0|                |                       |        |                   
1583|TYC 5355-1142-1                                                       |Star                                  |05 49 18.4292080920 -12 50 46.615077420|217.7286148524997 -19.4962139519105|  6.630 -27.885  |10.95    |~                |    ~     ~    |    1|  250.627   pc  |  -0.9987     +0.9987  |paral   |2020yCat.1350....0G
1584|TYC 5355-1173-1                                                       |Star                                  |05 51 06.8093382000 -13 00 08.023941396|218.0726580694973 -19.1605842085784| -8.021 -27.675  |10.84    |~                |    ~     ~    |    1|  166.229   pc  |  -0.4559     +0.4559  |paral   |2020yCat.1350....0G
1585|TYC 5355-1212-1                                                       |Star                                  |05 49 25.6689464808 -12 42 54.295455240|217.6150368557673 -19.4149120582521|  -4.364 -6.734  |10.76    |~                |    ~     ~    |    1|  489.908   pc  |  -3.8402     +3.8402  |paral   |2020yCat.1350....0G
1586|TYC 5355-1588-1                                                       |Star                                  |05 49 47.4392086632 -13 03 20.555906040|217.9825897136167 -19.4759339342169|    2.152 6.582  |10.67    |~                |    ~     ~    |    1| 1215.658   pc  | -22.7585    +22.7585  |paral   |2020yCat.1350....0G
1587|TYC 5355-1636-1                                                       |Star                                  |05 51 51.7029245472 -12 29 08.912598360|217.6565966319309 -18.7795813580590|  1.005 -20.183  |10.71    |~                |    ~     ~    |    1|  752.615   pc  | -12.0083    +12.0083  |paral   |2020yCat.1350....0G
1588|TYC 5356-191-1                                                        |Star                                  |05 57 32.1384259488 -12 20 05.340305436|218.1234818638693 -17.4585733027787| 32.241 -17.645  |10.97    |~                |    ~     ~    |    1|  298.294   pc  |  -1.2635     +1.2635  |paral   |2020yCat.1350....0G
1589|TYC 5356-238-1                                                        |Star                                  |05 57 54.6083231256 -12 06 31.408109460|217.9489867058563 -17.2803724941653|   2.567 -5.483  |10.59    |~                |    ~     ~    |    1|  585.274   pc  |  -5.1724     +5.1724  |paral   |2020yCat.1350....0G
1590|TYC 5356-385-1                                                        |Star                                  |05 53 04.3230442920 -12 22 48.052043832|217.6856754338624 -18.4669374740607|  -9.787 -9.078  |10.44    |~                |    ~     ~    |    1|  310.897   pc  |  -1.6142     +1.6142  |paral   |2020yCat.1350....0G
1591|TYC 5356-465-1                                                        |Star                                  |05 56 25.2981149328 -12 35 39.628665600|218.2508808977814 -17.8143287607362|   9.206 -4.638  |10.78    |~                |    ~     ~    |    1|  403.226   pc  |  -2.4389     +2.4389  |paral   |2020yCat.1350....0G
1592|TYC 5356-522-1                                                        |Star                                  |05 58 48.7599179280 -12 54 21.128193252|218.8038103403368 -17.4152964317234|  -2.564 -4.410  |10.68    |~                |    ~     ~    |    1|  558.316   pc  | -12.3752    +12.3752  |paral   |2020yCat.1350....0G
1593|GSC 05356-00534                                                       |Double or Multiple Star               |05 52 51.141744 -12 54 34.22016        |218.169705872 -18.736729048        |       -1.4 0.3  |10.961   |~                |    ~     ~    |    0|                |                       |        |                   
1594|TYC 5356-592-1                                                        |Star                                  |05 59 37.1183436984 -12 48 17.143549164|218.7938101475542 -17.1945674547025|       15.7 5.6  |10.792   |~                |    ~     ~    |    0|                |                       |        |                   
1595|TYC 5356-737-1                                                        |Star                                  |05 56 44.4239183808 -13 04 25.361609880|218.7426028184684 -17.9440710377686|  10.072 15.729  |10.96    |~                |    ~     ~    |    1|  201.658   pc  |  -0.8377     +0.8377  |paral   |2020yCat.1350....0G
1596|TYC 5356-742-1                                                        |Spectroscopic Binary                  |05 57 56.6465133744 -12 16 23.865689532|218.1089848212437 -17.3421784058503| 34.847 -11.154  |10.77    |~                |    ~     ~    |    1|  389.135   pc  |  -9.3581     +9.3581  |paral   |2020yCat.1350....0G
