C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:57:10

dec< 0&rah >=5.75&rah< 6.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 5111

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |HD 290864                                                             |Star                                  |05 45 25.0163996712 -00 02 45.058711308|205.2788662232761 -14.6677323680858|   -2.312 5.693  |10.16    |K0               |    ~     ~    |    1|  451.875   pc  |  -3.1650     +3.1650  |paral   |2020yCat.1350....0G
24  |HD 290867                                                             |Star                                  |05 46 13.8484604016 -00 28 57.086980320|205.7761624230822 -14.6934712687934| -5.514 -14.437  |10.21    |F0               |    ~     ~    |    1|  412.984   pc  |  -2.9165     +2.9165  |paral   |2020yCat.1350....0G
25  |HD 294380                                                             |Star                                  |05 47 34.9212634704 -02 19 38.595183708|207.6290184270934 -15.2535672898178|-17.066 -12.201  |10.01    |F5               |    ~     ~    |    1|  152.709   pc  |  -0.3941     +0.3941  |paral   |2020yCat.1350....0G
26  |HD 290866                                                             |Star                                  |05 46 25.0206280056 -00 23 24.762514020|205.7144902861621 -14.6090420675889|  -4.037 10.987  |10.5     |A7               |    ~     ~    |    1|  360.088   pc  |  -2.2561     +2.2561  |paral   |2020yCat.1350....0G
27  |HD 290870                                                             |Star                                  |05 47 55.875 -00 55 55.68              |206.392367 -14.528265              |    -33.20 2.30  |10.4     |G5               |    ~     ~    |    0|                |                       |        |                   
28  |HD 290874                                                             |Star                                  |05 47 03.7423168392 -01 30 10.251745308|206.8098765641573 -14.9863860139919|   0.750 -2.757  |10.40    |A0               |    ~     ~    |    1|  458.148   pc  |  -3.6942     +3.6942  |paral   |2020yCat.1350....0G
29  |HD 290889                                                             |High Proper Motion Star               |05 48 15.8813625648 -00 00 40.630408020|205.5931608794313 -14.0232686990849|  53.945 -1.570  |10.5     |K0               |    ~     ~    |    1|  132.357   pc  |  -0.3661     +0.3661  |paral   |2020yCat.1350....0G
30  |HD 290898                                                             |High Proper Motion Star               |05 48 31.5606830520 -01 13 01.382538036|206.7243509033339 -14.5295990668529| -92.910 89.887  |9.90     |G0               |    ~     ~    |    1|  112.695   pc  |  -0.4318     +0.4318  |paral   |2020yCat.1350....0G
31  |HD 290903                                                             |Star                                  |05 47 58.3480927800 -02 12 09.488404224|207.5610868945616 -15.1094215581812|  -4.246 -6.742  |10.67    |F2               |    ~     ~    |    1|  327.880   pc  |  -1.9028     +1.9028  |paral   |2020yCat.1350....0G
32  |HD 294359                                                             |Star                                  |05 45 14.4214488024 -02 19 17.645777364|207.3429975885584 -15.7695377445388|   2.508 -8.564  |10.52    |G0               |    ~     ~    |    1|  178.760   pc  |  -0.5528     +0.5528  |paral   |2020yCat.1350....0G
33  |HD 290873                                                             |Star                                  |05 45 33.0778331736 -01 27 40.165977492|206.5895170629980 -15.3011996578206|   2.629 -3.257  |10.76    |F2               |    ~     ~    |    1|  362.253   pc  |  -2.0996     +2.0996  |paral   |2020yCat.1350....0G
34  |TYC 4768-383-1                                                        |Star                                  |05 48 20.0892874704 -00 40 03.392200632|206.1995619042987 -14.3154678134159| -0.872 -11.232  |10.6     |~                |    ~     ~    |    1|  269.716   pc  |  -1.7096     +1.7096  |paral   |2020yCat.1350....0G
35  |TYC 4772-90-1                                                         |Star                                  |05 47 48.1089593136 -02 22 17.239633644|207.6958093095423 -15.2252218135504| -6.151 -20.776  |10.38    |~                |    ~     ~    |    1|  240.286   pc  |  -0.9584     +0.9584  |paral   |2020yCat.1350....0G
36  |HD 294369                                                             |Star                                  |05 46 46.5444685440 -03 15 36.391400892|208.3923584999648 -15.8616266798812|  -7.215 -3.504  |8.55     |G0               |    ~     ~    |    1|  349.504   pc  |  -2.2598     +2.2598  |paral   |2020yCat.1350....0G
