C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:33:34

Vmag< 11&dec >=0&rah >=18.75&rah< 19.0
--------------------------------------

Number of objects : 7133

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
2027|BD+05 3971                                                                                               |Star                           |18 52 39.4016250864 +05 51 02.824239096|038.2806481818169 +02.3941640638795|   1.241 -6.446    |10.18    |K0             |    ~     ~    
2028|BD+05 3972                                                                                               |Star                           |18 52 54.0309779688 +05 59 09.596815548|038.4287766137243 +02.4016105270250| 40.135 -23.746    |9.94     |F8             |    ~     ~    
2029|HD 175057                                                                                                |Star                           |18 53 24.4721957136 +05 58 17.244515136|038.4732050680092 +02.2826385601244|  -2.517 -8.152    |8.59     |B9             |    ~     ~    
2030|HD 175116                                                                                                |Star                           |18 53 44.5800967272 +05 46 42.343659624|038.3390960519900 +02.1206287829229|  15.835 -3.006    |9.07     |F0             |    ~     ~    
2031|HD 175176                                                                                                |Star                           |18 53 58.8462221568 +06 00 51.719547996|038.5762750601645 +02.1752899732716|  12.015 -3.480    |8.71     |K5             |    ~     ~    
2032|HD 175270                                                                                                |Star                           |18 54 26.9908040904 +05 59 09.817797120|038.6041428961803 +02.0585533169029| 28.201 -35.057    |9.62     |K              |    ~     ~    
2033|HD 175271                                                                                                |Star                           |18 54 27.0925444224 +05 56 11.306689728|038.5601509823291 +02.0356148861324|  33.644 -7.493    |9.36     |G0             |    ~     ~    
2034|BD+05 3955                                                                                               |Star                           |18 49 04.6152657936 +05 30 15.672414492|037.5668320237510 +03.0303315129857|  0.972 -29.911    |9.19     |K0             |    ~     ~    
2035|HD 174749                                                                                                |Star                           |18 51 54.4526272128 +05 30 46.217284740|037.8945814094112 +02.4065873039909|   2.812 -8.982    |9.58     |K2             |    ~     ~    
2036|BD+07 3828                                                                                               |Star                           |18 45 24.2916964176 +07 08 34.903106052|038.6178504940994 +04.5853314884645|   0.277 -0.120    |10.31    |~              |    ~     ~    
2037|TYC 456-247-1                                                                                            |Star                           |18 50 49.6084861488 +05 29 32.146835388|037.7539377305369 +02.6368244357602|   3.193 -8.544    |9.92     |~              |    ~     ~    
2038|TYC 456-520-1                                                                                            |Star                           |18 48 41.5885907088 +05 30 44.427609720|037.5305809729214 +03.1190668858418|   7.901 -4.024    |10.29    |~              |    ~     ~    
2039|TYC 457-88-1                                                                                             |Star                           |18 55 51.7206172344 +05 36 55.751695164|038.4340557109290 +01.5771087266141|   3.167 -5.577    |10.18    |~              |    ~     ~    
2040|TYC 457-347-1                                                                                            |Star                           |18 54 02.8898920008 +05 30 58.164717024|038.1399629775532 +01.9336898792403| -10.868 -1.915    |10.99    |~              |    ~     ~    
2041|TYC 460-28-1                                                                                             |Star                           |18 45 44.7545446632 +06 22 08.876599140|037.9636234202072 +04.1604061888817|  12.968 -3.768    |10.05    |~              |    ~     ~    
2042|TYC 460-46-1                                                                                             |Star                           |18 52 09.8755695624 +07 01 50.801976192|039.2776280461800 +03.0388376293882|  8.403 -33.972    |9.67     |~              |    ~     ~    
2043|TYC 460-86-1                                                                                             |Star                           |18 46 56.9378776488 +07 08 04.148999124|038.7835615252046 +04.2396582638615|  -0.563 -8.088    |10.21    |~              |    ~     ~    
2044|TYC 460-217-1                                                                                            |Star                           |18 48 20.2679366575 +07 17 06.448519359|039.0743018867339 +04.0003814187430|  -5.332 -8.105    |10.98    |~              |    ~     ~    
2045|TYC 460-240-1                                                                                            |Star                           |18 48 47.3972650632 +06 25 16.099667796|038.3529866072945 +03.5094578055252|   10.930 0.994    |10.25    |~              |    ~     ~    
2046|TYC 460-301-1                                                                                            |Star                           |18 49 28.2704457984 +07 22 30.949576752|039.2822239172869 +03.7904532006035|   2.031 -1.614    |10.48    |~              |    ~     ~    
2047|TYC 460-315-1                                                                                            |Star                           |18 47 32.3362137672 +07 24 33.266011680|039.0956272253030 +04.2331609949056|   1.153 -3.470    |10.97    |~              |    ~     ~    
2048|TYC 460-329-1                                                                                            |Star                           |18 48 25.8445275265 +07 27 33.618714443|039.2405429634595 +04.0585353378310|   -6.778 6.465    |10.64    |~              |    ~     ~    
2049|TYC 460-356-1                                                                                            |Star                           |18 47 56.5381824000 +06 58 01.680731004|038.7455099277904 +03.9441805801671|   -0.875 1.754    |10.91    |~              |    ~     ~    
2050|TYC 460-404-1                                                                                            |Star                           |18 50 59.5710498432 +05 55 22.279628532|038.1567962828912 +02.7955238048799|   10.260 3.963    |10.67    |~              |    ~     ~    
2051|TYC 460-410-1                                                                                            |Star                           |18 47 26.1409345824 +06 30 43.698410532|038.2817390051819 +03.8506321782030|    4.300 3.954    |10.11    |~              |    ~     ~    
2052|TYC 460-516-1                                                                                            |Star                           |18 49 17.2753359144 +06 50 22.731741780|038.7829581868443 +03.5886675379422|-19.977 -27.406    |10.65    |~              |    ~     ~    
2053|TYC 460-535-1                                                                                            |Star                           |18 46 12.5748702816 +06 05 43.130689584|037.7710063188611 +03.9338260046522| -5.863 -44.091    |10.14    |~              |    ~     ~    
2054|TYC 460-540-1                                                                                            |Star                           |18 46 35.1861693432 +06 22 33.190815216|038.0643015394799 +03.9771796352069|  -2.996 -7.283    |10.63    |~              |    ~     ~    
2055|TYC 460-595-1                                                                                            |Star                           |18 47 02.9201512176 +06 50 45.877670304|038.5367740126134 +04.0873143022699|  1.745 -10.049    |10.74    |~              |    ~     ~    
2056|TYC 460-633-1                                                                                            |Double or Multiple Star        |18 45 39.9753 +07 00 09.560            |038.5215250 +04.4641316            |-21.637 -56.646    |10.47    |~              |    ~     ~    
2057|TYC 460-668-1                                                                                            |Star                           |18 47 47.9459192880 +07 01 47.968684752|038.7856160837074 +04.0042889113812|  -4.091 -3.271    |10.86    |~              |    ~     ~    
2058|TYC 460-689-1                                                                                            |Star                           |18 51 22.5015083760 +06 21 01.739383920|038.5814881303862 +02.9049428738103|   -0.542 0.045    |10.56    |~              |    ~     ~    
2059|TYC 460-749-1                                                                                            |Star                           |18 49 37.7003003016 +06 19 39.274129200|038.3639534774860 +03.2813721188988|   5.247 -0.055    |10.00    |~              |    ~     ~    
2060|TYC 460-764-1                                                                                            |High Proper Motion Star        |18 48 12.0191738688 +06 48 37.961292744|038.6345439149152 +03.8162591612259|  4.930 -42.008    |10.89    |~              |    ~     ~    
2061|TYC 460-823-1                                                                                            |Star                           |18 46 50.3308420872 +06 04 52.017346164|037.8292474619794 +03.7878977783553|  -0.999 -9.171    |10.93    |~              |    ~     ~    
2062|TYC 460-828-1                                                                                            |Star                           |18 47 57.4025586192 +06 14 28.107505644|038.0982624721685 +03.6125646738669|   9.048 -1.185    |10.89    |~              |    ~     ~    
2063|TYC 460-856-1                                                                                            |Star                           |18 45 53.5648581552 +05 50 24.849692772|037.5072695088540 +03.8886874866744|  1.128 -11.147    |10.45    |~              |    ~     ~    
2064|TYC 460-925-1                                                                                            |Star                           |18 48 01.4332229495 +06 12 33.485551722|038.0773904739065 +03.5832634591603|    8.278 1.886    |10.67    |~              |    ~     ~    
2065|TYC 460-1021-1                                                                                           |Star                           |18 46 43.6869266880 +07 04 12.219491100|038.7011129273957 +04.2594550838722|  3.801 -10.469    |10.76    |~              |    ~     ~    
2066|TYC 460-1042-1                                                                                           |Star                           |18 46 38.4737123016 +06 56 15.367792740|038.5728416610192 +04.2188774989230| -13.656 -1.935    |10.72    |~              |    ~     ~    
2067|TYC 460-1061-1                                                                                           |Star                           |18 46 11.5126918296 +06 56 53.869134480|038.5319178507541 +04.3232050652720|  -3.301 -5.549    |10.54    |~              |    ~     ~    
2068|TYC 460-1081-1                                                                                           |Star                           |18 50 14.7215415600 +06 04 01.481577060|038.2010464489722 +03.0265816768004|    3.937 7.802    |10.09    |~              |    ~     ~    
2069|TYC 461-37-1                                                                                             |High Proper Motion Star        |18 54 36.6552462624 +07 22 31.070455788|039.8607388854636 +02.6545643353181|  18.920 44.067    |10.88    |~              |    ~     ~    
2070|TYC 461-261-1                                                                                            |Star                           |18 54 30.1556570856 +07 13 53.064134148|039.7202024375725 +02.6131240900580|    3.743 2.306    |10.10    |~              |    ~     ~    
2071|TYC 461-265-1                                                                                            |Star                           |18 52 38.5452776448 +07 07 28.480260252|039.4151846994300 +02.9757349111930|    4.834 4.655    |10.87    |~              |    ~     ~    
2072|TYC 461-279-1                                                                                            |Star                           |18 55 24.4988188056 +07 13 34.047795180|039.8176887771405 +02.4106364110802|  -0.197 -7.166    |10.92    |~              |    ~     ~    
2073|TYC 461-419-1                                                                                            |Star                           |18 55 44.9682375168 +07 04 37.428847356|039.7233480146427 +02.2674746664891|    3.149 9.211    |10.23    |~              |    ~     ~    
2074|TYC 461-511-1                                                                                            |Star                           |18 53 59.9256921072 +06 18 06.095028240|038.8344024130176 +02.3019726032981| -9.501 -27.187    |10.32    |~              |    ~     ~    
2075|TYC 461-521-1                                                                                            |Star                           |18 52 30.0777367872 +06 03 03.288401316|038.4415119200750 +02.5195238319749|  -3.385 -8.116    |10.55    |~              |    ~     ~    
2076|TYC 461-560-1                                                                                            |Star                           |18 52 46.6832588304 +06 45 39.936941604|039.1061693044161 +02.7807884504700|    6.294 3.335    |9.73     |~              |    ~     ~    
2077|TYC 461-610-1                                                                                            |Star                           |18 53 09.0749113560 +06 12 45.563077332|038.6592073125893 +02.4490985818226|-22.967 -13.683    |10.70    |~              |    ~     ~    
2078|TYC 461-638-1                                                                                            |Star                           |18 53 50.3359246872 +06 16 48.426316104|038.7970984377494 +02.3275376057138|  -0.627 -3.687    |10.67    |~              |    ~     ~    
2079|TYC 461-639-1                                                                                            |Star                           |18 56 01.3675407552 +06 41 09.401817444|039.4057264215555 +02.0290754134121|   2.130 -5.411    |10.48    |~              |    ~     ~    
2080|TYC 461-670-1                                                                                            |Star                           |18 53 10.7071147152 +06 55 14.684037564|039.2937603454725 +02.7647128575152|    5.228 0.121    |10.46    |~              |    ~     ~    
2081|TYC 461-677-1                                                                                            |Star                           |18 54 05.0572634328 +06 28 17.948720316|038.9955740089447 +02.3603197745683|   1.776 16.762    |10.30    |~              |    ~     ~    
2082|TYC 461-697-1                                                                                            |Star                           |18 53 32.1446891880 +06 05 54.410526816|038.6008683250017 +02.3120593994105|  20.998 -5.475    |10.13    |~              |    ~     ~    
2083|TYC 1025-3024-1                                                                                          |Star                           |18 45 42.3875082336 +07 44 36.433661676|039.1894456629846 +04.7891966714736|  -1.142 -4.057    |10.49    |~              |    ~     ~    
2084|TYC 1025-3214-1                                                                                          |Star                           |18 45 17.3475350136 +07 45 05.113267920|039.1498637047845 +04.8850897239917|  -2.628 -2.677    |10.59    |~              |    ~     ~    
2085|TYC 1026-599-1                                                                                           |Star                           |18 53 13.4026666128 +08 10 25.781325816|040.4171756424583 +03.3231453823815|  -2.820 -2.823    |10.60    |~              |    ~     ~    
2086|TYC 1026-601-1                                                                                           |Star                           |18 51 09.3174649848 +07 58 14.868592752|040.0036189002110 +03.6876623066611|   2.307 -4.779    |10.23    |~              |    ~     ~    
2087|TYC 1026-607-1                                                                                           |Star                           |18 51 51.4561054728 +08 01 11.689931028|040.1263402028109 +03.5548347731104|   6.133 -0.066    |10.97    |~              |    ~     ~    
2088|TYC 1026-809-1                                                                                           |Star                           |18 51 10.7860191168 +07 46 06.881419308|039.8256668100497 +03.5907614811227|   1.402 -4.340    |10.92    |~              |    ~     ~    
2089|TYC 1026-863-1                                                                                           |Star                           |18 52 54.3597585024 +08 10 35.114428524|040.3838493008480 +03.3943372791179|  -1.428 -3.628    |10.73    |~              |    ~     ~    
2090|GSC 01026-00955                                                                                          |Double or Multiple Star        |18 52 50.9380563432 +08 10 34.145708304|040.3772057129473 +03.4067969672093|   4.225 -9.403    |9.797    |~              |    ~     ~    
2091|TYC 1026-1093-1                                                                                          |Star                           |18 49 01.0800301776 +07 40 06.352265136|039.4934590323105 +04.0231536004416|  -9.959 -2.671    |10.18    |~              |    ~     ~    
2092|TYC 1026-1169-1                                                                                          |Star                           |18 48 16.5541530384 +08 04 34.299664572|039.7751102183472 +04.3712083020571|  12.156 -0.750    |10.46    |~              |    ~     ~    
2093|TYC 1026-1261-1                                                                                          |Star                           |18 51 58.6291402968 +07 35 52.779420168|039.7629081540665 +03.3373779751130|   0.169 -8.381    |10.72    |~              |    ~     ~    
2094|TYC 1026-1287-1                                                                                          |Star                           |18 50 04.0188627528 +07 31 12.521499564|039.4786608783806 +03.7242520062475|  -1.531 -7.464    |10.92    |~              |    ~     ~    
2095|TYC 1026-1513-1                                                                                          |Star                           |18 47 38.1070159872 +07 33 54.982260252|039.2460350766499 +04.2823198941775|    1.767 0.281    |10.50    |~              |    ~     ~    
2096|TYC 1026-1599-1                                                                                          |Star                           |18 47 51.8446944120 +07 30 46.947764052|039.2249847794040 +04.2081071789741|  24.557 -1.729    |10.16    |~              |    ~     ~    
2097|TYC 1026-1749-1                                                                                          |Star                           |18 53 22.1333040888 +08 00 35.403140412|040.2871000739852 +03.2167192276084|  -1.070 -3.757    |10.50    |~              |    ~     ~    
2098|TYC 1026-1781-1                                                                                          |Star                           |18 51 40.5955906344 +07 43 57.759062808|039.8494407990269 +03.4647849729640|    5.557 1.558    |10.35    |~              |    ~     ~    
2099|TYC 1026-1845-1                                                                                          |Star                           |18 46 30.5229355296 +07 58 25.013051328|039.4854446203948 +04.7154806870566|  14.457 12.205    |10.25    |~              |    ~     ~    
2100|TYC 1026-1869-1                                                                                          |Star                           |18 51 15.8071659432 +07 45 51.375873456|039.8312184762444 +03.5703270986690|    1.500 3.215    |9.83     |~              |    ~     ~    
2101|TYC 1026-1881-1                                                                                          |Star                           |18 49 56.5424898552 +08 02 13.221258216|039.9267570790875 +03.9854332520187|  -6.952 -1.794    |10.88    |~              |    ~     ~    
2102|TYC 1039-625-1                                                                                           |Star                           |18 54 50.5519693920 +07 32 54.009736728|040.0411691960917 +02.6820244597294|   3.911 12.872    |10.90    |~              |    ~     ~    
2103|TYC 1039-1007-1                                                                                          |Star                           |18 54 54.5140619616 +08 10 37.747070760|040.6095359092239 +02.9529807772909|   11.485 2.909    |10.62    |~              |    ~     ~    
2104|TYC 1039-1249-1                                                                                          |Star                           |18 54 35.5428558600 +08 03 07.745092668|040.4624384913998 +02.9659825394033|  7.862 -14.874    |10.29    |~              |    ~     ~    
2105|TYC 1039-1270-1                                                                                          |Star                           |18 53 51.9758451888 +07 55 55.469837676|040.2736108401888 +03.0717048161139|  28.991 18.069    |10.80    |~              |    ~     ~    
2106|TYC 1039-1283-1                                                                                          |Star                           |18 53 40.8741614160 +08 00 48.681634320|040.3255030886449 +03.1494698566180|   6.552 11.992    |10.11    |~              |    ~     ~    
2107|TYC 1039-1433-1                                                                                          |Star                           |18 53 44.2897934640 +07 51 18.515879244|040.1905406575840 +03.0650816061782|    1.495 7.154    |9.99     |~              |    ~     ~    
2108|TYC 1039-1443-1                                                                                          |Star                           |18 54 03.0122308512 +07 53 50.539216056|040.2633307010209 +03.0153716037511| -0.152 -25.193    |9.71     |~              |    ~     ~    
2109|BD+07 3907                                                                                               |Star                           |18 57 33.4147973904 +08 10 20.657197884|040.9034790320575 +02.3670609865453|    1.356 0.716    |10.00    |K2             |    ~     ~    
2110|BD+07 3903                                                                                               |Star                           |18 57 12.3881100648 +07 25 17.203758348|040.1947948070659 +02.1024755786976| -9.271 -23.688    |10.66    |F5             |    ~     ~    
2111|BD+07 3904                                                                                               |Star                           |18 57 19.0563167208 +07 22 00.831999576|040.1587557943533 +02.0531042750431|    1.937 2.675    |9.95     |F5             |    ~     ~    
2112|AG+07 2533                                                                                               |Long-Period Variable Candidate |18 58 12.2761206912 +07 59 15.434147148|040.8118853572568 +02.1401919336554|    0.940 0.262    |9.27     |M2             |    ~     ~    
2113|HD 176093                                                                                                |High Proper Motion Star        |18 58 17.3024241216 +07 24 02.282951700|040.2985321829294 +01.8542321907455|-56.868 -60.988    |8.96     |F8             |    ~     ~    
2114|BD+07 3915                                                                                               |Star                           |18 58 39.3824306496 +07 55 38.971181820|040.8093267113047 +02.0132252294040|  -6.882 -5.326    |10.48    |F5             |    ~     ~    
2115|HD 175923                                                                                                |Star                           |18 57 24.5098373424 +06 58 46.171852500|039.8239592461572 +01.8565510093536|    9.930 3.363    |8.84     |B9             |    ~     ~    
2116|HD 176054                                                                                                |Star                           |18 58 06.7749173232 +06 50 16.648029420|039.7776552907319 +01.6364283827735|   1.030 -8.207    |9.22     |B9             |    ~     ~    
2117|HD 176094                                                                                                |High Proper Motion Star        |18 58 20.2641534240 +06 30 57.569238756|039.5164994624391 +01.4398947622834|-55.584 -36.636    |9.19     |G5             |    ~     ~    
2118|HD 176095                                                                                                |High Proper Motion Star        |18 58 23.7047934144 +06 14 23.744967144|039.2772814787611 +01.3012553026318|-9.651 -106.906    |6.207    |F5IV           |    ~     ~    
2119|BD+06 3990                                                                                               |Star                           |18 58 35.8421455848 +06 16 57.519461928|039.3382463594052 +01.2760187758519|    5.122 2.407    |10.46    |A0             |    ~     ~    
2120|HD 176011                                                                                                |Star                           |18 57 53.5242123936 +06 06 39.711449664|039.1054928342858 +01.3536949304096|   2.249 -7.630    |9.59     |A0             |    ~     ~    
2121|V* V840 Aql                                                                                              |Long-Period Variable           |18 57 18.3399223632 +06 41 53.413651644|039.5617838860577 +01.7510728403617|-31.878 -49.443    |9.42     |M7             |    ~     ~    
2122|GJ 2143                                                                                                  |Variable Star                  |18 58 20.0738771568 +06 09 05.381352000|039.1917068966772 +01.2742824107832|    3.202 2.412    |10.51    |M              |    ~     ~    
2123|BD+05 3985                                                                                               |Star                           |18 56 46.8334999176 +05 34 09.054594588|038.4970342905031 +01.3525807754857|   12.338 1.748    |10.26    |A2             |    ~     ~    
2124|HD 175868                                                                                                |Star                           |18 57 12.5337491952 +06 01 17.129346132|038.9482423289929 +01.4639726244119| -0.141 -14.052    |8.17     |K2             |    ~     ~    
2125|HD 175961                                                                                                |Star                           |18 57 45.0000829344 +05 56 30.372925848|038.9387126239152 +01.3079115474558|   13.571 9.021    |9.74     |G5             |    ~     ~    
2126|HD 176012                                                                                                |Star                           |18 57 52.0178532432 +05 45 45.405626868|038.7925240630868 +01.2002885158118|    1.592 2.682    |10.02    |A3             |    ~     ~    
2127|HD 176029                                                                                                |High Proper Motion Star        |18 58 00.1362313720 +05 54 29.240711762|038.9373907181512 +01.2367390068302|-196.328 -1220.611 |9.217    |M1.0V          |    ~     ~    
2128|HD 176041B                                                                                               |Star                           |18 58 04.7325406488 +05 59 24.840943728|039.0191665689959 +01.2572561779413|  12.223 -0.010    |10.78    |~              |    ~     ~    
2129|HD 176096                                                                                                |Star                           |18 58 24.7970209584 +05 44 16.238002884|038.8325125892385 +01.0680696092264|   -1.166 7.225    |8.74     |K0             |    ~     ~    
2130|BD+05 3986                                                                                               |Star                           |18 57 13.2515323248 +05 27 45.900198180|038.4522730109526 +01.2065337614604|    3.300 2.331    |10.46    |A0             |    ~     ~    
2131|BD+07 3914                                                                                               |Star                           |18 58 40.9495138896 +07 30 00.845038116|040.4317891253691 +01.8126885026201|       0.7 -7.7    |9.94     |F5             |    ~     ~    
2132|BD+07 3916                                                                                               |Star                           |18 58 48.9605461080 +07 18 30.108280752|040.2760555591295 +01.6957266757081|  3.523 -33.666    |9.93     |F8             |    ~     ~    
2133|HD 176233                                                                                                |Star                           |18 59 02.0966426136 +07 43 52.739869440|040.6773968576979 +01.8403380951542|   0.377 -7.616    |9.77     |B9             |    ~     ~    
2134|HD 176234                                                                                                |High Proper Motion Star        |18 59 02.9958790608 +07 15 40.802639724|040.2606609489377 +01.6226517158061| -50.369 -2.884    |8.28     |F8             |    ~     ~    
2135|HD 176323                                                                                                |Star                           |18 59 28.2932885040 +07 27 10.268436096|040.4788668119682 +01.6170212513158|   0.273 -5.628    |9.61     |B9             |    ~     ~    
2136|HD 176178                                                                                                |Star                           |18 58 48.2573992728 +06 07 18.707891052|039.2186405704522 +01.1568709095619|    6.655 0.333    |8.92     |A3             |    ~     ~    
2137|HD 176399                                                                                                |Star                           |18 59 51.5706660624 +06 09 26.115412680|039.3699450453643 +00.9396973580283|   16.357 6.176    |7.22     |G5             |    ~     ~    
2138|BD+05 4006                                                                                               |Star                           |18 59 42.7110571392 +06 05 16.705852800|039.2915380191594 +00.9406923188195|   2.839 -1.957    |9.6      |M3             |    ~     ~    
2139|BD+05 3999                                                                                               |Star                           |18 58 56.6923704984 +05 40 03.387967932|038.8304039294162 +00.9183499828097|  -1.599 -3.407    |9.88     |K5             |    ~     ~    
2140|BD+05 4003                                                                                               |Star                           |18 59 25.4940820944 +05 43 15.756705732|038.9324968818799 +00.8365283263467| -6.915 -18.123    |9.93     |F8             |    ~     ~    
2141|BD+05 4004                                                                                               |Star                           |18 59 33.9056732640 +05 48 09.965329452|039.0211347996810 +00.8428467008644|   0.615 -5.840    |9.84     |K0             |    ~     ~    
2142|HD 176344                                                                                                |Star                           |18 59 34.9468843896 +05 51 35.176791600|039.0738183543809 +00.8650514263833|   1.422 -6.090    |9.18     |A2             |    ~     ~    
2143|HD 176235                                                                                                |Star                           |18 59 05.2574306040 +05 27 44.370755460|038.6639889283000 +00.7929912945605|   10.495 6.664    |9.52     |A3             |    ~     ~    
2144|TYC 457-167-1                                                                                            |Star                           |18 56 29.6709994032 +05 34 03.827532360|038.4632826987107 +01.4152640504386|   1.176 -3.817    |10.82    |~              |    ~     ~    
2145|TYC 457-520-1                                                                                            |Star                           |18 59 03.1698455136 +05 32 14.407875384|038.7267684400786 +00.8349560434749|  -2.232 -0.527    |10.40    |~              |    ~     ~    
2146|TYC 461-41-1                                                                                             |Star                           |18 59 24.3626414256 +07 23 28.560567192|040.4166321758169 +01.6033670417418|  -1.445 -0.407    |10.39    |~              |    ~     ~    
2147|TYC 461-81-1                                                                                             |Star                           |18 57 00.3087345504 +07 24 36.945972864|040.1620910741047 +02.1418197993837|  -2.890 -4.304    |10.91    |~              |    ~     ~    
2148|TYC 461-193-1                                                                                            |Star                           |18 56 41.3955178344 +07 13 46.797687480|039.9655743502310 +02.1291941851806|  -2.016 -9.578    |10.15    |~              |    ~     ~    
2149|TYC 461-255-1                                                                                            |Star                           |18 58 13.0864972560 +07 15 24.756608808|040.1625694636431 +01.8042052209644|  -8.375 32.196    |9.37     |~              |    ~     ~    
2150|TYC 461-263-1                                                                                            |Star                           |18 57 57.0040253260 +07 18 55.362094681|040.1843541929955 +01.8900335473430|   6.572 -5.815    |10.34    |~              |    ~     ~    
2151|TYC 461-362-1                                                                                            |Spectroscopic Binary           |18 58 59.4127141152 +06 54 44.994944088|039.9433812763738 +01.4766620641699|  8.100 -26.354    |10.46    |~              |    ~     ~    
2152|TYC 461-394-1                                                                                            |Star                           |18 58 11.4240313104 +06 39 19.585589832|039.6239388945402 +01.5360688739975|   5.352 -8.462    |10.35    |~              |    ~     ~    
2153|TYC 461-396-1                                                                                            |Star                           |18 58 34.6300832136 +05 52 39.131495472|038.9754332520654 +01.0955730634183|  1.555 -10.244    |10.91    |~              |    ~     ~    
2154|TYC 461-459-1                                                                                            |High Proper Motion Star        |18 59 16.9731829728 +07 03 21.157529976|040.1041556268979 +01.4774771056961|-61.968 -79.684    |10.42    |~              |    ~     ~    
2155|TYC 461-519-1                                                                                            |Star                           |18 57 36.2107577904 +05 55 32.766259188|038.9078481724629 +01.3330273189750|  3.403 -15.201    |10.33    |~              |    ~     ~    
2156|TYC 461-614-1                                                                                            |Star                           |18 58 56.6469488568 +06 27 26.221857876|039.5330040170272 +01.2790778621983|    1.885 2.381    |10.75    |~              |    ~     ~    
2157|IRAS 18561+0608                                                                                          |Star                           |18 58 36.4473639912 +06 12 18.556075296|039.2704262361488 +01.2384208643795|   0.578 -7.196    |10.7     |~              |    ~     ~    
2158|TYC 461-705-1                                                                                            |Star                           |18 57 33.4172384376 +06 36 10.220320872|039.5053490745641 +01.6520794090473|  -0.407 -9.119    |10.27    |~              |    ~     ~    
2159|TYC 1039-345-1                                                                                           |Star                           |18 57 41.8922448744 +07 35 25.822812480|040.4009495902723 +02.0709641403845| -0.276 -11.089    |10.22    |~              |    ~     ~    
2160|TYC 1039-551-1                                                                                           |Star                           |18 57 32.8247046432 +07 36 06.418260792|040.3939269984475 +02.1094401186832|  31.571 -5.680    |9.75     |~              |    ~     ~    
2161|TYC 1039-1092-1                                                                                          |Star                           |18 56 26.4838675056 +08 00 12.653647884|040.6272216683502 +02.5361149097266|  10.126 -4.191    |10.60    |~              |    ~     ~    
2162|TYC 1039-1299-1                                                                                          |Star                           |18 57 20.6148016248 +07 57 08.664374196|040.6833700645871 +02.3139530241280|   17.111 9.913    |10.23    |~              |    ~     ~    
2163|TYC 1039-1404-1                                                                                          |Star                           |18 58 31.8802536648 +08 09 27.091329840|041.0001102268456 +02.1455994813947|   4.602 -1.169    |10.71    |~              |    ~     ~    
2164|HD 229415                                                                                                |Star                           |18 46 00.9005789352 +10 23 27.893630796|041.6001753069302 +05.9093854980238|  -2.252 -7.493    |10.43    |A0             |    ~     ~    
2165|HD 173762                                                                                                |Star                           |18 46 36.5229862248 +10 48 00.701308620|042.0336836419619 +05.9617243236929|  -0.257 -7.190    |8.91     |B9             |    ~     ~    
2166|HD 229480                                                                                                |Star                           |18 47 12.5572339680 +10 14 11.248323468|041.5933168987536 +05.5774998934532|  2.939 -11.636    |9.56     |K5             |    ~     ~    
2167|V* KO Aql                                                                                                |Eclipsing Binary               |18 47 10.7415402480 +10 45 49.247482896|042.0637846934125 +05.8201132489838|  5.179 -11.986    |8.40     |A0V            |    ~     ~    
2168|HD 173634                                                                                                |Star                           |18 46 01.1079075384 +09 49 06.108785256|041.0857645305915 +05.6523382106853| -22.719 -0.903    |7.31     |F5             |    ~     ~    
2169|BD+09 3864                                                                                               |Star                           |18 46 27.2832066864 +09 27 44.856158292|040.8145548703810 +05.3966905025006|  4.313 -40.382    |10.98    |G0             |    ~     ~    
2170|V* V1434 Aql                                                                                             |Long-Period Variable Candidate |18 46 55.5923040792 +09 25 09.197468652|040.8281856114898 +05.2733036519088|   6.536 -4.976    |7.74     |M3             |    ~     ~    
2171|BD+09 3870                                                                                               |Star                           |18 47 19.8186291816 +10 00 51.784766496|041.4072739739390 +05.4513598882376|   0.417 -5.298    |10.06    |A0             |    ~     ~    
2172|HD 173472                                                                                                |Star                           |18 45 10.8497707632 +08 57 39.992006268|040.2228055011660 +05.4527282130546| 29.443 -24.470    |8.51     |G5             |    ~     ~    
2173|HD 173565                                                                                                |Spectroscopic Binary           |18 45 38.7402671520 +08 56 53.730899052|040.2630170159371 +05.3443762849953| -0.381 -18.018    |9.01     |A0             |    ~     ~    
2174|BD+08 3836                                                                                               |Star                           |18 45 46.0559960976 +08 26 12.206038020|039.8176988124464 +05.0876533032570|   -4.362 4.424    |9.31     |K0             |    ~     ~    
2175|HD 173585                                                                                                |Star                           |18 45 46.3625179800 +08 29 22.927492428|039.8657798067994 +05.1103416834051| 21.989 -30.884    |8.21     |G0             |    ~     ~    
2176|BD+08 3838                                                                                               |Star                           |18 45 56.6604595320 +08 51 22.821949116|040.2137980213862 +05.2371898294139|    6.666 1.636    |10.12    |F0             |    ~     ~    
2177|BD+08 3840                                                                                               |Star                           |18 46 22.7532432912 +08 39 51.417604188|040.0900083467790 +05.0548959703824| 30.212 -13.600    |10.39    |F8             |    ~     ~    
2178|BD+08 3842                                                                                               |Star                           |18 46 50.9638207296 +09 05 16.614418560|040.5223830664579 +05.1415487729503|   -4.461 5.435    |9.63     |G5             |    ~     ~    
