C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:33:34

Vmag< 11&dec >=0&rah >=18.75&rah< 19.0
--------------------------------------

Number of objects : 7133

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
32  |BD+46 2569                                                                                               |Star                           |18 52 58.5833274984 +46 55 29.137304208|076.6123896155756 +19.2078827463367| -0.921 -17.854    |9.15     |M0             |    ~     ~    
33  |BD+46 2572                                                                                               |Star                           |18 53 52.8568232184 +46 26 31.880850972|076.1869876684392 +18.8992376820540|  -2.306 13.057    |9.80     |F2             |    ~     ~    
34  |BD+46 2573                                                                                               |Star                           |18 54 04.3893395880 +46 58 19.190891964|076.7260002299010 +19.0474279390714|  -3.850 -7.499    |9.28     |K2             |    ~     ~    
35  |HD 176022                                                                                                |Star                           |18 55 54.5525994624 +46 30 47.981955816|076.3836527707109 +18.5954158428499|   3.726 11.624    |7.97     |B9             |    ~     ~    
36  |HD 176050                                                                                                |Star                           |18 56 08.3303334864 +46 23 17.143210284|076.2740575846329 +18.5150861029953| -6.632 -20.940    |8.21     |K0             |    ~     ~    
37  |BD+46 2582                                                                                               |Star                           |18 56 09.2628884496 +46 39 56.532206340|076.5498990171520 +18.6083334429611|  -6.901 -5.306    |9.35     |K0             |    ~     ~    
38  |HD 176131                                                                                                |Star                           |18 56 32.1355529064 +46 45 58.544065440|076.6732512320474 +18.5816326657882| 10.607 -42.632    |7.08     |A2             |    ~     ~    
39  |BD+45 2785                                                                                               |Star                           |18 52 21.1741793904 +46 04 58.871560296|075.7351248095643 +19.0262546464041| -19.250 -7.048    |10.51    |K0             |    ~     ~    
40  |BD+45 2776                                                                                               |Star                           |18 48 23.0049988032 +45 23 22.329562056|074.7978303913318 +19.4475488901004|   -0.030 6.695    |9.854    |K2             |    ~     ~    
41  |HD 174504                                                                                                |High Proper Motion Star        |18 48 36.2847971808 +45 15 42.323460120|074.6836675009621 +19.3685110699746|  29.934 83.226    |6.91     |F0             |    ~     ~    
42  |HD 174600                                                                                                |Star                           |18 49 07.1153380992 +45 19 16.769214948|074.7750441786476 +19.3030805898159|  4.973 -17.401    |8.575    |K0             |    ~     ~    
43  |HD 174790                                                                                                |Star                           |18 50 07.0372642968 +45 28 26.863971312|074.9895963801933 +19.1888268228051|  -7.282 -1.022    |9.16     |K              |    ~     ~    
44  |HD 175201                                                                                                |delta Sct Variable             |18 52 06.4075690536 +45 13 39.414839412|074.8691511474725 +18.7765496241105|   5.223 -5.129    |8.85     |A9IVs          |    ~     ~    
45  |BD+45 2789                                                                                               |Double or Multiple Star        |18 53 19.013 +45 45 03.18              |075.465062 +18.755818              |      24.1 19.0    |9.8      |F5             |    ~     ~    
46  |HD 175575                                                                                                |Horizontal Branch Star         |18 53 49.5397618128 +45 25 02.542595016|075.1666504337231 +18.5577850437972|-10.018 -19.153    |8.61     |K0             |    ~     ~    
47  |BD+45 2792                                                                                               |Star                           |18 54 20.5129048560 +45 49 06.662878104|075.5967807447709 +18.6111200312184| -1.329 -23.797    |8.90     |K5             |    ~     ~    
