C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:21:12

dec >=0&rah >=14.5&rah< 14.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2365

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |BD+83 427                                                                                                |Star                              |14 37 53.7988184448 +83 13 26.734240056|119.3127716854497 +33.1394630464346|  6.261 -14.212   |9.87     |F5                |    ~     ~    |    1|  169.840   pc  |  -0.3375     +0.3375  |paral   |2020yCat.1350....0G
24  |BD+83 428                                                                                                |Star                              |14 40 28.3537445664 +82 54 12.049551072|119.0463405279249 +33.3829588977091|   5.495 -4.003   |9.80     |G5                |    ~     ~    |    1|  654.793   pc  |  -8.1035     +8.1035  |paral   |2020yCat.1350....0G
25  |BD+83 429                                                                                                |Star                              |14 41 15.1853726136 +82 44 40.705645560|118.9276519258870 +33.5093476273712|   15.829 4.953   |9.32     |K2                |    ~     ~    |    1|  440.820   pc  |  -2.0987     +2.0987  |paral   |2020yCat.1350....0G
26  |BD+83 430                                                                                                |High Proper Motion Star           |14 43 55.0068081456 +82 58 29.030868264|118.9785520380728 +33.2685467390477| 27.963 -44.475   |10.90    |G5                |    ~     ~    |    1|  165.793   pc  |  -0.2694     +0.2694  |paral   |2020yCat.1350....0G
27  |BD+86 215                                                                                                |Star                              |14 30 09.9225700200 +86 09 12.793691412|121.0667264385029 +30.6108948894449| -35.527 17.074   |9.50     |F8                |    ~     ~    |    1|  194.746   pc  |  -0.3868     +0.3868  |paral   |2020yCat.1350....0G
28  |BD+86 214                                                                                                |Star                              |14 31 26.8081927584 +85 51 00.573937272|120.8897567530690 +30.8743562175855| -10.986 19.595   |10.42    |F5                |    ~     ~    |    1|  201.098   pc  |  -0.5419     +0.5419  |paral   |2020yCat.1350....0G
29  |HD 131616                                                                                                |Star                              |14 33 17.6586273587 +85 56 18.220598538|120.9006080920770 +30.7805902989613| -16.246 -4.328   |7.21     |K0                |    ~     ~    |    1|  182.478   pc  |  -0.5660     +0.5660  |paral   |2020yCat.1350....0G
30  |BD+86 218                                                                                                |Star                              |14 34 21.4674134712 +85 50 08.719163232|120.8272381977363 +30.8638277758782|    0.759 1.201   |10.83    |K0                |    ~     ~    |    1| 1370.802   pc  | -26.4953    +26.4953  |paral   |2020yCat.1350....0G
31  |BD+86 213                                                                                                |Star                              |14 33 11.1384884424 +85 35 07.421637732|120.7191882056436 +31.0974491860063|   -5.221 4.267   |10.49    |F0                |    ~     ~    |    1|  358.282   pc  |  -1.5019     +1.5019  |paral   |2020yCat.1350....0G
32  |BD+86 216                                                                                                |Red Giant Branch star             |14 34 53.4098887008 +85 33 10.405109268|120.6677701099903 +31.1116648903753| -11.883 -0.076   |10.46    |K0                |    ~     ~    |    1| 1159.555   pc  | -20.5719    +20.5719  |paral   |2020yCat.1350....0G
33  |HD 131616B                                                                                               |Star                              |14 33 16.2304126122 +85 56 19.993574407|120.9013026222183 +30.7803370353225| -19.493 -3.800   |9.63     |~                 |    ~     ~    |    1|  175.076   pc  |  -1.4314     +1.4314  |paral   |2020yCat.1350....0G
