C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:21:12

dec >=0&rah >=14.5&rah< 14.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2365

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
131 |HD 128459                                                                                                |High Proper Motion Star           |14 32 44.9424648288 +72 29 30.369712416|112.8626487294675 +42.5994745626258| 69.549 -39.453   |9.02     |G5                |    ~     ~    |    1|   80.587   pc  |  -0.0968     +0.0968  |paral   |2020yCat.1350....0G
132 |BD+73 635                                                                                                |Star                              |14 34 13.0847257968 +73 21 27.018873108|113.3427885627805 +41.8028459196381|   5.181 14.508   |9.20     |K0                |    ~     ~    |    1|  566.861   pc  |  -4.2094     +4.2094  |paral   |2020yCat.1350....0G
133 |BD+73 636B                                                                                               |Star                              |14 34 45.1138324464 +72 43 12.986392692|112.8507732964044 +42.3264511891879| -11.108 -0.775   |9.99     |K2                |    ~     ~    |    1| 1106.562   pc  | -15.0611    +15.0611  |paral   |2020yCat.1350....0G
134 |BD+73 637                                                                                                |Spectroscopic Binary              |14 35 37.4196113160 +73 05 38.865984144|113.0420094949196 +41.9746422349059| -17.087 -8.476   |10.13    |F8                |    ~     ~    |    1|  207.366   pc  |  -2.3220     +2.3220  |paral   |2020yCat.1350....0G
135 |BD+73 639                                                                                                |Star                              |14 39 25.5858960336 +73 07 31.642378752|112.7507374498637 +41.8007044463770| -27.905 30.746   |9.29     |K0                |    ~     ~    |    1|  341.064   pc  |  -1.3377     +1.3377  |paral   |2020yCat.1350....0G
136 |TYC 4413-847-1                                                                                           |Star                              |14 31 54.2365022712 +72 26 41.737221168|112.9039531562249 +42.6724216018568|   2.189 -9.192   |10.18    |~                 |    ~     ~    |    0|                |                       |        |                   
137 |TYC 4416-9-1                                                                                             |Star                              |14 43 31.9881726216 +74 41 33.360795816|113.5676190721477 +40.3318692592081|  -15.876 6.104   |10.55    |~                 |    ~     ~    |    1|  495.295   pc  | -13.9340    +13.9340  |paral   |2020yCat.1350....0G
138 |TYC 4416-22-1                                                                                            |Star                              |14 35 10.9001181120 +74 20 35.031259896|113.9444569003832 +40.9242619373693| 19.886 -38.363   |9.50     |~                 |    ~     ~    |    1|  519.454   pc  |  -3.0221     +3.0221  |paral   |2020yCat.1350....0G
139 |TYC 4416-67-1                                                                                            |Star                              |14 44 36.6197648160 +74 13 01.795148400|113.1430408286931 +40.6883031785919| -30.875 17.047   |10.83    |~                 |    ~     ~    |    1|  293.161   pc  |  -1.3407     +1.3407  |paral   |2020yCat.1350....0G
140 |TYC 4416-97-1                                                                                            |Star                              |14 31 27.7302707232 +74 02 28.688028792|114.0305788902901 +41.3128608704435|   -3.261 2.364   |9.78     |~                 |    ~     ~    |    1|  201.943   pc  |  -0.4975     +0.4975  |paral   |2020yCat.1350....0G
141 |TYC 4416-198-1                                                                                           |Star                              |14 43 19.9563769200 +74 21 28.214728200|113.3405971994838 +40.6189628077694|  -18.467 8.373   |10.90    |~                 |    ~     ~    |    1|  270.095   pc  |  -0.8754     +0.8754  |paral   |2020yCat.1350....0G
142 |TYC 4416-274-1                                                                                           |Star                              |14 32 54.4320164760 +73 42 53.401179384|113.6951587754948 +41.5439359715251|  5.606 -44.429   |10.13    |~                 |    ~     ~    |    1|  610.352   pc  |  -4.5821     +4.5821  |paral   |2020yCat.1350....0G
143 |TYC 4416-360-1                                                                                           |Star                              |14 37 25.9394537952 +73 30 58.537908360|113.1930044092071 +41.5475835207028|   5.221 -0.106   |9.98     |~                 |    ~     ~    |    1|  332.646   pc  |  -2.3790     +2.3790  |paral   |2020yCat.1350....0G
144 |TYC 4416-1037-1                                                                                          |Star                              |14 30 50.8635753648 +73 36 23.793812784|113.7892299570885 +41.7105128611473| -44.013 -7.797   |9.80     |~                 |    ~     ~    |    1|  192.467   pc  |  -0.3556     +0.3556  |paral   |2020yCat.1350....0G
145 |TYC 4416-1091-1                                                                                          |Star                              |14 36 50.1866781960 +72 36 27.605131704|112.5919221702274 +42.3397628092296| -34.193 -6.554   |10.90    |~                 |    ~     ~    |    1|  408.130   pc  |  -1.7157     +1.7157  |paral   |2020yCat.1350....0G
146 |TYC 4416-1360-1                                                                                          |Star                              |14 35 35.7869508024 +72 31 17.138936280|112.6362977700457 +42.4622016006671|   11.006 8.723   |10.85    |~                 |    ~     ~    |    1|  365.698   pc  |  -1.9124     +1.9124  |paral   |2020yCat.1350....0G
147 |TYC 4416-1727-1                                                                                          |Star                              |14 37 48.8162579808 +74 39 48.112812072|113.9659755392280 +40.5592554898563|    5.092 3.254   |10.60    |~                 |    ~     ~    |    1|  886.132   pc  |  -9.1872     +9.1872  |paral   |2020yCat.1350....0G
148 |LP 21-439                                                                                                |High Proper Motion Star           |14 36 54.2971341120 +75 33 42.965626896|114.6423716898835 +39.8217837085431|28.184 -130.389   |10.69    |~                 |    ~     ~    |    1|  106.101   pc  |  -0.1767     +0.1767  |paral   |2020yCat.1350....0G
149 |TYC 4559-296-1                                                                                           |Star                              |14 35 03.1886794464 +75 36 24.493329144|114.8012527746148 +39.8420405266991|   -0.734 2.894   |10.34    |~                 |    ~     ~    |    1|  563.698   pc  |  -5.1794     +5.1794  |paral   |2020yCat.1350....0G
150 |HD 130459A                                                                                               |Star                              |14 44 42.7901026032 +68 24 04.992250392|108.5246175081171 +45.4277567633097| 11.325 -17.966   |10.33    |~                 |    ~     ~    |    1|  336.112   pc  |  -1.8753     +1.8753  |paral   |2020yCat.1350....0G
151 |HD 130459B                                                                                               |Star                              |14 44 42.1073238480 +68 23 53.873705364|108.5231621984209 +45.4308539326112| 11.380 -18.422   |10.61    |~                 |    ~     ~    |    1|  334.079   pc  |  -1.5737     +1.5737  |paral   |2020yCat.1350....0G
152 |TYC 4410-951-1                                                                                           |Star                              |14 40 29.5085125560 +68 36 18.114361416|109.1408935131381 +45.4923766699831| 12.032 -22.698   |10.98    |~                 |    ~     ~    |    1|  782.656   pc  | -15.3138    +15.3138  |paral   |2020yCat.1350....0G
153 |TYC 4410-972-1                                                                                           |Star                              |14 39 19.4480250672 +68 38 24.347205744|109.2936682662419 +45.5253804278925| -1.745 -11.294   |10.65    |~                 |    ~     ~    |    1|  954.107   pc  | -10.8328    +10.8328  |paral   |2020yCat.1350....0G
154 |TYC 4410-1236-1                                                                                          |Star                              |14 44 27.8959930536 +68 46 14.133412956|108.8649844750276 +45.1458313807577|  -28.209 2.897   |10.61    |~                 |    ~     ~    |    1|  112.696   pc  |  -0.1638     +0.1638  |paral   |2020yCat.1350....0G
155 |LP 41-350                                                                                                |High Proper Motion Star           |14 42 24.5731414392 +68 31 37.476892704|108.8733106057808 +45.4528559930488|-144.822 18.041   |10.72    |~                 |    ~     ~    |    1|  187.389   pc  |  -0.6321     +0.6321  |paral   |2020yCat.1350....0G
156 |HD 128331                                                                                                |Spectroscopic Binary              |14 32 17.0657069016 +71 27 01.703190564|112.1637102112940 +43.5076430203322| -22.155 19.740   |9.37     |F8                |    ~     ~    |    1|  312.510   pc  |  -1.2208     +1.2208  |paral   |2020yCat.1350....0G
157 |BD+72 648                                                                                                |Star                              |14 33 20.1959529240 +71 43 51.365357616|112.2685482886008 +43.2252420956320| 15.636 -23.298   |9.20     |K0                |    ~     ~    |    1|  396.432   pc  |  -1.9330     +1.9330  |paral   |2020yCat.1350....0G
158 |HD 128546                                                                                                |Star                              |14 33 23.9920959240 +71 34 52.202752068|112.1545037786764 +43.3499958856119|   -5.069 9.628   |7.85     |G5                |    ~     ~    |    1|  352.721   pc  |  -1.9159     +1.9159  |paral   |2020yCat.1350....0G
159 |HD 130383                                                                                                |Star                              |14 43 36.0695094696 +71 23 08.203200360|111.0789399120892 +43.0679153315306| -21.101 -4.432   |9.59     |G5                |    ~     ~    |    1|  119.969   pc  |  -0.1785     +0.1785  |paral   |2020yCat.1350....0G
160 |BD+71 689                                                                                                |Star                              |14 31 07.3999746510 +70 46 38.095188018|111.7871320062171 +44.1307257726240|  12.554 -7.948   |10.34    |F5                |    ~     ~    |    0|                |                       |        |                   
161 |BD+71 690                                                                                                |Star                              |14 31 12.6841697400 +70 47 38.998703112|111.7908428661622 +44.1125154773621|   18.941 6.564   |10.30    |F5                |    ~     ~    |    1|  240.581   pc  |  -0.7814     +0.7814  |paral   |2020yCat.1350....0G
162 |HD 129753                                                                                                |Star                              |14 40 10.5195883344 +71 06 32.338031184|111.1753751466569 +43.4518387931876|  -9.018 -0.963   |9.13     |K2                |    ~     ~    |    1|  442.419   pc  |  -2.1727     +2.1727  |paral   |2020yCat.1350....0G
163 |HD 129826                                                                                                |Star                              |14 40 40.0248810696 +70 47 37.175839872|110.8848303479021 +43.6900105562707|  -29.273 4.250   |9.47     |G5                |    ~     ~    |    1|  226.999   pc  |  -1.0615     +1.0615  |paral   |2020yCat.1350....0G
164 |BD+71 696                                                                                                |Star                              |14 44 10.9700269728 +70 24 29.754333612|110.2475782595960 +43.8381494131193|-26.329 -34.987   |10.03    |F8                |    ~     ~    |    1|  192.164   pc  |  -0.4690     +0.4690  |paral   |2020yCat.1350....0G
165 |HD 130581                                                                                                |Star                              |14 44 38.3158321776 +71 05 19.616437536|110.7510172185381 +43.2624899379955|  -19.728 7.931   |9.14     |K0                |    ~     ~    |    1|  549.179   pc  |  -3.1668     +3.1668  |paral   |2020yCat.1350....0G
166 |BD+70 791                                                                                                |Spectroscopic Binary              |14 30 29.4684892776 +69 50 28.354671780|111.1617163467818 +44.9555449391786|  -7.996 10.871   |10.36    |G0                |    ~     ~    |    1|  280.191   pc  |  -3.1089     +3.1089  |paral   |2020yCat.1350....0G
167 |HD 128164                                                                                                |Star                              |14 31 37.9708648848 +70 14 45.643852140|111.3460893083344 +44.5603054283561| -41.929 -0.025   |8.35     |F2IV              |    ~     ~    |    1|  164.169   pc  |  -0.4447     +0.4447  |paral   |2020yCat.1350....0G
168 |HD 129663                                                                                                |Star                              |14 39 53.0948300880 +69 50 10.207886856|110.2047338996883 +44.5162295708535|   2.513 10.531   |8.24     |K0                |    ~     ~    |    1|  498.107   pc  |  -4.2427     +4.2427  |paral   |2020yCat.1350....0G
169 |HD 130497                                                                                                |Star                              |14 44 33.5758065864 +69 50 13.067391804|109.7456638141255 +44.2823611101294|   9.029 -6.510   |9.10     |F8                |    ~     ~    |    1|  139.807   pc  |  -0.2365     +0.2365  |paral   |2020yCat.1350....0G
170 |BD+70 796                                                                                                |Star                              |14 35 13.8084027144 +69 25 18.416783712|110.3504712456679 +45.0863972398724|  -19.481 8.625   |10.50    |A5                |    ~     ~    |    1|  361.167   pc  |  -2.4132     +2.4132  |paral   |2020yCat.1350....0G
171 |BD+70 803                                                                                                |High Proper Motion Star           |14 43 41.8361306280 +69 32 59.337610152|109.5938423970225 +44.5585726341357|-43.816 -25.896   |10.07    |K0                |    ~     ~    |    1|  273.127   pc  |  -0.8131     +0.8131  |paral   |2020yCat.1350....0G
172 |BD+70 804                                                                                                |Star                              |14 44 09.7604295312 +69 29 05.202096720|109.4938839908323 +44.5871594986643|   -4.439 5.463   |9.19     |K0                |    ~     ~    |    1|  689.275   pc  |  -6.5089     +6.5089  |paral   |2020yCat.1350....0G
173 |HD 128797                                                                                                |High Proper Motion Star           |14 35 21.0969477744 +69 02 31.170505416|110.0392544309007 +45.3967806269799|-37.763 -32.197   |9.15     |K0                |    ~     ~    |    1|  111.616   pc  |  -0.1694     +0.1694  |paral   |2020yCat.1350....0G
174 |HD 129844                                                                                                |Star                              |14 41 05.5902180144 +69 15 07.765738704|109.6113716950957 +44.9339461098135| -4.268 -10.583   |8.80     |K5                |    ~     ~    |    1| 1030.291   pc  | -17.8332    +17.8332  |paral   |2020yCat.1350....0G
175 |HD 130043                                                                                                |High Proper Motion Star           |14 42 04.8946085568 +69 06 52.162876584|109.3972541394375 +44.9948726792280|-107.134 -0.550   |9.22     |K0                |    ~     ~    |    1|  111.402   pc  |  -0.1477     +0.1477  |paral   |2020yCat.1350....0G
176 |BD+69 766                                                                                                |Star                              |14 43 05.7942572832 +69 11 15.091285668|109.3543633217498 +44.8827637289165| -30.428 10.393   |10.87    |G0                |    ~     ~    |    1|  310.482   pc  |  -1.0893     +1.0893  |paral   |2020yCat.1350....0G
177 |HD 130444                                                                                                |High Proper Motion Star           |14 43 21.1682102376 +69 08 23.117161200|109.2886602486252 +44.9079604859806| -60.408 32.160   |9.18     |K5                |    ~     ~    |    1|  410.779   pc  |  -4.5391     +4.5391  |paral   |2020yCat.1350....0G
178 |BD+70 800                                                                                                |Star                              |14 40 16.7637335928 +69 44 29.541749568|110.0897657131540 +44.5745552817015| -12.170 -5.777   |9.93     |~                 |    ~     ~    |    1|  323.824   pc  |  -1.3317     +1.3317  |paral   |2020yCat.1350....0G
179 |TYC 4410-163-1                                                                                           |Star                              |14 39 40.5191172288 +69 04 39.121156524|109.6147108922933 +45.1493121421797|   -4.930 8.669   |9.96     |~                 |    ~     ~    |    1|  664.452   pc  |  -5.6070     +5.6070  |paral   |2020yCat.1350....0G
180 |TYC 4410-295-1                                                                                           |Star                              |14 31 39.2206742280 +69 31 40.103057928|110.8051748864446 +45.1676273159090|   5.694 -1.866   |10.59    |~                 |    ~     ~    |    1|  528.402   pc  |  -4.8024     +4.8024  |paral   |2020yCat.1350....0G
181 |TYC 4410-302-1                                                                                           |Star                              |14 34 34.7628817656 +69 47 53.342025936|110.7091451277158 +44.8028158794109|  -21.920 7.901   |10.81    |~                 |    ~     ~    |    1|  279.987   pc  |  -0.8545     +0.8545  |paral   |2020yCat.1350....0G
182 |GSC 04410-00333                                                                                          |Double or Multiple Star           |14 38 50.494536 +68 56 39.88212        |109.593341086 +45.301196596        |      -3.0 10.2   |9.753    |~                 |    ~     ~    |    0|                |                       |        |                   
183 |TYC 4410-431-1                                                                                           |Star                              |14 39 39.7639943208 +69 59 54.247873308|110.3557532072528 +44.3934979656896|    5.494 6.682   |10.29    |~                 |    ~     ~    |    1|  637.633   pc  |  -4.5537     +4.5537  |paral   |2020yCat.1350....0G
184 |TYC 4410-557-1                                                                                           |High Proper Motion Star           |14 36 53.0439886776 +68 40 31.697120316|109.5829617099349 +45.6230120297636| -79.291 26.528   |9.61     |~                 |    ~     ~    |    1|  129.707   pc  |  -0.1699     +0.1699  |paral   |2020yCat.1350....0G
185 |TYC 4410-861-1                                                                                           |Star                              |14 37 57.3112076184 +68 44 40.346631132|109.5245309256429 +45.5109830253382| -22.694 -1.511   |10.87    |~                 |    ~     ~    |    1|  802.955   pc  |  -7.6079     +7.6079  |paral   |2020yCat.1350....0G
186 |TYC 4410-1262-1                                                                                          |Star                              |14 36 10.4366348376 +68 56 26.224475136|109.8715737847245 +45.4398580806036|  -9.377 18.007   |10.26    |~                 |    ~     ~    |    1|  148.265   pc  |  -0.3275     +0.3275  |paral   |2020yCat.1350....0G
187 |TYC 4413-476-1                                                                                           |High Proper Motion Star           |14 31 49.2437171064 +71 55 54.432008436|112.5503643275945 +43.1154235534353| -116.598 8.653   |10.94    |~                 |    ~     ~    |    1|  254.881   pc  |  -0.6431     +0.6431  |paral   |2020yCat.1350....0G
188 |TYC 4413-601-1                                                                                           |Star                              |14 42 02.1992287104 +71 19 09.161424516|111.1679612007569 +43.1937266345170|   -6.989 4.874   |9.63     |~                 |    ~     ~    |    1|  644.621   pc  | -16.8708    +16.8708  |paral   |2020yCat.1350....0G
189 |TYC 4413-715-1                                                                                           |High Proper Motion Star           |14 31 42.9729820968 +71 35 30.001009668|112.3179837807110 +43.4105710978783|  33.226 36.232   |9.79     |~                 |    ~     ~    |    1|  102.351   pc  |  -0.1184     +0.1184  |paral   |2020yCat.1350....0G
190 |TYC 4413-776-1                                                                                           |Star                              |14 38 51.8359129824 +71 01 04.796860908|111.2272113763508 +43.5866891112376| -14.012 12.796   |10.42    |~                 |    ~     ~    |    1|  311.789   pc  |  -1.2346     +1.2346  |paral   |2020yCat.1350....0G
191 |TYC 4413-1156-1                                                                                          |Star                              |14 41 26.8505699520 +70 49 56.620294356|110.8420891988424 +43.6217772283377|  -7.162 18.149   |10.35    |~                 |    ~     ~    |    1|  106.408   pc  |  -0.1563     +0.1563  |paral   |2020yCat.1350....0G
192 |TYC 4413-1228-1                                                                                          |Star                              |14 30 30.8525714664 +70 29 17.311759368|111.6364469409030 +44.4036532023313|  -38.304 8.851   |10.94    |~                 |    ~     ~    |    1|  219.746   pc  |  -2.7428     +2.7428  |paral   |2020yCat.1350....0G
193 |TYC 4413-1261-1                                                                                          |Star                              |14 35 21.2210536656 +70 38 14.095420908|111.2715099972837 +44.0631343751639| 21.436 -23.981   |10.82    |~                 |    ~     ~    |    1|  270.409   pc  |  -0.9140     +0.9140  |paral   |2020yCat.1350....0G
194 |TYC 4413-1530-1                                                                                          |Star                              |14 37 33.3173403912 +70 19 58.952897472|110.8247540089745 +44.2166066918054|  -20.111 5.920   |10.39    |~                 |    ~     ~    |    1|  186.008   pc  |  -2.9997     +2.9997  |paral   |2020yCat.1350....0G
195 |TYC 4413-1553-1                                                                                          |Star                              |14 34 30.5169882624 +70 19 21.179260200|111.1163694456258 +44.3658789145213|   2.234 -0.066   |10.81    |~                 |    ~     ~    |    1| 1326.436   pc  | -20.5854    +20.5854  |paral   |2020yCat.1350....0G
196 |GSC 04413-01574                                                                                          |Double or Multiple Star           |14 42 37.105632 +70 17 31.47900        |110.302785676 +44.009072346        |        6.1 3.1   |9.942    |~                 |    ~     ~    |    0|                |                       |        |                   
197 |TYC 4413-1677-1                                                                                          |Star                              |14 44 18.7761628392 +70 13 30.217393056|110.0867712798223 +43.9804956102973|  -6.000 -4.502   |9.84     |~                 |    ~     ~    |    1|  446.209   pc  |  -2.2300     +2.2300  |paral   |2020yCat.1350....0G
198 |TYC 4413-1678-1                                                                                          |Star                              |14 34 49.3516707600 +70 12 26.601936696|110.9977766372582 +44.4482590172108| -33.132 10.947   |10.65    |~                 |    ~     ~    |    1|  583.873   pc  |  -3.7841     +3.7841  |paral   |2020yCat.1350....0G
199 |BD+72 646                                                                                                |Star                              |14 30 59.6558411520 +72 15 00.826701732|112.8487058652927 +42.8749511556413|  -1.216 15.986   |9.28     |G5                |    ~     ~    |    1|  140.056   pc  |  -0.2511     +0.2511  |paral   |2020yCat.1350....0G
200 |BD+65 1009                                                                                               |Spectroscopic Binary              |14 44 54.7997839008 +64 58 40.344953772|105.4152162412451 +48.1090044593937| -24.125 -0.224   |9.25     |F5                |    ~     ~    |    1|  127.915   pc  |  -0.8557     +0.8557  |paral   |2020yCat.1350....0G
201 |TYC 4176-85-1                                                                                            |Star                              |14 44 31.9969933824 +64 41 34.806487992|105.1910485188002 +48.3549461191700|  -8.529 -7.424   |10.44    |~                 |    ~     ~    |    1|  208.312   pc  |  -0.4122     +0.4122  |paral   |2020yCat.1350....0G
202 |TYC 4176-489-1                                                                                           |Star                              |14 43 31.4867481792 +64 44 28.125230568|105.3624667005695 +48.3856907301289| -18.121 37.620   |10.43    |~                 |    ~     ~    |    1|  171.306   pc  |  -1.0711     +1.0711  |paral   |2020yCat.1350....0G
203 |HD 129168                                                                                                |Star                              |14 37 32.5204548744 +68 26 57.466172580|109.3283223069178 +45.7751297409671|   2.773 -5.622   |8.09     |K0                |    ~     ~    |    1|  301.014   pc  |  -1.5041     +1.5041  |paral   |2020yCat.1350....0G
204 |BD+68 795                                                                                                |Star                              |14 38 35.3695309056 +68 01 21.992070432|108.8620811177641 +46.0686510739082|   4.534 -4.170   |9.44     |K2                |    ~     ~    |    1|  412.899   pc  |  -1.8412     +1.8412  |paral   |2020yCat.1350....0G
205 |BD+68 796                                                                                                |Star                              |14 38 59.5731095760 +68 09 58.372926912|108.9373341084512 +45.9298793537693|   -6.523 4.231   |9.60     |G5                |    ~     ~    |    1|  258.238   pc  |  -1.1537     +1.1537  |paral   |2020yCat.1350....0G
206 |BD+68 793                                                                                                |Star                              |14 35 16.2385333440 +67 41 16.327484988|108.9559907256641 +46.5222619852837|  18.449 10.639   |9.78     |F8                |    ~     ~    |    1|  240.269   pc  |  -0.6581     +0.6581  |paral   |2020yCat.1350....0G
207 |BD+67 841                                                                                                |Star                              |14 32 05.9342225856 +66 26 36.202674444|108.2986825197796 +47.7239841688965|    7.245 1.788   |9.49     |A5                |    ~     ~    |    1|  398.121   pc  |  -2.2983     +2.2983  |paral   |2020yCat.1350....0G
208 |BD+67 842                                                                                                |High Proper Motion Star           |14 32 15.2533771920 +66 27 21.599331516|108.2901731557549 +47.7048284794744| 75.419 -70.658   |9.68     |F8                |    ~     ~    |    1|  143.935   pc  |  -0.2548     +0.2548  |paral   |2020yCat.1350....0G
209 |HD 128577                                                                                                |Star                              |14 34 30.4585561368 +66 47 40.886186028|108.3017994099024 +47.2991166449153|   -6.087 6.600   |7.52     |F8                |    ~     ~    |    1|  231.439   pc  |  -3.4120     +3.4120  |paral   |2020yCat.1350....0G
210 |HD 129513                                                                                                |Star                              |14 39 36.9996226224 +67 11 44.631477132|108.0469116710271 +46.6828845848179|   12.903 1.617   |9.06     |F2                |    ~     ~    |    1|  220.507   pc  |  -0.8071     +0.8071  |paral   |2020yCat.1350....0G
211 |BD+67 848                                                                                                |Spectroscopic Binary              |14 42 09.4305635112 +67 17 19.639429188|107.8402172972876 +46.4619016043760|-33.887 -14.627   |9.67     |K0                |    ~     ~    |    1|  306.570   pc  |  -6.3628     +6.3628  |paral   |2020yCat.1350....0G
212 |BD+66 852                                                                                                |Star                              |14 30 19.0269961560 +65 50 33.903240828|108.0177142172791 +48.3222383485963| -17.014 -4.390   |9.48     |K0                |    ~     ~    |    1|  475.828   pc  |  -6.0226     +6.0226  |paral   |2020yCat.1350....0G
213 |HD 128608                                                                                                |Star                              |14 34 43.5162196056 +65 58 15.843839664|107.5729587039382 +47.9606206188615|  -48.817 5.244   |7.96     |F0                |    ~     ~    |    1|  100.545   pc  |  -0.1678     +0.1678  |paral   |2020yCat.1350....0G
214 |HD 129307                                                                                                |Star                              |14 38 43.0057080000 +65 51 58.152998628|106.9900187637756 +47.8058624467399| -8.310 -16.315   |7.80     |K2                |    ~     ~    |    1|  354.384   pc  |  -1.7959     +1.7959  |paral   |2020yCat.1350....0G
215 |HD 129499                                                                                                |Star                              |14 39 39.7007411208 +66 20 48.308238492|107.3022117496442 +47.3633822036285|-27.953 -24.297   |7.37     |G5                |    ~     ~    |    1|   53.679   pc  |  -0.0421     +0.0421  |paral   |2020yCat.1350....0G
216 |BD+66 864                                                                                                |Star                              |14 40 12.3811504608 +66 22 02.071751556|107.2557747642576 +47.3142736219590|    2.558 6.820   |9.89     |F0                |    ~     ~    |    1|  368.406   pc  |  -1.6830     +1.6830  |paral   |2020yCat.1350....0G
217 |BD+66 866                                                                                                |Star                              |14 42 08.2849352400 +66 08 13.208567604|106.8216242251553 +47.3798667929729|   -0.773 6.607   |10.14    |K0                |    ~     ~    |    1| 1472.537   pc  | -25.1530    +25.1530  |paral   |2020yCat.1350....0G
218 |BD+66 867                                                                                                |Star                              |14 43 05.9684587080 +65 53 26.196751140|106.4839619117296 +47.5144449437371|    8.430 8.653   |8.75     |K5                |    ~     ~    |    1|  391.527   pc  |  -2.5447     +2.5447  |paral   |2020yCat.1350....0G
219 |G 239-25                                                                                                 |High Proper Motion Star           |14 42 21.5756362789 +66 03 20.844850251|106.7220334669930 +47.4304199802498|-299.031 -38.615  |10.708   |M3V               |    ~     ~    |    1|   10.9315  pc  |  -0.0018     +0.0018  |paral   |2020yCat.1350....0G
220 |BD+66 853                                                                                                |High Proper Motion Star           |14 32 49.4687301264 +65 37 14.004967080|107.5089359556814 +48.3593551271223| 23.718 -47.217   |9.34     |G5                |    ~     ~    |    1|  113.497   pc  |  -0.1430     +0.1430  |paral   |2020yCat.1350....0G
221 |BD+66 859                                                                                                |High Proper Motion Star           |14 36 08.8706972112 +65 23 35.032628328|106.8882203368666 +48.3438290008690| -44.019 93.857   |9.79     |F5                |    ~     ~    |    1|  185.268   pc  |  -1.9839     +1.9839  |paral   |2020yCat.1350....0G
222 |BD+66 860                                                                                                |Star                              |14 38 09.5609786280 +65 30 25.065272736|106.7377293662234 +48.1280044555589|  14.215 -3.176   |9.80     |F5                |    ~     ~    |    1|  222.079   pc  |  -0.6411     +0.6411  |paral   |2020yCat.1350....0G
223 |TYC 4179-32-1                                                                                            |Star                              |14 32 42.9340464144 +66 13 03.236287152|108.0327103548492 +47.8753368276212|  -7.079 15.016   |10.47    |~                 |    ~     ~    |    1|  437.254   pc  |  -8.7757     +8.7757  |paral   |2020yCat.1350....0G
224 |TYC 4179-109-1                                                                                           |Star                              |14 32 46.3193180664 +67 26 48.446006136|109.0461854800089 +46.8555922518798|  14.178 -4.928   |10.61    |~                 |    ~     ~    |    1|  305.792   pc  |  -1.1221     +1.1221  |paral   |2020yCat.1350....0G
225 |TYC 4179-150-1                                                                                           |Star                              |14 38 10.3282537512 +65 10 01.665542712|106.4296671949952 +48.3989869917310|  2.170 -16.195   |10.01    |~                 |    ~     ~    |    1|  818.733   pc  |  -7.3736     +7.3736  |paral   |2020yCat.1350....0G
226 |TYC 4179-189-1                                                                                           |High Proper Motion Star           |14 37 01.3288633416 +67 07 29.946069048|108.2848915029280 +46.8874263413894| -25.216 51.882   |10.83    |~                 |    ~     ~    |    1|  325.288   pc  |  -1.1639     +1.1639  |paral   |2020yCat.1350....0G
227 |TYC 4179-218-1                                                                                           |High Proper Motion Star           |14 37 51.5128254240 +65 59 47.374932444|107.2101157627525 +47.7532324912330| -53.790 36.492   |10.09    |~                 |    ~     ~    |    1|  167.774   pc  |  -0.2787     +0.2787  |paral   |2020yCat.1350....0G
228 |TYC 4179-243-1                                                                                           |Star                              |14 31 16.2304894632 +66 44 56.513024340|108.6534695927169 +47.5166304267592|    8.408 6.373   |10.61    |~                 |    ~     ~    |    1|  268.969   pc  |  -0.8537     +0.8537  |paral   |2020yCat.1350....0G
229 |TYC 4179-511-1                                                                                           |Star                              |14 43 34.1189831904 +67 07 10.290481644|107.5334703771255 +46.5142245569663| -9.347 -27.612   |10.59    |~                 |    ~     ~    |    1|  265.301   pc  |  -1.0135     +1.0135  |paral   |2020yCat.1350....0G
230 |TYC 4179-561-1                                                                                           |Star                              |14 38 50.2851995160 +66 33 50.089599936|107.5901900893032 +47.2377457557993| -14.542 -1.488   |10.43    |~                 |    ~     ~    |    1|  731.636   pc  |  -5.7811     +5.7811  |paral   |2020yCat.1350....0G
231 |TYC 4179-565-1                                                                                           |Star                              |14 36 46.0005267984 +66 45 35.342943444|108.0039987877997 +47.1994113613457| -3.301 -23.571   |10.96    |~                 |    ~     ~    |    1|  274.221   pc  |  -0.9550     +0.9550  |paral   |2020yCat.1350....0G
232 |TYC 4179-611-1                                                                                           |Star                              |14 38 17.9372270064 +67 18 06.989081544|108.2880963031679 +46.6715745720709|  3.041 -10.705   |10.38    |~                 |    ~     ~    |    1|  354.610   pc  |  -2.4018     +2.4018  |paral   |2020yCat.1350....0G
233 |TYC 4179-638-1                                                                                           |High Proper Motion Star           |14 39 48.0513508176 +65 59 35.240984484|106.9717103595229 +47.6379690061445| 54.630 -55.324   |10.38    |~                 |    ~     ~    |    1|  203.571   pc  |  -0.5346     +0.5346  |paral   |2020yCat.1350....0G
