C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:50:27

dec >=0&rah >=10.5&rah< 10.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2377

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |BD+82 310                                                                                                |High Proper Motion Star            |10 40 14.7852470208 +81 55 53.177756664|128.1821443621440 +33.8122631917532|-58.325 -18.807   |9.42     |F8               |    ~     ~    |    1|  132.920   pc  |  -0.1837     +0.1837  |paral   |2020yCat.1350....0G
24  |HD 92179                                                                                                 |Star                               |10 43 59.9655321552 +81 34 04.086128640|128.3009657975544 +34.1872914505864|    7.268 6.331   |9.09     |A3               |    ~     ~    |    1|  178.155   pc  |  -0.4888     +0.4888  |paral   |2020yCat.1350....0G
25  |BD+84 237                                                                                                |High Proper Motion Star            |10 30 12.6003896976 +83 33 21.300312204|127.3340540988417 +32.3179359539242|-48.507 -31.691   |8.73     |F2               |    ~     ~    |    1|  120.603   pc  |  -0.3869     +0.3869  |paral   |2020yCat.1350....0G
26  |BD+84 238                                                                                                |High Proper Motion Star            |10 40 57.9440369688 +83 33 00.968987052|127.0489912205767 +32.5002895194505|  43.671 31.472   |10.56    |G5               |    ~     ~    |    1|  238.419   pc  |  -0.8583     +0.8583  |paral   |2020yCat.1350....0G
27  |BD+84 240                                                                                                |Star                               |10 43 06.9198992136 +83 25 02.022656520|127.0784963307697 +32.6445134984341|   -1.737 9.394   |10.54    |G5               |    ~     ~    |    1|  742.997   pc  |  -5.8517     +5.8517  |paral   |2020yCat.1350....0G
28  |BD+83 298                                                                                                |Star                               |10 35 24.1822772520 +83 06 08.130477132|127.5140565672055 +32.7712566828431| 26.599 -10.682   |9.60     |K0               |    ~     ~    |    1|  568.376   pc  |  -4.1997     +4.1997  |paral   |2020yCat.1350....0G
29  |BD+83 299                                                                                                |Star                               |10 34 44.6541316008 +82 35 14.766950364|127.8986187901143 +33.1729764521357|    2.098 8.280   |10.23    |F5               |    ~     ~    |    1|  282.430   pc  |  -1.1167     +1.1167  |paral   |2020yCat.1350....0G
30  |BD+83 303                                                                                                |Star                               |10 40 03.7620268776 +82 54 09.779053788|127.5155850982393 +33.0161059248516|-39.522 -21.122   |9.63     |F8               |    ~     ~    |    1|  230.942   pc  |  -3.5840     +3.5840  |paral   |2020yCat.1350....0G
31  |BD+83 304                                                                                                |Star                               |10 40 49.8036123264 +82 26 55.747272624|127.8038367544333 +33.4014058728678|  -2.417 -1.757   |10.18    |K0               |    ~     ~    |    1| 1306.336   pc  | -22.3553    +22.3553  |paral   |2020yCat.1350....0G
32  |BD+83 305                                                                                                |Star                               |10 43 06.9043375824 +82 15 32.261882688|127.8591130581094 +33.6006476838633| -0.326 -14.369   |10.42    |F5               |    ~     ~    |    1|  294.247   pc  |  -1.3074     +1.3074  |paral   |2020yCat.1350....0G
