C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:58:52

dec >=0&rah >=6.0&rah< 6.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 8428

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |TYC 4618-1382-1                                                                                          |Star                           |06 03 39.1386212040 +83 29 33.939048228|129.9942338205286 +25.6052404212157|  3.554 -11.317   |10.92    |G5                |    ~     ~    |    1|  713.725   pc  |  -5.3997     +5.3997  |paral   |2020yCat.1350....0G
24  |BD+83 155                                                                                                |Star                           |06 06 40.3009431768 +83 36 32.032514484|129.8934554065339 +25.7167033553669| -8.937 -12.239   |9.87     |F8                |    ~     ~    |    1|  407.515   pc  |  -2.2087     +2.2087  |paral   |2020yCat.1350....0G
25  |BD+82 150                                                                                                |Star                           |06 00 37.6024834440 +82 57 40.424006088|130.5349040878285 +25.3765668880836|   -3.889 4.456   |10.42    |G5                |    ~     ~    |    1| 1022.495   pc  | -12.7550    +12.7550  |paral   |2020yCat.1350....0G
26  |HD 38387                                                                                                 |Double or Multiple Star        |06 02 57.0219519504 +82 45 05.124960000|130.7801301268264 +25.3888199051439|  42.247 41.044   |7.53     |F8                |0.0033  0.0    |    1|   93.914   pc  |  -2.2799     +2.2799  |paral   |2020yCat.1350....0G
27  |BD+82 153                                                                                                |Star                           |06 01 59.7549319344 +82 22 33.703164768|131.1704346518020 +25.2568876177025|   3.451 16.889   |8.86     |K5                |    ~     ~    |    1|  572.213   pc  |  -5.5008     +5.5008  |paral   |2020yCat.1350....0G
28  |BD+82 154                                                                                                |Star                           |06 07 16.4127285072 +82 49 23.350826892|130.7424510268971 +25.5384882781150|  2.119 -12.577   |10.27    |F0                |    ~     ~    |    1|  455.145   pc  |  -5.0754     +5.0754  |paral   |2020yCat.1350....0G
29  |HD 39329                                                                                                 |Star                           |06 08 46.9725988296 +82 27 30.371140728|131.1471978363969 +25.4945342101915|  -3.750 -7.324   |8.270    |K0                |    ~     ~    |    1|  390.518   pc  |  -2.7451     +2.7451  |paral   |2020yCat.1350....0G
30  |BD+81 196                                                                                                |Spectroscopic Binary           |06 02 18.9719117328 +81 45 25.367169204|131.8309421482664 +25.0958169786445|   5.361 12.670   |9.80     |K2                |    ~     ~    |    1|  669.478   pc  | -21.0655    +21.0655  |paral   |2020yCat.1350....0G
31  |BD+84 116                                                                                                |Star                           |06 14 26.5185133680 +84 02 54.250300608|129.4711801728134 +26.0205872771861|    5.205 4.737   |9.32     |K2                |    ~     ~    |    1|  789.515   pc  |  -8.0410     +8.0410  |paral   |2020yCat.1350....0G
32  |BD+81 202                                                                                                |Star                           |06 11 22.2250602360 +81 38 10.927772412|132.0540328279197 +25.3798549065842|  3.259 -11.247   |10.22    |A5                |    ~     ~    |    1|  536.682   pc  | -15.2943    +15.2943  |paral   |2020yCat.1350....0G
