C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:58:52

dec >=0&rah >=6.0&rah< 6.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 8428

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
996 |* 41 Aur A                                                                                               |High Proper Motion Star        |06 11 36.5917001808 +48 42 39.557130588|164.9735357515040 +13.9501957752494| 14.994 -55.704   |6.15     |A2Va+             |    ~     ~    |    1|   93.783   pc  |  -0.4741     +0.4741  |paral   |2020yCat.1350....0G
997 |* 41 Aur B                                                                                               |High Proper Motion Star        |06 11 36.5527610136 +48 42 47.036470500|164.9715548434009 +13.9509907177712| 19.171 -52.460   |6.84     |kA5hA5mF0(IV-V)   |    ~     ~    |    1|   94.430   pc  |  -0.8641     +0.8641  |paral   |2020yCat.1350....0G
998 |V* KO Aur                                                                                                |Eclipsing Binary               |06 06 15.2394428976 +48 22 12.921732300|164.8903934909096 +13.0039188469634|  2.916 -20.480   |9.95     |~                 |    ~     ~    |    1|  216.558   pc  |  -0.7973     +0.7973  |paral   |2020yCat.1350....0G
999 |HD 42084                                                                                                 |Star                           |06 11 15.8169538152 +47 54 24.391380636|165.6950690559483 +13.5515978300807|-11.113 -26.404   |6.85     |A2                |    ~     ~    |    1|   96.256   pc  |  -0.2770     +0.2770  |paral   |2020yCat.1350....0G
1000|TYC 3378-25-1                                                                                            |Star                           |06 07 50.3180405544 +48 41 24.057514788|164.7148861124894 +13.3805798299604|   0.504 -5.892   |10.58    |~                 |    ~     ~    |    1| 1109.508   pc  | -22.5275    +22.5275  |paral   |2020yCat.1350....0G
1001|TYC 3378-28-1                                                                                            |Star                           |06 08 02.9205534696 +48 43 25.462217640|164.6993763245752 +13.4265192258487|  -16.574 2.854   |10.96    |~                 |    ~     ~    |    1|  490.557   pc  |  -4.9573     +4.9573  |paral   |2020yCat.1350....0G
1002|TYC 3378-112-1                                                                                           |Star                           |06 09 21.5205639432 +48 35 12.512259060|164.9232851877507 +13.5612356801465|    1.474 3.734   |10.30    |~                 |    ~     ~    |    1|  197.281   pc  |  -0.6889     +0.6889  |paral   |2020yCat.1350....0G
1003|TYC 3378-238-1                                                                                           |Star                           |06 06 52.3410352248 +48 43 12.848299824|164.6148287331843 +13.2507806519044| 22.593 -27.546   |10.59    |~                 |    ~     ~    |    1|  718.494   pc  | -10.4795    +10.4795  |paral   |2020yCat.1350....0G
1004|TYC 3378-247-1                                                                                           |Star                           |06 06 32.1719593632 +48 41 41.258165388|164.6130699903355 +13.1897904315530|  -2.193 -0.023   |9.97     |~                 |    ~     ~    |    1| 1301.575   pc  | -30.1549    +30.1549  |paral   |2020yCat.1350....0G
1005|TYC 3378-286-1                                                                                           |Star                           |06 08 59.0769250800 +48 31 12.228329208|164.9572831752218 +13.4764192078179|  -1.019 -2.548   |10.93    |~                 |    ~     ~    |    1| 1304.121   pc  | -24.3205    +24.3205  |paral   |2020yCat.1350....0G
1006|TYC 3378-311-1                                                                                           |Star                           |06 06 32.3952613632 +47 48 19.465935696|165.4310922666546 +12.7952332923396| 22.430 -27.204   |10.95    |~                 |    ~     ~    |    1|  193.581   pc  |  -1.0980     +1.0980  |paral   |2020yCat.1350....0G
1007|TYC 3378-387-1                                                                                           |Star                           |06 09 05.5446857640 +48 13 29.337254292|165.2383169674944 +13.3634333956333|   1.694 -9.174   |10.96    |~                 |    ~     ~    |    1|  630.955   pc  |  -8.9573     +8.9573  |paral   |2020yCat.1350....0G
1008|TYC 3378-407-1                                                                                           |Star                           |06 06 37.7202833400 +47 57 00.162814212|165.3050669273169 +12.8729693236672|  -1.302 -7.342   |10.07    |~                 |    ~     ~    |    1|  297.646   pc  |  -2.0731     +2.0731  |paral   |2020yCat.1350....0G
1009|TYC 3378-434-1                                                                                           |Star                           |06 08 41.7620025408 +47 51 11.955509604|165.5514236861667 +13.1409149006746|  3.023 -11.201   |10.61    |~                 |    ~     ~    |    1|  466.114   pc  |  -3.5414     +3.5414  |paral   |2020yCat.1350....0G
1010|TYC 3378-486-1                                                                                           |Star                           |06 10 19.0984510728 +48 08 18.343016880|165.4098659860282 +13.5096552030240|   4.706 -5.861   |9.81     |~                 |    ~     ~    |    1|  600.060   pc  |  -5.0410     +5.0410  |paral   |2020yCat.1350....0G
1011|TYC 3378-559-1                                                                                           |Star                           |06 10 40.7401590552 +48 17 11.622337764|165.2993893112852 +13.6280648310056|   5.890 -6.106   |10.77    |~                 |    ~     ~    |    1|  430.182   pc  |  -4.4228     +4.4228  |paral   |2020yCat.1350....0G
1012|TYC 3378-619-1                                                                                           |Star                           |06 07 20.6517710208 +47 50 16.738594512|165.4627256195088 +12.9306460389895|    6.601 0.769   |10.33    |~                 |    ~     ~    |    1|  716.025   pc  |  -7.2802     +7.2802  |paral   |2020yCat.1350....0G
1013|TYC 3378-748-1                                                                                           |Star                           |06 07 13.1552248920 +48 01 06.328501428|165.2872353281877 +12.9918808217191| -5.472 -10.684   |10.65    |~                 |    ~     ~    |    1|  734.160   pc  |  -8.5161     +8.5161  |paral   |2020yCat.1350....0G
1014|TYC 3378-768-1                                                                                           |Star                           |06 09 14.8285758960 +48 07 46.406168580|165.3379542316370 +13.3449507892026|   -0.753 1.816   |9.95     |~                 |    ~     ~    |    1|  952.290   pc  | -14.5097    +14.5097  |paral   |2020yCat.1350....0G
1015|TYC 3378-788-1                                                                                           |Star                           |06 03 05.5988057328 +48 06 24.922288764|164.8892135998311 +12.4154416661084| 15.958 -10.292   |10.14    |~                 |    ~     ~    |    1|  548.276   pc  |  -5.0502     +5.0502  |paral   |2020yCat.1350....0G
1016|TYC 3378-822-1                                                                                           |Star                           |06 02 57.8403878880 +48 25 00.869883672|164.5962601957281 +12.5368409331006|   2.338 -3.533   |10.60    |~                 |    ~     ~    |    1|  447.107   pc  |  -2.6987     +2.6987  |paral   |2020yCat.1350....0G
1017|TYC 3378-842-1                                                                                           |Star                           |06 01 32.6736209016 +48 05 05.989827768|164.7885294381906 +12.1752843130638|  -0.966 -1.682   |10.99    |~                 |    ~     ~    |    1|  612.745   pc  |  -7.5842     +7.5842  |paral   |2020yCat.1350....0G
1018|TYC 3378-894-1                                                                                           |Star                           |06 02 34.4013129168 +48 39 19.611802476|164.3483916134654 +12.5873425524557| -3.254 -10.114   |10.76    |~                 |    ~     ~    |    1|  461.042   pc  |  -3.6560     +3.6560  |paral   |2020yCat.1350....0G
1019|TYC 3378-898-1                                                                                           |High Proper Motion Star        |06 03 15.5416058304 +48 36 46.893094560|164.4397058357669 +12.6691538500173|-16.201 -50.899   |9.89     |~                 |    ~     ~    |    1|  208.943   pc  |  -0.8339     +0.8339  |paral   |2020yCat.1350....0G
1020|TYC 3378-1028-1                                                                                          |Star                           |06 00 56.3110398984 +48 33 00.768132612|164.3181492927663 +12.2988163957595|   1.054 -5.714   |10.73    |~                 |    ~     ~    |    1|  725.268   pc  |  -9.4683     +9.4683  |paral   |2020yCat.1350....0G
1021|TYC 3378-1036-1                                                                                          |Star                           |06 01 48.9032039928 +48 25 57.685808280|164.4931053995015 +12.3742491853128| -4.889 -29.156   |9.53     |~                 |    ~     ~    |    1|  195.076   pc  |  -6.6177     +6.6177  |paral   |2020yCat.1350....0G
1022|TYC 3378-1042-1                                                                                          |Star                           |06 02 37.8703424160 +47 49 12.045790704|165.1147277750731 +12.2160435795425|  -3.409 -4.642   |10.14    |~                 |    ~     ~    |    1|  495.246   pc  |  -6.1072     +6.1072  |paral   |2020yCat.1350....0G
1023|TYC 3378-1152-1                                                                                          |Spectroscopic Binary           |06 03 29.6713641528 +48 00 28.854176868|165.0106098426464 +12.4303464899765|  4.403 -17.946   |10.76    |~                 |    ~     ~    |    1|  402.868   pc  |  -4.5607     +4.5607  |paral   |2020yCat.1350....0G
1024|TYC 3378-1184-1                                                                                          |Star                           |06 02 33.8133193032 +47 59 57.857049456|164.9460401645347 +12.2877081845578| -12.540 -2.288   |9.10     |~                 |    ~     ~    |    1|  384.852   pc  |  -2.9622     +2.9622  |paral   |2020yCat.1350....0G
1025|TYC 3378-1412-1                                                                                          |Star                           |06 01 54.1355401896 +48 00 51.989726160|164.8806957312799 +12.1961525226963|  -1.368 -9.958   |10.52    |~                 |    ~     ~    |    1| 1045.369   pc  | -19.3425    +19.3425  |paral   |2020yCat.1350....0G
1026|TYC 3378-1514-1                                                                                          |Star                           |06 04 14.2804115232 +47 59 16.998150048|165.0864369921465 +12.5322620026628| -11.810 11.904   |9.27     |~                 |    ~     ~    |    1|  385.505   pc  | -10.2098    +10.2098  |paral   |2020yCat.1350....0G
1027|TYC 3378-1546-1                                                                                          |Star                           |06 05 13.5822026232 +47 57 12.142422000|165.1944398503799 +12.6643989807369| 15.483 -25.301   |10.76    |~                 |    ~     ~    |    1|  237.237   pc  |  -0.7204     +0.7204  |paral   |2020yCat.1350....0G
1028|TYC 3378-1590-1                                                                                          |Star                           |06 01 10.8083729400 +48 11 02.265318852|164.6700404646139 +12.1665972236592|  -1.693 -8.480   |10.28    |~                 |    ~     ~    |    0|                |                       |        |                   
1029|TYC 3378-1660-1                                                                                          |Star                           |06 04 51.7202264832 +48 30 54.879042924|164.6515697280705 +12.8620269244258|  -1.552 -3.220   |9.38     |~                 |    ~     ~    |    1|  840.054   pc  | -12.1379    +12.1379  |paral   |2020yCat.1350....0G
1030|TYC 3378-1744-1                                                                                          |Spectroscopic Binary           |06 02 21.8383550520 +47 50 25.522591704|165.0752141838509 +12.1854487595083| 19.171 -56.455   |10.54    |~                 |    ~     ~    |    1|  122.208   pc  |  -0.4301     +0.4301  |paral   |2020yCat.1350....0G
1031|TYC 3378-1767-1                                                                                          |Star                           |06 03 56.5400 +47 54 58.130            |165.1292460 +12.4556146            |-13.288 -41.215   |10.33    |~                 |    ~     ~    |    0|                |                       |        |                   
1032|TYC 3379-25-1                                                                                            |Star                           |06 12 09.4426495392 +48 37 49.439936712|165.0884898977268 +13.9973276552956|  -1.736 -2.972   |9.61     |~                 |    ~     ~    |    1|  866.852   pc  | -23.5198    +23.5198  |paral   |2020yCat.1350....0G
1033|TYC 3379-126-1                                                                                           |Star                           |06 12 03.0375306312 +47 52 39.237274884|165.7807989474892 +13.6579708553100|   31.590 8.853   |10.60    |~                 |    ~     ~    |    1|  284.301   pc  |  -1.4468     +1.4468  |paral   |2020yCat.1350....0G
1034|TYC 3379-205-1                                                                                           |High Proper Motion Star        |06 11 39.2003444688 +48 36 49.368399192|165.0672295822248 +13.9149211708529| 22.373 -90.424   |9.86     |~                 |    ~     ~    |    1|  126.637   pc  |  -0.2422     +0.2422  |paral   |2020yCat.1350....0G
1035|TYC 3379-211-1                                                                                           |Star                           |06 12 21.5130028848 +48 29 10.554198648|165.2374157473893 +13.9657258306461|  -4.169 -3.683   |9.41     |~                 |    ~     ~    |    1|  595.203   pc  |  -5.8100     +5.8100  |paral   |2020yCat.1350....0G
1036|TYC 3379-492-1                                                                                           |Star                           |06 11 48.0253426104 +48 10 53.871466944|165.4797974175998 +13.7511848744989|   1.325 -6.450   |9.93     |~                 |    ~     ~    |    1|  904.650   pc  | -15.1402    +15.1402  |paral   |2020yCat.1350....0G
1037|TYC 3379-785-1                                                                                           |Star                           |06 11 47.9225640456 +47 59 09.529297656|165.6614064086002 +13.6666283283163|   0.464 -9.960   |10.25    |~                 |    ~     ~    |    1|  267.158   pc  |  -8.2151     +8.2151  |paral   |2020yCat.1350....0G
1038|TYC 3379-961-1                                                                                           |Star                           |06 12 14.5769758392 +48 14 39.501174084|165.4541543280935 +13.8446876364383|  -0.348 -1.380   |9.91     |~                 |    ~     ~    |    1|  587.441   pc  |  -5.7975     +5.7975  |paral   |2020yCat.1350....0G
1039|TYC 3382-40-1                                                                                            |Star                           |06 09 47.1434972376 +49 17 12.112649304|164.3054290094348 +13.9280711118418|  -1.480 -3.771   |9.56     |~                 |    ~     ~    |    1|  638.692   pc  |  -6.4453     +6.4453  |paral   |2020yCat.1350....0G
1040|TYC 3382-58-1                                                                                            |Spectroscopic Binary           |06 10 42.1892078928 +48 51 03.187732428|164.7772340985195 +13.8755293828368| -8.462 -19.669   |10.49    |~                 |    ~     ~    |    1|  186.015   pc  |  -6.7335     +6.7335  |paral   |2020yCat.1350....0G
1041|TYC 3382-77-1                                                                                            |Spectroscopic Binary           |06 08 41.1957385704 +50 35 35.904392052|163.0111306352528 +14.3319692342231|   0.093 -0.792   |10.54    |~                 |    ~     ~    |    1| 1226.843   pc  | -70.5913    +70.5913  |paral   |2020yCat.1350....0G
1042|TYC 3382-108-1                                                                                           |High Proper Motion Star        |06 07 41.0941631064 +49 44 24.227175624|163.7322620246197 +13.8176906224694| 32.581 -94.158   |10.84    |~                 |    ~     ~    |    1|  145.085   pc  |  -0.3200     +0.3200  |paral   |2020yCat.1350....0G
1043|TYC 3382-115-1                                                                                           |Star                           |06 08 43.7669887296 +50 17 34.458764352|163.2938804858638 +14.2086894990110|   -7.639 4.553   |10.74    |~                 |    ~     ~    |    1|  395.789   pc  |  -4.1669     +4.1669  |paral   |2020yCat.1350....0G
1044|TYC 3382-135-1                                                                                           |Star                           |06 08 32.4795947592 +50 25 17.908676652|163.1607131469370 +14.2371548961212|  -22.758 3.471   |10.93    |~                 |    ~     ~    |    1|  109.703   pc  |  -0.1901     +0.1901  |paral   |2020yCat.1350....0G
1045|TYC 3382-223-1                                                                                           |Star                           |06 08 06.1321203144 +50 32 16.458595152|163.0214064655356 +14.2243487721241|  0.886 -18.557   |10.66    |~                 |    ~     ~    |    1|  620.655   pc  |  -8.5903     +8.5903  |paral   |2020yCat.1350....0G
1046|TYC 3382-240-1                                                                                           |Star                           |06 11 13.1735386488 +49 54 15.895355688|163.8327477269931 +14.4029513778114|  4.416 -16.434   |10.59    |~                 |    ~     ~    |    1|  334.415   pc  |  -1.3979     +1.3979  |paral   |2020yCat.1350....0G
1047|TYC 3382-261-1                                                                                           |Star                           |06 08 29.5141320144 +50 19 05.381894568|163.2534922833636 +14.1853767142195| -25.383 -7.128   |10.47    |~                 |    ~     ~    |    1|  260.112   pc  |  -3.7753     +3.7753  |paral   |2020yCat.1350....0G
1048|TYC 3382-292-1                                                                                           |Star                           |06 11 08.6765790792 +49 06 49.962936888|164.5646701795975 +14.0540219131837|  -8.914 -7.535   |10.65    |~                 |    ~     ~    |    1|  244.774   pc  |  -0.7369     +0.7369  |paral   |2020yCat.1350....0G
1049|TYC 3382-301-1                                                                                           |Star                           |06 06 08.3685544176 +50 11 08.986583364|163.2075327083404 +13.7892330365722|   3.774 -4.276   |10.80    |~                 |    ~     ~    |    1|  591.226   pc  | -14.7509    +14.7509  |paral   |2020yCat.1350....0G
1050|TYC 3382-306-1                                                                                           |Star                           |06 07 23.6142755304 +49 17 21.186644928|164.1282852750289 +13.5779883000897|   3.576 -5.188   |10.49    |~                 |    ~     ~    |    1|  943.485   pc  | -12.1953    +12.1953  |paral   |2020yCat.1350....0G
1051|TYC 3382-319-1                                                                                           |Star                           |06 06 15.3591144024 +50 05 12.197912532|163.3076600173355 +13.7625133702504|   0.410 -1.521   |10.67    |~                 |    ~     ~    |    0|                |                       |        |                   
1052|TYC 3382-320-1                                                                                           |Star                           |06 08 43.0359795888 +48 48 26.928668628|164.6715278233456 +13.5622301362814|  -4.166 -2.270   |10.95    |~                 |    ~     ~    |    1|  416.528   pc  | -10.6006    +10.6006  |paral   |2020yCat.1350....0G
1053|TYC 3382-356-1                                                                                           |Star                           |06 05 56.5124224056 +49 52 48.320587704|163.4758300047480 +13.6263126693132|   4.600 -6.734   |10.78    |~                 |    ~     ~    |    1|  882.068   pc  | -11.3594    +11.3594  |paral   |2020yCat.1350....0G
1054|GSC 03382-00365                                                                                          |Double or Multiple Star        |06 08 28.249848 +50 13 15.47832        |163.342391445 +14.140339303        |    -10.3 -13.9   |10.051   |~                 |    ~     ~    |    0|                |                       |        |                   
1055|TYC 3382-382-1                                                                                           |Star                           |06 06 18.1514218968 +48 49 52.559281884|164.4698723456484 +13.2157086349882|  1.814 -10.250   |10.73    |~                 |    ~     ~    |    1|  847.314   pc  | -10.6973    +10.6973  |paral   |2020yCat.1350....0G
1056|TYC 3382-389-1                                                                                           |Star                           |06 07 07.7267888136 +50 04 57.471070296|163.3745563723830 +13.8866077430354|   0.911 14.625   |10.67    |~                 |    ~     ~    |    1|  346.212   pc  | -15.5582    +15.5582  |paral   |2020yCat.1350....0G
1057|TYC 3382-398-1                                                                                           |Star                           |06 08 57.3493227504 +49 36 26.478479736|163.9474377805673 +13.9451795336019|  -0.605 -1.528   |10.12    |~                 |    ~     ~    |    1|  713.980   pc  |  -6.6779     +6.6779  |paral   |2020yCat.1350....0G
1058|TYC 3382-518-1                                                                                           |Star                           |06 10 04.7032669416 +49 16 06.748579560|164.3435359255016 +13.9632890193435|-20.645 -30.365   |10.85    |~                 |    ~     ~    |    1|  228.571   pc  |  -0.8202     +0.8202  |paral   |2020yCat.1350....0G
1059|TYC 3382-583-1                                                                                           |Star                           |06 06 48.6612777576 +49 01 24.373154208|164.3306763618186 +13.3755671834705|   2.095 -0.502   |9.60     |~                 |    ~     ~    |    1|  660.153   pc  |  -8.8468     +8.8468  |paral   |2020yCat.1350....0G
1060|TYC 3382-618-1                                                                                           |Star                           |06 10 34.4004185784 +49 40 15.489113664|164.0045811255072 +14.2089092306435|  -3.839 -0.717   |9.26     |~                 |    ~     ~    |    1|  526.371   pc  |  -4.3499     +4.3499  |paral   |2020yCat.1350....0G
1061|TYC 3382-658-1                                                                                           |Star                           |06 09 30.0157282008 +49 35 04.893571608|164.0078142986629 +14.0149239021894| -2.308 -18.015   |9.41     |~                 |    ~     ~    |    0|                |                       |        |                   
1062|TYC 3382-729-1                                                                                           |Star                           |06 08 05.6735506848 +49 05 48.055423632|164.3579589314819 +13.5966380690082|  -1.498 -8.103   |10.11    |~                 |    ~     ~    |    1|  690.751   pc  |  -7.8250     +7.8250  |paral   |2020yCat.1350....0G
1063|TYC 3382-764-1                                                                                           |Star                           |06 09 28.0499419416 +48 55 35.763748500|164.6164527529913 +13.7251633599310|   1.270 -1.342   |10.38    |~                 |    ~     ~    |    1|  895.977   pc  | -12.4430    +12.4430  |paral   |2020yCat.1350....0G
1064|TYC 3382-768-1                                                                                           |Star                           |06 06 00.0715007376 +49 01 52.816132884|164.2630878677331 +13.2599842108479|  -13.410 1.275   |10.88    |~                 |    ~     ~    |    1|  233.481   pc  |  -0.8777     +0.8777  |paral   |2020yCat.1350....0G
1065|TYC 3382-773-1                                                                                           |Star                           |06 09 09.8144720352 +49 46 51.184324272|163.8011760595446 +14.0505378593760|  2.209 -38.569   |10.16    |~                 |    ~     ~    |    1|  310.984   pc  |  -1.9536     +1.9536  |paral   |2020yCat.1350....0G
1066|TYC 3382-807-1                                                                                           |Star                           |06 02 08.4651178512 +50 23 43.054431612|162.7228180113526 +13.3099900257440|   1.900 -2.210   |10.22    |~                 |    ~     ~    |    1|  662.076   pc  |  -7.1012     +7.1012  |paral   |2020yCat.1350....0G
1067|TYC 3382-888-1                                                                                           |Star                           |06 05 06.9603640968 +48 52 13.906939368|164.3446612695323 +13.0583171369670|  10.119 -1.683   |10.44    |~                 |    ~     ~    |    1| 1021.972   pc  | -17.1286    +17.1286  |paral   |2020yCat.1350....0G
1068|TYC 3382-909-1                                                                                           |Star                           |06 02 46.0190718504 +50 18 48.096014544|162.8440884716011 +13.3624909465065|  6.135 -14.695   |10.97    |~                 |    ~     ~    |    1|  407.249   pc  |  -3.0683     +3.0683  |paral   |2020yCat.1350....0G
1069|TYC 3382-933-1                                                                                           |Star                           |06 02 56.1591454224 +49 36 35.660806056|163.5024241269122 +13.0712208749074|   2.652 -4.801   |10.92    |~                 |    ~     ~    |    1|  272.777   pc  |  -1.4435     +1.4435  |paral   |2020yCat.1350....0G
1070|TYC 3382-988-1                                                                                           |Star                           |06 03 34.4435922768 +48 54 22.558583232|164.1953493303555 +12.8477247177575|   0.731 10.146   |10.44    |~                 |    ~     ~    |    1|  346.476   pc  |  -1.8367     +1.8367  |paral   |2020yCat.1350....0G
1071|TYC 3382-1034-1                                                                                          |Star                           |06 01 01.6069032408 +49 18 23.824071180|163.6358160608363 +12.6573081756007|  3.908 -13.767   |10.00    |~                 |    ~     ~    |    1|  454.649   pc  |  -4.1548     +4.1548  |paral   |2020yCat.1350....0G
1072|TYC 3382-1037-1                                                                                          |Star                           |06 05 10.8593464392 +49 38 25.920767652|163.6410051619238 +13.4102240958950|  39.013 -2.263   |10.55    |~                 |    ~     ~    |    1|  195.898   pc  |  -0.6102     +0.6102  |paral   |2020yCat.1350....0G
1073|TYC 3382-1054-1                                                                                          |Star                           |06 03 49.0893793752 +49 24 38.045991312|163.7512868950093 +13.1097716055713|      -12.7 3.9   |10.02    |~                 |    ~     ~    |    0|                |                       |        |                   
1074|TYC 3382-1083-1                                                                                          |Star                           |06 00 32.3853457728 +49 53 48.524720388|163.0602186926364 +12.8557975476269|  -3.690 -4.588   |10.60    |~                 |    ~     ~    |    1|  446.030   pc  |  -3.1035     +3.1035  |paral   |2020yCat.1350....0G
1075|TYC 3382-1091-1                                                                                          |Star                           |06 00 24.9823850952 +50 29 15.915454116|162.5107668724560 +13.1066743710775|   3.093 -0.167   |10.58    |~                 |    ~     ~    |    1|  944.287   pc  | -13.0185    +13.0185  |paral   |2020yCat.1350....0G
1076|TYC 3382-1132-1                                                                                          |Star                           |06 02 31.1264689704 +49 18 43.683071400|163.7438802769698 +12.8765381907263|   23.541 1.252   |10.24    |~                 |    ~     ~    |    1|  826.856   pc  | -23.8608    +23.8608  |paral   |2020yCat.1350....0G
1077|TYC 3382-1170-1                                                                                          |Star                           |06 04 01.5362277864 +49 36 16.438692312|163.5885457115321 +13.2266438374255|  0.571 -10.882   |10.61    |~                 |    ~     ~    |    1|  621.504   pc  |  -6.0258     +6.0258  |paral   |2020yCat.1350....0G
1078|GSC 03382-01175                                                                                          |Double or Multiple Star        |06 03 05.8253368248 +50 21 01.362476988|162.8342654247533 +13.4261635591077|   0.007 -7.759   |10.296   |~                 |    ~     ~    |    1|  567.215   pc  |  -6.7564     +6.7564  |paral   |2020yCat.1350....0G
1079|TYC 3382-1220-1                                                                                          |Star                           |06 00 51.1909179960 +49 21 12.201141276|163.5799364538686 +12.6534500700340| -3.012 -28.041   |9.52     |~                 |    ~     ~    |    1|  437.254   pc  |  -3.1355     +3.1355  |paral   |2020yCat.1350....0G
1080|TYC 3382-1246-1                                                                                          |Star                           |06 04 18.9732733584 +49 17 42.140038020|163.8946365930251 +13.1306409303055|-16.558 -26.719   |10.54    |~                 |    ~     ~    |    1|  369.085   pc  |  -1.8799     +1.8799  |paral   |2020yCat.1350....0G
1081|TYC 3382-1252-1                                                                                          |Star                           |06 05 13.0696163952 +50 01 32.898780696|163.2884194809714 +13.5860821214864| -0.235 -41.425   |10.69    |~                 |    ~     ~    |    1|  159.880   pc  |  -0.4601     +0.4601  |paral   |2020yCat.1350....0G
1082|TYC 3382-1285-1                                                                                          |Star                           |06 02 44.3842290432 +50 34 44.015534760|162.5979328674645 +13.4773730788285| -23.598 -9.431   |9.57     |~                 |    ~     ~    |    1|  288.492   pc  |  -3.5954     +3.5954  |paral   |2020yCat.1350....0G
1083|TYC 3382-1458-1                                                                                          |Star                           |06 01 25.7152758360 +49 17 04.471174716|163.6864939110011 +12.7056090875104|   2.033 -2.490   |10.44    |~                 |    ~     ~    |    1|  244.320   pc  |  -0.9133     +0.9133  |paral   |2020yCat.1350....0G
1084|TYC 3382-1468-1                                                                                          |Star                           |06 01 24.2429361840 +49 17 26.009970252|163.6791663695829 +12.7047650779852|  -0.116 -5.743   |10.85    |~                 |    ~     ~    |    1|  728.173   pc  | -19.9899    +19.9899  |paral   |2020yCat.1350....0G
1085|TYC 3383-105-1                                                                                           |Star                           |06 12 49.6498012632 +50 27 13.393736532|163.4306957449324 +14.8684372608651|-34.729 -33.320   |10.26    |~                 |    ~     ~    |    1|  201.524   pc  |  -0.5686     +0.5686  |paral   |2020yCat.1350....0G
1086|TYC 3383-235-1                                                                                           |Star                           |06 11 39.2589422328 +50 30 22.344854112|163.3001915343231 +14.7212377520882|   5.930 -7.857   |10.84    |~                 |    ~     ~    |    1|  646.998   pc  | -27.6699    +27.6699  |paral   |2020yCat.1350....0G
1087|TYC 3383-431-1                                                                                           |Star                           |06 11 56.9006478168 +50 09 16.396113852|163.6501171351423 +14.6151018537974|   -7.056 8.464   |10.13    |~                 |    ~     ~    |    1|  152.933   pc  |  -0.3859     +0.3859  |paral   |2020yCat.1350....0G
1088|TYC 3383-853-1                                                                                           |Star                           |06 12 35.2233293184 +50 20 21.275210364|163.5215177840127 +14.7855825345555|   4.470 -9.732   |10.45    |~                 |    ~     ~    |    1|  806.192   pc  |  -9.6842     +9.6842  |paral   |2020yCat.1350....0G
1089|TYC 3383-892-1                                                                                           |High Proper Motion Star        |06 12 50.2398895176 +49 19 13.229582160|164.4935777050949 +14.3920823634395|-110.136 -73.884  |10.02    |~                 |    ~     ~    |    1|   46.893   pc  |  -0.0251     +0.0251  |paral   |2020yCat.1350....0G
1090|TYC 3383-967-1                                                                                           |Star                           |06 11 32.6905496232 +50 14 42.139205232|163.5371541277475 +14.5949133152589| -6.601 -25.482   |10.95    |~                 |    ~     ~    |    1|  199.175   pc  |  -0.5038     +0.5038  |paral   |2020yCat.1350....0G
1091|TYC 3383-1057-1                                                                                          |Star                           |06 12 19.0557825720 +49 55 54.164253972|163.8846916793079 +14.5745817514038|  3.174 -12.781   |9.65     |~                 |    ~     ~    |    1|  389.469   pc  |  -2.0023     +2.0023  |paral   |2020yCat.1350....0G
1092|BD+48 1340                                                                                               |Variable Star                  |06 06 12.0 +48 23 00                   |164.8743 +13.0017                  |            ~ ~   |9.5      |~                 |    ~     ~    |    0|                |                       |        |                   
1093|BD+47 1225                                                                                               |Star                           |06 00 05.4035045424 +47 42 41.125016160|165.0127945425910 +11.7868725603803|   5.882 -6.921   |8.97     |K2                |    ~     ~    |    1|  723.170   pc  | -10.6687    +10.6687  |paral   |2020yCat.1350....0G
1094|BD+47 1232                                                                                               |Star                           |06 01 40.0015212120 +47 32 32.557086996|165.2912251338282 +11.9446632581812|  -7.094 -3.977   |10.97    |G0                |    ~     ~    |    1|  631.632   pc  | -14.5221    +14.5221  |paral   |2020yCat.1350....0G
1095|HD 40650                                                                                                 |High Proper Motion Star        |06 02 45.1413008808 +47 48 34.306629372|165.1337622601302 +12.2293747171492|  35.561 95.239   |6.49     |F5                |    ~     ~    |    1|   27.597   pc  |  -0.0206     +0.0206  |paral   |2020yCat.1350....0G
1096|BD+46 1077                                                                                               |Double or Multiple Star        |06 00 00.4375 +46 42 58.224            |165.9057910 +11.3122674            |    9.40 -40.40   |9.33     |F5                |    ~     ~    |    0|                |                       |        |                   
1097|BD+46 1078                                                                                               |Star                           |06 00 06.2370356040 +46 54 47.383368912|165.7358061565016 +11.4185939258113|   -0.811 4.249   |9.37     |K2                |    ~     ~    |    1|  713.725   pc  | -10.1371    +10.1371  |paral   |2020yCat.1350....0G
1098|HD 40324                                                                                                 |Star                           |06 00 28.6948942080 +46 38 22.508446956|166.0132667402509 +11.3481281773325| 16.241 -39.019   |8.53     |F5                |    ~     ~    |    1|   98.985   pc  |  -0.3547     +0.3547  |paral   |2020yCat.1350....0G
