C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:56:21

Vmag< 11&dec >=0&rah >=7.5&rah< 7.75
------------------------------------

Number of objects : 5656

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
437 |TYC 4121-41-1                                                                                            |Star                           |07 44 59.0229148920 +64 08 28.825465380|152.2729321814117 +30.0129563362332|   8.345 -6.902   |10.64    |~                 |    ~     ~    
438 |TYC 4121-145-1                                                                                           |Star                           |07 44 34.6344238848 +63 54 44.043909624|152.5365115410808 +29.9644513573045|  3.446 -19.534   |10.84    |~                 |    ~     ~    
439 |TYC 4121-201-1                                                                                           |Star                           |07 44 09.1192220424 +63 52 03.700999416|152.5867936104104 +29.9167603915915|   1.007 -6.613   |10.96    |~                 |    ~     ~    
440 |TYC 4121-276-1                                                                                           |Star                           |07 43 02.8821053544 +65 06 11.013445836|151.1600186057108 +29.8195305165370|    2.511 0.265   |9.96     |~                 |    ~     ~    
441 |TYC 4121-1210-1                                                                                          |Star                           |07 44 36.2413006656 +64 35 06.567554868|151.7598630574446 +29.9781277381153|    4.644 7.228   |10.55    |~                 |    ~     ~    
442 |* 48 Cam                                                                                                 |Star                           |07 39 58.6048258728 +59 33 47.887343388|157.5002345846913 +29.2039039616568|   -3.902 1.314   |7.23     |A2                |    ~     ~    
443 |BD+63 716                                                                                                |Star                           |07 32 16.3580617944 +62 42 32.996361168|153.8356817388441 +28.5256183633984|   -1.909 2.703   |8.75     |A2                |    ~     ~    
444 |BD+62 928                                                                                                |Star                           |07 30 36.0708614712 +62 20 57.935835384|154.2250285256301 +28.3035806272248|   2.240 -4.719   |9.02     |F0                |    ~     ~    
445 |BD+62 931                                                                                                |Star                           |07 31 18.6555662016 +62 27 34.791116220|154.1082889017458 +28.3949737488568|  8.250 -29.197   |9.44     |F0                |    ~     ~    
446 |HD 58917                                                                                                 |Star                           |07 31 36.1098587784 +62 30 06.587301636|154.0637116565063 +28.4319856261150|-11.433 -26.252   |6.99     |A0                |    ~     ~    
447 |BD+62 935                                                                                                |Star                           |07 32 56.9944762728 +62 36 30.455074584|153.9568655683401 +28.5953342067488|  -0.133 -7.224   |7.88     |G0                |    ~     ~    
448 |BD+62 936                                                                                                |Star                           |07 33 51.4535 +62 09 51.571            |154.4706105 +28.6659113            |    -0.90 11.30   |9.55     |G5                |    ~     ~    
449 |BD+62 937                                                                                                |Star                           |07 34 02.0926155360 +62 09 55.450571616|154.4712083477936 +28.6866314800182|  10.231 -5.018   |9.58     |G5                |    ~     ~    
450 |BD+62 938                                                                                                |Star                           |07 33 59.7910307760 +61 59 06.633210048|154.6756120671270 +28.6681254548212|   8.092 18.331   |9.09     |F8                |    ~     ~    
451 |BD+62 943                                                                                                |Spectroscopic Binary           |07 36 27.5019046128 +62 30 06.023390076|154.1110106828117 +28.9910319518144|-10.495 -29.345   |9.88     |~                 |    ~     ~    
452 |BD+62 946                                                                                                |Star                           |07 38 35.6266430112 +62 24 14.534359344|154.2397834328652 +29.2315150203815|-11.341 -37.100   |9.36     |F5                |    ~     ~    
453 |BD+62 947                                                                                                |Star                           |07 38 55.6936707480 +62 10 54.787558224|154.4965369667854 +29.2574769844205|   29.678 5.888   |9.57     |K0                |    ~     ~    
454 |HD 59033                                                                                                 |High Proper Motion Star        |07 32 02.2180681608 +61 45 28.022721912|154.9116058836972 +28.4189863179008|-15.364 -118.583  |6.694    |G5                |    ~     ~    
455 |BD+62 939                                                                                                |Star                           |07 34 07.4381847048 +61 46 09.912359820|154.9220918052087 +28.6659336609168|-20.157 -38.994   |10.13    |F8                |    ~     ~    
456 |HD 58807                                                                                                 |Star                           |07 30 55.5234587640 +61 05 35.332941372|155.6492143109626 +28.2245679143546|   -1.944 9.441   |9.06     |F0                |    ~     ~    
457 |HD 59146                                                                                                 |Star                           |07 32 26.6738972736 +61 16 21.327608244|155.4660268269291 +28.4238399340670|  -1.071 -1.497   |9.90     |F                 |    ~     ~    
458 |HD 59505                                                                                                 |Star                           |07 34 10.6649002536 +61 19 13.520004528|155.4325989186912 +28.6353383179316|   1.778 -8.121   |9.35     |G5                |    ~     ~    
459 |HD 58965                                                                                                 |Star                           |07 31 31.2234396432 +60 29 42.979929756|156.3326494316339 +28.2368527779999|-12.785 -18.422   |9.14     |G                 |    ~     ~    
460 |HD 58966                                                                                                 |High Proper Motion Star        |07 31 35.7280339200 +60 28 02.559038016|156.3652178683832 +28.2432094758919| 19.219 -53.508   |8.78     |F5                |    ~     ~    
461 |HD 59506                                                                                                 |Star                           |07 33 57.0081434952 +60 00 59.441970312|156.9081545084258 +28.4889790865484|-13.139 -12.409   |7.89     |K0III             |    ~     ~    
462 |BD+62 942                                                                                                |Star                           |07 36 00.8010728808 +61 44 02.232636612|154.9820651873697 +28.8860985218026| -27.838 -0.527   |9.28     |K2                |    ~     ~    
463 |BD+62 951                                                                                                |Star                           |07 43 28.8889647600 +61 45 34.971145272|155.0127921272819 +29.7698318135286|-10.801 -35.312   |9.64     |F5                |    ~     ~    
464 |BD+61 981                                                                                                |Star                           |07 36 27.8561409144 +61 29 35.768425992|155.2607701173912 +28.9217576884732|  17.156 -9.869   |8.75     |K5                |    ~     ~    
465 |BD+61 982                                                                                                |High Proper Motion Star        |07 37 22.8695268192 +61 09 15.040314828|155.6565894068947 +29.0063128688950| -8.640 -58.739   |10.066   |G0                |    ~     ~    
466 |HD 60406                                                                                                 |Star                           |07 38 04.7517558216 +61 32 00.092000292|155.2306749350403 +29.1166794242306|  26.982 22.472   |7.360    |F5                |    ~     ~    
467 |BD+61 986                                                                                                |Star                           |07 41 30.8569687152 +61 35 17.612072160|155.1965058166634 +29.5282329384123|  24.868 10.257   |9.32     |K0                |    ~     ~    
468 |HD 61172                                                                                                 |Star                           |07 41 43.8737092920 +61 05 08.676965652|155.7747571396596 +29.5258645098260|  -3.901 -1.141   |8.67     |K0                |    ~     ~    
469 |TYC 4112-113-1                                                                                           |Star                           |07 42 27.7776003984 +61 37 51.766484160|155.1541192133472 +29.6430877302248|  -7.702 16.049   |10.9     |~                 |    ~     ~    
470 |BD+61 990                                                                                                |Star                           |07 42 26.7355557984 +61 38 53.254208400|155.1343729679249 +29.6418867071377| -7.191 -21.991   |9.82     |K2                |    ~     ~    
471 |BD+61 992                                                                                                |Star                           |07 42 52.2841220928 +60 42 33.283364580|156.2162404854056 +29.6423552530240|-18.726 -10.211   |10.01    |F5                |    ~     ~    
472 |BD+61 993                                                                                                |High Proper Motion Star        |07 43 29.6247128232 +61 05 14.989309836|155.7862625457804 +29.7386748664381|-32.701 -49.632   |10.29    |F5                |    ~     ~    
473 |HD 61804                                                                                                 |Double or Multiple Star        |07 44 51.2045483714 +61 11 57.679715126|155.6666979955577 +29.9079812362892|   3.751 -1.254   |9.74     |F                 |    ~     ~    
474 |HD 59844                                                                                                 |Star                           |07 35 30.8444990952 +60 38 30.096130488|156.2192127719430 +28.7390362110912|   3.056 -2.026   |8.52     |G5                |    ~     ~    
475 |BD+60 1064                                                                                               |High Proper Motion Star        |07 35 54.8293355832 +59 58 18.989452272|156.9850222554410 +28.7291963403143|-52.926 -98.310   |10.54    |G5                |    ~     ~    
476 |BD+60 1065                                                                                               |Star                           |07 36 11.3810956368 +59 57 59.556404412|156.9947081295719 +28.7630829100073| -3.911 -21.774   |10.18    |G5                |    ~     ~    
477 |BD+60 1066                                                                                               |Double or Multiple Star        |07 37 16.2120 +60 35 30.409            |156.2963782 +28.9495691            |       3.8 -8.0   |9.90     |F2                |    ~     ~    
478 |HD 60293                                                                                                 |Star                           |07 37 32.4457229640 +60 32 19.021834428|156.3599733861597 +28.9784714433146|   -2.933 4.230   |6.99     |A0                |    ~     ~    
479 |BD+60 1070                                                                                               |Star                           |07 38 11.2993649400 +60 05 13.132469760|156.8820510665078 +29.0221002320153|   3.622 -3.273   |9.52     |K5                |    ~     ~    
480 |HIP 37607                                                                                                |High Proper Motion Star        |07 42 57.3835425888 +60 17 44.332883448|156.6919503141542 +29.6280577243618|  -92.904 4.012   |10.37    |K2                |    ~     ~    
481 |BD+60 1073                                                                                               |Double or Multiple Star        |07 43 15.6365442576 +60 15 29.676905244|156.7375682650762 +29.6634011024925|     -3.9 -26.4   |10.408   |F8                |    ~     ~    
482 |HD 59621                                                                                                 |Star                           |07 34 26.5877706216 +59 50 14.291670408|157.1179743689671 +28.5329810062585|    6.182 5.597   |8.270    |K1III-IV          |    ~     ~    
483 |BD+60 1071                                                                                               |Star                           |07 39 46.1827842120 +59 45 54.565385616|157.2673506425346 +29.1938398781550|   0.331 -2.760   |10.38    |A5                |    ~     ~    
484 |TYC 3793-1286-1                                                                                          |Star                           |07 30 08.6881293648 +59 58 41.389904388|156.8949562100749 +28.0118767622980|   7.984 -6.314   |10.59    |~                 |    ~     ~    
485 |TYC 3794-1005-1                                                                                          |Star                           |07 39 23.6231649936 +59 39 46.802676240|157.3796331856356 +29.1384317895531|-30.325 -35.775   |10.37    |~                 |    ~     ~    
486 |TYC 4112-71-1                                                                                            |Star                           |07 42 10.5793742112 +61 49 15.537492048|154.9339303633427 +29.6186704116316| -26.715 -9.301   |10.84    |~                 |    ~     ~    
487 |TYC 4112-103-1                                                                                           |Star                           |07 39 36.4490590272 +61 36 57.721275504|155.1495951797571 +29.3035049772349|  -2.684 -5.232   |10.80    |~                 |    ~     ~    
488 |TYC 4112-214-1                                                                                           |Star                           |07 31 06.9105069504 +60 51 35.413432344|155.9152944491621 +28.2243069366959|-12.030 -18.843   |10.60    |~                 |    ~     ~    
489 |TYC 4112-278-1                                                                                           |Star                           |07 32 34.3841623128 +61 22 35.876614692|155.3497835792866 +28.4486126158793| -0.507 -10.011   |10.50    |~                 |    ~     ~    
490 |TYC 4112-311-1                                                                                           |Star                           |07 37 14.5293578376 +61 36 53.821657368|155.1296871715440 +29.0229307049776|  -1.341 -5.952   |10.50    |~                 |    ~     ~    
491 |TYC 4112-386-1                                                                                           |Star                           |07 35 13.2937490376 +60 57 39.182518260|155.8530549333943 +28.7305881237415| -2.214 -12.580   |10.80    |~                 |    ~     ~    
492 |TYC 4112-409-1                                                                                           |Star                           |07 34 25.7939288112 +61 39 48.573227052|155.0457582369073 +28.6935545898611|  -5.442 -1.519   |10.43    |~                 |    ~     ~    
493 |TYC 4112-424-1                                                                                           |Star                           |07 34 08.9030831400 +61 13 30.571437684|155.5403990854320 +28.6237357394871|-11.429 -27.299   |10.27    |~                 |    ~     ~    
494 |TYC 4112-554-1                                                                                           |Star                           |07 38 43.2338460888 +60 02 28.858864272|156.9402017415793 +29.0846086233527| -3.648 -26.721   |10.55    |~                 |    ~     ~    
495 |TYC 4112-575-1                                                                                           |Star                           |07 31 04.3091239368 +61 45 14.954244264|154.9040287010986 +28.3049395709222|-13.391 -22.961   |10.46    |~                 |    ~     ~    
496 |TYC 4112-603-1                                                                                           |Star                           |07 35 05.9095436712 +61 28 32.900359548|155.2663469220488 +28.7578938434590|-10.634 -19.944   |10.64    |~                 |    ~     ~    
497 |TYC 4112-626-1                                                                                           |Star                           |07 39 24.2807931960 +61 08 26.371193892|155.6916847767917 +29.2488730350552| -6.749 -39.391   |9.75     |~                 |    ~     ~    
498 |TYC 4112-631-1                                                                                           |High Proper Motion Star        |07 33 43.4935113384 +60 44 40.249305492|156.0804042984164 +28.5300719872862|-16.804 -57.126   |10.59    |~                 |    ~     ~    
499 |TYC 4112-638-1                                                                                           |Star                           |07 31 13.0541355264 +60 02 46.683235284|156.8348191084623 +28.1525747737440| -27.535 -6.441   |10.90    |~                 |    ~     ~    
500 |TYC 4112-648-1                                                                                           |Star                           |07 41 52.6921157880 +60 59 12.239098368|155.8895556110732 +29.5378166178359|  -0.996 -5.400   |10.86    |~                 |    ~     ~    
501 |TYC 4112-674-1                                                                                           |Star                           |07 39 25.4787870624 +60 51 01.701573084|156.0236647157098 +29.2315530363329|   -1.505 4.060   |10.24    |~                 |    ~     ~    
502 |TYC 4112-681-1                                                                                           |Star                           |07 35 35.0363151192 +61 05 44.386557756|155.7039739445541 +28.7854536728722|    0.306 4.942   |10.48    |~                 |    ~     ~    
503 |TYC 4112-782-1                                                                                           |Star                           |07 31 47.5242586032 +60 02 00.714122664|156.8578663482184 +28.2225392208620| -3.274 -32.909   |10.73    |~                 |    ~     ~    
504 |TYC 4112-849-1                                                                                           |Star                           |07 35 58.5816489600 +60 45 09.742858056|156.0984691766590 +28.8047770331737|-23.905 -42.751   |9.91     |~                 |    ~     ~    
505 |TYC 4112-947-1                                                                                           |Star                           |07 33 11.6126065152 +60 50 34.096728228|155.9622450166530 +28.4745723418325|  -11.591 4.199   |9.81     |~                 |    ~     ~    
506 |TYC 4112-972-1                                                                                           |Star                           |07 41 18.4288962720 +60 25 29.693528040|156.5286624900200 +29.4328607738306|  3.247 -15.156   |10.64    |~                 |    ~     ~    
507 |TYC 4112-1008-1                                                                                          |Star                           |07 37 29.5755848928 +60 28 26.525086104|156.4330225155748 +28.9674504757527|  4.270 -10.999   |10.42    |~                 |    ~     ~    
508 |TYC 4112-1125-1                                                                                          |High Proper Motion Star        |07 36 45.3954171936 +60 10 52.302750996|156.7577648209921 +28.8523500240561|  1.045 -69.314   |10.83    |~                 |    ~     ~    
509 |TYC 4112-1237-1                                                                                          |Spectroscopic Binary           |07 41 54.8552775648 +61 14 43.399684284|155.5930131511774 +29.5570501276630|  -0.841 -4.191   |9.98     |~                 |    ~     ~    
510 |TYC 4112-1264-1                                                                                          |Star                           |07 34 01.4308133784 +60 00 47.149317324|156.9130418514075 +28.4978125194980| -3.070 -10.588   |10.6     |~                 |    ~     ~    
511 |TYC 4112-1331-1                                                                                          |Star                           |07 37 23.0602121424 +61 22 12.445360104|155.4103432354401 +29.0224588436651|   -6.847 7.152   |10.96    |~                 |    ~     ~    
512 |TYC 4112-1347-1                                                                                          |Star                           |07 42 26.9208905256 +60 12 05.280799788|156.7954730675914 +29.5592529717922| -11.164 -3.939   |10.71    |~                 |    ~     ~    
513 |TYC 4112-1608-1                                                                                          |Star                           |07 40 06.1954361712 +60 19 54.007815504|156.6235727017682 +29.2780002440619|-13.092 -16.069   |10.74    |~                 |    ~     ~    
514 |TYC 4112-1639-1                                                                                          |Star                           |07 37 17.7926247312 +60 07 38.924185584|156.8254084723797 +28.9147229414508|  36.386 30.840   |10.23    |~                 |    ~     ~    
515 |TYC 4113-1338-1                                                                                          |Star                           |07 44 14.2167424872 +61 25 30.294718644|155.4027520829520 +29.8443826961766|-13.646 -17.305   |10.27    |~                 |    ~     ~    
516 |TYC 4116-110-1                                                                                           |Spectroscopic Binary           |07 34 11.0548822968 +62 29 32.802117684|154.1008701263914 +28.7284773538309| -28.789 -9.323   |10.91    |~                 |    ~     ~    
517 |TYC 4116-165-1                                                                                           |Spectroscopic Binary           |07 31 06.3686767392 +62 39 47.643281064|153.8754514978121 +28.3885287416746|  18.424 -4.646   |10.36    |~                 |    ~     ~    
518 |TYC 4116-218-1                                                                                           |Star                           |07 34 29.6998561896 +62 37 43.078674972|153.9488748344414 +28.7739896379065|   -1.315 2.174   |10.91    |~                 |    ~     ~    
519 |TYC 4116-1047-1                                                                                          |Star                           |07 41 53.5042661376 +62 00 05.689172484|154.7245695445878 +29.5940947070001| -4.361 -18.600   |10.62    |~                 |    ~     ~    
520 |TYC 4116-1112-1                                                                                          |Spectroscopic Binary           |07 37 42.6793098936 +62 12 34.708864500|154.4549761198409 +29.1175075088203|   3.413 -6.179   |10.90    |~                 |    ~     ~    
521 |TYC 4116-1113-1                                                                                          |Star                           |07 35 33.3033364992 +61 54 47.069485632|154.7735393980919 +28.8453276398166|   14.265 2.253   |9.75     |~                 |    ~     ~    
522 |TYC 4116-1409-1                                                                                          |Star                           |07 35 54.3452552016 +61 57 01.565386668|154.7344191057762 +28.8891896611066|   11.071 3.104   |10.69    |~                 |    ~     ~    
523 |TYC 4116-1426-1                                                                                          |Star                           |07 36 24.6560272440 +62 11 27.073186692|154.4651182105648 +28.9649859509206|  12.228 11.279   |10.41    |~                 |    ~     ~    
524 |TYC 4116-1461-1                                                                                          |Star                           |07 31 24.4997390040 +62 18 58.361092200|154.2718606047851 +28.3940438052787|   0.046 -0.455   |10.03    |~                 |    ~     ~    
525 |TYC 4116-1533-1                                                                                          |Star                           |07 40 13.7871133008 +62 05 37.557923136|154.6072654632627 +29.4043487280336|   3.422 -6.496   |10.10    |~                 |    ~     ~    
526 |TYC 4116-1716-1                                                                                          |High Proper Motion Star        |07 33 36.6897821249 +61 54 31.514336992|154.7582932463318 +28.6169000432312|-34.372 -92.992   |10.27    |~                 |    ~     ~    
527 |TYC 4116-1748-1                                                                                          |Star                           |07 35 34.6429242288 +61 58 14.891716596|154.7080284813485 +28.8521764996633|   6.052 -7.280   |10.41    |~                 |    ~     ~    
528 |TYC 4116-1791-1                                                                                          |Star                           |07 39 44.6595983928 +62 03 36.051604848|154.6423309882307 +29.3457357649582|    3.196 4.797   |10.86    |~                 |    ~     ~    
529 |TYC 4112-1519-1                                                                                          |Star                           |07 31 09.4989852192 +61 18 09.276829704|155.4156896532625 +28.2728382842053| -21.514 27.331   |10.73    |K0                |    ~     ~    
530 |V* FG Cam                                                                                                |RS CVn Variable                |07 42 50.4919771843 +61 09 26.553240718|155.7011465745865 +29.6637240945039| -8.594 -12.188   |7.88     |K0III             |0.0948 0.0907  
531 |BD+60 1058                                                                                               |Star                           |07 30 09.3347352576 +59 46 53.154234552|157.1165279895773 +27.9910712932134| -8.356 -14.628   |10.64    |F5                |    ~     ~    
532 |HD 58828                                                                                                 |Star                           |07 30 50.4376626216 +59 24 46.619638236|157.5423768772106 +28.0352021019012|  -3.119 -1.489   |9.71     |A5                |    ~     ~    
533 |HD 58944                                                                                                 |Star                           |07 31 22.2630520392 +59 19 16.307604840|157.6543960588580 +28.0918850957493| -4.771 -18.434   |8.54     |G8III-IV          |    ~     ~    
534 |HD 59223                                                                                                 |Star                           |07 32 22.2593549520 +58 49 59.524117572|158.2207218264771 +28.1639990437225|   0.087 -0.704   |9.51     |A0                |    ~     ~    
535 |HD 58745                                                                                                 |High Proper Motion Star        |07 30 27.9532532328 +58 13 13.063805220|158.8759374336596 +27.8433434983768|20.143 -121.210   |8.95     |G0                |    ~     ~    
536 |HD 237623                                                                                                |Star                           |07 31 59.7133541520 +58 13 55.092474732|158.8910450394116 +28.0445640889490|   10.152 6.510   |10.75    |F2                |    ~     ~    
537 |HD 59307                                                                                                 |Star                           |07 32 53.1637667016 +58 31 30.585791496|158.5765854905763 +28.1951561599339|-10.454 -18.703   |9.19     |F2                |    ~     ~    
538 |BD+59 1091A                                                                                              |Star                           |07 34 50.4885731952 +59 33 19.478960172|157.4429334197551 +28.5553637616180|   3.373 -6.790   |10.21    |K0                |    ~     ~    
539 |BD+59 1091B                                                                                              |Star                           |07 34 47.1170167248 +59 33 28.437470388|157.4393144911459 +28.5485260972975|   5.830 10.049   |10.51    |F8                |    ~     ~    
540 |HD 59974                                                                                                 |Star                           |07 35 54.1617134976 +59 31 44.602519008|157.4876457851088 +28.6866647854287|  3.358 -18.368   |8.25     |K2                |    ~     ~    
541 |BD+59 1093                                                                                               |High Proper Motion Star        |07 35 57.1522063104 +58 54 21.187362204|158.1951266345735 +28.6320303720795|-51.484 -84.842   |10.98    |~                 |    ~     ~    
542 |HD 60042                                                                                                 |Star                           |07 36 11.7324501264 +59 24 20.828737728|157.6315748870851 +28.7119726552503|  3.620 -12.837   |10.17    |A2                |    ~     ~    
543 |HD 59488                                                                                                 |Star                           |07 33 27.1115455080 +57 47 51.952264044|159.4061010483868 +28.1837297125873|    5.383 1.321   |9.26     |G5                |    ~     ~    
544 |TYC 3789-756-1                                                                                           |Star                           |07 31 26.5566542592 +57 58 18.111510948|159.1733645241249 +27.9400417803769|  -3.626 -8.158   |10.65    |~                 |    ~     ~    
545 |TYC 3789-1153-1                                                                                          |Star                           |07 30 53.0230155048 +57 55 39.323295300|159.2122514776174 +27.8609084011767|  14.476 -6.533   |9.74     |~                 |    ~     ~    
546 |TYC 3789-1394-1                                                                                          |Star                           |07 31 50.3752658424 +57 54 05.198331888|159.2597370956450 +27.9835291592777| 10.100 -39.006   |10.72    |~                 |    ~     ~    
547 |TYC 3790-321-1                                                                                           |Star                           |07 33 38.5427148792 +57 59 44.037832416|159.1866377735549 +28.2323398880394|  6.195 -12.948   |9.61     |~                 |    ~     ~    
548 |TYC 3793-208-1                                                                                           |Star                           |07 30 14.1347955888 +58 54 58.851624708|158.0903994574143 +27.8997443042649| -7.258 -22.882   |10.48    |~                 |    ~     ~    
549 |TYC 3793-231-1                                                                                           |Star                           |07 30 02.2754546088 +58 10 31.165949604|158.9182368557957 +27.7816851732851|    3.761 0.708   |10.48    |~                 |    ~     ~    
550 |TYC 3793-244-1                                                                                           |Star                           |07 30 46.2291478896 +59 30 29.789405424|157.4339317791805 +28.0372228317262|  2.100 -17.822   |10.99    |~                 |    ~     ~    
551 |TYC 3793-508-1                                                                                           |Star                           |07 32 16.1999144256 +59 24 53.439065136|157.5632906255849 +28.2161015500852|   2.276 -1.367   |10.74    |~                 |    ~     ~    
552 |TYC 3793-630-1                                                                                           |Star                           |07 32 05.7253377744 +59 32 55.904180568|157.4093705045803 +28.2086653613588|  -1.776 -9.028   |9.88     |~                 |    ~     ~    
553 |TYC 3793-895-1                                                                                           |Star                           |07 30 18.7477108512 +59 30 37.233908568|157.4240656594425 +27.9797421496031|  -8.400 -8.241   |10.79    |~                 |    ~     ~    
554 |TYC 3793-1641-1                                                                                          |Star                           |07 31 55.6786509648 +59 05 32.359875648|157.9213764391722 +28.1367587007722|    4.320 0.486   |10.75    |~                 |    ~     ~    
555 |TYC 3793-1731-1                                                                                          |Pulsating Variable             |07 30 01.4809861464 +59 13 01.783924068|157.7487879402343 +27.9089613311638|   2.949 -1.456   |10.61    |~                 |    ~     ~    
556 |TYC 3794-56-1                                                                                            |Star                           |07 38 02.5253784648 +59 03 55.628121060|158.0434647816569 +28.9152917213451|  17.084 -4.752   |10.00    |~                 |    ~     ~    
557 |TYC 3794-76-1                                                                                            |High Proper Motion Star        |07 34 35.1196333944 +58 51 38.969447220|158.2253602908790 +28.4516814781502|-10.353 -89.138   |10.81    |~                 |    ~     ~    
558 |TYC 3794-121-1                                                                                           |Star                           |07 38 11.5274881992 +59 19 10.959922056|157.7560986353767 +28.9573513106723|  -0.862 -3.188   |10.87    |~                 |    ~     ~    
559 |TYC 3794-185-1                                                                                           |Star                           |07 33 45.1040352552 +59 17 16.020818412|157.7297489990072 +28.3902401371861|   45.003 9.491   |10.86    |~                 |    ~     ~    
560 |TYC 3794-209-1                                                                                           |Star                           |07 35 37.1633016576 +59 31 41.965540788|157.4845667893283 +28.6508423287653|-12.757 -30.270   |10.77    |~                 |    ~     ~    
561 |TYC 3794-245-1                                                                                           |Star                           |07 33 48.6733216128 +58 41 42.279895644|158.4003275486874 +28.3340215181285|  0.463 -20.739   |10.35    |~                 |    ~     ~    
562 |TYC 3794-515-1                                                                                           |Star                           |07 33 54.5718559560 +59 15 32.096631420|157.7647886182987 +28.4072570800836|  5.318 -18.872   |10.59    |~                 |    ~     ~    
563 |TYC 3794-611-1                                                                                           |Star                           |07 39 51.1405128432 +59 24 00.175140108|157.6851596276134 +29.1749615524579|   3.786 -5.129   |10.55    |~                 |    ~     ~    
564 |TYC 3794-818-1                                                                                           |Star                           |07 35 25.9721453064 +59 23 40.586231148|157.6335765842000 +28.6142895516371|  5.256 -28.629   |10.99    |~                 |    ~     ~    
565 |TYC 3794-871-1                                                                                           |Star                           |07 34 18.7582501992 +59 17 26.007060084|157.7350826798353 +28.4617542907201|   -3.930 4.245   |10.13    |~                 |    ~     ~    
566 |TYC 3794-1500-1                                                                                          |Star                           |07 38 10.6832674632 +59 12 44.456861736|157.8781213712015 +28.9459814433092| -15.345 -2.160   |10.66    |~                 |    ~     ~    
567 |HD 61657                                                                                                 |Star                           |07 43 46.4344576320 +59 17 20.741094636|157.8553676978660 +29.6650648092899|  -7.336 12.010   |7.65     |F0                |    ~     ~    
568 |TYC 3794-45-1                                                                                            |High Proper Motion Star        |07 40 31.0823486400 +59 26 39.544421244|157.6424046571477 +29.2629099087078|-22.897 -71.312   |10.66    |~                 |    ~     ~    
569 |TYC 3794-108-1                                                                                           |Star                           |07 44 10.1511541512 +59 42 39.677093964|157.3744665483874 +29.7428895468887| -10.121 -9.740   |10.49    |~                 |    ~     ~    
570 |TYC 3794-1012-1                                                                                          |Star                           |07 43 38.5806522192 +59 41 06.326475828|157.3993606203636 +29.6749922176194|    2.148 0.137   |10.43    |~                 |    ~     ~    
571 |TYC 4113-1367-1                                                                                          |Star                           |07 44 08.9560433856 +60 06 32.342561136|156.9167517972345 +29.7647049731905|   4.164 -0.103   |10.67    |~                 |    ~     ~    
572 |TYC 4113-1517-1                                                                                          |Spectroscopic Binary           |07 44 56.6096876304 +60 25 15.506207904|156.5640739352240 +29.8805375077081|  -5.726 -6.249   |10.38    |~                 |    ~     ~    
573 |TYC 4113-1604-1                                                                                          |Star                           |07 43 59.3932234200 +60 02 54.050459028|156.9851035908245 +29.7412432229751|-17.197 -18.526   |10.01    |~                 |    ~     ~    
574 |HD 61146                                                                                                 |Star                           |07 41 00.8596128456 +56 28 25.300376940|161.0366069292060 +29.0536460580865|  -4.775 -0.623   |9.32     |A5                |    ~     ~    
575 |HD 60982                                                                                                 |Star                           |07 40 27.9378352416 +59 05 52.032330384|158.0376413766163 +29.2282377633783| -10.730 -5.556   |8.07     |K2III             |    ~     ~    
576 |HD 237631                                                                                                |Star                           |07 43 24.1470651192 +59 10 45.694333812|157.9774930045484 +29.6100105545213|  -5.085 -0.292   |9.67     |K0                |    ~     ~    
577 |HD 60317                                                                                                 |Star                           |07 37 13.2549479448 +57 55 57.077146920|159.3180411970320 +28.6969192528592| -0.297 -12.483   |9.16     |F5                |    ~     ~    
578 |BD+58 1052                                                                                               |Star                           |07 38 33.3188643144 +58 10 11.558953632|159.0691210575524 +28.8967089421051| -5.596 -21.672   |9.98     |F5                |    ~     ~    
579 |HD 59597                                                                                                 |Star                           |07 34 01.0553827680 +57 41 59.152932744|159.5267461302928 +28.2469626049496|  -7.363 -1.369   |9.35     |F8                |    ~     ~    
580 |HD 59642                                                                                                 |High Proper Motion Star        |07 34 02.8703809512 +57 15 29.996371008|160.0246235336063 +28.1976579255328|-51.191 -47.422   |7.82     |K1III-IV          |    ~     ~    
581 |HD 237624                                                                                                |Star                           |07 34 23.8840923408 +57 34 54.984453348|159.6664379019774 +28.2835239762997| -2.998 -46.795   |9.61     |K2                |    ~     ~    
582 |IRAS 07341+5758                                                                                          |Star                           |07 38 19.9502899416 +57 51 25.498333296|159.4211175957464 +28.8359903598240|   0.271 -5.430   |10.15    |~                 |    ~     ~    
583 |* 24 Lyn                                                                                                 |High Proper Motion Star        |07 43 00.4155061 +58 42 37.295002      |158.5108810590 +29.5243776596      |  -37.50 -52.29   |4.947    |A3IVn             |    ~     ~    
584 |HD 61577                                                                                                 |Star                           |07 43 19.8138774312 +58 20 07.351085652|158.9443288332908 +29.5370502742347|   2.314 -2.621   |8.60     |K5                |    ~     ~    
585 |HD 61546                                                                                                 |Star                           |07 43 09.4235796168 +57 52 43.081971240|159.4652027418074 +29.4767015860588|   3.216 -8.538   |9.80     |F                 |    ~     ~    
586 |HD 60252                                                                                                 |High Proper Motion Star        |07 36 48.4974666624 +56 51 29.326561416|160.5272227858888 +28.5222580547750| -1.369 -59.712   |7.63     |K0III             |    ~     ~    
