C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:56:21

Vmag< 11&dec >=0&rah >=7.5&rah< 7.75
------------------------------------

Number of objects : 5656

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
33  |BD+81 247                                                                                                |Spectroscopic Binary           |07 30 01.9380231696 +81 17 13.369734168|132.6926736066774 +28.2498902541149|  -4.539 -7.084   |10.54    |K0                |    ~     ~    
34  |BD+81 249                                                                                                |Star                           |07 32 52.7895382056 +81 33 25.287781536|132.3758878683491 +28.3295540587392| -7.584 -17.298   |10.19    |G5                |    ~     ~    
35  |BD+81 250                                                                                                |Star                           |07 32 27.2593195296 +81 00 54.346315860|132.9903930553450 +28.3679065156801|  -5.430 -5.959   |10.42    |A2                |    ~     ~    
36  |BD+81 251                                                                                                |Star                           |07 34 31.2708151032 +81 41 23.393777280|132.2185274228307 +28.3746422309380|   0.511 -0.839   |10.11    |G5                |    ~     ~    
37  |HD 57508                                                                                                 |Star                           |07 34 39.8034050640 +80 53 48.110821728|133.1143380730318 +28.4662486812221|   -6.141 3.151   |6.510    |G7III:            |    ~     ~    
38  |BD+82 209                                                                                                |High Proper Motion Star        |07 41 03.1416239280 +81 46 25.944773448|132.0898493801798 +28.5969038970956|-36.204 -66.662   |10.31    |F5                |    ~     ~    
39  |TYC 4539-718-1                                                                                           |Star                           |07 36 57.0331147224 +81 41 44.812267620|132.2000934349275 +28.4610852253277|   6.692 -1.256   |10.82    |~                 |    ~     ~    
40  |TYC 4539-956-1                                                                                           |Star                           |07 30 48.7450123152 +81 55 11.425894536|131.9745494804491 +28.2190166397236|-15.907 -10.768   |10.95    |~                 |    ~     ~    
41  |TYC 4539-1011-1                                                                                          |Star                           |07 33 49.9455273048 +81 26 38.021943516|132.4995097065710 +28.3764740046191|   0.324 -0.447   |10.97    |~                 |    ~     ~    
42  |TYC 4535-449-1                                                                                           |High Proper Motion Star        |07 30 53.6918285184 +79 55 55.803949680|134.2229555583372 +28.3994524617516|-36.129 -94.695   |10.44    |F8                |    ~     ~    
43  |HD 59504                                                                                                 |Spectroscopic Binary           |07 42 44.1838046424 +80 33 20.657732256|133.4550154134659 +28.8304034676247|   10.150 0.594   |8.66     |F8                |    ~     ~    
44  |BD+79 238                                                                                                |Star                           |07 31 27.4500260736 +79 13 18.946698816|135.0259607814750 +28.4801631637263|    5.848 3.849   |10.29    |G0                |    ~     ~    
45  |TYC 4535-713-1                                                                                           |Red Giant Branch star Candidate|07 32 52.1410343496 +79 41 51.106041780|134.4806434014239 +28.5059431889164|  -1.628 -6.033   |9.72     |K2                |    ~     ~    
46  |HD 57377                                                                                                 |Star                           |07 32 02.0087332776 +79 09 15.221123820|135.1004102698162 +28.5122885830644|  20.494 13.873   |8.88     |K0                |    ~     ~    
47  |BD+79 240                                                                                                |High Proper Motion Star        |07 34 51.8847086712 +79 21 14.133617280|134.8611212178070 +28.6268792220233| -8.576 -71.406   |10.07    |G5                |    ~     ~    
48  |TYC 4535-324-1                                                                                           |Star                           |07 36 57.8827121184 +79 27 03.537798228|134.7403799734840 +28.7135913519266|   -0.723 9.544   |10.73    |F8                |    ~     ~    
49  |BD+79 241                                                                                                |Star                           |07 37 09.6118467912 +79 38 53.588172336|134.5156574585707 +28.7020845594694|    8.678 7.197   |10.33    |M2                |    ~     ~    
50  |HD 57724                                                                                                 |High Proper Motion Star        |07 33 05.2040167296 +78 41 12.818725872|135.6263819230933 +28.5990476412576|-35.094 -96.471   |7.440    |G0                |    ~     ~    
51  |BD+78 255                                                                                                |Star                           |07 33 12.1354897344 +78 02 28.759459740|136.3592900087814 +28.6532418682945|    0.716 1.581   |10.32    |F2                |    ~     ~    
52  |TYC 4535-440-1                                                                                           |Star                           |07 37 02.6032476000 +78 51 00.264612420|135.4219642190805 +28.7767734221285|  -7.271 18.688   |10.69    |K0                |    ~     ~    
53  |HD 59200                                                                                                 |Star                           |07 40 13.8598112928 +79 34 00.020508996|134.5906392862883 +28.8487416560333|  5.324 -11.503   |8.32     |K0                |    ~     ~    
54  |BD+79 244                                                                                                |Star                           |07 40 19.6660687008 +79 38 58.876091376|134.4959350370799 +28.8433232474594| -2.832 -39.468   |10.49    |K0                |    ~     ~    
55  |BD+79 245                                                                                                |Horizontal Branch Star         |07 39 46.0754314824 +78 50 46.807064520|135.4108418884903 +28.9082025474234|  -2.102 -1.474   |10.10    |K0                |    ~     ~    
56  |BD+79 246                                                                                                |Double or Multiple Star        |07 42 36.8501080992 +79 02 45.224677032|135.1663228789882 +29.0207528818140|  -4.663 11.311   |10.457   |F8                |    ~     ~    
57  |BD+79 247                                                                                                |Star                           |07 44 22.7726888136 +79 19 41.846803104|134.8338802139191 +29.0669162699367|  -6.275 -2.992   |10.11    |F0                |    ~     ~    
58  |2MASS J07441549+7923165                                                                                  |Red Giant Branch star          |07 44 15.5031513600 +79 23 16.530455868|134.7671068526809 +29.0534698140275|   -2.044 1.522   |10.87    |K0                |    ~     ~    
59  |BD+79 248                                                                                                |High Proper Motion Star        |07 43 57.5371115976 +78 52 08.393431296|135.3579825073137 +29.1066259759861|35.141 -121.111   |9.37     |G0                |    ~     ~    
60  |BD+78 257                                                                                                |Star                           |07 40 28.7727950400 +78 26 00.791527236|135.8755130121933 +28.9874538108973|   3.259 -6.209   |9.78     |K0                |    ~     ~    
61  |BD+78 258                                                                                                |Star                           |07 44 16.6721185560 +78 13 25.588729344|136.0888716468511 +29.2022710606405|  -1.432 -6.179   |9.43     |K5                |    ~     ~    
62  |BD+78 256                                                                                                |Star                           |07 37 56.8432 +77 44 38.240            |136.6744946 +28.9252974            |     10.40 3.40   |10.52    |F5                |    ~     ~    
63  |HD 60403                                                                                                 |Star                           |07 43 51.1097958168 +77 52 38.679726504|136.4858933602690 +29.2215562759974|   24.752 9.537   |9.24     |G                 |    ~     ~    
64  |HD 60577                                                                                                 |Star                           |07 44 40.8512657256 +77 46 41.516615964|136.5929225100518 +29.2766219730258|  26.762 11.741   |9.25     |G                 |    ~     ~    
65  |TYC 4531-741-1                                                                                           |Star                           |07 40 52.9593969360 +77 49 23.813405580|136.5671146929851 +29.0722091459644| -3.428 -12.400   |10.95    |~                 |    ~     ~    
66  |TYC 4531-1877-1                                                                                          |Star                           |07 39 16.1583542184 +78 00 33.036131232|136.3653053777818 +28.9695251366659|  -0.758 -4.382   |10.86    |~                 |    ~     ~    
67  |TYC 4531-1938-1                                                                                          |Star                           |07 38 29.8685337960 +78 21 34.588701432|135.9712409234214 +28.8959116120843|  -3.081 -2.205   |10.82    |~                 |    ~     ~    
68  |TYC 4535-154-1                                                                                           |Star                           |07 30 00.8325240648 +79 27 14.843500956|134.7682265265578 +28.3964422704624|  -1.900 -1.056   |10.93    |~                 |    ~     ~    
69  |TYC 4535-313-1                                                                                           |Star                           |07 34 09.2502404400 +80 02 46.785408468|134.0794814246424 +28.5305487618153|  -8.037 -2.517   |10.82    |~                 |    ~     ~    
70  |TYC 4535-343-1                                                                                           |Star                           |07 38 14.8804483704 +80 28 36.110986680|133.5712056982010 +28.6570524988312|-15.058 -23.080   |10.51    |~                 |    ~     ~    
71  |TYC 4535-437-1                                                                                           |High Proper Motion Star        |07 31 54.9879455616 +80 02 14.999941860|134.0994250440339 +28.4350015093553|  38.085 44.892   |10.50    |~                 |    ~     ~    
72  |TYC 4535-533-1                                                                                           |Spectroscopic Binary           |07 40 33.9250794888 +80 24 41.553970308|133.6316049799728 +28.7604394437540|   -8.922 5.564   |10.52    |~                 |    ~     ~    
73  |TYC 4535-550-1                                                                                           |Star                           |07 30 42.5419191624 +78 52 19.103914092|135.4259646122141 +28.4700874992084|   0.957 -1.528   |10.72    |~                 |    ~     ~    
