C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:51:48

dec< 0&rah >=5.25&rah< 5.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 4690

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------------|-----|----------------|-------------------------|--------|-------------------
1182|BD-20 1052                                                                                                                                  |Star                                  |05 16 54.8614599720 -20 34 49.531377360|222.3156427096212 -29.6213700966156|  28.728 -9.630   |10.59    |~                |    ~     ~          |    1|  275.718   pc  |  -1.0871     +1.0871    |paral   |2020yCat.1350....0G
1183|HD 34583                                                                                                                                    |Star                                  |05 17 41.6022856920 -19 28 06.120579900|221.1953672622964 -29.0588046098116|   3.803 -2.463   |8.03     |K3III            |    ~     ~          |    1|  601.793   pc  |  -7.2431     +7.2431    |paral   |2020yCat.1350....0G
1184|BD-19 1142                                                                                                                                  |Star                                  |05 20 18.6856716312 -19 30 53.713271484|221.4966043390898 -28.4992062213469| -2.085 -30.732   |9.68     |F5               |    ~     ~          |    1|  216.948   pc  |  -0.6072     +0.6072    |paral   |2020yCat.1350....0G
1185|HD 35009                                                                                                                                    |Star                                  |05 20 55.4709947736 -19 41 14.380108476|221.7384755229074 -28.4260019135133|   0.367 33.782   |7.40     |K0III/IV         |    ~     ~          |    1|  210.261   pc  |  -0.7074     +0.7074    |paral   |2020yCat.1350....0G
1186|BD-19 1149                                                                                                                                  |Star                                  |05 21 13.4730073728 -19 28 21.893512656|221.5395506990072 -28.2831970759472|  16.484 10.069   |9.53     |G5               |    ~     ~          |    1|  573.691   pc  |  -4.3773     +4.3773    |paral   |2020yCat.1350....0G
1187|HD 35244                                                                                                                                    |Star                                  |05 22 36.3482705040 -19 51 17.869512168|222.0765577993284 -28.1163249674445|    2.178 5.614   |8.72     |A0V              |    ~     ~          |    1|  325.690   pc  | -19.2207    +19.2207    |paral   |2020yCat.1350....0G
1188|HD 35722                                                                                                                                    |Star                                  |05 25 58.5474135528 -19 41 23.748281052|222.2235833901959 -27.3170333809536|  6.949 -24.525   |7.46     |F7.5V            |    ~     ~          |    1|   46.964   pc  |  -0.0371     +0.0371    |paral   |2020yCat.1350....0G
1189|HD 35736                                                                                                                                    |Star                                  |05 25 59.8251814392 -19 41 43.450904328|222.2313620171401 -27.3143288406228|  3.607 -20.474   |5.817    |F5V              |    ~     ~          |    1|   47.008   pc  |  -0.0625     +0.0625    |paral   |2020yCat.1350....0G
1190|BD-20 1057                                                                                                                                  |Star                                  |05 19 03.0409388472 -19 51 55.238045400|221.7493935389572 -28.9013207112763|  -4.301 -2.965   |9.26     |K5               |    ~     ~          |    1|  840.760   pc  | -10.8152    +10.8152    |paral   |2020yCat.1350....0G
1191|HD 35245                                                                                                                                    |Star                                  |05 22 35.2876226160 -19 52 42.228350040|222.0996999287640 -28.1285647478852|    1.889 3.333   |7.91     |B9/9.5V          |    ~     ~          |    1|  359.635   pc  |  -5.0053     +5.0053    |paral   |2020yCat.1350....0G
1192|HD 34514                                                                                                                                    |Pulsating Variable                    |05 17 15.6136443528 -20 50 04.213005504|222.6220788831893 -29.6333420922401|    6.926 3.119   |9.25     |ApSrCrEu         |    ~     ~          |    1|  558.722   pc  |  -6.8053     +6.8053    |paral   |2020yCat.1350....0G
1193|HD 34847                                                                                                                                    |Star                                  |05 19 39.1579673400 -20 38 39.029675496|222.6395934475335 -29.0427000581454| -35.717 14.281   |8.70     |F3V              |    ~     ~          |    1|  121.875   pc  |  -0.8868     +0.8868    |paral   |2020yCat.1350....0G
1194|BD-20 1061                                                                                                                                  |Star                                  |05 20 02.6163057600 -20 05 15.460943460|222.0809263303133 -28.7617368346366|  -1.821 17.293   |9.27     |K7               |    ~     ~          |    1|  521.540   pc  |  -4.0257     +4.0257    |paral   |2020yCat.1350....0G
1195|BD-20 1071                                                                                                                                  |Star                                  |05 22 36.5482265064 -20 02 26.779274844|222.2738037675235 -28.1817346257028|    2.392 5.834   |9.75     |A0               |    ~     ~          |    1|  355.948   pc  |  -2.6100     +2.6100    |paral   |2020yCat.1350....0G
1196|HD 35429                                                                                                                                    |Star                                  |05 23 49.5983558016 -20 49 45.366684744|223.2250385472786 -28.1926830058222|  -2.843 19.543   |9.00     |K1III            |    ~     ~          |    1|  723.327   pc  |  -8.4236     +8.4236    |paral   |2020yCat.1350....0G
1197|HD 35441                                                                                                                                    |Star                                  |05 23 52.6157006352 -20 43 39.676291284|223.1217671245755 -28.1461146738598|  31.613 19.498   |7.54     |K1III            |    ~     ~          |    1|  187.255   pc  |  -2.2932     +2.2932    |paral   |2020yCat.1350....0G
1198|HD 35506                                                                                                                                    |Star                                  |05 24 20.6005830216 -20 35 35.090151000|223.0223566043642 -27.9966862912227|-10.739 -23.099   |9.56     |F3V              |    ~     ~          |    1|  134.742   pc  |  -0.8983     +0.8983    |ST-L    |2020AJ....160...83S
1199|HD 35551                                                                                                                                    |Star                                  |05 24 42.7529195616 -20 19 11.867267460|222.7677692250991 -27.8193261754835|  -5.563 17.697   |9.30     |G8V              |    ~     ~          |    1|  378.000   pc  |  -1.8003     +1.8003    |paral   |2020yCat.1350....0G
1200|HD 35550                                                                                                                                    |High Proper Motion Star               |05 24 45.2292104616 -20 15 12.954472344|222.7015008950537 -27.7867401056339| -64.156 15.409   |9.61     |G3V              |    ~     ~          |    1|  170.727   pc  |  -1.4280     +1.4280    |ST-L    |2020AJ....160...83S
1201|HD 35576                                                                                                                                    |Star                                  |05 24 54.5683916304 -20 38 29.074417908|223.1263348087467 -27.8897004514324|  14.215 13.874   |9.07     |G8IV             |    ~     ~          |    1|  368.623   pc  |  -1.8888     +1.8888    |paral   |2020yCat.1350....0G
1202|HD 34676                                                                                                                                    |Star                                  |05 18 19.0414248696 -21 49 28.113456468|223.7899671382888 -29.7393564940042|  16.358 16.108   |7.94     |A5/7V            |    ~     ~          |    1|  214.578   pc  |  -0.8748     +0.8748    |paral   |2020yCat.1350....0G
1203|HD 34675                                                                                                                                    |Star                                  |05 18 26.2866847008 -20 52 40.614922524|222.7780407112668 -29.3900566829800|    5.380 2.483   |8.50     |K2/3III          |    ~     ~          |    1|  238.612   pc  |  -0.9850     +0.9850    |paral   |2020yCat.1350....0G
1204|HD 34778                                                                                                                                    |Star                                  |05 19 03.8181583200 -21 07 40.584230184|223.1050321448629 -29.3391013749802|  -2.129 -4.461   |9.25     |A0V              |    ~     ~          |    1|  525.486   pc  | -12.7299    +12.7299    |paral   |2020yCat.1350....0G
1205|HD 34968                                                                                                                                    |Variable Star                         |05 20 26.9147809752 -21 14 23.148600180|223.3524296266313 -29.0743416526376|  17.322 -8.570   |4.729    |A0V              |    ~     ~          |    1|  127.840   pc  |  -1.8337     +1.8337    |paral   |2020yCat.1350....0G
1206|HD 35021                                                                                                                                    |Star                                  |05 20 55.1605225056 -21 02 23.613276444|223.1811875042336 -28.9024075919624|  -12.340 1.959   |7.63     |B8V              |    ~     ~          |    1|  312.500   pc  |  -3.5645     +3.5645    |paral   |2020yCat.1350....0G
1207|HD 35054                                                                                                                                    |Star                                  |05 21 02.6337558816 -21 41 02.071328388|223.8842245317290 -29.0960675511307|   -5.214 5.665   |8.71     |G0/5V+A7/8       |    ~     ~          |    1|  497.735   pc  | -10.3060    +10.3060    |paral   |2020yCat.1350....0G
1208|HD 35283                                                                                                                                    |Star                                  |05 22 42.6769200576 -21 47 50.837879688|224.1568470341877 -28.7706656491102|   -2.950 5.622   |9.54     |A9V              |    ~     ~          |    1|  313.705   pc  |  -5.4080     +5.4080    |ST-L    |2020AJ....160...83S
1209|HD 35371                                                                                                                                    |High Proper Motion Star               |05 23 21.7734537144 -21 12 45.823209516|223.5906346830878 -28.4275329150557| 19.117 -62.273   |9.01     |K0V              |    ~     ~          |    1|  118.953   pc  |  -0.1924     +0.1924    |paral   |2020yCat.1350....0G
1210|HD 35400                                                                                                                                    |High Proper Motion Star               |05 23 36.6687703248 -21 04 57.898892316|223.4748780891100 -28.3281729148034| 32.198 106.318   |9.53     |G5/6V            |    ~     ~          |    1|  116.709   pc  |  -0.6650     +0.6650    |ST-L    |2020AJ....160...83S
1211|HD 35507                                                                                                                                    |Star                                  |05 24 16.3029289200 -21 07 18.465515508|223.5772229110260 -28.1972699843218|    2.340 5.973   |9.16     |G8IV             |    ~     ~          |    1|  478.740   pc  |  -9.9350     +9.9350    |ST-L    |2020AJ....160...83S
1212|HD 35508                                                                                                                                    |Star                                  |05 24 17.3287195680 -21 48 35.999209620|224.3126018730925 -28.4307585609399| -14.022 32.517   |10.30    |A0(IV)           |    ~     ~          |    1|  352.473   pc  |  -3.3047     +3.3047    |paral   |2020yCat.1350....0G
1213|HD 35687                                                                                                                                    |Star                                  |05 25 40.1012473320 -21 15 57.702412296|223.8586964892076 -27.9421305912602|   -4.007 1.225   |9.66     |K0/1II/III       |    ~     ~          |    1|  644.662   pc  |  -5.7767     +5.7767    |paral   |2020yCat.1350....0G
1214|HD 35699                                                                                                                                    |Red Giant Branch star Candidate       |05 25 48.0420283728 -21 16 11.982558216|223.8750321865166 -27.9145968899161|   -6.045 4.236   |9.50     |K0III            |    ~     ~          |    1|  520.183   pc  |  -3.5177     +3.5177    |paral   |2020yCat.1350....0G
1215|HD 34779                                                                                                                                    |Spectroscopic Binary                  |05 19 01.0799711880 -21 59 03.248119968|224.0260934247364 -29.6400739961982| 14.115 -10.772   |8.27     |F3V              |0.0017  0.0          |    1|  147.7694  pc  |  -8.2867     +8.2867    |paral   |2018yCat.1345....0G
1216|HD 35385                                                                                                                                    |Star                                  |05 23 26.1514338984 -22 01 37.787231136|224.4683599074488 -28.6907186043547|    7.677 5.384   |9.95     |A5V              |    ~     ~          |    1|  467.990   pc  | -10.7974    +10.7974    |paral   |2020yCat.1350....0G
1217|V* AY Lep                                                                                                                                   |Post-AGB Star                         |05 22 59.4229189104 -20 32 53.048251464|222.8483037026899 -28.2773129413003|    1.651 1.756   |9.48     |~                |    ~     ~          |    1| 1432.470   pc  |-111.9000   +111.9000    |ST-L    |2020AJ....160...83S
1218|BD-20 1066                                                                                                                                  |Star                                  |05 21 49.7701442256 -19 54 49.414915008|222.0650896108013 -28.3077902863262|   -4.069 5.907   |10.02    |~                |    ~     ~          |    1|  474.428   pc  |  -4.3216     +4.3216    |paral   |2020yCat.1350....0G
1219|BD-19 1175                                                                                                                                  |Star                                  |05 26 13.0855804416 -19 51 56.525266080|222.4312630545049 -27.3270598808208|   -1.964 8.395   |10.072   |~                |    ~     ~          |    1|  237.780   pc  |  -3.4640     +3.4640    |ST-L    |2020AJ....160...83S
1220|BD-21 1124                                                                                                                                  |Star                                  |05 17 11.4148768344 -21 06 46.183803948|222.9164973251920 -29.7443095734422| 11.057 -37.013   |10.194   |~                |    ~     ~          |    1|  209.319   pc  |  -2.4550     +2.4550    |ST-L    |2020AJ....160...83S
1221|BD-21 1125                                                                                                                                  |Star                                  |05 17 21.1838486520 -21 02 55.644443520|222.8622116593113 -29.6866849885956| -3.294 -15.625   |9.40     |~                |    ~     ~          |    1|  532.538   pc  |  -3.6017     +3.6017    |paral   |2020yCat.1350....0G
1222|BD-20 1065                                                                                                                                  |Star                                  |05 21 42.3425562912 -20 14 56.832704412|222.4098664390017 -28.4538056411490|-13.909 -24.589   |10.07    |~                |    ~     ~          |    1|  152.355   pc  |  -0.3644     +0.3644    |paral   |2020yCat.1350....0G
1223|BD-20 1076                                                                                                                                  |Star                                  |05 23 53.1522541752 -20 21 11.741823360|222.7253870905587 -28.0123539007553|    9.661 2.790   |9.65     |~                |    ~     ~          |    1|  834.875   pc  | -29.6600    +29.6600    |ST-L    |2020AJ....160...83S
1224|BD-20 1082                                                                                                                                  |Star                                  |05 25 01.7972510112 -20 01 59.265453936|222.4948217140443 -27.6477023692190| -13.892 -9.193   |9.69     |~                |    ~     ~          |    1|  261.185   pc  |  -0.8595     +0.8595    |paral   |2020yCat.1350....0G
1225|TYC 5910-664-1                                                                                                                              |Star                                  |05 18 45.6105423168 -19 40 53.218903944|221.5253068780606 -28.8999254431731|   5.194 13.278   |10.81    |~                |    ~     ~          |    1| 1159.286   pc  | -19.0840    +19.0840    |paral   |2020yCat.1350....0G
1226|TYC 5910-1014-1                                                                                                                             |Star                                  |05 19 21.0025545888 -19 59 30.986996496|221.9130681818173 -28.8803193118620|   -0.970 1.435   |10.83    |~                |    ~     ~          |    1| 2182.453   pc  | -65.2545    +65.2545    |paral   |2020yCat.1350....0G
1227|BD-19 1143                                                                                                                                  |Star                                  |05 20 20.9728868616 -19 48 45.013820148|221.8167204479540 -28.5970113007125|    4.195 4.905   |10.65    |~                |    ~     ~          |    1|  689.465   pc  |  -8.8893     +8.8893    |paral   |2020yCat.1350....0G
1228|BD-19 1152                                                                                                                                  |Star                                  |05 22 15.6631068288 -19 35 16.574715744|221.7609603607057 -28.0965751845796|  -2.368 -4.211   |10.45    |~                |    ~     ~          |    1|  965.997   pc  | -12.2243    +12.2243    |paral   |2020yCat.1350....0G
1229|BD-20 1068                                                                                                                                  |Star                                  |05 22 18.6338791728 -19 54 34.465355100|222.1063722074004 -28.2006405112867|  4.568 -12.783   |10.40    |~                |    ~     ~          |    1|  346.308   pc  |  -1.7270     +1.7270    |paral   |2020yCat.1350....0G
1230|BD-19 1159                                                                                                                                  |Star                                  |05 23 08.4326766240 -19 36 02.808264852|221.8587364345760 -27.9078443000224|  26.015 25.960   |10.49    |~                |    ~     ~          |    1|   70.149   pc  |  -0.0694     +0.0694    |paral   |2020yCat.1350....0G
1231|BD-20 1074                                                                                                                                  |Star                                  |05 23 22.8139975776 -19 59 44.470370508|222.2990584107113 -27.9964147810352|  12.503 10.942   |10.166   |~                |    ~     ~          |    1|  694.915   pc  | -24.0600    +24.0600    |ST-L    |2020AJ....160...83S
1232|BD-19 1160                                                                                                                                  |Star                                  |05 23 57.7352044776 -19 46 31.423730556|222.1215472217085 -27.7899290926936|   2.818 -7.266   |10.267   |~                |    ~     ~          |    1|  544.360   pc  | -16.4500    +16.4500    |ST-L    |2020AJ....160...83S
1233|BD-19 1167                                                                                                                                  |Star                                  |05 25 12.2428808664 -19 47 35.647732716|222.2586141514148 -27.5236299756955|  22.244 11.592   |9.89     |~                |    ~     ~          |    1|  244.278   pc  |  -0.8175     +0.8175    |paral   |2020yCat.1350....0G
1234|CPD-19 808                                                                                                                                  |Star                                  |05 25 21.3868162464 -19 46 38.589987576|222.2564486908250 -27.4844792435969|  -3.115 12.777   |10.556   |~                |    ~     ~          |    1|  242.720   pc  |  -3.0180     +3.0180    |ST-L    |2020AJ....160...83S
1235|BD-19 1174                                                                                                                                  |Star                                  |05 26 11.7139465464 -19 39 34.649493480|222.2127267672318 -27.2579247143345|  -8.774 10.401   |10.12    |~                |    ~     ~          |    1|  757.060   pc  |  -7.3935     +7.3935    |paral   |2020yCat.1350....0G
1236|TYC 5914-1192-1                                                                                                                             |Star                                  |05 17 26.4984668184 -20 58 32.777292180|222.7914570552870 -29.6421981463324|    1.317 1.662   |10.811   |~                |    ~     ~          |    1| 1096.250   pc  | -61.9400    +61.9400    |ST-L    |2020AJ....160...83S
1237|BD-21 1126                                                                                                                                  |Star                                  |05 17 32.0963690208 -21 44 39.200791596|223.6323450161874 -29.8833284399574|-16.784 -12.794   |10.31    |~                |    ~     ~          |    1|  242.295   pc  |  -1.1330     +1.1330    |paral   |2020yCat.1350....0G
1238|TYC 5910-368-1                                                                                                                              |Star                                  |05 17 34.6639752504 -20 14 17.607331356|222.0093915369267 -29.3564208726993|   -2.556 1.313   |10.78    |~                |    ~     ~          |    1|  951.837   pc  | -10.7813    +10.7813    |paral   |2020yCat.1350....0G
1239|BD-20 1055                                                                                                                                  |Star                                  |05 17 37.2952529784 -20 29 41.783457192|222.2896238030309 -29.4364143778932|    1.975 4.814   |10.78    |~                |    ~     ~          |    1| 1143.118   pc  | -14.2432    +14.2432    |paral   |2020yCat.1350....0G
1240|BD-20 1056                                                                                                                                  |Star                                  |05 18 10.6083923376 -20 00 22.920437844|221.8172376378119 -29.1432871583426|    6.821 7.035   |10.58    |~                |    ~     ~          |    1|  805.477   pc  | -10.1212    +10.1212    |paral   |2020yCat.1350....0G
1241|BD-21 1134                                                                                                                                  |Star                                  |05 20 15.0477538944 -20 54 49.982826132|222.9843659595306 -29.0052312093789|   -0.111 6.474   |10.44    |~                |    ~     ~          |    1|  895.496   pc  | -10.4249    +10.4249    |paral   |2020yCat.1350....0G
1242|BD-20 1062                                                                                                                                  |Star                                  |05 20 30.9078565920 -20 09 38.119929084|222.2033192166964 -28.6839292485956|  -1.291 -0.284   |9.91     |~                |    ~     ~          |    1| 1106.317   pc  | -16.0336    +16.0336    |paral   |2020yCat.1350....0G
1243|BD-21 1136                                                                                                                                  |Star                                  |05 20 33.8593403976 -21 32 17.380795272|223.6838906782298 -29.1512017990537|    5.418 8.283   |10.56    |~                |    ~     ~          |    1| 1270.325   pc  | -23.5604    +23.5604    |paral   |2020yCat.1350....0G
1244|BD-20 1063                                                                                                                                  |Star                                  |05 20 39.6926719272 -20 37 28.359932088|222.7125850222620 -28.8146157780773|    3.066 5.130   |10.08    |~                |    ~     ~          |    1|  722.700   pc  |  -6.7376     +6.7376    |paral   |2020yCat.1350....0G
1245|BD-20 1064                                                                                                                                  |Star                                  |05 20 41.3716650024 -20 38 31.769720340|222.7340317155027 -28.8146268359594|   -2.799 2.522   |10.10    |~                |    ~     ~          |    1|  916.338   pc  | -10.3280    +10.3280    |paral   |2020yCat.1350....0G
1246|TYC 5923-726-1                                                                                                                              |Star                                  |05 21 09.9019350432 -20 23 37.856523912|222.5132589888008 -28.6234036698337| 18.605 -12.829   |10.71    |~                |    ~     ~          |    1|  357.483   pc  |  -7.0610     +7.0610    |ST-L    |2020AJ....160...83S
1247|BD-21 1139                                                                                                                                  |Star                                  |05 21 14.1578827512 -21 16 05.827653696|223.4551640000006 -28.9118752232653| -5.283 -18.296   |10.69    |~                |    ~     ~          |    1|  439.097   pc  |  -2.7764     +2.7764    |paral   |2020yCat.1350....0G
1248|BD-21 1141                                                                                                                                  |Star                                  |05 21 28.2750181488 -21 15 46.539114948|223.4709614504141 -28.8585629694070|  -0.784 -3.302   |10.38    |~                |    ~     ~          |    1|  941.708   pc  | -11.3512    +11.3512    |paral   |2020yCat.1350....0G
1249|BD-21 1142                                                                                                                                  |Spectroscopic Binary                  |05 21 30.0864311880 -21 21 51.575488596|223.5824560951178 -28.8868215828633|   5.901 12.811   |10.39    |~                |    ~     ~          |    1|  326.126   pc  |  -2.7228     +2.7228    |paral   |2020yCat.1350....0G
1250|BD-21 1143                                                                                                                                  |Spectroscopic Binary                  |05 21 32.0866406256 -21 13 24.906385704|223.4346147094136 -28.8311159746171|   5.046 -2.183   |9.67     |~                |    ~     ~          |    1|  511.274   pc  | -12.6257    +12.6257    |paral   |2020yCat.1350....0G
1251|BD-20 1067                                                                                                                                  |Star                                  |05 21 53.8084698720 -20 32 31.709729760|222.7398609194578 -28.5149541098003|   -0.552 3.113   |9.919    |~                |    ~     ~          |    1|  871.277   pc  | -39.4400    +39.4400    |ST-L    |2020AJ....160...83S
1252|BD-21 1145                                                                                                                                  |Star                                  |05 21 55.5728997096 -21 49 50.595592512|224.1217831009599 -28.9533270331246|  4.511 -13.122   |10.51    |~                |    ~     ~          |    1|  511.918   pc  | -13.3000    +13.3000    |ST-L    |2020AJ....160...83S
1253|BD-21 1146                                                                                                                                  |Star                                  |05 22 07.6782050178 -21 31 11.772308398|223.8064172265463 -28.8032420485283|   -6.593 9.557   |10.878   |~                |    ~     ~          |    1| 2539.400   pc  |-1059.0000   +1059.0000  |ST-L    |2020AJ....160...83S
1254|BD-21 1147                                                                                                                                  |Star                                  |05 22 17.9587301544 -21 09 56.530156536|223.4428029667723 -28.6438840004536| -27.334 10.102   |10.42    |~                |    ~     ~          |    1|  350.496   pc  |  -1.6093     +1.6093    |paral   |2020yCat.1350....0G
1255|BD-21 1148                                                                                                                                  |Star                                  |05 22 19.7414439696 -21 51 11.251121148|224.1821412816199 -28.8730295177431|    9.053 2.556   |10.01    |~                |    ~     ~          |    1|  504.206   pc  | -19.3300    +19.3300    |ST-L    |2020AJ....160...83S
1256|BD-20 1069                                                                                                                                  |Star                                  |05 22 26.4811759944 -20 16 49.437670008|222.5123514307055 -28.3034274778506|    1.147 4.338   |10.03    |~                |    ~     ~          |    1|  168.908   pc  |  -0.5164     +0.5164    |paral   |2020yCat.1350....0G
1257|TYC 5927-982-1                                                                                                                              |Star                                  |05 22 31.9955567904 -21 18 55.393841052|223.6243193080084 -28.6443808633324|    4.728 2.346   |10.576   |~                |    ~     ~          |    1| 1904.190   pc  |-173.0000   +173.0000    |ST-L    |2020AJ....160...83S
1258|TYC 5923-1262-1                                                                                                                             |Star                                  |05 22 43.6721523600 -20 13 50.180899368|222.4864320546004 -28.2229664464907|    3.127 1.444   |10.98    |~                |    ~     ~          |    1| 2137.666   pc  | -59.4050    +59.4050    |paral   |2020yCat.1350....0G
1259|BD-20 1072                                                                                                                                  |Star                                  |05 22 50.8448402712 -20 30 05.972895396|222.7856042204877 -28.2923397952683| -6.482 -22.602   |10.32    |~                |    ~     ~          |    1|  156.216   pc  |  -1.6430     +1.6430    |ST-L    |2020AJ....160...83S
1260|BD-21 1152                                                                                                                                  |Star                                  |05 23 06.8290882416 -20 55 27.493005936|223.2601957759555 -28.3818850871544|  5.129 -11.751   |10.032   |~                |    ~     ~          |    1|  260.489   pc  |  -3.5390     +3.5390    |ST-L    |2020AJ....160...83S
1261|TYC 5923-1307-1                                                                                                                             |Star                                  |05 23 07.9019667024 -20 12 05.110420320|222.4935111505001 -28.1240309919718|    4.862 1.705   |10.919   |~                |    ~     ~          |    1| 1529.180   pc  |-112.0000   +112.0000    |ST-L    |2020AJ....160...83S
1262|BD-21 1154                                                                                                                                  |Star                                  |05 23 11.6106604104 -20 55 18.344238168|223.2648557338260 -28.3635558660038| 19.123 -38.903   |10.410   |~                |    ~     ~          |    1|  251.109   pc  |  -3.2770     +3.2770    |ST-L    |2020AJ....160...83S
1263|BD-21 1156                                                                                                                                  |Star                                  |05 23 36.1344607536 -21 17 25.956650148|223.6955782961348 -28.4021189308828|  3.827 -21.591   |9.62     |~                |    ~     ~          |    1|  555.391   pc  | -15.8100    +15.8100    |ST-L    |2020AJ....160...83S
1264|BD-21 1158                                                                                                                                  |Star                                  |05 23 41.6983909008 -21 37 08.618927196|224.0548195599439 -28.4949682120434| 17.287 -45.981   |10.438   |~                |    ~     ~          |    1|  228.918   pc  |  -2.8480     +2.8480    |ST-L    |2020AJ....160...83S
1265|TYC 5923-1279-1                                                                                                                             |Star                                  |05 23 59.8173147792 -20 36 09.744448428|223.0002616586610 -28.0759530616728|  -5.181 -2.418   |10.917   |~                |    ~     ~          |    1| 1029.750   pc  | -76.3500    +76.3500    |ST-L    |2020AJ....160...83S
1266|TYC 5927-1248-1                                                                                                                             |Star                                  |05 24 11.0930148288 -20 49 29.534718972|223.2535719873940 -28.1127228992528|    3.725 1.210   |10.44    |~                |    ~     ~          |    1|  711.896   pc  |  -7.3485     +7.3485    |paral   |2020yCat.1350....0G
1267|BD-21 1163                                                                                                                                  |Star                                  |05 24 29.3644963968 -21 44 04.567002360|224.2501863097385 -28.3611948843109| -3.252 -11.892   |10.082   |~                |    ~     ~          |    1|  704.912   pc  | -26.0200    +26.0200    |ST-L    |2020AJ....160...83S
1268|TYC 5927-627-1                                                                                                                              |Star                                  |05 24 46.4210619192 -20 45 55.034645292|223.2449703508432 -27.9629586759506|   -5.580 0.193   |10.816   |~                |    ~     ~          |    1|  733.455   pc  | -29.1000    +29.1000    |ST-L    |2020AJ....160...83S
1269|BD-20 1083                                                                                                                                  |Star                                  |05 25 25.5818928240 -20 20 46.487774184|222.8625706967570 -27.6721795063938|    5.145 0.718   |10.33    |~                |    ~     ~          |    1|  465.441   pc  |  -2.8596     +2.8596    |paral   |2020yCat.1350....0G
1270|BD-21 1166                                                                                                                                  |High Proper Motion Star               |05 25 45.1467467664 -21 45 41.575229244|224.3931039158003 -28.0949510346443|  16.804 62.897   |10.864   |~                |    ~     ~          |    1|  202.465   pc  |  -2.7090     +2.7090    |ST-L    |2020AJ....160...83S
1271|BD-20 1084                                                                                                                                  |Star                                  |05 26 03.0834444792 -20 47 51.370636128|223.3977752460699 -27.6946820903895|  -9.488 -1.978   |10.32    |~                |    ~     ~          |    1| 1694.628   pc  | -39.3432    +39.3432    |paral   |2020yCat.1350....0G
1272|BD-19 1154                                                                                                                                  |Star                                  |05 22 34.4525673408 -19 39 17.903011392|221.8618475174359 -28.0517658124348|   9.368 39.240   |10.728   |~                |    ~     ~          |    1|  181.405   pc  |  -1.7260     +1.7260    |ST-L    |2020AJ....160...83S
1273|BD-22 1086                                                                                                                                  |High Proper Motion Star               |05 21 25.4109738024 -22 01 42.510043956|224.2894441468693 -29.1299962713691|  47.163 55.277   |10.83    |K5               |    ~     ~          |    1|   47.342   pc  |  -0.1943     +0.1943    |paral   |2020yCat.1350....0G
1274|IRAS 05153-2020                                                                                                                             |Star                                  |05 17 27.8735599944 -20 17 08.041602948|222.0496248328399 -29.3978536305889|   -1.994 6.464   |9.83     |~                |    ~     ~          |    1| 1393.728   pc  | -30.1084    +30.1084    |paral   |2020yCat.1350....0G
1275|TYC 5910-827-1                                                                                                                              |High Proper Motion Star               |05 18 06.8698722744 -19 34 19.826604372|221.3467527759025 -29.0031081593876|  31.978 45.207   |10.23    |~                |    ~     ~          |    1|  210.168   pc  |  -0.8260     +0.8260    |paral   |2020yCat.1350....0G
1276|TYC 5910-929-1                                                                                                                              |High Proper Motion Star               |05 16 37.5083644488 -19 50 26.596230000|221.4920110631853 -29.4260940119546|  0.501 177.373   |10.02    |~                |    ~     ~          |    1|   75.676   pc  |  -0.0922     +0.0922    |paral   |2020yCat.1350....0G
1277|TYC 5910-1030-1                                                                                                                             |Star                                  |05 19 59.0881639608 -20 00 22.289726448|221.9884639627354 -28.7458724542043|    7.441 0.696   |10.948   |~                |    ~     ~          |    1| 1632.400   pc  |-127.3000   +127.3000    |ST-L    |2020AJ....160...83S
1278|TYC 5914-97-1                                                                                                                               |Star                                  |05 18 44.4836481816 -22 05 30.549328728|224.1180040048442 -29.7365497233082|    2.405 0.204   |10.85    |~                |    ~     ~          |    1|  897.263   pc  | -13.2838    +13.2838    |paral   |2020yCat.1350....0G
1279|TYC 5914-272-1                                                                                                                              |Star                                  |05 16 17.5695575784 -21 56 07.444578804|223.7286232141268 -30.2190175406936| -36.641 28.125   |10.766   |~                |    ~     ~          |    1|  223.143   pc  |  -2.6390     +2.6390    |ST-L    |2020AJ....160...83S
1280|TYC 5914-1284-1                                                                                                                             |Star                                  |05 16 53.5914195528 -21 16 54.892678296|223.0723993897077 -29.8671258209405|   9.022 20.904   |10.86    |~                |    ~     ~          |    1|  257.805   pc  |  -0.8507     +0.8507    |paral   |2020yCat.1350....0G
1281|TYC 5923-915-1                                                                                                                              |Star                                  |05 22 59.6826061824 -19 51 39.489755544|222.1198975954750 -28.0330425756346|    3.130 3.131   |10.375   |~                |    ~     ~          |    1| 4610.310   pc  |-1602.0000   +1602.0000  |ST-L    |2020AJ....160...83S
1282|TYC 5923-980-1                                                                                                                              |Star                                  |05 23 17.9182369968 -19 47 27.698458740|222.0748437603061 -27.9412919911004|    0.143 0.830   |10.870   |~                |    ~     ~          |    1| 1984.800   pc  |-234.7000   +234.7000    |ST-L    |2020AJ....160...83S
