C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:51:48

dec< 0&rah >=5.25&rah< 5.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 4690

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------------|-----|----------------|-------------------------|--------|-------------------
23  |HD 34238                                                                                                                                    |Star                                  |05 15 46.3982550912 -01 16 40.453876920|202.7002023598695 -21.7699028087119|  -1.223 -2.897   |8.72     |A4III/IV         |    ~     ~          |    1|  270.900   pc  |  -9.6357     +9.6357    |paral   |2020yCat.1350....0G
24  |HD 290165                                                                                                                                   |Star                                  |05 16 23.8820935776 -01 11 38.503590468|202.7021622750863 -21.5926646023331|   15.442 6.088   |10.10    |F2               |    ~     ~          |    1|  310.049   pc  |  -1.6534     +1.6534    |paral   |2020yCat.1350....0G
25  |HD 34307                                                                                                                                    |Double or Multiple Star               |05 16 24.6942873 -01 38 31.246624      |203.1266093764 -21.8052051903      |      2.88 4.23   |7.89     |B9V              |0.0033  0.0          |    0|                |                         |        |                   
26  |HD 290167                                                                                                                                   |High Proper Motion Star               |05 16 35.0078108928 -01 20 28.627640376|202.8649709743258 -21.6230017772931|92.589 -102.514   |9.65     |G5               |    ~     ~          |    1|   87.429   pc  |  -0.1353     +0.1353    |paral   |2020yCat.1350....0G
27  |HD 290159                                                                                                                                   |Star                                  |05 16 34.8563203824 -00 51 06.688674936|202.4039223365123 -21.3873326805900|   9.126 -7.990   |9.26     |A0               |    ~     ~          |    1|  223.694   pc  |  -4.5585     +4.5585    |paral   |2020yCat.1350....0G
28  |HD 34341                                                                                                                                    |Star                                  |05 16 43.8407407368 -00 53 19.990734108|202.4581707832406 -21.3724878673012|  -4.541 -2.604   |8.63     |B9.5V            |    ~     ~          |    1|  265.414   pc  |  -1.8809     +1.8809    |paral   |2020yCat.1350....0G
29  |HD 290176                                                                                                                                   |Star                                  |05 17 00.2966810856 -01 40 37.402900464|203.2362785442356 -21.6918945724105|   4.265 -0.757   |9.54     |A7               |    ~     ~          |    1|  204.011   pc  |  -0.7533     +0.7533    |paral   |2020yCat.1350....0G
30  |HD 290169                                                                                                                                   |Star                                  |05 17 08.8523544960 -01 24 46.609659252|203.0054528674469 -21.5338702382805|    1.753 4.927   |10.22    |A0               |    ~     ~          |    1|  370.631   pc  |  -2.9122     +2.9122    |paral   |2020yCat.1350....0G
31  |HD 290175                                                                                                                                   |Double or Multiple Star               |05 17 12.0590593536 -01 43 31.250961948|203.3071514282215 -21.6720315767609|  8.889 -15.153   |10.252   |G5               |    ~     ~          |    1| 1035.411   pc  | -16.9388    +16.9388    |paral   |2020yCat.1350....0G
32  |HD 290174                                                                                                                                   |Spectroscopic Binary                  |05 17 20.5344265464 -01 44 17.196753732|203.3373932577524 -21.6471548637066|  4.951 -26.778   |9.75     |G0               |    ~     ~          |    1|  262.495   pc  |  -1.1576     +1.1576    |paral   |2020yCat.1350....0G
33  |HD 290168                                                                                                                                   |High Proper Motion Star               |05 17 21.0595308288 -01 21 25.194634956|202.9789943815470 -21.4623875752445| 8.080 -101.685   |9.17     |G0               |    ~     ~          |    1|  104.581   pc  |  -0.4780     +0.4780    |paral   |2020yCat.1350....0G
34  |HD 290179                                                                                                                                   |Star                                  |05 15 45.0054300648 -01 50 30.297888780|203.2301081843357 -22.0460334715559|  14.446 -4.885   |9.97     |K0               |    ~     ~          |    1|  561.766   pc  |  -5.2702     +5.2702    |paral   |2020yCat.1350....0G
35  |HD 290160                                                                                                                                   |Star                                  |05 16 28.9979847912 -00 51 59.487900336|202.4050215073049 -21.4157889367555|   2.304 -8.152   |10.7     |G5               |    ~     ~          |    1|  703.631   pc  |  -7.4760     +7.4760    |paral   |2020yCat.1350....0G
36  |HD 290151                                                                                                                                   |Star                                  |05 16 53.8097228208 -00 38 31.808824656|202.2480758946923 -21.2166799875939|   2.448 -0.626   |10.6     |K2               |    ~     ~          |    1|  900.090   pc  | -12.3955    +12.3955    |paral   |2020yCat.1350....0G
37  |HD 290156                                                                                                                                   |Star                                  |05 17 18.3767485656 -00 46 13.159110504|202.4215095999132 -21.1892029057970|   2.686 -5.369   |10.00    |K5               |    ~     ~          |    1|  670.736   pc  |  -6.7933     +6.7933    |paral   |2020yCat.1350....0G
