C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:39:28

dec< 0&rah >=16.5&rah< 16.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6274

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |HD 148688                                                                                                |Blue Supergiant                       |16 31 41.7687715992 -41 49 01.732565676|340.7197419962969 +04.3474027970085|  -3.315 -2.173   |5.39     |B1Iaeqp           |    ~     ~    |    1| 1284       pc  |-165        +165       |CaIIHK  |2009A&A...507..833M
23  |CPD-41 7500C                                                                                             |Star                                  |16 31 41.8882858248 -41 49 59.645561376|340.7081907665028 +04.3361661925028|   2.966 -2.725   |9.58     |~                 |    ~     ~    |    1|  622.626   pc  |  -7.8308     +7.8308  |paral   |2020yCat.1350....0G
24  |HD 148887                                                                                                |Star                                  |16 33 07.2118896864 -41 59 51.165293784|340.7677988651109 +04.0304695727896|   0.902 -2.132   |9.46     |B4III             |    ~     ~    |    1| 1338.688   pc  | -31.7199    +31.7199  |paral   |2020yCat.1350....0G
25  |HD 148935                                                                                                |alpha2 CVn Variable                   |16 33 20.2641154488 -41 45 34.833228084|340.9705846700106 +04.1620352808422|   3.041 -4.256   |9.45     |ApSi              |    ~     ~    |    1|  500.275   pc  |  -4.0294     +4.0294  |paral   |2020yCat.1350....0G
26  |HD 148458                                                                                                |Star                                  |16 30 09.2027757264 -42 34 28.874848440|339.9695137614978 +04.0380855320104|  10.718 -8.916   |9.53     |F7V               |    ~     ~    |    1|   97.407   pc  |  -0.1490     +0.1490  |paral   |2020yCat.1350....0G
27  |HD 148626                                                                                                |Star                                  |16 31 11.7377843088 -42 18 54.996595992|340.2910533975091 +04.0754125390864|  24.997 -8.014   |10.24    |A1/2V(+F/G)       |    ~     ~    |    1|  226.301   pc  |  -0.8911     +0.8911  |paral   |2020yCat.1350....0G
28  |HD 148707                                                                                                |Star                                  |16 31 48.2815840032 -42 44 24.790118928|340.0565280452321 +03.7033658123954|-38.701 -13.118   |8.64     |G6V               |    ~     ~    |    1|  129.779   pc  |  -0.2981     +0.2981  |paral   |2020yCat.1350....0G
29  |HD 148706                                                                                                |Star                                  |16 31 48.5245428456 -42 31 48.553015980|340.2110223039009 +03.8460655143060|  -0.326 -7.638   |10.11    |A0                |    ~     ~    |    1|  519.211   pc  | -12.5624    +12.5624  |paral   |2020yCat.1350....0G
30  |HD 148748                                                                                                |Star                                  |16 32 06.6361257576 -42 19 28.014422556|340.3999694712123 +03.9454698786719| -4.448 -11.269   |9.70     |K2/3(III)         |    ~     ~    |    1|  314.881   pc  |  -1.7946     +1.7946  |paral   |2020yCat.1350....0G
31  |HD 148873                                                                                                |Star                                  |16 33 01.1472812064 -42 26 22.518366252|340.4297076594205 +03.7441625077860|  -1.828 -6.778   |10.20    |B9V               |    ~     ~    |    1|  477.236   pc  |  -3.9857     +3.9857  |paral   |2020yCat.1350....0G
