C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:39:28

dec< 0&rah >=16.5&rah< 16.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6274

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1244|CD-25 11629                                                                                              |Star                                  |16 43 19.2494287464 -25 36 22.400312832|354.6807532770501 +13.2135243565069|  -1.919 -9.754   |10.13    |~                 |    ~     ~    |    1| 1326.964   pc  | -39.9709    +39.9709  |paral   |2020yCat.1350....0G
1245|IRAS 16405-2504                                                                                          |Spectroscopic Binary                  |16 43 37.6291623144 -25 10 07.095659844|355.0744541002973 +13.4360104340261| -2.891 -12.155   |10.67    |~                 |    ~     ~    |    1| 1638.538   pc  | -76.2486    +76.2486  |paral   |2020yCat.1350....0G
1246|TYC 6800-509-1                                                                                           |Star                                  |16 42 43.2611479704 -24 34 55.247300616|355.4098449342015 +13.9653393122683|    3.299 5.696   |10.8     |~                 |    ~     ~    |    1|  246.081   pc  |  -1.0052     +1.0052  |paral   |2020yCat.1350....0G
1247|TYC 6800-779-1                                                                                           |Star                                  |16 43 08.9604075072 -24 37 36.530110308|355.4372069786531 +13.8615113035406|  -4.162 -1.873   |10.70    |~                 |    ~     ~    |    1|  725.900   pc  |  -8.7471     +8.7471  |paral   |2020yCat.1350....0G
1248|TYC 6800-1786-1                                                                                          |Star                                  |16 42 57.7096848768 -25 37 16.296549024|354.6162701271985 +13.2667570120615|  -2.972 -2.265   |10.87    |~                 |    ~     ~    |    1|  778.028   pc  |  -9.9879     +9.9879  |paral   |2020yCat.1350....0G
1249|TYC 6804-571-1                                                                                           |Star                                  |16 43 39.3199528776 -26 37 36.819756624|353.9188569384224 +12.5094688266403|  -6.264 -4.913   |10.40    |~                 |    ~     ~    |    1|  643.791   pc  |  -6.5900     +6.5900  |paral   |2020yCat.1350....0G
1250|TYC 6804-781-1                                                                                           |Star                                  |16 42 21.6479619384 -26 44 13.958004444|353.6433730489819 +12.6627700713302|  -6.223 -0.194   |10.58    |~                 |    ~     ~    |    1|  665.247   pc  |  -6.5055     +6.5055  |paral   |2020yCat.1350....0G
1251|TYC 6804-1431-1                                                                                          |Star                                  |16 43 59.9052606744 -26 43 41.655657252|353.8882772720600 +12.3859669894829| -6.670 -11.119   |10.97    |~                 |    ~     ~    |    1|  392.141   pc  |  -2.6603     +2.6603  |paral   |2020yCat.1350....0G
1252|CD-26 11479                                                                                              |Emission-line Star                    |16 42 01.3614241608 -26 21 44.335261188|353.8905962350472 +12.9596703522648|   1.388 -1.633   |10.74    |~                 |    ~     ~    |    1| 1200.768   pc  | -25.6648    +25.6648  |paral   |2020yCat.1350....0G
1253|HD 148701                                                                                                |Star                                  |16 30 40.2318972720 -21 27 08.046083196|356.0804556144154 +18.0963695099688| -3.006 -19.359   |10.33    |A3/7II/III        |    ~     ~    |    1|  212.481   pc  |  -0.9120     +0.9120  |paral   |2020yCat.1350....0G
1254|HD 148861                                                                                                |Star                                  |16 31 50.6447489088 -21 31 50.703870108|356.2017197789176 +17.8367899939645| -10.020 -6.575   |10.08    |B9/A0IV           |    ~     ~    |    1|  333.645   pc  |  -2.4156     +2.4156  |paral   |2020yCat.1350....0G
1255|* ome Oph                                                                                                |alpha2 CVn Variable                   |16 32 08.1998273 -21 27 59.012005      |356.2994442105 +17.8258692284      |    21.12 35.26   |4.45     |ApSrEuCr          |    ~     ~    |    1|   50.1897  pc  |  -0.7680     +0.7680  |paral   |2018yCat.1345....0G
1256|HD 148623                                                                                                |High Proper Motion Star               |16 30 07.1554570800 -22 26 24.674548596|355.2015147501432 +17.5557594941622| 58.925 -12.454   |9.78     |F8V               |    ~     ~    |    1|  117.621   pc  |  -0.2587     +0.2587  |paral   |2020yCat.1350....0G
1257|HD 148834                                                                                                |Star                                  |16 31 37.2961412376 -22 48 04.415407560|355.1482866523583 +17.0578016439763|  -9.339 -9.243   |8.61     |G8IV              |    ~     ~    |    1|  208.212   pc  |  -1.1142     +1.1142  |paral   |2020yCat.1350....0G
1258|IRAS 16286-2209                                                                                          |Long-Period Variable Candidate        |16 31 35.5374173736 -22 16 13.079240832|355.5682323147263 +17.4057263571596|   -4.435 0.432   |9.97     |M6                |    ~     ~    |    0|                |                       |        |                   
1259|IRAS 16293-2205                                                                                          |Long-Period Variable                  |16 32 18.1993709808 -22 11 59.735429124|355.7356629741278 +17.3251660976307|   0.238 -7.610   |10.22    |M1                |    ~     ~    |    0|                |                       |        |                   
1260|BD-21 4376                                                                                               |Star                                  |16 30 31.2872152248 -21 44 31.126230924|355.8239965293918 +17.9361413564120|    1.121 4.503   |10.79    |~                 |    ~     ~    |    1|  216.797   pc  |  -0.9212     +0.9212  |paral   |2020yCat.1350....0G
1261|BD-21 4374                                                                                               |Star                                  |16 30 10.0679163048 -22 04 04.667614716|355.5068705866878 +17.7881976324903| -16.600 -7.369   |10.47    |~                 |    ~     ~    |    1|  368.636   pc  |  -2.3102     +2.3102  |paral   |2020yCat.1350....0G
1262|BD-21 4383                                                                                               |High Proper Motion Star               |16 32 27.9856114800 -21 45 29.740385232|356.1159601634732 +17.5798843137276|-31.818 -42.861   |10.27    |~                 |    ~     ~    |    1|  152.807   pc  |  -0.3993     +0.3993  |paral   |2020yCat.1350....0G
1263|BD-20 4502                                                                                               |High Proper Motion Star               |16 30 54.6239332416 -21 18 28.252707336|356.2345620952889 +18.1465133975795|  -59.497 2.409   |10.99    |~                 |    ~     ~    |    1|  419.868   pc  | -12.2521    +12.2521  |paral   |2020yCat.1350....0G
1264|BD-21 4382                                                                                               |Star                                  |16 32 20.5272097200 -21 21 40.547748492|356.4164214329451 +17.8565202527954|    1.550 0.666   |10.0     |~                 |    ~     ~    |    1| 1199.616   pc  | -25.6156    +25.6156  |paral   |2020yCat.1350....0G
1265|HD 149134                                                                                                |Star                                  |16 33 33.2787547056 -21 21 16.792606692|356.6112416160847 +17.6436420093532|   9.062 -0.384   |9.41     |A0V               |    ~     ~    |    1|  321.688   pc  |  -1.9972     +1.9972  |paral   |2020yCat.1350....0G
1266|HD 149421                                                                                                |High Proper Motion Star               |16 35 29.0345731824 -21 52 40.438559172|356.4881089905981 +16.9646640002479|-73.257 -118.769  |8.84     |F6V               |    ~     ~    |    1|  116.167   pc  |  -1.3657     +1.3657  |paral   |2020yCat.1350....0G
1267|HD 149760                                                                                                |High Proper Motion Star               |16 37 38.2778587992 -22 03 34.037480376|356.6724509243994 +16.4634629501599|-57.541 -148.320  |8.85     |K1(IV)+F/G        |    ~     ~    |    1|   87.722   pc  |  -0.1816     +0.1816  |paral   |2020yCat.1350....0G
1268|HD 149958                                                                                                |Star                                  |16 38 46.1675823384 -21 27 14.746470768|357.3353732828907 +16.6414667271125|   1.696 -1.672   |10.49    |K                 |    ~     ~    |    1|  547.315   pc  |  -5.0625     +5.0625  |paral   |2020yCat.1350....0G
1269|HD 149999                                                                                                |Star                                  |16 39 00.4018939128 -22 02 38.774666976|356.8935713342237 +16.2272454904082|  -8.610 -0.978   |9.25     |F5/6V             |    ~     ~    |    1|  118.700   pc  |  -0.2860     +0.2860  |paral   |2020yCat.1350....0G
1270|HD 150124                                                                                                |Star                                  |16 39 52.0794632640 -21 59 36.666512700|357.0652998477161 +16.1039514823022|-26.083 -16.058   |9.77     |G6/8III           |    ~     ~    |    1|  321.978   pc  |  -1.9283     +1.9283  |paral   |2020yCat.1350....0G
1271|HD 150221                                                                                                |Star                                  |16 40 22.6106590224 -21 55 01.699839732|357.2042670934969 +16.0600782091419|   2.918 -3.621   |9.96     |G8/K0             |    ~     ~    |    1|  333.189   pc  |  -2.1315     +2.1315  |paral   |2020yCat.1350....0G
1272|HD 150309                                                                                                |Star                                  |16 40 58.8839314104 -21 40 12.169762392|357.4962101048187 +16.1054513615940|   1.059 -3.860   |9.39     |G8IV              |    ~     ~    |    1|  593.049   pc  |  -6.5418     +6.5418  |paral   |2020yCat.1350....0G
1273|HD 150222                                                                                                |Star                                  |16 40 26.8896931464 -22 09 38.993496948|357.0177092083077 +15.8942700487504| -27.640 -2.675   |10.22    |F6/8V             |    ~     ~    |    1|  143.779   pc  |  -0.3618     +0.3618  |paral   |2020yCat.1350....0G
1274|HD 149288                                                                                                |Star                                  |16 34 41.8403187144 -22 36 59.637777372|355.7727093683268 +16.6334404004535|-18.130 -44.372   |9.48     |K3(III)           |    ~     ~    |    1|  237.090   pc  |  -1.1692     +1.1692  |paral   |2020yCat.1350....0G
1275|HD 149826                                                                                                |High Proper Motion Star               |16 38 06.3974212368 -22 26 38.287084128|356.4338052476613 +16.1361335664671| 19.899 -71.360   |9.54     |G3V               |    ~     ~    |    1|  112.578   pc  |  -0.2205     +0.2205  |paral   |2020yCat.1350....0G
1276|HD 149866                                                                                                |High Proper Motion Star               |16 38 19.2273978048 -22 53 34.453238424|356.1050266697264 +15.8135371175106|-34.939 -58.892   |7.61     |F3V               |    ~     ~    |    1|   92.031   pc  |  -0.3108     +0.3108  |paral   |2020yCat.1350....0G
1277|HD 149945                                                                                                |Emission-line Star                    |16 38 49.0760947032 -23 09 18.671780052|355.9697104690088 +15.5587392211431| -13.775 -5.253   |9.95     |G6/8(III)         |    ~     ~    |    1|  432.825   pc  |  -3.7842     +3.7842  |paral   |2020yCat.1350....0G
1278|HD 150105                                                                                                |Star                                  |16 39 43.4368842480 -22 17 59.480636928|356.7957155647230 +15.9371737478555|-17.095 -22.082   |10.53    |G3/5V             |    ~     ~    |    1|  120.945   pc  |  -0.2648     +0.2648  |paral   |2020yCat.1350....0G
1279|HD 149847                                                                                                |Star                                  |16 38 12.1681051968 -23 15 39.998416932|355.7916100608660 +15.6007507492341|  -4.139 -6.597   |9.84     |B9IV              |    ~     ~    |    1|  406.421   pc  |  -4.7241     +4.7241  |paral   |2020yCat.1350....0G
1280|HD 150034                                                                                                |Star                                  |16 39 17.4907555224 -23 49 37.652585700|355.5026149067645 +15.0485294008609|  -2.834 -6.032   |9.82     |A1V               |    ~     ~    |    1|  295.709   pc  |  -1.4078     +1.4078  |paral   |2020yCat.1350....0G
1281|HD 150207                                                                                                |Star                                  |16 40 24.1735830144 -23 38 58.824404016|355.8115885566496 +14.9641949493048|  -4.512 -2.322   |9.70     |A0III/IV          |    ~     ~    |    1|  745.434   pc  | -21.6156    +21.6156  |paral   |2020yCat.1350....0G
1282|HD 150321                                                                                                |Star                                  |16 41 13.3941715824 -23 19 26.816732796|356.1959168099620 +15.0237424697311|    8.071 0.788   |8.60     |G6III/IV          |    ~     ~    |    1|  240.292   pc  |  -1.1721     +1.1721  |paral   |2020yCat.1350....0G
1283|IRAS 16301-2330                                                                                          |Long-Period Variable Candidate        |16 33 11.6480984568 -23 36 40.354524108|354.7466937471394 +16.2586742060760|   7.020 -0.472   |8.86     |M0                |    ~     ~    |    1| 2034.17    pc  |-163.446    +163.446   |paral   |2020yCat.1350....0G
1284|Elia 2-80                                                                                                |Long-Period Variable Candidate        |16 33 17.1564484824 -23 23 49.491226752|354.9312673791832 +16.3808078251125|   -0.701 0.984   |8.35     |M6+               |    ~     ~    |    0|                |                       |        |                   
1285|AKARI-IRC-V1 J1633246-231158                                                                             |Long-Period Variable Candidate        |16 33 24.6516314232 -23 11 58.820151840|355.1078909539569 +16.4861346554792|    6.237 1.874   |8.77     |M1                |    ~     ~    |    1| 1527.18    pc  |-125.011    +125.011   |paral   |2020yCat.1350....0G
1286|IRAS 16322-2250                                                                                          |Star                                  |16 35 18.7 -22 57 05                   |355.5989 +16.3104                  |            ~ ~   |8.25     |M0                |    ~     ~    |    0|                |                       |        |                   
1287|IRAS 16340-2254                                                                                          |Star                                  |16 37 02.3040685584 -23 00 08.529469956|355.8221483450534 +15.9718908025450|   1.851 -7.906   |10.05    |~                 |    ~     ~    |    1|  674.627   pc  |  -9.1935     +9.1935  |paral   |2020yCat.1350....0G
1288|BD-22 4179                                                                                               |Star                                  |16 37 52.6993772256 -23 10 29.893316988|355.8114771016630 +15.7130534146487|   0.613 -6.810   |10.72    |~                 |    ~     ~    |    1|  503.525   pc  |  -7.8089     +7.8089  |paral   |2020yCat.1350....0G
1289|CD-23 12879                                                                                              |Star                                  |16 38 22.7914751232 -23 22 21.520887564|355.7290138797216 +15.4984987265183|   -2.451 1.765   |10.90    |~                 |    ~     ~    |    1|  732.654   pc  |  -8.4275     +8.4275  |paral   |2020yCat.1350....0G
1290|CD-23 12884                                                                                              |Star                                  |16 39 30.1524517608 -23 42 55.816022232|355.6236830153672 +15.0820425488851| -7.154 -14.828   |10.96    |~                 |    ~     ~    |    1|  258.325   pc  |  -1.6082     +1.6082  |paral   |2020yCat.1350....0G
1291|TYC 6795-283-1                                                                                           |Star                                  |16 31 00.3399681696 -22 52 44.095361052|354.9902509534692 +17.1157237324858|    7.008 2.113   |10.71    |~                 |    ~     ~    |    1|  794.534   pc  | -12.7519    +12.7519  |paral   |2020yCat.1350....0G
1292|TYC 6796-694-1                                                                                           |Star                                  |16 37 28.0281950160 -23 07 32.100092868|355.7886127202816 +15.8174025623946| -7.275 -27.872   |10.87    |~                 |    ~     ~    |    1|  336.078   pc  |  -5.4554     +5.4554  |paral   |2020yCat.1350....0G
1293|HD 150193                                                                                                |Be Star                               |16 40 17.9243127240 -23 53 45.193372692|355.5987002688176 +14.8268546932967| -4.935 -19.046   |8.79     |B9.5Ve            |    ~     ~    |    1|  150.800   pc  |  -0.4798     +0.4798  |paral   |2020yCat.1350....0G
1294|HD 150601                                                                                                |Star                                  |16 42 57.6640129368 -22 13 36.331254048|357.3422632395663 +15.3992675654662|  0.805 -20.325   |10.09    |A1IV              |    ~     ~    |    1|  277.139   pc  |  -1.2903     +1.2903  |paral   |2020yCat.1350....0G
1295|HD 150434                                                                                                |Emission-line Star                    |16 41 55.6010211600 -23 03 28.439589240|356.5155171929461 +15.0654545828565|  -4.811 -0.728   |10.69    |A1/2III           |    ~     ~    |    1|  546.090   pc  |  -4.9802     +4.9802  |paral   |2020yCat.1350....0G
1296|HD 150495                                                                                                |Star                                  |16 42 14.3259492792 -22 42 10.275954300|356.8487549600506 +15.2320694441146| -0.591 -30.548   |9.90     |F3V               |    ~     ~    |    1|  131.860   pc  |  -0.3790     +0.3790  |paral   |2020yCat.1350....0G
1297|HD 150542                                                                                                |Star                                  |16 42 35.4748308960 -23 06 40.954800420|356.5716463607599 +14.9128791421828|   0.398 -0.611   |10.36    |A8/9V             |    ~     ~    |    1|  599.664   pc  | -13.1972    +13.1972  |paral   |2020yCat.1350....0G
1298|HD 150585                                                                                                |Star                                  |16 42 56.7418448832 -23 13 33.256514028|356.5321067274384 +14.7776287275973|-13.846 -24.776   |10.58    |F2V               |    ~     ~    |    1|  200.993   pc  |  -0.6706     +0.6706  |paral   |2020yCat.1350....0G
1299|HD 150634                                                                                                |Spectroscopic Binary                  |16 43 09.6305839272 -22 20 40.827520068|357.2764913103861 +15.2896790933755| -10.741 -5.994   |9.99     |F3V               |    ~     ~    |    1|  163.404   pc  |  -7.1371     +7.1371  |paral   |2020yCat.1350....0G
1300|V* V2353 Oph                                                                                             |alpha2 CVn Variable                   |16 43 39.6952254048 -22 44 11.304199968|357.0339413629233 +14.9549157238047|-23.956 -26.360   |7.57     |ApSi              |    ~     ~    |    1|  165.270   pc  |  -0.9041     +0.9041  |paral   |2020yCat.1350....0G
1301|HD 150485                                                                                                |Star                                  |16 42 13.8512748864 -23 16 44.321939148|356.3828281555862 +14.8722413892271|  -8.197 20.637   |10.27    |G6/K0             |    ~     ~    |    1|  339.963   pc  |  -5.0622     +5.0622  |paral   |2020yCat.1350....0G
1302|HD 150515                                                                                                |Double or Multiple Star               |16 42 28.8227 -23 40 39.979            |356.0991638 +14.5772104            |  -28.80 -30.70   |10.49    |G1/2V             |    ~     ~    |    0|                |                       |        |                   
1303|HD 150586                                                                                                |Star                                  |16 42 56.4282072096 -23 42 53.657434404|356.1376564728089 +14.4719310314985|-12.716 -15.367   |9.99     |A7V               |    ~     ~    |    1|  175.657   pc  |  -0.5739     +0.5739  |paral   |2020yCat.1350....0G
1304|HD 150602                                                                                                |Star                                  |16 43 04.8380177844 -23 57 39.258800998|355.9607868352242 +14.2925133066572| -2.349 -49.479   |10.52    |G6/K0             |    ~     ~    |    0|                |                       |        |                   
1305|HD 150767                                                                                                |Star                                  |16 44 04.1780714760 -24 00 44.915649804|356.0655201167659 +14.0842363032151|  -7.500 -8.698   |8.97     |B9III             |    ~     ~    |    1|  250.081   pc  |  -1.7261     +1.7261  |paral   |2020yCat.1350....0G
1306|TYC 6796-305-1                                                                                           |Star                                  |16 43 25.7189211096 -23 02 47.345080992|356.7487132669033 +14.8032766987601|  -3.675 -3.619   |10.94    |~                 |    ~     ~    |    1|  262.778   pc  |  -7.0019     +7.0019  |paral   |2020yCat.1350....0G
1307|IRAS 16401-2135                                                                                          |Star                                  |16 43 06.6766504656 -21 41 19.911919956|357.8017171253931 +15.7068756517915|  -2.036 -1.195   |9.85     |~                 |    ~     ~    |    1|  838.856   pc  | -15.0587    +15.0587  |paral   |2020yCat.1350....0G
1308|VSS II-108                                                                                               |Star                                  |16 43 04.9 -23 57 38                   |355.9612 +14.2925                  |            ~ ~   |10.50    |~                 |    ~     ~    |    0|                |                       |        |                   
1309|BD-22 4191                                                                                               |Star                                  |16 42 20.6711026272 -22 33 01.042713504|356.9879305490284 +15.3085239241713|-19.704 -29.063   |10.71    |~                 |    ~     ~    |    1|  235.810   pc  |  -6.5616     +6.5616  |paral   |2020yCat.1350....0G
1310|BD-21 4402                                                                                               |High Proper Motion Star               |16 42 59.5718919816 -21 46 22.538810820|357.7155730317035 +15.6761378183184| 10.550 -71.127   |10.27    |~                 |    ~     ~    |    1|  114.961   pc  |  -0.2300     +0.2300  |paral   |2020yCat.1350....0G
1311|BD-21 4405                                                                                               |Star                                  |16 43 16.4468157120 -21 26 44.041245648|358.0242874481983 +15.8283139961231|  -0.779 -5.903   |10.94    |~                 |    ~     ~    |    1|  483.887   pc  |  -5.3151     +5.3151  |paral   |2020yCat.1350....0G
1312|BD-21 4406                                                                                               |Star                                  |16 43 50.8667639016 -22 12 11.829743280|357.4937992300028 +15.2532926313871|   21.353 8.240   |10.96    |~                 |    ~     ~    |    1|  222.777   pc  |  -0.7395     +0.7395  |paral   |2020yCat.1350....0G
1313|CD-23 12902                                                                                              |High Proper Motion Star               |16 43 51.9697388832 -23 30 52.758639576|356.4360269217126 +14.4321526656542|-38.643 -34.123   |10.922   |K1Ve              |    ~     ~    |    1|   80.572   pc  |  -0.1175     +0.1175  |paral   |2020yCat.1350....0G
1314|TYC 6229-51-1                                                                                            |Star                                  |16 42 07.0227021600 -22 22 43.234332276|357.0927055407246 +15.4568736828878|  2.011 -18.727   |10.71    |~                 |    ~     ~    |    1|  558.254   pc  |  -4.5812     +4.5812  |paral   |2020yCat.1350....0G
1315|HD 150814                                                                                                |Star                                  |16 44 17.6652088104 -22 31 24.902819364|357.3004873737716 +14.9732482805170|-20.284 -22.249   |7.58     |B9.5V             |    ~     ~    |    1|  184.057   pc  |  -3.2793     +3.2793  |paral   |2020yCat.1350....0G
1316|HD 150861                                                                                                |Star                                  |16 44 36.8772176064 -22 59 39.503133024|356.9668736833763 +14.6225472173296|   14.459 7.364   |9.40     |K0/1III+(G)       |    ~     ~    |    1|   95.815   pc  |  -0.1542     +0.1542  |paral   |2020yCat.1350....0G
1317|BD-22 4201                                                                                               |Long-Period Variable Candidate        |16 44 44.5486351008 -23 05 00.720577428|356.9136533869454 +14.5439732934075|   -2.284 0.147   |9.45     |M3(III)           |    ~     ~    |    1|  782.411   pc  | -20.9973    +20.9973  |paral   |2020yCat.1350....0G
1318|CD-22 11620                                                                                              |Emission-line Star                    |16 44 59.2335372696 -23 11 43.888502148|356.8593154640009 +14.4302197021547|   -0.320 0.387   |10.130   |~                 |    ~     ~    |    1|  744.879   pc  |  -9.4324     +9.4324  |paral   |2020yCat.1350....0G
1319|BD-22 4202                                                                                               |Spectroscopic Binary                  |16 44 47.0782161552 -22 32 15.025013412|357.3620052924504 +14.8759100903515| -3.696 -29.756   |10.11    |~                 |    ~     ~    |    1|  507.743   pc  |  -4.5373     +4.5373  |paral   |2020yCat.1350....0G
1320|TYC 6796-641-1                                                                                           |Star                                  |16 41 45.6392376792 -23 10 14.135056608|356.3998858961118 +15.0243763056052|  11.285 -0.352   |10.55    |~                 |    ~     ~    |    1|  595.948   pc  |  -5.9311     +5.9311  |paral   |2020yCat.1350....0G
1321|TYC 6796-1298-1                                                                                          |Star                                  |16 42 28.1462774040 -23 17 20.178393252|356.4103320058394 +14.8233970326008| -5.484 -18.776   |10.54    |~                 |    ~     ~    |    1|  742.611   pc  | -11.2500    +11.2500  |paral   |2020yCat.1350....0G
1322|HD 148670                                                                                                |High Proper Motion Star               |16 30 25.1966473248 -18 20 23.448002028|358.5756510121385 +20.1293003621350|-48.950 -91.518   |9.36     |G6V               |    ~     ~    |    1|   69.073   pc  |  -1.2209     +1.2209  |paral   |2020yCat.1350....0G
1323|BD-18 4289                                                                                               |High Proper Motion Star               |16 31 03.2164254000 -18 37 14.101954176|358.4456339050842 +19.8352645019150| 52.972 -78.006   |10.8     |K5                |    ~     ~    |    1|   47.359   pc  |  -0.0498     +0.0498  |paral   |2020yCat.1350....0G
1324|HD 148970                                                                                                |Star                                  |16 32 33.7687851816 -20 04 24.838291560|357.4951589030362 +18.6383573685911| -10.120 -7.929   |9.69     |F2V               |    ~     ~    |    1|  168.939   pc  |  -0.6393     +0.6393  |paral   |2020yCat.1350....0G
1325|HD 149000                                                                                                |Star                                  |16 32 39.8422508688 -19 35 29.652112212|357.9045532268087 +18.9258610257223|  -2.126 -6.077   |9.34     |G8IV              |    ~     ~    |    1|  272.584   pc  |  -1.5901     +1.5901  |paral   |2020yCat.1350....0G
1326|HD 148715                                                                                                |Star                                  |16 30 52.1842044312 -20 49 22.057320936|356.6198157273707 +18.4652449694669| -1.186 -11.879   |9.42     |K5(III)           |    ~     ~    |    1|  403.682   pc  |  -4.3999     +4.3999  |paral   |2020yCat.1350....0G
1327|HD 148932                                                                                                |Star                                  |16 32 21.6659638080 -20 46 58.541033388|356.8870490847803 +18.2229115802987|    6.679 8.151   |9.47     |G8IIICNIV/V       |    ~     ~    |    1|  347.415   pc  |  -2.0639     +2.0639  |paral   |2020yCat.1350....0G
1328|HD 148946                                                                                                |Spectroscopic Binary                  |16 32 26.1508174176 -20 45 07.731210708|356.9237370301140 +18.2291084135061|    8.419 0.613   |8.31     |K1III             |    ~     ~    |    1|  405.400   pc  |  -6.6068     +6.6068  |paral   |2020yCat.1350....0G
1329|HD 149032                                                                                                |Star                                  |16 32 55.3045020648 -20 19 37.964674452|357.3451228302611 +18.4121057301539|    4.050 4.398   |9.81     |A1III/IV          |    ~     ~    |    1|  203.484   pc  |  -1.8633     +1.8633  |paral   |2020yCat.1350....0G
1330|IRAS 16281-1824                                                                                          |Star                                  |16 31 06.5466834984 -18 31 26.231453652|358.5340364684114 +19.8862301882002|    1.198 0.346   |10.10    |~                 |    ~     ~    |    1|  486.973   pc  |  -5.7863     +5.7863  |paral   |2020yCat.1350....0G
1331|BD-19 4377                                                                                               |Star                                  |16 32 54.7569933912 -19 44 46.474856736|357.8173136140191 +18.7825702310907| -2.573 -10.647   |10.29    |~                 |    ~     ~    |    1|  202.774   pc  |  -0.7936     +0.7936  |paral   |2020yCat.1350....0G
1332|BD-20 4507                                                                                               |Young Stellar Object Candidate        |16 32 43.0397696904 -20 59 24.178867836|356.7752058944720 +18.0266358383487|-18.413 -21.301   |10.62    |~                 |    ~     ~    |    1|  189.093   pc  |  -6.0714     +6.0714  |paral   |2020yCat.1350....0G
1333|TYC 6211-134-1                                                                                           |Star                                  |16 31 17.9593653912 -19 59 53.770301412|357.3569482295804 +18.9151429750799|-18.142 -18.583   |10.85    |~                 |    ~     ~    |    1|  413.753   pc  |  -3.0301     +3.0301  |paral   |2020yCat.1350....0G
1334|HD 149435                                                                                                |High Proper Motion Star               |16 35 29.6747414832 -18 40 20.492782212|359.1047127558054 +18.9850243079310| -85.967 17.743   |8.770    |G9IV-V            |    ~     ~    |    1|   40.730   pc  |  -0.0295     +0.0295  |paral   |2020yCat.1350....0G
1335|HD 149526                                                                                                |Rotating Variable                     |16 36 05.2461314184 -18 33 32.994423684|359.2909488395713 +18.9460195068384|-10.619 -12.781   |9.15     |K2(III)           |    ~     ~    |    1|  472.746   pc  |  -4.8944     +4.8944  |paral   |2020yCat.1350....0G
1336|HD 149595                                                                                                |Be Star                               |16 36 32.4215642880 -19 16 31.235426544|358.7712389540849 +18.4149856795653|  -3.625 -1.866   |9.42     |A0V               |    ~     ~    |    1|  445.871   pc  |  -3.7573     +3.7573  |paral   |2020yCat.1350....0G
1337|HD 149934                                                                                                |Star                                  |16 38 34.7434291368 -18 49 32.510052264|359.4580797308477 +18.3182340687753|-10.545 -12.038   |6.98     |K0III             |    ~     ~    |    1|  166.500   pc  |  -1.2447     +1.2447  |paral   |2020yCat.1350....0G
1338|HD 149330                                                                                                |Star                                  |16 34 47.5495697664 -19 56 27.247393896|357.9531608493800 +18.3170324879251|   7.875 -3.020   |8.82     |K1/2III           |    ~     ~    |    1|  498.977   pc  |  -6.2742     +6.2742  |paral   |2020yCat.1350....0G
1339|HD 149365                                                                                                |Spectroscopic Binary                  |16 34 59.2526334600 -19 40 21.242831088|358.2031375916807 +18.4505814533522| 14.977 -89.621   |10.33    |G6V               |    ~     ~    |    1|  100.540   pc  |  -0.2325     +0.2325  |paral   |2020yCat.1350....0G
1340|HD 149619                                                                                                |Rotating Variable                     |16 36 39.2285126136 -19 36 07.579833084|358.5204923304318 +18.1895627752617|-13.540 -20.776   |9.43     |A9V               |    ~     ~    |    1|  159.251   pc  |  -0.4666     +0.4666  |paral   |2020yCat.1350....0G
1341|HD 149915                                                                                                |Spectroscopic Binary                  |16 38 28.5649111704 -19 31 26.005144980|358.8667836082252 +17.9032390679639| -5.241 -21.850   |10.13    |F0V               |    ~     ~    |    1|  195.484   pc  |  -1.2611     +1.2611  |paral   |2020yCat.1350....0G
1342|HD 150240                                                                                                |High Proper Motion Star               |16 40 28.8496771632 -19 51 30.773800332|358.8996053757308 +17.3255840034580|-80.235 -107.592  |9.795    |G8/K0V            |    ~     ~    |    1|   85.269   pc  |  -1.1390     +1.1390  |ST-L    |2020AJ....160...83S
1343|BD-19 4404                                                                                               |Star                                  |16 40 32.1280821048 -19 27 24.292461312|359.2384816096739 +17.5645256038158|   1.225 -4.387   |9.75     |K5                |    ~     ~    |    1|  473.911   pc  |  -4.9859     +4.9859  |paral   |2020yCat.1350....0G
1344|HD 149109                                                                                                |High Proper Motion Star               |16 33 23.5602892656 -20 14 44.843432496|357.4853201528878 +18.3785436102698| 22.736 -60.306   |10.18    |K0V               |    ~     ~    |    1|   57.940   pc  |  -0.1259     +0.1259  |paral   |2020yCat.1350....0G
1345|HD 149366                                                                                                |Star                                  |16 34 57.8850275472 -20 07 50.107349172|357.8251488495501 +18.1659192369330|  -4.511 -4.147   |9.69     |K1III             |    ~     ~    |    1|  735.132   pc  |  -9.6735     +9.6735  |paral   |2020yCat.1350....0G
1346|HD 149436                                                                                                |Star                                  |16 35 36.9647090760 -20 15 20.993482224|357.8243851288618 +17.9683311893995|   -4.030 1.056   |9.21     |K0/1III           |    ~     ~    |    1|  692.953   pc  | -17.4307    +17.4307  |paral   |2020yCat.1350....0G
