C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:06:43

dec< 0&rah >=6.5&rah< 6.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7316

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-------------------------|--------|-------------------
1735|BD-06 1706                                                            |Star                                  |06 44 09.1302127272 -06 51 26.969612796|218.2215162133227 -04.7340176041289|  -0.192 -4.254   |9.57     |~                 |    ~     ~    |    1|  842.744   pc  | -10.2982    +10.2982    |paral   |2020yCat.1350....0G
1736|HD 48668                                                              |Star                                  |06 44 15.3827934144 -07 08 00.274638300|218.4803735412733 -04.8353020286973|  -0.836 -1.974   |9.15     |ApEuCrSr          |    ~     ~    |    1|  700.869   pc  | -11.4454    +11.4454    |paral   |2020yCat.1350....0G
1737|HD 48755                                                              |Star                                  |06 44 38.4981546384 -07 01 02.919217620|218.4197565684410 -04.6977271833298|  -0.153 -0.099   |10.01    |B9III/IV          |    ~     ~    |    1|  705.716   pc  | -10.9568    +10.9568    |paral   |2020yCat.1350....0G
1738|BD-07 1487                                                            |Star                                  |06 36 33.3146709936 -07 13 13.510905960|217.6959314175406 -06.5809289024156|  -0.929 -8.678   |9.92     |~                 |    ~     ~    |    1|  483.816   pc  |  -3.5346     +3.5346    |paral   |2020yCat.1350....0G
1739|HD 47092                                                              |Star                                  |06 36 36.9220045152 -07 17 45.129810876|217.7705587476404 -06.6014009939387|   -5.905 1.998   |8.61     |A1V               |    ~     ~    |    1|  232.878   pc  |  -2.9340     +2.9340    |paral   |2020yCat.1350....0G
1740|HD 47385                                                              |High Proper Motion Star               |06 38 02.1609945096 -07 15 22.264710300|217.8937615673832 -06.2686793269579|  2.623 -86.625   |9.44     |F6V               |    ~     ~    |    1|  124.831   pc  |  -0.2213     +0.2213    |paral   |2020yCat.1350....0G
1741|HD 47422                                                              |Star                                  |06 38 14.9100820320 -07 19 32.719588896|217.9800884569656 -06.2527794872615|  -6.152 -2.038   |8.68     |A0V               |    ~     ~    |    1|  255.480   pc  |  -2.0560     +2.0560    |paral   |2020yCat.1350....0G
1742|HD 47436                                                              |Star                                  |06 38 16.1248742952 -07 47 14.220910212|218.3975113796504 -06.4550807128536|  -5.054 -2.285   |9.81     |A7/8(II)          |    ~     ~    |    1|  450.979   pc  |  -3.5795     +3.5795    |paral   |2020yCat.1350....0G
1743|BD-07 1499                                                            |Star                                  |06 38 20.4836926728 -07 33 26.040864132|218.1986494690696 -06.3359521250518|-32.209 -11.645   |9.57     |~                 |    ~     ~    |    1|  189.876   pc  |  -0.5444     +0.5444    |paral   |2020yCat.1350....0G
1744|BD-07 1504                                                            |Star                                  |06 39 15.9 -07 34 38                   |218.3198 -06.1403                  |            ~ ~   |9.5      |~                 |    ~     ~    |    0|                |                         |        |                   
1745|HD 47688                                                              |Star                                  |06 39 38.4043605264 -07 09 51.179585292|217.9906518517705 -05.8718740949540|  -3.159 -3.645   |9.26     |K0III             |    ~     ~    |    1|  472.121   pc  |  -3.2543     +3.2543    |paral   |2020yCat.1350....0G
1746|HD 47689                                                              |Star                                  |06 39 37.8456243960 -07 55 57.458931060|218.6802429653683 -06.2185734645626|  -1.736 -1.418   |9.85     |B9IV/V            |    ~     ~    |    1|  745.490   pc  | -11.1151    +11.1151    |paral   |2020yCat.1350....0G
1747|HD 47709                                                              |Double or Multiple Star               |06 39 37.6713 -08 01 39.056            |218.7652644 -06.2617130            |      8.10 6.90   |9.10     |A3(III)           |    ~     ~    |    0|                |                         |        |                   
1748|HD 47708                                                              |Star                                  |06 39 43.6 -07 40 18                   |218.4563 -06.0804                  |            ~ ~   |9.6      |F3/5V             |    ~     ~    |    0|                |                         |        |                   
1749|HD 47897                                                              |Star                                  |06 40 28.2549535488 -07 25 10.471203444|218.3130035937786 -05.8024413018163|    3.268 4.502   |8.55     |A0/1V             |    ~     ~    |    1|  304.146   pc  |  -3.7187     +3.7187    |paral   |2020yCat.1350....0G
1750|HD 47938                                                              |Star                                  |06 40 41.0162529672 -07 51 47.394024264|218.7353011981027 -05.9543772690802|   0.515 -3.992   |9.77     |A1IV              |    ~     ~    |    1|  612.858   pc  |  -7.2490     +7.2490    |paral   |2020yCat.1350....0G
1751|HD 47967                                                              |Double or Multiple Star               |06 40 52.3100314968 -07 11 54.803687100|218.1594316860053 -05.6143411938718|       -6.5 1.1   |8.98     |A0V               |    ~     ~    |    0|                |                         |        |                   
1752|HD 47988                                                              |Star                                  |06 40 53.1161479872 -07 48 08.275852260|218.7031280024751 -05.8824386259533|   -2.153 3.657   |10.12    |A6/8II            |    ~     ~    |    1|  541.067   pc  |  -5.0354     +5.0354    |paral   |2020yCat.1350....0G
1753|HD 48016                                                              |Star                                  |06 41 01.8524316240 -07 34 21.463549104|218.5130923380772 -05.7471359044174|   -3.038 1.969   |6.79     |K3III             |    ~     ~    |    1|  763.126   pc  | -10.7737    +10.7737    |paral   |2020yCat.1350....0G
1754|HD 48081                                                              |Star                                  |06 41 14.5704004320 -07 54 26.749835892|218.8375149723118 -05.8504498108720|   -0.038 1.303   |9.87     |B8/9III           |    ~     ~    |    1|  783.453   pc  | -14.9767    +14.9767    |paral   |2020yCat.1350....0G
1755|HD 48106                                                              |Star                                  |06 41 22.4201469000 -07 10 07.329934308|218.1888537806585 -05.4897319010252|   -6.885 0.721   |6.96     |B5/7III           |    ~     ~    |    1|  421.905   pc  | -17.4800    +17.4800    |paral   |2020yCat.1350....0G
1756|HD 48146                                                              |Star                                  |06 41 33.8814872184 -07 32 21.642302292|218.5429074159731 -05.6139829943542|   -4.014 0.828   |9.91     |B8II              |    ~     ~    |    1|  887.469   pc  | -21.3440    +21.3440    |paral   |2020yCat.1350....0G
1757|HD 48159                                                              |Star                                  |06 41 39.6030498240 -07 58 29.953557192|218.9447845265416 -05.7884269505732|  -1.838 -6.175   |8.25     |B9V               |    ~     ~    |    1|  268.147   pc  |  -3.5951     +3.5951    |paral   |2020yCat.1350....0G
1758|BD-07 1533                                                            |Star                                  |06 42 20.8928981712 -07 34 17.752325592|218.6595066094175 -05.4549946158743|  -1.701 -2.537   |10.24    |~                 |    ~     ~    |    1|  966.931   pc  | -18.9796    +18.9796    |paral   |2020yCat.1350....0G
1759|HD 48372                                                              |Star                                  |06 42 49.3759706304 -07 41 14.482417200|218.8164835265187 -05.4019349967967| -7.135 -10.653   |9.22     |F3V               |    ~     ~    |    1|  287.728   pc  |  -1.3329     +1.3329    |paral   |2020yCat.1350....0G
1760|HD 48436                                                              |Star                                  |06 43 06.2470381560 -08 02 36.113116632|219.1674169710263 -05.4996491932316|    1.678 3.383   |8.93     |G8III             |    ~     ~    |    1|  443.931   pc  |  -3.4094     +3.4094    |paral   |2020yCat.1350....0G
1761|HD 48476                                                              |Star                                  |06 43 18.0826281360 -07 54 24.609595932|219.0669180891939 -05.3946909019971|  -2.786 -3.198   |9.67     |G8IV              |    ~     ~    |    1|  563.285   pc  |  -5.0766     +5.0766    |paral   |2020yCat.1350....0G
1762|HD 48620                                                              |Star                                  |06 43 59.7879358440 -07 24 52.054408764|218.7030982747219 -05.0194305106021|   0.070 -3.466   |9.56     |B9IV              |    ~     ~    |    1|  950.390   pc  | -14.0906    +14.0906    |paral   |2020yCat.1350....0G
1763|HD 48621                                                              |Star                                  |06 44 01.0900462104 -07 36 49.679439948|218.8842370030614 -05.1043403412469|  12.557 -5.436   |8.44     |K0III             |    ~     ~    |    1|  309.243   pc  |  -2.7733     +2.7733    |paral   |2020yCat.1350....0G
1764|HD 48669                                                              |Star                                  |06 44 13.4794560408 -07 55 13.581430356|219.1823183692185 -05.1965766070925|  -0.087 -1.460   |10.21    |B9Ib              |    ~     ~    |    1| 1669.449   pc  | -54.0690    +54.0690    |paral   |2020yCat.1350....0G
1765|HD 47277                                                              |Star                                  |06 37 31.6752101016 -08 03 52.421990112|218.5645453272103 -06.7431790461873|  -2.546 -3.023   |9.83     |A0II/III          |    ~     ~    |    1|  834.655   pc  | -13.6543    +13.6543    |paral   |2020yCat.1350....0G
1766|HD 48644                                                              |Star                                  |06 44 02.9149528224 -08 07 40.828315224|219.3488510873067 -05.3288066791183|  -4.911 -1.281   |9.86     |A1III             |    ~     ~    |    1|  412.218   pc  |  -3.9082     +3.9082    |paral   |2020yCat.1350....0G
1767|HD 47278                                                              |Star                                  |06 37 32.0240775624 -08 14 08.206572624|218.7192945462757 -06.8183264472552|  -9.473 -2.323   |7.23     |B9V               |    ~     ~    |    1|  205.778   pc  |  -3.8576     +3.8576    |paral   |2020yCat.1350....0G
1768|HD 47455                                                              |Star                                  |06 38 21.3995551800 -08 09 35.286626232|218.7426415101031 -06.6022837663035|   -2.986 1.880   |8.98     |A2II/III          |    ~     ~    |    1|  264.704   pc  |  -3.6996     +3.6996    |paral   |2020yCat.1350....0G
1769|BD-05 1713                                                            |Star                                  |06 37 32.1027295800 -05 39 19.510398252|216.3998382252275 -05.6601983429242|  -0.762 -0.059   |10.80    |~                 |    ~     ~    |    1|  679.256   pc  |  -8.4895     +8.4895    |paral   |2020yCat.1350....0G
1770|BD-05 1729                                                            |Star                                  |06 39 42.7179476592 -05 56 18.889017864|216.8989199429575 -05.3044794911038|   -0.408 5.344   |9.13     |~                 |    ~     ~    |    1|  874.355   pc  | -12.0791    +12.0791    |paral   |2020yCat.1350....0G
1771|BD-07 1491                                                            |Star                                  |06 37 09.2737359408 -07 36 28.313118612|218.1116460314144 -06.6215972734162|  -3.319 10.312   |10.07    |~                 |    ~     ~    |    1|  716.025   pc  | -12.7147    +12.7147    |paral   |2020yCat.1350....0G
1772|BD-07 1493                                                            |Star                                  |06 37 30.3858250440 -07 59 53.579447232|218.5023922802647 -06.7182784007278| -7.339 -18.456   |9.97     |~                 |    ~     ~    |    1|  648.088   pc  |  -5.6282     +5.6282    |paral   |2020yCat.1350....0G
1773|BD-06 1638                                                            |Star                                  |06 37 39.6187736184 -06 28 16.187952648|217.1461633809763 -05.9995433373377|   3.401 -2.417   |9.98     |~                 |    ~     ~    |    1| 1193.745   pc  | -23.0854    +23.0854    |paral   |2020yCat.1350....0G
1774|TYC 4811-1457-1                                                       |Star                                  |06 38 08.5345249080 -06 13 24.670835112|216.9779468363313 -05.7812152263287|  -0.396 -7.045   |10.49    |~                 |    ~     ~    |    1|  756.716   pc  |  -9.5627     +9.5627    |paral   |2020yCat.1350....0G
1775|BD-07 1500                                                            |Star                                  |06 38 42.3643430064 -07 51 01.681255944|218.5031653449145 -06.3865164750383|   1.592 -3.339   |10.53    |~                 |    ~     ~    |    1|  700.231   pc  | -16.0826    +16.0826    |paral   |2020yCat.1350....0G
1776|BD-06 1666                                                            |Star                                  |06 40 49.4639042232 -06 27 08.635747320|217.4847031345098 -05.2891611223662|    3.501 3.265   |9.94     |~                 |    ~     ~    |    1|  627.983   pc  |  -6.1126     +6.1126    |paral   |2020yCat.1350....0G
1777|BD-07 1531                                                            |High Proper Motion Star               |06 41 40.2910793064 -08 05 20.087742516|219.0484148824530 -05.8369875443691| -9.488 -99.319   |9.45     |~                 |    ~     ~    |    1|   79.997   pc  |  -0.0890     +0.0890    |paral   |2020yCat.1350....0G
1778|TYC 4811-2999-1                                                       |Star                                  |06 42 00.9028725456 -07 21 42.350819364|218.4339257442846 -05.4344524310018|    7.902 4.199   |10.99    |~                 |    ~     ~    |    1| 1101.322   pc  | -19.5278    +19.5278    |paral   |2020yCat.1350....0G
1779|BD-05 1757                                                            |Star                                  |06 42 35.0036558328 -06 00 19.834750404|217.2821629054585 -04.6974685572668|  -2.021 -1.166   |10.11    |~                 |    ~     ~    |    1| 1532.332   pc  | -34.2814    +34.2814    |paral   |2020yCat.1350....0G
1780|BD-05 1774                                                            |Star                                  |06 44 31.6748906352 -05 54 28.368348516|217.4138665392044 -04.2220024645862|  -0.675 -0.885   |9.37     |~                 |    ~     ~    |    0|                |                         |        |                   
1781|BD-07 1545                                                            |Star                                  |06 44 42.0942473448 -07 28 17.791216644|218.8333143180250 -04.8890918371110| -7.172 -11.432   |10.46    |~                 |    ~     ~    |    1|  653.637   pc  | -15.2953    +15.2953    |paral   |2020yCat.1350....0G
1782|BD-07 1546                                                            |Star                                  |06 44 59.0860687416 -07 34 18.291233208|218.9547737940497 -04.8715188613911|   7.803 -2.643   |10.34    |~                 |    ~     ~    |    1|  665.115   pc  |  -6.5472     +6.5472    |paral   |2020yCat.1350....0G
1783|HD 46803                                                              |High Proper Motion Star               |06 35 12.2627085960 -05 35 23.240883984|216.0783357363975 -06.1483370912943|  0.686 -80.668   |9.08     |F7/8V             |    ~     ~    |    1|   85.840   pc  |  -0.5401     +0.5401    |paral   |2020yCat.1350....0G
1784|BD-05 1688                                                            |Star                                  |06 34 09.7264697424 -06 00 36.566970840|216.3387573440983 -06.5689606173951|   1.135 -0.766   |9.95     |~                 |    ~     ~    |    1|  318.390   pc  |  -2.1896     +2.1896    |paral   |2020yCat.1350....0G
1785|BD-06 1708                                                            |Star                                  |06 44 15.9135086664 -06 15 13.823691768|217.6937965669138 -04.4365682223018|  -2.048 -4.974   |9.82     |~                 |    ~     ~    |    1|  883.783   pc  | -13.9031    +13.9031    |paral   |2020yCat.1350....0G
1786|TYC 4807-1984-1                                                       |Star                                  |06 41 01.3453941408 -05 33 40.359302136|216.7084495867787 -04.8433221406047|  -1.211 -4.142   |10.54    |~                 |    ~     ~    |    1| 1121.202   pc  | -25.6447    +25.6447    |paral   |2020yCat.1350....0G
1787|TYC 4807-2028-1                                                       |Star                                  |06 40 38.6455969512 -05 33 16.723860660|216.6599127076750 -04.9243547492624| -2.558 -16.242   |10.23    |~                 |    ~     ~    |    1|  513.426   pc  |  -4.4813     +4.4813    |paral   |2020yCat.1350....0G
1788|HD 48692                                                              |Star                                  |06 44 23.8174466160 -05 35 42.309188340|217.1193679377571 -04.1096210072717|   2.408 -5.042   |10.23    |B9III             |    ~     ~    |    1| 1021.659   pc  | -26.9297    +26.9297    |paral   |2020yCat.1350....0G
1789|TYC 4810-119-1                                                        |Star                                  |06 33 46.9544992920 -07 19 06.945736944|217.4743578529357 -07.2397479711429|   -0.421 3.383   |9.79     |~                 |    ~     ~    |    1|  715.615   pc  |  -7.3743     +7.3743    |paral   |2020yCat.1350....0G
1790|TYC 4810-250-1                                                        |High Proper Motion Star               |06 34 00.6723414024 -07 23 06.506639844|217.5599057459390 -07.2187920251547| 29.101 -56.294   |10.95    |~                 |    ~     ~    |    1|  201.325   pc  |  -0.5431     +0.5431    |paral   |2020yCat.1350....0G
1791|TYC 4810-348-1                                                        |Star                                  |06 34 33.4888501056 -07 16 19.217476200|217.5190514632995 -07.0468945296194|   -1.878 1.247   |10.91    |~                 |    ~     ~    |    1|  605.987   pc  |  -7.5647     +7.5647    |paral   |2020yCat.1350....0G
1792|TYC 4810-529-1                                                        |Star                                  |06 35 03.5678861928 -06 07 03.911044332|216.5364009726688 -06.4180306260791|   1.718 -2.804   |10.98    |~                 |    ~     ~    |    1|  864.379   pc  | -14.8683    +14.8683    |paral   |2020yCat.1350....0G
1793|TYC 4810-925-1                                                        |Star                                  |06 34 41.1908724504 -06 27 08.641724328|216.7954579659920 -06.6511328452935|  10.444 -1.035   |10.43    |~                 |    ~     ~    |    1|  250.325   pc  |  -1.1029     +1.1029    |paral   |2020yCat.1350....0G
1794|GSC 04810-01183                                                       |Double or Multiple Star               |06 33 46.0927330416 -06 32 18.120001092|216.7697738829526 -06.8935584358538|   0.505 -2.280   |10.321   |~                 |    ~     ~    |    1|  496.771   pc  |  -8.1685     +8.1685    |paral   |2020yCat.1350....0G
1795|TYC 4810-1592-1                                                       |Star                                  |06 34 20.5777746240 -06 40 09.182867952|216.9520402098688 -06.8246538977452|   -5.438 3.517   |10.36    |~                 |    ~     ~    |    1|  524.686   pc  | -14.0126    +14.0126    |paral   |2020yCat.1350....0G
1796|TYC 4810-1604-1                                                       |Star                                  |06 34 11.2034816760 -06 20 32.255858544|216.6402783077610 -06.7126709398138|    9.331 8.605   |10.53    |~                 |    ~     ~    |    1|  822.774   pc  | -12.1852    +12.1852    |paral   |2020yCat.1350....0G
1797|TYC 4810-1637-1                                                       |Star                                  |06 35 29.2165197816 -05 59 12.677779032|216.4668302490365 -06.2642536491840|   1.666 -7.511   |9.97     |~                 |    ~     ~    |    1|  398.788   pc  |  -2.7512     +2.7512    |paral   |2020yCat.1350....0G
1798|TYC 4810-1648-1                                                       |High Proper Motion Star               |06 35 57.6565675848 -05 59 38.951366064|216.5267073962894 -06.1622764926986|-45.267 -31.903   |10.43    |~                 |    ~     ~    |    1|  103.137   pc  |  -0.3393     +0.3393    |paral   |2020yCat.1350....0G
1799|TYC 4810-1714-1                                                       |Star                                  |06 36 06.8014559976 -06 04 49.341428940|216.6213037022512 -06.1672121070626|  -3.774 -6.703   |9.92     |~                 |    ~     ~    |    1|  252.360   pc  | -13.2083    +13.2083    |paral   |2020yCat.1350....0G
1800|TYC 4810-1784-1                                                       |Star                                  |06 36 24.9072617688 -05 53 37.792455216|216.4877079672333 -06.0162807576754|   0.484 -1.030   |10.09    |~                 |    ~     ~    |    1| 1507.613   pc  | -56.5952    +56.5952    |paral   |2020yCat.1350....0G
1801|TYC 4810-1849-1                                                       |Star                                  |06 37 27.2209118640 -05 49 56.123467428|216.5493366503806 -05.7579342789884|  -2.077 -1.928   |10.85    |~                 |    ~     ~    |    1|  855.139   pc  | -14.3328    +14.3328    |paral   |2020yCat.1350....0G
1802|GSC 04810-01870                                                       |Double or Multiple Star               |06 36 15.873480 -06 05 00.80520        |216.641166644 -06.135072699        |     -0.4 -12.1   |10.141   |~                 |    ~     ~    |    0|                |                         |        |                   
1803|TYC 4810-1946-1                                                       |Star                                  |06 36 26.8327287144 -05 54 50.601233952|216.5094801033768 -06.0182566153858|  -5.796 -1.821   |10.24    |~                 |    ~     ~    |    0|                |                         |        |                   
1804|TYC 4810-2070-1                                                       |Star                                  |06 35 53.1177566616 -06 31 42.216981636|216.9983521807804 -06.4191590240108|   3.454 -8.826   |10.60    |~                 |    ~     ~    |    1|  342.021   pc  |  -1.7547     +1.7547    |paral   |2020yCat.1350....0G
1805|TYC 4810-2224-1                                                       |Star                                  |06 36 17.1063430656 -06 08 18.345680088|216.6927706946915 -06.1551874147945|   2.822 -9.359   |10.73    |~                 |    ~     ~    |    1|  869.414   pc  | -12.3964    +12.3964    |paral   |2020yCat.1350....0G
1806|TYC 4810-2297-1                                                       |Star                                  |06 37 00.9359910408 -06 45 06.398565084|217.3259760512579 -06.2686434922642|  -2.297 -3.493   |10.98    |~                 |    ~     ~    |    0|                |                         |        |                   
1807|TYC 4810-2380-1                                                       |Star                                  |06 36 44.0933278248 -07 11 56.061989988|217.6966692443277 -06.5314563568813|  -2.237 -0.370   |10.99    |~                 |    ~     ~    |    1| 1070.435   pc  | -25.2083    +25.2083    |paral   |2020yCat.1350....0G
1808|TYC 4810-2400-1                                                       |Star                                  |06 36 54.7869459960 -06 24 35.037080388|217.0070780335948 -06.1377466425365|  -1.986 -1.003   |10.53    |~                 |    ~     ~    |    1|  648.719   pc  | -27.9014    +27.9014    |paral   |2020yCat.1350....0G
1809|TYC 4810-2472-1                                                       |Star                                  |06 36 49.0055789592 -07 06 47.961658224|217.6288307952477 -06.4749415180453|   1.211 -1.370   |10.28    |~                 |    ~     ~    |    1| 1469.076   pc  | -34.7468    +34.7468    |paral   |2020yCat.1350....0G
1810|TYC 4810-2518-1                                                       |Star                                  |06 37 10.8477938760 -07 20 35.671506720|217.8764148044091 -06.4972758845349|  -6.399 -0.118   |10.28    |~                 |    ~     ~    |    1|  725.847   pc  |  -8.1662     +8.1662    |paral   |2020yCat.1350....0G
1811|2MASS J06433418-0604585                                               |Red Giant Branch star                 |06 43 34.1883774936 -06 04 58.629423072|217.4625656663785 -04.5136183577109|   -5.296 2.401   |10.49    |~                 |    ~     ~    |    1|  754.717   pc  |  -9.1705     +9.1705    |paral   |2020yCat.1350....0G
1812|TYC 4811-39-1                                                         |Star                                  |06 39 12.2403387912 -06 44 02.544204804|217.5554741842507 -05.7752686639162|  -3.914 -2.791   |10.73    |~                 |    ~     ~    |    1|  519.778   pc  | -11.6443    +11.6443    |paral   |2020yCat.1350....0G
1813|TYC 4811-70-1                                                         |Star                                  |06 39 36.6487902936 -06 36 35.446962024|217.4896459816896 -05.6291962645216|  -4.823 -6.193   |10.39    |~                 |    ~     ~    |    1|  495.933   pc  |  -5.3371     +5.3371    |paral   |2020yCat.1350....0G
1814|TYC 4811-119-1                                                        |Star                                  |06 42 43.5068611248 -06 36 17.453934324|217.8349025092345 -04.9363842192072|  -3.843 -0.217   |10.21    |~                 |    ~     ~    |    1|  687.474   pc  |  -7.0893     +7.0893    |paral   |2020yCat.1350....0G
1815|TYC 4811-144-1                                                        |Star                                  |06 41 07.1808138864 -05 39 57.021080508|216.8131078338007 -04.8689687429339|  -1.085 -0.504   |10.93    |~                 |    ~     ~    |    1|  688.373   pc  | -12.9363    +12.9363    |paral   |2020yCat.1350....0G
1816|TYC 4811-176-1                                                        |Star                                  |06 44 18.9590472432 -05 41 17.794310064|217.1935663091361 -04.1697338822073|  -10.336 8.440   |10.33    |~                 |    ~     ~    |    1|  726.586   pc  |  -8.9748     +8.9748    |paral   |2020yCat.1350....0G
1817|TYC 4811-198-1                                                        |Star                                  |06 41 22.0152889080 -06 10 12.337387716|217.2926566942036 -05.0415996041730|   1.519 -6.730   |10.18    |~                 |    ~     ~    |    1|  546.120   pc  |  -5.6070     +5.6070    |paral   |2020yCat.1350....0G
1818|TYC 4811-233-1                                                        |Star                                  |06 38 14.0778136728 -06 48 40.322513268|217.5160569490134 -06.0249288594911| -17.605 -4.802   |10.31    |~                 |    ~     ~    |    1|  278.808   pc  |  -1.5314     +1.5314    |paral   |2020yCat.1350....0G
1819|TYC 4811-238-1                                                        |Star                                  |06 43 58.3191937272 -07 19 55.041864708|218.6264045679766 -04.9877054643896|  -2.377 -2.563   |10.23    |~                 |    ~     ~    |    1|  722.335   pc  |  -7.3047     +7.3047    |paral   |2020yCat.1350....0G
1820|TYC 4811-289-1                                                        |Star                                  |06 44 52.6440354096 -05 50 39.206846868|217.3963349908482 -04.1157004909316| -27.687 15.537   |10.74    |~                 |    ~     ~    |    1|  141.611   pc  |  -0.4291     +0.4291    |paral   |2020yCat.1350....0G
1821|TYC 4811-364-1                                                        |Star                                  |06 41 03.7047644760 -06 42 58.861870164|217.7480622268088 -05.3553715534156|   -1.455 2.670   |9.95     |~                 |    ~     ~    |    1|  323.164   pc  |  -1.7650     +1.7650    |paral   |2020yCat.1350....0G
1822|TYC 4811-369-1                                                        |Star                                  |06 42 08.1134915472 -06 12 15.997591512|217.4098704072135 -04.8866533999830|  -0.180 -4.561   |10.70    |~                 |    ~     ~    |    1|  749.232   pc  | -19.3104    +19.3104    |paral   |2020yCat.1350....0G
1823|TYC 4811-430-1                                                        |Star                                  |06 38 02.5244087064 -07 09 30.135479328|217.8064940831288 -06.2234653275579| -4.750 -10.346   |10.77    |~                 |    ~     ~    |    1|  296.191   pc  |  -2.8951     +2.8951    |paral   |2020yCat.1350....0G
1824|TYC 4811-434-1                                                        |Star                                  |06 43 09.2157502488 -05 54 37.649621592|217.2613031521894 -04.5280456286296|  -6.739 -2.646   |10.81    |~                 |    ~     ~    |    1|  266.184   pc  |  -1.1762     +1.1762    |paral   |2020yCat.1350....0G
1825|TYC 4811-480-1                                                        |Star                                  |06 44 08.7021389880 -07 07 07.410273384|218.4547269057180 -04.8533436139869|  -2.451 -9.494   |10.90    |~                 |    ~     ~    |    1|  584.385   pc  | -31.6576    +31.6576    |paral   |2020yCat.1350....0G
1826|TYC 4811-517-1                                                        |Star                                  |06 39 32.8389379440 -06 40 36.183526824|217.5425362200746 -05.6733566430074| -25.202 -1.465   |10.14    |~                 |    ~     ~    |    1|  261.124   pc  |  -2.4206     +2.4206    |paral   |2020yCat.1350....0G
1827|TYC 4811-526-1                                                        |Star                                  |06 42 48.0557657784 -06 03 29.608231860|217.3538539988496 -04.6730048576838|  -1.829 -1.442   |10.32    |~                 |    ~     ~    |    1|  610.874   pc  |  -7.3514     +7.3514    |paral   |2020yCat.1350....0G
1828|TYC 4811-538-1                                                        |Star                                  |06 39 07.9898590056 -05 51 25.311231288|216.7606447865069 -05.3962054326937|  4.084 -11.237   |10.12    |~                 |    ~     ~    |    1|  686.201   pc  |  -7.3927     +7.3927    |paral   |2020yCat.1350....0G
1829|TYC 4811-565-1                                                        |Star                                  |06 40 25.5642594264 -05 40 59.399876856|216.7504566241833 -05.0307670264127|  5.758 -12.775   |10.40    |~                 |    ~     ~    |    1|  388.244   pc  |  -3.1805     +3.1805    |paral   |2020yCat.1350....0G
1830|TYC 4811-605-1                                                        |Star                                  |06 44 05.2231683696 -05 59 26.579859756|217.4382890327408 -04.3572271899678|  -24.023 2.684   |10.57    |~                 |    ~     ~    |    1|  283.583   pc  | -17.2500    +17.2500    |paral   |2020yCat.1350....0G
1831|TYC 4811-664-1                                                        |Star                                  |06 39 46.3230972576 -05 50 43.630612440|216.8222044842158 -05.2491578536544|  2.246 -30.211   |9.87     |~                 |    ~     ~    |    1|   96.167   pc  |  -0.1322     +0.1322    |paral   |2020yCat.1350....0G
1832|TYC 4811-685-1                                                        |Star                                  |06 40 43.6636688232 -05 45 46.613925720|216.8559178618170 -04.9998026742627|   1.344 -3.826   |10.51    |~                 |    ~     ~    |    1|  595.486   pc  |  -9.4325     +9.4325    |paral   |2020yCat.1350....0G
1833|TYC 4811-711-1                                                        |Star                                  |06 41 48.6667958088 -06 10 28.025125824|217.3465364606915 -04.9450229807120|  -3.128 -3.965   |10.64    |~                 |    ~     ~    |    1|  520.400   pc  |  -4.6851     +4.6851    |paral   |2020yCat.1350....0G
1834|TYC 4811-789-1                                                        |Star                                  |06 44 29.0820599352 -05 45 19.206437256|217.2725642979702 -04.1626234881420|  -0.137 -0.902   |10.82    |~                 |    ~     ~    |    1|  987.069   pc  | -21.7270    +21.7270    |paral   |2020yCat.1350....0G
1835|TYC 4811-806-1                                                        |Star                                  |06 42 04.4922911976 -07 01 47.673492240|218.1429388436997 -05.2719363937206|   -0.099 0.358   |10.87    |~                 |    ~     ~    |    1|  689.322   pc  |  -9.9310     +9.9310    |paral   |2020yCat.1350....0G
1836|TYC 4811-833-1                                                        |Star                                  |06 43 08.8846567248 -06 45 13.292174808|218.0157734200782 -04.9097192685480|   0.517 -1.156   |9.78     |~                 |    ~     ~    |    1| 1019.784   pc  | -16.3274    +16.3274    |paral   |2020yCat.1350....0G
1837|TYC 4811-842-1                                                        |Star                                  |06 37 30.9865525604 -06 04 20.394331315|216.7718713661099 -05.8520861356720|  -1.967 -1.004   |10.40    |~                 |    ~     ~    |    0|                |                         |        |                   
1838|TYC 4811-845-1                                                        |Star                                  |06 42 08.8819999488 -05 43 59.173443336|216.9892408556740 -04.6710830614202|  -15.450 0.526   |10.63    |~                 |    ~     ~    |    1|  335.064   pc  |  -7.6904     +7.6904    |paral   |2020yCat.1350....0G
1839|TYC 4811-864-1                                                        |Star                                  |06 39 23.0701910400 -07 25 53.004083448|218.2021001580790 -06.0484236414641|   -1.169 0.124   |10.73    |~                 |    ~     ~    |    1|  891.822   pc  | -11.6916    +11.6916    |paral   |2020yCat.1350....0G
