C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:06:43

dec< 0&rah >=6.5&rah< 6.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7316

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-------------------------|--------|-------------------
23  |HD 291805                                                             |Star                                  |06 33 40.7183744904 -00 15 48.526473348|211.1391646848441 -04.0709564604267|  -3.089 -1.807   |10.7     |B9                |    ~     ~    |    1|  942.951   pc  | -17.5164    +17.5164    |paral   |2020yCat.1350....0G
24  |HD 291829                                                             |Star                                  |06 32 31.0878127272 -01 22 31.048105944|211.9987276578448 -04.8363955023860|   -3.175 0.653   |9.19     |F8                |    ~     ~    |    1|  964.320   pc  | -23.8988    +23.8988    |paral   |2020yCat.1350....0G
25  |HD 291830                                                             |Star                                  |06 33 01.3939281192 -01 16 58.249288812|211.9738918307068 -04.6818954776246|  -1.838 -2.834   |10.70    |A2                |    ~     ~    |    1|  520.129   pc  |  -5.1672     +5.1672    |paral   |2020yCat.1350....0G
26  |HD 291835                                                             |Star                                  |06 33 40.3004134776 -01 24 49.615369416|212.1649206599586 -04.5973026871712|   -4.588 0.442   |10.78    |F5                |    ~     ~    |    1|  378.874   pc  |  -5.7849     +5.7849    |paral   |2020yCat.1350....0G
27  |HD 291736                                                             |Star                                  |06 30 59.7225873384 -00 01 51.308706756|210.6242350969504 -04.5612885774951|  -4.018 -5.881   |10.9     |F8                |    ~     ~    |    1|  520.481   pc  |  -4.3615     +4.3615    |paral   |2020yCat.1350....0G
28  |HD 291747                                                             |Star                                  |06 31 11.2036552368 -00 45 46.211885820|211.2994018865521 -04.8532002339943|  -5.364 -2.994   |9.96     |A3                |    ~     ~    |    1|  303.748   pc  |  -2.2328     +2.2328    |paral   |2020yCat.1350....0G
29  |HD 291749                                                             |Star                                  |06 30 31.3979133166 -00 48 31.330796089|211.2643658851198 -05.0216898508667| -1.648 -11.805   |10.7     |F2                |    ~     ~    |    1|  352.2987  pc  | -34.6900    +34.6900    |paral   |2018yCat.1345....0G
30  |HD 291751                                                             |Star                                  |06 30 38.2285431096 -00 56 25.804195512|211.3951276657478 -05.0565304740115|    1.815 0.254   |10.8     |F0                |    ~     ~    |    1|  400.208   pc  | -15.7764    +15.7764    |paral   |2020yCat.1350....0G
31  |HD 291757                                                             |Double or Multiple Star               |06 30 35.855808 -01 14 18.37608        |211.656794363 -05.201242983        |      -3.2 -3.8   |10.084   |A0                |    ~     ~    |    0|                |                         |        |                   
32  |HD 291758                                                             |Star                                  |06 31 17.2171704528 -01 17 15.217087812|211.7795657081406 -05.0702952562346|   4.934 -0.540   |10.55    |K0                |    ~     ~    |    1|  604.887   pc  |  -6.5128     +6.5128    |paral   |2020yCat.1350....0G
33  |HD 291769                                                             |Star                                  |06 30 34.3711706736 -01 38 22.062161076|212.0124477879622 -05.3895155322377|  -3.224 -0.783   |10.96    |G5                |    ~     ~    |    1|  392.341   pc  |  -2.8631     +2.8631    |paral   |2020yCat.1350....0G
34  |HD 291735                                                             |Star                                  |06 30 24.4394810616 -00 02 34.238351904|210.5674066080171 -04.6974743372835|  -1.259 -3.019   |9.43     |K5                |    ~     ~    |    1|  908.513   pc  | -29.5492    +29.5492    |paral   |2020yCat.1350....0G
35  |HD 45932                                                              |Star                                  |06 30 17.7338030040 -02 42 11.880717480|212.9328960346625 -05.9350245324031|   -8.158 7.385   |9.06     |F0V               |    ~     ~    |    1|  178.167   pc  |  -1.5237     +1.5237    |paral   |2020yCat.1350....0G
36  |HD 46226                                                              |Star                                  |06 31 57.7904944560 -02 46 56.925204024|213.1938198706014 -05.5999338731134|  -6.289 -7.582   |8.67     |B9.5/A0V          |    ~     ~    |    1|  371.126   pc  |  -4.1045     +4.1045    |paral   |2020yCat.1350....0G
37  |HD 295148                                                             |Star                                  |06 32 57.8565190992 -02 28 21.388421280|213.0305640585001 -05.2364626383456|  -5.244 37.513   |9.83     |G0                |    ~     ~    |    1|   98.700   pc  |  -0.1529     +0.1529    |paral   |2020yCat.1350....0G
38  |HD 46425                                                              |High Proper Motion Star               |06 33 09.9216432120 -02 27 55.160749440|213.0469624313529 -05.1884115234651|-29.045 -57.767   |8.65     |G8III/IV          |    ~     ~    |    1|  223.819   pc  |  -1.2824     +1.2824    |paral   |2020yCat.1350....0G
39  |HD 291841                                                             |Star                                  |06 32 09.7735702320 -02 08 09.545972640|212.6380868296652 -05.2617456389710|  -0.999 -3.928   |10.83    |K7                |    ~     ~    |    1|  825.423   pc  | -11.5825    +11.5825    |paral   |2020yCat.1350....0G
40  |HD 291842                                                             |Star                                  |06 32 43.5905138928 -02 04 34.874651172|212.6490697500916 -05.1092224992773| 13.594 -10.076   |10.67    |G5                |    ~     ~    |    1|  257.215   pc  |  -1.0255     +1.0255    |paral   |2020yCat.1350....0G
41  |HD 291849                                                             |Star                                  |06 33 24.6665152344 -02 18 16.242388488|212.9311533068578 -05.0606489179587|   0.095 -4.321   |10.57    |K0                |    ~     ~    |    1|  473.485   pc  |  -3.7664     +3.7664    |paral   |2020yCat.1350....0G
42  |HD 291773                                                             |High Proper Motion Star               |06 30 07.9603935864 -02 02 16.976609556|212.3186910963009 -05.6688990638579| 63.656 -46.182   |10.95    |K0                |    ~     ~    |    1|  144.925   pc  |  -0.3634     +0.3634    |paral   |2020yCat.1350....0G
43  |V* V905 Mon                                                           |Long-Period Variable Candidate        |06 33 26.6605853352 -00 04 30.165625236|210.9443004377764 -04.0369592243234|  -1.157 -2.143   |10.52    |G0                |    ~     ~    |    1| 1724.733   pc  | -51.4624    +51.4624    |paral   |2020yCat.1350....0G
44  |HBHA -0217-03                                                         |Emission-line Star                    |06 33 42.4 -00 33 03                   |211.3987 -04.1959                  |            ~ ~   |10.5     |B7                |    ~     ~    |    0|                |                         |        |                   
45  |HD 295106                                                             |Star                                  |06 31 00.1632915096 -02 29 39.075407052|212.8262626864668 -05.6827069773309|  -0.091 -5.511   |10.15    |K5                |    ~     ~    |    1|  682.734   pc  |  -9.7420     +9.7420    |paral   |2020yCat.1350....0G
46  |HD 291778                                                             |Star                                  |06 31 53.3966500704 -02 07 00.734449152|212.5898448677817 -05.3137815536046|  -6.825 -9.177   |10.79    |K7                |    ~     ~    |    1|  665.115   pc  |  -7.4762     +7.4762    |paral   |2020yCat.1350....0G
47  |HD 291745                                                             |Star                                  |06 31 39.4211917200 -00 37 04.020851892|211.2237694865840 -04.6823755658438|   2.229 -2.991   |10.7     |F2                |    ~     ~    |    1|  354.371   pc  |  -3.1018     +3.1018    |paral   |2020yCat.1350....0G
48  |HD 291750                                                             |Star                                  |06 30 23.3028269112 -00 55 08.163911388|211.3473706175598 -05.1020156802828| -22.551 16.391   |10.7     |G0                |    ~     ~    |    1|  284.868   pc  |  -1.4850     +1.4850    |paral   |2020yCat.1350....0G
49  |HD 291753                                                             |Star                                  |06 31 28.9637576928 -01 01 43.726622988|211.5708170333942 -04.9087453199792|   11.270 0.984   |10.55    |G5                |    ~     ~    |    1|  262.798   pc  |  -1.2500     +1.2500    |paral   |2020yCat.1350....0G
50  |HD 291770                                                             |Star                                  |06 30 47.6947861368 -01 43 13.206642744|212.1101505188077 -05.3769462813758|   1.283 -5.622   |10.05    |K7                |    ~     ~    |    1| 1001.201   pc  | -20.3488    +20.3488    |paral   |2020yCat.1350....0G
51  |HD 291779                                                             |Star                                  |06 31 28.1500345176 -02 15 27.240869520|212.6676958949135 -05.4713819417714|  -0.257 -4.256   |10.69    |A2                |    ~     ~    |    1|  551.329   pc  |  -7.9334     +7.9334    |paral   |2020yCat.1350....0G
52  |HD 291807                                                             |Star                                  |06 32 40.4937446808 -00 21 32.882474808|211.1095439520173 -04.3378723346659|  -4.184 -1.686   |9.70     |G5                |    ~     ~    |    1|  681.803   pc  |  -7.3447     +7.3447    |paral   |2020yCat.1350....0G
