C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:44:25

dec >=0&rah >=22.0&rah< 22.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7006

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
950 |HD 210404                                                                                                |High Proper Motion Star            |22 09 01.4265623040 +48 31 07.733802900|097.2402880691201 -06.0824615826001|  71.241 41.471   |7.170    |G5                  |    ~     ~    |    1|  104.046   pc  |  -0.1689     +0.1689  |paral   |2020yCat.1350....0G
951 |BD+47 3715                                                                                               |Star                               |22 10 01.2647659464 +48 18 29.186014932|097.2525767764945 -06.3501093384397|  -4.078 -4.748   |8.90     |K0                  |    ~     ~    |    1|  415.559   pc  |  -2.1931     +2.1931  |paral   |2020yCat.1350....0G
952 |BD+47 3718                                                                                               |Star                               |22 10 20.2537205784 +48 20 24.468864900|097.3143888669430 -06.3544880292260|   2.859 -1.174   |9.43     |A0                  |    ~     ~    |    1|  791.766   pc  | -23.2577    +23.2577  |paral   |2020yCat.1350....0G
953 |BD+47 3723                                                                                               |Star                               |22 11 27.2882712792 +47 56 22.631742204|097.2347477246018 -06.7891012911607|   2.893 -5.599   |9.26     |K0                  |    ~     ~    |    1|  668.315   pc  | -11.5681    +11.5681  |paral   |2020yCat.1350....0G
954 |HD 210841                                                                                                |Star                               |22 12 03.8396558328 +47 51 09.877271220|097.2685424650164 -06.9189029356566|   4.986 -3.462   |8.87     |A0                  |    ~     ~    |    1|  558.410   pc  | -15.9964    +15.9964  |paral   |2020yCat.1350....0G
955 |HD 210876                                                                                                |Star                               |22 12 19.7582594256 +47 47 56.309822808|097.2741824328306 -06.9884929969440|   0.243 -3.566   |7.73     |K0                  |    ~     ~    |    1|  375.912   pc  |  -2.4588     +2.4588  |paral   |2020yCat.1350....0G
956 |BD+47 3733                                                                                               |Star                               |22 12 29.3872852728 +47 49 56.397509976|097.3156909111717 -06.9766139137327|  25.227 14.080   |8.66     |K0                  |    ~     ~    |    1|  505.817   pc  |  -4.4006     +4.4006  |paral   |2020yCat.1350....0G
957 |NGC 7243 313                       BD+49 3769                                                            |Star                               |22 12 04.9507867872 +49 56 25.965933540|098.4750059710686 -05.2101808337000|  -3.739 -5.756   |9.66     |M2                  |    ~     ~    |    1| 1031.672   pc  | -61.3064    +61.3064  |paral   |2020yCat.1350....0G
958 |NGC 7243 474                       BD+48 3652                                                            |Star                               |22 14 21.85 +49 42 41.8                |098.64798 -05.60788                |            ~ ~   |9.1      |B7                  |    ~     ~    |    0|                |                       |        |                   
959 |NGC 7243 355                       NGC 7243 355                                                          |Star                               |22 14 50.8383439560 +49 52 41.886647580|098.8072717688790 -05.5144464007551|  12.979 -2.726   |12.20    |G6                  |    ~     ~    |    1|  335.278   pc  |  -1.1578     +1.1578  |paral   |2020yCat.1350....0G
960 |TYC 3610-108-1                                                                                           |Star                               |22 10 32.1771271320 +48 27 56.132953776|097.4144845224621 -06.2712376681156|  -5.788 -2.290   |10.52    |~                   |    ~     ~    |    1| 1167.542   pc  | -14.1768    +14.1768  |paral   |2020yCat.1350....0G
961 |TYC 3610-111-1                                                                                           |High Proper Motion Star            |22 13 07.9235331216 +48 02 56.287741884|097.5294135032973 -06.8604816584756|  22.043 46.488   |10.42    |~                   |    ~     ~    |    1|  126.029   pc  |  -0.1763     +0.1763  |paral   |2020yCat.1350....0G
962 |TYC 3610-112-1                                                                                           |Star                               |22 10 29.7459766224 +48 17 13.335253044|097.3050583544313 -06.4130091952041|  -4.667 -5.099   |10.70    |~                   |    ~     ~    |    1| 1875.117   pc  | -43.2476    +43.2476  |paral   |2020yCat.1350....0G
963 |TYC 3610-140-1                                                                                           |High Proper Motion Star            |22 14 47.5982044056 +48 33 50.888406312|098.0531311571396 -06.5936710267415| 81.238 -20.479   |10.60    |~                   |    ~     ~    |    1|  173.810   pc  |  -0.3746     +0.3746  |paral   |2020yCat.1350....0G
964 |TYC 3610-169-1                                                                                           |Star                               |22 13 17.1999733560 +48 21 13.568163912|097.7258865908030 -06.6249030036629|   3.007 -1.027   |10.54    |~                   |    ~     ~    |    1|  778.816   pc  |  -9.4623     +9.4623  |paral   |2020yCat.1350....0G
965 |TYC 3610-223-1                                                                                           |Star                               |22 11 25.0009141896 +48 27 54.270107748|097.5341144016313 -06.3558605128905|  -1.497 -7.007   |10.80    |~                   |    ~     ~    |    0|                |                       |        |                   
966 |TYC 3610-235-1                                                                                           |Star                               |22 10 25.5609461400 +48 26 24.988806348|097.3847477242611 -06.2813161658757|  -5.890 -4.180   |10.61    |~                   |    ~     ~    |    0|                |                       |        |                   
967 |TYC 3610-296-1                                                                                           |Star                               |22 13 01.0576420080 +48 00 54.183745080|097.4940816741197 -06.8773905460069|  -3.599 -3.539   |10.53    |~                   |    ~     ~    |    1| 1709.694   pc  | -62.5533    +62.5533  |paral   |2020yCat.1350....0G
968 |TYC 3610-298-1                                                                                           |Star                               |22 12 50.9078029656 +48 09 32.807436336|097.5536753846042 -06.7430383536361|    2.627 0.337   |10.20    |~                   |    ~     ~    |    1| 1168.634   pc  | -29.0895    +29.0895  |paral   |2020yCat.1350....0G
969 |TYC 3610-299-1                                                                                           |Star                               |22 12 19.1206970688 +48 41 13.077238380|097.7852013437202 -06.2598851528377|   4.452 -2.656   |9.94     |~                   |    ~     ~    |    1|  348.602   pc  |  -1.8593     +1.8593  |paral   |2020yCat.1350....0G
970 |TYC 3610-313-1                                                                                           |Star                               |22 14 16.2339594888 +48 19 39.644897844|097.8463189140008 -06.7393807563907|  -1.503 -1.280   |10.61    |~                   |    ~     ~    |    1| 2798.769   pc  |-140.9959   +140.9959  |paral   |2020yCat.1350....0G
971 |TYC 3610-354-1                                                                                           |Star                               |22 13 56.7433161192 +47 56 12.586877016|097.5777031800368 -07.0302133598258|    2.175 7.069   |10.00    |~                   |    ~     ~    |    1|  786.968   pc  |  -6.9364     +6.9364  |paral   |2020yCat.1350....0G
972 |TYC 3610-364-1                                                                                           |Star                               |22 12 31.9220214120 +48 24 36.890254044|097.6548674909738 -06.5069540292102|  -2.550 -3.721   |10.78    |~                   |    ~     ~    |    1| 2028.398   pc  | -58.8359    +58.8359  |paral   |2020yCat.1350....0G
973 |TYC 3610-451-1                                                                                           |Star                               |22 11 21.4323566928 +48 34 09.229484532|097.5863413080155 -06.2650274013817|   7.224 -2.971   |10.46    |~                   |    ~     ~    |    1|  399.648   pc  |  -3.7055     +3.7055  |paral   |2020yCat.1350....0G
974 |TYC 3610-484-1                                                                                           |Star                               |22 11 39.8202239760 +48 40 26.899909608|097.6887234660372 -06.2083499187091|  -0.245 -3.608   |10.72    |~                   |    ~     ~    |    1|  571.331   pc  |  -3.3948     +3.3948  |paral   |2020yCat.1350....0G
975 |TYC 3610-531-1                                                                                           |Star                               |22 11 36.512976 +48 34 03.27504        |097.619596538 -06.290304959        |      31.4 26.5   |10.604   |~                   |    ~     ~    |    0|                |                       |        |                   
976 |TYC 3610-593-1                                                                                           |Star                               |22 09 12.5139101448 +48 19 33.962608848|097.1524810843695 -06.2569828650960|  -0.061 -4.911   |9.93     |~                   |    ~     ~    |    1|  751.089   pc  |  -6.3183     +6.3183  |paral   |2020yCat.1350....0G
977 |TYC 3610-597-1                                                                                           |Star                               |22 12 02.0397859272 +47 48 52.783226604|097.2423540661031 -06.9471822395534|-25.988 -11.705   |10.47    |~                   |    ~     ~    |    1|  570.907   pc  |  -3.9764     +3.9764  |paral   |2020yCat.1350....0G
978 |TYC 3610-612-1                                                                                           |Star                               |22 13 21.6263598816 +48 41 27.097441044|097.9294022688481 -06.3549206710101|  -1.990 -1.592   |10.42    |~                   |    ~     ~    |    1|  888.968   pc  |  -8.6139     +8.6139  |paral   |2020yCat.1350....0G
979 |TYC 3610-691-1                                                                                           |Star                               |22 10 50.4523532712 +48 44 09.714127596|097.6129606767334 -06.0795708471516|  -1.339 -0.583   |10.33    |~                   |    ~     ~    |    1|  654.450   pc  |  -6.3817     +6.3817  |paral   |2020yCat.1350....0G
980 |TYC 3610-731-1                                                                                           |Star                               |22 14 41.7896263872 +48 31 45.752600784|098.0200302809681 -06.6132614922600|  -8.410 -2.407   |9.98     |~                   |    ~     ~    |    1| 1107.665   pc  | -15.4592    +15.4592  |paral   |2020yCat.1350....0G
981 |TYC 3610-747-1                                                                                           |Star                               |22 08 08.8301033352 +48 33 25.646916168|097.1443031061769 -05.9666531092458|  -1.600 -1.363   |10.76    |~                   |    ~     ~    |    1| 1036.914   pc  | -17.5256    +17.5256  |paral   |2020yCat.1350....0G
982 |TYC 3610-788-1                                                                                           |Star                               |22 12 57.4171276464 +48 19 04.852567848|097.6600467580380 -06.6229785571527|   0.282 -3.607   |10.49    |~                   |    ~     ~    |    1|  550.418   pc  |  -5.7260     +5.7260  |paral   |2020yCat.1350....0G
983 |TYC 3610-800-1                                                                                           |High Proper Motion Star            |22 12 30.7650790728 +47 42 07.569812700|097.2436613392135 -07.0855368291920|  69.756 27.544   |9.87     |~                   |    ~     ~    |    1|   59.682   pc  |  -0.0442     +0.0442  |paral   |2020yCat.1350....0G
984 |TYC 3610-865-1                                                                                           |Star                               |22 12 36.2273262672 +48 30 42.706886904|097.7232168843825 -06.4304365800580|  -0.801 -1.337   |10.84    |~                   |    ~     ~    |    1|  628.457   pc  |  -4.9370     +4.9370  |paral   |2020yCat.1350....0G
985 |TYC 3610-908-1                                                                                           |Star                               |22 13 58.4048581848 +48 19 56.472505104|097.8080601229971 -06.7074824510026|  -3.398 -7.618   |10.79    |~                   |    ~     ~    |    1|  793.714   pc  | -18.5215    +18.5215  |paral   |2020yCat.1350....0G
986 |TYC 3610-1072-1                                                                                          |Star                               |22 12 24.6705173280 +48 04 21.232026804|097.4435192647241 -06.7722157623611|   1.431 -2.111   |9.58     |~                   |    ~     ~    |    1|  914.495   pc  | -11.3737    +11.3737  |paral   |2020yCat.1350....0G
987 |TYC 3610-1107-1                                                                                          |Star                               |22 13 15.7091197440 +48 11 48.058667520|097.6322400904193 -06.7515615522892|  -2.009 -1.566   |10.41    |~                   |    ~     ~    |    1| 1212.121   pc  | -14.2516    +14.2516  |paral   |2020yCat.1350....0G
988 |TYC 3610-1166-1                                                                                          |Star                               |22 09 17.0338580088 +48 34 29.387867016|097.3082812357199 -06.0619750317559|   5.027 -5.105   |10.62    |~                   |    ~     ~    |    1|  545.019   pc  |  -3.7428     +3.7428  |paral   |2020yCat.1350....0G
989 |TYC 3610-1170-1                                                                                          |Star                               |22 13 22.9358618496 +47 36 12.473890560|097.3078443411150 -07.2502062279964|    3.989 2.169   |10.89    |~                   |    ~     ~    |    1|  717.875   pc  | -11.1314    +11.1314  |paral   |2020yCat.1350....0G
990 |TYC 3610-1332-1                                                                                          |Star                               |22 11 18.7808338752 +48 25 57.585547056|097.5011929354200 -06.3724607408966|  -2.901 -4.296   |10.29    |~                   |    ~     ~    |    1| 1439.263   pc  | -24.6506    +24.6506  |paral   |2020yCat.1350....0G
991 |TYC 3610-1338-1                                                                                          |Star                               |22 13 51.6403308816 +47 41 24.692980056|097.4244152745350 -07.2248884165468|  16.578 -4.639   |9.84     |~                   |    ~     ~    |    1|  293.092   pc  |  -1.1940     +1.1940  |paral   |2020yCat.1350....0G
992 |TYC 3610-1447-1                                                                                          |Star                               |22 14 43.8294245136 +47 33 41.715775080|097.4723431414409 -07.4139874780254|  -4.637 -6.668   |10.16    |~                   |    ~     ~    |    1|  808.931   pc  | -13.4800    +13.4800  |paral   |2020yCat.1350....0G
993 |TYC 3610-1493-1                                                                                          |Star                               |22 08 27.3166704888 +48 39 10.882897020|097.2422091509310 -05.9186112591917|  -1.336 -2.034   |9.91     |~                   |    ~     ~    |    1|  954.745   pc  | -10.4827    +10.4827  |paral   |2020yCat.1350....0G
994 |TYC 3610-1620-1                                                                                          |Star                               |22 14 14.8502079552 +47 30 51.222714516|097.3775583999602 -07.4066997536602|  -3.534 -8.570   |10.15    |~                   |    ~     ~    |    1|  973.615   pc  | -53.8422    +53.8422  |paral   |2020yCat.1350....0G
995 |TYC 3610-1814-1                                                                                          |Star                               |22 12 18.9914396064 +48 29 24.900003960|097.6715041360609 -06.4209065255522|  -1.349 -1.364   |10.27    |~                   |    ~     ~    |    1| 1252.662   pc  | -19.9284    +19.9284  |paral   |2020yCat.1350....0G
996 |TYC 3610-1823-1                                                                                          |Star                               |22 13 44.4118970640 +47 27 56.653368840|097.2786711119408 -07.3977921869142|   14.419 3.407   |10.70    |~                   |    ~     ~    |    1|  445.434   pc  |  -3.9682     +3.9682  |paral   |2020yCat.1350....0G
997 |TYC 3613-331-1                                                                                           |Spectroscopic Binary               |22 04 17.4375595008 +49 39 44.888728752|097.2875098358651 -04.7018524345356|  29.098 -3.823   |10.23    |~                   |    ~     ~    |    1|  273.778   pc  |  -3.4704     +3.4704  |paral   |2020yCat.1350....0G
998 |TYC 3613-541-1                                                                                           |Star                               |22 04 17.0852718240 +49 26 45.583909044|097.1574586675762 -04.8752487431394|   0.915 -1.288   |10.73    |~                   |    ~     ~    |    1|  753.864   pc  |  -6.3651     +6.3651  |paral   |2020yCat.1350....0G
999 |TYC 3613-835-1                                                                                           |Star                               |22 05 35.9016739368 +49 38 30.010837452|097.4461217859222 -04.8441600812909|  -1.916 -6.803   |10.76    |~                   |    ~     ~    |    1| 1585.037   pc  | -32.4092    +32.4092  |paral   |2020yCat.1350....0G
1000|TYC 3613-1165-1                                                                                          |Star                               |22 06 00.8671466160 +49 23 59.191435248|097.3573421682229 -05.0792134682329|   8.839 13.370   |10.98    |~                   |    ~     ~    |    1|  313.824   pc  |  -1.1917     +1.1917  |paral   |2020yCat.1350....0G
1001|TYC 3613-1803-1                                                                                          |Star                               |22 03 21.3526867392 +49 38 19.832072928|097.1515200802051 -04.6305852794189|  -3.757 -7.921   |10.68    |~                   |    ~     ~    |    1|  916.254   pc  |  -8.8150     +8.8150  |paral   |2020yCat.1350....0G
1002|TYC 3613-1855-1                                                                                          |Star                               |22 05 19.2477677784 +49 11 56.957021088|097.1466611603395 -05.1741059091986|  2.559 -13.666   |10.44    |~                   |    ~     ~    |    1|  648.635   pc  |  -6.0585     +6.0585  |paral   |2020yCat.1350....0G
1003|TYC 3613-2031-1                                                                                          |Star                               |22 04 02.2820340648 +49 30 19.497005532|097.1606625602073 -04.8036469185271|  23.281 36.258   |10.95    |~                   |    ~     ~    |    1|  827.472   pc  |  -8.0111     +8.0111  |paral   |2020yCat.1350....0G
1004|TYC 3613-2872-1                                                                                          |Star                               |22 07 08.9436531168 +49 32 01.827454992|097.5861782484225 -05.0793641603281|   3.780 -8.991   |10.57    |~                   |    ~     ~    |    1|  799.105   pc  | -20.5619    +20.5619  |paral   |2020yCat.1350....0G
1005|TYC 3613-2885-1                                                                                          |Star                               |22 06 36.6564833280 +49 06 11.963636316|097.2607611371412 -05.3760434082754|  -22.623 8.743   |10.80    |~                   |    ~     ~    |    1|  356.303   pc  |  -1.4092     +1.4092  |paral   |2020yCat.1350....0G
1006|TYC 3613-2935-1                                                                                          |Pulsating Variable                 |22 07 00.4424892648 +48 53 53.374237476|097.1923000289338 -05.5801892444496|  -4.305 -5.436   |10.77    |~                   |    ~     ~    |    1| 1435.750   pc  | -39.5785    +39.5785  |paral   |2020yCat.1350....0G
1007|TYC 3614-50-1                                                                                            |Star                               |22 08 20.4989722296 +49 49 12.769252032|097.9114592802077 -04.9600615751542|   1.553 -2.818   |10.46    |~                   |    ~     ~    |    1|  715.973   pc  | -10.7650    +10.7650  |paral   |2020yCat.1350....0G
1008|TYC 3614-106-1                                                                                           |Star                               |22 09 28.8332400168 +49 30 19.759951980|097.8780708065861 -05.3232576635808|   0.517 -2.328   |10.66    |~                   |    ~     ~    |    1|  496.820   pc  |  -4.8132     +4.8132  |paral   |2020yCat.1350....0G
1009|TYC 3614-154-1                                                                                           |Star                               |22 08 48.0598828224 +48 46 36.055489260|097.3613013451974 -05.8514561711815|   20.462 4.238   |10.05    |~                   |    ~     ~    |    1|  297.894   pc  |  -4.1708     +4.1708  |paral   |2020yCat.1350....0G
1010|TYC 3614-170-1                                                                                           |Star                               |22 13 32.2024508376 +49 04 32.473156440|098.1737787805119 -06.0550720897430| -6.982 -13.897   |10.81    |~                   |    ~     ~    |    1|  742.832   pc  |  -6.4560     +6.4560  |paral   |2020yCat.1350....0G
1011|NGC 7243 563                       NGC 7243 563                                                          |Star                               |22 11 41.1572 +49 40 58.619            |098.2740728 -05.3845905            |    12.20 -5.60   |11.15    |~                   |    ~     ~    |    0|                |                       |        |                   
1012|NGC 7243 769                       NGC 7243 769                                                          |Star                               |22 13 32.3107436592 +49 22 14.004736320|098.3426634244419 -05.8127269046653|  -2.211 -4.226   |10.79    |~                   |    ~     ~    |    1| 1604.364   pc  | -48.9057    +48.9057  |paral   |2020yCat.1350....0G
1013|TYC 3614-468-1                                                                                           |Star                               |22 13 51.1528939392 +48 47 33.466578180|098.0547951164267 -06.3174065404646|-28.695 -19.126   |10.65    |~                   |    ~     ~    |    1|  226.521   pc  |  -0.5696     +0.5696  |paral   |2020yCat.1350....0G
1014|TYC 3614-476-1                                                                                           |Star                               |22 13 51.2942786088 +48 55 32.980051164|098.1312597723117 -06.2080235283671|    6.612 4.631   |10.18    |~                   |    ~     ~    |    1|  469.197   pc  |  -5.2395     +5.2395  |paral   |2020yCat.1350....0G
1015|NGC 7243 456                       NGC 7243 456                                                          |Star                               |22 12 51.9492605328 +49 46 08.598337680|098.4806428864203 -05.4230608276745|  -1.954 -3.325   |11.69    |~                   |    ~     ~    |    1| 2423.655   pc  |-102.7968   +102.7968  |paral   |2020yCat.1350....0G
1016|TYC 3614-520-1                                                                                           |Star                               |22 12 36.7073347272 +48 51 08.438135724|097.9202524721131 -06.1519186570758|   9.210 -0.877   |10.64    |~                   |    ~     ~    |    1|  600.348   pc  |  -6.9561     +6.9561  |paral   |2020yCat.1350....0G
1017|TYC 3614-534-1                                                                                           |Star                               |22 09 38.8873926792 +49 47 39.514885548|098.0684773090833 -05.1037174781092|  -3.451 -3.914   |9.83     |~                   |    ~     ~    |    1|  569.120   pc  |  -3.7896     +3.7896  |paral   |2020yCat.1350....0G
1018|TYC 3614-550-1                                                                                           |Star                               |22 11 05.2407966000 +48 57 53.087582844|097.7788813588712 -05.9160917086949|   19.831 1.499   |9.60     |~                   |    ~     ~    |    1|  469.947   pc  |  -2.8711     +2.8711  |paral   |2020yCat.1350....0G
1019|TYC 3614-626-1                                                                                           |Spectroscopic Binary               |22 08 37.8123217920 +49 33 44.499133584|097.7985755117836 -05.1967533406781|-11.806 -41.765   |10.22    |~                   |    ~     ~    |    1|   70.056   pc  |  -1.1882     +1.1882  |paral   |2020yCat.1350....0G
1020|TYC 3614-632-1                                                                                           |Star                               |22 09 34.7315005008 +49 43 23.348322192|098.0179032187688 -05.1552074295757|  -1.942 -5.393   |9.71     |~                   |    ~     ~    |    1|  706.514   pc  | -19.3176    +19.3176  |paral   |2020yCat.1350....0G
1021|NGC 7243 765                       NGC 7243 765                                                          |Star                               |22 13 03.7194998520 +49 20 16.312074360|098.2598332877447 -05.7954137388487|  -0.864 -1.369   |11.01    |~                   |    ~     ~    |    1| 1792.757   pc  | -63.3154    +63.3154  |paral   |2020yCat.1350....0G
1022|NGC 7243 178                       NGC 7243 178                                                          |Star                               |22 11 55.7283312792 +50 05 35.813860332|098.5425054071684 -05.0708315463958|  -0.435 -2.442   |10.90    |~                   |    ~     ~    |    1|  826.651   pc  |  -9.2253     +9.2253  |paral   |2020yCat.1350....0G
1023|Cl* NGC 7243 JFA 979                                                                                     |Star                               |22 10 48.6388295328 +49 50 34.605518244|098.2503426053506 -05.1724099567086|   13.692 5.083   |10.63    |~                   |    ~     ~    |    1|  240.466   pc  |  -0.6187     +0.6187  |paral   |2020yCat.1350....0G
1024|NGC 7243 95                        NGC 7243 95                                                           |Star                               |22 13 14.6113386480 +50 15 34.589898576|098.8113292994548 -05.0544382378243| -5.658 -11.454   |10.84    |~                   |    ~     ~    |    1| 1238.850   pc  | -24.0956    +24.0956  |paral   |2020yCat.1350....0G
1025|NGC 7243 123                       NGC 7243 123                                                          |Star                               |22 14 57.8585756256 +50 22 10.513325568|099.1011655555081 -05.1193751666942|   21.510 6.074   |10.00    |~                   |    ~     ~    |    1|  440.044   pc  |  -6.5256     +6.5256  |paral   |2020yCat.1350....0G
1026|NGC 7243 204                       NGC 7243 204                                                          |Star                               |22 13 26.5556601336 +50 10 59.403388080|098.7939876191857 -05.1354245043298|  -1.189 -9.470   |9.79     |~                   |    ~     ~    |    1| 1195.886   pc  | -21.7382    +21.7382  |paral   |2020yCat.1350....0G
1027|TYC 3614-782-1                                                                                           |High Proper Motion Star            |22 12 03.4460018520 +49 47 55.960797912|098.3902144881804 -05.3240104129461| 109.531 48.298   |10.10    |~                   |    ~     ~    |    1|  130.981   pc  |  -0.2282     +0.2282  |paral   |2020yCat.1350....0G
1028|TYC 3614-796-1                                                                                           |Star                               |22 14 54.1941356016 +48 49 49.820866752|098.2197890414403 -06.3842384428439|-25.559 -26.441   |10.64    |~                   |    ~     ~    |    1|  334.616   pc  |  -1.2540     +1.2540  |paral   |2020yCat.1350....0G
1029|NGC 7243 559                       NGC 7243 559                                                          |Star                               |22 11 23.2181559312 +49 39 07.530137712|098.2164933333692 -05.3820682202163| -19.303 -0.467   |10.38    |~                   |    ~     ~    |    1|  719.580   pc  |  -5.4368     +5.4368  |paral   |2020yCat.1350....0G
1030|TYC 3614-894-1                                                                                           |Star                               |22 11 53.8659259608 +49 08 02.780085588|097.9859912079376 -05.8538687418498|  15.455 -6.599   |10.36    |~                   |    ~     ~    |    1|  481.116   pc  | -20.3002    +20.3002  |paral   |2020yCat.1350....0G
1031|NGC 7243 177                       NGC 7243 177                                                          |Star                               |22 11 40.6534247880 +50 11 33.266240808|098.5665244222589 -04.9663954117741|   10.860 1.170   |11.5     |~                   |    ~     ~    |    1|  546.837   pc  |  -4.0967     +4.0967  |paral   |2020yCat.1350....0G
1032|NGC 7243 316                       NGC 7243 316                                                          |Double or Multiple Star            |22 12 21.0769172568 +50 02 01.065004008|098.5640561708388 -05.1585506733110|  10.219 -2.829   |11.017   |~                   |    ~     ~    |    1|  608.051   pc  |  -8.8364     +8.8364  |paral   |2020yCat.1350....0G
1033|NGC 7243 297                       NGC 7243 297                                                          |Star                               |22 11 04.2057897528 +50 01 01.798083516|098.3853392489694 -05.0540179596302|  -3.008 -6.240   |10.47    |~                   |    ~     ~    |    1| 1116.944   pc  | -16.8421    +16.8421  |paral   |2020yCat.1350....0G
1034|TYC 3614-988-1                                                                                           |Star                               |22 11 03.0880743504 +48 52 35.031581436|097.7228493657300 -05.9848988578824|    9.757 4.420   |10.38    |~                   |    ~     ~    |    1|  410.206   pc  |  -3.2139     +3.2139  |paral   |2020yCat.1350....0G
1035|NGC 7243 201                       NGC 7243 201                                                          |Star                               |22 13 13.0187758296 +50 11 44.317580568|098.7712878516300 -05.1046252223005| -14.412 -9.371   |10.71    |~                   |    ~     ~    |    1|  787.898   pc  |  -8.2564     +8.2564  |paral   |2020yCat.1350....0G
1036|NGC 7243 106                       NGC 7243 106                                                          |Star                               |22 13 50.8274785920 +50 19 57.278958348|098.9325852822986 -05.0491348083277|  -0.102 -2.738   |10.18    |~                   |    ~     ~    |    0|                |                       |        |                   
1037|NGC 7243 784                       NGC 7243 784                                                          |High Proper Motion Star            |22 14 28.3912813440 +49 19 09.301820880|098.4394215574456 -05.9413512174973|  89.201 16.763   |10.27    |~                   |    ~     ~    |    1|   86.675   pc  |  -0.0766     +0.0766  |paral   |2020yCat.1350....0G
1038|Cl* NGC 7243 JFA 686                                                                                     |Star                               |22 10 42.0044261688 +49 41 23.900269668|098.1471342189926 -05.2871107764829| 33.152 -18.589   |10.89    |~                   |    ~     ~    |    1|  106.218   pc  |  -0.1128     +0.1128  |paral   |2020yCat.1350....0G
1039|NGC 7243 450                       NGC 7243 450                                                          |Star                               |22 12 35.3683302864 +49 43 32.051457192|098.4188901982013 -05.4332857449896|   12.238 7.148   |10.00    |~                   |    ~     ~    |    1|  413.377   pc  |  -3.5885     +3.5885  |paral   |2020yCat.1350....0G
1040|NGC 7243 224                       NGC 7243 224                                                          |Star                               |22 14 27.5438441352 +50 10 20.829693036|098.9225032301861 -05.2365053028643|  -0.620 -1.400   |10.37    |~                   |    ~     ~    |    1|  819.269   pc  | -10.8735    +10.8735  |paral   |2020yCat.1350....0G
1041|TYC 3614-1176-1                                                                                          |Star                               |22 07 30.8557982640 +49 14 09.925309680|097.4591164307039 -05.3553653136051|   7.753 -2.492   |10.84    |~                   |    ~     ~    |    1|  621.504   pc  |  -5.8326     +5.8326  |paral   |2020yCat.1350....0G
1042|TYC 3614-1180-1                                                                                          |Star                               |22 09 36.1749771528 +49 00 02.743742844|097.6000899090566 -05.7458609061981|  -6.466 -9.920   |9.43     |~                   |    ~     ~    |    1|  483.209   pc  |  -5.5337     +5.5337  |paral   |2020yCat.1350....0G
1043|NGC 7243 210                       NGC 7243 210                                                          |Star                               |22 13 52.4882894208 +50 05 31.420449708|098.7992924500614 -05.2497434921424|   9.994 -1.504   |10.85    |~                   |    ~     ~    |    1|  265.823   pc  |  -1.1942     +1.1942  |paral   |2020yCat.1350....0G
1044|TYC 3614-1286-1                                                                                          |Star                               |22 13 36.9952467720 +49 01 14.935727856|098.1532117353426 -06.1076453051489|   1.294 -3.918   |10.23    |~                   |    ~     ~    |    1| 1535.391   pc  | -28.5248    +28.5248  |paral   |2020yCat.1350....0G
1045|NGC 7243 189                       NGC 7243 189                                                          |Star                               |22 12 34.8152004816 +50 05 14.619670764|098.6251802055654 -05.1354188811430|   9.967 -2.702   |10.79    |~                   |    ~     ~    |    1|  624.064   pc  |  -4.6345     +4.6345  |paral   |2020yCat.1350....0G
1046|TYC 3614-1390-1                                                                                          |Star                               |22 13 39.9294249096 +49 13 31.118925648|098.2767591813694 -05.9439791647459|   0.440 -2.938   |9.95     |~                   |    ~     ~    |    1|  973.331   pc  | -27.6633    +27.6633  |paral   |2020yCat.1350....0G
1047|TYC 3614-1408-1                                                                                          |High Proper Motion Star            |22 07 59.9683201272 +49 32 33.894101508|097.7036782176670 -05.1529685089937| 32.216 -42.271   |10.42    |~                   |    ~     ~    |    1|  138.912   pc  |  -0.2181     +0.2181  |paral   |2020yCat.1350....0G
1048|NGC 7243 328                       NGC 7243 328                                                          |Star                               |22 13 20.6249949576 +50 00 43.390569744|098.6831993749673 -05.2671755948221|   0.582 -2.551   |10.41    |~                   |    ~     ~    |    1|  806.907   pc  | -34.4431    +34.4431  |paral   |2020yCat.1350....0G
1049|NGC 7243 317                       NGC 7243 317                                                          |Star                               |22 12 35.8423047168 +50 00 35.572797432|098.5830077730286 -05.2006242259501| -16.934 -7.444   |11.17    |~                   |    ~     ~    |    1|  275.497   pc  |  -1.2220     +1.2220  |paral   |2020yCat.1350....0G
1050|TYC 3614-1448-1                                                                                          |Star                               |22 13 33.2115456888 +49 09 03.396384756|098.2191076615885 -05.9947476587143|  -5.018 -1.154   |10.74    |~                   |    ~     ~    |    1|  435.654   pc  |  -2.1067     +2.1067  |paral   |2020yCat.1350....0G
1051|TYC 3614-1468-1                                                                                          |Star                               |22 08 30.6644607720 +49 24 04.334997780|097.6884355126907 -05.3164065572509|    6.382 3.982   |10.76    |~                   |    ~     ~    |    1|  325.193   pc  |  -1.4911     +1.4911  |paral   |2020yCat.1350....0G
