C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:44:25

dec >=0&rah >=22.0&rah< 22.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 7006

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |TYC 3202-192-1                                                                                           |Star                               |22 02 51.9634731888 +41 06 57.056852448|091.8914784097810 -11.3797279926857|  -0.948 -5.348   |10.59    |~                   |    ~     ~    |    1|  988.045   pc  | -14.0577    +14.0577  |paral   |2020yCat.1350....0G
23  |TYC 3202-578-1                                                                                           |Star                               |22 02 55.7659367472 +41 07 38.974714284|091.9083682673912 -11.3777619562421|   -1.878 2.847   |10.37    |~                   |    ~     ~    |    1| 1239.004   pc  | -25.3297    +25.3297  |paral   |2020yCat.1350....0G
24  |TYC 3206-4-1                                                                                             |Star                               |22 05 44.3246032488 +41 44 56.900851008|092.7192900231001 -11.2009636726238| -14.913 -8.586   |10.99    |~                   |    ~     ~    |    1|  609.830   pc  |  -5.3553     +5.3553  |paral   |2020yCat.1350....0G
25  |TYC 3206-30-1                                                                                            |Star                               |22 01 19.9511505360 +41 29 39.654280032|091.8947439209903 -10.9041287110844|  -1.924 -7.628   |10.40    |~                   |    ~     ~    |    1|  679.532   pc  |  -7.3421     +7.3421  |paral   |2020yCat.1350....0G
26  |TYC 3206-174-1                                                                                           |Star                               |22 02 40.0119075048 +41 44 42.701331408|092.2518249713368 -10.8577603586960|   1.838 -3.736   |10.60    |~                   |    ~     ~    |    1|  754.091   pc  |  -7.9043     +7.9043  |paral   |2020yCat.1350....0G
27  |TYC 3206-176-1                                                                                           |Star                               |22 04 40.6495580976 +41 37 43.194609696|092.4840855601496 -11.1779377422143|   0.817 -9.130   |10.41    |~                   |    ~     ~    |    1|  711.946   pc  |  -5.5755     +5.5755  |paral   |2020yCat.1350....0G
28  |TYC 3206-177-1                                                                                           |Star                               |22 02 01.5500474784 +42 35 43.967953140|092.6825140581291 -10.1108623299410|    2.280 1.944   |10.65    |~                   |    ~     ~    |    1|  500.877   pc  |  -3.0105     +3.0105  |paral   |2020yCat.1350....0G
29  |TYC 3206-197-1                                                                                           |Star                               |22 00 11.2329232152 +42 32 50.407702764|092.3805932780288 -09.9419925354653|  -1.509 -2.255   |10.61    |~                   |    ~     ~    |    1|  943.841   pc  | -10.5119    +10.5119  |paral   |2020yCat.1350....0G
30  |TYC 3206-214-1                                                                                           |Star                               |22 04 34.4247930408 +41 20 31.652181348|092.2918789302507 -11.3946267632558|  -4.566 -9.195   |10.75    |~                   |    ~     ~    |    1|  530.504   pc  | -13.0867    +13.0867  |paral   |2020yCat.1350....0G
31  |TYC 3206-288-1                                                                                           |Star                               |22 03 24.8035587792 +41 37 47.396711748|092.2931521733594 -11.0340756451613| -6.909 -16.948   |10.06    |~                   |    ~     ~    |    1|  964.320   pc  | -10.3220    +10.3220  |paral   |2020yCat.1350....0G
