C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:18:19

dec< 0&rah >=0.5&rah< 0.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2507

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |HD 2785                                                                                                  |Star                                |00 31 08.0135569848 -42 17 34.694990844|316.9106004944048 -74.2797014365398|  -13.483 9.304   |9.59     |F2V               |    ~     ~    |    1|  180.434   pc  |  -1.8000     +1.8000  |ST-L    |2020AJ....160...83S
2   |CD-42 162                                                                                                |Star                                |00 32 26.4477552000 -42 05 28.496912604|316.2594291048560 -74.5418051295618|  16.083 24.245   |9.76     |~                 |    ~     ~    |    1|  212.252   pc  |  -2.7510     +2.7510  |ST-L    |2020AJ....160...83S
3   |HD 2786                                                                                                  |Star                                |00 31 01.9426158624 -43 17 31.852954968|315.9604279339060 -73.3160946891553|   28.169 3.536   |8.72     |K2III             |    ~     ~    |    1|  302.599   pc  |  -1.6940     +1.6940  |paral   |2020yCat.1350....0G
4   |HD 2787                                                                                                  |High Proper Motion Star             |00 31 01.8957456240 -43 21 18.745090704|315.9006011300789 -73.2554630370523|  61.322 -1.916   |9.58     |G5                |    ~     ~    |    1|  294.829   pc  |  -1.1822     +1.1822  |paral   |2020yCat.1350....0G
5   |HD 2811                                                                                                  |Star                                |00 31 18.4898965416 -43 36 22.998046968|315.4993116778082 -73.0272836983638|  -6.008 -4.326   |7.50     |A3V               |    ~     ~    |    1|  263.213   pc  |  -1.5034     +1.5034  |paral   |2020yCat.1350....0G
6   |HD 2962                                                                                                  |Star                                |00 32 30.6546884376 -44 03 57.492891000|314.3893124245884 -72.6387796006192|   17.449 3.566   |8.87     |G8V               |    ~     ~    |    1|  188.377   pc  |  -0.6033     +0.6033  |paral   |2020yCat.1350....0G
7   |CD-45 149                                                                                                |Star                                |00 30 59.1750598224 -44 29 50.423364276|314.9023408598905 -72.1524952539037| -2.107 -23.470   |10.578   |~                 |    ~     ~    |    1|  440.801   pc  | -10.0200    +10.0200  |ST-L    |2020AJ....160...83S
8   |CD-43 132                                                                                                |Star                                |00 31 33.3986 -42 28 43.205            |316.4403928 -74.1241378            |-16.066 -38.113   |10.26    |~                 |    ~     ~    |    0|                |                       |        |                   
9   |CD-43 136                                                                                                |Star                                |00 32 16.5591009288 -43 04 31.701132516|315.3988690737936 -73.5858567631227|   -0.148 2.306   |10.27    |~                 |    ~     ~    |    1|  332.387   pc  |  -5.9430     +5.9430  |ST-L    |2020AJ....160...83S
10  |CD-44 133                                                                                                |Star                                |00 33 13.5690408000 -43 46 47.800077996|314.2024571445634 -72.9475558690133|  -5.435 35.083   |10.764   |~                 |    ~     ~    |    1|   78.321   pc  |  -0.3408     +0.3408  |ST-L    |2020AJ....160...83S
11  |CD-42 167                                                                                                |High Proper Motion Star             |00 33 38.4614829480 -41 57 51.385574736|315.5784228652482 -74.7241094442218|-54.065 -36.048   |10.496   |~                 |    ~     ~    |    1|  117.589   pc  |  -0.7432     +0.7432  |ST-L    |2020AJ....160...83S
12  |TYC 7528-1018-1                                                                                          |Star                                |00 30 46.3309610376 -42 02 31.981214544|317.4234860041929 -74.4995065808375|   7.460 -7.554   |10.842   |~                 |    ~     ~    |    1|  428.855   pc  |  -9.8820     +9.8820  |ST-L    |2020AJ....160...83S
