C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:48:12

Vmag< 11&dec< 0&rah >=6.75&rah< 7.0
-----------------------------------

Number of objects : 8779

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------
32  |HD 292349                                                                                                                                   |Star                                  |06 45 34.4166808392 -02 03 50.522734584|214.1014729109188 -02.2453377257936|  8.171 -14.142   |9.68     |F2                   |    ~     ~    
33  |HD 49064                                                                                                                                    |Star                                  |06 46 32.4717177000 -02 06 59.942937852|214.2584790397461 -02.0540575181029|  -2.024 -2.075   |9.43     |B9III/IV             |    ~     ~    
34  |NGC 2286 422                       HD 48997                                                                                                 |Double or Multiple Star               |06 46 10.710936 -02 23 24.89100        |214.460994317 -02.259262638        |       -2.9 2.0   |9.592    |B9II/III             |    ~     ~    
35  |NGC 2286 532                       HD 49065                                                                                                 |Star                                  |06 46 27.9673211328 -02 16 22.230381108|214.3890982553126 -02.1418574985878|  -6.579 -3.515   |10.00    |A2IV/V               |    ~     ~    
36  |NGC 2286 688                       HD 49144                                                                                                 |Star                                  |06 46 53.1740851656 -02 42 23.277254904|214.8232879566110 -02.2457591034445|  -6.534 -2.732   |9.14     |A0V                  |    ~     ~    
37  |NGC 2286 864                       HD 49249                                                                                                 |Double or Multiple Star               |06 47 21.9038942319 -02 24 58.659686584|214.6191891798654 -02.0072179648920|   0.313 -6.479   |8.79     |A1/2V                |    ~     ~    
38  |HD 295409                                                                                                                                   |Star                                  |06 45 43.8782715168 -02 34 27.083066448|214.5740626379335 -02.4424243864633|  19.125 -5.658   |10.72    |F8                   |    ~     ~    
39  |HD 292363                                                                                                                                   |Star                                  |06 46 58.3162070544 -02 10 59.272359060|214.3667284389692 -01.9885128148284|  -0.599 -1.196   |10.81    |A2                   |    ~     ~    
40  |HD 292367                                                                                                                                   |Star                                  |06 46 23.8734439464 -02 24 09.429950484|214.4969756033482 -02.2161005342437|   -0.738 0.117   |10.90    |G2Ib                 |    ~     ~    
41  |IRAS 06430-0204                                                                                                                             |Long-Period Variable Candidate        |06 45 34.7254757016 -02 07 52.453220304|214.1619420112403 -02.2747835929298|  -0.067 -1.346   |10.95    |M5                   |    ~     ~    
42  |NGC 2286 266                       BD-02 1751                                                                                               |Star                                  |06 45 35.1546738696 -02 20 19.540239612|214.3476931357282 -02.3676415583341|   -0.669 4.380   |10.13    |M2/3                 |    ~     ~    
