C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:48:12

Vmag< 11&dec< 0&rah >=6.75&rah< 7.0
-----------------------------------

Number of objects : 8779

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------
347 |BD-01 1383                                                                                                                                  |Star                                  |06 48 07.6477136904 -01 55 19.791531444|214.2658040321563 -01.6126494575869|   -4.723 0.394   |10.00    |K5                   |    ~     ~    
348 |TYC 4800-1315-1                                                                                                                             |Star                                  |06 48 22.6363499640 -01 04 08.951291040|213.5347106613026 -01.1684134841920|  0.495 -10.724   |10.30    |G0V                  |    ~     ~    
349 |HD 292493                                                                                                                                   |Star                                  |06 49 20.3344567728 -01 52 07.320687420|214.3561278196787 -01.3188296587205|  -0.058 -1.177   |10.42    |A6m                  |    ~     ~    
350 |TYC 4800-2038-1                                                                                                                             |Star                                  |06 49 31.5958704168 -01 29 34.431903816|214.0429070799327 -01.1058411688079|  -0.272 -2.365   |10.67    |K3                   |    ~     ~    
351 |HD 292491                                                                                                                                   |Double or Multiple Star               |06 49 34.093008 -01 56 13.67520        |214.443171285 -01.299003011        |        4.4 4.5   |10.52    |B9IV                 |    ~     ~    
352 |HD 292489                                                                                                                                   |Star                                  |06 50 10.9176029112 -01 53 46.025725416|214.4765404203527 -01.1438084633288|  -10.396 4.908   |10.07    |K2                   |    ~     ~    
353 |HD 292470                                                                                                                                   |Star                                  |06 50 21.5672734704 -01 24 30.937609116|214.0627359299117 -00.8821461908786|  -4.745 -7.783   |10.42    |F0                   |    ~     ~    
354 |TYC 4800-2488-1                                                                                                                             |Star                                  |06 50 21.4273698744 -01 38 05.219772432|214.2638275703290 -00.9857557064884| 44.691 -21.646   |10.77    |G0:                  |    ~     ~    
355 |TYC 4800-1766-1                                                                                                                             |Star                                  |06 50 31.1610835176 -01 26 52.300154688|214.1159078510858 -00.8644748912395|   5.294 -9.412   |10.37    |K0                   |    ~     ~    
356 |HD 292628                                                                                                                                   |Eclipsing Binary                      |06 51 02.5702842312 -01 21 59.224548780|214.1030830412982 -00.7109164720835|  -0.066 -1.717   |10.28    |B9                   |    ~     ~    
357 |TYC 4800-2522-1                                                                                                                             |Star                                  |06 51 19.3088020584 -01 40 11.719134048|214.4049976760134 -00.7871948922030|   -0.041 0.143   |10.62    |G8                   |    ~     ~    
358 |HD 292638                                                                                                                                   |Star                                  |06 51 25.6999779384 -01 45 05.701065084|214.4898236385813 -00.8007256636609|   1.982 -1.267   |9.98     |A2                   |    ~     ~    
359 |HD 292622                                                                                                                                   |Star                                  |06 51 51.6544260456 -01 07 36.676933104|213.9830454273318 -00.4197011474477| -6.932 -11.943   |9.61     |A5                   |    ~     ~    
360 |HD 292636                                                                                                                                   |Star                                  |06 52 09.7194352512 -01 47 34.484996868|214.6101872046150 -00.6563937402504|   -1.175 1.748   |10.08    |A2                   |    ~     ~    
361 |HD 292635                                                                                                                                   |Star                                  |06 52 16.6344984000 -01 43 01.587199548|214.5558441091617 -00.5962026518449| -2.119 -16.412   |10.74    |F5                   |    ~     ~    
362 |TYC 4801-1317-1                                                                                                                             |Star                                  |06 52 42.9058630200 -01 48 27.050685768|214.6861972489613 -00.5400412151087|  -9.916 -5.888   |10.48    |G0V                  |    ~     ~    
363 |TYC 4801-1223-1                                                                                                                             |Star                                  |06 52 43.7582323080 -01 39 47.803124196|214.5594400588267 -00.4711185778513|   3.809 -6.690   |10.79    |F2                   |    ~     ~    
364 |HD 292608                                                                                                                                   |Star                                  |06 53 00.8353415424 -01 17 20.250329928|214.2587280322109 -00.2371290758494| -12.046 -6.129   |10.10    |F2                   |    ~     ~    
365 |HD 292610                                                                                                                                   |Star                                  |06 53 17.7624683136 -01 16 45.197380920|214.2822176067905 -00.1699353675889|    0.322 9.768   |9.73     |M0                   |    ~     ~    
366 |TYC 4801-620-1                                                                                                                              |Star                                  |06 53 29.2461550536 -01 15 02.482688736|214.2786411018237 -00.1143506805086|  -0.287 -3.111   |10.95    |K2:                  |    ~     ~    
367 |TYC 4801-1762-1                                                                                                                             |Star                                  |06 53 27.5228836848 -01 42 49.591495008|214.6874990049745 -00.3319234554070|    2.416 0.467   |10.95    |G8:                  |    ~     ~    
368 |TYC 4801-1550-1                                                                                                                             |Star                                  |06 54 08.6611936032 -01 51 44.072016768|214.8977640696589 -00.2471604152771|-17.354 -20.408   |10.26    |K0:                  |    ~     ~    
369 |TYC 4805-3243-1                                                                                                                             |Star                                  |06 54 11.3464384800 -01 56 16.813725432|214.9702877894074 -00.2717628791671|   0.603 -2.177   |10.71    |K2                   |    ~     ~    
370 |TYC 4801-952-1                                                                                                                              |Star                                  |06 55 03.1565703720 -01 15 59.953111236|214.4712804394935 +00.2265037217069|   -5.170 2.696   |10.82    |G5III                |    ~     ~    
371 |TYC 4801-2618-1                                                                                                                             |Star                                  |06 55 11.3999442144 -01 30 11.771321832|214.6975058318193 +00.1491157790782|   0.548 -0.930   |10.28    |G8III                |    ~     ~    
372 |TYC 4801-4255-1                                                                                                                             |Star                                  |06 55 20.3310133128 -01 11 53.844130788|214.4430828079810 +00.3213561544990|   -0.550 5.255   |10.79    |G8III                |    ~     ~    
373 |TYC 4801-4329-1                                                                                                                             |Star                                  |06 55 28.6730676936 -01 16 14.625469740|214.5233992468996 +00.3192314735154|   1.199 -0.430   |10.96    |K0                   |    ~     ~    
374 |HD 292748                                                                                                                                   |Star                                  |06 55 34.4332644912 -01 14 03.784554600|214.5020043797633 +00.3571653216274|   -9.629 3.208   |10.12    |F2                   |    ~     ~    
375 |TYC 4801-4354-1                                                                                                                             |Star                                  |06 55 32.2537139712 -01 37 16.086016200|214.8420176019673 +00.1726338126412|   -1.956 1.725   |10.89    |G0                   |    ~     ~    
376 |TYC 4801-4050-1                                                                                                                             |Star                                  |06 55 51.7036910784 -01 37 03.225803952|214.8758013383372 +00.2463489885330|   -0.616 8.996   |10.56    |G8V                  |    ~     ~    
377 |TYC 4801-4166-1                                                                                                                             |Star                                  |06 55 55.3838634408 -01 45 31.051784808|215.0083176082175 +00.1956209358272|    0.894 3.841   |10.67    |G8III                |    ~     ~    
378 |HD 292762                                                                                                                                   |Star                                  |06 55 56.2964698752 -01 44 42.572986512|214.9980692072718 +00.2051477075733|   -7.028 2.245   |10.38    |F8                   |    ~     ~    
379 |HD 292449                                                                                                                                   |Star                                  |06 48 16.9559698824 -00 53 06.666728100|213.3601433731263 -01.1056242510047|   2.549 -1.933   |10.7     |B8                   |    ~     ~    
380 |HD 292450                                                                                                                                   |Star                                  |06 48 32.2631674992 -00 58 35.369598108|213.4705011598408 -01.0904817850940| -3.475 -13.322   |9.90     |K2                   |    ~     ~    
381 |HD 292434                                                                                                                                   |Star                                  |06 48 43.5114915168 -00 39 03.916506672|213.2021957177809 -00.9004352847040|    2.560 0.052   |10.45    |A0                   |    ~     ~    
382 |HD 292455                                                                                                                                   |Star                                  |06 49 07.9779438192 -01 01 01.362223308|213.5744337979714 -00.9765331481783|   -0.132 3.824   |10.50    |K2                   |    ~     ~    
383 |HD 292423                                                                                                                                   |Star                                  |06 49 17.7709576344 -00 17 33.057107520|212.9481189717004 -00.6099085951855|   -1.790 0.257   |9.86     |A2                   |    ~     ~    
384 |HD 292429                                                                                                                                   |Star                                  |06 49 53.9243699640 -00 22 51.637977768|213.0955702724360 -00.5161913961550|  -1.628 -5.135   |10.68    |A0                   |    ~     ~    
385 |HD 292428                                                                                                                                   |Star                                  |06 49 55.7434369104 -00 17 28.146103980|213.0190488002272 -00.4684739298439|  -6.383 -4.498   |10.34    |A7                   |    ~     ~    
386 |HD 292569                                                                                                                                   |Star                                  |06 50 46.3418522832 -00 16 40.417267080|213.1033798692455 -00.2747959349018|  -2.037 -2.284   |10.493   |A0                   |    ~     ~    
387 |HD 292558                                                                                                                                   |Star                                  |06 53 33.8789088432 -00 15 52.483337388|213.4098442341033 +00.3525398266731|   0.877 -0.210   |9.98     |K7                   |    ~     ~    
388 |HD 292711                                                                                                                                   |Star                                  |06 54 27.4860520152 -00 23 05.928310212|213.6188642203600 +00.4964113328678|  -2.764 -1.867   |10.9     |B8                   |    ~     ~    
389 |BD+00 1704                                                                                                                                  |Star                                  |06 55 20.7985968024 -00 08 36.449486916|213.5052238426574 +00.8042481225401| 11.843 -10.816   |10.74    |K0                   |    ~     ~    
390 |BD-02 1775                                                                                                                                  |Star                                  |06 49 07.9462048632 -02 35 35.699321508|214.9778870553279 -01.6947506821297|    0.405 0.391   |10.82    |K0III                |    ~     ~    
391 |HD 292614                                                                                                                                   |Star                                  |06 53 20.6399360232 -01 28 16.480250976|214.4585783427925 -00.2468366734693|   4.448 -5.945   |9.92     |K2                   |    ~     ~    
392 |HD 295614                                                                                                                                   |Star                                  |06 52 06.7518434544 -02 39 07.179311412|215.3692984333444 -01.0589552275392|  -1.915 -7.984   |9.88     |K0                   |    ~     ~    
393 |HD 295808                                                                                                                                   |Star                                  |06 56 09.5963157000 -02 33 58.156301340|215.7538697927679 -00.1202247739530|   4.349 -4.134   |9.33     |M0                   |    ~     ~    
394 |HD 292599                                                                                                                                   |Star                                  |06 52 10.0740096072 -00 52 51.614395320|213.7992238573337 -00.2393076224341|   0.209 -2.015   |10.08    |B5                   |    ~     ~    
395 |HD 292743                                                                                                                                   |Star                                  |06 54 03.2029396560 -01 24 21.246064560|214.4812819273207 -00.0592574627273|  -0.701 -1.810   |10.62    |B9                   |    ~     ~    
396 |HD 292753                                                                                                                                   |Star                                  |06 55 17.8098 -01 29 59.200            |214.7065787 +00.1744671            | -19.101 -2.110   |9.78     |K0                   |    ~     ~    
397 |HD 295505                                                                                                                                   |Star                                  |06 49 55.2645844728 -02 39 53.217670536|215.1313170147339 -01.5519734206908|  -0.381 -0.565   |10.01    |B9                   |    ~     ~    
398 |HD 48807                                                                                                                                    |Star                                  |06 45 11.2096823136 -00 02 35.440662696|212.2576235713164 -01.4105055157306|   0.135 -1.817   |7.02     |B8Iab                |    ~     ~    
399 |TYC 4800-166-1                                                                                                                              |Star                                  |06 45 52.9390250808 -00 02 15.527358960|212.3320225853568 -01.2532480004314|  -5.151 -3.946   |10.87    |G9III                |    ~     ~    
400 |HD 50024                                                                                                                                    |Star                                  |06 51 18.5397580008 -00 03 33.767723448|212.9700768404686 -00.0557596102314|  -1.325 -2.179   |9.77     |B8II                 |    ~     ~    
401 |V* V519 Mon                                                                                                                                 |Long-Period Variable                  |06 51 28.8663557880 -00 01 57.234207576|212.9658317490861 -00.0052385259655|  -2.164 -4.787   |8.49     |M4                   |    ~     ~    
402 |HD 292693                                                                                                                                   |Star                                  |06 54 42.5694138288 -00 03 06.990810084|213.3511222243447 +00.7042245426408| -3.111 -13.785   |9.75     |M4                   |    ~     ~    
403 |HD 295406                                                                                                                                   |Star                                  |06 45 24.4910702256 -02 40 42.474235692|214.6302703889138 -02.5617213294583|  -0.118 -1.706   |9.80     |A0                   |    ~     ~    
404 |NGC 2286 153                       HD 295405                                                                                                |Star                                  |06 45 03.3539265984 -02 49 28.766234100|214.7205579686276 -02.7065530894623|  -1.784 -0.696   |9.27     |K2                   |    ~     ~    
405 |NGC 2286 792                       HD 49204                                                                                                 |Star                                  |06 47 08.7631971168 -02 50 26.811473136|214.9725290101869 -02.2490934662371|   -7.777 0.171   |8.97     |A8/9IV/V             |    ~     ~    
406 |HD 48846                                                                                                                                    |Star                                  |06 45 16.3276 -03 56 59.614            |215.7488209 -03.1697225            |     -7.0 -10.9   |9.20     |B9IV                 |    ~     ~    
407 |NGC 2286 383                       HD 48959                                                                                                 |Star                                  |06 45 58.6789500672 -03 48 13.994047152|215.6986046209834 -02.9465627436061|   0.001 -2.106   |8.93     |A0IV                 |    ~     ~    
408 |NGC 2286 537                       HD 49066                                                                                                 |Star                                  |06 46 26.3913441912 -03 13 14.723998608|215.2309825752113 -02.5789182935433|  -0.192 -1.556   |9.59     |B9III/IV             |    ~     ~    
409 |HD 295426                                                                                                                                   |Star                                  |06 45 42.3551563416 -03 21 50.935319100|215.2754925803485 -02.8072598482931|   0.390 -1.344   |10.47    |A2                   |    ~     ~    
410 |HD 295433                                                                                                                                   |Star                                  |06 46 27.5116444152 -03 22 56.098645968|215.3770953957602 -02.6481796065147|  -2.773 -4.407   |10.36    |A7                   |    ~     ~    
411 |HD 295438                                                                                                                                   |Star                                  |06 45 55.9103217840 -03 39 18.681946452|215.5607239043109 -02.8892763890294|  -0.410 -2.529   |10.40    |K0                   |    ~     ~    
412 |HD 295441                                                                                                                                   |Star                                  |06 46 52.4402081112 -03 31 27.393327192|215.5509119143453 -02.6203815587504|  -1.169 -1.622   |10.87    |A7                   |    ~     ~    
413 |HD 295447                                                                                                                                   |Star                                  |06 47 01.4688373440 -03 41 13.845711732|215.7132556076392 -02.6609723588264|   1.268 -0.848   |10.38    |A0                   |    ~     ~    
414 |HD 295450                                                                                                                                   |Star                                  |06 47 04.0841215680 -03 49 33.587982552|215.8419971352250 -02.7143628210378|   1.303 -0.779   |10.87    |K0                   |    ~     ~    
415 |HD 295454                                                                                                                                   |Star                                  |06 45 12.2379152424 -03 49 37.912959228|215.6316035659170 -03.1291688056484|  1.314 -21.525   |10.73    |G0                   |    ~     ~    
416 |HD 48887                                                                                                                                    |Star                                  |06 45 26.9792771256 -05 19 52.468407372|217.0023775723294 -03.7565990648236|-17.996 -16.660   |9.49     |F6V                  |    ~     ~    
417 |HD 48998                                                                                                                                    |Star                                  |06 46 04.7133617400 -05 27 23.297423148|217.1852994894641 -03.6737494508767|  3.731 -11.184   |9.50     |A2III                |    ~     ~    
418 |HD 49018                                                                                                                                    |Star                                  |06 46 13.0167696720 -05 10 18.850951956|216.9467418876454 -03.5141253331184|  -5.426 -1.457   |9.03     |F3V                  |    ~     ~    
419 |HD 49019                                                                                                                                    |Star                                  |06 46 14.2524487992 -05 15 01.325985336|217.0191503691434 -03.5451087989388|   -2.353 0.811   |7.42     |K3III                |    ~     ~    
420 |HD 49020                                                                                                                                    |Star                                  |06 46 14.4209259312 -05 28 28.831236168|217.2198349062872 -03.6460951962375|  -6.135 -6.352   |9.30     |B9.5/A0IV/V          |    ~     ~    
421 |HD 295460                                                                                                                                   |Star                                  |06 45 54.9474931776 -04 05 25.289685636|215.9471433987216 -03.0904586189226|  -0.528 -1.655   |10.80    |B9                   |    ~     ~    
422 |HD 295461                                                                                                                                   |Star                                  |06 46 07.6547421192 -04 03 12.586685688|215.9382628953680 -03.0266667709154|  -6.539 -4.006   |10.11    |A2                   |    ~     ~    
423 |HD 295466                                                                                                                                   |Star                                  |06 46 41.9155473552 -04 15 57.656853216|216.1926084398945 -02.9962907642692|  -7.246 -6.856   |10.76    |G5                   |    ~     ~    
424 |HD 295467                                                                                                                                   |Star                                  |06 46 09.5931798552 -04 18 07.759285020|216.1638097301884 -03.1323628965217|  -1.948 -0.074   |10.42    |A3                   |    ~     ~    
425 |HD 295476                                                                                                                                   |Star                                  |06 47 15.5090050056 -04 33 28.516682772|216.5165006797303 -03.0044417410136|   1.646 -5.267   |10.61    |F2                   |    ~     ~    
426 |HD 295478                                                                                                                                   |Star                                  |06 46 32.0933151456 -04 38 49.602162696|216.5141560525425 -03.2055960981482|  -0.942 -4.487   |10.50    |A5                   |    ~     ~    
427 |HD 295479                                                                                                                                   |Star                                  |06 46 12.9561091752 -04 36 29.555632224|216.4433204819394 -03.2587792031760|  -1.866 -2.430   |10.53    |K2                   |    ~     ~    
428 |HD 295480                                                                                                                                   |Star                                  |06 45 15.3504809232 -04 38 21.376531248|216.3623673491779 -03.4860916885900|  10.208 -4.636   |10.89    |F5                   |    ~     ~    
429 |HD 295482                                                                                                                                   |Star                                  |06 45 08.1629338728 -04 44 34.193499180|216.4412932325660 -03.5596433411382| -4.960 -10.605   |10.79    |A                    |    ~     ~    
430 |HD 295484                                                                                                                                   |Star                                  |06 45 08.1807623160 -04 53 26.505981888|216.5733935345604 -03.6265910071495|   -7.442 7.196   |10.83    |G5                   |    ~     ~    
431 |HD 295492                                                                                                                                   |Star                                  |06 46 00.2578413456 -04 51 50.193798408|216.6476807969515 -03.4217462832344|  -0.614 -1.394   |10.97    |A0                   |    ~     ~    
432 |HD 295494                                                                                                                                   |Star                                  |06 46 31.9845504768 -04 58 04.622424204|216.8003653348763 -03.3515072332066|  -2.074 -2.901   |10.72    |A                    |    ~     ~    
433 |HD 295496                                                                                                                                   |Star                                  |06 46 50.2200201600 -05 02 06.815367564|216.8948074013294 -03.3145460329577|  -2.251 -0.060   |10.61    |A2                   |    ~     ~    
434 |HD 295423                                                                                                                                   |Star                                  |06 45 23.4733606920 -02 55 57.059627304|214.8548404643097 -02.6810272054396|  -0.923 -1.344   |9.85     |A2                   |    ~     ~    
435 |HD 295481                                                                                                                                   |Star                                  |06 45 24.2025451128 -04 43 44.336550792|216.4591745292227 -03.4939980848123|  -2.488 -8.386   |10.29    |A5                   |    ~     ~    
436 |HD 295437                                                                                                                                   |Star                                  |06 45 30.1318445208 -03 40 40.302285024|215.5321957396896 -02.9950691990319|   2.724 -2.299   |9.72     |K0                   |    ~     ~    
437 |BD-05 1783                                                                                                                                  |Star                                  |06 45 39.4332402984 -05 16 46.658095464|216.9797116021256 -03.6871575222460|  -3.448 -0.568   |9.90     |~                    |    ~     ~    
438 |TYC 4808-1252-1                                                                                                                             |Star                                  |06 45 46.4281526136 -05 04 22.806223752|216.8083120042480 -03.5676734981030|    3.561 2.218   |10.48    |~                    |    ~     ~    
439 |HD 295462                                                                                                                                   |Star                                  |06 46 04.1807166696 -04 07 22.408918608|215.9936179861401 -03.0710359165734|   -1.207 0.055   |9.57     |B5                   |    ~     ~    
440 |HD 295428                                                                                                                                   |Star                                  |06 46 09.5036797824 -03 14 56.581979964|215.2242392620944 -02.6543548287949|  -3.463 19.043   |9.41     |K0                   |    ~     ~    
441 |HD 295470                                                                                                                                   |Star                                  |06 46 27.7938573216 -04 25 53.726906748|216.3136881617692 -03.1237225064038|-14.532 -21.575   |9.57     |F5                   |    ~     ~    
442 |HD 295417                                                                                                                                   |Star                                  |06 46 37.0542313080 -02 54 01.883291364|214.9657002545733 -02.3937816316577|  -13.449 5.911   |9.95     |K2                   |    ~     ~    
443 |HD 295451                                                                                                                                   |Star                                  |06 46 38.1223923000 -03 56 38.969238732|215.8983029045509 -02.8641865945359|  -4.171 -1.286   |9.89     |K0                   |    ~     ~    
444 |HD 295446                                                                                                                                   |Star                                  |06 46 43.9018300104 -03 36 57.672015984|215.6165678195624 -02.6937050018665|  -3.552 -2.065   |9.82     |B8                   |    ~     ~    
445 |HD 295445                                                                                                                                   |Star                                  |06 46 47.3239941336 -03 37 23.863532376|215.6295296858498 -02.6843347960993|  -0.386 -5.438   |9.54     |B9                   |    ~     ~    
446 |TYC 4804-2724-1                                                                                                                             |Star                                  |06 46 59.5729427040 -03 27 28.353510612|215.5052045449732 -02.5637772326702|   1.129 -7.420   |10.66    |~                    |    ~     ~    
447 |HD 295449                                                                                                                                   |Star                                  |06 47 06.4936884408 -03 46 31.569870504|215.8014637638912 -02.6824658593226|  1.152 -24.505   |9.58     |G0                   |    ~     ~    
448 |HD 295477                                                                                                                                   |Star                                  |06 47 10.2245316192 -04 41 51.053686584|216.6310940575515 -03.0873481767346|  -8.248 -4.476   |9.73     |F0                   |    ~     ~    
449 |HD 295448                                                                                                                                   |Star                                  |06 47 13.6258709856 -03 46 12.705677220|215.8102797328576 -02.6536699033739|  -2.696 -5.821   |9.09     |K2                   |    ~     ~    
450 |HD 295420                                                                                                                                   |Star                                  |06 46 25.2444523848 -03 02 19.411320768|215.0665251755765 -02.5004005624760|  -0.593 -0.465   |10.90    |B8                   |    ~     ~    
451 |HD 295422                                                                                                                                   |Star                                  |06 46 01.3546677624 -02 57 55.783620324|214.9559942189993 -02.5556317441173|   2.627 -2.383   |10.67    |B9                   |    ~     ~    
452 |HD 295424                                                                                                                                   |Star                                  |06 45 13.2519688704 -03 13 45.369647040|215.1001149418392 -02.8538031332297|   -6.039 0.358   |10.50    |A7                   |    ~     ~    
453 |HD 295427                                                                                                                                   |Star                                  |06 45 46.8746361072 -03 19 30.704044800|215.2493066414617 -02.7728117203240|   1.299 -3.211   |10.34    |B9                   |    ~     ~    
454 |HD 295435                                                                                                                                   |Spectroscopic Binary                  |06 45 51.4377522672 -03 27 24.325772472|215.3752738580391 -02.8156912259398|   1.913 -1.881   |10.65    |A0                   |    ~     ~    
455 |HD 295436                                                                                                                                   |Star                                  |06 45 35.2050435168 -03 34 38.867911176|215.4522278090178 -02.9306711996777|   -6.355 0.449   |10.64    |A2                   |    ~     ~    
456 |HD 295444                                                                                                                                   |Star                                  |06 47 14.8900775856 -03 39 52.116617988|215.7183999076192 -02.6009440794151|  -1.580 -5.170   |10.49    |G0                   |    ~     ~    
457 |HD 295452                                                                                                                                   |Star                                  |06 46 41.9528667192 -03 59 42.107933148|215.9509225849345 -02.8731062906940| -10.076 -5.077   |10.32    |F5                   |    ~     ~    
458 |HD 295464                                                                                                                                   |Star                                  |06 46 43.5727669224 -04 13 36.438262392|216.1607395594271 -02.9723463721911|   5.764 14.075   |10.78    |G0                   |    ~     ~    
459 |HD 295465                                                                                                                                   |Double or Multiple Star               |06 47 09.073704 -04 13 45.36228        |216.211126821 -02.879059668        |       4.9 -2.7   |10.577   |A0                   |    ~     ~    
460 |HD 295469                                                                                                                                   |Star                                  |06 46 49.3101647160 -04 23 44.605457052|216.3223080429538 -03.0277948760965|   -1.878 0.761   |10.67    |A0                   |    ~     ~    
461 |HD 295474                                                                                                                                   |Star                                  |06 45 02.5109099016 -04 24 55.841175072|216.1383436807363 -03.4321585517536|  -0.650 -2.231   |10.44    |B9                   |    ~     ~    
462 |HD 295488                                                                                                                                   |Star                                  |06 45 17.5672524072 -05 05 09.718125180|216.7655741240979 -03.6803597249951|   0.788 -3.460   |10.74    |A5                   |    ~     ~    
463 |HD 295495                                                                                                                                   |Star                                  |06 47 08.7588801264 -04 57 32.522488632|216.8617422380262 -03.2114097924990|  -0.418 -5.893   |9.81     |K0                   |    ~     ~    
464 |HD 295527                                                                                                                                   |Star                                  |06 47 29.3509 -03 11 07.798            |215.3187623 -02.3296095            |   0.839 -4.295   |10.66    |A3                   |    ~     ~    
465 |HD 295565                                                                                                                                   |Star                                  |06 47 25.5466597776 -04 06 12.583553868|216.1300656147657 -02.7609505540554|  -0.659 -5.306   |9.93     |A0                   |    ~     ~    
466 |NGC 2286 1202                      HD 49411                                                                                                 |Star                                  |06 48 12.6038851968 -02 55 53.397658848|215.1743312656817 -02.0537956689025|  -3.592 -1.541   |9.76     |B9Ib/II              |    ~     ~    
467 |NGC 2286 1977                      HD 295626                                                                                                |Double or Multiple Star               |06 50 15.858 -03 04 16.17              |215.532301 -01.660709              |      -6.4 -7.2   |9.61     |A5                   |    ~     ~    
468 |HD 50025                                                                                                                                    |Star                                  |06 51 08.2158474264 -02 56 54.202043148|215.5222008348534 -01.4108458342875|   0.513 -5.459   |7.71     |A5IV                 |    ~     ~    
469 |HD 50111                                                                                                                                    |Star                                  |06 51 30.9776998752 -03 01 00.325859952|215.6262347830977 -01.3576680896100|    2.005 3.699   |8.71     |A1IV                 |    ~     ~    
470 |HD 50301                                                                                                                                    |Star                                  |06 52 28.8208297560 -03 03 49.010903172|215.7776269987115 -01.1647665906343|   1.003 -4.803   |8.24     |B9.5IV/V             |    ~     ~    
471 |HD 50406                                                                                                                                    |Star                                  |06 52 56.2970089008 -03 03 43.582762836|215.8283882746191 -01.0623179386593|   0.682 -0.391   |8.15     |K2/3III              |    ~     ~    
472 |HD 51150                                                                                                                                    |Star                                  |06 56 00.4428287472 -03 10 29.216539236|216.2780618534146 -00.4318472265785|   0.094 -3.232   |7.96     |B5Ib/II              |    ~     ~    
473 |NGC 2286 1226                      HD 49436                                                                                                 |Star                                  |06 48 14.6605104888 -03 15 32.680151712|215.4701405450311 -02.1952100945894|  -5.492 -4.980   |9.85     |A0V                  |    ~     ~    
474 |NGC 2286 1245                      HD 49452                                                                                                 |Star                                  |06 48 18.2961231120 -03 10 49.159373772|215.4068399111768 -02.1459150731411|   1.556 -5.238   |9.71     |A2                   |    ~     ~    
475 |NGC 2286 1256                      HD 49453                                                                                                 |Double or Multiple Star               |06 48 19.8744 -03 14 47.485            |215.4688257 -02.1701837            |      -5.4 -9.5   |9.55     |A8/9                 |    ~     ~    
476 |NGC 2286 1316                      HD 49480                                                                                                 |Star                                  |06 48 29.3034232848 -03 29 54.480879852|215.7112184998256 -02.2498499489555|-11.647 -37.552   |8.55     |F5V                  |    ~     ~    
477 |NGC 2286 1361                      HD 49526                                                                                                 |Star                                  |06 48 37.5889907232 -03 13 43.335093288|215.4864937747782 -02.0964514027546|  -3.590 -0.942   |9.76     |A1IV/V               |    ~     ~    
478 |NGC 2286 1492                      HD 49586                                                                                                 |Star                                  |06 49 00.4519954920 -03 31 49.844136972|215.7987403003795 -02.1490573028025|   -0.800 1.708   |8.67     |K0/1III              |    ~     ~    
479 |NGC 2286 1561                      HD 49645                                                                                                 |Star                                  |06 49 12.2960286720 -03 19 46.202629872|215.6420405210157 -02.0137431066813|   3.690 11.823   |8.85     |K1(IV)               |    ~     ~    
480 |NGC 2286 1803                      HD 49714                                                                                                 |Star                                  |06 49 45.5845065384 -03 36 55.763323740|215.9599020268844 -02.0205710479672|  -0.153 -1.251   |9.24     |B9III                |    ~     ~    
481 |NGC 2286 1890                      HD 49786                                                                                                 |Star                                  |06 49 57.9231927360 -03 51 46.391994792|216.2037127756165 -02.0874272792218|  -5.215 -2.529   |9.38     |B9/A0V               |    ~     ~    
482 |HD 295660                                                                                                                                   |Star                                  |06 50 28.0384132464 -03 52 32.296837296|216.2720636052955 -01.9817380856336|  -4.735 -2.966   |10.51    |A8V                  |    ~     ~    
483 |NGC 2286 2218                      HD 49975                                                                                                 |Star                                  |06 50 57.6762967368 -03 52 37.758961056|216.3295081430499 -01.8727127029923| -13.141 10.009   |8.87     |G5/6III/IV           |    ~     ~    
