C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:56:16

dec >=0&rah >=23.5&rah< 23.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 4977

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type       |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |BD+45 4247                                                                                                                                  |Spectroscopic Binary               |23 31 11.0490533616 +46 02 42.588706020|108.6877189515431 -14.5951714307293|-31.354 -10.616   |9.53     |F8                     |    ~     ~    |    1|  209.499   pc  |  -2.6202     +2.6202  |paral   |2020yCat.1350....0G
23  |BD+45 4248                                                                                                                                  |Star                               |23 31 12.2683625688 +46 13 46.915379544|108.7512775382525 -14.4211614704583|-11.389 -15.341   |9.80     |F0                     |    ~     ~    |    1|  374.658   pc  |  -2.6249     +2.6249  |paral   |2020yCat.1350....0G
24  |BD+45 4249                                                                                                                                  |Star                               |23 31 31.0887950880 +45 49 40.518436944|108.6739421821563 -14.8196452228423|   0.605 -1.467   |10.24    |K0III                  |    ~     ~    |    1| 1071.926   pc  | -17.8099    +17.8099  |paral   |2020yCat.1350....0G
25  |HD 221459                                                                                                                                   |Star                               |23 32 00.2152283856 +45 53 20.043788568|108.7767339563314 -14.7882500049440|  1.385 -20.666   |7.21     |K2                     |    ~     ~    |    1|  365.724   pc  |  -2.5012     +2.5012  |paral   |2020yCat.1350....0G
26  |BD+45 4253                                                                                                                                  |Star                               |23 32 04.0080941712 +46 08 10.811497776|108.8674165926820 -14.5566273903198|   4.483 -2.102   |10.75    |K5III                  |    ~     ~    |    1|  574.515   pc  |  -4.6209     +4.6209  |paral   |2020yCat.1350....0G
27  |BD+45 4258                                                                                                                                  |Star                               |23 32 50.8634328312 +46 09 08.331080004|109.0053888436522 -14.5834617583202|  -8.229 -1.403   |9.72     |K5III                  |    ~     ~    |    1|  908.183   pc  | -11.7121    +11.7121  |paral   |2020yCat.1350....0G
28  |V* V390 And                                                                                                                                 |Long-Period Variable               |23 32 56.4813226656 +46 07 25.251816756|109.0121850158819 -14.6157059353032|  48.201 -1.136   |6.62     |M0                     |    ~     ~    |    1|  346.141   pc  |  -4.0617     +4.0617  |paral   |2020yCat.1350....0G
29  |BD+45 4260                                                                                                                                  |Star                               |23 32 59.0652177792 +46 05 17.267579160|109.0081748782326 -14.6518244971266|   0.241 -2.709   |9.29     |A0                     |    ~     ~    |    1|  640.861   pc  | -23.6565    +23.6565  |paral   |2020yCat.1350....0G
30  |BD+45 4269                                                                                                                                  |Spectroscopic Binary               |23 34 44.8760147304 +46 05 19.261697748|109.3093501889172 -14.7447138047629|-21.338 -43.063   |9.41     |F8                     |    ~     ~    |    1|  152.119   pc  |  -1.1084     +1.1084  |paral   |2020yCat.1350....0G
31  |BD+45 4270                                                                                                                                  |Star                               |23 34 52.4964932400 +46 07 13.996956288|109.3410024664983 -14.7209789009982|   0.992 -4.737   |10.61    |A2                     |    ~     ~    |    1|  497.166   pc  |  -5.4873     +5.4873  |paral   |2020yCat.1350....0G
32  |BD+45 4271                                                                                                                                  |Star                               |23 34 57.0450141288 +46 03 31.813315776|109.3347114719723 -14.7837867357970|   -1.979 2.483   |10.26    |K0III                  |    ~     ~    |    1|  592.417   pc  |  -4.8432     +4.8432  |paral   |2020yCat.1350....0G
33  |BD+45 4272                                                                                                                                  |Star                               |23 34 56.3381175000 +46 07 02.043222924|109.3509048237753 -14.7274911622528| -15.712 -9.463   |9.75     |A5                     |    ~     ~    |    1|  368.786   pc  |  -2.2849     +2.2849  |paral   |2020yCat.1350....0G
34  |TYC 3637-408-1                                                                                                                              |Star                               |23 30 39.0916032600 +45 14 43.484608428|108.3338844619863 -15.3241520202318|   15.191 3.144   |10.62    |G0                     |    ~     ~    |    1|  511.221   pc  |  -3.3191     +3.3191  |paral   |2020yCat.1350....0G
35  |BD+44 4432                                                                                                                                  |Star                               |23 30 52.5564098184 +45 00 45.357032988|108.2959221804709 -15.5574537852261|   6.009 -5.175   |8.85     |M0                     |    ~     ~    |    1|  826.378   pc  | -13.1117    +13.1117  |paral   |2020yCat.1350....0G
36  |BD+44 4434                                                                                                                                  |Star                               |23 31 33.7781174280 +45 17 42.337844808|108.5079122170307 -15.3278437769482| -9.584 -13.156   |9.06     |K0                     |    ~     ~    |    1|  486.973   pc  |  -9.0352     +9.0352  |paral   |2020yCat.1350....0G
37  |BD+44 4435                                                                                                                                  |Star                               |23 32 54.6874087968 +45 34 32.504775708|108.8316789193308 -15.1352058081351|  -14.885 5.135   |9.30     |K0                     |    ~     ~    |    1|  261.049   pc  |  -3.5913     +3.5913  |paral   |2020yCat.1350....0G
38  |BD+44 4439                                                                                                                                  |Star                               |23 33 30.7324706976 +45 44 41.338002552|108.9891190386421 -15.0067209014236|   5.552 -1.913   |10.62    |F2                     |    ~     ~    |    1|  297.867   pc  |  -1.0381     +1.0381  |paral   |2020yCat.1350....0G
39  |BD+44 4440                                                                                                                                  |Star                               |23 33 36.3219398016 +45 13 38.462634624|108.8403024499982 -15.5041382954334|   2.194 -6.895   |8.50     |K0                     |    ~     ~    |    1|  433.633   pc  |  -3.8360     +3.8360  |paral   |2020yCat.1350....0G
40  |HD 221661                                                                                                                                   |Star                               |23 33 42.9856982760 +45 03 29.143964844|108.8056014632583 -15.6712120904732|    2.303 9.951   |6.246    |G8II                   |    ~     ~    |    1|  162.261   pc  |  -1.0137     +1.0137  |paral   |2020yCat.1350....0G
41  |BD+44 4443                                                                                                                                  |Star                               |23 33 57.9540590808 +45 32 31.587721116|109.0029265323420 -15.2239786808861|   0.830 -0.569   |10.39    |K0III                  |    ~     ~    |    1|  727.008   pc  |  -6.0782     +6.0782  |paral   |2020yCat.1350....0G
42  |BD+44 4445                                                                                                                                  |Red Giant Branch star Candidate    |23 34 21.6638954544 +45 45 43.142107356|109.1405241333629 -15.0356411483162|   2.445 15.420   |9.71     |K0                     |    ~     ~    |    1|  578.001   pc  |  -7.9178     +7.9178  |paral   |2020yCat.1350....0G
43  |HD 221992                                                                                                                                   |High Proper Motion Star            |23 36 31.5425170824 +45 30 53.980848684|109.4376892688212 -15.3848377533192| 23.002 -97.171   |8.43     |G5                     |    ~     ~    |    1|   99.836   pc  |  -0.1585     +0.1585  |paral   |2020yCat.1350....0G
44  |BD+46 4083                                                                                                                                  |Double or Multiple Star            |23 35 09.413160 +47 31 58.00908        |109.825613441 -13.388417171        |       0.3 -1.1   |10.541   |~                      |    ~     ~    |    0|                |                       |        |                   
45  |TYC 3243-428-1                                                                                                                              |Star                               |23 30 00.1144499472 +44 52 58.381455000|108.1007253005011 -15.6308984608873|     20.0 -19.3   |10.81    |~                      |    ~     ~    |    0|                |                       |        |                   
46  |TYC 3243-600-1                                                                                                                              |Star                               |23 33 18.3063062832 +44 51 05.002361604|108.6674360799388 -15.8453990660455|    0.657 0.173   |10.15    |~                      |    ~     ~    |    1| 1350.074   pc  | -29.8923    +29.8923  |paral   |2020yCat.1350....0G
47  |TYC 3243-646-1                                                                                                                              |Star                               |23 33 24.0198771672 +44 56 42.881087544|108.7142521906441 -15.7613515274229|-18.104 -22.196   |10.78    |~                      |    ~     ~    |    1|  291.562   pc  |  -1.1391     +1.1391  |paral   |2020yCat.1350....0G
48  |TYC 3243-964-1                                                                                                                              |Star                               |23 34 07.1036092968 +44 53 41.105963688|108.8238196169364 -15.8484892772170|   -0.669 3.696   |10.74    |~                      |    ~     ~    |    1| 1055.743   pc  | -14.7126    +14.7126  |paral   |2020yCat.1350....0G
49  |TYC 3243-1122-1                                                                                                                             |High Proper Motion Star            |23 35 26.0489927904 +44 59 22.404299388|109.0843353780200 -15.8288754619545|   69.871 6.100   |10.24    |~                      |    ~     ~    |    1|  190.454   pc  |  -0.6021     +0.6021  |paral   |2020yCat.1350....0G
50  |TYC 3637-257-1                                                                                                                              |Star                               |23 33 12.0640092072 +45 46 53.640493824|108.9473843741291 -14.9550497720818|-25.827 -38.333   |10.18    |~                      |    ~     ~    |    1|  255.807   pc  |  -0.8572     +0.8572  |paral   |2020yCat.1350....0G
51  |TYC 3637-387-1                                                                                                                              |Star                               |23 35 08.0288095800 +45 20 18.653216424|109.1411784875695 -15.4801944028630| -4.868 -12.557   |10.54    |~                      |    ~     ~    |    1|  898.392   pc  | -10.1696    +10.1696  |paral   |2020yCat.1350....0G
52  |TYC 3637-427-1                                                                                                                              |Star                               |23 35 59.0871112632 +45 08 00.514205844|109.2255938329094 -15.7207635356157|-23.679 -36.286   |10.78    |~                      |    ~     ~    |    1|  280.411   pc  |  -0.9986     +0.9986  |paral   |2020yCat.1350....0G
53  |TYC 3637-472-1                                                                                                                              |Star                               |23 34 19.3102607304 +45 22 54.802305516|109.0138246697345 -15.3956021327548|   1.366 -7.233   |9.60     |~                      |    ~     ~    |    1|  543.863   pc  | -45.0483    +45.0483  |paral   |2020yCat.1350....0G
54  |TYC 3637-542-1                                                                                                                              |Star                               |23 34 59.9044496520 +45 34 30.186214860|109.1917611054403 -15.2475260568133|  -3.951 -6.338   |10.42    |~                      |    ~     ~    |    1| 1819.505   pc  | -41.3825    +41.3825  |paral   |2020yCat.1350....0G
