C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:56:16

dec >=0&rah >=23.5&rah< 23.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 4977

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type       |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------------|---------------|-----|----------------|-----------------------|--------|-------------------
744 |TYC 4000-1300-1                                                                                                                             |Star                               |23 43 17.9201016672 +53 04 19.909270920|112.6824489719818 -08.4381858240712|  -20.730 0.615   |10.16    |~                      |    ~     ~    |    1|  369.645   pc  |  -1.7353     +1.7353  |paral   |2020yCat.1350....0G
745 |TYC 4000-1327-1                                                                                                                             |Star                               |23 35 45.9679799520 +52 44 06.983522808|111.4847991685490 -08.4464423476047|   8.522 -1.984   |10.99    |~                      |    ~     ~    |    1|  437.522   pc  |  -3.5988     +3.5988  |paral   |2020yCat.1350....0G
746 |TYC 4000-1373-1                                                                                                                             |Star                               |23 42 42.0455209944 +53 16 30.313198776|112.6493884358458 -08.2188194963084|   -0.797 2.875   |10.25    |~                      |    ~     ~    |    1| 1065.530   pc  | -13.7378    +13.7378  |paral   |2020yCat.1350....0G
747 |TYC 4000-1404-1                                                                                                                             |Star                               |23 36 09.4271748312 +53 12 20.773374516|111.6799624976766 -08.0134012892492|   3.381 -0.379   |10.92    |~                      |    ~     ~    |    1| 1100.958   pc  | -16.3635    +16.3635  |paral   |2020yCat.1350....0G
748 |TYC 4000-1424-1                                                                                                                             |Star                               |23 34 58.5002513256 +52 47 17.029342032|111.3847742736497 -08.3608860899204|   8.881 -1.824   |10.93    |~                      |    ~     ~    |    1|  459.221   pc  | -21.6156    +21.6156  |paral   |2020yCat.1350....0G
749 |TYC 4000-1468-1                                                                                                                             |Star                               |23 41 40.1959463568 +53 02 31.392261168|112.4358883036560 -08.4019896023070|   19.356 3.777   |10.62    |~                      |    ~     ~    |    1|  164.357   pc  |  -5.2784     +5.2784  |paral   |2020yCat.1350....0G
750 |TYC 4000-1486-1                                                                                                                             |Star                               |23 36 24.8164098432 +52 46 34.165108776|111.5915729748276 -08.4357809969628|   9.095 -3.044   |10.07    |~                      |    ~     ~    |    1|  435.066   pc  |  -3.3692     +3.3692  |paral   |2020yCat.1350....0G
751 |TYC 4000-1553-1                                                                                                                             |Star                               |23 38 54.1485008880 +52 43 37.270248996|111.9424701263304 -08.5901134793885|   -7.081 0.475   |10.90    |~                      |    ~     ~    |    1|  745.935   pc  |  -6.2319     +6.2319  |paral   |2020yCat.1350....0G
752 |GSC 04000-01646                                                                                                                             |Double or Multiple Star            |23 36 58.3973122296 +52 51 43.680779136|111.6984728569949 -08.3778260110272|  12.266 -4.570   |10.568   |~                      |    ~     ~    |    1|  432.601   pc  |  -2.3393     +2.3393  |paral   |2020yCat.1350....0G
753 |TYC 4000-1692-1                                                                                                                             |Star                               |23 41 56.1616876440 +52 51 02.844638424|112.4228562078157 -08.5969826169794|  -1.104 -3.525   |10.53    |~                      |    ~     ~    |    1|  756.945   pc  |  -9.2820     +9.2820  |paral   |2020yCat.1350....0G
754 |TYC 4000-1711-1                                                                                                                             |Star                               |23 36 08.7990540336 +53 16 44.174748036|111.6998699574915 -07.9429229410911|  -5.729 -5.258   |10.89    |~                      |    ~     ~    |    1|  485.037   pc  |  -4.6346     +4.6346  |paral   |2020yCat.1350....0G
755 |TYC 4000-1758-1                                                                                                                             |Star                               |23 33 29.3835901008 +53 01 24.943428624|111.2394568158255 -08.0694354260807|   7.555 -1.996   |10.06    |~                      |    ~     ~    |    1|  470.566   pc  |  -4.5172     +4.5172  |paral   |2020yCat.1350....0G
756 |TYC 4000-1780-1                                                                                                                             |Star                               |23 40 22.2676484184 +52 42 01.662992820|112.1511622769290 -08.6773362717763|   8.466 -1.989   |10.83    |~                      |    ~     ~    |    1|  443.203   pc  |  -2.9072     +2.9072  |paral   |2020yCat.1350....0G
757 |TYC 4000-1785-1                                                                                                                             |Star                               |23 36 14.3313016344 +52 41 56.483371212|111.5433883445785 -08.5019467707991|   8.422 -2.079   |10.29    |~                      |    ~     ~    |    1|  434.273   pc  |  -2.9232     +2.9232  |paral   |2020yCat.1350....0G
758 |TYC 4000-1795-1                                                                                                                             |Star                               |23 37 15.7004923872 +52 41 47.259688488|111.6926912388004 -08.5490467182576|   8.522 -1.991   |10.47    |~                      |    ~     ~    |    1|  422.905   pc  |  -3.2908     +3.2908  |paral   |2020yCat.1350....0G
759 |TYC 4000-1847-1                                                                                                                             |Star                               |23 42 55.9160069760 +52 39 47.912118156|112.5191151392439 -08.8178897729108|  -6.511 -0.278   |10.03    |~                      |    ~     ~    |    1|  561.482   pc  |  -3.8777     +3.8777  |paral   |2020yCat.1350....0G
760 |TYC 4000-1942-1                                                                                                                             |Star                               |23 34 18.3643853592 +52 34 53.183996724|111.2250685804684 -08.5282618508820|-22.614 -16.881   |10.91    |~                      |    ~     ~    |    1|  205.444   pc  |  -0.5360     +0.5360  |paral   |2020yCat.1350....0G
761 |TYC 4000-1968-1                                                                                                                             |Star                               |23 34 45.9374621496 +52 32 20.008334364|111.2797738117833 -08.5895981267508|  34.950 -4.086   |10.15    |~                      |    ~     ~    |    1|  171.748   pc  |  -0.3687     +0.3687  |paral   |2020yCat.1350....0G
762 |TYC 4000-1978-1                                                                                                                             |Spectroscopic Binary               |23 42 05.5969517160 +53 07 12.102923100|112.5189715756675 -08.3439771591646|   -1.883 5.770   |10.36    |~                      |    ~     ~    |    1|  166.503   pc  |  -0.3549     +0.3549  |paral   |2020yCat.1350....0G
763 |TYC 4000-1982-1                                                                                                                             |Star                               |23 36 32.6776809984 +52 34 49.459123560|111.5535664835260 -08.6289141239106|  -9.993 -7.348   |10.22    |~                      |    ~     ~    |    1|  948.317   pc  | -16.9969    +16.9969  |paral   |2020yCat.1350....0G
764 |TYC 4000-1990-1                                                                                                                             |Star                               |23 40 11.2516742016 +52 42 49.418609472|112.1278066563422 -08.6569331829923|  -4.910 -3.606   |10.71    |~                      |    ~     ~    |    1| 1469.076   pc  | -25.6824    +25.6824  |paral   |2020yCat.1350....0G
765 |TYC 4000-2011-1                                                                                                                             |Star                               |23 38 12.1525493928 +52 31 41.387158668|111.7827471038986 -08.7510279936044|  17.835 -1.327   |10.73    |~                      |    ~     ~    |    1|  556.638   pc  | -15.3064    +15.3064  |paral   |2020yCat.1350....0G
766 |TYC 4000-2044-1                                                                                                                             |Spectroscopic Binary               |23 34 49.0191022464 +52 38 15.930952440|111.3168436293972 -08.4974473125423|   7.746 -1.126   |10.37    |~                      |    ~     ~    |    1|  437.006   pc  |  -2.7118     +2.7118  |paral   |2020yCat.1350....0G
767 |TYC 4000-2048-1                                                                                                                             |Star                               |23 39 45.9220874784 +53 11 20.736649392|112.1986579799355 -08.1824820748870| -25.784 -5.158   |10.51    |~                      |    ~     ~    |    1|  709.572   pc  |  -5.7902     +5.7902  |paral   |2020yCat.1350....0G
768 |TYC 4000-2069-1                                                                                                                             |Star                               |23 34 49.3224044040 +52 31 43.590184968|111.2850406802599 -08.6017973478817|   8.400 -2.162   |10.14    |~                      |    ~     ~    |    1|  437.694   pc  |  -3.0461     +3.0461  |paral   |2020yCat.1350....0G
769 |TYC 4000-2093-1                                                                                                                             |Star                               |23 41 46.7335101984 +52 31 11.981664588|112.3095498235428 -08.9091549951714|  19.629 -5.171   |10.36    |~                      |    ~     ~    |    1|  620.964   pc  |  -4.7814     +4.7814  |paral   |2020yCat.1350....0G
770 |TYC 4000-2098-1                                                                                                                             |Star                               |23 34 05.9344914192 +52 32 00.274219476|111.1802164649699 -08.5647460359563|  -5.371 -4.183   |10.98    |~                      |    ~     ~    |    1|  681.989   pc  |  -8.0929     +8.0929  |paral   |2020yCat.1350....0G
771 |TYC 4000-2102-1                                                                                                                             |Star                               |23 37 56.7787596840 +52 45 05.481961560|111.8090360556225 -08.5258058587391|   -1.343 3.292   |10.12    |~                      |    ~     ~    |    1|  819.471   pc  |  -7.8569     +7.8569  |paral   |2020yCat.1350....0G
772 |TYC 4000-2104-1                                                                                                                             |Star                               |23 42 07.8828664728 +52 30 59.828626908|112.3609099269548 -08.9268289022425|   0.499 -1.361   |10.18    |~                      |    ~     ~    |    1|  555.124   pc  |  -5.2696     +5.2696  |paral   |2020yCat.1350....0G
773 |TYC 4000-2106-1                                                                                                                             |Spectroscopic Binary               |23 33 20.1421496328 +52 56 35.877960780|111.1927745290620 -08.1390697411930|   9.583 17.241   |10.05    |~                      |    ~     ~    |    1|  671.231   pc  | -15.2286    +15.2286  |paral   |2020yCat.1350....0G
774 |TYC 4000-2115-1                                                                                                                             |Star                               |23 40 13.3765238904 +52 49 39.264925152|112.1647113471442 -08.5489601867507|  -4.722 -4.432   |10.90    |~                      |    ~     ~    |    1|  724.848   pc  |  -6.1998     +6.1998  |paral   |2020yCat.1350....0G
775 |TYC 4000-2154-1                                                                                                                             |Star                               |23 37 30.6744422400 +52 53 31.904485008|111.7857792757698 -08.3722486301621|   0.669 -1.155   |10.75    |~                      |    ~     ~    |    1| 1892.864   pc  |-160.1571   +160.1571  |paral   |2020yCat.1350....0G
776 |TYC 4000-2198-1                                                                                                                             |Star                               |23 35 42.0470415840 +52 50 59.193757752|111.5090198496650 -08.3340397316058|  -8.284 -4.570   |10.41    |~                      |    ~     ~    |    1|  628.694   pc  |  -5.7312     +5.7312  |paral   |2020yCat.1350....0G
777 |TYC 4000-2219-1                                                                                                                             |Star                               |23 41 10.6839329424 +52 54 05.745373200|112.3253870123419 -08.5171661393637|   -0.674 0.540   |10.85    |~                      |    ~     ~    |    0|                |                       |        |                   
778 |HD 221513                                                                                                                                   |Star                               |23 32 24.7950280848 +53 17 50.610235344|111.1675501169234 -07.7597134467892| -11.132 -8.616   |8.01     |A0                     |    ~     ~    |    1|  381.098   pc  |  -3.6018     +3.6018  |paral   |2020yCat.1350....0G
779 |HD 222063                                                                                                                                   |Star                               |23 37 06.3998607072 +53 27 10.001710116|111.8888774410261 -07.8177129472943|   4.217 -3.941   |7.79     |B9                     |    ~     ~    |    1|  440.412   pc  |  -6.3232     +6.3232  |paral   |2020yCat.1350....0G
780 |IRAS 23335+5307                                                                                                                             |Long-Period Variable               |23 35 55.9143269616 +53 24 28.606828896|111.7067118185593 -07.8101649873266|   10.992 0.795   |10.82    |~                      |    ~     ~    |    1| 1606.168   pc  | -63.2045    +63.2045  |paral   |2020yCat.1350....0G
781 |IRAS 23352+5302                                                                                                                             |Star                               |23 37 36.2331945720 +53 19 14.160548316|111.9225255489956 -07.9655524327476|   5.542 -3.857   |9.57     |~                      |    ~     ~    |    1|  775.314   pc  |  -9.0768     +9.0768  |paral   |2020yCat.1350....0G
782 |IRAS 23361+5312                                                                                                                             |Star                               |23 38 34.1622095304 +53 29 35.339966088|112.1111141589143 -07.8407171096130|    6.466 1.458   |10.09    |~                      |    ~     ~    |    1| 1050.862   pc  | -16.7855    +16.7855  |paral   |2020yCat.1350....0G
783 |HD 240321                                                                                                                                   |Star                               |23 31 39.6880903464 +55 48 55.809814356|111.8341560214268 -05.3277955462794|   6.644 -3.474   |9.62     |A0                     |    ~     ~    |    1|  665.602   pc  |  -7.0884     +7.0884  |paral   |2020yCat.1350....0G
784 |BD+55 2975                                                                                                                                  |Star                               |23 32 57.3585294960 +55 57 07.444938888|112.0493933627311 -05.2525371671669|   3.566 -3.557   |10.02    |A2                     |    ~     ~    |    1|  454.133   pc  |  -4.5166     +4.5166  |paral   |2020yCat.1350....0G
785 |HD 240330                                                                                                                                   |Star                               |23 33 46.3638437112 +55 55 43.759419708|112.1520261405803 -05.3088717560236|  -9.644 -1.980   |8.40     |K0                     |    ~     ~    |    1|  561.577   pc  |  -5.0459     +5.0459  |paral   |2020yCat.1350....0G
786 |LS III +55 114                                                                                                                              |Star                               |23 35 04.2093379008 +55 47 20.862190356|112.2853877261281 -05.4960206292322|  -5.448 -1.979   |10.29    |OB-                    |    ~     ~    |    1| 2106.150   pc  |-133.5196   +133.5196  |paral   |2020yCat.1350....0G
787 |HD 222077                                                                                                                                   |Star                               |23 37 12.2590952952 +55 52 35.690563776|112.5989594894828 -05.4987368227290| 12.503 -17.413   |7.10     |K5                     |    ~     ~    |    1|  415.679   pc  |  -3.0757     +3.0757  |paral   |2020yCat.1350....0G
788 |HD 222185                                                                                                                                   |Be Star                            |23 38 03.4196194200 +55 56 42.019114128|112.7335319363524 -05.4669191391464|   3.097 -3.454   |8.82     |Be:                    |    ~     ~    |    1|  585.480   pc  |  -6.1016     +6.1016  |paral   |2020yCat.1350....0G
789 |HD 236145                                                                                                                                   |Star                               |23 30 29.6350662864 +55 25 52.598515044|111.5580467512180 -05.6428362864462|   1.632 -6.831   |9.70     |G0                     |    ~     ~    |    1|  292.680   pc  |  -1.1821     +1.1821  |paral   |2020yCat.1350....0G
790 |HD 221326                                                                                                                                   |Star                               |23 30 44.6516398752 +55 17 44.173817772|111.5499178231992 -05.7828596926508|    2.529 2.427   |9.06     |A0                     |    ~     ~    |    0|                |                       |        |                   
791 |HD 236149                                                                                                                                   |Star                               |23 31 05.3439102648 +55 44 11.601856032|111.7329358519324 -05.3783316606778|   5.524 -1.591   |9.61     |A0                     |    ~     ~    |    1|  644.538   pc  |  -6.6884     +6.6884  |paral   |2020yCat.1350....0G
792 |HD 236150                                                                                                                                   |Star                               |23 31 07.6907777952 +55 44 51.990723528|111.7416566673929 -05.3693436983719|   5.121 -1.360   |9.07     |B8V                    |    ~     ~    |    1|  632.071   pc  | -28.4854    +28.4854  |paral   |2020yCat.1350....0G
793 |HD 240318                                                                                                                                   |Star                               |23 31 15.6183230760 +55 47 55.844335284|111.7751457758327 -05.3264298639404|  -1.519 -6.216   |9.78     |A2                     |    ~     ~    |    1|  757.117   pc  | -10.0315    +10.0315  |paral   |2020yCat.1350....0G
794 |HD 236153                                                                                                                                   |Star                               |23 31 17.9119389888 +55 34 37.775298864|111.7120774282642 -05.5391072651497|  33.425 15.036   |9.71     |F0                     |    ~     ~    |    1|  231.107   pc  |  -0.6783     +0.6783  |paral   |2020yCat.1350....0G
795 |HD 236155                                                                                                                                   |Star                               |23 31 40.1872931784 +55 35 05.485295004|111.7646273833506 -05.5478137291542|   21.386 2.539   |9.61     |F2                     |    ~     ~    |    1|  188.150   pc  |  -0.4354     +0.4354  |paral   |2020yCat.1350....0G
796 |HD 236162                                                                                                                                   |Pulsating Variable                 |23 31 59.2889703264 +54 55 14.938710708|111.6047518793943 -06.1941226672311|  -2.861 -5.625   |8.97     |B8                     |    ~     ~    |    1| 1019.888   pc  | -16.4347    +16.4347  |paral   |2020yCat.1350....0G
797 |HD 221557                                                                                                                                   |Star                               |23 32 37.5049107984 +55 46 08.632684452|111.9496467954678 -05.4131052026831|  -0.116 -1.175   |8.32     |B9                     |    ~     ~    |    1|  817.996   pc  | -14.5868    +14.5868  |paral   |2020yCat.1350....0G
798 |HD 221711                                                                                                                                   |Star                               |23 34 09.2774366232 +55 29 19.568660892|112.0725341198386 -05.7450821563674|   0.930 -6.792   |7.53     |B2V                    |    ~     ~    |    1|  449.135   pc  |  -7.5444     +7.5444  |paral   |2020yCat.1350....0G
799 |BD+54 3009                                                                                                                                  |Pulsating Variable                 |23 35 22.0044414504 +55 47 20.883094620|112.3254464067033 -05.5081839037247|  -3.986 -3.482   |10.44    |OB-                    |    ~     ~    |    1| 1955.417   pc  |-103.6210   +103.6210  |paral   |2020yCat.1350....0G
800 |HD 236182                                                                                                                                   |Star                               |23 37 09.1912311120 +55 08 56.890613652|112.3836988637052 -06.1939864227939|  -9.984 -1.659   |9.94     |G5                     |    ~     ~    |    1|  405.236   pc  |  -2.0527     +2.0527  |paral   |2020yCat.1350....0G
801 |HD 236183                                                                                                                                   |Star                               |23 37 34.5283986576 +54 57 00.779304816|112.3851188925973 -06.4018919316865|  -4.509 -7.239   |9.46     |A2                     |    ~     ~    |    1|  685.213   pc  |  -6.8549     +6.8549  |paral   |2020yCat.1350....0G
802 |HD 236187                                                                                                                                   |Star                               |23 37 57.3522085488 +55 44 54.099658788|112.6642069352946 -05.6516068946423|  35.990 25.624   |9.27     |F5                     |    ~     ~    |    1|  127.327   pc  |  -0.2156     +0.2156  |paral   |2020yCat.1350....0G
803 |HD 222186                                                                                                                                   |Double or Multiple Star            |23 38 09.6316243163 +55 13 54.648928173|112.5459395418519 -06.1553805498390|   9.832 -3.065   |8.61     |A0                     |0.0033  0.0    |    0|                |                       |        |                   
804 |HD 236189                                                                                                                                   |Star                               |23 38 10.6940840232 +55 04 51.290130144|112.5056619396298 -06.3009277133792|   15.362 4.348   |9.31     |K5                     |    ~     ~    |    1|  520.616   pc  |  -3.1983     +3.1983  |paral   |2020yCat.1350....0G
805 |HD 236190                                                                                                                                   |Star                               |23 38 31.5130444944 +54 48 29.636877852|112.4767294639175 -06.5766286651307|  -0.121 -0.308   |8.40     |K5                     |    ~     ~    |    1|  858.885   pc  | -12.9095    +12.9095  |paral   |2020yCat.1350....0G
806 |HD 236191                                                                                                                                   |Star                               |23 38 40.3151188320 +55 40 22.026639216|112.7401797324277 -05.7524417471875|-11.515 -11.376   |8.96     |K0                     |    ~     ~    |    1|  412.694   pc  |  -2.5888     +2.5888  |paral   |2020yCat.1350....0G
807 |HD 236193                                                                                                                                   |Star                               |23 39 20.1629083896 +55 16 47.393911056|112.7211729201322 -06.1560620629351|  10.442 -6.337   |9.58     |F8                     |    ~     ~    |    1|  613.648   pc  |  -4.1422     +4.1422  |paral   |2020yCat.1350....0G
808 |HD 236198                                                                                                                                   |Star                               |23 40 35.3889991584 +55 12 39.885651612|112.8749983500666 -06.2712522637527|  -27.408 9.256   |8.52     |K0                     |    ~     ~    |    1|  566.958   pc  |  -6.2681     +6.2681  |paral   |2020yCat.1350....0G
809 |BD+54 3024B                                                                                                                                 |Star                               |23 40 33.8413860720 +55 12 34.589701908|112.8710337861045 -06.2716653373220|  -1.476 -1.461   |10.9     |~                      |    ~     ~    |    1| 1397.819   pc  | -41.0319    +41.0319  |paral   |2020yCat.1350....0G
810 |HD 222472                                                                                                                                   |Star                               |23 40 43.2730540080 +55 08 56.686229628|112.8761805976964 -06.3360167668137|   4.007 -4.953   |7.63     |B9                     |    ~     ~    |    1|  399.473   pc  |  -3.9256     +3.9256  |paral   |2020yCat.1350....0G
811 |HD 236199                                                                                                                                   |Star                               |23 41 15.1754308728 +54 59 17.751492996|112.9060529030418 -06.5114405502702|-17.488 -18.941   |9.73     |K2                     |    ~     ~    |    1|  856.091   pc  |  -8.9413     +8.9413  |paral   |2020yCat.1350....0G
812 |HD 236161                                                                                                                                   |Star                               |23 31 56.7088289712 +54 39 52.684681824|111.5203769036366 -06.4362682414027|   1.172 -6.463   |9.03     |F5                     |    ~     ~    |    1|  199.104   pc  |  -0.4638     +0.4638  |paral   |2020yCat.1350....0G
813 |HD 221659                                                                                                                                   |Star                               |23 33 41.5689253560 +54 30 40.814232012|111.7168742247335 -06.6587245338688|   13.438 2.035   |8.07     |A0                     |    ~     ~    |    1|  303.831   pc  |  -4.9111     +4.9111  |paral   |2020yCat.1350....0G
814 |BD+53 3191                                                                                                                                  |Star                               |23 33 59.3169568416 +54 27 22.746894048|111.7416806907015 -06.7240362244970|   6.505 -0.650   |9.26     |A0                     |    ~     ~    |    1|  575.971   pc  |  -4.9430     +4.9430  |paral   |2020yCat.1350....0G
815 |HD 221968                                                                                                                                   |Double or Multiple Star            |23 36 17.5798884552 +54 28 09.299053128|112.0679011336035 -06.8097421360067|  35.757 -6.062   |8.52     |F1III                  |    ~     ~    |    1|  197.589   pc  |  -3.2053     +3.2053  |paral   |2020yCat.1350....0G
816 |HD 236179                                                                                                                                   |Star                               |23 36 27.6003766080 +54 40 46.482324816|112.1522869742853 -06.6153194340524|  -2.918 -2.775   |10.29    |B5                     |    ~     ~    |    1| 2985.966   pc  |-246.0814   +246.0814  |paral   |2020yCat.1350....0G
817 |BD+53 3205                                                                                                                                  |Star                               |23 37 16.5670498656 +54 34 56.783810604|112.2381966517822 -06.7422158067573|   0.068 -0.923   |9.40     |B8                     |    ~     ~    |    1|  934.492   pc  | -13.4484    +13.4484  |paral   |2020yCat.1350....0G
818 |HD 222123                                                                                                                                   |Star                               |23 37 40.0853189016 +54 20 15.981922968|112.2231364888427 -06.9929804436009|   0.959 -0.817   |9.15     |A0                     |    ~     ~    |    1|  896.459   pc  | -17.5997    +17.5997  |paral   |2020yCat.1350....0G
819 |HD 222265                                                                                                                                   |Star                               |23 38 52.1236016976 +54 26 33.481368996|112.4218211940567 -06.9415408859160|  -4.373 16.375   |7.52     |K0                     |    ~     ~    |    1|  198.531   pc  |  -0.6543     +0.6543  |paral   |2020yCat.1350....0G
820 |HD 222292                                                                                                                                   |Star                               |23 39 03.5569006008 +54 39 51.460338528|112.5107758185153 -06.7363675566552|  -0.346 -0.368   |8.49     |B9                     |    ~     ~    |    1|  452.6321  pc  | -39.9918    +39.9918  |paral   |2018yCat.1345....0G
821 |HD 236194                                                                                                                                   |Star                               |23 39 59.3388673752 +54 46 36.346390788|112.6719883054676 -06.6654169601593|  -5.669 -3.510   |9.80     |A0                     |    ~     ~    |    1|  477.487   pc  |  -3.1235     +3.1235  |paral   |2020yCat.1350....0G
822 |HD 236200                                                                                                                                   |Star                               |23 41 23.0312348976 +54 21 42.413787828|112.7540661764293 -07.1197696884770|  21.883 -3.806   |9.21     |A5                     |    ~     ~    |    1|  186.752   pc  |  -2.7727     +2.7727  |paral   |2020yCat.1350....0G
823 |HD 222619                                                                                                                                   |Star                               |23 41 52.9820559912 +54 41 49.225514964|112.9151434817951 -06.8163619954747|  -1.869 -4.575   |8.35     |K0                     |    ~     ~    |    1|  401.832   pc  |  -3.0679     +3.0679  |paral   |2020yCat.1350....0G
824 |HD 222672                                                                                                                                   |Double or Multiple Star            |23 42 27.29331 +54 36 03.0266          |112.96959190 -06.93111311          |     6.26 -2.25   |8.70     |B9                     |    ~     ~    |    0|                |                       |        |                   
825 |V* V403 Cas                                                                                                                                 |Classical Cepheid Variable         |23 37 37.9518015000 +54 50 49.895702664|112.3636327727036 -06.5030118508458|  -3.941 -2.254   |9.42     |G5                     |    ~     ~    |    1| 2132.196   pc  | -60.4653    +60.4653  |paral   |2020yCat.1350....0G
826 |HD 221412                                                                                                                                   |Star                               |23 31 37.4864049792 +54 08 27.768248412|111.3147861161228 -06.9206462544390|  4.137 -15.694   |7.76     |B8                     |    ~     ~    |    1|  328.893   pc  |  -4.2619     +4.2619  |paral   |2020yCat.1350....0G
827 |HD 236156                                                                                                                                   |Star                               |23 31 47.8793752488 +54 12 31.818981816|111.3599638500567 -06.8638436032434|  -7.298 -3.734   |9.42     |K                      |    ~     ~    |    1|  417.973   pc  |  -2.4283     +2.4283  |paral   |2020yCat.1350....0G
828 |HD 236157                                                                                                                                   |Star                               |23 31 48.3407988528 +54 10 40.806833052|111.3515611963638 -06.8935517832775| -10.425 -0.122   |8.72     |K5                     |    ~     ~    |    1|  770.357   pc  | -10.1480    +10.1480  |paral   |2020yCat.1350....0G
829 |HD 236160                                                                                                                                   |Star                               |23 31 55.5371072839 +54 01 10.114599287|111.3197057548005 -07.0498838142437|   20.548 9.705   |8.927    |G5                     |    ~     ~    |    1|   64.9022  pc  |  -0.0589     +0.0589  |paral   |2020yCat.1350....0G
830 |HD 236163                                                                                                                                   |Star                               |23 32 31.8200354568 +54 03 43.784958528|111.4179932078831 -07.0361846986765|  -1.440 -9.890   |8.93     |K2                     |    ~     ~    |    1|  615.120   pc  |  -5.9783     +5.9783  |paral   |2020yCat.1350....0G
831 |HD 221569                                                                                                                                   |Star                               |23 32 48.3696218304 +54 14 28.490652744|111.5112826174755 -06.8776696464165|   4.918 -3.941   |8.49     |B9                     |    ~     ~    |    1|  519.022   pc  |  -6.7615     +6.7615  |paral   |2020yCat.1350....0G
832 |HD 221712                                                                                                                                   |Star                               |23 34 09.5887076232 +54 04 05.977267572|111.6496825501588 -07.1019532972512|   47.024 1.631   |8.36     |K0                     |    ~     ~    |    1|  159.954   pc  |  -0.4554     +0.4554  |paral   |2020yCat.1350....0G
833 |HD 221875                                                                                                                                   |Double or Multiple Star            |23 35 29.4847133431 +54 00 57.218367862|111.8224165392278 -07.2095909076983|  27.546 -2.592   |8.775    |A2                     |    ~     ~    |    1|  195.565   pc  |  -3.2891     +3.2891  |paral   |2020yCat.1350....0G
834 |HD 236173                                                                                                                                   |Star                               |23 35 41.4822109824 +54 13 56.418544380|111.9142247478580 -07.0110793484558|  -0.072 -5.246   |9.17     |A0                     |    ~     ~    |    1|  874.279   pc  | -13.3764    +13.3764  |paral   |2020yCat.1350....0G
835 |HD 236174                                                                                                                                   |Star                               |23 35 45.4675627320 +54 02 28.398348060|111.8675721714087 -07.1967593671656|   27.168 0.204   |9.15     |A3                     |    ~     ~    |    1|  189.268   pc  |  -0.7165     +0.7165  |paral   |2020yCat.1350....0G
836 |HD 221999                                                                                                                                   |Double or Multiple Star            |23 36 37.2749806824 +53 57 11.077059636|111.9643103116052 -07.3178450771206|   7.420 -3.940   |8.65     |A2                     |    ~     ~    |    1|  325.722   pc  |  -5.4851     +5.4851  |paral   |2020yCat.1350....0G
837 |BD+53 3221                                                                                                                                  |Star                               |23 43 11.2623990360 +54 06 26.856833076|112.9418005479597 -07.4351594277351|-15.847 -15.077   |9.28     |K0                     |    ~     ~    |    1|  417.676   pc  |  -2.1981     +2.1981  |paral   |2020yCat.1350....0G
838 |BD+53 3222                                                                                                                                  |Star                               |23 43 29.9396572416 +54 00 48.497280300|112.9613375885528 -07.5378481552172|   1.768 -2.080   |10.06    |B8                     |    ~     ~    |    1|  960.061   pc  | -14.6553    +14.6553  |paral   |2020yCat.1350....0G
839 |HD 221538                                                                                                                                   |Spectroscopic Binary               |23 32 34.9901005488 +53 41 10.945482396|111.3108124864378 -07.3967001991960|   6.785 -3.454   |6.810    |K0                     |    ~     ~    |    1|  441.189   pc  | -31.9418    +31.9418  |paral   |2020yCat.1350....0G
840 |HD 221570                                                                                                                                   |Star                               |23 32 52.8851485272 +53 47 18.246633288|111.3842864455420 -07.3127666787291|   5.479 -4.277   |9.25     |A0                     |    ~     ~    |    1|  508.984   pc  |  -4.5077     +4.5077  |paral   |2020yCat.1350....0G
841 |HD 221902                                                                                                                                   |Star                               |23 35 42.2288605416 +53 42 58.368330216|111.7645146105530 -07.5053800719868|  -0.336 -1.122   |9.06     |A0                     |    ~     ~    |    1|  768.580   pc  | -10.9873    +10.9873  |paral   |2020yCat.1350....0G
842 |HD 222553                                                                                                                                   |High Proper Motion Star            |23 41 18.1496623656 +53 44 11.044553676|112.5720420381614 -07.7186546055783|-93.973 -26.702   |8.77     |G5                     |    ~     ~    |    1|   96.829   pc  |  -0.1153     +0.1153  |paral   |2020yCat.1350....0G
843 |HD 236205                                                                                                                                   |Star                               |23 42 46.0770517368 +53 45 28.159065648|112.7884831798878 -07.7560461878877|  -5.360 -2.737   |10.07    |A5                     |    ~     ~    |    1| 1104.240   pc  | -19.5095    +19.5095  |paral   |2020yCat.1350....0G
844 |HD 222867                                                                                                                                   |Star                               |23 44 09.1362907224 +53 41 50.769608424|112.9718961629300 -07.8680726048654|   5.513 -4.873   |9.38     |A2                     |    ~     ~    |    1|  444.109   pc  |  -3.3727     +3.3727  |paral   |2020yCat.1350....0G
