C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:54:39

dec >=0&rah >=11.0&rah< 11.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2287

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |BD+84 250                                                                                                                                   |Star                                |11 12 00.5685142272 +83 29 33.274857300|126.1881229792568 +32.9950049487533|    3.360 5.506    |10.26    |A5                |    ~     ~    |    1|  428.339   pc  |  -2.5870     +2.5870  |paral   |2020yCat.1350....0G
23  |HD 94859B                                                                                                                                   |Star                                |11 02 24.0290692392 +83 13 23.301001848|126.6312359412306 +33.1036804152498|-20.254 -14.227    |9.89     |~                 |    ~     ~    |    1|  135.803   pc  |  -0.2416     +0.2416  |paral   |2020yCat.1350....0G
24  |BD+83 313                                                                                                                                   |Star                                |11 02 50.0146204368 +82 53 08.745027504|126.8138564429841 +33.4047990223589| -7.445 -18.021    |10.99    |G0                |    ~     ~    |    1|  415.628   pc  |  -2.2803     +2.2803  |paral   |2020yCat.1350....0G
25  |BD+83 314                                                                                                                                   |Star                                |11 03 50.3075073720 +82 53 59.479841760|126.7731048957263 +33.4075274492122|   -6.187 5.555    |10.21    |K0                |    ~     ~    |    1| 1506.024   pc  | -28.1245    +28.1245  |paral   |2020yCat.1350....0G
26  |BD+83 315                                                                                                                                   |Star                                |11 03 35.4273508944 +82 13 38.078901156|127.1732626693718 +33.9920281971028|  -4.938 -2.508    |10.54    |M                 |    ~     ~    |    1| 1835.536   pc  | -38.4088    +38.4088  |paral   |2020yCat.1350....0G
27  |BD+83 316                                                                                                                                   |Star                                |11 05 07.5636061104 +83 12 06.978903876|126.5591132205927 +33.1610128694702| -12.887 -2.070    |10.98    |F2                |    ~     ~    |    1|  333.256   pc  |  -1.3216     +1.3216  |paral   |2020yCat.1350....0G
28  |BD+83 317                                                                                                                                   |Star                                |11 04 59.5377258888 +82 52 33.675621492|126.7492758644856 +33.4455809765774|    3.705 3.414    |10.73    |K0                |    ~     ~    |    0|                |                       |        |                   
29  |HD 95895                                                                                                                                    |High Proper Motion Star             |11 08 18.2829720336 +82 44 34.980091044|126.7147906425859 +33.6117062189134|-89.069 -29.119    |8.26     |F8                |    ~     ~    |    1|  109.539   pc  |  -0.1980     +0.1980  |paral   |2020yCat.1350....0G
30  |BD+83 319A                                                                                                                                  |High Proper Motion Star             |11 09 28.1648594016 +83 05 45.379805172|126.4813648823717 +33.3152313492338|-73.787 -33.274    |10.14    |K2                |    ~     ~    |    1|   74.904   pc  |  -0.0937     +0.0937  |paral   |2020yCat.1350....0G
31  |BD+83 319B                                                                                                                                  |High Proper Motion Star             |11 09 25.6818945552 +83 05 50.616481308|126.4818893076733 +33.3133685082581|-66.606 -39.397    |10.38    |~                 |    ~     ~    |    1|   75.490   pc  |  -0.6548     +0.6548  |paral   |2020yCat.1350....0G
32  |BD+83 320                                                                                                                                   |Double or Multiple Star             |11 10 33.2802771768 +82 15 46.198051236|126.9031189174251 +34.0716212776822|-18.427 -11.699    |10.876   |G5                |    ~     ~    |    1|  187.224   pc  |  -0.4066     +0.4066  |paral   |2020yCat.1350....0G
33  |BD+83 321                                                                                                                                   |Star                                |11 11 17.2387782624 +82 26 50.372905740|126.7755205090754 +33.9185206526917|   -2.952 1.565    |9.69     |K0                |    ~     ~    |    1|  580.619   pc  |  -4.8545     +4.8545  |paral   |2020yCat.1350....0G
34  |BD+83 322                                                                                                                                   |Star                                |11 13 57.5554048920 +82 37 01.446278772|126.5904825108376 +33.8056497497753|    0.466 4.398    |10.18    |F8                |    ~     ~    |    1|  548.847   pc  |  -4.3980     +4.3980  |paral   |2020yCat.1350....0G
35  |BD+82 321                                                                                                                                   |Star                                |11 01 44.8726359024 +82 10 32.085568272|127.2695326647853 +34.0063854531558|  10.753 11.981    |9.47     |F0                |    ~     ~    |    1|  247.831   pc  |  -0.7125     +0.7125  |paral   |2020yCat.1350....0G
36  |BD+82 323                                                                                                                                   |Star                                |11 07 18.4327589976 +81 59 33.540678312|127.1739879400905 +34.2590480503434|-14.419 -14.258    |10.73    |G5                |    ~     ~    |    1|  372.550   pc  |  -1.7349     +1.7349  |paral   |2020yCat.1350....0G
37  |BD+82 324                                                                                                                                   |Star                                |11 07 45.2488026960 +81 48 21.017774736|127.2640026880607 +34.4311612348759| 14.096 -25.935    |10.37    |F0                |    ~     ~    |    1|  189.387   pc  |  -0.7389     +0.7389  |paral   |2020yCat.1350....0G
38  |BD+82 326                                                                                                                                   |Star                                |11 14 03.9417533568 +82 12 13.057601616|126.8074306620084 +34.1779280295389|   2.096 -0.452    |8.83     |M1                |    ~     ~    |    1|  790.701   pc  | -11.3163    +11.3163  |paral   |2020yCat.1350....0G
39  |HD 94977                                                                                                                                    |High Proper Motion Star             |11 02 15.5301617856 +81 40 45.338876904|127.5476154273268 +34.4466000687658|  78.460 -9.162    |8.83     |F8                |    ~     ~    |    1|  146.150   pc  |  -2.4393     +2.4393  |paral   |2020yCat.1350....0G
40  |TYC 4632-307-1                                                                                                                              |Spectroscopic Binary                |11 05 02.2816727424 +83 31 11.781635988|126.3816018204664 +32.8799825966266| -15.067 -2.078    |10.94    |~                 |    ~     ~    |    1|  559.347   pc  | -37.0124    +37.0124  |paral   |2020yCat.1350....0G
