C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:54:39

dec >=0&rah >=11.0&rah< 11.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2287

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
197 |HD 97138                                                                                                                                    |Variable Star                       |11 12 10.9407413856 +68 16 18.733441044|135.9211302706453 +46.2732153552977|   28.565 6.993    |6.430    |A3V               |    ~     ~    |    1|  106.124   pc  |  -0.2523     +0.2523  |paral   |2020yCat.1350....0G
198 |HD 97286                                                                                                                                    |Star                                |11 13 06.4210219896 +68 46 04.640648988|135.4345921968808 +45.8998582703747|  3.192 -37.767    |8.25     |G0                |    ~     ~    |    1|  111.647   pc  |  -3.7233     +3.7233  |paral   |2020yCat.1350....0G
199 |HD 96251                                                                                                                                    |Star                                |11 07 14.5465579296 +68 12 08.064897264|136.5280363297492 +46.0785511850440|-27.897 -23.066    |10.01    |G5                |    ~     ~    |    1|  211.528   pc  |  -0.6085     +0.6085  |paral   |2020yCat.1350....0G
200 |HD 97139                                                                                                                                    |Star                                |11 12 09.3278875080 +67 51 56.272800744|136.2437915897742 +46.6132202465981|  3.032 -11.660    |8.40     |K0                |    ~     ~    |    1|  325.818   pc  |  -7.0701     +7.0701  |paral   |2020yCat.1350....0G
201 |V* EP UMa                                                                                                                                   |alpha2 CVn Variable                 |11 09 39.7864853928 +67 12 36.756332280|137.0629175836193 +47.0280351571768|-87.078 -26.744    |6.061    |A7IVpSr           |    ~     ~    |    1|  108.294   pc  |  -0.3190     +0.3190  |paral   |2020yCat.1350....0G
202 |BD+68 633                                                                                                                                   |Star                                |11 10 12.5037045144 +67 30 48.518792316|136.7512759713423 +46.8057489724193|    0.324 4.561    |9.71     |F5                |    ~     ~    |    1|  207.766   pc  |  -2.9224     +2.9224  |paral   |2020yCat.1350....0G
203 |HD 97301                                                                                                                                    |Star                                |11 13 07.5423748008 +67 19 22.567210536|136.5620674462139 +47.1189021667799| -27.460 14.837    |6.60     |G5                |    ~     ~    |    1|  148.087   pc  |  -0.3531     +0.3531  |paral   |2020yCat.1350....0G
204 |BD+68 636                                                                                                                                   |Double or Multiple Star             |11 14 26.0760136728 +67 32 07.788316668|136.2383719390525 +47.0078288741383|   -8.485 1.895    |9.97     |K0                |    ~     ~    |    1|  701.066   pc  |  -5.7505     +5.7505  |paral   |2020yCat.1350....0G
205 |HD 96591                                                                                                                                    |Star                                |11 08 49.6513980600 +67 11 55.939328592|137.1703824575144 +46.9918479758481| -7.100 -14.257    |8.85     |K0                |    ~     ~    |    1|  624.649   pc  |  -5.8138     +5.8138  |paral   |2020yCat.1350....0G
206 |TYC 4152-689-1                                                                                                                              |Star                                |11 12 35.7876506280 +67 19 24.752219304|136.6244048924784 +47.0905816016317|  -5.433 -7.466    |10.7     |~                 |    ~     ~    |    1|  972.573   pc  | -12.1075    +12.1075  |paral   |2020yCat.1350....0G
207 |TYC 4152-1070-1                                                                                                                             |Star                                |11 14 38.5857607488 +67 09 59.085469440|136.5050903920033 +47.3299271976981| -29.531 -5.662    |10.14    |~                 |    ~     ~    |    1|  240.131   pc  |  -4.8148     +4.8148  |paral   |2020yCat.1350....0G
208 |TYC 4152-1107-1                                                                                                                             |Star                                |11 06 30.3709211352 +66 59 01.603384584|137.6225333483837 +47.0394108842114| -12.376 -9.279    |10.38    |~                 |    ~     ~    |    1|  394.633   pc  |  -1.7442     +1.7442  |paral   |2020yCat.1350....0G
209 |TYC 4385-422-1                                                                                                                              |Star                                |11 11 41.6309891088 +69 23 13.290543708|135.1157620470835 +45.3087507520665| -18.834 -4.712    |10.67    |~                 |    ~     ~    |    1|  837.521   pc  | -12.2051    +12.2051  |paral   |2020yCat.1350....0G
210 |TYC 4385-595-1                                                                                                                              |Star                                |11 10 39.2728902048 +68 50 15.270897372|135.6491462423403 +45.7220159020106|    8.914 2.409    |10.17    |~                 |    ~     ~    |    1|  147.453   pc  |  -0.3588     +0.3588  |paral   |2020yCat.1350....0G
211 |TYC 4385-676-1                                                                                                                              |Star                                |11 11 43.6227522552 +69 30 27.953418204|135.0208402226013 +45.2081419489204|    2.388 1.996    |10.20    |~                 |    ~     ~    |    1|  407.266   pc  |  -4.7769     +4.7769  |paral   |2020yCat.1350....0G
212 |TYC 4385-824-1                                                                                                                              |Star                                |11 11 10.2104064936 +69 01 56.115515820|135.4427901299465 +45.5833066631641|  -15.413 2.888    |10.84    |~                 |    ~     ~    |    1|  674.536   pc  |  -5.4600     +5.4600  |paral   |2020yCat.1350....0G
213 |TYC 4385-886-1                                                                                                                              |Star                                |11 10 32.6748520416 +69 30 43.678957284|135.1415393228879 +45.1490807350392|   0.549 -2.074    |10.48    |~                 |    ~     ~    |    1| 1599.744   pc  | -29.9424    +29.9424  |paral   |2020yCat.1350....0G
214 |TYC 4392-1111-1                                                                                                                             |High Proper Motion Star             |11 12 59.2251097080 +69 03 24.726233268|135.2276907572988 +45.6493356007010|  75.041 -7.494    |10.74    |~                 |    ~     ~    |    1|  166.964   pc  |  -0.2983     +0.2983  |paral   |2020yCat.1350....0G
215 |TYC 4392-1797-1                                                                                                                             |Star                                |11 12 52.8813706608 +67 58 09.650243784|136.0785897003721 +46.5630044633692| -1.528 -10.953    |10.61    |~                 |    ~     ~    |    1|  825.764   pc  |  -7.7053     +7.7053  |paral   |2020yCat.1350....0G
216 |BD+69 595                                                                                                                                   |Star                                |11 01 19.2811109400 +68 19 14.000790324|137.0737650782593 +45.6660109312893| -9.694 -33.198    |9.33     |K0                |    ~     ~    |    1|  506.457   pc  |  -3.2575     +3.2575  |paral   |2020yCat.1350....0G
217 |HD 95361                                                                                                                                    |Star                                |11 02 02.8979802600 +67 40 02.904735072|137.5487084474372 +46.2335580635124|  -3.160 12.635    |9.64     |A2                |    ~     ~    |    1|  369.385   pc  | -17.2194    +17.2194  |paral   |2020yCat.1350....0G
218 |HD 95513                                                                                                                                    |High Proper Motion Star             |11 02 58.3530902760 +67 23 32.098976880|137.6808192069230 +46.5078531991537| -65.224 16.308    |9.44     |G                 |    ~     ~    |    1|  177.022   pc  |  -0.3823     +0.3823  |paral   |2020yCat.1350....0G
219 |HD 95605                                                                                                                                    |Star                                |11 03 31.6627120152 +67 34 19.746276312|137.4650086245492 +46.3934786865420|  -0.732 -1.346    |9.67     |A0V               |    ~     ~    |    1|  498.306   pc  |  -5.5621     +5.5621  |paral   |2020yCat.1350....0G
220 |TYC 4151-207-1                                                                                                                              |Star                                |11 02 33.6715959120 +67 25 23.573448372|137.7005987493634 +46.4595393531400|   -6.756 5.827    |10.90    |~                 |    ~     ~    |    1|  224.724   pc  |  -0.5656     +0.5656  |paral   |2020yCat.1350....0G
221 |TYC 4152-19-1                                                                                                                               |Star                                |11 03 16.3744858080 +67 20 15.498603528|137.6936267919250 +46.5690080061530| 12.351 -31.391    |10.39    |~                 |    ~     ~    |    1|  231.011   pc  |  -1.4089     +1.4089  |paral   |2020yCat.1350....0G
222 |TYC 4152-32-1                                                                                                                               |Star                                |11 03 23.2808957904 +67 08 06.390927060|137.8543658072132 +46.7392118864554|    8.365 5.059    |10.76    |~                 |    ~     ~    |    1|  383.347   pc  |  -2.2484     +2.2484  |paral   |2020yCat.1350....0G
223 |TYC 4152-34-1                                                                                                                               |Star                                |11 04 20.1708459264 +67 05 59.132001552|137.7758298253348 +46.8219940497853| -19.510 -1.115    |10.19    |~                 |    ~     ~    |    1|  710.884   pc  |  -6.5191     +6.5191  |paral   |2020yCat.1350....0G
224 |TYC 4385-91-1                                                                                                                               |High Proper Motion Star             |11 01 01.0091980248 +67 55 41.804588100|137.4392136416797 +45.9656965592687|-57.849 -26.113    |10.93    |~                 |    ~     ~    |    1|  221.803   pc  |  -0.5658     +0.5658  |paral   |2020yCat.1350....0G
225 |TYC 4385-234-1                                                                                                                              |Star                                |11 02 38.9324153088 +67 49 15.524313456|137.3517127272381 +46.1430121478963| -39.114 -8.680    |10.55    |~                 |    ~     ~    |    1|  182.249   pc  |  -0.6510     +0.6510  |paral   |2020yCat.1350....0G
226 |TYC 4385-302-1                                                                                                                              |Star                                |11 03 11.0520851928 +67 40 01.980933924|137.4227384355918 +46.2972752105828|   0.307 -2.810    |10.88    |~                 |    ~     ~    |    1|  259.565   pc  |  -0.8826     +0.8826  |paral   |2020yCat.1350....0G
227 |TYC 4385-832-1                                                                                                                              |Star                                |11 01 26.0279148528 +68 19 52.287369168|137.0527987619900 +45.6635194273514|   3.129 -1.793    |10.80    |~                 |    ~     ~    |    1|  313.627   pc  |  -1.5836     +1.5836  |paral   |2020yCat.1350....0G
228 |TYC 4385-993-1                                                                                                                              |High Proper Motion Star             |11 01 39.1167893880 +68 28 31.725125256|136.9084974048219 +45.5584829844949|-2.653 -141.530    |9.64     |~                 |    ~     ~    |    1|   77.092   pc  |  -0.0636     +0.0636  |paral   |2020yCat.1350....0G
229 |HD 96972                                                                                                                                    |Star                                |11 10 58.9725164952 +66 02 43.425445416|137.8743350914200 +48.0643628968858|  -0.039 -0.623    |8.38     |G5                |    ~     ~    |    1|  397.362   pc  |  -2.7316     +2.7316  |paral   |2020yCat.1350....0G
230 |BD+65 821                                                                                                                                   |Star                                |11 11 39.8930953416 +65 05 03.461189532|138.6103751215996 +48.8954198621247|-21.441 -10.339    |10.41    |F5                |    ~     ~    |    1|  301.796   pc  |  -1.2751     +1.2751  |paral   |2020yCat.1350....0G
231 |HD 96757                                                                                                                                    |Star                                |11 09 53.7719408952 +66 45 24.450886764|137.4106421629554 +47.4157672911211|  13.742 -8.461    |8.10     |F0                |    ~     ~    |    1|  277.562   pc  |  -2.2650     +2.2650  |paral   |2020yCat.1350....0G
232 |HD 97003                                                                                                                                    |Star                                |11 11 16.3388606952 +66 44 19.768407000|137.2592178058316 +47.5068041534687|  2.377 -13.862    |7.56     |K0                |    ~     ~    |    1|  341.111   pc  |  -2.5133     +2.5133  |paral   |2020yCat.1350....0G
233 |HD 97242                                                                                                                                    |High Proper Motion Star             |11 12 40.1353423656 +67 00 56.546932140|136.8639500656926 +47.3520072216442|-60.666 -13.255    |8.27     |F2                |    ~     ~    |    1|  143.585   pc  |  -0.3938     +0.3938  |paral   |2020yCat.1350....0G
234 |BD+67 688                                                                                                                                   |Star                                |11 14 33.2789857632 +66 59 55.575187116|136.6493357855059 +47.4664717973629|   2.518 -7.088    |9.31     |F0                |    ~     ~    |    1|  262.943   pc  |  -1.0094     +1.0094  |paral   |2020yCat.1350....0G
235 |HD 97050                                                                                                                                    |Star                                |11 11 32.1594567600 +66 01 48.514768212|137.8177894166765 +48.1086323039521|   6.376 -1.352    |8.18     |K                 |    ~     ~    |    1|  504.465   pc  |  -4.6825     +4.6825  |paral   |2020yCat.1350....0G
236 |HD 97085                                                                                                                                    |Double or Multiple Star             |11 11 38.5528 +66 06 47.905            |137.7344417 +48.0459270            |        8.4 2.3    |9.45     |F2                |    ~     ~    |    0|                |                       |        |                   
237 |TYC 4152-782-1                                                                                                                              |Star                                |11 14 49.6210893912 +66 18 41.475908160|137.1702285544307 +48.0584538082440|  7.685 -19.423    |10.24    |G0                |    ~     ~    |    1|  393.376   pc  |  -2.0426     +2.0426  |paral   |2020yCat.1350....0G
238 |BD+66 707                                                                                                                                   |High Proper Motion Star             |11 13 26.9855102616 +65 42 58.806304128|137.8382135598150 +48.4781390680900|-126.094 66.812    |9.88     |G0                |    ~     ~    |    1|  163.583   pc  |  -0.3238     +0.3238  |paral   |2020yCat.1350....0G
239 |HD 97403                                                                                                                                    |Star                                |11 13 39.4959144456 +65 42 18.466453512|137.8207328551862 +48.4993780671533|   6.053 -9.933    |8.27     |K0                |    ~     ~    |    1|  328.235   pc  |  -1.7561     +1.7561  |paral   |2020yCat.1350....0G
240 |StKM 1-929                                                                                                                                  |Star                                |11 14 36.0935170080 +65 26 45.172776336|137.9155956112603 +48.7691700495507|  6.532 -13.067    |10.92    |K4                |    ~     ~    |    1|   65.692   pc  |  -0.3931     +0.3931  |paral   |2020yCat.1350....0G
241 |TYC 4152-116-1                                                                                                                              |Star                                |11 11 54.9196912656 +66 32 42.492177528|137.3407324863910 +47.7031620223439|  -39.525 5.988    |10.75    |~                 |    ~     ~    |    1|  151.602   pc  |  -0.2735     +0.2735  |paral   |2020yCat.1350....0G
242 |GSC 04152-00128                                                                                                                             |Double or Multiple Star             |11 10 44.3304029976 +66 50 23.288362872|137.2403048329287 +47.3936859722068| -16.101 -0.925    |10.429   |~                 |    ~     ~    |    1|  349.235   pc  |  -2.5735     +2.5735  |paral   |2020yCat.1350....0G
243 |TYC 4152-215-1                                                                                                                              |Star                                |11 14 07.9457657832 +66 18 20.943539244|137.2622863477402 +48.0250988903929|  -12.564 8.711    |10.47    |~                 |    ~     ~    |    1|  234.593   pc  |  -0.9136     +0.9136  |paral   |2020yCat.1350....0G
244 |TYC 4152-360-1                                                                                                                              |Spectroscopic Binary                |11 12 17.3745334488 +65 29 54.650542920|138.1723848189877 +48.5914128803667| -22.229 -8.257    |10.60    |~                 |    ~     ~    |    1|  335.604   pc  |  -3.4803     +3.4803  |paral   |2020yCat.1350....0G
245 |TYC 4152-387-1                                                                                                                              |Star                                |11 13 02.6195566896 +66 43 51.525466680|137.0498008606769 +47.6101694624948| -34.075 16.662    |9.87     |~                 |    ~     ~    |    1|  239.452   pc  |  -8.2279     +8.2279  |paral   |2020yCat.1350....0G
246 |TYC 4152-460-1                                                                                                                              |High Proper Motion Star             |11 08 55.3480363992 +66 44 17.245211964|137.5432814100666 +47.3767449861130|  51.173 -4.447    |10.07    |~                 |    ~     ~    |    1|  452.735   pc  |  -2.4186     +2.4186  |paral   |2020yCat.1350....0G
247 |GSC 04152-00525                                                                                                                             |Double or Multiple Star             |11 13 13.488864 +65 34 43.49532        |137.983171054 +48.579392608        |      -7.0 -3.9    |10.326   |~                 |    ~     ~    |    0|                |                       |        |                   
248 |TYC 4152-715-1                                                                                                                              |Star                                |11 14 48.0678374376 +66 06 15.428739744|137.3430295548933 +48.2306710639619|  8.774 -33.839    |10.49    |~                 |    ~     ~    |    1|  236.016   pc  |  -1.1308     +1.1308  |paral   |2020yCat.1350....0G
249 |TYC 4152-1110-1                                                                                                                             |High Proper Motion Star             |11 08 00.6980062944 +66 51 32.123626776|137.5504352300615 +47.2263565014069| 37.864 -46.928    |10.26    |~                 |    ~     ~    |    1|  250.382   pc  |  -0.8651     +0.8651  |paral   |2020yCat.1350....0G
250 |BD+67 680                                                                                                                                   |Spectroscopic Binary                |11 05 24.0669405384 +66 48 44.676255492|137.8982184712304 +47.1160252400400| -36.355 -1.685    |9.99     |G5                |    ~     ~    |    1|  249.464   pc  |  -0.7468     +0.7468  |paral   |2020yCat.1350....0G
251 |TYC 4151-1433-1                                                                                                                             |Star                                |11 01 31.3069459776 +66 27 09.800554284|138.6673286677977 +47.1768939552654| -5.767 -21.451    |10.23    |~                 |    ~     ~    |    1|  267.008   pc  |  -0.9910     +0.9910  |paral   |2020yCat.1350....0G
252 |BD+67 678                                                                                                                                   |Star                                |11 02 24.3287781672 +66 25 11.497472004|138.5926798748319 +47.2563245332489|   4.225 -6.865    |9.41     |K2                |    ~     ~    |    1| 1372.684   pc  | -24.6838    +24.6838  |paral   |2020yCat.1350....0G
253 |HD 95828                                                                                                                                    |Star                                |11 04 39.8865991032 +66 20 30.055099956|138.3931950689485 +47.4539611080988| -19.486 -3.173    |8.95     |K0                |    ~     ~    |    1|  399.170   pc  |  -2.2148     +2.2148  |paral   |2020yCat.1350....0G
254 |HD 96292                                                                                                                                    |High Proper Motion Star             |11 07 14.8181211264 +66 34 31.731559248|137.8818974848032 +47.4149319244034|-88.297 -11.761    |9.29     |G5                |    ~     ~    |    1|  132.633   pc  |  -0.2234     +0.2234  |paral   |2020yCat.1350....0G
255 |BD+66 695                                                                                                                                   |High Proper Motion Star             |11 00 02.3925262464 +65 57 07.929758340|139.2923869898884 +47.4824871190234|-68.703 -14.679    |9.84     |F8                |    ~     ~    |    1|  140.992   pc  |  -0.2564     +0.2564  |paral   |2020yCat.1350....0G
256 |HD 96074                                                                                                                                    |Star                                |11 06 09.7959165360 +65 52 32.875040028|138.6195519102990 +47.9196284064577|    8.612 5.672    |7.63     |G5                |    ~     ~    |    1|  258.304   pc  |  -1.0142     +1.0142  |paral   |2020yCat.1350....0G
257 |HD 96293                                                                                                                                    |Star                                |11 07 18.5460588936 +65 44 58.868151684|138.5881068809433 +48.0906167204218|  10.447 -6.070    |8.52     |K0                |    ~     ~    |    1|  353.057   pc  |  -2.1689     +2.1689  |paral   |2020yCat.1350....0G
258 |BD+66 700                                                                                                                                   |Star                                |11 07 34.8457938936 +65 50 42.488667492|138.4709196381478 +48.0293666471916|  1.824 -12.370    |9.11     |K0                |    ~     ~    |    1|  473.732   pc  |  -2.9175     +2.9175  |paral   |2020yCat.1350....0G
259 |BD+66 698                                                                                                                                   |Star                                |11 07 17.0351780304 +65 21 08.866910304|138.9412481122018 +48.4107716678583|   -7.474 9.076    |10.29    |F0V               |    ~     ~    |    1|  403.910   pc  |  -4.6333     +4.6333  |paral   |2020yCat.1350....0G
260 |BD+66 701                                                                                                                                   |Spectroscopic Binary                |11 08 40.5368221728 +65 36 44.452230768|138.5364970471127 +48.2841901671120|   8.714 25.715    |10.29    |G5                |    ~     ~    |    1|  301.869   pc  | -10.9987    +10.9987  |paral   |2020yCat.1350....0G
261 |BD+66 702                                                                                                                                   |High Proper Motion Star             |11 08 52.1602509768 +65 29 55.362683688|138.6110622963745 +48.3883910533978| 55.380 -80.867    |9.75     |K0                |    ~     ~    |    1|   93.857   pc  |  -0.1092     +0.1092  |paral   |2020yCat.1350....0G
262 |BD+65 812                                                                                                                                   |Star                                |11 01 28.7585596344 +65 11 02.020692120|139.8222512159715 +48.1795706869947|-40.036 -16.708    |9.86     |F8                |    ~     ~    |    1|  160.723   pc  |  -0.3306     +0.3306  |paral   |2020yCat.1350....0G
263 |BD+65 813                                                                                                                                   |Star                                |11 01 50.0909774285 +65 07 06.143478955|139.8386120689094 +48.2541989364673|   10.451 1.481    |9.74     |F0                |    ~     ~    |    0|                |                       |        |                   
264 |HD 96001                                                                                                                                    |Double or Multiple Star             |11 05 36.2157570504 +64 48 14.312822832|139.6495582232342 +48.7462937530968|  23.986 10.666    |7.35     |F0                |0.0000  0.0    |    1|   89.337   pc  |  -1.2051     +1.2051  |paral   |2020yCat.1350....0G
265 |BD+65 819                                                                                                                                   |Star                                |11 10 34.5459731928 +64 44 02.543549604|139.0614307400788 +49.1155588665335|   4.121 -1.164    |9.86     |G5                |    ~     ~    |    1|  221.494   pc  |  -0.5691     +0.5691  |paral   |2020yCat.1350....0G
266 |HD 96949                                                                                                                                    |Star                                |11 10 45.2299891392 +64 42 44.599028472|139.0569024001621 +49.1442173917760|-27.229 -13.053    |9.14     |F5                |    ~     ~    |    1|  224.457   pc  |  -0.7960     +0.7960  |paral   |2020yCat.1350....0G
267 |BD+65 820B                                                                                                                                  |Star                                |11 10 44.9614155984 +64 42 52.439368536|139.0555718724036 +49.1421645819885|-26.592 -13.598    |10.9     |~                 |    ~     ~    |    1|  225.887   pc  |  -0.9593     +0.9593  |paral   |2020yCat.1350....0G
268 |BD+64 826                                                                                                                                   |High Proper Motion Star             |11 02 14.5131634176 +64 10 45.863465304|140.6660326536257 +49.0187929235780| -74.232 14.732    |10.13    |G0                |    ~     ~    |    1|  180.385   pc  |  -0.4393     +0.4393  |paral   |2020yCat.1350....0G
269 |BD+64 827                                                                                                                                   |Star                                |11 02 45.0162045672 +64 11 09.225008664|140.5937266875893 +49.0480943541060|  -1.231 -8.688    |9.30     |K0                |    ~     ~    |    1|  807.820   pc  |  -7.9614     +7.9614  |paral   |2020yCat.1350....0G
270 |TYC 4148-151-1                                                                                                                              |Star                                |11 00 22.0042078608 +64 56 51.405063936|140.1802444073470 +48.2923627566484|  -3.059 -1.295    |10.57    |~                 |    ~     ~    |    1|  898.634   pc  | -11.2249    +11.2249  |paral   |2020yCat.1350....0G
271 |TYC 4148-322-1                                                                                                                              |High Proper Motion Star             |11 02 09.8860904376 +64 46 53.217007176|140.1097827215627 +48.5411157951166|-16.950 -58.194    |9.99     |~                 |    ~     ~    |    1|  188.267   pc  |  -0.4395     +0.4395  |paral   |2020yCat.1350....0G
272 |TYC 4148-411-1                                                                                                                              |Star                                |11 01 22.8453542496 +64 42 50.733583632|140.2719464850116 +48.5422643309671|  -6.612 -5.762    |10.44    |~                 |    ~     ~    |    1|  352.212   pc  |  -2.0593     +2.0593  |paral   |2020yCat.1350....0G
273 |TYC 4148-1358-1                                                                                                                             |Spectroscopic Binary                |11 01 28.5707995824 +64 01 58.238126760|140.9053430140790 +49.0809931718299|   1.761 -4.843    |10.06    |~                 |    ~     ~    |    1| 1417.234   pc  | -50.8163    +50.8163  |paral   |2020yCat.1350....0G
274 |TYC 4148-1442-1                                                                                                                             |Star                                |11 01 42.4901944680 +63 57 58.166170992|140.9389676060962 +49.1488838756407| -16.771 22.132    |10.45    |~                 |    ~     ~    |    1|  309.981   pc  |  -1.3452     +1.3452  |paral   |2020yCat.1350....0G
275 |TYC 4149-731-1                                                                                                                              |Star                                |11 05 51.7303612464 +64 28 59.450569788|139.9097803623598 +49.0190447251079| -2.992 -12.823    |10.64    |~                 |    ~     ~    |    1| 1048.438   pc  | -12.3113    +12.3113  |paral   |2020yCat.1350....0G
276 |TYC 4149-1017-1                                                                                                                             |Star                                |11 10 52.2126678432 +64 12 25.285451724|139.4918368066943 +49.5628909076194| -14.880 31.457    |10.87    |~                 |    ~     ~    |    1|  165.527   pc  |  -0.3480     +0.3480  |paral   |2020yCat.1350....0G
277 |TYC 4149-1351-1                                                                                                                             |Star                                |11 05 37.4289679800 +64 54 55.443757896|139.5455240998445 +48.6585094152708|-44.330 -11.780    |10.48    |~                 |    ~     ~    |    1|  743.771   pc  |  -6.9703     +6.9703  |paral   |2020yCat.1350....0G
278 |TYC 4149-1365-1                                                                                                                             |Star                                |11 03 34.2231227736 +64 04 10.023502872|140.5964502151798 +49.1949299197587|  -9.520 -4.471    |10.41    |~                 |    ~     ~    |    1|  413.343   pc  |  -2.4090     +2.4090  |paral   |2020yCat.1350....0G
279 |GSC 04149-01382                                                                                                                             |Double or Multiple Star             |11 04 30.4960822536 +64 05 12.724250712|140.4563506591504 +49.2442801853932|-17.347 -10.575    |10.194   |~                 |    ~     ~    |    1|  399.106   pc  |  -3.6476     +3.6476  |paral   |2020yCat.1350....0G
280 |TYC 4151-341-1                                                                                                                              |Star                                |11 01 34.7693818920 +66 19 17.009914476|138.7774864714176 +47.2849948789950| -10.856 -2.751    |10.97    |~                 |    ~     ~    |    1|  786.102   pc  | -11.6794    +11.6794  |paral   |2020yCat.1350....0G
281 |TYC 4151-491-1                                                                                                                              |High Proper Motion Star             |11 02 15.7492103328 +65 50 24.919073700|139.1273688363117 +47.7097371807063|-68.596 -11.145    |10.54    |~                 |    ~     ~    |    1|  319.714   pc  |  -1.1959     +1.1959  |paral   |2020yCat.1350....0G
282 |TYC 4151-1010-1                                                                                                                             |Spectroscopic Binary                |11 00 41.1689769312 +65 09 54.422830404|139.9377770156554 +48.1428904706921| 35.263 -46.220    |10.32    |~                 |    ~     ~    |    1|  327.193   pc  |  -3.6292     +3.6292  |paral   |2020yCat.1350....0G
283 |TYC 4151-1095-1                                                                                                                             |Star                                |11 01 28.9079738040 +65 12 38.948697900|139.7970762647533 +48.1585210329806|  11.851 13.998    |10.96    |~                 |    ~     ~    |    1|  302.691   pc  |  -2.4555     +2.4555  |paral   |2020yCat.1350....0G
284 |TYC 4152-26-1                                                                                                                               |Star                                |11 03 21.9530440632 +66 01 29.432677836|138.8287804047594 +47.6303739477847| -21.206 -0.177    |10.36    |~                 |    ~     ~    |    1|  229.880   pc  |  -1.0622     +1.0622  |paral   |2020yCat.1350....0G
285 |TYC 4152-58-1                                                                                                                               |High Proper Motion Star             |11 05 38.6503946064 +66 08 00.192361524|138.4572761754662 +47.6803484833997|-66.702 -43.457    |10.67    |~                 |    ~     ~    |    1|  213.529   pc  |  -0.5973     +0.5973  |paral   |2020yCat.1350....0G
286 |TYC 4152-198-1                                                                                                                              |Star                                |11 04 42.0015819600 +66 14 01.239289944|138.4835512997218 +47.5431292710069| -22.668 17.048    |10.34    |~                 |    ~     ~    |    1|  214.772   pc  |  -0.5997     +0.5997  |paral   |2020yCat.1350....0G
287 |TYC 4152-245-1                                                                                                                              |Star                                |11 08 06.3228908016 +66 04 33.131951400|138.2060115984500 +47.8724823325281|  -29.843 3.915    |10.75    |~                 |    ~     ~    |    1|  271.636   pc  |  -0.9961     +0.9961  |paral   |2020yCat.1350....0G
288 |TYC 4152-266-1                                                                                                                              |Star                                |11 04 05.2702481880 +66 11 57.493906944|138.5873517952247 +47.5341541713496|  -0.542 -6.397    |10.50    |~                 |    ~     ~    |    1|  326.435   pc  |  -1.5131     +1.5131  |paral   |2020yCat.1350....0G
289 |TYC 4152-640-1                                                                                                                              |Star                                |11 06 09.0992085816 +66 30 52.641914184|138.0652370630420 +47.4012491900992| -13.798 -3.608    |10.06    |~                 |    ~     ~    |    1|  271.628   pc  |  -0.8780     +0.8780  |paral   |2020yCat.1350....0G
290 |TYC 4152-750-1                                                                                                                              |High Proper Motion Star             |11 05 42.4335439704 +66 23 02.111274024|138.2314663969442 +47.4813362447873| 49.106 -14.713    |10.96    |~                 |    ~     ~    |    1|  144.494   pc  |  -0.2213     +0.2213  |paral   |2020yCat.1350....0G
291 |TYC 4152-830-1                                                                                                                              |Star                                |11 10 38.4526515984 +65 10 57.180734868|138.6589142329456 +48.7532176537838|   9.644 -7.181    |10.77    |~                 |    ~     ~    |    1|  321.812   pc  |  -1.2842     +1.2842  |paral   |2020yCat.1350....0G
292 |TYC 4152-873-1                                                                                                                              |Star                                |11 09 03.9726384792 +65 44 10.951228572|138.3795110366019 +48.2062712008706| -31.061 -9.627    |10.94    |~                 |    ~     ~    |    1|  269.542   pc  |  -4.2429     +4.2429  |paral   |2020yCat.1350....0G
293 |TYC 4152-902-1                                                                                                                              |High Proper Motion Star             |11 08 19.8405299784 +65 15 03.869267724|138.8973898614764 +48.5570265585188|-67.401 -47.145    |10.54    |~                 |    ~     ~    |    1|  163.247   pc  |  -0.3518     +0.3518  |paral   |2020yCat.1350....0G
294 |TYC 4152-950-1                                                                                                                              |High Proper Motion Star             |11 04 17.0661019248 +65 11 36.075393456|139.4632359485562 +48.3515419032827|-86.240 -48.779    |9.92     |~                 |    ~     ~    |    1|  181.752   pc  |  -0.3997     +0.3997  |paral   |2020yCat.1350....0G
295 |TYC 4152-1160-1                                                                                                                             |Star                                |11 03 34.0914813408 +65 12 08.023100580|139.5450970780105 +48.2990228430658|  -7.639 -1.799    |10.43    |~                 |    ~     ~    |    1|  912.575   pc  | -10.4099    +10.4099  |paral   |2020yCat.1350....0G
296 |TYC 4152-1214-1                                                                                                                             |Star                                |11 06 57.0099011448 +66 16 02.408122416|138.1822441252215 +47.6488375661060|  -8.913 -5.419    |10.82    |~                 |    ~     ~    |    1|  606.061   pc  |  -4.4077     +4.4077  |paral   |2020yCat.1350....0G
297 |TYC 4152-484-1                                                                                                                              |Star                                |11 04 54.0300880008 +65 44 07.083110832|138.8993700570940 +47.9562026540199|  -16.152 2.407    |10.42    |F5V               |    ~     ~    |    1|  290.918   pc  |  -1.2018     +1.2018  |paral   |2020yCat.1350....0G
