C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:48:06

Vmag< 11&dec< 0&rah >=19.75&rah< 20.0
-------------------------------------

Number of objects : 4909

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
34  |CD-39 13478                                                           |Star                                  |19 51 00.1826276328 -39 17 43.472026680|000.6232832316032 -27.7609116735984| -4.121 -13.279   |10.67    |~              |    ~     ~    
35  |CD-41 13659                                                           |Star                                  |19 45 03.0972713040 -41 38 36.787040160|357.7527348530050 -27.2045643277527|  8.434 -29.153   |10.244   |~              |    ~     ~    
36  |CD-41 13668                                                           |Star                                  |19 45 58.6426055040 -41 30 40.526491824|357.9421355988942 -27.3428971818819| 37.714 -19.543   |10.58    |~              |    ~     ~    
37  |CD-42 14450                                                           |Star                                  |19 46 53.2542285312 -41 43 15.212348472|357.7553038472346 -27.5559650534990|  2.654 -17.126   |10.72    |~              |    ~     ~    
38  |CD-41 13683                                                           |Star                                  |19 47 21.9294802176 -41 15 11.776017024|358.2919007991192 -27.5378290705314|   -1.862 3.632   |9.93     |~              |    ~     ~    
39  |CD-41 13686                                                           |Star                                  |19 47 35.8791751368 -41 23 04.574960700|358.1586895626798 -27.6100165753378| -0.769 -13.826   |10.19    |~              |    ~     ~    
40  |CD-40 13491                                                           |Star                                  |19 48 54.1613945088 -40 12 56.640720456|359.5063859792413 -27.5833184429140|   1.002 -9.825   |10.32    |~              |    ~     ~    
41  |CD-41 13704                                                           |Star                                  |19 49 27.7873947912 -41 01 24.645892620|358.6451857025718 -27.8708982907698|  0.896 -11.969   |10.77    |~              |    ~     ~    
42  |CD-41 13711                                                           |Star                                  |19 50 22.4059768464 -41 25 20.578005840|358.2473884106293 -28.1259048427901| 10.917 -12.155   |10.664   |~              |    ~     ~    
43  |CD-40 13503                                                           |Star                                  |19 50 32.6462359440 -40 26 21.236260704|359.3415202251472 -27.9390348207081|   -3.987 2.608   |9.998    |~              |    ~     ~    
44  |CD-41 13727                                                           |Star                                  |19 51 47.5752865344 -41 23 24.788209308|358.3483968581286 -28.3788140096378|  -4.531 17.588   |10.626   |~              |    ~     ~    
45  |CD-40 13515                                                           |Star                                  |19 52 09.9595641504 -40 29 56.943992364|359.3536434109702 -28.2530831795394|-10.820 -18.087   |10.881   |~              |    ~     ~    
46  |CD-39 13447                                                           |Star                                  |19 47 46.6189064328 -39 03 23.131517400|000.7157785215069 -27.0966318206440|   9.303 -0.011   |10.155   |~              |    ~     ~    
47  |CD-39 13448                                                           |Star                                  |19 47 58.1183110200 -39 14 17.918424276|000.5277105754431 -27.1769550906789| -6.463 -20.502   |10.04    |~              |    ~     ~    
48  |CD-39 13459                                                           |Star                                  |19 48 58.8529161336 -39 13 48.839862936|000.5897567268015 -27.3652224707053|  6.731 -11.724   |10.473   |~              |    ~     ~    
49  |CD-39 13474                                                           |Star                                  |19 50 33.2919022368 -39 02 48.666185880|000.8727937060395 -27.6176878354674|  -3.007 -6.204   |10.37    |~              |    ~     ~    
50  |CD-39 13479                                                           |Star                                  |19 51 00.2736 -39 24 27.439            |000.5000761 -27.7875221            |    -4.50 13.20   |10.87    |~              |    ~     ~    
51  |CD-39 13483                                                           |Star                                  |19 51 50.5801344000 -39 03 37.853868924|000.9246875433946 -27.8638909247747|  0.985 -11.312   |10.47    |~              |    ~     ~    
52  |CD-41 13658                                                           |Star                                  |19 45 01.4016269256 -41 24 35.263799568|358.0070827272900 -27.1456472633764|   9.072 -3.516   |10.630   |~              |    ~     ~    
53  |CD-40 13458                                                           |Star                                  |19 45 04.8886544328 -40 10 21.621455976|359.3592380029803 -26.8641396168124|   0.837 -1.127   |9.91     |~              |    ~     ~    
54  |CD-40 13460                                                           |Star                                  |19 45 14.3014341168 -40 26 32.341599348|359.0737347242201 -26.9578868074555|-12.765 -27.374   |10.90    |~              |    ~     ~    
55  |CD-41 13664                                                           |Star                                  |19 45 19.0571400288 -41 00 53.532290556|358.4531219717580 -27.1077064260283|   6.753 -3.410   |10.50    |~              |    ~     ~    
56  |CD-40 13482                                                           |Double or Multiple Star               |19 48 02.1417273384 -40 15 49.502654424|359.4103080253151 -27.4335880955251| -7.966 -11.551   |10.223   |~              |    ~     ~    
57  |CD-40 13505                                                           |Star                                  |19 50 41.4334614288 -40 21 21.980333052|359.4403197389979 -27.9473777049803|  14.053 -7.823   |10.342   |~              |    ~     ~    
58  |CD-41 13716                                                           |Star                                  |19 50 54.5373505872 -41 24 59.988510684|358.2784658771520 -28.2226592330860|   3.859 -1.763   |10.66    |MIII           |    ~     ~    
59  |CD-40 13511                                                           |Star                                  |19 51 26.5642003368 -40 11 51.169352028|359.6520164438457 -28.0512263832729|-12.890 -13.814   |10.08    |~              |    ~     ~    
60  |CD-40 13476                                                           |Star                                  |19 46 59.7583676760 -39 56 31.849655316|359.7090968270084 -27.1644418814092|    0.597 0.676   |10.06    |~              |    ~     ~    
61  |CD-40 13498                                                           |Star                                  |19 49 47.5288586424 -39 57 44.377593336|359.8291788267220 -27.6899930135557|  -6.626 -6.791   |9.86     |~              |    ~     ~    
62  |TYC 7933-1662-1                                                       |Star                                  |19 48 38.5537083336 -38 57 59.206688856|000.8599482947759 -27.2377579341698| -5.431 -17.165   |10.86    |~              |    ~     ~    
63  |TYC 7934-778-1                                                        |Star                                  |19 52 02.9236914192 -38 45 50.865706836|001.2610971050970 -27.8327451563956|  3.886 -20.617   |10.51    |~              |    ~     ~    
64  |TYC 7937-1419-1                                                       |Star                                  |19 45 16.4007332784 -40 29 07.492809912|359.0285551664946 -26.9746268105583| -6.376 -22.119   |10.914   |~              |    ~     ~    
65  |TYC 7937-1748-1                                                       |Star                                  |19 47 26.9582864904 -40 38 25.828237824|358.9682621187149 -27.4127645196091|    5.752 4.657   |10.911   |~              |    ~     ~    
66  |TYC 7937-2397-1                                                       |Star                                  |19 45 52.2734623992 -40 53 39.354995148|358.6123374152749 -27.1811768990962|   3.273 -5.755   |10.443   |~              |    ~     ~    
67  |TYC 7938-588-1                                                        |Star                                  |19 51 54.7734260064 -41 00 42.740828064|358.7736725236901 -28.3190230974173| -6.589 -10.754   |10.673   |~              |    ~     ~    
