C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:48:06

Vmag< 11&dec< 0&rah >=19.75&rah< 20.0
-------------------------------------

Number of objects : 4909

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1466|HD 187450                                                             |Star                                  |19 50 31.8708327336 -13 49 07.239264780|026.8729639759961 -19.2254532573653| 17.906 -30.182   |9.80     |G1V            |    ~     ~    
1467|BD-14 5576                                                            |High Proper Motion Star               |19 52 27.3990064824 -13 44 23.485507116|027.1530620377665 -19.6191567272862|102.336 -14.923   |10.05    |G5             |    ~     ~    
1468|BD-14 5534                                                            |Rotating Variable                     |19 45 35.9616413496 -14 27 54.392957316|025.7313027093061 -18.4011512790774|  6.617 -27.136   |9.774    |G6V            |    ~     ~    
1469|HD 186576                                                             |Star                                  |19 45 45.2548264176 -14 02 44.418564348|026.1502984780217 -18.2627832669031|  7.016 -12.781   |9.525    |K0/1IV         |    ~     ~    
1470|HD 186645                                                             |Star                                  |19 46 09.0229720560 -13 54 58.752773388|026.3161481349465 -18.2969456438621|  13.942 10.291   |9.39     |K1III          |    ~     ~    
1471|BD-14 5548                                                            |Star                                  |19 47 33.6574531872 -13 53 59.569028772|026.4808215023605 -18.6019728661814|   3.453 -9.934   |10.17    |G5             |    ~     ~    
1472|HD 186967                                                             |Star                                  |19 48 01.7768345088 -14 34 02.628059268|025.8871552440493 -18.9796047229443|   2.849 -8.039   |8.52     |B9IV/V         |    ~     ~    
1473|HD 187151                                                             |Star                                  |19 48 59.9916380736 -14 23 12.049016388|026.1632541558554 -19.1199892763072| -8.763 -38.856   |8.62     |F7V            |    ~     ~    
1474|HD 187196                                                             |Star                                  |19 49 14.8364105088 -14 35 39.112838088|025.9886359613029 -19.2594624272407|  5.998 -12.952   |8.60     |K0III          |    ~     ~    
1475|HD 187439                                                             |Star                                  |19 50 26.6386602672 -13 55 26.039188596|026.7621612611884 -19.2494373545129|  7.573 -10.700   |7.37     |B5/7III        |    ~     ~    
1476|HD 187451                                                             |Variable Star                         |19 50 33.0271709280 -14 06 38.223923508|026.5930000774366 -19.3496416815563|   26.800 1.259   |8.44     |K2IIICNII      |    ~     ~    
1477|HD 187514                                                             |Star                                  |19 50 50.5719183936 -14 35 17.529847728|026.1613774965455 -19.6094925409232|-24.412 -11.464   |9.31     |K2III          |    ~     ~    
1478|HD 187558                                                             |Spectroscopic Binary                  |19 51 07.8466980360 -14 36 10.469604060|026.1772457269264 -19.6790970352727|-13.125 -34.627   |9.12     |K0/1IV         |    ~     ~    
1479|HD 186499                                                             |Double or Multiple Star               |19 45 12.9398020992 -15 06 36.415314576|025.0706723155731 -18.5803211338205|   -1.161 9.135   |8.45     |K1IIICNII      |0.0033  0.0    
1480|HD 186733                                                             |Star                                  |19 46 44.0090280984 -14 52 55.732588500|025.4481998416926 -18.8220658383123|  6.637 -16.330   |9.36     |G8IV           |    ~     ~    
1481|HD 186734                                                             |Star                                  |19 46 44.0509227816 -15 03 03.145662648|025.2854499239166 -18.8909696985821|  8.127 -12.391   |9.27     |F0/2V          |    ~     ~    
1482|BD-15 5466                                                            |High Proper Motion Star               |19 47 27.7097054976 -14 59 55.788061560|025.4113239304387 -19.0302712327885|  62.069 -3.594   |9.91     |G0             |    ~     ~    
1483|HD 187411                                                             |Star                                  |19 50 22.5837141144 -14 56 12.267497760|025.7746272121746 -19.6482071698391| -0.990 -10.378   |8.19     |A7V            |    ~     ~    
1484|HD 187664                                                             |Star                                  |19 51 41.8407622416 -14 46 36.718642596|026.0675727956304 -19.8750118851102|    8.445 0.362   |6.87     |A3III          |    ~     ~    
1485|BD-15 5456                                                            |Star                                  |19 45 22.3081776120 -15 10 00.630081912|025.0322029644503 -18.6378405880149| 15.947 -23.043   |10.01    |~              |    ~     ~    
1486|BD-14 5536                                                            |Star                                  |19 45 51.0725665176 -14 14 46.503083256|025.9679721256720 -18.3668224604262|  -0.265 -8.718   |10.36    |~              |    ~     ~    
1487|BD-13 5469                                                            |Star                                  |19 46 19.4374665312 -13 17 36.802651488|026.9311477950134 -18.0773173532902|  27.600 -8.338   |10.10    |~              |    ~     ~    
1488|BD-14 5540                                                            |Star                                  |19 46 22.6446305472 -14 27 44.476760376|025.8154335058523 -18.5717854729517|  -2.197 -8.152   |9.86     |~              |    ~     ~    
1489|BD-13 5470                                                            |Star                                  |19 46 46.6349164104 -13 05 16.947974256|027.1760345290861 -18.0921191730207|  -7.099 -9.515   |9.59     |~              |    ~     ~    
1490|BD-14 5549                                                            |Star                                  |19 47 40.2686185080 -14 31 48.775589112|025.8855162042135 -18.8852408356634|    1.048 1.263   |10.31    |~              |    ~     ~    
1491|BD-15 5469                                                            |Star                                  |19 48 03.1766054280 -14 49 59.867347260|025.6328057224115 -19.0932859678429|   -2.072 8.875   |10.02    |~              |    ~     ~    
1492|BD-15 5475                                                            |Star                                  |19 49 36.2195035320 -14 49 30.404449560|025.8023577567330 -19.4322516607331| -5.477 -10.693   |10.34    |~              |    ~     ~    
1493|BD-12 5546                                                            |Star                                  |19 50 12.9450440304 -12 35 04.270962300|028.0266110558618 -18.6438253105527|  10.830 -2.559   |9.57     |~              |    ~     ~    
1494|BD-15 5453                                                            |Star                                  |19 45 09.6428828256 -15 08 09.569604516|025.0400416666393 -18.5787543510932|-16.692 -14.798   |9.88     |~              |    ~     ~    
1495|BD-14 5533                                                            |Star                                  |19 45 15.1973754456 -14 03 50.114184660|026.0800433118426 -18.1596368912377|   2.681 -8.260   |10.65    |~              |    ~     ~    
1496|BD-13 5466                                                            |Star                                  |19 45 33.4977584232 -12 40 53.097976164|027.4338392116521 -17.6523600651870|   14.398 1.786   |10.207   |~              |    ~     ~    
1497|TYC 5736-1907-1                                                       |Star                                  |19 45 39.6672799200 -13 25 08.842071756|026.7405770641365 -17.9828551681737| -4.137 -18.859   |10.27    |~              |    ~     ~    
1498|TYC 5736-970-1                                                        |Star                                  |19 45 42.9273375600 -14 33 27.283969044|025.6545602454148 -18.4647087220037|  -4.055 -8.652   |10.675   |~              |    ~     ~    
1499|BD-15 5460                                                            |Star                                  |19 46 20.1201112200 -14 38 26.604167532|025.6393492837916 -18.6355740378574|  -1.295 -9.302   |9.7      |~              |    ~     ~    
1500|TYC 5736-1326-1                                                       |Spectroscopic Binary                  |19 46 35.9560018608 -13 43 51.103854048|026.5414660326929 -18.3195457251328|-35.592 -18.893   |10.75    |~              |    ~     ~    
1501|BD-14 5543                                                            |Star                                  |19 46 40.8684896808 -14 33 30.361029768|025.7547402169566 -18.6782140399046|-10.541 -14.994   |10.67    |~              |    ~     ~    
1502|BD-14 5544                                                            |Star                                  |19 46 47.4973539168 -13 41 32.432440776|026.5987681460016 -18.3461486083322|-13.550 -23.728   |10.68    |~              |    ~     ~    
1503|BD-13 5471                                                            |Star                                  |19 46 49.9956858312 -13 09 21.974154588|027.1169001822577 -18.1328577122340|  -2.822 -5.992   |10.42    |~              |    ~     ~    
1504|BD-14 5546                                                            |Star                                  |19 47 10.5635848344 -14 11 08.125161972|026.1655166211878 -18.6345370483394| -3.791 -11.803   |10.50    |~              |    ~     ~    
1505|BD-13 5472                                                            |Star                                  |19 47 16.7120468544 -13 37 47.231492772|026.7103517789345 -18.4279552433058|   5.935 -7.394   |10.18    |~              |    ~     ~    
1506|TYC 5737-820-1                                                        |Star                                  |19 47 29.3008972440 -13 38 22.887833892|026.7230772638680 -18.4784613717961|   5.626 -5.057   |10.80    |~              |    ~     ~    
1507|BD-13 5476                                                            |Star                                  |19 47 34.1473217016 -13 19 32.313870084|027.0329099713911 -18.3661998133940| -1.142 -13.056   |10.91    |~              |    ~     ~    
1508|BD-14 5553                                                            |Star                                  |19 48 00.8002841544 -14 15 53.359649064|026.1772356885331 -18.8520765693904|  -5.313 -6.546   |10.21    |~              |    ~     ~    
1509|BD-14 5554                                                            |Star                                  |19 48 01.5848045568 -14 13 10.164013572|026.2222883776451 -18.8363587073963|-14.297 -20.434   |10.25    |~              |    ~     ~    
1510|BD-15 5468                                                            |Star                                  |19 48 01.9879242768 -15 03 35.977356828|025.4115518262854 -19.1811634414645| -5.294 -19.605   |9.78     |~              |    ~     ~    
1511|PPM 721105                                                            |Star                                  |19 48 05.7785758008 -14 09 31.481089308|026.2881576041436 -18.8268565737423|  -0.718 -0.041   |9.9      |~              |    ~     ~    
1512|TYC 5737-17-1                                                         |Star                                  |19 48 14.8461977160 -14 54 42.014231496|025.5772980812562 -19.1681244587507|    3.731 1.543   |10.99    |~              |    ~     ~    
1513|BD-13 5483                                                            |Star                                  |19 48 26.6237313384 -13 22 10.144689636|027.0839009794809 -18.5779630033898| 19.128 -39.342   |10.73    |~              |    ~     ~    
1514|BD-13 5487                                                            |Star                                  |19 48 52.9990700976 -13 28 27.844325220|027.0298501845824 -18.7187159069968|  -7.164 -0.811   |10.51    |~              |    ~     ~    
1515|BD-13 5488                                                            |Star                                  |19 48 55.4006058264 -13 04 31.693633248|027.4171915737155 -18.5620791669449| -7.247 -12.805   |10.602   |~              |    ~     ~    
1516|BD-13 5490                                                            |Star                                  |19 49 05.6040924048 -13 33 12.243577932|026.9762003109315 -18.7978874046752|    1.901 2.666   |10.73    |~              |    ~     ~    
1517|2MASS J19490716-1407542                                               |Young Stellar Object Candidate        |19 49 07.1669267448 -14 07 54.259272480|026.4218790485084 -19.0419127719608|  2.663 -20.200   |10.63    |~              |    ~     ~    
1518|BD-15 5474                                                            |Star                                  |19 49 16.0197232032 -14 44 39.736599324|025.8454168460877 -19.3250521775895| -3.634 -19.670   |9.72     |~              |    ~     ~    
1519|TYC 5737-1-1                                                          |Star                                  |19 49 18.7108759704 -14 51 42.234070716|025.7364764397580 -19.3827272385124| 33.769 -15.691   |10.64    |~              |    ~     ~    
1520|TYC 6312-1380-1                                                       |Star                                  |19 49 26.3100233208 -15 01 50.378096784|025.5859753330921 -19.4793140470365|  -0.807 -4.149   |10.87    |~              |    ~     ~    
1521|PPM 721137                                                            |Star                                  |19 49 45.5436295752 -14 08 56.650040628|026.4724948080808 -19.1904257439060|   8.956 -0.704   |9.8      |~              |    ~     ~    
1522|BD-14 5563                                                            |Star                                  |19 49 53.4964635192 -13 43 20.154530352|026.8982475571713 -19.0442294687300|  -6.806 -1.606   |10.29    |~              |    ~     ~    
1523|BD-13 5494                                                            |Star                                  |19 50 03.5243406912 -13 13 29.355358188|027.3949257023866 -18.8755450347951|  -2.204 -0.385   |10.75    |~              |    ~     ~    
1524|BD-13 5495                                                            |Star                                  |19 50 07.8682897248 -13 22 50.640698820|027.2526347326508 -18.9561679303209|  4.022 -14.170   |10.55    |~              |    ~     ~    
1525|BD-14 5564                                                            |Star                                  |19 50 19.0441209720 -14 37 14.794765464|026.0748367640899 -19.5066778279437| -9.745 -21.512   |10.90    |~              |    ~     ~    
1526|BD-14 5570                                                            |Double or Multiple Star               |19 50 54.7255763712 -14 24 22.154948496|026.3450471573077 -19.5505303093200|    3.359 2.279   |10.642   |~              |    ~     ~    
1527|BD-14 5572                                                            |Star                                  |19 51 25.9673491080 -14 17 26.109378852|026.5116957189442 -19.6184215805674|  -6.911 11.423   |10.16    |~              |    ~     ~    
1528|BD-14 5573                                                            |Star                                  |19 51 37.2894254016 -14 32 06.831936672|026.2942806001494 -19.7599676409721|   1.644 -4.173   |10.14    |~              |    ~     ~    
1529|BD-14 5574                                                            |Star                                  |19 51 41.4227195352 -14 13 57.942912468|026.5948165485574 -19.6517386555613|    7.093 6.978   |10.29    |~              |    ~     ~    
1530|BD-14 5575                                                            |Pulsating Variable                    |19 51 43.4084280432 -14 06 54.460396908|026.7122583781132 -19.6109176756335|   10.389 6.095   |10.96    |~              |    ~     ~    
1531|BD-15 5485                                                            |Spectroscopic Binary                  |19 51 51.1055813832 -14 38 01.630211028|026.2227073690334 -19.8509750692184|  -3.871 -4.580   |10.33    |~              |    ~     ~    
1532|HD 187152                                                             |Star                                  |19 48 57.3840361992 -15 05 09.442802868|025.4822989391015 -19.3953799728726| -1.646 -13.850   |8.75     |K3III          |    ~     ~    
1533|BD-15 5477                                                            |Star                                  |19 50 00.2688815928 -15 02 37.481533620|025.6321063184756 -19.6095236663613|    5.671 4.755   |10.16    |~              |    ~     ~    
1534|BD-15 5470                                                            |Star                                  |19 48 12.3011555784 -15 05 15.722400984|025.4025918271523 -19.2303342370482|   -3.140 0.003   |10.64    |~              |    ~     ~    
1535|TYC 5732-441-1                                                        |Star                                  |19 45 24.8147523456 -12 54 52.951011732|027.1959414094063 -17.7179169329672|   8.341 -3.711   |10.497   |~              |    ~     ~    
1536|TYC 5733-74-1                                                         |Star                                  |19 47 42.1929192360 -12 48 19.228783860|027.5454140851285 -18.1792734742574|  11.917 -4.384   |10.86    |~              |    ~     ~    
1537|TYC 5733-372-1                                                        |High Proper Motion Star               |19 49 05.3224990968 -12 44 36.264454260|027.7532425717787 -18.4603774041442|-13.445 -62.511   |10.92    |~              |    ~     ~    
1538|TYC 5733-774-1                                                        |Star                                  |19 48 37.6648302552 -12 47 38.797239876|027.6552415322623 -18.3794011436947|  -1.497 -0.917   |10.98    |~              |    ~     ~    
1539|TYC 5733-1008-1                                                       |High Proper Motion Star               |19 47 53.5257385464 -12 52 40.273790664|027.4962693211656 -18.2513736915021|  21.410 45.624   |10.9     |~              |    ~     ~    
1540|TYC 5736-1732-1                                                       |Star                                  |19 45 05.1637070760 -14 12 50.019371172|025.9186432871358 -18.1845244256047|  8.267 -42.171   |10.77    |~              |    ~     ~    
1541|TYC 5737-1087-1                                                       |Star                                  |19 47 26.2801618152 -13 28 39.418763304|026.8732518738638 -18.4002194219916|    7.244 2.763   |10.47    |~              |    ~     ~    
1542|TYC 5737-1351-1                                                       |Star                                  |19 48 25.4453677776 -13 51 31.307144112|026.6115997819428 -18.7758471387835|    3.760 0.132   |10.31    |~              |    ~     ~    
1543|TYC 5737-1564-1                                                       |Star                                  |19 52 10.8215410056 -13 36 06.383551896|027.2572976229833 -19.5011546196544| 16.026 -18.616   |10.81    |~              |    ~     ~    
1544|TYC 5737-1628-1                                                       |High Proper Motion Star               |19 48 03.4427369184 -13 45 42.641283384|026.6659797158438 -18.6547959583378|-40.273 -50.628   |10.25    |~              |    ~     ~    
1545|TYC 5737-1629-1                                                       |Star                                  |19 51 24.1778069880 -13 10 41.874867300|027.5831656938695 -19.1539962577287|   3.620 -3.248   |10.47    |~              |    ~     ~    
1546|TYC 5737-1688-1                                                       |Star                                  |19 51 08.3197302600 -13 14 07.955639340|027.4998061858347 -19.1191686292554|   2.707 -7.121   |10.79    |~              |    ~     ~    
1547|TYC 6312-1335-1                                                       |Star                                  |19 45 22.4661852240 -15 05 10.517030196|025.1101395585978 -18.6055932286303| 29.072 -26.754   |10.43    |~              |    ~     ~    
1548|HD 187868                                                             |Star                                  |19 52 40.9950706968 -13 17 50.440709616|027.6049853297341 -19.4868955011549|   5.180 -4.760   |9.58     |B7/8II         |    ~     ~    
1549|HD 188085                                                             |Star                                  |19 53 52.1263080648 -12 47 54.058467408|028.2137409811036 -19.5428410151821|  24.611 -3.040   |8.87     |A5IV           |    ~     ~    
1550|HD 188131                                                             |Star                                  |19 54 07.7134942248 -12 41 32.780927832|028.3439046890555 -19.5564164497256|   0.929 -3.766   |9.32     |A4IV-V         |    ~     ~    
1551|HD 188295                                                             |Star                                  |19 54 56.0523542664 -13 33 01.096574400|027.5999296409235 -20.0898657599298|  15.474 -6.950   |8.36     |A5IV/V         |    ~     ~    
1552|HD 188108                                                             |High Proper Motion Star               |19 54 02.2818127944 -13 51 10.308472704|027.2111023063806 -20.0156388976643| 27.280 -42.530   |8.78     |K0IV           |    ~     ~    
1553|HD 188219                                                             |Star                                  |19 54 40.8954431952 -13 50 27.543356556|027.2908198485973 -20.1532564580503|   2.205 -3.468   |9.46     |G8/K0III       |    ~     ~    
1554|HD 188336                                                             |Star                                  |19 55 05.2553396472 -13 47 00.186872388|027.3898420189375 -20.2195499525866|  -2.368 -6.269   |8.29     |A3/5IV         |    ~     ~    
1555|HD 188027                                                             |Star                                  |19 53 42.6891482448 -14 10 26.921244360|026.8645468931188 -20.0748407375267|  9.716 -11.141   |8.40     |F5V            |    ~     ~    
1556|HD 188337                                                             |High Proper Motion Star               |19 55 06.9840100896 -14 16 12.205171380|026.9192271880604 -20.4248162502908|-11.060 -56.040   |9.00     |F6V            |    ~     ~    
1557|HD 187906                                                             |High Proper Motion Star               |19 52 59.2463829000 -14 52 31.521996912|026.1062683732251 -20.1999765201822| 28.368 -51.473   |9.62     |G6IV           |    ~     ~    
1558|V* V505 Sgr                                                           |Eclipsing Binary                      |19 53 06.3860220576 -14 36 11.488005972|026.3837599820942 -20.1158306051407| -5.922 -51.119   |6.48     |A2IV-V         |0.0050  0.0    
1559|BD-14 5577                                                            |Star                                  |19 52 35.7378879744 -13 37 53.686110828|027.2725733092817 -19.6053756531161|  -11.212 4.186   |9.66     |~              |    ~     ~    
1560|BD-14 5579                                                            |High Proper Motion Star               |19 53 05.1016710744 -13 43 18.055186068|027.2372912795153 -19.7507965492073|-19.627 -64.315   |10.19    |~              |    ~     ~    
1561|BD-12 5572                                                            |High Proper Motion Star               |19 53 41.1340912752 -12 26 45.780672732|028.5336749923618 -19.3554828054293| 35.126 -66.902   |9.78     |~              |    ~     ~    
1562|BD-13 5508                                                            |Star                                  |19 54 35.4362939952 -13 13 34.143416508|027.8775365371988 -19.8801151194114|   13.534 6.066   |10.19    |~              |    ~     ~    
1563|BD-12 5576                                                            |Star                                  |19 54 40.3326881496 -12 28 17.782377348|028.6156174894298 -19.5850353152794| 22.047 -32.864   |10.42    |~              |    ~     ~    
1564|BD-13 5509                                                            |Star                                  |19 54 47.5752465000 -13 17 23.117586396|027.8375435612647 -19.9512157036095|  1.573 -11.498   |10.90    |~              |    ~     ~    
1565|TYC 5737-1695-1                                                       |Star                                  |19 53 01.5698851296 -14 07 03.153959724|026.8472630672048 -19.9000815071332|   -0.128 2.256   |10.784   |~              |    ~     ~    
1566|BD-13 5503                                                            |Star                                  |19 53 06.2974372200 -12 58 32.490069348|027.9606067424703 -19.4471373988821|  -2.419 41.112   |10.76    |~              |    ~     ~    
1567|BD-15 5499                                                            |Star                                  |19 53 31.3630283760 -14 45 13.478778684|026.2806959068049 -20.2689478684866|  4.098 -13.832   |10.52    |~              |    ~     ~    
1568|BD-14 5580                                                            |Star                                  |19 53 37.1494219248 -14 19 20.569213596|026.7107206886831 -20.1149033524201|  -9.954 -5.712   |10.66    |~              |    ~     ~    
1569|BD-13 5510                                                            |Star                                  |19 54 51.2065194024 -12 49 38.601940404|028.2915532109738 -19.7732579443511|   -5.688 5.653   |10.67    |~              |    ~     ~    
1570|TYC 5750-153-1                                                        |Star                                  |19 55 02.7626140488 -14 47 02.441871780|026.4103233333115 -20.6179044364303|   22.281 6.330   |10.85    |~              |    ~     ~    
1571|BD-13 5514                                                            |Star                                  |19 55 05.0122005624 -13 24 11.590164216|027.7585582262322 -20.0624052653796| 16.537 -26.331   |10.24    |~              |    ~     ~    
1572|BD-14 5587                                                            |Star                                  |19 55 08.6652678024 -14 29 12.911768556|026.7107055787609 -20.5192259190978|  10.534 -0.543   |10.72    |~              |    ~     ~    
1573|HD 188447                                                             |Star                                  |19 55 39.5437511928 -12 26 29.714647272|028.7512736903551 -19.7914876094888|  25.987 -7.843   |9.86     |F3V            |    ~     ~    
1574|HD 188488                                                             |Star                                  |19 55 53.4700150824 -12 27 56.714639616|028.7530245537511 -19.8530648721124|    5.396 5.130   |9.83     |A1IV           |    ~     ~    
1575|HD 188655                                                             |Star                                  |19 56 42.9115657800 -12 27 02.703462624|028.8566820039267 -20.0296822855073|    2.123 5.785   |10.24    |A0IV           |    ~     ~    
1576|HD 188735                                                             |Star                                  |19 57 06.4409011272 -12 33 54.501486444|028.7883435616719 -20.1643178631140|   3.530 -2.122   |9.08     |K0III          |    ~     ~    
1577|HD 188807                                                             |High Proper Motion Star               |19 57 19.6424930642 -12 34 04.762586795|028.8093663185855 -20.2143309230432|-93.774 -514.943  |9.285    |K7V            |    ~     ~    
1578|HD 188406                                                             |Star                                  |19 55 32.9095540272 -13 33 46.265342328|027.6531320761740 -20.2311156906235|  19.306 -4.455   |9.34     |F3V            |    ~     ~    
1579|ADS 13115 AB                                                          |Double or Multiple Star               |19 55 39.748 -13 04 30.95              |028.138470 -20.055355              |      10.2 -5.0   |9.2      |F2V            |    ~     ~    
1580|HD 188576B                                                            |Star                                  |19 56 16.4640982584 -13 20 42.873690948|027.9419699633106 -20.3024433975611|  1.760 -12.365   |9.27     |K2/4           |    ~     ~    
1581|HD 188576                                                             |Star                                  |19 56 16.9147632912 -13 20 53.214495792|027.9399815515378 -20.3052914424284|  1.277 -11.709   |9.84     |B9/A0V         |    ~     ~    
1582|HD 188808                                                             |Star                                  |19 57 24.1852715256 -12 37 15.311848872|028.7662396414470 -20.2531307244655|   16.330 0.697   |10.25    |G8IV/V         |    ~     ~    
1583|HD 188882                                                             |Star                                  |19 57 47.0976549888 -12 43 39.897268788|028.7038309775294 -20.3822146680205|-18.305 -20.467   |9.56     |K3III          |    ~     ~    
1584|HD 189050                                                             |Star                                  |19 58 36.9979178064 -12 52 02.330115024|028.6578928156147 -20.6245689245118|   7.450 -0.342   |10.38    |A5II/III       |    ~     ~    
1585|BD-13 5536                                                            |Star                                  |19 58 54.5637118520 -13 20 06.249436012|028.2336545749017 -20.8824402539383|   1.002 -5.320   |10.165   |K7             |    ~     ~    
1586|BD-13 5537                                                            |Star                                  |19 58 56.6335585488 -13 17 57.006080520|028.2723730819403 -20.8753268395410|   33.760 1.386   |9.51     |K7             |    ~     ~    
1587|HD 189115                                                             |Star                                  |19 58 53.4999536088 -13 47 21.275223072|027.7880969329444 -21.0646640386406|  -8.920 -5.810   |9.50     |K1/2(III)      |    ~     ~    
1588|BD-14 5590                                                            |Star                                  |19 55 55.4531056464 -14 25 30.648356616|026.8528839258498 -20.6666529153469| 13.247 -11.539   |9.95     |F5             |    ~     ~    
1589|BD-14 5593                                                            |Star                                  |19 56 17.8111007136 -14 01 17.173134732|027.2861816627681 -20.5847177701509|  -0.167 -1.733   |9.65     |K5             |    ~     ~    
1590|HD 188959                                                             |High Proper Motion Star               |19 58 17.6923789008 -14 19 12.397245708|027.2051967973571 -21.1486597530044|-40.571 -52.863   |8.84     |F6/7V          |    ~     ~    
1591|HD 189002                                                             |High Proper Motion Star               |19 58 25.5869702184 -14 00 42.514191828|027.5209958791746 -21.0524157325213|  8.195 -55.573   |9.52     |F6V            |    ~     ~    
1592|BD-14 5588                                                            |Star                                  |19 55 22.9146251448 -14 27 21.815905572|026.7657560873241 -20.5592229121714|    5.559 4.104   |10.21    |~              |    ~     ~    
1593|BD-14 5596                                                            |Star                                  |19 56 53.7069314520 -14 03 22.205458584|027.3155697051916 -20.7313592214243|   4.520 -0.206   |10.22    |~              |    ~     ~    
1594|BD-14 5599                                                            |Star                                  |19 57 45.9457710888 -14 29 48.025787712|026.9764803948754 -21.1031325679449|  15.702 20.352   |10.00    |~              |    ~     ~    
1595|BD-14 5600                                                            |Star                                  |19 57 54.5768940120 -14 25 03.070653708|027.0691725979886 -21.1028922101616|   6.830 -0.463   |10.46    |~              |    ~     ~    
1596|BD-14 5608                                                            |Spectroscopic Binary                  |19 59 02.6744725656 -13 45 06.688296432|027.8409247170750 -21.0832712064646|   6.824 -6.211   |9.81     |~              |    ~     ~    
1597|BD-12 5604                                                            |Star                                  |19 59 05.6120678304 -12 27 54.291910752|029.1004190714286 -20.5635606401926|  -9.917 -0.531   |10.44    |~              |    ~     ~    
1598|BD-13 5516                                                            |Star                                  |19 55 24.1686 -12 38 45.228            |028.5261638 -19.8197016            |  27.784 -7.799   |10.27    |~              |    ~     ~    
1599|TYC 5746-124-1                                                        |Star                                  |19 55 40.5281578128 -12 38 59.378126748|028.5517677930767 -19.8818236920669|   0.177 -7.355   |10.66    |~              |    ~     ~    
1600|BD-14 5589                                                            |Star                                  |19 55 44.7052469472 -13 40 36.017921064|027.5634079570785 -20.3214100954298|   1.884 -7.726   |10.87    |~              |    ~     ~    
1601|BD-13 5520                                                            |Star                                  |19 56 11.5345813224 -12 55 13.836705744|028.3453359776469 -20.1087849443283|   9.413 -4.435   |10.08    |~              |    ~     ~    
1602|BD-15 5509                                                            |Star                                  |19 56 27.2616233664 -14 40 16.084943184|026.6680341536710 -20.8836333519781|  5.737 -41.243   |10.65    |~              |    ~     ~    
1603|BD-14 5594                                                            |Star                                  |19 56 32.9479931736 -14 33 42.341382288|026.7849992892275 -20.8603123104444|  20.057 -7.664   |10.84    |~              |    ~     ~    
1604|BD-13 5523                                                            |Star                                  |19 56 33.3816420384 -12 50 30.338460024|028.4608340161925 -20.1569163287071|  11.458 -4.339   |10.74    |~              |    ~     ~    
1605|BD-14 5595                                                            |Star                                  |19 56 53.7678657312 -14 35 27.300506604|026.7928648056334 -20.9488835641743|  8.650 -16.581   |10.87    |~              |    ~     ~    
1606|BD-12 5588                                                            |Star                                  |19 56 57.5222490720 -12 32 57.223830228|028.7876874238436 -20.1247144368497|  -1.257 -5.251   |10.28    |~              |    ~     ~    
1607|BD-13 5525                                                            |Star                                  |19 57 06.9249055368 -12 42 39.168636048|028.6479614672493 -20.2266543521782|  -1.903 -4.821   |10.73    |~              |    ~     ~    
1608|TYC 5746-653-1                                                        |Star                                  |19 57 15.0396175776 -12 19 16.186550268|029.0401047565272 -20.0945210384393|   2.237 -4.368   |10.97    |~              |    ~     ~    
1609|BD-14 5597                                                            |Star                                  |19 57 28.0651192128 -13 45 46.034801892|027.6625988499234 -20.7383362304659|   2.584 -2.225   |10.96    |~              |    ~     ~    
1610|BD-15 5514                                                            |Star                                  |19 57 32.0775543624 -14 39 37.721941524|026.7916514962494 -21.1182727848242| -0.175 -14.584   |10.60    |~              |    ~     ~    
1611|PPM 721290                                                            |Star                                  |19 57 37.2545901624 -13 35 48.927113448|027.8406643694645 -20.7043238956894|   -1.839 1.652   |9.7      |~              |    ~     ~    
1612|TYC 5746-605-1                                                        |Star                                  |19 57 47.7182213808 -12 42 05.803321572|028.7303169970706 -20.3736668595530|  -1.644 -6.291   |10.90    |~              |    ~     ~    
1613|BD-12 5598                                                            |Star                                  |19 57 52.9791325032 -12 30 40.094587728|028.9245834915271 -20.3140007923065|  -2.160 -3.111   |10.43    |~              |    ~     ~    
1614|BD-13 5531                                                            |Star                                  |19 58 07.6106094072 -13 16 15.959666820|028.2122336102388 -20.6825936064547| -1.167 -11.871   |10.53    |~              |    ~     ~    
1615|BD-13 5532                                                            |Star                                  |19 58 31.8582822768 -13 08 57.355891224|028.3742309944249 -20.7220206489358|  23.725 -9.704   |10.55    |~              |    ~     ~    
1616|BD-15 5521                                                            |Star                                  |19 58 42.5359156488 -14 43 13.713472128|026.8558037210483 -21.4022968230257|    3.849 0.950   |10.98    |~              |    ~     ~    
1617|BD-13 5534                                                            |Star                                  |19 58 44.7191712816 -13 02 30.966014436|028.5017876198191 -20.7252884122043|    7.449 1.279   |10.791   |~              |    ~     ~    
1618|BD-13 5535                                                            |Star                                  |19 58 53.6919855360 -12 46 26.675892480|028.7785880440031 -20.6477075378651|    9.118 2.542   |10.66    |~              |    ~     ~    
1619|BD-14 5609                                                            |Star                                  |19 59 46.7788638624 -14 05 23.213458356|027.5879015651684 -21.3839128482699|    8.636 3.970   |10.31    |~              |    ~     ~    
1620|BD-13 5541                                                            |Star                                  |19 59 48.5384806032 -12 36 01.546541100|029.0463439560855 -20.7786048087941| -11.810 -0.465   |10.48    |~              |    ~     ~    
