C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:17:40

Vmag< 11&dec >=0&rah >=17.5&rah< 17.75
--------------------------------------

Number of objects : 4781

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1   |HD 238744                                                             |High Proper Motion Star        |17 43 58.1765727552 +55 09 35.892328320|083.0756693248602 +31.4512909783064|   8.892 70.710   |9.05     |F8             |    ~     ~    
2   |HD 161785                                                             |Star                           |17 44 19.9570026936 +55 45 09.716745168|083.7726590064043 +31.4321510847085|  -3.114 19.548   |8.96     |F8             |    ~     ~    
3   |TYC 3889-639-1                                                        |Star                           |17 44 53.2581678264 +53 59 28.745199564|081.7202113451891 +31.2429316692008|   2.016 14.479   |10.21    |~              |    ~     ~    
4   |TYC 3893-89-1                                                         |Star                           |17 43 48.3217972248 +55 52 22.776130092|083.9091537931088 +31.5121750616705|   1.493 25.659   |10.93    |~              |    ~     ~    
5   |HD 161582                                                             |High Proper Motion Star        |17 42 51.7011676128 +58 41 06.422453916|087.2052153175538 +31.7295265748962|69.144 -112.323   |8.34     |K0             |    ~     ~    
6   |HD 238743                                                             |Spectroscopic Binary           |17 43 14.4199544184 +58 52 29.871482700|087.4291964793483 +31.6832769928762|  -0.275 -7.962   |9.48     |F8             |    ~     ~    
7   |HD 238747                                                             |Star                           |17 44 04.2091018368 +58 52 25.763323224|087.4298753430087 +31.5760358357736|  -2.415 28.914   |10.05    |F5             |    ~     ~    
8   |HD 238746                                                             |Star                           |17 44 12.8786471064 +57 46 03.432790380|086.1326362026319 +31.5307761819214|  -0.423 -2.326   |9.33     |K5             |    ~     ~    
9   |HD 238748                                                             |High Proper Motion Star        |17 44 25.5268162608 +57 06 30.037229064|085.3609419643635 +31.4801023031986|  7.108 -71.323   |8.76     |G5             |    ~     ~    
10  |HD 161767                                                             |High Proper Motion Star        |17 44 07.5015329280 +56 11 36.645646632|084.2871241125484 +31.4828310253152|-14.770 -58.891   |8.39     |F8             |    ~     ~    
11  |BD+56 2015                                                            |Star                           |17 44 28.6117181760 +56 45 58.745274120|084.9605762805482 +31.4595224359940|  -2.476 -0.005   |10.69    |K0             |    ~     ~    
12  |TYC 3901-214-1                                                        |Star                           |17 43 54.2725486608 +58 21 20.794444992|086.8213781304127 +31.5872073476742|   6.531 -4.065   |10.80    |~              |    ~     ~    
13  |HD 238742                                                             |Star                           |17 43 38.8530186000 +56 17 37.823087292|084.4011872438886 +31.5536138049769| -0.622 -14.736   |10.01    |F5             |    ~     ~    
14  |TYC 3897-135-1                                                        |Star                           |17 42 48.5750503848 +57 03 47.323767852|085.2988715256801 +31.6978888856682|  0.958 -13.300   |10.72    |~              |    ~     ~    
15  |TYC 3897-439-1                                                        |Star                           |17 43 24.3201971136 +57 04 50.695294044|085.3227172812808 +31.6175614295424|  -2.313 -7.788   |10.41    |~              |    ~     ~    
16  |TYC 3897-657-1                                                        |Star                           |17 44 45.8636249856 +58 05 07.320089904|086.5076390300124 +31.4671256553689|  4.060 -13.594   |10.97    |~              |    ~     ~    
17  |TYC 3897-918-1                                                        |Star                           |17 44 47.7810616776 +57 41 09.306797280|086.0397355251737 +31.4505930964499|   3.372 -6.884   |10.95    |~              |    ~     ~    
18  |TYC 3897-1218-1                                                       |High Proper Motion Star        |17 43 32.0926895856 +57 09 18.376249536|085.4106820629253 +31.6025335150233|  32.793 69.647   |10.95    |~              |    ~     ~    
19  |TYC 3901-16-1                                                         |Star                           |17 44 44.0527661928 +58 16 17.189850432|086.7255958022329 +31.4762239182833|   0.433 14.286   |9.83     |~              |    ~     ~    
20  |TYC 3901-98-1                                                         |Star                           |17 43 56.1754413360 +58 15 48.438168516|086.7131454031145 +31.5809130296993| 23.985 -31.275   |10.86    |~              |    ~     ~    
21  |1SWASP J174327.81+582512.7                                            |Spectroscopic Binary           |17 43 27.8168300712 +58 25 12.713577456|086.8955619034342 +31.6463501631597|   1.386 -1.976   |10.71    |~              |    ~     ~    
22  |TYC 3901-1136-1                                                       |High Proper Motion Star        |17 42 34.7573487288 +58 25 49.542688848|086.9050650222997 +31.7622799151896|-44.525 -91.432   |10.35    |~              |    ~     ~    
23  |BD+61 1697                                                            |Star                           |17 43 04.6572408672 +61 47 15.387357624|090.8524141529305 +31.6989886002127|   1.090 -4.487   |9.68     |A5             |    ~     ~    
24  |BD+61 1692                                                            |Star                           |17 40 56.1195799032 +61 03 58.934881008|090.0089778025151 +31.9679084283378|  -3.451 -8.444   |8.92     |K0             |    ~     ~    
25  |HIP 86560                                                             |Star                           |17 41 20.0509637976 +61 36 18.745016436|090.6426740161093 +31.9092390287935|  -4.463 17.426   |9.61     |K              |    ~     ~    
26  |HD 161399                                                             |Spectroscopic Binary           |17 41 17.6724252576 +61 36 20.547553500|090.6433879338060 +31.9139395270856|   -0.582 5.314   |8.42     |K5             |    ~     ~    
