C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:46:34

dec >=0&rah >=22.25&rah< 22.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 6501

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |HD 212352                                                                                                |High Proper Motion Star               |22 22 38.8863099480 +44 37 31.074791592|096.9701307388012 -10.6168391172951| 53.563 -15.141   |8.18     |F5                 |    ~     ~    |    1|  135.419   pc  |  -0.3576     +0.3576  |paral   |2020yCat.1350....0G
23  |BD+43 4186                                                                                               |Star                                  |22 23 23.8163875032 +44 36 18.047458980|097.0724314263518 -10.7066345321312|   11.179 7.769   |9.09     |F0                 |    ~     ~    |    1|  399.792   pc  |  -2.3815     +2.3815  |paral   |2020yCat.1350....0G
24  |BD+43 4188                                                                                               |Star                                  |22 23 34.7896874568 +44 17 09.133521720|096.9231307244859 -10.9919705968523|  2.035 -25.793   |9.02     |A2                 |    ~     ~    |    1|  202.470   pc  |  -0.5329     +0.5329  |paral   |2020yCat.1350....0G
25  |BD+44 4101                                                                                               |Double or Multiple Star               |22 20 45.221808 +44 46 19.76016        |096.766408333 -10.309005936        |       5.0 -6.8   |10.127   |~                  |    ~     ~    |    0|                |                       |        |                   
26  |HD 211338                                                                                                |Star                                  |22 15 29.1929273520 +43 44 53.356769448|095.3882473909735 -10.6271206322708|   19.864 2.088   |7.60     |A0                 |    ~     ~    |    1|  161.249   pc  |  -0.6578     +0.6578  |paral   |2020yCat.1350....0G
27  |BD+43 4169                                                                                               |Star                                  |22 19 44.2292900904 +44 13 50.285117064|096.3075423829519 -10.6590239357255| -11.942 -2.697   |10.60    |M                  |    ~     ~    |    1| 1113.214   pc  | -16.6059    +16.6059  |paral   |2020yCat.1350....0G
28  |BD+43 4171                                                                                               |Star                                  |22 20 05.9921967480 +43 59 41.407155708|096.2290938942661 -10.8911896674564|-18.994 -19.965   |9.19     |K0                 |    ~     ~    |    1|  391.850   pc  |  -1.9654     +1.9654  |paral   |2020yCat.1350....0G
29  |BD+43 4172                                                                                               |Star                                  |22 20 20.9988606720 +43 56 59.690757768|096.2417816268830 -10.9535409701362|  -6.701 28.722   |9.51     |K0                 |    ~     ~    |    1|  467.486   pc  |  -2.4695     +2.4695  |paral   |2020yCat.1350....0G
30  |BD+43 4173                                                                                               |Star                                  |22 20 37.1861709744 +44 04 12.275830200|096.3507758379377 -10.8804757097566|  14.524 -7.814   |9.84     |F8                 |    ~     ~    |    1|  330.000   pc  |  -1.4919     +1.4919  |paral   |2020yCat.1350....0G
31  |BD+43 4175                                                                                               |Star                                  |22 21 02.2754107296 +44 05 39.335241552|096.4280927145282 -10.9019120783962|   18.477 5.157   |10.23    |G0                 |    ~     ~    |    1|  362.503   pc  |  -7.2800     +7.2800  |paral   |2020yCat.1350....0G
