C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:46:34

dec >=0&rah >=22.25&rah< 22.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 6501

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
630 |NGC 7243 373                       NGC 7243 373                                                          |Star                                  |22 15 50.1503992728 +49 54 28.842581412|098.9562728334413 -05.5795286289052| -13.511 -1.989   |10.52    |G2                 |    ~     ~    |    1|  175.414   pc  |  -0.3815     +0.3815  |paral   |2020yCat.1350....0G
631 |NGC 7243 374                       NGC 7243 374                                                          |Star                                  |22 15 51.4769931816 +49 57 14.016011328|098.9851151198112 -05.5435604655359|   -0.414 0.758   |10.66    |G4                 |    ~     ~    |    1|  326.691   pc  |  -1.3127     +1.3127  |paral   |2020yCat.1350....0G
632 |NGC 7243 488                       NGC 7243 488                                                          |Star                                  |22 15 05.2722734064 +49 49 13.056612996|098.8065619388352 -05.5842195492919|  1.228 -13.633   |11.82    |F2                 |    ~     ~    |    1|  514.589   pc  |  -3.1776     +3.1776  |paral   |2020yCat.1350....0G
633 |NGC 7243 497                       NGC 7243 497                                                          |Star                                  |22 15 27.5177685096 +49 49 33.629148948|098.8594429538935 -05.6131805719784|   0.499 -2.975   |11.76    |A3V                |    ~     ~    |    1|  909.174   pc  | -11.8203    +11.8203  |paral   |2020yCat.1350....0G
634 |V* V487 Lac                                                                                              |Eclipsing Binary                      |22 15 46.2977138328 +48 39 05.572010448|098.2371893183294 -06.6127645234506|  -3.347 -9.826   |10.33    |~                  |    ~     ~    |    1|  645.078   pc  |  -4.6606     +4.6606  |paral   |2020yCat.1350....0G
635 |TYC 3610-261-1                                                                                           |Star                                  |22 17 02.7135219552 +48 36 48.559442472|098.3910842433516 -06.7623135195419| -2.716 -15.261   |10.15    |~                  |    ~     ~    |    1|  952.018   pc  | -13.9576    +13.9576  |paral   |2020yCat.1350....0G
636 |TYC 3610-282-1                                                                                           |Star                                  |22 16 36.8285268648 +47 47 21.061832460|097.8657826990504 -07.4048891047769|  -3.305 -3.058   |10.13    |~                  |    ~     ~    |    0|                |                       |        |                   
637 |TYC 3610-295-1                                                                                           |Star                                  |22 16 07.2632868648 +47 43 10.243351920|097.7572164912055 -07.4159755602002|   0.172 -2.741   |10.60    |~                  |    ~     ~    |    1| 1219.959   pc  | -37.5051    +37.5051  |paral   |2020yCat.1350....0G
638 |TYC 3610-333-1                                                                                           |Star                                  |22 17 22.7896658616 +48 27 49.645079280|098.3531147712447 -06.9174135616606| -4.976 -10.502   |10.68    |~                  |    ~     ~    |    1|  718.907   pc  |  -5.7885     +5.7885  |paral   |2020yCat.1350....0G
639 |TYC 3610-475-1                                                                                           |Star                                  |22 17 57.2220620112 +48 38 22.317505116|098.5311920977277 -06.8244264877848| -22.520 14.053   |9.61     |~                  |    ~     ~    |    1|  158.248   pc  |  -0.2579     +0.2579  |paral   |2020yCat.1350....0G
640 |TYC 3610-553-1                                                                                           |Star                                  |22 15 51.3295391544 +47 53 26.790426240|097.8172818730717 -07.2493311458917|  -3.740 -3.221   |10.06    |~                  |    ~     ~    |    1|  626.999   pc  |  -7.7839     +7.7839  |paral   |2020yCat.1350....0G
641 |TYC 3610-561-1                                                                                           |Star                                  |22 15 21.5442653280 +47 58 38.366964876|097.7972777229919 -07.1309649835416|  -3.858 -5.055   |10.56    |~                  |    ~     ~    |    1|  807.950   pc  |  -8.0945     +8.0945  |paral   |2020yCat.1350....0G
642 |TYC 3610-704-1                                                                                           |Star                                  |22 16 15.9654203904 +48 42 16.419351636|098.3351469744015 -06.6147955295562|  -8.489 -3.744   |10.20    |~                  |    ~     ~    |    1|  547.375   pc  |  -3.4456     +3.4456  |paral   |2020yCat.1350....0G
643 |TYC 3610-762-1                                                                                           |Star                                  |22 18 41.0246832192 +47 57 17.393633244|098.2494885466411 -07.4611588241875| -3.866 -12.753   |10.08    |~                  |    ~     ~    |    1|  377.316   pc  |  -3.6019     +3.6019  |paral   |2020yCat.1350....0G
644 |TYC 3610-912-1                                                                                           |Star                                  |22 15 35.5487209200 +48 09 43.758391248|097.9348065227348 -07.0003706093050|-15.264 -13.465   |9.81     |~                  |    ~     ~    |    1|  439.676   pc  | -17.5724    +17.5724  |paral   |2020yCat.1350....0G
645 |TYC 3610-925-1                                                                                           |Star                                  |22 17 00.2183973000 +47 53 14.885484900|097.9759637889753 -07.3601718030263|    0.898 2.784   |10.31    |~                  |    ~     ~    |    1|  660.720   pc  |  -8.8183     +8.8183  |paral   |2020yCat.1350....0G
646 |TYC 3610-1020-1                                                                                          |Star                                  |22 17 02.8484094624 +48 14 13.805115108|098.1793781902854 -07.0744806864838|   1.449 -2.209   |10.34    |~                  |    ~     ~    |    1|  640.082   pc  |  -5.3262     +5.3262  |paral   |2020yCat.1350....0G
647 |TYC 3610-1195-1                                                                                          |Star                                  |22 16 48.0259430328 +48 30 34.693531344|098.2987599122646 -06.8257254668140|  32.979 15.920   |10.11    |~                  |    ~     ~    |    1|  260.546   pc  |  -0.9504     +0.9504  |paral   |2020yCat.1350....0G
648 |TYC 3610-1265-1                                                                                          |Star                                  |22 17 50.3633959224 +48 32 03.131441016|098.4563221857417 -06.9014081986460|  -2.328 -7.756   |10.85    |~                  |    ~     ~    |    1| 1064.623   pc  | -74.9191    +74.9191  |paral   |2020yCat.1350....0G
649 |TYC 3610-1314-1                                                                                          |Star                                  |22 15 37.4865384096 +48 20 41.308502172|098.0429956564558 -06.8525318608713|  -3.662 -2.400   |10.32    |~                  |    ~     ~    |    1| 2168.727   pc  | -55.9702    +55.9702  |paral   |2020yCat.1350....0G
650 |TYC 3610-1397-1                                                                                          |Star                                  |22 16 27.2264982504 +48 03 06.877902600|097.9920846383129 -07.1724051379944| -8.170 -11.182   |10.78    |~                  |    ~     ~    |    1|  686.342   pc  |  -9.3271     +9.3271  |paral   |2020yCat.1350....0G
651 |TYC 3610-1481-1                                                                                          |Star                                  |22 17 41.2073645064 +47 50 43.548467424|098.0480705689607 -07.4590738272385|  -5.078 -1.582   |10.49    |~                  |    ~     ~    |    1|  477.373   pc  |  -2.6662     +2.6662  |paral   |2020yCat.1350....0G
652 |TYC 3610-1638-1                                                                                          |Star                                  |22 16 25.8595354992 +48 33 27.481387212|098.2748412301673 -06.7516985290125|  -8.859 -5.573   |10.70    |~                  |    ~     ~    |    1|  555.247   pc  |  -9.4648     +9.4648  |paral   |2020yCat.1350....0G
653 |TYC 3610-1903-1                                                                                          |Star                                  |22 17 03.5401231776 +47 55 20.021465136|098.0033372340818 -07.3365647217436| -11.654 -9.827   |10.63    |~                  |    ~     ~    |    1|  761.557   pc  |  -7.1916     +7.1916  |paral   |2020yCat.1350....0G
654 |TYC 3611-797-1                                                                                           |Star                                  |22 20 47.3281073760 +48 38 39.190329564|098.9271463965714 -07.0791284988328|-20.523 -25.349   |10.72    |~                  |    ~     ~    |    1|  202.376   pc  |  -0.6881     +0.6881  |paral   |2020yCat.1350....0G
655 |TYC 3611-935-1                                                                                           |Star                                  |22 22 40.0477260408 +48 37 53.437262448|099.1824002537342 -07.2589789292485|   5.716 -0.160   |10.50    |~                  |    ~     ~    |    1|  819.403   pc  | -17.4570    +17.4570  |paral   |2020yCat.1350....0G
656 |TYC 3611-939-1                                                                                           |Star                                  |22 20 20.3672899344 +48 17 03.595322832|098.6652951704770 -07.3390926795390|    5.120 8.408   |10.28    |~                  |    ~     ~    |    1|  458.800   pc  |  -2.7996     +2.7996  |paral   |2020yCat.1350....0G
657 |TYC 3611-1149-1                                                                                          |Star                                  |22 19 48.1047236928 +48 33 32.790398760|098.7426366396732 -07.0605733777365|   2.679 -1.800   |10.67    |~                  |    ~     ~    |    1| 1279.754   pc  | -78.2855    +78.2855  |paral   |2020yCat.1350....0G
658 |TYC 3611-1362-1                                                                                          |Star                                  |22 20 32.9300811096 +48 31 16.082548968|098.8256785520791 -07.1602920600720|   3.536 -7.718   |10.34    |~                  |    ~     ~    |    1|  298.472   pc  |  -1.0601     +1.0601  |paral   |2020yCat.1350....0G
659 |TYC 3611-1462-1                                                                                          |Star                                  |22 18 46.2342698832 +47 52 21.132112620|098.2156416482052 -07.5376965034521|  -2.646 -2.210   |9.72     |~                  |    ~     ~    |    1|  960.799   pc  | -31.0174    +31.0174  |paral   |2020yCat.1350....0G
660 |TYC 3611-1808-1                                                                                          |Star                                  |22 19 26.1761296080 +48 04 06.448802088|098.4186347595124 -07.4362387573462|  -3.332 -5.670   |10.94    |~                  |    ~     ~    |    1| 1237.777   pc  | -25.8924    +25.8924  |paral   |2020yCat.1350....0G
661 |TYC 3611-1870-1                                                                                          |Star                                  |22 20 55.8880140144 +48 20 23.083050300|098.7789235077303 -07.3467843058456|  -5.396 -3.031   |10.60    |~                  |    ~     ~    |    1| 1023.646   pc  | -17.8135    +17.8135  |paral   |2020yCat.1350....0G
662 |TYC 3611-2041-1                                                                                          |Star                                  |22 20 56.2492832544 +48 18 48.746015568|098.7652922347612 -07.3692548570916|   8.034 -0.840   |10.48    |~                  |    ~     ~    |    1|  773.814   pc  |  -7.1256     +7.1256  |paral   |2020yCat.1350....0G
663 |TYC 3611-2042-1                                                                                          |Star                                  |22 19 12.8106988008 +48 14 19.953115368|098.4824120673150 -07.2736913699746|   0.421 -4.258   |10.79    |~                  |    ~     ~    |    1|  713.267   pc  |  -5.7997     +5.7997  |paral   |2020yCat.1350....0G
664 |NGC 7243 626                       NGC 7243 626                                                          |Star                                  |22 16 02.4664261920 +49 34 01.448570604|098.7914968527081 -05.8802968009991|  -8.534 -2.972   |11.05    |~                  |    ~     ~    |    1|  502.563   pc  |  -5.9859     +5.9859  |paral   |2020yCat.1350....0G
665 |NGC 7243 538                       NGC 7243 538                                                          |Star                                  |22 18 14.7476685072 +49 48 42.815993544|099.2262884065644 -05.8760242495066|  -5.383 -4.355   |10.92    |~                  |    ~     ~    |    1| 1077.818   pc  | -18.0062    +18.0062  |paral   |2020yCat.1350....0G
666 |NGC 7243 643                       NGC 7243 643                                                          |Star                                  |22 17 00.5748680640 +49 36 47.205685296|098.9481613318752 -05.9300007914116|   6.908 -1.898   |10.86    |~                  |    ~     ~    |    1|  404.498   pc  |  -1.9471     +1.9471  |paral   |2020yCat.1350....0G
667 |NGC 7243 669                       NGC 7243 669                                                          |Star                                  |22 18 33.1598896656 +49 32 39.812909676|099.1187894410870 -06.1262069050330|   -1.799 1.763   |11.5     |~                  |    ~     ~    |    0|                |                       |        |                   
668 |NGC 7243 541                       NGC 7243 541                                                          |Star                                  |22 18 34.0356409176 +49 49 01.314499152|099.2725514741117 -05.9004758283198|  -0.540 -1.996   |11.27    |~                  |    ~     ~    |    1| 3595.829   pc  |-217.2237   +217.2237  |paral   |2020yCat.1350....0G
669 |NGC 7243 715                       NGC 7243 715                                                          |High Proper Motion Star               |22 15 30.0714047064 +49 31 57.055354248|098.6991595370657 -05.8596583748964| 63.459 -18.845   |10.92    |~                  |    ~     ~    |    1|  156.678   pc  |  -0.2921     +0.2921  |paral   |2020yCat.1350....0G
670 |NGC 7243 131                       NGC 7243 131                                                          |Star                                  |22 15 07.2678282888 +50 19 18.680008872|099.0949089004132 -05.1729046999344|  -7.116 -7.682   |10.42    |~                  |    ~     ~    |    1|  602.119   pc  |  -4.6769     +4.6769  |paral   |2020yCat.1350....0G
671 |NGC 7243 416                       NGC 7243 416                                                          |Star                                  |22 18 18.8534900760 +50 01 14.933058780|099.3519029801050 -05.7082410711935|  -1.707 -3.350   |11.02    |~                  |    ~     ~    |    1| 1003.311   pc  | -18.1194    +18.1194  |paral   |2020yCat.1350....0G
672 |NGC 7243 238                       NGC 7243 238                                                          |Star                                  |22 15 24.4872275496 +50 03 15.852347532|098.9818115670998 -05.4198032463096|   0.465 -2.926   |10.98    |B9                 |    ~     ~    |    1|  889.363   pc  | -20.1697    +20.1697  |paral   |2020yCat.1350....0G
673 |Cl* NGC 7243 JFA 2102                                                                                    |High Proper Motion Star               |22 15 34.8638309184 +50 22 32.818527840|099.1862794670724 -05.1696049742592|  44.413 34.416   |10.33    |~                  |    ~     ~    |    1|  165.909   pc  |  -0.3716     +0.3716  |paral   |2020yCat.1350....0G
674 |NGC 7243 155                       NGC 7243 155                                                          |Star                                  |22 17 15.8185060128 +50 14 03.519085560|099.3304191716988 -05.4371801367604|  -15.815 0.635   |10.33    |~                  |    ~     ~    |    1|  672.133   pc  | -15.8117    +15.8117  |paral   |2020yCat.1350....0G
675 |NGC 7243 234                       BD+49 3791                                                            |Star                                  |22 15 18.2945066040 +50 03 46.953201600|098.9729419715318 -05.4033386464500|  -3.332 -0.444   |9.38     |G8III:             |    ~     ~    |    1|  415.265   pc  |  -2.1556     +2.1556  |paral   |2020yCat.1350....0G
676 |NGC 7243 46                        NGC 7243 46                                                           |Star                                  |22 15 34.0245166800 +50 24 43.830964260|099.2049614912915 -05.1382494076966|   0.188 -1.669   |10.93    |~                  |    ~     ~    |    1| 1287.830   pc  | -36.6530    +36.6530  |paral   |2020yCat.1350....0G
677 |NGC 7243 419                       NGC 7243 419                                                          |Star                                  |22 18 40.4438685912 +49 59 50.999009820|099.3873205374094 -05.7596626379512|    4.292 4.481   |11.48    |~                  |    ~     ~    |    1|  482.416   pc  | -12.8232    +12.8232  |paral   |2020yCat.1350....0G
678 |NGC 7243 282                       NGC 7243 282                                                          |Star                                  |22 17 58.9893011280 +50 10 12.463027212|099.3907072187115 -05.5545447449694|  21.010 -3.178   |11.03    |~                  |    ~     ~    |    1|  585.446   pc  |  -5.3469     +5.3469  |paral   |2020yCat.1350....0G
679 |TYC 3614-1866-1                                                                                          |Star                                  |22 17 18.7618440672 +49 05 11.410423764|098.6937531834290 -06.3945192440713|  -1.758 -8.791   |10.80    |~                  |    ~     ~    |    1|  851.716   pc  |  -7.9071     +7.9071  |paral   |2020yCat.1350....0G
680 |NGC 7243 258                       NGC 7243 258                                                          |Star                                  |22 16 32.6266306632 +50 05 41.525516760|099.1561401071751 -05.4885278349833|   0.421 -9.035   |10.99    |~                  |    ~     ~    |    1|  697.204   pc  |  -5.5415     +5.5415  |paral   |2020yCat.1350....0G
681 |NGC 7243 403                       NGC 7243 403                                                          |Star                                  |22 17 23.0065134192 +49 53 42.701481780|099.1566665739655 -05.7295243874816|  -0.759 -6.336   |10.84    |~                  |    ~     ~    |    0|                |                       |        |                   
682 |NGC 7243 753                       NGC 7243 753                                                          |Star                                  |22 17 34.1201833920 +49 32 03.045142788|098.9795694761402 -06.0460611559544|  -2.915 -7.658   |10.39    |~                  |    ~     ~    |    1|  845.523   pc  | -10.0087    +10.0087  |paral   |2020yCat.1350....0G
683 |NGC 7243 651                       NGC 7243 651                                                          |Double or Multiple Star               |22 17 50.6423337864 +49 35 39.713685828|099.0505477713081 -06.0208868106754|  -5.358 -6.671   |10.838   |~                  |    ~     ~    |    1|  893.176   pc  | -10.6103    +10.6103  |paral   |2020yCat.1350....0G
684 |TYC 3614-2526-1                                                                                          |Star                                  |22 18 38.0188475568 +49 10 53.667861168|098.9276780824005 -06.4356006524497|  0.214 -11.717   |10.03    |~                  |    ~     ~    |    1|  486.050   pc  |  -3.8508     +3.8508  |paral   |2020yCat.1350....0G
685 |NGC 7243 664                       NGC 7243 664                                                          |Spectroscopic Binary                  |22 18 29.6200387200 +49 36 32.154223032|099.1467300675646 -06.0671737654034| -0.072 -15.014   |10.91    |~                  |    ~     ~    |    1|  337.519   pc  |  -5.3200     +5.3200  |paral   |2020yCat.1350....0G
686 |TYC 3615-1081-1                                                                                          |Star                                  |22 19 38.5091718240 +49 32 20.535448416|099.2639836593319 -06.2282339495283|  22.345 20.978   |9.73     |~                  |    ~     ~    |    1|  267.315   pc  |  -1.7579     +1.7579  |paral   |2020yCat.1350....0G
687 |TYC 3615-1245-1                                                                                          |Star                                  |22 20 59.3899436808 +49 15 00.796630428|099.2890498659551 -06.5900384690592| -7.420 -10.332   |10.64    |~                  |    ~     ~    |    1|  659.761   pc  |  -5.1799     +5.1799  |paral   |2020yCat.1350....0G
688 |TYC 3615-1585-1                                                                                          |Star                                  |22 19 49.9412022288 +49 26 22.684783524|099.2349418342606 -06.3282590786240| -4.556 -23.549   |10.78    |~                  |    ~     ~    |    1|  350.594   pc  |  -1.4135     +1.4135  |paral   |2020yCat.1350....0G
689 |TYC 3615-1739-1                                                                                          |Star                                  |22 20 57.0777936768 +48 49 02.285311692|099.0452362821443 -06.9489821428390|  18.853 10.118   |10.76    |~                  |    ~     ~    |    1|  168.036   pc  |  -0.3078     +0.3078  |paral   |2020yCat.1350....0G
690 |TYC 3615-1833-1                                                                                          |Star                                  |22 20 26.7129289680 +49 06 32.272635564|099.1361997481931 -06.6594840967817|    3.645 4.535   |9.80     |~                  |    ~     ~    |    1|  515.464   pc  |  -3.7464     +3.7464  |paral   |2020yCat.1350....0G
691 |NGC 7243 421                       NGC 7243 421                                                          |Star                                  |22 18 47.4236310648 +49 59 51.376410888|099.4030355011731 -05.7699113037157|  -0.489 -0.421   |9.97     |~                  |    ~     ~    |    1| 1348.618   pc  | -26.7359    +26.7359  |paral   |2020yCat.1350....0G
692 |TYC 3615-2063-1                                                                                          |Star                                  |22 19 58.9601084232 +48 46 18.752909160|098.8857883540274 -06.8994133295269|   1.642 -1.555   |10.24    |~                  |    ~     ~    |    1|  817.996   pc  | -10.0368    +10.0368  |paral   |2020yCat.1350....0G
693 |TYC 3615-2095-1                                                                                          |Star                                  |22 19 39.2988080760 +48 57 31.291206480|098.9440840179957 -06.7137958041903|  -4.263 -6.341   |10.15    |~                  |    ~     ~    |    1|  728.438   pc  | -15.7064    +15.7064  |paral   |2020yCat.1350....0G
694 |TYC 3615-2105-1                                                                                          |Star                                  |22 19 39.4072906944 +48 46 35.140016820|098.8431731031315 -06.8660445063898|   -3.716 0.888   |9.99     |~                  |    ~     ~    |    1| 1002.908   pc  | -11.1647    +11.1647  |paral   |2020yCat.1350....0G
695 |TYC 3615-2265-1                                                                                          |Star                                  |22 22 20.1547853712 +48 57 03.307797720|099.3108589285386 -06.9610614425368|  -5.186 -4.164   |10.29    |~                  |    ~     ~    |    1|  878.503   pc  | -10.5732    +10.5732  |paral   |2020yCat.1350....0G
696 |TYC 3615-2351-1                                                                                          |Star                                  |22 19 04.3896896856 +49 37 05.948420412|099.2306017120813 -06.1112673518719| -9.134 -13.723   |10.42    |~                  |    ~     ~    |    1|  401.043   pc  |  -3.0559     +3.0559  |paral   |2020yCat.1350....0G
697 |TYC 3615-2389-1                                                                                          |Star                                  |22 20 21.2351995920 +49 09 56.570209560|099.1549768956924 -06.6038461072307|   6.464 -3.414   |10.72    |~                  |    ~     ~    |    1|  408.831   pc  |  -2.7579     +2.7579  |paral   |2020yCat.1350....0G
698 |TYC 3615-2393-1                                                                                          |Star                                  |22 20 34.8522896136 +48 45 06.307105608|098.9576324697281 -06.9703861555174|  11.659 16.064   |10.38    |~                  |    ~     ~    |    1|  272.346   pc  |  -0.8827     +0.8827  |paral   |2020yCat.1350....0G
699 |TYC 3615-2559-1                                                                                          |Star                                  |22 22 44.4569644848 +48 58 55.439640336|099.3841427994478 -06.9709502962397|  -3.415 -4.365   |10.18    |~                  |    ~     ~    |    1|  416.337   pc  |  -8.9788     +8.9788  |paral   |2020yCat.1350....0G
700 |TYC 3615-2587-1                                                                                          |Star                                  |22 23 23.2888 +48 49 49.094            |099.3915666 -07.1561201            |-25.370 -33.982   |9.94     |~                  |    ~     ~    |    0|                |                       |        |                   
701 |TYC 3615-2590-1                                                                                          |Star                                  |22 18 54.2306706360 +49 56 38.572753272|099.3885724890364 -05.8246291316190|  -4.200 -3.181   |9.96     |~                  |    ~     ~    |    1| 1010.714   pc  | -12.3607    +12.3607  |paral   |2020yCat.1350....0G
702 |TYC 3615-2647-1                                                                                          |Star                                  |22 19 20.5152236544 +49 02 15.567512352|098.9448021408820 -06.6196060535506|   1.466 -0.363   |10.98    |~                  |    ~     ~    |    1|  887.154   pc  | -15.7408    +15.7408  |paral   |2020yCat.1350....0G
703 |IRAS 22176+4913                                                                                          |Star                                  |22 19 37.6859603664 +49 28 06.450898908|099.2230188139309 -06.2859243148751|   3.172 -2.524   |9.31     |~                  |    ~     ~    |    1|  988.142   pc  | -13.7676    +13.7676  |paral   |2020yCat.1350....0G
704 |TYC 3615-2933-1                                                                                          |Star                                  |22 19 24.2737184880 +49 47 15.332184744|099.3694443362194 -05.9996346521699|   5.629 -0.164   |9.80     |~                  |    ~     ~    |    1|  795.102   pc  | -14.4139    +14.4139  |paral   |2020yCat.1350....0G
705 |NGC 7243 362                       HD 211337                                                             |Star                                  |22 15 10.6117511232 +49 52 31.122370992|098.8496266046714 -05.5468605955646|   0.202 -3.228   |9.25     |B9V                |    ~     ~    |    1|  908.595   pc  | -12.9611    +12.9611  |paral   |2020yCat.1350....0G
706 |NGC 7243 382                       NGC 7243 382                                                          |Star                                  |22 16 06.9338 +49 53 21.055            |098.9831197 -05.6203913            |  -1.895 -8.443   |11.35    |F9                 |    ~     ~    |    0|                |                       |        |                   
707 |NGC 7243 368                       NGC 7243 368                                                          |Star                                  |22 15 35.0415503520 +49 55 25.490182656|098.9314662874423 -05.5437343798038|   0.376 -2.967   |10.91    |B9V                |    ~     ~    |    1|  902.935   pc  | -13.3708    +13.3708  |paral   |2020yCat.1350....0G
708 |NGC 7243 371                       NGC 7243 371                                                          |Star                                  |22 15 38.7269863008 +49 55 11.695622772|098.9375168070320 -05.5524614992375|   1.731 -1.825   |12.70    |~                  |    ~     ~    |    1| 1490.980   pc  | -36.6798    +36.6798  |paral   |2020yCat.1350....0G
709 |NGC 7243 792                       NGC 7243 792                                                          |Double or Multiple Star               |22 15 09.719376 +49 18 03.99312        |098.522251043 -06.019754352        |      -1.1 -2.3   |11.881   |~                  |    ~     ~    |    0|                |                       |        |                   
710 |NGC 7243 795                       NGC 7243 795                                                          |Star                                  |22 15 27.5322570672 +49 14 50.091571284|098.5319480884584 -06.0915387026200|   9.592 -0.454   |11.82    |~                  |    ~     ~    |    1| 1343.544   pc  | -26.3546    +26.3546  |paral   |2020yCat.1350....0G
711 |NGC 7243 796                       NGC 7243 796                                                          |Star                                  |22 15 39.4618061592 +49 17 26.490986556|098.5835004061963 -06.0738875541333|  -7.596 -7.293   |13.03    |~                  |    ~     ~    |    1|  581.463   pc  |  -4.3615     +4.3615  |paral   |2020yCat.1350....0G
712 |NGC 7243 797                       NGC 7243 797                                                          |Star                                  |22 15 43.8919139616 +49 16 09.813497484|098.5814647205862 -06.0982713230888|  -6.207 -6.603   |11.29    |~                  |    ~     ~    |    1| 1008.065   pc  | -14.5316    +14.5316  |paral   |2020yCat.1350....0G
713 |NGC 7243 802                       NGC 7243 802                                                          |Star                                  |22 16 17.1005265696 +49 19 50.071411596|098.6911027736439 -06.0983139620397|    4.173 0.614   |12.38    |~                  |    ~     ~    |    1|  346.057   pc  |  -1.1497     +1.1497  |paral   |2020yCat.1350....0G
714 |NGC 7243 804                       NGC 7243 804                                                          |Star                                  |22 16 27.7065189600 +49 17 18.817086876|098.6914182409858 -06.1492578844837|  -2.513 -2.284   |13.32    |~                  |    ~     ~    |    1| 1254.548   pc  | -43.5968    +43.5968  |paral   |2020yCat.1350....0G
715 |NGC 7243 807                       NGC 7243 807                                                          |Star                                  |22 16 38.9622847368 +49 17 39.753471048|098.7201837934361 -06.1615667697442|   2.900 -5.120   |13.24    |~                  |    ~     ~    |    1| 1049.648   pc  | -13.4415    +13.4415  |paral   |2020yCat.1350....0G
716 |NGC 7243 809                       NGC 7243 809                                                          |Star                                  |22 16 44.4403019352 +49 18 29.628472428|098.7403880617219 -06.1584118885205|  -6.282 -4.867   |11.58    |~                  |    ~     ~    |    1| 1723.841   pc  |-131.3459   +131.3459  |paral   |2020yCat.1350....0G
717 |NGC 7243 810                       NGC 7243 810                                                          |Star                                  |22 16 48.2863217112 +49 19 11.712870516|098.7556745437305 -06.1545637172146|   17.440 5.695   |12.65    |~                  |    ~     ~    |    1|  337.826   pc  |  -1.1755     +1.1755  |paral   |2020yCat.1350....0G
718 |NGC 7243 813                       NGC 7243 813                                                          |Star                                  |22 16 51.9423000480 +49 19 26.949139320|098.7663345673326 -06.1566058880516|   -7.212 1.770   |12.47    |~                  |    ~     ~    |    1|  484.027   pc  |  -2.2023     +2.2023  |paral   |2020yCat.1350....0G
719 |NGC 7243 806                       NGC 7243 806                                                          |Star                                  |22 16 38.1525142608 +49 19 43.185345960|098.7376501935378 -06.1319216288831|   25.765 2.358   |13.12    |~                  |    ~     ~    |    1|  322.862   pc  |  -2.8874     +2.8874  |paral   |2020yCat.1350....0G
720 |Cl* NGC 7243 JFA 108                                                                                     |Star                                  |22 18 15.27 +49 18 54.2                |098.95032 -06.29021                |            ~ ~   |10.17    |~                  |    ~     ~    |    0|                |                       |        |                   
721 |Cl* NGC 7243 JFA 112                                                                                     |Star                                  |22 18 37.6917138720 +49 15 47.246097204|098.9723818169142 -06.3672081572303|-10.624 -10.645   |10.22    |~                  |    ~     ~    |    1|  627.313   pc  |  -4.8797     +4.8797  |paral   |2020yCat.1350....0G
722 |NGC 7243 758                       NGC 7243 758                                                          |Star                                  |22 17 56.9084008392 +49 24 38.634694596|098.9620812968422 -06.1829691921594|  -7.640 -4.256   |11.85    |~                  |    ~     ~    |    1| 2057.190   pc  | -76.5997    +76.5997  |paral   |2020yCat.1350....0G
723 |NGC 7243 751                       NGC 7243 751                                                          |Star                                  |22 17 30.6645465672 +49 22 49.227174048|098.8855926591424 -06.1686260496758|  -3.106 -3.874   |12.80    |~                  |    ~     ~    |    1| 1430.615   pc  | -27.4252    +27.4252  |paral   |2020yCat.1350....0G
724 |NGC 7243 812                       NGC 7243 812                                                          |Star                                  |22 16 51.6187710000 +49 21 56.273157108|098.7889218202682 -06.1217214942084|  15.798 -9.899   |12.09    |~                  |    ~     ~    |    1|  368.351   pc  |  -1.6960     +1.6960  |paral   |2020yCat.1350....0G
725 |NGC 7243 811                       NGC 7243 811                                                          |Star                                  |22 16 49.5781618968 +49 21 20.299896828|098.7786857339470 -06.1269111335623|   0.219 -1.008   |12.12    |~                  |    ~     ~    |    1| 3711.952   pc  |-165.3431   +165.3431  |paral   |2020yCat.1350....0G
726 |NGC 7243 805                       NGC 7243 805                                                          |Star                                  |22 16 28.1927633184 +49 21 53.926350264|098.7355713320495 -06.0866935832830|  -0.939 -2.717   |12.78    |~                  |    ~     ~    |    1| 1643.385   pc  | -31.8684    +31.8684  |paral   |2020yCat.1350....0G
727 |NGC 7243 732                       NGC 7243 732                                                          |Star                                  |22 16 20.7510071088 +49 23 26.527166160|098.7332490833498 -06.0540766894808|  -6.748 -3.940   |12.08    |~                  |    ~     ~    |    1| 2740.477   pc  | -96.8818    +96.8818  |paral   |2020yCat.1350....0G
728 |NGC 7243 733                       NGC 7243 733                                                          |Star                                  |22 16 21.81 +49 24 35.0                |098.74636 -06.03993                |            ~ ~   |13.03    |~                  |    ~     ~    |    0|                |                       |        |                   
729 |NGC 7243 727                       NGC 7243 727                                                          |Star                                  |22 16 06.0677930544 +49 23 51.205692480|098.7039634550101 -06.0260694279430|   3.214 -6.149   |12.73    |~                  |    ~     ~    |    1|  556.886   pc  | -38.4551    +38.4551  |paral   |2020yCat.1350....0G
