C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:51:28

Vmag< 11&dec< 0&rah >=20.0&rah< 20.25
-------------------------------------

Number of objects : 4696

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
19  |HD 189481                                                                                                |Star                                  |20 01 54.5915978304 -40 35 31.701552108|359.6940724671335 -30.0824300161513|   6.165 -7.188    |10.11    |A3(m)A5-A9     |    ~     ~    
20  |HD 189583                                                                                                |Spectroscopic Binary                  |20 02 20.3536215648 -39 58 57.691645824|000.4029321303812 -30.0407406530585|   14.915 6.805    |9.38     |K0/1III        |    ~     ~    
21  |HD 189833                                                                                                |Star                                  |20 03 39.4434926712 -39 58 28.380391536|000.4708534637981 -30.2864745013038|   11.018 5.401    |8.18     |K2III          |    ~     ~    
22  |CD-39 13556                                                                                              |Star                                  |20 00 44.5216064208 -39 33 55.927243224|000.8005170753460 -29.6543697276108|   0.370 -9.408    |10.600   |~              |    ~     ~    
23  |CD-39 13553                                                                                              |High Proper Motion Star               |20 00 12.8941821120 -39 30 48.714647148|000.8343061761540 -29.5440549364331|-37.803 -49.827    |10.45    |~              |    ~     ~    
24  |CD-40 13597                                                                                              |Star                                  |20 00 17.5747498776 -39 39 57.844099044|000.6665335954683 -29.5909502419748|  -18.933 2.805    |9.857    |~              |    ~     ~    
25  |CPD-40 9163                                                                                              |Star                                  |20 01 28.1947440000 -40 07 42.273055992|000.1992665390804 -29.9074025457364|  10.687 24.314    |10.223   |~              |    ~     ~    
26  |CD-40 13625                                                                                              |Star                                  |20 03 11.0646350328 -40 13 17.031020412|000.1699324523265 -30.2469026516653|   16.217 2.733    |10.78    |~              |    ~     ~    
27  |CD-40 13628                                                                                              |High Proper Motion Star               |20 03 17.9252500848 -40 04 27.903469620|000.3417012578391 -30.2391067028728| 38.948 -33.293    |10.200   |~              |    ~     ~    
28  |CD-40 13609                                                                                              |Star                                  |20 01 33.7121874000 -39 58 08.198569164|000.3834922076491 -29.8921334244042|  8.862 -19.177    |10.214   |~              |    ~     ~    
29  |CD-39 13567                                                                                              |Star                                  |20 01 38.5271026512 -39 00 24.244323804|001.4715724992577 -29.7062048497985| -2.558 -12.295    |10.124   |~              |    ~     ~    
30  |CD-39 13569                                                                                              |Star                                  |20 01 48.2214595248 -38 54 58.170832956|001.5811782050505 -29.7175306411489|  -1.413 -8.335    |10.88    |~              |    ~     ~    
31  |CD-40 13618                                                                                              |Star                                  |20 02 04.9191281640 -39 49 27.074922060|000.5705307538314 -29.9601750683740|   -2.251 6.082    |10.369   |~              |    ~     ~    
32  |CD-39 13576                                                                                              |Star                                  |20 02 42.8135010456 -39 39 02.387998548|000.7953613297537 -30.0434969289436|   -0.270 0.773    |10.52    |~              |    ~     ~    
33  |CD-38 13823                                                                                              |Star                                  |20 03 11.2091571744 -38 27 01.043265456|002.1722815069268 -29.8811812105996|  7.136 -30.901    |10.44    |~              |    ~     ~    
34  |CD-40 13605                                                                                              |Star                                  |20 01 15.2568369192 -40 27 21.238650360|359.8196163948442 -29.9332227209453|  -3.032 -8.972    |10.524   |~              |    ~     ~    
35  |CD-40 13619                                                                                              |Star                                  |20 02 17.6593525416 -40 05 38.597780616|000.2749258078762 -30.0548181163944| 14.813 -23.985    |10.323   |~              |    ~     ~    
36  |CD-39 13584                                                                                              |High Proper Motion Star               |20 03 42.5574061920 -38 49 15.852183600|001.7791589071602 -30.0598157867769|  3.213 -54.000    |9.90     |~              |    ~     ~    
37  |TYC 7947-648-1                                                                                           |Star                                  |20 00 48.0859191432 -39 16 35.951418120|001.1281271945553 -29.6044759582836|   6.996 -0.771    |10.56    |~              |    ~     ~    
38  |TYC 7951-476-1                                                                                           |Star                                  |20 02 03.1120750272 -39 29 13.291513332|000.9498027451240 -29.8849532657116|   -7.258 4.818    |10.04    |~              |    ~     ~    
39  |TYC 7951-546-1                                                                                           |Star                                  |20 00 17.6553205056 -39 56 32.764220448|000.3557064294760 -29.6489648171027|   5.083 -8.924    |10.800   |~              |    ~     ~    
40  |TYC 7951-1710-1                                                                                          |High Proper Motion Star               |20 01 37.2148916592 -40 20 28.466822040|359.9653968104283 -29.9784806424504| -1.577 -54.747    |10.919   |~              |    ~     ~    
41  |TYC 7951-1731-1                                                                                          |Star                                  |20 00 36.2612223120 -40 10 11.065428984|000.1137352279353 -29.7539080274312|   31.453 0.271    |10.44    |~              |    ~     ~    
42  |HD 189931                                                                                                |High Proper Motion Star               |20 04 02.6779767944 -37 52 35.364287524|002.8606297377710 -29.9212184769202|78.633 -388.073    |6.93     |G1V            |    ~     ~    
43  |HD 190036                                                                                                |Star                                  |20 04 32.0496987096 -38 24 51.914011032|002.2779315927545 -30.1312552025818|   3.989 -5.722    |10.47    |A9V            |    ~     ~    
44  |HD 190105                                                                                                |Star                                  |20 04 45.5340991440 -37 56 17.441719620|002.8265408911714 -30.0721620134227| -11.656 -8.084    |10.16    |F6/8V          |    ~     ~    
45  |HD 190217                                                                                                |Star                                  |20 05 27.9121644456 -38 06 06.511960044|002.6763389553372 -30.2432135622799|  5.072 -19.217    |9.76     |A9V            |    ~     ~    
46  |HD 190442                                                                                                |Double or Multiple Star               |20 06 25.6468 -38 29 18.485            |002.2842979 -30.5092131            |        3.2 0.9    |8.94     |F5V            |    ~     ~    
47  |HD 190504                                                                                                |Star                                  |20 06 38.3976387840 -37 57 31.257084888|002.8954613003697 -30.4387598410376|   -2.017 1.954    |9.99     |G6/8III/IV     |    ~     ~    
48  |HD 190531                                                                                                |Star                                  |20 06 49.2101620080 -37 54 44.496812808|002.9567244076400 -30.4636429678921| -3.833 -36.433    |10.29    |F5V            |    ~     ~    
49  |HD 189894                                                                                                |High Proper Motion Star               |20 03 50.0009512104 -38 49 46.223490972|001.7755017125308 -30.0852122323317| 38.108 -63.039    |9.41     |G0V            |    ~     ~    
50  |HD 189950                                                                                                |Star                                  |20 04 08.5973128224 -38 53 09.564580680|001.7262681615842 -30.1560467728018| -1.589 -23.173    |9.96     |F3V            |    ~     ~    
51  |HD 190083                                                                                                |Star                                  |20 04 50.4781981848 -39 33 34.437174120|000.9948007270055 -30.4263435186087| -3.074 -40.538    |9.19     |K1III          |    ~     ~    
52  |HD 190351                                                                                                |Star                                  |20 06 07.8668087808 -39 23 26.903327496|001.2445765202362 -30.6364487794482| -18.796 -1.386    |8.93     |G5/6V          |    ~     ~    
53  |HD 190370                                                                                                |Star                                  |20 06 09.7096867104 -39 22 45.402795696|001.2590812651687 -30.6399654440076| -26.371 -3.103    |9.48     |F3V            |    ~     ~    
54  |HD 190558                                                                                                |Star                                  |20 07 00.5164617984 -38 51 33.885716544|001.8895298095818 -30.6963320692183|  16.342 -5.131    |8.30     |K4III          |    ~     ~    
55  |CD-39 13597                                                                                              |Star                                  |20 04 54.7611117744 -39 26 08.550726432|001.1387063636020 -30.4149040945065|   0.148 -7.029    |9.96     |MIII           |    ~     ~    
56  |HD 189895                                                                                                |High Proper Motion Star               |20 03 56.4784270584 -39 55 42.452519376|000.5357336442352 -30.3306063587435| 24.716 -43.839    |8.50     |A5III          |    ~     ~    
57  |HD 190143                                                                                                |Star                                  |20 05 15.9562810416 -40 28 38.247089556|359.9681603425513 -30.6856706474593|  -1.812 -3.962    |10.31    |A7V            |    ~     ~    
58  |AKARI-IRC-V1 J2005298-395429                                                                             |Long-Period Variable Candidate        |20 05 29.8669247688 -39 54 29.356389540|000.6272145651350 -30.6191570845558|   -7.400 5.635    |10.35    |M3/4           |    ~     ~    
59  |HD 190242                                                                                                |delta Sct Variable                    |20 05 37.8963134568 -39 54 10.309355136|000.6390790717299 -30.6432903199880|   6.731 -8.009    |9.76     |A1/2mF0-F2     |    ~     ~    
60  |HD 190308                                                                                                |High Proper Motion Star               |20 05 58.4751503760 -39 58 33.788316288|000.5704905845690 -30.7220257729199|  103.103 9.530    |9.05     |G2/3V          |    ~     ~    
61  |HD 190371                                                                                                |Spectroscopic Binary                  |20 06 17.4413674032 -40 08 20.421687588|000.3979695824328 -30.8127878639242|   2.434 -4.614    |9.33     |G8III          |    ~     ~    
62  |CD-40 13644                                                                                              |Star                                  |20 05 04.3753619040 -40 15 45.855465192|000.2047082232918 -30.6084097121175|   3.671 -3.161    |9.91     |~              |    ~     ~    
63  |CPD-38 7931                                                                                              |Star                                  |20 04 12.3665060808 -38 35 11.843553840|002.0676414899982 -30.1050646634493|  1.211 -16.930    |10.90    |~              |    ~     ~    
64  |CD-39 13598                                                                                              |Star                                  |20 05 01.7208976440 -39 09 24.976963584|001.4604568582277 -30.3802811479013|   2.757 -4.053    |10.53    |~              |    ~     ~    
65  |CD-40 13645                                                                                              |Star                                  |20 05 06.1668776280 -39 41 35.343532716|000.8546132956644 -30.5023644355094|  7.095 -26.876    |10.17    |~              |    ~     ~    
66  |CD-38 13849                                                                                              |Star                                  |20 05 41.5743656328 -38 23 39.582485556|002.3562153258484 -30.3488875913725|   -7.582 2.909    |10.28    |~              |    ~     ~    
67  |CPD-38 7941                                                                                              |Star                                  |20 05 57.3267184824 -38 07 32.503248984|002.6730870093994 -30.3425173889521|   8.003 -1.128    |10.65    |~              |    ~     ~    
68  |CD-40 13660                                                                                              |Star                                  |20 06 20.4235834896 -39 46 31.957596192|000.8151965934220 -30.7518670908099| -1.718 -14.633    |10.52    |~              |    ~     ~    
69  |CD-39 13612                                                                                              |Star                                  |20 06 42.6715024200 -39 10 08.663296296|001.5232485520565 -30.7021291972596|   4.443 -3.821    |10.82    |~              |    ~     ~    
70  |HD 191153                                                                                                |Star                                  |20 09 50.8876419000 -37 31 50.572799832|003.5376091523393 -30.9684094647824| -7.904 -15.804    |9.873    |F5V            |    ~     ~    
71  |HD 191582                                                                                                |Star                                  |20 12 06.3388409592 -37 20 17.485420740|003.8666807377276 -31.3666763087724|  7.553 -12.256    |10.226   |A9V            |    ~     ~    
72  |HD 192055                                                                                                |High Proper Motion Star               |20 14 26.9258225856 -37 20 07.136423952|003.9815953941141 -31.8220269793942|  5.570 -70.016    |9.29     |F3/5V          |    ~     ~    
73  |HD 190935                                                                                                |Star                                  |20 08 47.6671791336 -37 41 04.554986064|003.3112453047053 -30.7966898657277|   4.795 -3.539    |10.30    |A9/F0V         |    ~     ~    
74  |V* V2235 Sgr                                                                                             |Long-Period Variable                  |20 07 30.0083642640 -38 31 49.108842084|002.2870128394369 -30.7231778523601| -7.349 -12.809    |9.51     |M3III          |    ~     ~    
75  |HD 190856                                                                                                |Star                                  |20 08 22.9334450640 -37 55 31.375695108|003.0173373932433 -30.7675425549449|   -1.345 3.217    |9.90     |G8(III)        |    ~     ~    
76  |HD 191006                                                                                                |Star                                  |20 09 09.5446124496 -38 36 27.453247812|002.2753211531477 -31.0563804616093|  -4.275 -5.636    |10.13    |G0/2V          |    ~     ~    
77  |HD 191019                                                                                                |Star                                  |20 09 12.2773495872 -38 18 12.390389208|002.6251028542257 -31.0037366536267|  48.615 -8.007    |7.32     |K3III          |    ~     ~    
78  |HD 191347                                                                                                |Spectroscopic Binary                  |20 10 54.3446411304 -38 10 57.279455976|002.8422542490016 -31.3064553759803| 32.241 -80.106    |10.063   |G3/5(V)        |    ~     ~    
79  |HD 191348                                                                                                |Spectroscopic Binary                  |20 10 54.5940890904 -38 23 02.910960024|002.6112305848306 -31.3474959043499|  11.799 -5.743    |10.21    |A9V            |    ~     ~    
80  |HD 191370                                                                                                |Star                                  |20 10 56.9073412176 -38 14 26.806755876|002.7774752148839 -31.3263349838141| 16.528 -10.488    |9.32     |K1III          |    ~     ~    
81  |HD 191626                                                                                                |High Proper Motion Star               |20 12 19.5523764312 -38 26 09.727115388|002.6155647445157 -31.6296670868528|-64.742 -85.540    |9.81     |G3V            |    ~     ~    
82  |HD 191888                                                                                                |Star                                  |20 13 31.4833317000 -37 54 49.555258308|003.2717807781622 -31.7582038080368| -11.991 -5.376    |10.078   |F5V            |    ~     ~    
83  |HD 191889                                                                                                |Spectroscopic Binary                  |20 13 33.8698863768 -38 26 53.007098820|002.6568614358934 -31.8699465572531|12.483 -168.242    |6.89     |F5V            |    ~     ~    
84  |HD 192015                                                                                                |Star                                  |20 14 11.7409503216 -38 12 03.408763284|002.9705847329591 -31.9438437499683| 23.290 -30.296    |9.00     |F3V            |    ~     ~    
85  |HD 190598                                                                                                |Star                                  |20 07 17.1203170272 -39 21 09.499655556|001.3395570922701 -30.8475217191088|  -9.227 -6.279    |8.63     |G8IV           |    ~     ~    
86  |HD 190669                                                                                                |Star                                  |20 07 32.2445693016 -39 22 02.036552556|001.3340548495683 -30.8981644314167|-21.442 -25.913    |9.36     |K1III          |    ~     ~    
87  |HD 190728                                                                                                |Star                                  |20 07 50.3675163744 -38 44 02.267336544|002.0706214720642 -30.8294861664787|  31.210 -9.274    |10.11    |G1/2V          |    ~     ~    
88  |HD 190729                                                                                                |High Proper Motion Star               |20 07 54.7154406600 -39 26 29.017656204|001.2657540305401 -30.9836161544933| 45.463 -25.722    |9.08     |G1/2V          |    ~     ~    
89  |HD 190759                                                                                                |Double or Multiple Star               |20 08 08.8810553 -39 29 29.493029      |001.2187013330 -31.0380511379      |   -11.15 10.71    |9.79     |G0V            |0.0033  0.0    
90  |HD 190826                                                                                                |Star                                  |20 08 20.2380377208 -38 48 02.645408916|002.0171491543161 -30.9379735605257| 15.195 -10.356    |8.35     |A5IV           |    ~     ~    
91  |HD 190981                                                                                                |Double or Multiple Star               |20 09 01.0819995528 -38 43 24.828230280|002.1362945028352 -31.0525764551516| 16.437 -24.015    |9.22     |F6V            |    ~     ~    
92  |V* V4430 Sgr                                                                                             |Long-Period Variable                  |20 10 34.8048890160 -39 12 45.258310260|001.6446139670777 -31.4457985101722| -4.443 -25.911    |9.01     |M1III          |    ~     ~    
93  |HD 191409                                                                                                |Double or Multiple Star               |20 11 13.77915 -39 25 43.8965          |001.42329868 -31.61004221          |   -0.32 -19.57    |10.39    |F6/7V          |0.0050  0.0    
94  |HD 191729                                                                                                |Star                                  |20 12 55.3267168368 -39 32 52.643962140|001.3564823615882 -31.9529506632246|  2.957 -28.838    |9.09     |F6V            |    ~     ~    
95  |HD 190648                                                                                                |Star                                  |20 07 28.9390434912 -39 44 08.992578264|000.9101593841619 -30.9594701765516| -11.118 -0.413    |9.25     |K1/2(IV)       |    ~     ~    
96  |HD 190730                                                                                                |High Proper Motion Star               |20 07 53.7357865680 -39 50 35.997195264|000.8048234151863 -31.0580021472676| 13.450 -98.472    |7.59     |F5V            |    ~     ~    
97  |HD 191540                                                                                                |Star                                  |20 12 02.0924795016 -39 43 48.425323620|001.1089199499423 -31.8181459902240|  11.434 -7.873    |9.66     |K4/M0          |    ~     ~    
98  |IRAS 20070-3927                                                                                          |Star                                  |20 10 19.8283817976 -39 18 15.117808392|001.5284020876390 -31.4158400091307|  -1.363 -1.525    |9.99     |~              |    ~     ~    
99  |CD-38 13864                                                                                              |Star                                  |20 07 23.2417376376 -38 02 14.506063296|002.8422797365650 -30.5992979709758|   -3.164 4.816    |10.295   |~              |    ~     ~    
100 |CD-39 13646                                                                                              |High Proper Motion Star               |20 10 11.8520014752 -38 53 19.549037544|001.9999748470441 -31.3104363000342| 10.078 -93.210    |10.66    |~              |    ~     ~    
101 |CD-40 13730                                                                                              |Star                                  |20 13 22.9983160992 -39 45 31.082637001|001.1309548841993 -32.0782421392734|   3.606 24.287    |10.08    |~              |    ~     ~    
102 |CD-40 13731                                                                                              |Star                                  |20 13 25.0475847528 -39 40 36.002878968|001.2275116922834 -32.0700331247640| 27.252 -22.029    |10.122   |~              |    ~     ~    
103 |CD-39 13678                                                                                              |High Proper Motion Star               |20 13 25.8564456552 -38 39 28.099121580|002.4085361302972 -31.8843811240536| 17.639 -49.434    |10.19    |~              |    ~     ~    
104 |CD-39 13689                                                                                              |Star                                  |20 14 54.4483650672 -38 39 36.515281860|002.4698737445246 -32.1679087408305|   1.713 -9.387    |9.83     |~              |    ~     ~    
105 |HD 191866                                                                                                |Double or Multiple Star               |20 13 26.38289 -38 21 22.6294          |002.75733415 -31.82828342          |      4.09 7.82    |9.34     |G8(III)        |    ~     ~    
106 |CD-38 13869                                                                                              |Star                                  |20 08 26.0512663416 -38 06 14.646777048|002.8163528914621 -30.8147055103242|   3.308 -5.629    |10.379   |~              |    ~     ~    
107 |CD-39 13634                                                                                              |Star                                  |20 09 06.4184336184 -39 16 23.935686132|001.5106526924189 -31.1775801321230|   4.457 -9.940    |10.65    |~              |    ~     ~    
108 |CD-39 13637                                                                                              |Star                                  |20 09 15.5381782704 -39 05 54.193840764|001.7178977844403 -31.1724678153956| -2.448 -20.882    |10.86    |~              |    ~     ~    
109 |CD-39 13641                                                                                              |Star                                  |20 09 29.1272594496 -39 25 52.665114936|001.3458205641369 -31.2797786516061|   7.020 -1.628    |10.67    |~              |    ~     ~    
110 |CD-38 13883                                                                                              |Star                                  |20 09 48.9375316416 -37 48 13.650454620|003.2244712840957 -31.0189887816305|   -0.444 6.256    |9.65     |~              |    ~     ~    
111 |CD-38 13884                                                                                              |High Proper Motion Star               |20 09 55.8755815896 -37 48 24.125651172|003.2266607108611 -31.0419374269908|-25.704 -47.237    |10.570   |~              |    ~     ~    
112 |CD-38 13885                                                                                              |Star                                  |20 10 02.9320656576 -38 32 01.112303076|002.4005827734195 -31.2120254517862|  -2.410 -5.229    |10.94    |~              |    ~     ~    
113 |CD-38 13890                                                                                              |Star                                  |20 10 38.0446872000 -37 44 13.162854408|003.3397764050787 -31.1634630920395|  15.945 -9.271    |10.735   |~              |    ~     ~    
114 |CD-39 13657                                                                                              |Star                                  |20 10 49.0706160504 -38 51 59.536060308|002.0530055024742 -31.4245348409182|  4.153 -10.775    |10.51    |~              |    ~     ~    
115 |CD-38 13900                                                                                              |Star                                  |20 11 20.3196180480 -37 44 07.279153584|003.3750496283121 -31.2994709330538| -19.402 -3.202    |10.315   |~              |    ~     ~    
116 |CD-38 13901                                                                                              |Star                                  |20 11 23.2685073216 -37 43 54.514889724|003.3814346491017 -31.3082593625077| -25.814 12.329    |10.779   |~              |    ~     ~    
117 |CD-40 13711                                                                                              |Star                                  |20 11 24.6063593016 -39 57 08.122090248|000.8263249514259 -31.7405702471722| 22.926 -10.744    |10.884   |~              |    ~     ~    
118 |CD-38 13904                                                                                              |Star                                  |20 11 55.1868078144 -38 30 01.880153460|002.5231086148456 -31.5642810409958|  14.173 -0.394    |10.03    |~              |    ~     ~    
119 |CD-38 13906                                                                                              |Star                                  |20 12 04.1767103016 -37 50 52.472895252|003.2802716703604 -31.4637112552900|   0.064 -7.356    |10.552   |~              |    ~     ~    
120 |CD-38 13918                                                                                              |Star                                  |20 13 29.6476427040 -38 06 10.633340268|003.0521930163154 -31.7895021336512| -22.652 -6.549    |10.384   |~              |    ~     ~    
121 |CD-37 13608                                                                                              |Star                                  |20 13 52.1520293112 -37 35 38.038305912|003.6563891460890 -31.7613135378319|   6.223 -5.720    |10.51    |~              |    ~     ~    
122 |CD-39 13685                                                                                              |Star                                  |20 14 14.1778114200 -39 22 30.866426724|001.6111632413743 -32.1710935990515|   1.992 -5.532    |10.31    |~              |    ~     ~    
123 |CD-38 13929                                                                                              |Star                                  |20 14 18.4811542800 -37 57 45.729861336|003.2510203722031 -31.9192503203115|    4.450 3.011    |10.397   |~              |    ~     ~    
124 |CD-40 13677                                                                                              |Star                                  |20 07 53.1441695952 -39 51 59.238759060|000.7779048104046 -31.0605521913930| -3.441 -25.993    |9.52     |~              |    ~     ~    
125 |TYC 7947-57-1                                                                                            |Star                                  |20 09 58.1436008160 -39 21 08.519607792|001.4574026714152 -31.3564165426394|  -3.182 -9.890    |10.98    |~              |    ~     ~    
126 |CD-38 13852                                                                                              |Star                                  |20 05 59.7094281696 -38 32 50.270836488|002.1971384911630 -30.4387294609332|   0.555 -8.997    |10.15    |MIII           |    ~     ~    
127 |TYC 7947-337-1                                                                                           |Star                                  |20 09 31.5924466560 -38 21 32.532325560|002.5764914309268 -31.0768228522198|   11.172 5.417    |10.43    |~              |    ~     ~    
128 |TYC 7947-1159-1                                                                                          |Star                                  |20 04 25.5625862448 -38 48 49.538789964|001.8212817061242 -30.1947905262533|  7.896 -16.822    |10.98    |~              |    ~     ~    
129 |TYC 7947-2878-1                                                                                          |Star                                  |20 09 05.3175470784 -37 32 23.158059216|003.4903843670494 -30.8231159023825| 27.007 -35.704    |10.711   |~              |    ~     ~    
130 |TYC 7947-2983-1                                                                                          |Star                                  |20 09 41.6575616496 -37 33 36.301795524|003.4966692376283 -30.9447501901891| 14.433 -21.985    |10.87    |~              |    ~     ~    
131 |TYC 7947-3091-1                                                                                          |Star                                  |20 08 33.7469848968 -37 38 24.317349504|003.3506177168736 -30.7424230424897|   -1.782 4.506    |10.768   |~              |    ~     ~    
132 |TYC 7948-12-1                                                                                            |Star                                  |20 12 05.2720593000 -37 57 31.560835536|003.1537863127329 -31.4895129828950|   -6.414 8.623    |10.51    |~              |    ~     ~    
133 |TYC 7948-209-1                                                                                           |Star                                  |20 10 36.8511053376 -39 06 15.466168908|001.7706564259713 -31.4315642561723|-13.007 -17.726    |10.73    |~              |    ~     ~    
134 |TYC 7948-243-1                                                                                           |Star                                  |20 10 37.5173199864 -39 02 12.042633372|001.8489051998298 -31.4206801587376| 22.048 -13.878    |10.56    |~              |    ~     ~    
135 |TYC 7948-490-1                                                                                           |Star                                  |20 12 02.8907 -38 33 53.462            |002.4547780 -31.6014329            |  9.947 -15.238    |10.94    |~              |    ~     ~    
136 |TYC 7948-610-1                                                                                           |Star                                  |20 12 30.9409714680 -38 46 14.368307088|002.2381459359367 -31.7306148343009| -15.526 -3.911    |10.68    |~              |    ~     ~    
137 |TYC 7948-1167-1                                                                                          |Star                                  |20 14 27.4842985056 -39 09 57.214353888|001.8635858772402 -32.1753073073764|  -4.597 -4.585    |10.90    |~              |    ~     ~    
138 |TYC 7951-1038-1                                                                                          |Star                                  |20 04 17.5551196632 -40 10 15.303915156|000.2756062465673 -30.4444202569146| 11.667 -11.137    |10.403   |~              |    ~     ~    
139 |TYC 7951-1093-1                                                                                          |Star                                  |20 08 53.1144473616 -39 38 19.770574668|001.0817208493611 -31.2057805952075|  8.216 -31.133    |10.72    |~              |    ~     ~    
140 |TYC 7951-1599-1                                                                                          |Star                                  |20 06 29.3670157896 -40 07 06.573444276|000.4298865454342 -30.8461514301469|  -1.935 -2.758    |10.897   |~              |    ~     ~    
141 |TYC 7951-1693-1                                                                                          |Star                                  |20 06 37.2374367408 -39 39 10.141041276|000.9675257119622 -30.7807432856630|   2.408 -2.338    |10.93    |~              |    ~     ~    
142 |TYC 7951-1721-1                                                                                          |Star                                  |20 09 16.7284646616 -39 53 10.637908908|000.8141148589133 -31.3267619965358|   8.389 -2.467    |10.957   |~              |    ~     ~    
143 |TYC 7951-1909-1                                                                                          |Star                                  |20 08 00.6210626448 -39 50 46.424950332|000.8064045111541 -31.0801771300409|   33.394 8.440    |10.30    |~              |    ~     ~    
144 |TYC 7952-633-1                                                                                           |Star                                  |20 10 41.4241208592 -39 50 25.220298156|000.9259709158107 -31.5844063903606| 10.568 -28.236    |10.802   |~              |    ~     ~    
145 |TYC 7952-644-1                                                                                           |Star                                  |20 11 36.1098120720 -39 49 52.611901320|000.9740750732351 -31.7547576076826|  6.234 -15.128    |10.962   |~              |    ~     ~    
146 |TYC 7952-686-1                                                                                           |Star                                  |20 13 14.9325369888 -39 52 00.043824216|001.0000581811684 -32.0720914473691|-10.483 -24.595    |10.58    |~              |    ~     ~    
147 |TYC 7952-1046-1                                                                                          |Star                                  |20 10 29.6814427632 -39 36 51.674931540|001.1783436141309 -31.5055015433762|   0.947 -2.674    |10.87    |~              |    ~     ~    
