C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:51:28

Vmag< 11&dec< 0&rah >=20.0&rah< 20.25
-------------------------------------

Number of objects : 4696

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
1   |HD 189139                                                                                                |High Proper Motion Star               |20 00 02.4382703232 -38 13 05.098125756|002.2767360339383 -29.2282541016063| 70.260 -28.399    |9.96     |G5V            |    ~     ~    
2   |HD 189442                                                                                                |Star                                  |20 01 34.1851718136 -38 01 33.160389996|002.5688400543756 -29.4783818332213|    6.779 5.261    |9.16     |K0/1III        |    ~     ~    
3   |HD 189831                                                                                                |High Proper Motion Star               |20 03 33.4666224840 -37 56 26.465857980|002.7641249755121 -29.8415852513179| 62.845 -85.958    |4.764    |K4III          |    ~     ~    
4   |CD-38 13811                                                                                              |Star                                  |20 01 25.9655735472 -38 01 51.627747036|002.5561863294182 -29.4532276796166|   21.022 2.710    |10.68    |~              |    ~     ~    
5   |HD 189469                                                                                                |Star                                  |20 01 37.5206738544 -38 25 02.420749848|002.1328439575048 -29.5755376873974|-12.005 -18.529    |8.24     |K2III          |    ~     ~    
6   |CD-38 13814                                                                                              |Star                                  |20 01 44.0001270864 -38 13 41.311991532|002.3503943373505 -29.5546044574783|    6.235 1.893    |9.61     |~              |    ~     ~    
7   |HD 189630                                                                                                |Star                                  |20 02 26.4536902320 -38 04 14.412051480|002.5623419113039 -29.6555486775499|  11.966 -0.892    |9.67     |F8/G0V         |    ~     ~    
8   |HD 189290                                                                                                |Star                                  |20 00 44.9735029296 -39 00 12.438103140|001.4324720615973 -29.5361375100459|  5.370 -13.851    |9.79     |A8/9IV         |    ~     ~    
9   |HD 189387                                                                                                |High Proper Motion Star               |20 01 13.8566382936 -38 40 45.023445696|001.8197169031786 -29.5574392320253|27.807 -162.415    |7.71     |F6/7V          |    ~     ~    
10  |HD 189443                                                                                                |High Proper Motion Star               |20 01 33.1763016528 -38 54 14.496482988|001.5827857148217 -29.6672843666413| 32.155 -48.377    |9.45     |F3/5V          |    ~     ~    
11  |HD 189470                                                                                                |Star                                  |20 01 39.8722991856 -39 35 47.289759540|000.8084643993565 -29.8346599055707|    8.552 0.584    |9.36     |A4III          |    ~     ~    
12  |HD 189544                                                                                                |High Proper Motion Star               |20 02 05.2588369080 -39 32 27.345901488|000.8906338839619 -29.9028958810423|28.026 -121.377    |9.37     |G3V            |    ~     ~    
13  |HD 189744                                                                                                |Star                                  |20 03 07.8080938800 -39 18 45.898762104|001.1964958544298 -30.0525555780393|    5.559 1.985    |9.45     |A2/3III        |    ~     ~    
14  |V* V4133 Sgr                                                                                             |alpha2 CVn Variable                   |20 03 35.2202818152 -38 51 09.131827212|001.7378284286783 -30.0431609794800| 37.584 -63.094    |6.90     |ApSrCrEu       |    ~     ~    
15  |HD 189196                                                                                                |Star                                  |20 00 30.6585626712 -40 01 02.080630380|000.2813637302279 -29.7050733443124|   -9.043 3.513    |10.142   |A7II/III       |    ~     ~    
16  |HD 189246                                                                                                |Star                                  |20 00 41.6596817184 -40 12 00.770227020|000.0834213766916 -29.7769621102718| -1.652 -13.924    |8.07     |M2III          |    ~     ~    
17  |HD 189269                                                                                                |Star                                  |20 00 44.0611597416 -39 53 20.895981432|000.4358684933746 -29.7204615200173|   18.323 4.605    |10.021   |F0V            |    ~     ~    
18  |HD 189341                                                                                                |High Proper Motion Star               |20 01 09.7110296112 -40 00 20.217233340|000.3240136900815 -29.8246427906927|  9.283 -60.083    |10.060   |F5V            |    ~     ~    
