C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:36:08

dec >=0&rah >=3.25&rah< 3.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4255

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
214 |TYC 2856-155-1                                                                                                                              |Star                                |03 17 24.2862492168 +42 59 21.141255012|149.3668190360056 -12.2664239937693|  -3.703 -0.999  |10.79    |~                 |    ~     ~    |    1|  711.136   pc  | -12.3900    +12.3900  |paral   |2020yCat.1350....0G
215 |TYC 2856-451-1                                                                                                                              |Star                                |03 15 36.6305466696 +43 01 03.485526132|149.0682719530347 -12.4192694081070|   3.871 -7.120  |10.04    |B8IV              |    ~     ~    |    1|  662.339   pc  | -12.2395    +12.2395  |paral   |2020yCat.1350....0G
216 |TYC 2856-471-1                                                                                                                              |Star                                |03 16 30.0104324808 +43 07 04.335297708|149.1533849197136 -12.2474117947091|   5.796 -9.574  |10.10    |~                 |    ~     ~    |    1|  665.557   pc  |  -8.2835     +8.2835  |paral   |2020yCat.1350....0G
217 |TYC 2856-575-1                                                                                                                              |Star                                |03 17 08.8280511816 +42 58 53.137151904|149.3305816487072 -12.2984679207611|    1.011 0.856  |10.43    |~                 |    ~     ~    |    1| 1185.255   pc  | -22.4773    +22.4773  |paral   |2020yCat.1350....0G
218 |TYC 2856-629-1                                                                                                                              |Star                                |03 15 16.5576263424 +42 46 42.537367884|149.1465763659298 -12.6540141554522|  18.478 -3.015  |10.92    |~                 |    ~     ~    |    1|  406.421   pc  |  -3.2705     +3.2705  |paral   |2020yCat.1350....0G
219 |TYC 2856-787-1                                                                                                                              |High Proper Motion Star             |03 16 37.8058424112 +43 07 01.736710500|149.1742196725668 -12.2352425382742| -2.906 -52.045  |10.80    |~                 |    ~     ~    |    1|  215.592   pc  |  -0.7251     +0.7251  |paral   |2020yCat.1350....0G
220 |TYC 2856-797-1                                                                                                                              |Star                                |03 15 57.1432543104 +43 01 38.724339612|149.1168747199996 -12.3774730758369| -10.274 -1.427  |10.95    |~                 |    ~     ~    |    1|  436.510   pc  |  -2.9534     +2.9534  |paral   |2020yCat.1350....0G
221 |TYC 2856-831-1                                                                                                                              |Star                                |03 19 21.3418 +43 04 31.923            |149.6246088 -11.9998975            |       4.3 -3.4  |10.83    |~                 |    ~     ~    |    0|                |                       |        |                   
222 |TYC 2856-1251-1                                                                                                                             |High Proper Motion Star             |03 17 09.8238497328 +42 52 32.308383324|149.3917818964223 -12.3857921103197| 31.199 -47.267  |10.65    |~                 |    ~     ~    |    1|  145.429   pc  |  -0.3786     +0.3786  |paral   |2020yCat.1350....0G
223 |TYC 2856-1789-1                                                                                                                             |Star                                |03 19 24.6585224448 +43 05 05.077337712|149.6280909354837 -11.9866649455963|   0.650 -4.152  |10.97    |~                 |    ~     ~    |    1|  997.705   pc  | -18.4152    +18.4152  |paral   |2020yCat.1350....0G
224 |TYC 2860-460-1                                                                                                                              |Star                                |03 17 22.6890541752 +43 39 34.164930996|148.9919232897465 -11.7053354543427| 21.883 -21.059  |9.79     |~                 |    ~     ~    |    1|  504.363   pc  |  -4.2482     +4.2482  |paral   |2020yCat.1350....0G
225 |TYC 2860-507-1                                                                                                                              |Star                                |03 15 23.2796218272 +44 24 53.553842496|148.2701953872735 -11.2600415695022|  18.707 -2.076  |10.70    |~                 |    ~     ~    |    1|  199.744   pc  |  -0.6424     +0.6424  |paral   |2020yCat.1350....0G
226 |TYC 2860-592-1                                                                                                                              |Star                                |03 18 23.6770972536 +43 42 07.522303752|149.1260460780974 -11.5699407391890|  8.463 -13.306  |9.94     |~                 |    ~     ~    |    1|  520.481   pc  |  -4.7678     +4.7678  |paral   |2020yCat.1350....0G
227 |TYC 2860-600-1                                                                                                                              |Star                                |03 17 29.6328741504 +43 15 59.220715932|149.2272230020538 -12.0245472897378|    1.495 0.134  |10.26    |~                 |    ~     ~    |    1|  756.372   pc  |  -9.0964     +9.0964  |paral   |2020yCat.1350....0G
228 |TYC 2860-769-1                                                                                                                              |Star                                |03 16 42.2905318128 +44 22 11.378194356|148.4973547034767 -11.1721785238812|-14.115 -17.403  |9.44     |~                 |    ~     ~    |    1|  253.293   pc  |  -6.4991     +6.4991  |paral   |2020yCat.1350....0G
229 |TYC 2860-1206-1                                                                                                                             |Star                                |03 18 44.5883442360 +43 18 57.955467060|149.3947306043048 -11.8593659624785|   1.303 -8.284  |10.94    |~                 |    ~     ~    |    1|  469.594   pc  |  -4.8735     +4.8735  |paral   |2020yCat.1350....0G
230 |TYC 2860-1318-1                                                                                                                             |Star                                |03 16 25.7480312184 +43 18 37.857774672|149.0361141624011 -12.0920463570101|   5.215 -3.064  |10.55    |~                 |    ~     ~    |    1|  312.588   pc  |  -1.6415     +1.6415  |paral   |2020yCat.1350....0G
231 |TYC 2860-1368-1                                                                                                                             |Star                                |03 19 59.3121924264 +43 28 08.081598684|149.5028568488119 -11.6077088171627|  -24.184 1.741  |9.44     |F8V               |    ~     ~    |    1|   93.346   pc  |  -0.2623     +0.2623  |paral   |2020yCat.1350....0G
232 |IRAS 03151+4324                                                                                                                             |Star                                |03 18 28.9071474024 +43 35 56.019280920|149.1968277475114 -11.6479838241592|  -2.428 -2.685  |9.59     |~                 |    ~     ~    |    1| 1644.466   pc  | -70.5814    +70.5814  |paral   |2020yCat.1350....0G
233 |TYC 2860-1428-1                                                                                                                             |Star                                |03 16 14.0284267416 +43 15 18.820468476|149.0358828633245 -12.1577762154214|  -6.435 -5.627  |10.81    |~                 |    ~     ~    |    1|  310.713   pc  | -22.4172    +22.4172  |paral   |2020yCat.1350....0G
234 |TYC 2860-1480-1                                                                                                                             |Star                                |03 16 43.8605108112 +43 07 47.690650452|149.1830430086745 -12.2145632325803|  -2.312 -3.788  |10.46    |~                 |    ~     ~    |    1|  915.667   pc  | -21.2965    +21.2965  |paral   |2020yCat.1350....0G
235 |TYC 2860-1562-1                                                                                                                             |Star                                |03 19 30.9001616856 +43 15 45.143067816|149.5448338524909 -11.8274967970057|  -0.467 -9.045  |10.92    |~                 |    ~     ~    |    1|  544.484   pc  |  -4.7434     +4.7434  |paral   |2020yCat.1350....0G
236 |TYC 2860-1722-1                                                                                                                             |Star                                |03 15 30.0653316888 +43 22 17.364733104|148.8570279782244 -12.1311644057075| 19.017 -18.877  |10.22    |~                 |    ~     ~    |    1|  245.423   pc  |  -1.2950     +1.2950  |paral   |2020yCat.1350....0G
237 |TYC 2860-2183-1                                                                                                                             |Star                                |03 17 14.2318333968 +43 55 23.761801020|148.8246541203584 -11.4970619391061| -14.557 -2.516  |9.37     |~                 |    ~     ~    |    1|  435.616   pc  |  -3.1311     +3.1311  |paral   |2020yCat.1350....0G
238 |TYC 2873-3320-1                                                                                                                             |Star                                |03 20 06.1236332208 +43 47 51.093883824|149.3364906544693 -11.3216576565422|   -8.675 0.182  |9.94     |~                 |    ~     ~    |    1|  466.723   pc  | -11.5450    +11.5450  |paral   |2020yCat.1350....0G
239 |TYC 2873-3394-1                                                                                                                             |Star                                |03 21 54.6990755184 +43 29 36.424401576|149.7860506735689 -11.3948938879159| -12.486 -3.984  |10.82    |~                 |    ~     ~    |    1|  806.517   pc  | -10.1473    +10.1473  |paral   |2020yCat.1350....0G
240 |TYC 2873-3442-1                                                                                                                             |Star                                |03 21 07.7332721520 +43 26 22.177596264|149.6957646296751 -11.5183983652641|   4.608 -5.954  |10.67    |~                 |    ~     ~    |    1| 1348.072   pc  | -34.1652    +34.1652  |paral   |2020yCat.1350....0G
241 |TYC 2873-3514-1                                                                                                                             |Star                                |03 20 37.9161631416 +43 27 04.275681048|149.6123732662684 -11.5583608760869|    6.316 2.315  |10.01    |~                 |    ~     ~    |    1|  217.884   pc  |  -0.9827     +0.9827  |paral   |2020yCat.1350....0G
242 |TYC 2873-3516-1                                                                                                                             |Star                                |03 20 52.8028646208 +43 14 53.353411260|149.7650199975851 -11.7029405933621|   0.287 -2.406  |9.83     |~                 |    ~     ~    |    1| 1449.906   pc  | -39.3116    +39.3116  |paral   |2020yCat.1350....0G
243 |TYC 2873-3528-1                                                                                                                             |Star                                |03 21 23.1103135320 +43 31 28.167263832|149.6874138944783 -11.4218644817736|   1.344 -6.103  |10.28    |~                 |    ~     ~    |    1|  653.637   pc  |  -7.0495     +7.0495  |paral   |2020yCat.1350....0G
244 |TYC 2873-3604-1                                                                                                                             |Star                                |03 21 49.0041075624 +43 20 09.622461588|149.8604368559655 -11.5355045193970|   1.416 -3.091  |10.77    |~                 |    ~     ~    |    1| 1465.631   pc  | -44.0355    +44.0355  |paral   |2020yCat.1350....0G
245 |TYC 2873-3616-1                                                                                                                             |Star                                |03 21 02.0144512632 +43 29 14.302572504|149.6541225688652 -11.4880659858438|  -0.721 -7.211  |10.07    |~                 |    ~     ~    |    1|  647.752   pc  |  -7.3847     +7.3847  |paral   |2020yCat.1350....0G
246 |TYC 2873-3640-1                                                                                                                             |Star                                |03 21 57.7580583000 +43 29 32.295871464|149.7945501377305 -11.3907235634891|   1.789 -0.282  |10.19    |~                 |    ~     ~    |    1|  624.337   pc  | -10.2516    +10.2516  |paral   |2020yCat.1350....0G
247 |HD 20179                                                                                                                                    |Star                                |03 16 08.5051169424 +41 51 36.880658100|149.7918332031059 -13.3421163641028| -0.668 -16.533  |8.55     |A5                |    ~     ~    |    1|  194.955   pc  |  -1.0984     +1.0984  |paral   |2020yCat.1350....0G
248 |HD 275054                                                                                                                                   |Star                                |03 18 57.1579979544 +41 11 10.806619668|150.6230414916083 -13.6206593750738|  -0.406 -6.717  |9.15     |G5                |    ~     ~    |    1|  345.602   pc  |  -2.0902     +2.0902  |paral   |2020yCat.1350....0G
249 |HD 275168                                                                                                                                   |Star                                |03 19 39.2195059464 +40 58 42.661579944|150.8543166044275 -13.7213515004082|  7.632 -13.678  |9.14     |K5                |    ~     ~    |    1|  915.835   pc  | -55.2738    +55.2738  |paral   |2020yCat.1350....0G
250 |HD 275166                                                                                                                                   |Star                                |03 20 56.7067876152 +41 05 58.925572476|150.9938866951642 -13.4855822506920| 41.391 -28.281  |10.76    |G0                |    ~     ~    |    1|  291.367   pc  |  -1.6724     +1.6724  |paral   |2020yCat.1350....0G
251 |HD 275273                                                                                                                                   |Star                                |03 23 52.4075043024 +40 37 45.392676096|151.7366427664826 -13.5650033755044|   3.791 -5.582  |8.53     |M0                |    ~     ~    |    1|  663.262   pc  | -10.9539    +10.9539  |paral   |2020yCat.1350....0G
252 |HD 275262                                                                                                                                   |Star                                |03 24 08.2617276432 +40 58 07.589261388|151.5818365374890 -13.2566455697006| 13.246 -20.780  |9.12     |K5                |    ~     ~    |    1|  356.952   pc  |  -2.8159     +2.8159  |paral   |2020yCat.1350....0G
253 |HD 275267                                                                                                                                   |Star                                |03 24 08.8517803608 +40 43 08.302049256|151.7285754874892 -13.4616375973192|  -2.739 -2.735  |9.20     |A2                |    ~     ~    |    1|  401.139   pc  |  -7.8686     +7.8686  |paral   |2020yCat.1350....0G
254 |HD 20987                                                                                                                                    |Star                                |03 24 44.8988681112 +40 45 39.119316840|151.8005896043365 -13.3626494673811|   1.075 -3.941  |7.94     |B9                |    ~     ~    |    0|                |                       |        |                   
255 |HD 275053                                                                                                                                   |Star                                |03 18 21.0256281216 +41 16 31.045645992|150.4754284350474 -13.6083965179571|  -4.506 -2.678  |10.89    |F5                |    ~     ~    |    1|  301.723   pc  |  -1.3291     +1.3291  |paral   |2020yCat.1350....0G
256 |HD 275052                                                                                                                                   |Star                                |03 19 10.2648627696 +41 16 17.969042208|150.6100769078586 -13.5268077167458|   1.173 -8.087  |10.60    |G5                |    ~     ~    |    1|  811.622   pc  | -51.0517    +51.0517  |paral   |2020yCat.1350....0G
257 |HD 275167                                                                                                                                   |Long-Period Variable                |03 20 26.7480558360 +41 05 22.837794828|150.9191147279451 -13.5461201758777|  -0.430 -2.051  |10.49    |G5                |    ~     ~    |    1| 2122.241   pc  |-108.5442   +108.5442  |paral   |2020yCat.1350....0G
258 |HD 275161                                                                                                                                   |Star                                |03 20 24.2539125840 +41 22 19.818942384|150.7515764397221 -13.3152313910039|  13.416 -7.568  |10.78    |G0                |    ~     ~    |    1|  363.702   pc  |  -8.2410     +8.2410  |paral   |2020yCat.1350....0G
259 |HD 275259                                                                                                                                   |Star                                |03 22 45.1286773896 +41 03 57.732032448|151.3036332355094 -13.3234149357598|   7.427 -6.443  |10.52    |K2                |    ~     ~    |    1|  772.917   pc  |  -9.8571     +9.8571  |paral   |2020yCat.1350....0G
260 |HD 275266                                                                                                                                   |Star                                |03 24 03.6933630048 +40 44 14.951544072|151.7039975367472 -13.4555792260144|  -0.668 -7.972  |10.06    |F0                |    ~     ~    |    1|  487.329   pc  |  -4.9635     +4.9635  |paral   |2020yCat.1350....0G
261 |HD 275261                                                                                                                                   |Star                                |03 23 45.5170762320 +40 58 24.736385424|151.5183923547254 -13.2931123230360|  -5.556 -6.105  |10.53    |K2                |    ~     ~    |    1|  764.351   pc  | -11.9768    +11.9768  |paral   |2020yCat.1350....0G
262 |NGC 1283                           NGC 1283                                                                                                 |Active Galaxy Nucleus               |03 20 15.5216891688 +41 23 55.110839136|150.7131598656958 -13.3082838728496|   0.556 -0.188  |12.6     |~                 |0.637 0.471    |    1|   76.56    Mpc |                       |        |2016AJ....152...50T
263 |NGC 1277                           NGC 1277                                                                                                 |Galaxy towards a Group of Galaxies  |03 19 51.4854427512 +41 34 24.934439244|150.5496402389823 -13.2038625374643|   0.602 -2.792  |     ~   |~                 |0.680 0.381    |    1|   67.72    Mpc |                       |redshift|2007ApJ...655..790C
264 |NGC 1272                           NGC 1272                                                                                                 |Galaxy towards a Group of Galaxies  |03 19 21.300 +41 29 26.13              |150.515878 -13.324998              |            ~ ~  |13.66    |~                 |1.200 1.176    |    1|   54.362   Mpc |                       |        |2019MNRAS.490..718B
265 |NGC 1273                           NGC 1273                                                                                                 |Galaxy towards a Group of Galaxies  |03 19 26.7462872568 +41 32 25.750682808|150.5022462160985 -13.2739862828375|            ~ ~  |14.20    |~                 |0.690 0.580    |    1|   55.72    Mpc |                       |        |2016AJ....152...50T
266 |NGC 1270                           NGC 1270                                                                                                 |Galaxy towards a Group of Galaxies  |03 18 58.1033109720 +41 28 12.469003356|150.4652619908158 -13.3818896233107|            ~ ~  |     ~   |~                 |0.750 0.600    |    1|   77.98    Mpc |                       |        |2016AJ....152...50T
267 |NGC 1264                           NGC 1264                                                                                                 |Low Surface Brightness Galaxy       |03 17 59.5628804784 +41 31 13.267574580|150.2798314448404 -13.4399047508776|            ~ ~  |     ~   |~                 |0.657 0.525    |    1|   44.69    Mpc |                       |redshift|2007ApJ...655..790C
268 |NGC 1260                           NGC 1260                                                                                                 |Galaxy towards a Group of Galaxies  |03 17 27.2296053456 +41 24 18.481941324|150.2574259619104 -13.5915402560200|            ~ ~  |     ~   |~                 |0.883 0.459    |    1|   76.6     Mpc |                       |        |2008MNRAS.389.1924F
269 |NGC 1271                           NGC 1271                                                                                                 |Galaxy towards a Group of Galaxies  |03 19 11.2915920504 +41 21 11.477339028|150.5667238706942 -13.4569485788129|            ~ ~  |     ~   |~                 |0.567 0.306    |    1|   78.12    Mpc |                       |redshift|2007ApJ...655..790C
270 |NGC 1279                           NGC 1279                                                                                                 |Galaxy towards a Group of Galaxies  |03 19 59.0521548984 +41 28 46.596625608|150.6231342710179 -13.2692206425701|            ~ ~  |     ~   |~                 |0.587 0.329    |    1|   98.64    Mpc |                       |redshift|2007ApJ...655..790C
271 |NGC 1259                           NGC 1259                                                                                                 |Galaxy towards a Group of Galaxies  |03 17 17.2707022200 +41 23 07.513025028|150.2416049677055 -13.6250239522108|            ~ ~  |     ~   |~                 |0.587 0.422    |    1|   83.167   Mpc |                       |        |2019MNRAS.490..718B
272 |NGC 1268                           NGC 1268                                                                                                 |Galaxy towards a Group of Galaxies  |03 18 45.1627078080 +41 29 19.489432776|150.4200471534286 -13.3884919911653|            ~ ~  |     ~   |~                 |0.623 0.511    |    1|   44.92    Mpc |                       |redshift|2007ApJ...655..790C
273 |NGC 1282                           NGC 1282                                                                                                 |Galaxy towards a Cluster of Galaxies|03 20 12.1042637304 +41 22 01.103677644|150.7220071543950 -13.3405783244701|            ~ ~  |     ~   |~                 |0.833 0.583    |    1|   43.262   Mpc |                       |        |2019MNRAS.490..718B
274 |HD 275046                                                                                                                                   |Star                                |03 16 27.0443905056 +41 32 09.771621072|150.0219614669361 -13.5836570592521|  5.490 -10.023  |10.38    |A2                |    ~     ~    |    1|  527.955   pc  | -14.1598    +14.1598  |paral   |2020yCat.1350....0G
275 |HD 275169                                                                                                                                   |Star                                |03 21 12.8783040984 +40 56 45.638500668|151.1252571561009 -13.5850422817369|  -5.274 -3.489  |10.48    |F0                |    ~     ~    |    1|  628.062   pc  |  -6.7453     +6.7453  |paral   |2020yCat.1350....0G
276 |HD 275171                                                                                                                                   |Star                                |03 22 06.5830694016 +40 52 02.255399256|151.3148142708319 -13.5559826366451|  -7.932 -4.798  |10.51    |G0                |    ~     ~    |    1|  227.925   pc  |  -1.0026     +1.0026  |paral   |2020yCat.1350....0G
277 |HD 275176                                                                                                                                   |Star                                |03 22 35.2030417344 +40 38 49.347419820|151.5187868011399 -13.6877907616270|  -1.459 -1.388  |10.45    |K0                |    ~     ~    |    1|  615.726   pc  |  -7.1274     +7.1274  |paral   |2020yCat.1350....0G
278 |HD 275258                                                                                                                                   |Star                                |03 22 45.6032674368 +41 09 56.611439856|151.2474541647713 -13.2400449605403|  -2.929 -0.623  |10.57    |K5                |    ~     ~    |    1|  779.970   pc  |  -9.6120     +9.6120  |paral   |2020yCat.1350....0G
279 |HD 275265                                                                                                                                   |Star                                |03 24 57.5505796968 +40 50 12.396955488|151.7900832132254 -13.2775003948380|  -3.507 -4.651  |10.07    |A5                |    ~     ~    |    1|  514.907   pc  |  -4.5867     +4.5867  |paral   |2020yCat.1350....0G
280 |HD 275275                                                                                                                                   |Star                                |03 22 45.2126297448 +40 30 53.324345160|151.6222161725846 -13.7794044652264|   6.034 -4.745  |10.45    |F5                |    ~     ~    |    1|  320.451   pc  |  -1.5506     +1.5506  |paral   |2020yCat.1350....0G
281 |HD 20489                                                                                                                                    |Star                                |03 19 17.9073430224 +42 36 37.230311952|149.8762633399456 -12.3948801750332|  -7.095 -0.405  |8.60     |K0                |    ~     ~    |    1|  303.472   pc  |  -2.3668     +2.3668  |paral   |2020yCat.1350....0G
282 |BD+42 741                                                                                                                                   |High Proper Motion Star             |03 20 02.8933259712 +42 33 41.121159948|150.0218484943409 -12.3599852137392| 43.485 -31.908  |9.51     |F5                |    ~     ~    |    1|  213.693   pc  |  -0.7626     +0.7626  |paral   |2020yCat.1350....0G
283 |BD+42 746                                                                                                                                   |Star                                |03 20 51.1695902760 +42 34 57.697896540|150.1363277761733 -12.2605563003494|  8.441 -11.622  |9.48     |K2                |    ~     ~    |    1|  509.814   pc  |  -5.0423     +5.0423  |paral   |2020yCat.1350....0G
284 |HD 20715                                                                                                                                    |Star                                |03 21 49.9607624808 +42 51 32.425526052|150.1330858980613 -11.9308190169219| 25.623 -27.213  |8.51     |G0                |    ~     ~    |    1|  204.851   pc  |  -1.1498     +1.1498  |paral   |2020yCat.1350....0G
285 |HD 20752                                                                                                                                    |High Proper Motion Star             |03 22 12.0572679216 +42 49 19.698321288|150.2113915787289 -11.9239683609054| 47.334 -52.173  |7.35     |A2                |    ~     ~    |    1|  123.945   pc  |  -0.4870     +0.4870  |paral   |2020yCat.1350....0G
286 |BD+42 757                                                                                                                                   |Star                                |03 24 27.5537737056 +43 08 57.295459680|150.3742486630735 -11.4218452112653|   1.465 -9.536  |10.77    |F2                |    ~     ~    |    1|  386.698   pc  | -30.6696    +30.6696  |paral   |2020yCat.1350....0G
287 |BD+41 640                                                                                                                                   |Star                                |03 15 59.8825763448 +42 16 13.498667004|149.5415758245403 -13.0110907310594| -11.036 -5.905  |10.70    |F8                |    ~     ~    |    1|  476.213   pc  |  -3.6965     +3.6965  |paral   |2020yCat.1350....0G
288 |HD 20244                                                                                                                                    |Star                                |03 16 45.1223116704 +42 13 10.026226560|149.6903584645002 -12.9786526837424|  -1.763 -9.757  |9.44     |A0                |    ~     ~    |    1|  346.536   pc  |  -2.2576     +2.2576  |paral   |2020yCat.1350....0G
289 |HD 20243                                                                                                                                    |High Proper Motion Star             |03 16 49.2412863000 +42 29 46.060685880|149.5477912745158 -12.7390866243650| 32.222 -52.621  |8.70     |F8                |    ~     ~    |    1|  110.549   pc  |  -0.5011     +0.5011  |paral   |2020yCat.1350....0G
290 |HD 20525                                                                                                                                    |Star                                |03 19 40.3907856984 +42 30 31.656890916|149.9923814066673 -12.4419290614511|  40.279 -0.132  |9.27     |G5                |    ~     ~    |    1|   98.851   pc  |  -0.1544     +0.1544  |paral   |2020yCat.1350....0G
291 |HD 275148                                                                                                                                   |Star                                |03 19 52.7862719856 +42 12 31.043073132|150.1941220797798 -12.6716752716539|  7.408 -10.311  |8.97     |K0                |    ~     ~    |    1|  363.148   pc  |  -2.3474     +2.3474  |paral   |2020yCat.1350....0G
292 |HD 20578                                                                                                                                    |Star                                |03 20 15.1025312088 +42 13 26.522204844|150.2443221001823 -12.6208747349309| 29.148 -29.328  |8.94     |F2                |    ~     ~    |    1|  159.444   pc  |  -0.5847     +0.5847  |paral   |2020yCat.1350....0G
293 |HD 275150                                                                                                                                   |Star                                |03 20 47.1343850376 +42 13 19.145399448|150.3299113494672 -12.5680015217823|  -1.587 -0.338  |10.28    |A0                |    ~     ~    |    1|  610.575   pc  | -13.4209    +13.4209  |paral   |2020yCat.1350....0G
294 |V* V374 Per                                                                                                                                 |Long-Period Variable Candidate      |03 17 22.4849951928 +42 19 26.691259224|149.7315148066584 -12.8282933076433|   1.305 -4.924  |10.16    |M                 |    ~     ~    |    1| 1229.41    pc  | -53.9585    +53.9585  |paral   |2020yCat.1350....0G
295 |HD 275239                                                                                                                                   |Star                                |03 24 15.0910561296 +42 14 31.533687528|150.8634594454309 -12.1932636042789|   1.595 -7.806  |10.34    |A2                |    ~     ~    |    1|  603.792   pc  |  -7.3277     +7.3277  |paral   |2020yCat.1350....0G
296 |BD+42 761                                                                                                                                   |Star                                |03 26 03.8710103880 +42 52 51.135644424|150.7759694634071 -11.4776159825786|  -19.449 0.327  |8.90     |K0                |    ~     ~    |    1|  386.250   pc  |  -2.8943     +2.8943  |paral   |2020yCat.1350....0G
297 |BD+42 762                                                                                                                                   |Star                                |03 26 05.2166774832 +42 35 35.823248304|150.9460506430527 -11.7120602919732|  -3.001 -3.134  |9.060    |A0                |    ~     ~    |    1|  587.993   pc  |  -6.6727     +6.6727  |paral   |2020yCat.1350....0G
298 |BD+42 764                                                                                                                                   |Star                                |03 26 32.6369300232 +42 30 44.037982872|151.0638254908967 -11.7308860016936|  -16.524 5.881  |9.19     |F5                |    ~     ~    |    1|  243.475   pc  |  -1.1619     +1.1619  |paral   |2020yCat.1350....0G
299 |BD+42 765                                                                                                                                   |Eclipsing Binary                    |03 26 38.8825096008 +42 43 24.783925404|150.9570830172488 -11.5462460201581| 81.348 -63.652  |9.87     |G0                |    ~     ~    |    1|  133.661   pc  |  -0.3823     +0.3823  |paral   |2020yCat.1350....0G
300 |HD 21154                                                                                                                                    |Star                                |03 26 30.0746175168 +42 16 33.493951596|151.1946543166184 -11.9295949441867|   7.897 -2.213  |7.99     |~                 |    ~     ~    |    1|  449.539   pc  |  -6.2242     +6.2242  |paral   |2020yCat.1350....0G
301 |HD 21399                                                                                                                                    |Star                                |03 28 38.4375192480 +42 14 14.737887780|151.5487746265185 -11.7345012367184|  9.201 -13.409  |8.73     |A0                |    ~     ~    |    1|  442.733   pc  |  -4.7827     +4.7827  |paral   |2020yCat.1350....0G
302 |HD 275039                                                                                                                                   |Star                                |03 18 56.0963832840 +42 05 29.212736460|150.1100217437409 -12.8657638041073|  14.055 -8.570  |9.61     |K5                |    ~     ~    |    1|  470.079   pc  |  -3.4251     +3.4251  |paral   |2020yCat.1350....0G
303 |HD 275149                                                                                                                                   |Star                                |03 19 41.1432098928 +42 10 33.868246800|150.1817092328734 -12.7186290592169|  19.306 -9.424  |8.85     |K0                |    ~     ~    |    1|  326.915   pc  |  -2.2550     +2.2550  |paral   |2020yCat.1350....0G
304 |HD 20589                                                                                                                                    |Star                                |03 20 17.2929881616 +41 53 49.941567204|150.4350242971759 -12.8897017731280|  8.630 -16.724  |8.10     |A2                |    ~     ~    |    1|  297.628   pc  |  -5.0581     +5.0581  |paral   |2020yCat.1350....0G
305 |HD 275151                                                                                                                                   |Star                                |03 22 19.7021858232 +42 10 02.086307724|150.6044670437586 -12.4548323870521| -2.526 -25.142  |8.99     |K2                |    ~     ~    |    1|  367.809   pc  |  -2.8680     +2.8680  |paral   |2020yCat.1350....0G
306 |HD 20800                                                                                                                                    |Star                                |03 22 36.7431423384 +41 41 30.300440388|150.9215301075613 -12.8197570703063|   2.795 -1.915  |8.72     |F0                |    ~     ~    |    1| 4293.688   pc  |-357.6537   +357.6537  |paral   |2020yCat.1350....0G
307 |HD 20811                                                                                                                                    |Star                                |03 22 39.7353735312 +41 55 34.598380728|150.7949802534533 -12.6201300397686| 24.190 -39.082  |8.13     |F0                |    ~     ~    |    1|  153.203   pc  |  -0.9647     +0.9647  |paral   |2020yCat.1350....0G
308 |HD 20871                                                                                                                                    |Star                                |03 23 26.5673228016 +41 42 30.845385180|151.0434808826873 -12.7189449256586|   1.821 -3.710  |8.65     |B8                |    ~     ~    |    1|  872.905   pc  | -26.5163    +26.5163  |paral   |2020yCat.1350....0G
309 |HD 20993                                                                                                                                    |Double or Multiple Star             |03 24 50.9173 +41 58 43.289            |151.1091183 -12.3482522            |       5.2 -9.3  |8.58     |A0                |    ~     ~    |    0|                |                       |        |                   
310 |HD 275242                                                                                                                                   |Star                                |03 25 36.8537050248 +42 03 30.413847204|151.1828272928542 -12.2019857017114|  -1.791 -5.904  |9.03     |A3                |    ~     ~    |    1|  217.941   pc  |  -0.8835     +0.8835  |paral   |2020yCat.1350....0G
311 |HD 275160                                                                                                                                   |Spectroscopic Binary                |03 22 33.1113926712 +41 25 33.315730968|151.0645043063462 -13.0464191323388| 19.309 -12.662  |10.29    |F8                |    ~     ~    |    1|  332.923   pc  |  -8.6897     +8.6897  |paral   |2020yCat.1350....0G
312 |HD 275251                                                                                                                                   |Star                                |03 22 46.3439227152 +41 30 27.921807180|151.0526114236725 -12.9554816011208|  0.705 -20.270  |9.87     |G0                |    ~     ~    |    1|  110.406   pc  |  -2.3026     +2.3026  |paral   |2020yCat.1350....0G
313 |HD 20872                                                                                                                                    |Star                                |03 23 30.5999786112 +41 12 24.935878368|151.3435645933806 -13.1266908905180| 14.106 -28.072  |7.81     |A2                |    ~     ~    |    1|  186.216   pc  |  -0.9363     +0.9363  |paral   |2020yCat.1350....0G
314 |HD 275260                                                                                                                                   |Star                                |03 23 46.5275745840 +41 07 11.381405808|151.4363420421005 -13.1705097519477|  -0.576 -5.979  |9.35     |K0                |    ~     ~    |    1|  428.376   pc  |  -5.1565     +5.1565  |paral   |2020yCat.1350....0G
315 |HD 275252                                                                                                                                   |Star                                |03 23 49.3084581384 +41 23 47.542770888|151.2836367005190 -12.9370234486412| 12.753 -16.980  |10.35    |K2                |    ~     ~    |    1|  349.443   pc  |  -1.8439     +1.8439  |paral   |2020yCat.1350....0G
