C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:36:08

dec >=0&rah >=3.25&rah< 3.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4255

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |HD 275130                                                                                                                                   |Star                                |03 17 06.2218867992 +38 00 58.696859736|152.1210806776381 -16.4637918325962|   2.086 -6.036  |10.59    |K5                |    ~     ~    |    1|  830.703   pc  | -10.6960    +10.6960  |paral   |2020yCat.1350....0G
23  |HD 275145                                                                                                                                   |Star                                |03 18 32.0430906840 +37 36 51.404740200|152.5986704565048 -16.6422506408697| 10.820 -27.076  |10.57    |F8                |    ~     ~    |    1|  256.469   pc  |  -2.5850     +2.5850  |paral   |2020yCat.1350....0G
24  |HD 275233                                                                                                                                   |Star                                |03 18 46.7745083856 +37 47 22.425232272|152.5390569597063 -16.4695728627618| 23.266 -28.473  |10.76    |F2                |    ~     ~    |    1|  212.260   pc  |  -0.7794     +0.7794  |paral   |2020yCat.1350....0G
25  |HD 275231                                                                                                                                   |Star                                |03 20 42.5443527792 +37 51 12.551882580|152.8310143771896 -16.2035240882216|  1.278 -10.414  |10.66    |F8                |    ~     ~    |    1|  362.148   pc  |  -9.6134     +9.6134  |paral   |2020yCat.1350....0G
26  |HD 275146                                                                                                                                   |Star                                |03 16 29.0846805744 +37 19 21.605270988|152.4134053534338 -17.1101729938160|  -9.295 -3.058  |10.19    |A0                |    ~     ~    |    1|  334.717   pc  |  -2.3079     +2.3079  |paral   |2020yCat.1350....0G
27  |IRAS 03149+3724                                                                                                                             |Long-Period Variable                |03 18 11.4661206264 +37 35 57.988083516|152.5483256905849 -16.6923260443968|    8.091 1.833  |10.42    |~                 |    ~     ~    |    1| 1291.489   pc  | -84.3980    +84.3980  |paral   |2020yCat.1350....0G
28  |HD 275227                                                                                                                                   |High Proper Motion Star             |03 19 26.4931791168 +38 00 47.793684744|152.5221915469433 -16.2110413168084|-115.555 -44.025 |10.57    |M0                |    ~     ~    |    1|   33.472   pc  |  -0.0193     +0.0193  |paral   |2020yCat.1350....0G
29  |HD 275113                                                                                                                                   |Star                                |03 16 10.8582879144 +38 31 17.352586812|151.6744101827727 -16.1409656533277| -10.042 -4.505  |10.46    |G0                |    ~     ~    |    1|  299.608   pc  | -11.3373    +11.3373  |paral   |2020yCat.1350....0G
30  |HD 275117                                                                                                                                   |Double or Multiple Star             |03 16 36.3298419864 +38 26 26.908660392|151.7927833939058 -16.1629587435804| 32.836 -19.753  |10.006   |G0                |    ~     ~    |    1|  257.666   pc  |  -1.3544     +1.3544  |paral   |2020yCat.1350....0G
31  |HD 275138                                                                                                                                   |Star                                |03 17 22.1220593472 +37 55 27.952857912|152.2193524265362 -16.5116347890803| 12.169 -17.585  |9.58     |M0                |    ~     ~    |    1|  699.105   pc  | -10.9480    +10.9480  |paral   |2020yCat.1350....0G
32  |HD 275139                                                                                                                                   |High Proper Motion Star             |03 18 28.7560812336 +37 43 20.051596236|152.5266447710470 -16.5585364043929| 53.112 -13.049  |10.27    |G0                |    ~     ~    |    1|  145.794   pc  |  -0.4294     +0.4294  |paral   |2020yCat.1350....0G
33  |HD 275141                                                                                                                                   |Star                                |03 15 28.0530075168 +37 33 22.123606212|152.1027838841567 -17.0258743017203|   0.663 -1.002  |10.47    |K2                |    ~     ~    |    1|  947.149   pc  | -90.7856    +90.7856  |paral   |2020yCat.1350....0G
34  |HD 275234                                                                                                                                   |Star                                |03 19 06.0683226000 +37 34 03.069017472|152.7232244207511 -16.6185158501555|   2.473 -2.591  |9.46     |M0                |    ~     ~    |    1| 1024.066   pc  | -25.9031    +25.9031  |paral   |2020yCat.1350....0G
35  |HD 278440                                                                                                                                   |Star                                |03 15 51.2143865352 +37 05 53.712601080|152.4327889948553 -17.3667113395574|  5.175 -22.703  |10.37    |G5                |    ~     ~    |    1|  264.005   pc  |  -1.4497     +1.4497  |paral   |2020yCat.1350....0G
36  |TYC 2848-1766-1                                                                                                                             |Star                                |03 16 01.7659003944 +37 55 49.794370896|151.9857234031489 -16.6518084413088| -2.090 -14.157  |10.67    |~                 |    ~     ~    |    1|  550.509   pc  |  -5.5763     +5.5763  |paral   |2020yCat.1350....0G
37  |HD 275044                                                                                                                                   |High Proper Motion Star             |03 15 04.4816184648 +41 37 09.705960624|149.7527523119631 -13.6522807411380| 37.863 -49.531  |9.30     |G0                |    ~     ~    |    1|  130.859   pc  |  -0.2911     +0.2911  |paral   |2020yCat.1350....0G
38  |HD 275055                                                                                                                                   |Star                                |03 15 11.3227367256 +41 10 11.159756040|150.0203217378234 -14.0198338344388|  -6.347 -6.981  |9.49     |A2                |    ~     ~    |    1|  855.725   pc  | -32.4393    +32.4393  |paral   |2020yCat.1350....0G
39  |HD 275056                                                                                                                                   |Star                                |03 15 59.8198296168 +40 59 58.576257636|150.2471713836002 -14.0808699607104|    1.628 1.637  |9.91     |B9                |    ~     ~    |    1| 1293.494   pc  | -80.4774    +80.4774  |paral   |2020yCat.1350....0G
40  |HD 275069                                                                                                                                   |High Proper Motion Star             |03 18 01.7699179992 +40 41 58.063266168|150.7480789369825 -14.1233507903141|49.568 -115.803  |9.42     |G0                |    ~     ~    |    1|  119.670   pc  |  -0.2377     +0.2377  |paral   |2020yCat.1350....0G
41  |HD 275063                                                                                                                                   |Star                                |03 19 16.6254620328 +40 56 42.396176724|150.8122322164522 -13.7884259266023|  -6.546 -0.951  |9.95     |F0                |    ~     ~    |    1|  279.455   pc  |  -1.3198     +1.3198  |paral   |2020yCat.1350....0G
42  |HD 275173                                                                                                                                   |Star                                |03 20 42.3735119496 +40 45 38.016148680|151.1491661935251 -13.7926357599459|  -14.155 7.122  |10.85    |F8                |    ~     ~    |    1|  113.906   pc  |  -0.1674     +0.1674  |paral   |2020yCat.1350....0G
43  |HD 20283                                                                                                                                    |Double or Multiple Star             |03 17 11.45946 +40 28 58.6932          |150.73269162 -14.39165262          |   16.98 -34.42  |6.460    |B9.5Vn+A2VpSrCrSi |    ~     ~    |    0|                |                       |        |                   
44  |HD 20283A                                                                                                                                   |Star                                |03 17 11.4584328598 +40 28 58.699907931|150.7326877598152 -14.3916528373686| 15.162 -33.646  |6.845    |B9.5Vn            |    ~     ~    |    1|  189.365   pc  |  -1.6423     +1.6423  |paral   |2020yCat.1350....0G
45  |HD 20283B                                                                                                                                   |Star                                |03 17 11.6097013248 +40 29 01.818586968|150.7326143881770 -14.3906652948060| 18.374 -32.493  |7.72     |A2VpSrCrSi        |    ~     ~    |    1|  182.063   pc  |  -1.4353     +1.4353  |paral   |2020yCat.1350....0G
46  |HD 275180                                                                                                                                   |Star                                |03 19 24.4015217448 +40 29 52.558470672|151.0875282681193 -14.1478679403856|   8.869 -9.991  |10.07    |K2                |    ~     ~    |    1|  652.614   pc  |  -7.2830     +7.2830  |paral   |2020yCat.1350....0G
47  |HD 275179                                                                                                                                   |Star                                |03 19 48.0587845320 +40 28 56.721067680|151.1607879914757 -14.1193469865725|  25.814 -4.077  |9.68     |F8                |    ~     ~    |    1|  162.978   pc  |  -0.5498     +0.5498  |paral   |2020yCat.1350....0G
48  |HD 275062                                                                                                                                   |Star                                |03 19 05.9156924976 +40 57 36.256739364|150.7747819107143 -13.7944980302897|    9.309 5.524  |10.40    |G5                |    ~     ~    |    1|  385.550   pc  |  -2.3338     +2.3338  |paral   |2020yCat.1350....0G
49  |HD 275067                                                                                                                                   |Spectroscopic Binary                |03 16 13.6703732952 +40 44 55.550191272|150.4251585980653 -14.2680742591390| 54.196 -71.278  |10.91    |F8                |    ~     ~    |    1|  196.175   pc  |  -0.6619     +0.6619  |paral   |2020yCat.1350....0G
50  |HD 275059                                                                                                                                   |Star                                |03 16 41.1114620136 +40 55 34.587092424|150.4007058562347 -14.0720366289741|   5.096 -3.348  |10.37    |K2                |    ~     ~    |    1| 1297.859   pc  | -35.3732    +35.3732  |paral   |2020yCat.1350....0G
51  |HD 275068                                                                                                                                   |Star                                |03 17 36.6827681952 +40 45 33.041498004|150.6460181968155 -14.1167026293936| 34.244 -30.006  |10.73    |G0                |    ~     ~    |    1|  196.491   pc  |  -0.5598     +0.5598  |paral   |2020yCat.1350....0G
52  |HD 275075                                                                                                                                   |High Proper Motion Star             |03 16 38.4341098776 +40 14 52.070029620|150.7743339438008 -14.6459632384033|141.214 -52.174  |10.47    |F8                |    ~     ~    |    1|  111.027   pc  |  -0.2416     +0.2416  |paral   |2020yCat.1350....0G
