C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:25:35

dec >=0&rah >=8.0&rah< 8.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4688

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |TYC 4631-2775-1                                                                                                                                                                |Star                              |08 10 26.4537136080 +83 40 53.949538020|129.7397693038390 +29.0985115586916|   -2.834 0.272    |10.94    |~                |    ~     ~    |    1|  751.371   pc  | -37.7690    +37.7690  |paral   |2020yCat.1350....0G
23  |TYC 4635-14-1                                                                                                                                                                  |Star                              |08 07 39.7372131816 +84 33 01.478049084|128.8105310974049 +28.7846420724168| 10.961 -13.904    |10.83    |~                |    ~     ~    |    1| 1014.096   pc  | -11.1066    +11.1066  |paral   |2020yCat.1350....0G
24  |BD+83 201                                                                                                                                                                      |Star                              |08 03 08.4679375368 +82 50 52.053317304|130.7248194323210 +29.1134826008135|  2.338 -14.346    |9.83     |F0               |    ~     ~    |    1|  360.581   pc  |  -1.6642     +1.6642  |paral   |2020yCat.1350....0G
25  |BD+83 202                                                                                                                                                                      |Spectroscopic Binary              |08 04 29.4671948016 +83 04 32.941695216|130.4602974482356 +29.0965088723177|    5.778 0.950    |10.50    |K5               |    ~     ~    |    1| 1066.780   pc  | -20.4844    +20.4844  |paral   |2020yCat.1350....0G
26  |BD+83 203                                                                                                                                                                      |Star                              |08 04 40.9044241656 +82 53 44.067736464|130.6581925664790 +29.1478364873753|    3.284 0.458    |10.53    |F5               |    ~     ~    |    1|  531.604   pc  |  -4.0412     +4.0412  |paral   |2020yCat.1350....0G
27  |BD+83 204                                                                                                                                                                      |Star                              |08 05 32.9799058080 +82 39 45.949996404|130.9081980712290 +29.2333290926830|  -3.153 -6.190    |10.63    |F8               |    ~     ~    |    1|  439.928   pc  |  -9.8510     +9.8510  |paral   |2020yCat.1350....0G
28  |BD+82 217                                                                                                                                                                      |Star                              |08 00 34.7787412944 +82 10 30.183991104|131.4957829417958 +29.1922280311275| -13.622 31.641    |9.93     |F5               |    ~     ~    |    1|  147.984   pc  |  -0.2518     +0.2518  |paral   |2020yCat.1350....0G
29  |BD+82 218                                                                                                                                                                      |Star                              |08 01 21.2508007152 +81 52 46.496559288|131.8183174836156 +29.2861136472743|   22.043 5.099    |10.29    |K0               |    ~     ~    |    1|  402.156   pc  |  -7.2940     +7.2940  |paral   |2020yCat.1350....0G
30  |BD+82 219                                                                                                                                                                      |Star                              |08 02 35.2815832032 +82 06 30.722415624|131.5515826094416 +29.2744830475833|  -0.717 18.558    |10.48    |G5               |    ~     ~    |    1|  261.862   pc  |  -0.9394     +0.9394  |paral   |2020yCat.1350....0G
31  |HD 64466                                                                                                                                                                       |Star                              |08 08 52.8654235824 +82 24 36.155907684|131.1556796772057 +29.4036415451579|  -3.230 -7.817    |9.21     |A                |    ~     ~    |    1|  305.427   pc  |  -1.4366     +1.4366  |paral   |2020yCat.1350....0G
32  |BD+82 225                                                                                                                                                                      |Star                              |08 10 27.8979262464 +82 12 11.456426628|131.3681191161102 +29.5103405744414|   0.692 12.783    |9.96     |G0               |    ~     ~    |    1|  493.437   pc  |  -4.2609     +4.2609  |paral   |2020yCat.1350....0G
33  |HD 65217                                                                                                                                                                       |Star                              |08 12 27.6102022152 +82 28 16.329433656|131.0510424415642 +29.5000455319732| -2.583 -14.915    |9.12     |F5               |    ~     ~    |    1|  476.259   pc  |  -4.2869     +4.2869  |paral   |2020yCat.1350....0G
34  |BD+82 229                                                                                                                                                                      |Star                              |08 11 53.5132484520 +82 16 06.315044628|131.2808137812907 +29.5387554551705| -8.815 -14.475    |10.71    |F5               |    ~     ~    |    1|  199.362   pc  |  -0.5644     +0.5644  |paral   |2020yCat.1350....0G
35  |BD+82 230                                                                                                                                                                      |Star                              |08 13 24.4301404896 +82 03 52.063466220|131.4893138593843 +29.6454956403284|-13.321 -16.030    |9.75     |K2               |    ~     ~    |    1|  643.583   pc  |  -4.7633     +4.7633  |paral   |2020yCat.1350....0G
36  |BD+82 220                                                                                                                                                                      |Star                              |08 02 12.2121544968 +81 46 49.759779648|131.9208982335080 +29.3383566400304|  -16.918 4.100    |10.80    |F0               |    ~     ~    |    1|  299.706   pc  |  -1.1497     +1.1497  |paral   |2020yCat.1350....0G
37  |BD+82 221                                                                                                                                                                      |Star                              |08 03 08.7896048664 +81 48 48.131655696|131.8751789409541 +29.3633458355012|  9.512 -21.235    |10.75    |G5               |    ~     ~    |    1|  264.936   pc  |  -0.6738     +0.6738  |paral   |2020yCat.1350....0G
38  |BD+82 223                                                                                                                                                                      |Star                              |08 08 24.7480461144 +81 48 52.645075992|131.8204222482795 +29.5446325904642|   12.437 5.980    |10.47    |G0               |    ~     ~    |    1|  310.472   pc  |  -1.5905     +1.5905  |paral   |2020yCat.1350....0G
39  |HD 64764                                                                                                                                                                       |Star                              |08 09 01.4190534864 +81 42 35.809708248|131.9300933680304 +29.5929810689401| -7.844 -38.351    |8.240    |K2               |    ~     ~    |    1|  310.655   pc  |  -1.7564     +1.7564  |paral   |2020yCat.1350....0G
40  |BD+82 226                                                                                                                                                                      |Star                              |08 09 23.1921110280 +81 41 05.037495792|131.9541462712015 +29.6122170081403|    6.346 3.957    |9.48     |A2               |    ~     ~    |    1|  401.123   pc  |  -2.5583     +2.5583  |paral   |2020yCat.1350....0G
41  |BD+82 227                                                                                                                                                                      |Star                              |08 09 45.3417786216 +81 41 20.366540880|131.9453857378097 +29.6239720772661|    2.293 1.191    |9.96     |K0               |    ~     ~    |    1|  785.176   pc  |  -7.5830     +7.5830  |paral   |2020yCat.1350....0G
42  |HD 65753                                                                                                                                                                       |Star                              |08 13 37.2885994224 +81 45 27.967012128|131.8256237707400 +29.7391179584886| -38.425 -2.012    |8.04     |F5               |    ~     ~    |    1|  135.801   pc  |  -1.2080     +1.2080  |paral   |2020yCat.1350....0G
