C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:25:35

dec >=0&rah >=8.0&rah< 8.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4688

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
518 |TYC 3802-1130-1                                                                                                                                                                |Star                              |08 06 40.0752464712 +58 48 14.977623996|158.5201427931375 +32.5928342713090|   -1.913 2.068    |10.06    |~                |    ~     ~    |    1|  382.702   pc  |  -4.1448     +4.1448  |paral   |2020yCat.1350....0G
519 |TYC 3802-1154-1                                                                                                                                                                |Star                              |08 11 33.7600940976 +59 16 12.551314764|157.9481691541975 +33.2115878882845|   -7.482 6.547    |10.21    |~                |    ~     ~    |    1|  271.017   pc  |  -1.3148     +1.3148  |paral   |2020yCat.1350....0G
520 |TYC 3802-1225-1                                                                                                                                                                |Star                              |08 13 43.4624531088 +57 52 17.258528784|159.6118829048212 +33.5362986197446|   -1.520 0.369    |9.72     |~                |    ~     ~    |    1|  643.749   pc  |  -5.6360     +5.6360  |paral   |2020yCat.1350....0G
521 |TYC 3802-1268-1                                                                                                                                                                |Star                              |08 09 02.1422823312 +58 28 44.644076508|158.9016575535378 +32.9052669776389|  -8.424 -7.836    |9.81     |~                |    ~     ~    |    1|  672.450   pc  |  -7.2350     +7.2350  |paral   |2020yCat.1350....0G
522 |BD+58 1096                                                                                                                                                                     |Star                              |08 08 47.8073970912 +58 10 20.576561664|159.2673784638754 +32.8782077066398| -11.896 -2.192    |10.50    |~                |    ~     ~    |    1|  337.018   pc  |  -1.9422     +1.9422  |paral   |2020yCat.1350....0G
523 |TYC 3802-1412-1                                                                                                                                                                |Star                              |08 08 20.5470524832 +58 34 37.727673132|158.7865767234857 +32.8132784561167| -33.747 -1.312    |10.61    |~                |    ~     ~    |    1|  134.239   pc  |  -0.2595     +0.2595  |paral   |2020yCat.1350....0G
524 |TYC 3802-1520-1                                                                                                                                                                |Star                              |08 05 56.8221052200 +58 49 12.842407056|158.5021517307288 +32.4993557416678| 14.742 -30.914    |10.24    |~                |    ~     ~    |    1|  177.588   pc  |  -0.4510     +0.4510  |paral   |2020yCat.1350....0G
525 |TYC 3802-1582-1                                                                                                                                                                |Star                              |08 11 43.9725985344 +57 56 52.113155028|159.5279031926087 +33.2700783282366| -18.808 -7.000    |10.78    |~                |    ~     ~    |    1|  336.010   pc  |  -1.8968     +1.8968  |paral   |2020yCat.1350....0G
526 |TYC 3802-1606-1                                                                                                                                                                |Star                              |08 11 39.7335085776 +58 53 02.547491892|158.4089857715158 +33.2369951207033| -5.958 -20.998    |9.99     |~                |    ~     ~    |    1|  298.009   pc  |  -1.2078     +1.2078  |paral   |2020yCat.1350....0G
527 |TYC 3802-1648-1                                                                                                                                                                |Pulsating Variable                |08 10 33.0467311752 +58 31 46.633219104|158.8368295846278 +33.1021343586656|  1.654 -39.485    |10.42    |~                |    ~     ~    |    1|  707.214   pc  |  -9.9030     +9.9030  |paral   |2020yCat.1350....0G
528 |TYC 3802-1700-1                                                                                                                                                                |Star                              |08 11 24.8695928856 +57 47 12.966671544|159.7211853952037 +33.2307622087815|  3.148 -20.702    |10.13    |~                |    ~     ~    |    1|  216.535   pc  |  -1.7254     +1.7254  |paral   |2020yCat.1350....0G
529 |TYC 3802-1755-1                                                                                                                                                                |Star                              |08 11 47.7019155744 +57 45 54.362665116|159.7462125937879 +33.2818713708992| -15.299 -3.357    |10.10    |~                |    ~     ~    |    1|  248.793   pc  |  -5.1190     +5.1190  |paral   |2020yCat.1350....0G
530 |TYC 3802-1959-1                                                                                                                                                                |Star                              |08 05 37.9556272896 +58 03 23.490429300|159.4076470222401 +32.4609813739782|   14.099 1.395    |10.73    |~                |    ~     ~    |    1|  160.725   pc  |  -0.4443     +0.4443  |paral   |2020yCat.1350....0G
531 |TYC 3802-2007-1                                                                                                                                                                |Star                              |08 06 33.9764124168 +58 36 43.288633728|158.7483189273466 +32.5815032068443| -5.620 -22.177    |10.73    |~                |    ~     ~    |    1|  604.631   pc  |  -6.7267     +6.7267  |paral   |2020yCat.1350....0G
532 |TYC 4126-181-1                                                                                                                                                                 |Star                              |08 14 19.3924676208 +60 19 56.104751424|156.6587491105205 +33.5094199962721|   0.671 -3.820    |10.54    |~                |    ~     ~    |    1|  717.721   pc  |  -6.7481     +6.7481  |paral   |2020yCat.1350....0G
533 |TYC 4126-247-1                                                                                                                                                                 |Star                              |08 12 12.8400508344 +60 16 00.863125068|156.7534831843896 +33.2519936254569| -9.298 -26.531    |10.57    |~                |    ~     ~    |    1|  303.850   pc  |  -2.6220     +2.6220  |paral   |2020yCat.1350....0G
534 |TYC 4126-375-1                                                                                                                                                                 |Star                              |08 14 23.5324041000 +60 03 41.929221384|156.9822525237802 +33.5331464135732|  -1.558 -3.636    |10.31    |~                |    ~     ~    |    1| 1237.930   pc  | -25.4390    +25.4390  |paral   |2020yCat.1350....0G
535 |TYC 4126-575-1                                                                                                                                                                 |Star                              |08 11 04.0716009624 +60 01 14.401758504|157.0550799668401 +33.1205679722188|    1.288 2.714    |10.96    |~                |    ~     ~    |    1|  242.014   pc  |  -1.7278     +1.7278  |paral   |2020yCat.1350....0G
536 |TYC 4126-743-1                                                                                                                                                                 |Star                              |08 08 08.1713389128 +60 01 03.033578676|157.0744375571429 +32.7546693222898| -5.681 -14.240    |10.02    |~                |    ~     ~    |    1|  596.267   pc  |  -6.3641     +6.3641  |paral   |2020yCat.1350....0G
537 |TYC 4126-1263-1                                                                                                                                                                |Star                              |08 10 46.7193946104 +60 24 26.033494896|156.5959314509304 +33.0680588464270|   0.516 -7.613    |10.59    |~                |    ~     ~    |    1| 1214.182   pc  | -20.0496    +20.0496  |paral   |2020yCat.1350....0G
538 |TYC 4126-1541-1                                                                                                                                                                |Star                              |08 08 29.6083027920 +60 12 10.483100784|156.8523598425296 +32.7932555840871|  -2.452 -5.909    |10.22    |~                |    ~     ~    |    1|  654.707   pc  |  -5.6152     +5.6152  |paral   |2020yCat.1350....0G
539 |HD 65449                                                                                                                                                                       |Star                              |08 01 59.9207645616 +58 02 58.157806344|159.4114512178353 +31.9802369301577|  -1.341 -6.444    |8.92     |G5               |    ~     ~    |    1|  409.920   pc  |  -3.4951     +3.4951  |paral   |2020yCat.1350....0G
540 |HD 237670                                                                                                                                                                      |Star                              |08 04 43.9829093184 +57 59 49.251701904|159.4776806443370 +32.3417096930034|  -3.649 -4.193    |9.29     |K2               |    ~     ~    |    1| 1050.200   pc  | -18.4187    +18.4187  |paral   |2020yCat.1350....0G
541 |HD 237671                                                                                                                                                                      |Spectroscopic Binary              |08 05 04.6094725128 +57 51 11.557244700|159.6482170487973 +32.3865792945204|-49.063 -49.819    |9.59     |K0               |    ~     ~    |    1|  172.233   pc  |  -0.4628     +0.4628  |paral   |2020yCat.1350....0G
542 |HD 66138                                                                                                                                                                       |High Proper Motion Star           |08 05 10.4002319880 +57 46 22.870749864|159.7432714732471 +32.3989689791248|-82.561 -96.368    |7.065    |F5               |    ~     ~    |    1|   65.932   pc  |  -0.0882     +0.0882  |paral   |2020yCat.1350....0G
543 |HD 65365                                                                                                                                                                       |High Proper Motion Star           |08 01 25.5199344720 +56 56 36.488199876|160.7123723429811 +31.8791761135206| -5.269 -74.943    |8.64     |F8               |    ~     ~    |    1|   87.914   pc  |  -0.1499     +0.1499  |paral   |2020yCat.1350....0G
544 |* 54 Cam                                                                                                                                                                       |RS CVn Variable                   |08 02 35.7833395368 +57 16 25.055079888|160.3280002989884 +32.0463282642139|-36.659 -59.364    |6.49     |F9IV+G5IV        |    ~     ~    |    1|   99.589   pc  |  -0.2926     +0.2926  |paral   |2020yCat.1350....0G
545 |HD 66262                                                                                                                                                                       |Star                              |08 05 47.1225751440 +57 11 21.794749548|160.4355713942995 +32.4764646159714|  -4.163 -0.689    |10.02    |A2               |    ~     ~    |    1|  457.477   pc  |  -7.9947     +7.9947  |paral   |2020yCat.1350....0G
546 |HD 237675                                                                                                                                                                      |High Proper Motion Star           |08 06 12.9282112080 +56 48 21.397288284|160.8910102646927 +32.5305726709899|-47.403 -48.656    |9.77     |G0               |    ~     ~    |    1|  103.535   pc  |  -0.2273     +0.2273  |paral   |2020yCat.1350....0G
547 |BD+57 1122                                                                                                                                                                     |Star                              |08 08 34.1648468784 +56 59 51.971606700|160.6659881026578 +32.8533784095024| -17.363 16.756    |10.09    |F8               |    ~     ~    |    1|  188.253   pc  |  -0.5316     +0.5316  |paral   |2020yCat.1350....0G
548 |HD 237683                                                                                                                                                                      |Star                              |08 10 29.9810284176 +57 27 53.841063204|160.1078169182684 +33.1127199569490| -12.524 -6.486    |9.48     |G5               |    ~     ~    |    1|  825.900   pc  | -10.0952    +10.0952  |paral   |2020yCat.1350....0G
549 |HD 237659                                                                                                                                                                      |Star                              |08 00 57.7975494720 +56 34 08.594632884|161.1505336418756 +31.8040301010491| -7.566 -13.115    |9.74     |F8               |    ~     ~    |    1|  371.692   pc  |  -2.4592     +2.4592  |paral   |2020yCat.1350....0G
550 |HD 237660                                                                                                                                                                      |High Proper Motion Star           |08 01 25.5915294528 +56 18 31.344093360|161.4594237316815 +31.8588746733825|-54.783 -41.755    |9.66     |G0               |    ~     ~    |    1|  123.083   pc  |  -0.2560     +0.2560  |paral   |2020yCat.1350....0G
551 |HD 237661                                                                                                                                                                      |Star                              |08 01 30.7036128624 +56 11 51.868697280|161.5904946245465 +31.8666908971065| -6.265 -23.084    |10.54    |G0               |    ~     ~    |    1|  315.040   pc  |  -2.9676     +2.9676  |paral   |2020yCat.1350....0G
552 |HD 237663                                                                                                                                                                      |Star                              |08 01 47.4267374496 +56 12 37.700126604|161.5771545815291 +31.9058825528707| 13.784 -18.890    |10.22    |G0               |    ~     ~    |    1|  272.042   pc  |  -1.3839     +1.3839  |paral   |2020yCat.1350....0G
553 |HD 237669                                                                                                                                                                      |Star                              |08 03 59.7795156624 +56 05 09.087674568|161.7357769581268 +32.2089071551782| -13.571 -3.971    |9.65     |K0               |    ~     ~    |    1|  864.528   pc  | -10.6132    +10.6132  |paral   |2020yCat.1350....0G
554 |HD 66571                                                                                                                                                                       |Star                              |08 07 10.0623309024 +56 34 38.449205184|161.1642599922638 +32.6584313404276|   2.019 -1.396    |9.56     |A2               |    ~     ~    |    1|  418.585   pc  |  -5.4667     +5.4667  |paral   |2020yCat.1350....0G
555 |HD 66772                                                                                                                                                                       |Star                              |08 08 03.3812246313 +56 27 10.248674655|161.3138546793436 +32.7796063782592|   3.970 -8.714    |8.92     |F0               |    ~     ~    |    0|                |                       |        |                   
556 |V* SX Lyn                                                                                                                                                                      |Spectroscopic Binary              |08 13 57.9487427496 +57 15 57.419112132|160.3373905662718 +33.5830318917435|   10.917 3.086    |10.68    |F0               |    ~     ~    |    1|  453.309   pc  |  -6.5962     +6.5962  |paral   |2020yCat.1350....0G
557 |HD 237662                                                                                                                                                                      |High Proper Motion Star           |08 01 31.0297830408 +55 39 16.681529988|162.2294526495107 +31.8459946883882|-85.190 -53.309    |9.59     |G0               |    ~     ~    |    1|  109.306   pc  |  -0.1744     +0.1744  |paral   |2020yCat.1350....0G
558 |HD 65469                                                                                                                                                                       |Star                              |08 01 46.1798196120 +55 50 55.170721428|162.0028959216852 +31.8894340532321|-13.151 -12.382    |8.80     |A0               |    ~     ~    |    1|  268.680   pc  |  -2.0213     +2.0213  |paral   |2020yCat.1350....0G
559 |HD 65218                                                                                                                                                                       |Star                              |08 00 32.7358754328 +55 28 37.434218340|162.4308225301234 +31.7007794043874|  1.768 -18.973    |8.94     |F8               |    ~     ~    |    1|  271.695   pc  |  -5.8169     +5.8169  |paral   |2020yCat.1350....0G
560 |HD 66083                                                                                                                                                                       |Star                              |08 04 47.7972934512 +55 29 05.918964216|162.4500729021981 +32.3028458953651|  -4.305 -1.942    |7.72     |G5               |    ~     ~    |    1|  322.134   pc  |  -2.3660     +2.3660  |paral   |2020yCat.1350....0G
561 |NGC 2497                           NGC 2497                                                                                                                                    |Galaxy towards a Group of Galaxies|08 02 11.1083041392 +56 56 32.152272432|160.7171405041442 +31.9827178603497|            ~ ~    |     ~   |~                |0.817 0.735    |    1|  114.51    Mpc |                       |redshift|2007ApJ...655..790C
562 |NGC 2488                           NGC 2488                                                                                                                                    |Galaxy towards a Group of Galaxies|08 01 45.903 +56 33 12.06              |161.173326 +31.913900              |            ~ ~    |     ~   |~                |0.563 0.383    |    1|  120.27    Mpc |                       |redshift|2007ApJ...655..790C
563 |TYC 3799-413-1                                                                                                                                                                 |Star                              |08 04 39.2645585568 +55 21 22.078854000|162.6015990477795 +32.2783437996664|   8.362 -0.575    |10.15    |~                |    ~     ~    |    1| 1210.214   pc  | -28.9994    +28.9994  |paral   |2020yCat.1350....0G
564 |TYC 3799-455-1                                                                                                                                                                 |Star                              |08 02 43.5761821728 +56 01 34.855116636|161.7994078995514 +32.0298262135703|  -0.386 -3.436    |10.78    |~                |    ~     ~    |    1| 1247.816   pc  | -54.6523    +54.6523  |paral   |2020yCat.1350....0G
565 |TYC 3799-463-1                                                                                                                                                                 |Star                              |08 03 31.0721683392 +55 46 53.084183628|162.0927763732807 +32.1323644749352|   6.962 -2.468    |10.35    |~                |    ~     ~    |    1| 1440.715   pc  | -37.1543    +37.1543  |paral   |2020yCat.1350....0G
566 |TYC 3799-550-1                                                                                                                                                                 |Star                              |08 03 03.5756441736 +55 47 20.284402308|162.0812206509886 +32.0682441139709|  -0.061 -2.926    |9.75     |~                |    ~     ~    |    1| 1047.230   pc  | -36.1908    +36.1908  |paral   |2020yCat.1350....0G
567 |TYC 3799-654-1                                                                                                                                                                 |Star                              |08 08 05.3678118360 +56 00 29.891911752|161.8426195665049 +32.7785721957520|    3.892 5.161    |10.84    |~                |    ~     ~    |    1|  162.853   pc  |  -0.3580     +0.3580  |paral   |2020yCat.1350....0G
568 |TYC 3799-1054-1                                                                                                                                                                |Star                              |08 06 07.6544202576 +56 31 58.190539908|161.2146742584004 +32.5145008842263| -7.804 -18.878    |10.63    |~                |    ~     ~    |    1|  335.390   pc  |  -2.0248     +2.0248  |paral   |2020yCat.1350....0G
569 |TYC 3799-1096-1                                                                                                                                                                |Star                              |08 04 54.5877724896 +56 29 33.791288388|161.2584582338003 +32.3458013050089|   2.857 -3.454    |10.72    |~                |    ~     ~    |    1|  751.145   pc  | -15.4596    +15.4596  |paral   |2020yCat.1350....0G
570 |TYC 3799-1320-1                                                                                                                                                                |Star                              |08 07 46.0197238872 +56 18 10.459044540|161.4915888095153 +32.7378139616784|  14.139 -8.816    |10.83    |~                |    ~     ~    |    1|  104.960   pc  |  -0.1752     +0.1752  |paral   |2020yCat.1350....0G
571 |TYC 3799-1374-1                                                                                                                                                                |Star                              |08 06 04.9924869072 +56 13 55.223297760|161.5712031185929 +32.5029243329943|   7.200 -2.017    |10.63    |~                |    ~     ~    |    1|  865.426   pc  | -29.0597    +29.0597  |paral   |2020yCat.1350....0G
572 |TYC 3799-1403-1                                                                                                                                                                |Star                              |08 08 09.1991166696 +56 53 48.502827204|160.7858937777570 +32.7962829981065|  2.197 -39.636    |10.09    |~                |    ~     ~    |    1|  238.977   pc  |  -0.9709     +0.9709  |paral   |2020yCat.1350....0G
573 |TYC 3799-1420-1                                                                                                                                                                |Star                              |08 06 12.4993716744 +56 55 21.969808428|160.7524400683565 +32.5310360384085|   -5.381 5.384    |10.42    |~                |    ~     ~    |    1|  886.289   pc  | -16.6528    +16.6528  |paral   |2020yCat.1350....0G
574 |TYC 3799-1517-1                                                                                                                                                                |Star                              |08 02 35.3851741056 +57 28 27.750528480|160.0911837523163 +32.0494245924620|  -1.883 -0.377    |10.69    |~                |    ~     ~    |    1| 2049.600   pc  | -67.6339    +67.6339  |paral   |2020yCat.1350....0G
575 |TYC 3799-1607-1                                                                                                                                                                |Star                              |08 10 10.6267808640 +57 29 56.142647484|160.0677735060218 +33.0690402343144| -0.996 -34.652    |10.74    |~                |    ~     ~    |    1|  305.120   pc  |  -1.3034     +1.3034  |paral   |2020yCat.1350....0G
576 |TYC 3799-1659-1                                                                                                                                                                |Star                              |08 12 47.6251668768 +57 24 22.082134104|160.1729717878511 +33.4222097765033|   -3.213 1.986    |10.32    |~                |    ~     ~    |    1| 1265.983   pc  | -37.5035    +37.5035  |paral   |2020yCat.1350....0G
577 |TYC 3799-1778-1                                                                                                                                                                |Star                              |08 00 55.6167686280 +57 11 10.504416696|160.4244104315750 +31.8183537861500|   -1.060 2.912    |9.99     |~                |    ~     ~    |    1|  632.911   pc  |  -6.5695     +6.5695  |paral   |2020yCat.1350....0G
578 |TYC 3799-1852-1                                                                                                                                                                |Star                              |08 12 28.8100475112 +57 09 36.743911740|160.4683320818374 +33.3837689565354| -8.029 -17.155    |10.98    |~                |    ~     ~    |    1|  929.800   pc  | -12.8815    +12.8815  |paral   |2020yCat.1350....0G
579 |TYC 3799-1961-1                                                                                                                                                                |Star                              |08 07 37.9225239192 +56 45 11.915309484|160.9559636955017 +32.7240201122696|-18.564 -39.428    |10.50    |~                |    ~     ~    |    1|  398.645   pc  |  -3.0512     +3.0512  |paral   |2020yCat.1350....0G
580 |TYC 3799-2154-1                                                                                                                                                                |Star                              |08 03 15.2631680520 +56 41 24.090884808|161.0190533715511 +32.1225419424043|  3.399 -38.203    |10.98    |~                |    ~     ~    |    1|  244.684   pc  |  -0.9400     +0.9400  |paral   |2020yCat.1350....0G
581 |TYC 3799-2234-1                                                                                                                                                                |Star                              |08 01 44.1761178552 +55 27 56.114450424|162.4533911047964 +31.8688011671980|  -2.270 -2.845    |10.05    |~                |    ~     ~    |    1|  777.122   pc  | -44.2068    +44.2068  |paral   |2020yCat.1350....0G
582 |TYC 3802-1468-1                                                                                                                                                                |Star                              |08 02 30.1206570000 +57 45 26.429034492|159.7571575829575 +32.0426041891679|-24.986 -10.893    |10.15    |~                |    ~     ~    |    1|  223.679   pc  |  -2.5566     +2.5566  |paral   |2020yCat.1350....0G
583 |TYC 3802-1605-1                                                                                                                                                                |Star                              |08 05 50.7214005624 +57 38 31.991444052|159.8988472370186 +32.4879997932757|   6.889 -2.391    |10.19    |~                |    ~     ~    |    1| 1191.185   pc  | -26.6757    +26.6757  |paral   |2020yCat.1350....0G
584 |TYC 3802-1697-1                                                                                                                                                                |Star                              |08 01 15.4030754904 +57 35 02.660472276|159.9575633909771 +31.8728094117433| -8.400 -16.330    |10.91    |~                |    ~     ~    |    1|  989.903   pc  | -13.1308    +13.1308  |paral   |2020yCat.1350....0G
585 |TYC 3802-1711-1                                                                                                                                                                |High Proper Motion Star           |08 03 08.2019918064 +57 39 04.739072112|159.8838250001901 +32.1257336652033|-50.904 -80.369    |10.69    |~                |    ~     ~    |    1|  120.172   pc  |  -0.2253     +0.2253  |paral   |2020yCat.1350....0G
586 |TYC 3802-1829-1                                                                                                                                                                |Star                              |08 01 14.8160354904 +57 44 54.046987404|159.7641323152944 +31.8750486781189| -7.648 -18.513    |10.76    |~                |    ~     ~    |    1|  448.732   pc  |  -3.5238     +3.5238  |paral   |2020yCat.1350....0G
587 |TYC 3802-2056-1                                                                                                                                                                |Star                              |08 07 48.4710974448 +57 38 20.867277264|159.9029578753888 +32.7505897768657|  -42.068 5.614    |10.32    |~                |    ~     ~    |    1|  114.007   pc  |  -1.7469     +1.7469  |paral   |2020yCat.1350....0G
588 |HD 237664                                                                                                                                                                      |Star                              |08 02 09.4443694656 +55 02 16.657274868|162.9597157244796 +31.9093822681490|  3.659 -19.170    |10.15    |G5               |    ~     ~    |    1|  770.535   pc  |  -8.4309     +8.4309  |paral   |2020yCat.1350....0G
589 |TYC 3796-2354-1                                                                                                                                                                |High Proper Motion Star           |08 01 55.0684850280 +54 53 07.417166784|163.1372442567188 +31.8676920401183|-29.114 -46.153    |10.25    |~                |    ~     ~    |    1|  350.091   pc  |  -2.0223     +2.0223  |paral   |2020yCat.1350....0G
590 |HD 67539                                                                                                                                                                       |Red Giant Branch star             |08 11 18.0796002264 +54 32 24.869032764|163.6023342620695 +33.2099493780388| 46.799 -92.253    |6.48     |G5               |    ~     ~    |    1|  162.662   pc  |  -0.5742     +0.5742  |paral   |2020yCat.1350....0G
591 |HD 67449                                                                                                                                                                       |High Proper Motion Star           |08 10 53.0276423088 +56 10 45.375350628|161.6430660108154 +33.1698057849270| 52.781 -18.815    |8.98     |G0               |    ~     ~    |    1|  142.179   pc  |  -0.3780     +0.3780  |paral   |2020yCat.1350....0G
592 |HD 67560                                                                                                                                                                       |Star                              |08 11 27.9300753888 +56 04 58.123024896|161.7586067685112 +33.2506006460757|   10.242 5.909    |9.20     |F8               |    ~     ~    |    1|  160.187   pc  |  -0.5363     +0.5363  |paral   |2020yCat.1350....0G
593 |HD 67807                                                                                                                                                                       |Star                              |08 12 31.5609755232 +56 00 50.526077364|161.8410191748777 +33.3986335191554|   -6.770 8.132    |8.80     |F5               |    ~     ~    |    1|  100.256   pc  |  -0.6141     +0.6141  |paral   |2020yCat.1350....0G
594 |HD 67991                                                                                                                                                                       |High Proper Motion Star           |08 13 21.6859776192 +56 31 40.328958000|161.2243989712328 +33.5118107340598| -0.694 -57.725    |6.83     |F2               |    ~     ~    |    1|  113.959   pc  |  -0.3610     +0.3610  |paral   |2020yCat.1350....0G
595 |HD 68077                                                                                                                                                                       |Star                              |08 13 50.1852983328 +56 27 08.104009644|161.3143088943374 +33.5781477832623|-24.512 -35.906    |5.850    |G9III            |    ~     ~    |    1|  164.206   pc  |  -1.2242     +1.2242  |paral   |2020yCat.1350....0G
596 |HD 67317                                                                                                                                                                       |Spectroscopic Binary              |08 10 12.5666912856 +55 48 15.542318880|162.0900285827559 +33.0730957415428|-15.607 -59.457    |7.57     |A2               |    ~     ~    |    1|   99.776   pc  |  -0.3544     +0.3544  |paral   |2020yCat.1350....0G
597 |HD 237685                                                                                                                                                                      |Star                              |08 10 28.9158186408 +55 42 56.216513484|162.1963474196529 +33.1105524668579|  -1.931 -5.494    |10.61    |F2               |    ~     ~    |    1|  550.085   pc  |  -5.7493     +5.7493  |paral   |2020yCat.1350....0G
598 |HD 237684                                                                                                                                                                      |Star                              |08 10 22.8841550544 +55 42 14.868646956|162.2098874059682 +33.0962785286039|   -6.981 7.885    |9.35     |A5               |    ~     ~    |    1|  200.698   pc  |  -0.6888     +0.6888  |paral   |2020yCat.1350....0G
599 |TYC 3799-356-1                                                                                                                                                                 |Star                              |08 04 48.5247412128 +55 18 13.475483208|162.6644335401378 +32.2984651621723|   0.235 -3.081    |10.58    |G5               |    ~     ~    |    1|  766.166   pc  | -10.9184    +10.9184  |paral   |2020yCat.1350....0G
600 |HD 237673                                                                                                                                                                      |Star                              |08 04 58.2219605952 +55 13 49.990806048|162.7519250756521 +32.3189279983059|  0.240 -28.168    |9.03     |K7               |    ~     ~    |    1|  805.542   pc  | -69.4970    +69.4970  |paral   |2020yCat.1350....0G
601 |HD 66660                                                                                                                                                                       |Star                              |08 07 25.3903936584 +55 18 04.927499388|162.6804923533459 +32.6702857439289| 16.544 -10.510    |7.187    |K1III            |    ~     ~    |    1|  206.300   pc  |  -0.8427     +0.8427  |paral   |2020yCat.1350....0G
602 |HD 66729                                                                                                                                                                       |High Proper Motion Star           |08 07 47.5032401736 +55 33 49.103126676|162.3703589689484 +32.7286573700016|-28.764 -66.982    |8.97     |K0               |    ~     ~    |    1|  183.993   pc  |  -0.5281     +0.5281  |paral   |2020yCat.1350....0G
603 |HD 66946                                                                                                                                                                       |Star                              |08 08 37.7457479664 +55 27 52.759244088|162.4909293792876 +32.8451612631246|  -7.281 -0.416    |9.19     |G0               |    ~     ~    |    1|  202.519   pc  |  -4.0604     +4.0604  |paral   |2020yCat.1350....0G
604 |RX J0809.4+5610                                                                                                                                                                |High Proper Motion Star           |08 09 28.7589491256 +56 10 11.842175964|161.6528540027611 +32.9743006196151| -75.679 19.461    |10.48    |~                |    ~     ~    |    1|  170.663   pc  |  -0.4631     +0.4631  |paral   |2020yCat.1350....0G
605 |HD 237686                                                                                                                                                                      |Star                              |08 13 29.5367989224 +55 52 01.308645876|162.0169387636555 +33.5341953509804|   1.295 -1.319    |9.56     |K0               |    ~     ~    |    1|  621.659   pc  |  -5.6037     +5.6037  |paral   |2020yCat.1350....0G
606 |V* CQ Lyn                                                                                                                                                                      |delta Sct Variable                |08 12 59.0511239232 +55 37 30.948723912|162.3068990185446 +33.4628046679449| -1.170 -30.205    |7.96     |~                |    ~     ~    |    1|  196.506   pc  |  -1.7840     +1.7840  |paral   |2020yCat.1350....0G
607 |HD 67005                                                                                                                                                                       |High Proper Motion Star           |08 08 44.8039033008 +55 03 56.239886376|162.9662299386799 +32.8534000025149|-45.587 -67.260    |9.09     |G0               |    ~     ~    |    1|  110.079   pc  |  -0.1878     +0.1878  |paral   |2020yCat.1350....0G
608 |HD 237682                                                                                                                                                                      |High Proper Motion Star           |08 09 27.8380187688 +55 10 18.195477780|162.8425124612268 +32.9582009241304|-32.786 -109.202   |8.72     |G0               |    ~     ~    |    1|   97.512   pc  |  -0.1655     +0.1655  |paral   |2020yCat.1350....0G
609 |V* CO Lyn                                                                                                                                                                      |delta Sct Variable                |08 09 28.8530361936 +55 15 21.031809480|162.7423279714341 +32.9622225842900|-15.545 -28.667    |6.82     |F0               |    ~     ~    |    1|  141.593   pc  |  -0.4330     +0.4330  |paral   |2020yCat.1350....0G
610 |HD 67401                                                                                                                                                                       |Star                              |08 10 27.9760475784 +54 47 40.169029884|163.2957806950947 +33.0944127274452| -5.499 -16.087    |9.29     |F5               |    ~     ~    |    1|  194.860   pc  |  -4.7539     +4.7539  |paral   |2020yCat.1350....0G
611 |HD 67464                                                                                                                                                                       |High Proper Motion Star           |08 10 48.4332099864 +55 08 20.714112780|162.8854326706239 +33.1494703773606|-55.470 -111.920   |8.60     |G0               |    ~     ~    |    1|   53.436   pc  |  -0.0637     +0.0637  |paral   |2020yCat.1350....0G
612 |HD 67561                                                                                                                                                                       |Star                              |08 11 21.8671360128 +55 29 23.920234620|162.4673231465900 +33.2330354256888|  12.166 11.588    |9.250    |F8               |    ~     ~    |    1|  169.311   pc  |  -0.5103     +0.5103  |paral   |2020yCat.1350....0G
613 |NGC 2534                           NGC 2534                                                                                                                                    |LINER-type Active Galaxy Nucleus  |08 12 54.1596279408 +55 40 19.431713532|162.2507789727554 +33.4513861804296|   0.725 -0.264    |13.59    |~                |0.683 0.670    |    0|                |                       |        |                   
614 |TYC 3796-893-1                                                                                                                                                                 |Star                              |08 10 11.6438655960 +54 57 11.713706280|163.1054196569982 +33.0584320611024|   -5.085 2.154    |10.84    |~                |    ~     ~    |    1|  633.874   pc  | -20.8532    +20.8532  |paral   |2020yCat.1350....0G
615 |TYC 3796-991-1                                                                                                                                                                 |Star                              |08 08 37.3945594584 +54 51 10.100296224|163.2189308014366 +32.8304037339980|  -8.874 -7.532    |10.49    |~                |    ~     ~    |    1|  587.613   pc  |  -5.5246     +5.5246  |paral   |2020yCat.1350....0G
616 |TYC 3796-1115-1                                                                                                                                                                |Star                              |08 13 14.5472900352 +54 30 46.978768512|163.6406314284444 +33.4910650839150| -12.164 -0.079    |10.60    |~                |    ~     ~    |    1|  320.441   pc  |  -9.1182     +9.1182  |paral   |2020yCat.1350....0G
