C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:45:07

dec< 0&rah >=9.75&rah< 10.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6870

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |HD 85333                                                                                                 |Star                              |09 51 10.6757098128 -00 09 46.098617256|237.5644608078328 +38.8515024553269| -33.618 -5.407    |8.66     |A0V            |    ~     ~    |    1|  204.119   pc  |  -1.8249     +1.8249  |paral   |2020yCat.1350....0G
23  |HD 85506                                                                                                 |Star                              |09 52 15.4774233648 -00 10 52.093767900|237.7879551239905 +39.0589483017136|  -13.420 0.826    |9.18     |K2/3(III)      |    ~     ~    |    1|  853.024   pc  | -28.4511    +28.4511  |paral   |2020yCat.1350....0G
24  |V* TW Sex                                                                                                |Long-Period Variable Candidate    |09 55 00.5755611360 -00 10 56.131658688|238.3158015711501 +39.6126118868772|   15.767 7.325    |7.98     |M2III          |    ~     ~    |    1|  458.358   pc  |  -7.4163     +7.4163  |paral   |2020yCat.1350....0G
25  |HD 86013                                                                                                 |Star                              |09 55 53.6933027544 -00 07 31.226242080|238.4275439053850 +39.8243569501408| -43.324 -0.457    |10.09    |F5wA           |    ~     ~    |    1|  230.979   pc  |  -1.0777     +1.0777  |paral   |2020yCat.1350....0G
26  |HD 86046                                                                                                 |Star                              |09 56 03.8547955704 -00 02 39.300618192|238.3754946313199 +39.9066506594037| -6.600 -14.392    |9.00     |F1.5V          |    ~     ~    |    1|  299.527   pc  |  -1.8302     +1.8302  |paral   |2020yCat.1350....0G
27  |BD+00 2562                                                                                               |High Proper Motion Star           |09 48 56.1357146592 -00 34 47.797324644|237.5746052466677 +38.1528032426987|-54.516 -30.102    |9.53     |G5             |    ~     ~    |    1|   66.478   pc  |  -0.3381     +0.3381  |paral   |2020yCat.1350....0G
28  |IDS 09445+0011 AB                                                                                        |Double or Multiple Star           |09 49 38.134 -00 16 32.70              |237.391677 +38.473043              |   -41.40 22.10    |9.61     |G0V            |    ~     ~    |    0|                |                       |        |                   
29  |HD 85429                                                                                                 |Star                              |09 51 46.8158671896 -00 23 43.161663840|237.9195841266385 +38.8361093052912|   5.016 -6.829    |9.53     |F3V            |    ~     ~    |    1|  208.420   pc  |  -0.7862     +0.7862  |paral   |2020yCat.1350....0G
30  |BD+00 2572                                                                                               |Star                              |09 52 01.2120450024 -00 37 49.416571344|238.2081701644087 +38.7452238265671|  7.205 -38.055    |9.93     |F8             |    ~     ~    |    1|  203.815   pc  |  -0.7768     +0.7768  |paral   |2020yCat.1350....0G
31  |BD+00 2580                                                                                               |Star                              |09 54 18.6059632608 -00 15 06.861905028|238.2537019716561 +39.4305780423487|-43.402 -11.132    |9.967    |F2             |    ~     ~    |    1|  252.762   pc  |  -5.0850     +5.0850  |ST-L    |2020AJ....160...83S
32  |HD 85844                                                                                                 |High Proper Motion Star           |09 54 34.2146035272 -00 24 18.013201956|238.4630557375356 +39.3917738820732| -60.134 -4.359    |8.22     |A5/7II         |    ~     ~    |    1|  108.575   pc  |  -0.4315     +0.4315  |paral   |2020yCat.1350....0G
33  |HD 84842                                                                                                 |Star                              |09 47 59.7089441712 -01 12 44.597042604|238.0458988431377 +37.5899154603824|-29.680 -35.254    |9.59     |F5V            |    ~     ~    |    1|  141.353   pc  |  -0.5075     +0.5075  |paral   |2020yCat.1350....0G
34  |HD 84895                                                                                                 |Star                              |09 48 24.0843631488 -01 37 46.323111540|238.5449478416114 +37.4237983860602| 13.430 -15.538    |9.65     |A5/7II/III     |    ~     ~    |    1|  391.872   pc  | -11.3800    +11.3800  |ST-L    |2020AJ....160...83S
35  |HD 84940                                                                                                 |Spectroscopic Binary              |09 48 35.8962645912 -00 48 37.387312056|237.7481537615826 +37.9489962737404|  2.839 -21.173    |7.99     |F7/8V          |    ~     ~    |    1|  171.427   pc  |  -4.9664     +4.9664  |paral   |2020yCat.1350....0G
36  |HD 85003                                                                                                 |Star                              |09 48 59.8148444208 -01 01 22.857047796|238.0402890804611 +37.9038247785539|  6.960 -23.994    |9.50     |F6V            |    ~     ~    |    1|  258.545   pc  |  -2.7875     +2.7875  |paral   |2020yCat.1350....0G
37  |HD 85072                                                                                                 |Star                              |09 49 31.7199665088 -00 51 05.261015448|237.9645420751016 +38.1124792189283|  -14.823 0.212    |9.05     |K0III          |    ~     ~    |    1|  514.377   pc  |  -5.0535     +5.0535  |paral   |2020yCat.1350....0G
