C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:45:07

dec< 0&rah >=9.75&rah< 10.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6870

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1959|CD-38 6002                                                                                               |Star                              |09 53 32.1863772792 -38 47 28.213982448|268.9836405734194 +12.0822369159875|  -1.244 -4.516    |9.90     |~              |    ~     ~    |    1|  902.853   pc  |  -8.9666     +8.9666  |paral   |2020yCat.1350....0G
1960|CD-37 6167                                                                                               |Star                              |09 56 06.5733931560 -38 00 54.364266540|268.8776076125115 +13.0018496834071|  1.521 -33.709    |10.512   |~              |    ~     ~    |    1|  420.676   pc  | -11.5600    +11.5600  |ST-L    |2020AJ....160...83S
1961|CD-39 5958                                                                                               |Star                              |09 55 19.4733054264 -40 27 33.339906540|270.3346827762425 +11.0103559520209|   2.889 -7.214    |9.55     |~              |    ~     ~    |    1|  492.465   pc  |  -2.9830     +2.9830  |paral   |2020yCat.1350....0G
1962|TYC 7180-68-1                                                                                            |Star                              |09 45 24.0058035096 -37 27 47.520402408|266.8575658269866 +12.0539066866402|   0.493 -3.470    |10.51    |~              |    ~     ~    |    1|  398.518   pc  |  -3.5892     +3.5892  |paral   |2020yCat.1350....0G
1963|TYC 7180-100-1                                                                                           |Star                              |09 45 31.2493596672 -37 27 37.416606876|266.8740737765069 +12.0718286309386|   -4.256 5.317    |10.896   |~              |    ~     ~    |    1| 1954.420   pc  |-184.3000   +184.3000  |ST-L    |2020AJ....160...83S
1964|TYC 7693-160-1                                                                                           |Star                              |09 45 32.4296032704 -38 59 17.202248628|267.9037542364629 +10.9247170637165| -22.367 12.070    |10.77    |~              |    ~     ~    |    1|  369.372   pc  |  -1.7737     +1.7737  |paral   |2020yCat.1350....0G
1965|TYC 7693-486-1                                                                                           |Star                              |09 48 56.9989259328 -39 10 16.041382860|268.5361999207412 +11.2180795149653|    0.660 2.056    |10.81    |~              |    ~     ~    |    1| 1281.230   pc  | -24.6233    +24.6233  |paral   |2020yCat.1350....0G
1966|TYC 7693-521-1                                                                                           |High Proper Motion Star           |09 46 31.0385078352 -39 11 23.398198728|268.1842068258573 +10.8967508879541| 15.568 -58.332    |10.52    |~              |    ~     ~    |    1|  125.255   pc  |  -2.6373     +2.6373  |paral   |2020yCat.1350....0G
1967|TYC 7693-610-1                                                                                           |Star                              |09 47 36.8237188752 -39 21 14.897984868|268.4571356811493 +10.9108772585332|   1.619 -4.042    |10.426   |~              |    ~     ~    |    1| 1323.410   pc  | -86.8000    +86.8000  |ST-L    |2020AJ....160...83S
1968|TYC 7693-1013-1                                                                                          |Star                              |09 48 37.0255876848 -38 50 20.067341460|268.2660774845983 +11.4287833761362| -37.281 10.631    |10.50    |~              |    ~     ~    |    1|  247.961   pc  |  -0.7132     +0.7132  |paral   |2020yCat.1350....0G
1969|TYC 7693-1446-1                                                                                          |Star                              |09 49 18.5650812144 -38 24 39.344417316|268.0872897263813 +11.8420448554617|  -15.760 8.059    |10.753   |~              |    ~     ~    |    1|  933.961   pc  | -33.4100    +33.4100  |ST-L    |2020AJ....160...83S
1970|TYC 7693-1699-1                                                                                          |Star                              |09 46 55.3347109728 -38 43 55.015980312|267.9395305209573 +11.2945007914083| -14.491 -1.957    |10.33    |~              |    ~     ~    |    1|  697.934   pc  |  -5.5531     +5.5531  |paral   |2020yCat.1350....0G
1971|TYC 7693-1813-1                                                                                          |Star                              |09 45 47.5883174208 -38 13 07.630029660|267.4259132365654 +11.5367869608845|   -4.272 5.510    |10.735   |~              |    ~     ~    |    1| 2356.910   pc  |-275.8000   +275.8000  |ST-L    |2020AJ....160...83S
1972|TYC 7693-1956-1                                                                                          |Star                              |09 46 54.2257888920 -38 15 17.844083424|267.6180846768278 +11.6526851023935|  -1.432 -3.853    |10.947   |~              |    ~     ~    |    1|  631.836   pc  | -20.2700    +20.2700  |ST-L    |2020AJ....160...83S
1973|TYC 7693-2012-1                                                                                          |High Proper Motion Star           |09 47 58.3110958848 -38 01 54.195010896|267.6312176047169 +11.9589050174821| 65.172 -54.558    |10.88    |~              |    ~     ~    |    1|  263.123   pc  |  -0.9554     +0.9554  |paral   |2020yCat.1350....0G
1974|TYC 7693-2199-1                                                                                          |Star                              |09 48 36.1359761352 -37 49 12.795518748|267.5864772116548 +12.2003034994201|   -8.311 0.074    |10.866   |~              |    ~     ~    |    1|  770.458   pc  | -31.9100    +31.9100  |ST-L    |2020AJ....160...83S
1975|TYC 7693-2813-1                                                                                          |Star                              |09 46 56.2322426328 -37 34 22.150711812|267.1660352883300 +12.1720251593457| -8.241 -12.193    |10.94    |~              |    ~     ~    |    1|  526.676   pc  | -14.4519    +14.4519  |paral   |2020yCat.1350....0G
1976|TYC 7693-3113-1                                                                                          |Star                              |09 49 11.9009228064 -38 09 02.718436968|267.8976787238167 +12.0257580818516|   -6.718 1.365    |10.04    |~              |    ~     ~    |    1| 1347.527   pc  | -23.2426    +23.2426  |paral   |2020yCat.1350....0G
1977|TYC 7693-3238-1                                                                                          |Star                              |09 48 02.8355753112 -39 00 26.052893352|268.2918911920794 +11.2288392359200| -45.522 17.353    |10.47    |~              |    ~     ~    |    1|   80.106   pc  |  -0.0879     +0.0879  |paral   |2020yCat.1350....0G
1978|TYC 7693-3334-1                                                                                          |Star                              |09 46 14.3443226136 -39 21 43.598038392|268.2575947534075 +10.7312733385152|   -6.826 6.266    |10.90    |~              |    ~     ~    |    1|  540.716   pc  |  -7.5725     +7.5725  |paral   |2020yCat.1350....0G
1979|TYC 7693-3394-1                                                                                          |Star                              |09 46 03.0604011096 -39 05 21.614913816|268.0475904940006 +10.9134402314714| -16.418 11.734    |10.49    |~              |    ~     ~    |    1|  638.570   pc  |  -7.7477     +7.7477  |paral   |2020yCat.1350....0G
1980|TYC 7693-3422-1                                                                                          |Star                              |09 47 58.8386334024 -39 17 18.414259872|268.4684294361069 +11.0069387396989|  -15.622 4.145    |10.72    |~              |    ~     ~    |    1|  500.952   pc  |  -5.3955     +5.3955  |paral   |2020yCat.1350....0G
1981|TYC 7693-3488-1                                                                                          |High Proper Motion Star           |09 45 21.3181909464 -38 46 43.608954288|267.7358649869055 +11.0587185426380|60.197 -124.863    |10.24    |~              |    ~     ~    |    1|  137.278   pc  |  -0.2808     +0.2808  |paral   |2020yCat.1350....0G
1982|TYC 7694-20-1                                                                                            |Star                              |09 50 02.5039227960 -39 15 59.009163840|268.7634322657203 +11.2822668874264|  12.376 -6.510    |10.83    |~              |    ~     ~    |    1|  542.741   pc  |  -4.5069     +4.5069  |paral   |2020yCat.1350....0G
1983|TYC 7694-133-1                                                                                           |Star                              |09 52 17.8328917752 -38 08 43.211027616|268.3700295007802 +12.4233793055760|  -15.217 7.096    |10.67    |~              |    ~     ~    |    1|  858.222   pc  | -57.9661    +57.9661  |paral   |2020yCat.1350....0G
1984|TYC 7694-269-1                                                                                           |Star                              |09 52 17.8930154976 -38 03 02.047115160|268.3078687403607 +12.4961589250452|  -10.544 3.460    |10.76    |~              |    ~     ~    |    1|  858.885   pc  |  -8.4834     +8.4834  |paral   |2020yCat.1350....0G
1985|TYC 7694-271-1                                                                                           |Star                              |09 52 11.3906429304 -37 51 01.947433032|268.1594260531022 +12.6357128236354|   -4.063 5.923    |10.56    |~              |    ~     ~    |    1|  444.919   pc  |  -3.4246     +3.4246  |paral   |2020yCat.1350....0G
1986|TYC 7694-287-1                                                                                           |High Proper Motion Star           |09 51 53.6623173504 -38 12 03.635007156|268.3445299907057 +12.3298507715268| 32.411 -79.638    |10.93    |~              |    ~     ~    |    1|  157.201   pc  |  -0.3089     +0.3089  |paral   |2020yCat.1350....0G
1987|TYC 7694-839-1                                                                                           |Star                              |09 55 31.7180844504 -39 00 03.077046216|269.4261118360170 +12.1663529521170|   0.420 22.220    |10.963   |~              |    ~     ~    |    1|  960.155   pc  | -40.9200    +40.9200  |ST-L    |2020AJ....160...83S
1988|TYC 7694-1033-1                                                                                          |Star                              |09 52 08.5379897832 -38 45 23.027319576|268.7473206007288 +11.9352169402682| -34.735 15.945    |9.67     |~              |    ~     ~    |    1|  201.260   pc  |  -0.5144     +0.5144  |paral   |2020yCat.1350....0G
1989|TYC 7694-1248-1                                                                                          |Spectroscopic Binary              |09 56 13.0951063152 -38 10 43.466689992|269.0007710924091 +12.8885922476461|  -14.441 4.583    |10.12    |~              |    ~     ~    |    1|  951.022   pc  | -12.6622    +12.6622  |paral   |2020yCat.1350....0G
1990|TYC 7694-1554-1                                                                                          |Star                              |09 55 36.7441759056 -38 13 10.012277316|268.9326502343171 +12.7817580565226| -28.298 10.223    |10.635   |~              |    ~     ~    |    1|  899.185   pc  | -37.2300    +37.2300  |ST-L    |2020AJ....160...83S
1991|TYC 7694-1742-1                                                                                          |Star                              |09 56 14.8202636568 -38 11 17.907641628|269.0114650751027 +12.8847481297502|   -9.172 3.408    |10.932   |~              |    ~     ~    |    1| 4522.240   pc  |-857.1000   +857.1000  |ST-L    |2020AJ....160...83S
1992|TYC 7694-2180-1                                                                                          |Star                              |09 55 05.3720287752 -38 50 13.548875748|269.2524188342775 +12.2390849718824|  -6.553 -2.889    |10.84    |~              |    ~     ~    |    1|  347.295   pc  |  -1.5800     +1.5800  |paral   |2020yCat.1350....0G
1993|TYC 7694-2260-1                                                                                          |Star                              |09 54 05.4369704856 -38 27 37.169309016|268.8532534027200 +12.4061779257807|    2.580 2.608    |10.443   |~              |    ~     ~    |    1|  811.829   pc  | -28.7800    +28.7800  |ST-L    |2020AJ....160...83S
1994|TYC 7694-2394-1                                                                                          |Star                              |09 50 31.7596220568 -39 13 48.239814792|268.8131047802867 +11.3709158769549|  -18.141 6.173    |10.20    |~              |    ~     ~    |    1|  678.656   pc  |  -5.2966     +5.2966  |paral   |2020yCat.1350....0G
1995|TYC 7694-2426-1                                                                                          |Star                              |09 54 01.7249481048 -39 18 29.853816984|269.3954034757828 +11.7442606040531| 17.629 -25.321    |10.85    |~              |    ~     ~    |    1|  249.420   pc  |  -4.7404     +4.7404  |paral   |2020yCat.1350....0G
1996|TYC 7694-2430-1                                                                                          |Star                              |09 52 35.3559565368 -39 16 41.735275140|269.1567134724983 +11.5899029476943|   -5.884 0.988    |10.76    |~              |    ~     ~    |    1| 1490.757   pc  | -26.4461    +26.4461  |paral   |2020yCat.1350....0G
1997|TYC 7694-2530-1                                                                                          |High Proper Motion Star           |09 52 31.0328861208 -39 21 59.707005408|269.2033998464937 +11.5130697089517|-147.075 82.971    |10.96    |~              |    ~     ~    |    1|  141.824   pc  |  -0.7402     +0.7402  |paral   |2020yCat.1350....0G
1998|TYC 7694-2547-1                                                                                          |Star                              |09 51 56.1895203984 -39 21 51.400017540|269.1138841810478 +11.4430144486532|  -10.871 4.950    |10.39    |~              |    ~     ~    |    1|  671.321   pc  | -18.3424    +18.3424  |paral   |2020yCat.1350....0G
1999|TYC 7694-2568-1                                                                                          |Star                              |09 54 33.0729691392 -39 20 15.059029992|269.4941035331867 +11.7858189957899|   -6.161 1.982    |10.98    |~              |    ~     ~    |    1| 1243.008   pc  | -28.2748    +28.2748  |paral   |2020yCat.1350....0G
2000|TYC 7694-2645-1                                                                                          |Star                              |09 50 53.9102332440 -38 29 06.902567016|268.3789109559342 +11.9866418473996| -14.037 12.222    |10.722   |~              |    ~     ~    |    1| 1108.040   pc  | -64.9700    +64.9700  |ST-L    |2020AJ....160...83S
2001|TYC 7697-96-1                                                                                            |Star                              |09 49 08.2406885352 -39 25 01.660755900|268.7268230846076 +11.0542165795141|   -3.864 3.605    |10.56    |~              |    ~     ~    |    1| 1470.805   pc  | -32.4490    +32.4490  |paral   |2020yCat.1350....0G
2002|TYC 7697-403-1                                                                                           |High Proper Motion Star           |09 48 15.4352754096 -39 46 32.945527344|268.8322247260852 +10.6712192979263| 33.320 -38.999    |10.38    |~              |    ~     ~    |    1|  229.801   pc  |  -3.1527     +3.1527  |paral   |2020yCat.1350....0G
2003|TYC 7697-481-1                                                                                           |Star                              |09 46 53.0162809848 -39 48 04.258970712|268.6452291379524 +10.4802017760151|   -4.747 6.405    |10.56    |~              |    ~     ~    |    1|  828.363   pc  | -10.4986    +10.4986  |paral   |2020yCat.1350....0G
2004|TYC 7697-647-1                                                                                           |Star                              |09 49 43.7793321888 -39 48 27.407388204|269.0726033281529 +10.8300829065672|  -29.934 9.858    |10.89    |~              |    ~     ~    |    1|  357.449   pc  |  -1.6227     +1.6227  |paral   |2020yCat.1350....0G
2005|TYC 7697-668-1                                                                                           |Star                              |09 48 47.6956683768 -39 49 15.095490924|268.9419507458824 +10.7039075666584|-14.303 -14.211    |10.96    |~              |    ~     ~    |    1|  158.288   pc  |  -0.3357     +0.3357  |paral   |2020yCat.1350....0G
2006|TYC 7697-2260-1                                                                                          |Star                              |09 48 57.6610250592 -40 02 14.067370536|269.1091782199420 +10.5596109983494|   -2.784 2.035    |10.90    |~              |    ~     ~    |    1|  522.357   pc  |  -3.2197     +3.2197  |paral   |2020yCat.1350....0G
2007|TYC 7697-2365-1                                                                                          |Star                              |09 48 55.5200745816 -40 00 41.583249072|269.0869693601454 +10.5747766556039|  -20.646 6.932    |10.91    |~              |    ~     ~    |    1|  510.074   pc  |  -3.3302     +3.3302  |paral   |2020yCat.1350....0G
2008|TYC 7697-2754-1                                                                                          |Star                              |09 45 44.0737934928 -39 38 38.241342276|268.3706942309646 +10.4545994078855| -13.713 14.277    |10.536   |~              |    ~     ~    |    1| 1372.770   pc  | -94.9200    +94.9200  |ST-L    |2020AJ....160...83S
2009|CD-38 5937                                                                                               |Star                              |09 49 05.1273204768 -39 34 32.203790112|268.8235963463775 +10.9269657701169|   5.245 -3.868    |8.73     |~              |    ~     ~    |    1|  776.458   pc  | -10.4299    +10.4299  |paral   |2020yCat.1350....0G
2010|TYC 7697-2938-1                                                                                          |Star                              |09 47 53.3798222064 -39 46 56.849150136|268.7819834310319 +10.6202887219040|   -7.519 4.833    |10.77    |~              |    ~     ~    |    1|  918.864   pc  | -12.6647    +12.6647  |paral   |2020yCat.1350....0G
2011|TYC 7698-2-1                                                                                             |Star                              |09 50 20.4947654160 -39 56 31.410932388|269.2522165282224 +10.8029776830359|   1.896 -7.082    |10.78    |~              |    ~     ~    |    1|  863.334   pc  |  -9.2423     +9.2423  |paral   |2020yCat.1350....0G
2012|TYC 7698-4-1                                                                                             |Star                              |09 50 15.5045319648 -39 45 44.804104920|269.1220023093091 +10.9301095616469|   -1.793 6.615    |9.94     |~              |    ~     ~    |    1|  638.814   pc  |  -4.4889     +4.4889  |paral   |2020yCat.1350....0G
2013|TYC 7698-472-1                                                                                           |Star                              |09 50 16.3313314848 -39 25 42.419092260|268.9047384456105 +11.1871961335296|   -7.319 3.770    |10.93    |~              |    ~     ~    |    1| 2120.891   pc  | -81.4170    +81.4170  |paral   |2020yCat.1350....0G
2014|TYC 7698-606-1                                                                                           |High Proper Motion Star           |09 52 11.1344491872 -39 58 17.898431484|269.5476364413856 +11.0069252790522| 24.105 -85.835    |10.76    |~              |    ~     ~    |    1|  119.606   pc  |  -0.1674     +0.1674  |paral   |2020yCat.1350....0G
2015|TYC 7698-628-1                                                                                           |Star                              |09 55 49.3190298744 -39 33 55.429780824|269.8354206532767 +11.7643600595049|   -8.013 6.049    |10.65    |~              |    ~     ~    |    1|  830.653   pc  | -32.4600    +32.4600  |ST-L    |2020AJ....160...83S
2016|TYC 7698-660-1                                                                                           |Star                              |09 52 28.6868580648 -39 31 23.042237592|269.2995180740919 +11.3878938514997|   -6.419 8.912    |10.58    |~              |    ~     ~    |    1|  859.107   pc  |  -9.1520     +9.1520  |paral   |2020yCat.1350....0G
2017|TYC 7698-1444-1                                                                                          |Star                              |09 50 55.3503183192 -39 48 43.989579036|269.2540992385110 +10.9740820990854| -12.327 10.035    |10.51    |~              |    ~     ~    |    1|  819.202   pc  |  -8.3215     +8.3215  |paral   |2020yCat.1350....0G
2018|TYC 7698-1714-1                                                                                          |Star                              |09 54 24.2851655640 -39 59 52.312713396|269.8989108648552 +11.2571187895806|   -1.697 3.230    |10.71    |~              |    ~     ~    |    1|  459.284   pc  |  -3.7126     +3.7126  |paral   |2020yCat.1350....0G
2019|TYC 7698-1762-1                                                                                          |Star                              |09 52 44.7142202856 -39 47 41.331924240|269.5167993080181 +11.2115670832894|   -6.667 8.174    |10.41    |~              |    ~     ~    |    1|  758.898   pc  |  -7.0839     +7.0839  |paral   |2020yCat.1350....0G
2020|TYC 7698-1987-1                                                                                          |High Proper Motion Star           |09 51 42.9171305424 -40 06 28.692889776|269.5659513288252 +10.8445513396032| -88.961 47.596    |10.78    |~              |    ~     ~    |    1|  151.144   pc  |  -0.2444     +0.2444  |paral   |2020yCat.1350....0G
2021|TYC 7698-2129-1                                                                                          |Star                              |09 53 12.3760273488 -39 59 30.874466112|269.7142699240871 +11.1159977424177| -15.769 12.491    |10.09    |~              |    ~     ~    |    1|  223.939   pc  |  -0.8024     +0.8024  |paral   |2020yCat.1350....0G
2022|TYC 7698-2726-1                                                                                          |Star                              |09 55 03.2516900352 -40 16 18.903694260|270.1735707595522 +11.1232674389620|  -10.329 8.868    |10.79    |~              |    ~     ~    |    1|  590.388   pc  |  -4.4964     +4.4964  |paral   |2020yCat.1350....0G
2023|TYC 7698-2888-1                                                                                          |Star                              |09 53 55.8322463760 -40 23 45.625178796|270.0845608096698 +10.8917103522972|   -5.662 2.869    |10.26    |~              |    ~     ~    |    1| 1084.011   pc  | -21.5040    +21.5040  |paral   |2020yCat.1350....0G
2024|TYC 7698-2893-1                                                                                          |Star                              |09 54 43.9666424232 -40 03 40.827943908|269.9894409946694 +11.2477064563967|   -7.288 1.331    |10.30    |~              |    ~     ~    |    1|  746.380   pc  |  -7.1307     +7.1307  |paral   |2020yCat.1350....0G
2025|HD 86279                                                                                                 |Star                              |09 57 24.8168596224 -00 06 10.614584088|238.6998076814271 +40.1423793020546| 11.229 -12.760    |8.30     |K4III          |    ~     ~    |    1|  461.212   pc  |  -6.3815     +6.3815  |paral   |2020yCat.1350....0G
2026|HD 86135                                                                                                 |Star                              |09 56 39.1180923360 -00 27 41.286474792|238.9255363027430 +39.7751523161538|   -4.044 0.634    |7.88     |K3III          |    ~     ~    |    1|  518.162   pc  |  -6.8465     +6.8465  |paral   |2020yCat.1350....0G
2027|BD+00 2589                                                                                               |Star                              |09 57 05.5479546264 -00 30 03.017694852|239.0526071253260 +39.8395544796195| -4.794 -15.530    |9.992    |F5             |    ~     ~    |    1|  251.892   pc  |  -4.3850     +4.3850  |ST-L    |2020AJ....160...83S
2028|BD+00 2591                                                                                               |High Proper Motion Star           |09 57 39.8509546224 -00 24 54.343240164|239.0753284443043 +40.0053122638656| 30.215 -57.594    |10.00    |F8             |    ~     ~    |    1|  167.858   pc  |  -0.6678     +0.6678  |paral   |2020yCat.1350....0G
2029|HD 86408                                                                                                 |Star                              |09 58 18.7221568248 -00 25 36.525697320|239.2149587392382 +40.1275792086217|  -0.043 -4.867    |9.874    |A7III/IV       |    ~     ~    |    1|  457.767   pc  | -24.1700    +24.1700  |ST-L    |2020AJ....160...83S
2030|HD 86222                                                                                                 |Eclipsing Binary                  |09 57 06.6243 -01 20 38.311            |239.9271887 +39.3329749            |     -0.4 -41.2    |9.02     |F3/5V          |    ~     ~    |    0|                |                       |        |                   
2031|TYC 4896-640-1                                                                                           |Star                              |09 58 26.5640876760 -01 34 18.468895548|240.4238607541416 +39.4572967988936|  -2.248 -8.065    |10.23    |~              |    ~     ~    |    1|  936.856   pc  | -22.4691    +22.4691  |paral   |2020yCat.1350....0G
2032|TYC 4896-648-1                                                                                           |Star                              |09 58 25.6316824536 -01 34 39.501980904|240.4267515914440 +39.4506458794002| 19.001 -27.619    |10.87    |~              |    ~     ~    |    1|  248.793   pc  |  -1.1389     +1.1389  |paral   |2020yCat.1350....0G
2033|HD 86169                                                                                                 |Star                              |09 56 46.4304130416 -01 52 52.765914864|240.4093493305688 +38.9380689254786|   1.393 -1.076    |9.36     |A5III/IV       |    ~     ~    |    1|  298.954   pc  |  -4.2274     +4.2274  |paral   |2020yCat.1350....0G
2034|BD-01 2326                                                                                               |Star                              |09 57 02.5027800696 -01 59 18.838541760|240.5709972029879 +38.9250820788615|  -7.104 -0.067    |10.544   |K0             |    ~     ~    |    1|  875.553   pc  | -33.1200    +33.1200  |ST-L    |2020AJ....160...83S
2035|BD-01 2327                                                                                               |High Proper Motion Star           |09 57 30.0876558480 -01 43 41.759815872|240.3971750150036 +39.1755427217635|  -80.855 8.484    |10.583   |K5             |    ~     ~    |    1|  197.853   pc  |  -3.1420     +3.1420  |ST-L    |2020AJ....160...83S
2036|HD 86341                                                                                                 |Star                              |09 57 43.9038213403 -01 56 30.309789014|240.6599241216192 +39.0898218594158|    9.604 8.217    |6.46     |K0/1III        |    ~     ~    |    1|  105.02    pc  |  -0.3099     +0.3099  |paral   |2020yCat.1350....0G
2037|HD 86342                                                                                                 |Double or Multiple Star           |09 57 48.6599639232 -01 56 49.815617748|240.6811333607717 +39.1020973686996| 19.866 -27.069    |7.82     |K1/2III        |0.0067  0.0    |    1|  282.670   pc  |  -2.4929     +2.4929  |paral   |2020yCat.1350....0G
2038|BD+00 2592                                                                                               |High Proper Motion Star           |09 58 14.0354134608 -00 21 51.301010556|239.1342465957643 +40.1496716662523| -83.807 39.011    |10.998   |~              |    ~     ~    |    1|  265.672   pc  | -24.3800    +24.3800  |ST-L    |2020AJ....160...83S
2039|HD 86170                                                                                                 |Star                              |09 56 45.1797591816 -02 17 20.449300200|240.8178611609523 +38.6832935684743|  -17.363 4.447    |8.41     |ApSrEuCr       |    ~     ~    |    1|  273.127   pc  |  -3.3868     +3.3868  |paral   |2020yCat.1350....0G
2040|TYC 4896-21-1                                                                                            |Star                              |09 57 27.4627429488 -01 47 17.846848392|240.4496679205951 +39.1300960518670|   -3.840 0.547    |10.03    |~              |    ~     ~    |    1|  523.588   pc  |  -4.6604     +4.6604  |paral   |2020yCat.1350....0G
2041|TYC 4896-169-1                                                                                           |Star                              |09 57 52.7539330200 -02 09 11.580322788|240.9035464264683 +38.9884860506900| -23.055 14.029    |10.64    |~              |    ~     ~    |    1|  820.593   pc  | -45.8500    +45.8500  |ST-L    |2020AJ....160...83S
2042|TYC 4896-589-1                                                                                           |Star                              |09 57 28.8688 -01 04 43.365            |239.7274315 +39.5678342            |  -4.617 -8.060    |10.11    |~              |    ~     ~    |    0|                |                       |        |                   
2043|HD 86622                                                                                                 |High Proper Motion Star           |09 59 38.0225868264 -01 35 20.904903780|240.6788941522391 +39.6814303768573|  -72.745 1.830    |9.67     |G0V            |    ~     ~    |    1|  265.665   pc  |  -5.5730     +5.5730  |ST-L    |2020AJ....160...83S
2044|BD-00 2276                                                                                               |Star                              |09 59 42.0251466216 -01 22 03.202037472|240.4649032903821 +39.8308085086134|  8.818 -15.088    |10.268   |K0             |    ~     ~    |    1|  971.223   pc  | -92.5900    +92.5900  |ST-L    |2020AJ....160...83S
2045|HD 86578                                                                                                 |Star                              |09 59 20.1508747464 -01 56 54.003343524|240.9858669038136 +39.4012144930060|-47.273 -11.275    |8.79     |K3III          |    ~     ~    |    1|  439.727   pc  | -15.7500    +15.7500  |ST-L    |2020AJ....160...83S
2046|BD-01 2333                                                                                               |Star                              |09 59 50.2122507240 -01 43 58.952340480|240.8667119267587 +39.6326752341844|  -8.649 -9.683    |10.68    |F5             |    ~     ~    |    1|  364.884   pc  |  -4.4868     +4.4868  |paral   |2020yCat.1350....0G
2047|TYC 4896-713-1                                                                                           |Star                              |09 58 48.4099811664 -01 32 46.502142792|240.4700765479802 +39.5448197472406|  -33.425 5.747    |10.896   |~              |    ~     ~    |    1|  304.841   pc  |  -7.1740     +7.1740  |ST-L    |2020AJ....160...83S
2048|BD-00 2274                                                                                               |Star                              |09 59 06.6973094784 -00 52 43.794255468|239.8432061801233 +40.0129667494743| -14.255 -7.574    |10.697   |~              |    ~     ~    |    1|  310.635   pc  |  -7.4250     +7.4250  |ST-L    |2020AJ....160...83S
2049|TYC 4896-1613-1                                                                                          |Star                              |09 59 37.9990759080 -00 36 20.433515400|239.6630052933723 +40.2825008962457| -2.575 -11.159    |10.5     |~              |    ~     ~    |    1| 1093.135   pc  | -21.0310    +21.0310  |paral   |2020yCat.1350....0G
2050|TYC 4896-93-1                                                                                            |Star                              |09 56 49.3270544040 -01 52 32.610379260|240.4131715633227 +38.9510312257353|  -9.671 -8.382    |10.88    |~              |    ~     ~    |    1|  876.040   pc  | -16.1164    +16.1164  |paral   |2020yCat.1350....0G
2051|TYC 4896-109-1                                                                                           |Star                              |09 58 27.3065800944 -01 50 49.705209996|240.7072898164639 +39.2905029948221| 22.662 -31.726    |10.944   |~              |    ~     ~    |    1|  297.484   pc  |  -5.7140     +5.7140  |ST-L    |2020AJ....160...83S
2052|TYC 4899-595-1                                                                                           |Star                              |09 56 55.3381073520 -02 31 38.262858996|241.0911427458996 +38.5693390081829| 19.241 -22.618    |10.68    |~              |    ~     ~    |    1|  391.298   pc  |  -2.6489     +2.6489  |paral   |2020yCat.1350....0G
2053|BD-01 2331                                                                                               |Star                              |09 58 17.1986530632 -02 37 13.161355968|241.4554493423300 +38.7787787929944|    0.845 4.472    |10.48    |~              |    ~     ~    |    1|  924.984   pc  | -13.1762    +13.1762  |paral   |2020yCat.1350....0G
2054|BD-02 3017                                                                                               |Star                              |09 57 16.3692241224 -03 36 03.460451076|242.2294824589116 +37.9679269667226| 45.558 -13.626    |9.58     |F8             |    ~     ~    |    1|  150.105   pc  |  -0.3943     +0.3943  |paral   |2020yCat.1350....0G
2055|HD 86445                                                                                                 |High Proper Motion Star           |09 58 29.1632661648 -03 38 02.019312024|242.5042026427935 +38.1822770550461| -167.333 6.251    |9.00     |G5/6IV/V       |    ~     ~    |    1|  110.138   pc  |  -1.0700     +1.0700  |ST-L    |2020AJ....160...83S
2056|HD 86123                                                                                                 |High Proper Motion Star           |09 56 27.9455208312 -03 50 18.800910492|242.3030456487941 +37.6619665316653| 26.184 -58.954    |8.52     |F6V            |    ~     ~    |    1|  124.828   pc  |  -0.4114     +0.4114  |paral   |2020yCat.1350....0G
2057|HD 86263                                                                                                 |High Proper Motion Star           |09 57 09.7773172728 -04 13 27.716081556|242.8192894377948 +37.5532425301139| 21.759 -53.658    |8.85     |G2V            |    ~     ~    |    1|   83.150   pc  |  -0.1341     +0.1341  |paral   |2020yCat.1350....0G
2058|HD 86297                                                                                                 |Double or Multiple Star           |09 57 25.1503 -03 54 55.493            |242.5680077 +37.7981461            | -28.646 -0.864    |9.16     |F3V            |    ~     ~    |    0|                |                       |        |                   
2059|HD 86478                                                                                                 |Star                              |09 58 42.2104724952 -04 10 45.900069744|243.0836171890570 +37.8785639901932|-10.544 -18.163    |8.45     |K0III          |    ~     ~    |    1|  478.538   pc  | -22.4189    +22.4189  |paral   |2020yCat.1350....0G
2060|BD-02 3016                                                                                               |Star                              |09 56 53.1422959656 -03 06 51.452583336|241.6705913544097 +38.1973967179249|  -20.703 1.291    |10.42    |~              |    ~     ~    |    1|  804.894   pc  | -16.0020    +16.0020  |paral   |2020yCat.1350....0G
2061|BD-02 3019                                                                                               |Star                              |09 57 49.6907042136 -03 06 58.491162396|241.8598092058584 +38.3798759042947| -9.350 -10.348    |10.33    |~              |    ~     ~    |    1|  807.987   pc  | -36.1400    +36.1400  |ST-L    |2020AJ....160...83S
