C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:05:31

Vmag< 11&dec >=0&rah >=8.25&rah< 8.5
------------------------------------

Number of objects : 4125

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------
858 |TYC 3418-1487-1                                                                                          |Star                           |08 15 59.9944156440 +49 17 08.464480368|169.9327566250286 +33.7102888380527|  -4.845 -7.971   |10.88    |~                    |    ~     ~    
859 |TYC 3418-1808-1                                                                                          |Spectroscopic Binary           |08 29 22.4232059688 +49 56 14.304810264|169.2442152091402 +35.9006179165695| -9.985 -39.215   |9.80     |~                    |    ~     ~    
860 |TYC 3418-1863-1                                                                                          |Star                           |08 28 02.3488503792 +48 50 27.579503256|170.5890879358166 +35.6583944289361|  -2.951 -7.789   |10.41    |~                    |    ~     ~    
861 |TYC 3418-2456-1                                                                                          |Star                           |08 27 58.3948755696 +48 42 07.195963320|170.7596084588895 +35.6429652166542|  -2.303 -6.384   |10.82    |~                    |    ~     ~    
862 |TYC 3421-297-1                                                                                           |Star                           |08 21 07.8040139376 +50 34 03.399508200|168.4347106553336 +34.5980843812216|    3.283 7.406   |10.31    |~                    |    ~     ~    
863 |TYC 3421-2197-1                                                                                          |Star                           |08 19 34.4879015568 +50 02 35.453593320|169.0585469380656 +34.3294813188289| -27.749 -4.101   |10.59    |~                    |    ~     ~    
864 |NSVS 4782648                                                                                             |Star                           |08 18 39.9928353384 +49 36 00.329271660|169.5852804606901 +34.1615450288793|-24.133 -37.439   |10.18    |~                    |    ~     ~    
865 |BD+48 1627                                                                                               |Star                           |08 18 19.9300739400 +47 43 32.306408904|171.8392872287896 +33.9856521332525|   8.067 -5.661   |9.62     |K0                   |    ~     ~    
866 |BD+47 1551                                                                                               |Star                           |08 15 48.1859692152 +46 40 44.993630820|173.0485353236756 +33.4678102662558| -8.765 -14.719   |9.90     |A5                   |    ~     ~    
867 |HD 68790                                                                                                 |High Proper Motion Star        |08 16 02.4774929088 +47 33 35.039784888|172.0009158424962 +33.5876880514188|-26.559 -44.762   |8.95     |F2                   |    ~     ~    
868 |HD 68831                                                                                                 |Star                           |08 16 09.8577245304 +46 48 07.939136304|172.9086478197052 +33.5410390073691| -14.500 -8.019   |6.81     |K5                   |    ~     ~    
869 |BD+47 1556                                                                                               |Star                           |08 16 31.3668826992 +47 31 59.302658028|172.0409676355300 +33.6664070046443|  3.467 -15.234   |9.52     |K0                   |    ~     ~    
870 |HD 69012                                                                                                 |Star                           |08 17 01.3995054912 +47 18 48.376982556|172.3126788250883 +33.7322616108964|   0.378 -4.310   |9.23     |K                    |    ~     ~    
871 |BD+47 1558                                                                                               |Star                           |08 17 32.3875490400 +46 43 26.326992612|173.0281579054153 +33.7684402657301|    0.213 0.134   |9.56     |K2                   |    ~     ~    
872 |BD+47 1559                                                                                               |Star                           |08 17 43.7720 +47 09 35.767            |172.5089080 +33.8387234            | -0.392 -17.127   |9.95     |A5                   |    ~     ~    
873 |BD+46 1376                                                                                               |Star                           |08 16 08.4408442416 +46 23 12.067251648|173.4043020247254 +33.4972596824858|   0.579 -6.108   |9.83     |F2                   |    ~     ~    
874 |BD+48 1628                                                                                               |Star                           |08 18 59.3642356512 +47 40 23.345997888|171.9124938484993 +34.0919710884066|  -3.135 -5.294   |8.85     |K2                   |    ~     ~    
875 |HD 69348                                                                                                 |Star                           |08 18 34.9448768592 +47 02 02.430181176|172.6747642910122 +33.9728059517106|-11.633 -38.327   |7.37     |G5                   |    ~     ~    
876 |HD 69865                                                                                                 |Star                           |08 21 00.0569904144 +47 25 08.656753044|172.2490349662464 +34.4119693127755|   -0.225 8.976   |8.12     |G8IV                 |    ~     ~    
877 |BD+47 1566                                                                                               |Spectroscopic Binary           |08 21 08.2435883084 +47 24 09.042850263|172.2710537611501 +34.4338140535709|-17.185 -98.076   |9.77     |G7V                  |    ~     ~    
878 |HD 69894                                                                                                 |Spectroscopic Binary           |08 21 07.4533624176 +47 24 46.423727928|172.2583040522803 +34.4323300474973|-13.885 -60.876   |8.499    |F7V                  |    ~     ~    
879 |TYC 3415-18-1                                                                                            |Star                           |08 20 05.6485510056 +47 28 36.475420548|172.1658565536853 +34.2632451677851|   2.161 -7.506   |10.58    |~                    |    ~     ~    
880 |TYC 3415-24-1                                                                                            |Star                           |08 21 19.0139040288 +47 29 12.847238952|172.1715585512893 +34.4700302347653|  -1.577 -3.868   |10.79    |~                    |    ~     ~    
881 |TYC 3415-176-1                                                                                           |Star                           |08 18 38.6956695360 +47 05 47.144434020|172.6008105708782 +33.9885852267831|-13.823 -21.157   |10.81    |~                    |    ~     ~    
882 |TYC 3415-251-1                                                                                           |Star                           |08 16 24.1812309696 +47 18 11.482604172|172.3141134765845 +33.6266202741774| -2.140 -15.330   |10.38    |~                    |    ~     ~    
883 |TYC 3415-290-1                                                                                           |Star                           |08 16 30.5091323184 +46 58 45.345406548|172.7034944061845 +33.6158307136290|  0.592 -22.773   |10.66    |~                    |    ~     ~    
884 |TYC 3415-377-1                                                                                           |Star                           |08 16 30.2941157016 +46 52 03.470663892|172.8369146543548 +33.6050840847987|  -0.052 -8.753   |10.31    |~                    |    ~     ~    
885 |TYC 3415-635-1                                                                                           |Spectroscopic Binary           |08 17 42.7022745168 +46 48 17.610915528|172.9343559846917 +33.8049878524450|  -21.341 3.791   |10.81    |~                    |    ~     ~    
886 |TYC 3415-877-1                                                                                           |Star                           |08 20 32.8049651712 +47 13 14.407455000|172.4819137537228 +34.3206619779172| 12.862 -11.656   |9.99     |~                    |    ~     ~    
887 |TYC 3415-908-1                                                                                           |Star                           |08 15 00.8248761144 +46 09 42.550747380|173.6486854035379 +33.2808094118769|  -0.998 -5.415   |10.94    |~                    |    ~     ~    
888 |TYC 3415-1050-1                                                                                          |Star                           |08 15 30.2888803680 +46 31 38.295490692|173.2236957824929 +33.4020845942971|  -16.984 5.941   |10.17    |~                    |    ~     ~    
889 |TYC 3418-1306-1                                                                                          |Star                           |08 21 15.1649031312 +47 39 12.632077044|171.9690442891166 +34.4706870045442| -3.366 -20.597   |10.43    |~                    |    ~     ~    
890 |BD+48 1640                                                                                               |Star                           |08 26 21.6152677320 +47 58 00.337983996|171.6483802084616 +35.3449421165312| 16.372 -32.377   |10.45    |F8                   |    ~     ~    
891 |BD+48 1643                                                                                               |Star                           |08 27 49.6260115728 +48 06 25.678105236|171.4897373058735 +35.5962096097443|-12.988 -26.286   |9.29     |F2                   |    ~     ~    
892 |BD+48 1644                                                                                               |Star                           |08 28 18.1168832520 +47 51 43.319706696|171.7951801348249 +35.6651590125589| -7.513 -11.499   |8.86     |G5III                |    ~     ~    
893 |BD+48 1648                                                                                               |Star                           |08 28 39.7057670952 +48 11 50.215144056|171.3857006828333 +35.7389089743322|-17.077 -38.066   |9.96     |F0                   |    ~     ~    
894 |BD+48 1649                                                                                               |Star                           |08 28 51.0298360608 +48 02 37.472797428|171.5762521329131 +35.7644426445791|   5.207 -1.969   |8.35     |M0                   |    ~     ~    
895 |HD 70626                                                                                                 |High Proper Motion Star        |08 25 00.8711626968 +47 44 29.691540420|171.9093973983011 +35.1078602000674|-49.634 -36.119   |8.19     |F5                   |    ~     ~    
896 |BD+48 1645                                                                                               |Star                           |08 28 22.3771636152 +47 45 14.100732936|171.9287787155270 +35.6723202920524|    2.594 1.287   |9.14     |F2                   |    ~     ~    
897 |BD+48 1646                                                                                               |Star                           |08 28 34.6240280304 +47 42 14.521920624|171.9920147897890 +35.7043911317045|  31.104 21.239   |8.93     |G2V                  |    ~     ~    
898 |BD+47 1577                                                                                               |Star                           |08 28 01.5872115144 +47 28 26.390860464|172.2694598070611 +35.6008937020018| 17.314 -18.384   |9.63     |G8III                |    ~     ~    
899 |HD 71227                                                                                                 |Star                           |08 28 08.9657329176 +47 18 07.877046708|172.4817947534698 +35.6131007207957|-10.552 -47.111   |7.99     |G0V                  |    ~     ~    
900 |BD+48 1647                                                                                               |Star                           |08 28 37.1517232944 +48 09 35.792420040|171.4313318488735 +35.7303868457415|-14.341 -11.935   |10.34    |~                    |    ~     ~    
901 |TYC 3415-1985-1                                                                                          |Star                           |08 29 18.4225080528 +47 23 21.577204032|172.3863106871012 +35.8131868244334|-11.665 -34.989   |10.81    |~                    |    ~     ~    
902 |TYC 3415-2273-1                                                                                          |Star                           |08 27 39.4354727472 +47 20 58.837744860|172.4182270878656 +35.5322447246999|  3.631 -11.054   |10.95    |~                    |    ~     ~    
903 |TYC 3415-2401-1                                                                                          |Star                           |08 27 21.0680852856 +47 17 44.685067668|172.4810347786111 +35.4776035714333|  22.633 -9.050   |10.83    |~                    |    ~     ~    
904 |TYC 3418-1188-1                                                                                          |Star                           |08 24 58.0483717944 +47 43 29.666735724|171.9292119039243 +35.0990395162159|-10.059 -12.683   |10.47    |~                    |    ~     ~    
905 |TYC 3418-1906-1                                                                                          |Star                           |08 28 07.7580222120 +47 42 57.969761328|171.9729928843229 +35.6296884990584| -1.455 -11.962   |10.92    |~                    |    ~     ~    
906 |TYC 3418-1963-1                                                                                          |Star                           |08 26 22.0546140168 +47 34 08.331630780|172.1354390893626 +35.3260430267468|  -14.034 7.962   |10.12    |~                    |    ~     ~    
907 |TYC 3418-2277-1                                                                                          |Star                           |08 29 36.8219110056 +48 10 23.427966000|171.4225861103274 +35.8965879230307|  -2.685 -0.157   |9.71     |~                    |    ~     ~    
908 |HD 69749                                                                                                 |Star                           |08 20 17.7437860008 +44 56 52.819480824|175.2141824580128 +34.0752191022851|    7.787 1.380   |9.72     |F5                   |    ~     ~    
909 |BD+45 1566                                                                                               |High Proper Motion Star        |08 21 10.2016276728 +44 55 53.052798756|175.2531125581862 +34.2274535470413|  9.477 -73.230   |10.63    |G5                   |    ~     ~    
910 |BD+45 1572                                                                                               |Star                           |08 23 22.6255733280 +44 43 37.260611220|175.5463203810244 +34.5967647665938|  2.195 -10.486   |9.67     |K2                   |    ~     ~    
911 |HD 70646                                                                                                 |High Proper Motion Star        |08 24 59.8811659296 +44 38 23.948628576|175.6849377433485 +34.8753528560279|-17.943 -52.355   |8.66     |K0                   |    ~     ~    
912 |HD 68658                                                                                                 |High Proper Motion Star        |08 15 23.4363576288 +46 06 30.899451744|173.7201438914660 +33.3402249591970|-72.310 -21.296   |9.48     |G5                   |    ~     ~    
913 |HD 68772                                                                                                 |Star                           |08 15 55.1632455096 +45 58 44.579052660|173.8857946225699 +33.4180982158142|    3.370 5.464   |9.42     |G0                   |    ~     ~    
914 |HD 69136                                                                                                 |Star                           |08 17 36.8804979168 +46 13 37.234567020|173.6247324069520 +33.7351649194033| -13.116 -3.677   |9.28     |G5                   |    ~     ~    
915 |BD+46 1379                                                                                               |Star                           |08 17 56.4894936432 +46 28 43.968640800|173.3294028786660 +33.8148878295170|  -35.634 1.243   |9.90     |A5                   |    ~     ~    
916 |V* TY Lyn                                                                                                |Eclipsing Binary               |08 18 23.2381195296 +46 16 07.699860552|173.5897942661342 +33.8720826268101|  -2.330 -4.685   |9.94     |A0                   |    ~     ~    
917 |HD 70315                                                                                                 |High Proper Motion Star        |08 23 16.6093940016 +46 59 58.601896080|172.7903633250242 +34.7679762731933|-28.720 -44.633   |8.38     |K0                   |    ~     ~    
918 |HD 70592                                                                                                 |Star                           |08 24 45.7243452672 +47 10 21.630433980|172.6002114299051 +35.0316997316824|   -4.415 0.042   |8.58     |K0                   |    ~     ~    
919 |BD+46 1384                                                                                               |Star                           |08 20 05.6578047000 +46 28 07.391339328|173.3811888189391 +34.1831842261656| -11.712 -8.238   |9.57     |K0                   |    ~     ~    
920 |BD+45 1554                                                                                               |Star                           |08 15 40.9010366736 +45 33 31.021797456|174.3811472908779 +33.3322736688568|-33.964 -27.526   |9.88     |F8                   |    ~     ~    
921 |TYC 3415-411-1                                                                                           |Star                           |08 24 14.6716601544 +47 21 56.127019104|172.3584869351732 +34.9561277940455|  -0.623 12.859   |10.60    |~                    |    ~     ~    
922 |HD 70386                                                                                                 |Star                           |08 23 38.6439168936 +46 47 39.294259044|173.0451755835132 +34.8161472676467| -19.404 10.445   |8.76     |G5                   |    ~     ~    
923 |HD 70753                                                                                                 |Star                           |08 25 37.9913022864 +47 02 02.138272188|172.7807717914595 +35.1709951478329|-12.515 -36.897   |8.56     |K0                   |    ~     ~    
924 |BD+47 1579                                                                                               |Star                           |08 28 33.1025576544 +46 35 30.698409552|173.3590159332607 +35.6428430764415|   7.864 -6.509   |10.07    |F0                   |    ~     ~    
925 |BD+46 1386                                                                                               |Star                           |08 20 29.4597347544 +46 12 33.734879064|173.7007593731011 +34.2290098266948|  -2.139 -5.435   |10.40    |A0                   |    ~     ~    
926 |BD+46 1391                                                                                               |High Proper Motion Star        |08 24 15.9223737648 +45 58 51.901043808|174.0429167071547 +34.8621393441689| 8.607 -131.835   |10.12    |G5                   |    ~     ~    
927 |HD 70565                                                                                                 |Star                           |08 24 38.2644995712 +46 23 25.159638768|173.5512687633141 +34.9574168496516| -21.408 -0.698   |9.54     |F                    |    ~     ~    
928 |BD+46 1395                                                                                               |Star                           |08 25 55.3376440368 +46 02 32.499711312|173.9950073068283 +35.1536508674982|  0.632 -20.056   |9.49     |G0                   |    ~     ~    
929 |HD 71245                                                                                                 |High Proper Motion Star        |08 28 07.1390436744 +46 14 55.626064692|173.7745166589902 +35.5473956616390|-35.553 -31.323   |6.97     |K0III                |    ~     ~    
930 |HD 71259                                                                                                 |Star                           |08 28 16.2749 +46 00 24.061            |174.0735740 +35.5579105            | -34.366 -3.876   |9.41     |G                    |    ~     ~    
931 |BD+46 1401                                                                                               |Star                           |08 28 42.8657432976 +46 20 17.496383964|173.6726865889621 +35.6556468979299| -0.764 -35.274   |9.61     |G8V                  |    ~     ~    
932 |BD+46 1385                                                                                               |Star                           |08 20 24.9152965680 +45 44 04.819118820|174.2709397351950 +34.1731006352275|   9.020 -7.350   |10.89    |K0                   |    ~     ~    
933 |BD+46 1390                                                                                               |Star                           |08 23 57.0936694320 +45 46 27.185211408|174.2887438988204 +34.7910406012796| -7.211 -18.316   |9.83     |F5                   |    ~     ~    
934 |HD 71047                                                                                                 |Star                           |08 27 06.7133688432 +45 35 52.915993440|174.5563463596127 +35.3274145887521|  5.992 -19.031   |9.60     |A5III-IVSr           |    ~     ~    
935 |BD+46 1402                                                                                               |Star                           |08 28 48.3464654856 +45 34 39.585579744|174.6077480705693 +35.6215006872510|   6.987 -4.337   |10.50    |K0V                  |    ~     ~    
936 |BD+46 1404                                                                                               |Spectroscopic Binary           |08 29 29.4861742776 +45 32 07.135922616|174.6700357810794 +35.7382894754544| -0.091 -21.171   |10.22    |K0III                |    ~     ~    
937 |HD 69604                                                                                                 |Star                           |08 19 34.9191876744 +45 28 01.364751300|174.5757332203656 +34.0023702323210|  4.452 -23.744   |8.11     |K2                   |    ~     ~    
938 |HD 69917                                                                                                 |Star                           |08 21 02.7569460720 +45 17 26.793896172|174.8179322386192 +34.2410284865543|   1.930 -6.428   |8.84     |A2                   |    ~     ~    
939 |HD 70223                                                                                                 |High Proper Motion Star        |08 22 34.8394175280 +45 21 04.111515324|174.7758013058260 +34.5152805731645|-41.841 -64.044   |8.000    |K0                   |    ~     ~    
940 |HD 70271                                                                                                 |Eclipsing Binary               |08 22 58.6467011184 +45 27 23.654619648|174.6559295059562 +34.5941432102147|-20.816 -29.650   |9.21     |G5                   |    ~     ~    
941 |HIP 41127                                                                                                |Star                           |08 23 29.7210061728 +45 01 38.034267816|175.1855432776243 +34.6459882600367|   -5.752 1.600   |10.08    |G0                   |    ~     ~    
942 |HIP 41123                                                                                                |Star                           |08 23 28.3144509912 +45 02 16.965560328|175.1719890782661 +34.6428645514684|  2.402 -18.276   |10.17    |F0                   |    ~     ~    
943 |HD 70491                                                                                                 |Star                           |08 24 08.5941959376 +44 44 31.791974676|175.5437472328129 +34.7336512323455|-18.890 -13.059   |8.55     |G0                   |    ~     ~    
944 |BD+45 1580                                                                                               |Star                           |08 26 26.3135094960 +45 11 13.747500816|175.0465644633141 +35.1772820107749|  -4.678 -3.985   |9.39     |K2                   |    ~     ~    
945 |BD+45 1583                                                                                               |Star                           |08 27 06.0874243704 +45 13 40.241176140|175.0084664761734 +35.2969501576148|-19.457 -31.784   |10.25    |G0                   |    ~     ~    
946 |BD+45 1587                                                                                               |Star                           |08 28 11.0805613152 +45 16 45.307472052|174.9637792360424 +35.4910086858334|   3.093 -2.736   |9.51     |G8III                |    ~     ~    
947 |BD+47 1575                                                                                               |Star                           |08 26 23.8471847904 +47 07 16.267426824|172.6837176084306 +35.3061278913874|  -2.091 -6.626   |10.50    |~                    |    ~     ~    
948 |BD+45 1581                                                                                               |Star                           |08 26 42.9515257656 +45 26 24.413159148|174.7427275617419 +35.2461462052692|    2.617 0.386   |10.60    |~                    |    ~     ~    
949 |TYC 2980-231-1                                                                                           |Star                           |08 23 32.3941469064 +44 47 17.099802636|175.4758282237639 +34.6313876390899|  -4.242 -5.719   |10.60    |~                    |    ~     ~    
950 |TYC 2980-338-1                                                                                           |Star                           |08 22 37.7634894024 +44 44 57.886736136|175.5035677742627 +34.4667981886336| -3.941 -27.201   |10.78    |~                    |    ~     ~    
951 |TYC 2980-2143-1                                                                                          |Star                           |08 25 45.1876115760 +44 46 40.347684048|175.5322982668153 +35.0215007441010| 20.333 -10.476   |10.16    |~                    |    ~     ~    
952 |TYC 2981-1439-1                                                                                          |Star                           |08 26 42.0159868344 +44 58 34.588727184|175.3084051064321 +35.2058197118219| 11.955 -24.591   |10.62    |~                    |    ~     ~    
953 |TYC 3415-89-1                                                                                            |Star                           |08 19 54.9196378224 +46 33 11.320753500|173.2763489946002 +34.1596929840961|   37.442 4.658   |10.88    |~                    |    ~     ~    
954 |TYC 3415-94-1                                                                                            |Star                           |08 23 21.3880123704 +45 08 59.486266176|175.0343900135501 +34.6328596964244|  -8.600 -5.048   |10.48    |~                    |    ~     ~    
955 |TYC 3415-537-1                                                                                           |Star                           |08 22 31.3728506904 +46 10 46.645722984|173.7726641205217 +34.5768664411688|   3.330 -4.669   |9.89     |~                    |    ~     ~    
956 |TYC 3415-585-1                                                                                           |Star                           |08 23 21.5502242472 +46 51 10.698451668|172.9696381703101 +34.7717004465349| -15.589 -4.794   |10.71    |~                    |    ~     ~    
957 |TYC 3415-605-1                                                                                           |Star                           |08 19 44.2253576040 +46 20 37.978967292|173.5250162937971 +34.1110214024533| -10.194 -6.351   |9.96     |~                    |    ~     ~    
958 |TYC 3415-682-1                                                                                           |Star                           |08 17 37.3523782320 +45 11 58.218958356|174.8533510646630 +33.6322831386834|   6.622 -9.051   |10.89    |~                    |    ~     ~    
959 |TYC 3415-923-1                                                                                           |Star                           |08 21 56.9423714520 +46 49 58.089469836|172.9726168429819 +34.5297381964415| -6.880 -26.052   |10.89    |~                    |    ~     ~    
960 |TYC 3415-995-1                                                                                           |Star                           |08 22 15.6226586280 +47 09 07.662354984|172.5905816952537 +34.6060384558711| -9.257 -15.704   |10.81    |~                    |    ~     ~    
961 |TYC 3415-1041-1                                                                                          |Star                           |08 21 31.7445131832 +46 55 05.293833060|172.8627849207849 +34.4646275428596|-17.796 -28.354   |9.40     |~                    |    ~     ~    
962 |TYC 3415-1084-1                                                                                          |Star                           |08 18 20.2575849768 +46 04 39.204409548|173.8181076794123 +33.8455494754844|  24.021 -6.957   |10.26    |~                    |    ~     ~    
963 |TYC 3415-1154-1                                                                                          |Star                           |08 21 57.7805060784 +45 47 57.746377464|174.2224776068505 +34.4477647637495|  -7.428 -8.926   |10.95    |~                    |    ~     ~    
964 |TYC 3415-1156-1                                                                                          |RR Lyrae Variable              |08 22 34.4475038640 +46 02 30.260375376|173.9404460166687 +34.5743641268787|  3.703 -10.263   |10.59    |~                    |    ~     ~    
965 |TYC 3415-1170-1                                                                                          |Star                           |08 21 23.9715559248 +46 34 18.713342748|173.2792735467451 +34.4154871925454| -9.346 -45.680   |10.44    |~                    |    ~     ~    
966 |TYC 3415-1400-1                                                                                          |Star                           |08 20 15.8710850496 +46 03 34.086383856|173.8770999056895 +34.1766649455543| 30.927 -16.707   |10.87    |~                    |    ~     ~    
967 |TYC 3415-1403-1                                                                                          |Star                           |08 19 03.6426351432 +46 12 23.706716868|173.6773946534776 +33.9822971494621| 34.936 -27.213   |10.83    |~                    |    ~     ~    
968 |TYC 3415-1688-1                                                                                          |Star                           |08 22 11.9083947552 +45 38 34.111993596|174.4160282842382 +34.4748671661567|   3.927 -6.600   |10.64    |~                    |    ~     ~    
969 |TYC 3415-1851-1                                                                                          |Star                           |08 29 00.9434343048 +46 58 22.352132136|172.8960092083158 +35.7432519581145|   10.503 1.948   |10.23    |~                    |    ~     ~    
970 |TYC 3415-1884-1                                                                                          |Star                           |08 29 34.2367155048 +46 13 33.740770620|173.8216155338407 +35.7965152832899|  -1.775 -1.754   |10.78    |~                    |    ~     ~    
971 |TYC 3415-1982-1                                                                                          |Star                           |08 24 54.9382221336 +46 17 32.865280260|173.6746514119196 +34.9981147155181|-15.203 -41.370   |10.60    |~                    |    ~     ~    
972 |TYC 3415-2041-1                                                                                          |Star                           |08 29 10.2816949080 +46 45 01.341413820|173.1715334839821 +35.7579310862013| -11.456 -5.181   |10.15    |~                    |    ~     ~    
973 |TYC 3415-2123-1                                                                                          |Star                           |08 27 51.6952710576 +46 36 29.105014896|173.3304435067448 +35.5254726031408|  -0.502 12.460   |10.78    |~                    |    ~     ~    
974 |TYC 3415-2178-1                                                                                          |Star                           |08 29 06.5489301264 +45 59 11.234614812|174.1101284214442 +35.7017969008612| -2.683 -16.306   |10.59    |~                    |    ~     ~    
975 |TYC 3415-2189-1                                                                                          |Star                           |08 26 25.8302888856 +46 32 32.076231792|173.3920738652465 +35.2758848117968|    1.129 0.491   |10.25    |~                    |    ~     ~    
976 |TYC 3415-2317-1                                                                                          |Star                           |08 27 15.0987894048 +46 51 02.564855136|173.0253503539618 +35.4356411200276|-28.503 -12.738   |9.88     |~                    |    ~     ~    
977 |TYC 3415-2437-1                                                                                          |Star                           |08 25 20.1229751088 +47 00 37.622936520|172.8055478072496 +35.1188728267756|-19.785 -23.552   |10.46    |~                    |    ~     ~    
978 |TYC 3415-2470-1                                                                                          |Star                           |08 25 46.9622261088 +45 27 07.801064496|174.7121210163157 +35.0839510743662|   -6.238 1.986   |10.09    |~                    |    ~     ~    
979 |TYC 3415-2595-1                                                                                          |Cepheid Variable Candidate     |08 25 11.2657763736 +45 45 02.527124724|174.3384989341250 +35.0040497190964|   0.248 -0.611   |10.24    |~                    |    ~     ~    
980 |HD 68953                                                                                                 |High Proper Motion Star        |08 16 33.3992615088 +44 56 08.333188836|175.1430050478568 +33.4161070689336|-31.565 -39.249   |7.86     |A5                   |    ~     ~    
981 |HD 69197                                                                                                 |Star                           |08 17 42.7022316360 +44 44 59.456541876|175.3921169639438 +33.5985820319456|-15.525 -30.599   |9.25     |F5                   |    ~     ~    
982 |BD+45 1558                                                                                               |Variable Star                  |08 17 53.8003225824 +45 00 45.201990780|175.0828844932061 +33.6601731953077|  -3.325 -0.247   |9.31     |K0                   |    ~     ~    
983 |HD 68639                                                                                                 |Star                           |08 15 09.3444829656 +44 24 15.704273448|175.7386498203628 +33.1058963532434|  -41.684 6.253   |9.13     |G                    |    ~     ~    
984 |HD 68832                                                                                                 |Star                           |08 15 56.9306382264 +44 16 38.279871480|175.9101205257561 +33.2310050046277|   6.439 -9.591   |8.82     |G5                   |    ~     ~    
985 |BD+44 1730                                                                                               |Star                           |08 16 44.1824878056 +43 58 51.845326572|176.2825957965649 +33.3347694880466| 15.562 -13.725   |9.84     |K2                   |    ~     ~    
986 |HD 69713                                                                                                 |High Proper Motion Star        |08 20 03.8585142384 +44 39 49.967917272|175.5499972770310 +34.0046717699811|-73.960 -52.827   |7.86     |F5                   |    ~     ~    
987 |BD+45 1569                                                                                               |Star                           |08 22 55.9569638112 +44 33 57.699474480|175.7314297545144 +34.5023055692691|-13.450 -16.770   |10.84    |F8                   |    ~     ~    
988 |BD+44 1733                                                                                               |Star                           |08 19 34.6676371128 +44 08 45.018954096|176.1590164140656 +33.8611727221801|   3.742 -2.928   |9.10     |K5                   |    ~     ~    
989 |BD+44 1735                                                                                               |Star                           |08 20 30.1976094216 +43 57 51.405348384|176.3992205906970 +34.0057254868785|  -2.783 -9.245   |9.32     |K0                   |    ~     ~    
990 |BD+44 1737                                                                                               |Star                           |08 21 13.2179564328 +44 25 14.909585268|175.8683163857529 +34.1836208009057|  -2.515 -2.550   |9.68     |K2                   |    ~     ~    
991 |BD+43 1787                                                                                               |Star                           |08 15 19.3127642424 +42 56 58.739446104|177.4634118944757 +32.9447768640879|   4.174 -7.249   |9.56     |K0                   |    ~     ~    
992 |HD 68723                                                                                                 |High Proper Motion Star        |08 15 30.7963979952 +43 00 17.202704040|177.4041180099020 +32.9870838862117|  52.183 81.093   |9.00     |G0                   |    ~     ~    
993 |HD 68812                                                                                                 |High Proper Motion Star        |08 15 57.6526929504 +43 30 20.194229844|176.8250547579993 +33.1352465889186|-11.515 -72.316   |10.36    |G                    |    ~     ~    
994 |HD 69027                                                                                                 |Star                           |08 16 54.8350039560 +43 16 14.207174904|177.1306378536690 +33.2760610000774| 22.098 -20.669   |8.93     |G0                   |    ~     ~    
995 |HD 69198                                                                                                 |Star                           |08 17 43.0535747016 +43 29 56.968564992|176.8818099982695 +33.4503102731157| -5.272 -30.862   |8.76     |F5                   |    ~     ~    
996 |V* CR Lyn                                                                                                |delta Sct Variable             |08 17 53.7240956016 +43 24 35.313585840|176.9929486414610 +33.4709988330644|  -0.183 10.412   |7.64     |F0                   |    ~     ~    
997 |TYC 2980-47-1                                                                                            |High Proper Motion Star        |08 22 23.3301056880 +44 25 43.369434012|175.8851852941961 +34.3919380749486|-31.867 -104.427  |10.65    |~                    |    ~     ~    
998 |TYC 2980-87-1                                                                                            |Star                           |08 15 49.9002322896 +44 54 08.285824404|175.1650523890498 +33.2847894779950|   11.421 3.343   |10.95    |~                    |    ~     ~    
999 |TYC 2980-196-1                                                                                           |Star                           |08 18 18.2771037264 +44 28 26.992668000|175.7354388561097 +33.6722745259722| -11.508 -8.743   |10.60    |~                    |    ~     ~    
1000|TYC 2980-706-1                                                                                           |Star                           |08 17 05.7375043464 +44 05 33.705828852|176.1594124372680 +33.4125329645638|  -6.216 -2.945   |10.75    |~                    |    ~     ~    
1001|TYC 2980-867-1                                                                                           |Star                           |08 17 09.0728235024 +43 20 22.094976300|177.0556993565202 +33.3278515383689|-11.451 -48.122   |10.54    |~                    |    ~     ~    
1002|TYC 2980-1216-1                                                                                          |Star                           |08 17 04.3773017280 +44 25 06.485136672|175.7712822984121 +33.4474809501031|  8.112 -15.771   |10.51    |~                    |    ~     ~    
1003|TYC 2980-1300-1                                                                                          |Star                           |08 15 10.0262047656 +43 08 21.338396340|177.2349815191766 +32.9429843734793|   1.569 -8.928   |10.27    |~                    |    ~     ~    
1004|TYC 2980-1680-1                                                                                          |Star                           |08 16 01.5638752656 +43 57 37.364754024|176.2880685227136 +33.2053850010911|-15.506 -33.343   |10.65    |~                    |    ~     ~    
1005|TYC 2980-1929-1                                                                                          |Star                           |08 20 19.2643667976 +43 55 40.906910928|176.4381456211069 +33.9690083610639|   0.134 -1.385   |9.89     |~                    |    ~     ~    
1006|BD+44 1751                                                                                               |Star                           |08 29 48.1868171232 +44 10 12.332527104|176.3517268180234 +35.6883839919915| -0.757 -20.266   |10.50    |G0                   |    ~     ~    
