C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:05:31

Vmag< 11&dec >=0&rah >=8.25&rah< 8.5
------------------------------------

Number of objects : 4125

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------
33  |BD+85 119                                                                                                |Star                           |08 18 09.8003133000 +85 02 08.266521372|128.2002926794032 +28.8636256412629| -1.874 -20.283   |10.46    |F8                   |    ~     ~    
34  |BD+83 206                                                                                                |Star                           |08 17 38.2305214152 +82 55 14.127412476|130.5018778998888 +29.5245509793410|   -2.118 2.188   |10.75    |A5                   |    ~     ~    
35  |BD+83 208                                                                                                |Star                           |08 24 51.6653711016 +82 43 55.498906740|130.6234734485872 +29.7988130714064|  0.188 -15.066   |10.58    |F5                   |    ~     ~    
36  |BD+83 210                                                                                                |Star                           |08 25 31.8631439688 +82 45 28.862643708|130.5871009107162 +29.8099419125508|  -24.553 3.340   |9.52     |F0                   |    ~     ~    
37  |BD+82 233                                                                                                |Star                           |08 16 25.3219865376 +81 57 52.258112748|131.5647023581594 +29.7745887201296|    7.922 3.490   |9.44     |K2                   |    ~     ~    
38  |HD 67934                                                                                                 |Star                           |08 24 32.9993702208 +82 25 50.729968164|130.9546916579029 +29.8902513232731|-14.757 -22.993   |6.280    |A2Vn                 |    ~     ~    
39  |BD+82 238                                                                                                |Star                           |08 27 21.5041350120 +82 16 08.864778396|131.0938027343802 +30.0328472622675| -6.948 -24.219   |10.43    |F0                   |    ~     ~    
40  |BD+82 239                                                                                                |High Proper Motion Star        |08 27 36.2738327544 +82 09 54.405692496|131.2033729516196 +30.0763737520419|-30.884 -61.400   |9.76     |G5                   |    ~     ~    
41  |BD+82 241                                                                                                |Star                           |08 29 01.3065851616 +82 06 04.009811760|131.2533949679462 +30.1440126200610|  -1.334 -4.412   |9.53     |K2                   |    ~     ~    
42  |BD+82 232                                                                                                |High Proper Motion Star        |08 15 30.7917774264 +81 48 37.305369792|131.7453630887611 +29.7889110635911|-30.562 -43.950   |9.52     |K0                   |    ~     ~    
43  |BD+82 236                                                                                                |Star                           |08 24 48.8304601728 +81 35 23.958409704|131.8680828631019 +30.1760648619025|  33.018 11.564   |10.04    |G5                   |    ~     ~    
44  |BD+82 240                                                                                                |Double or Multiple Star        |08 26 40.6644393576 +81 36 06.960436488|131.8290030458561 +30.2363980395879| -5.737 -19.872   |9.61     |G5                   |0.0117  0.0    
45  |BD+81 265                                                                                                |Star                           |08 15 51.0518693328 +81 19 59.128773528|132.2683318124561 +29.9380945998684|    0.259 9.569   |10.58    |F5                   |    ~     ~    
46  |TYC 4546-1191-1                                                                                          |Star                           |08 15 21.7783833480 +81 44 13.210077552|131.8280898828499 +29.8049354428107|  -0.689 -8.466   |10.90    |~                    |    ~     ~    
47  |TYC 4546-1719-1                                                                                          |Star                           |08 19 45.4529912664 +80 46 40.403698824|132.8307933839001 +30.2454270213051|-16.799 -37.238   |10.97    |~                    |    ~     ~    
48  |TYC 4546-1745-1                                                                                          |Star                           |08 21 47.9555440512 +80 59 51.984589776|132.5598628225124 +30.2558391272224|   4.958 10.161   |10.79    |~                    |    ~     ~    
49  |TYC 4546-1766-1                                                                                          |Star                           |08 29 34.6250803536 +81 26 03.377942664|131.9696116279435 +30.3938960306703| -9.696 -19.604   |10.46    |~                    |    ~     ~    
50  |TYC 4546-1840-1                                                                                          |Star                           |08 18 45.8470834080 +82 16 33.478693140|131.1947195212380 +29.7574466389787| -0.728 -16.450   |10.84    |~                    |    ~     ~    
