C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:08:41

Vmag< 11&dec< 0&rah >=4.75&rah< 5.0
-----------------------------------

Number of objects : 3873

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
34  |HD 31034                                                                                                 |Star                                  |04 52 29.1547985928 -01 01 38.101076832|199.3218882527852 -26.7160232286541| 18.692 -13.612   |8.85     |A3III           |    ~     ~    
35  |HD 30534                                                                                                 |Star                                  |04 48 23.4629810376 -01 51 59.304107808|199.5632052226521 -28.0220399530451|  -3.040 -5.940   |9.13     |F0V             |    ~     ~    
36  |HD 30320                                                                                                 |Star                                  |04 46 28.0624083576 -02 04 14.936818224|199.4915829036095 -28.5404100691822| 10.302 -18.526   |9.42     |F8V             |    ~     ~    
37  |HD 30329                                                                                                 |Star                                  |04 46 29.5119992400 -02 13 00.544956564|199.6390688883818 -28.6080648502526|   -6.243 4.445   |9.63     |A2/5V           |    ~     ~    
38  |V* V1359 Ori                                                                                             |delta Sct Variable                    |04 49 54.8797885320 -02 28 38.665464528|200.3779294906894 -27.9951174963883|  1.270 -10.712   |8.45     |kF0hF1mF5IIIEuSr|    ~     ~    
39  |BD-02 1007                                                                                               |High Proper Motion Star               |04 45 57.2432976864 -02 28 27.219979596|199.8173391991737 -28.8527483910703|148.778 -81.835   |10.23    |~               |    ~     ~    
40  |BD-02 1028                                                                                               |Star                                  |04 49 25.4929194768 -02 31 31.288536912|200.3567066359229 -28.1251668295784|  7.159 -14.499   |9.59     |~               |    ~     ~    
41  |TYC 4736-1153-1                                                                                          |Star                                  |04 51 59.9265972384 -00 10 26.696896608|198.4297219017410 -26.3907051025406|  -5.772 -7.813   |10.7     |~               |    ~     ~    
42  |BD-01 716                                                                                                |Star                                  |04 45 40.0753396968 -01 31 18.443784144|198.8371876521208 -28.4376115658020|    1.154 4.878   |10.19    |~               |    ~     ~    
43  |BD-01 719                                                                                                |Star                                  |04 46 18.4540669392 -01 13 28.737679980|198.6376435914243 -28.1495535123806|    6.315 1.608   |10.51    |~               |    ~     ~    
