C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:08:41

Vmag< 11&dec< 0&rah >=4.75&rah< 5.0
-----------------------------------

Number of objects : 3873

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
1108|TYC 7586-1346-1                                                                                          |Star                                  |04 47 16.9875659184 -39 02 48.074731800|242.5342330631476 -40.0637738073359|  -0.580 -9.397   |10.332   |~               |    ~     ~    
1109|TYC 7586-1363-1                                                                                          |Star                                  |04 49 55.5251209848 -39 56 23.624998980|243.7480733352567 -39.6288399495314|  25.466 25.615   |10.824   |~               |    ~     ~    
1110|TYC 7586-1397-1                                                                                          |Star                                  |04 47 57.3025379400 -38 07 56.507255436|241.3623706434652 -39.8484984803184| -1.696 -31.566   |10.71    |~               |    ~     ~    
1111|TYC 7586-1404-1                                                                                          |Star                                  |04 51 46.8875728848 -39 49 19.046845164|243.6336707466373 -39.2642971562447|  10.954 -8.340   |10.924   |~               |    ~     ~    
1112|TYC 7586-1751-1                                                                                          |Star                                  |04 46 47.4317566944 -39 58 22.903869900|243.7328097865785 -40.2303859133398|  17.584 15.053   |10.979   |~               |    ~     ~    
1113|TYC 7589-648-1                                                                                           |Star                                  |04 45 54.3837107616 -40 02 05.850700152|243.7986117980890 -40.4035459691636|  -5.601 26.121   |10.993   |~               |    ~     ~    
1114|TYC 7589-708-1                                                                                           |Star                                  |04 47 21.1795804248 -40 35 27.856215492|244.5494914823151 -40.1643802395955|   3.392 -4.733   |10.996   |~               |    ~     ~    
1115|TYC 7589-737-1                                                                                           |Star                                  |04 45 54.4047461808 -40 32 05.341204680|244.4538717521128 -40.4351068097945|   3.182 10.914   |10.60    |~               |    ~     ~    
1116|TYC 7589-871-1                                                                                           |Star                                  |04 45 54.3002832936 -40 18 16.226656488|244.1518598195222 -40.4213251422010|  8.666 -34.262   |10.73    |~               |    ~     ~    
1117|TYC 7589-960-1                                                                                           |Star                                  |04 47 42.8484416160 -40 34 25.322888532|244.5324860482954 -40.0948492166564|    3.923 2.850   |10.74    |~               |    ~     ~    
1118|TYC 7589-1037-1                                                                                          |Star                                  |04 47 23.5488826584 -40 27 03.385280088|244.3671408249795 -40.1479687798150|   0.955 -3.917   |10.63    |~               |    ~     ~    
1119|HD 30516                                                                                                 |Star                                  |04 46 27.7554013848 -41 05 32.344028232|245.1925300300299 -40.3614274893700|  2.853 -35.375   |9.16     |F5V             |    ~     ~    
1120|HD 30831                                                                                                 |Double or Multiple Star               |04 49 02.3313838898 -41 27 59.096615679|245.7150207536602 -39.8981462162131|-41.715 -126.904  |9.78     |K2(V)           |    ~     ~    
1121|HD 30847                                                                                                 |Star                                  |04 49 13.8824233176 -41 35 13.080810084|245.8744174540607 -39.8686443663876| 10.239 -18.786   |8.704    |K0III           |    ~     ~    
1122|HD 30907                                                                                                 |Star                                  |04 49 40.4263763400 -41 28 32.557697760|245.7356495865114 -39.7799056444846|    3.437 0.494   |9.47     |G8/K0III        |    ~     ~    
1123|HD 30968                                                                                                 |Star                                  |04 50 11.1147707616 -41 35 25.083246192|245.8913765533704 -39.6907326067076| 19.552 -38.761   |9.02     |F2V             |    ~     ~    
1124|* nu. Cae                                                                                                |High Proper Motion Star               |04 50 16.1803228224 -41 19 15.055690296|245.5430632272208 -39.6593786817774|  -3.846 66.090   |6.055    |F2/3V           |    ~     ~    
1125|HD 31026                                                                                                 |Spectroscopic Binary                  |04 50 35.4419862480 -41 02 50.845730028|245.1937050969212 -39.5820858590256|  36.460 68.593   |8.922    |G9V             |    ~     ~    
1126|HD 272204                                                                                                |Star                                  |04 51 09.8370313776 -41 09 36.950522724|245.3487020967149 -39.4816067346598|  13.571 28.840   |10.22    |K5              |    ~     ~    
1127|HD 31226                                                                                                 |Star                                  |04 52 13.5568155144 -41 00 18.415655172|245.1658058028194 -39.2715289154650|    1.744 5.077   |9.03     |M3/4III         |    ~     ~    
1128|HD 30703                                                                                                 |Double or Multiple Star               |04 47 59.8629066 -41 53 32.768446      |246.2578682702 -40.1135239564      | -14.71 -120.10   |9.39     |K3V             |    ~     ~    
1129|HD 30919                                                                                                 |Star                                  |04 49 41.9443204056 -41 51 14.625116784|246.2276546528696 -39.7953324344939|   13.294 2.669   |7.83     |K4III           |    ~     ~    
1130|HD 30407                                                                                                 |Star                                  |04 45 23.2197086616 -41 57 43.444821852|246.3229914807410 -40.6015632499405|  -7.393 -8.621   |9.28     |K0/1III         |    ~     ~    
1131|HD 30424                                                                                                 |Star                                  |04 45 34.9780880352 -42 33 15.467322492|247.1040556813144 -40.5847244542526|  -1.060 19.497   |7.61     |A2V             |    ~     ~    
1132|HD 30540                                                                                                 |Star                                  |04 46 39.0050198928 -42 05 34.052223480|246.5063798373808 -40.3720967584104|   -0.234 9.454   |7.63     |Fm(_dD)         |    ~     ~    
1133|HD 30550                                                                                                 |Star                                  |04 46 43.5915249864 -42 37 01.549609140|247.1948271449660 -40.3761981997478|  28.313 15.695   |8.73     |F6V             |    ~     ~    
1134|HD 30704                                                                                                 |Star                                  |04 47 58.9216933848 -42 27 16.654204908|246.9923446961354 -40.1395337476983|  -21.977 3.277   |9.43     |F3V             |    ~     ~    
1135|HD 30816                                                                                                 |Star                                  |04 48 52.3282334160 -42 01 30.447426216|246.4406509582615 -39.9571684309305|  15.470 23.935   |9.08     |F2V             |    ~     ~    
1136|HD 272169                                                                                                |Star                                  |04 49 05.2394639760 -42 35 21.998907564|247.1783008256501 -39.9410816279643|   5.943 33.502   |10.18    |F2              |    ~     ~    
1137|HD 30848                                                                                                 |Star                                  |04 49 10.6337733624 -42 23 05.278009020|246.9125041004032 -39.9163876157511|  -20.432 4.959   |7.237    |A3V(s)          |    ~     ~    
1138|HD 272168                                                                                                |Star                                  |04 49 16.1122557528 -42 22 54.136189308|246.9093852928546 -39.8994124501616|   18.951 7.043   |8.55     |A0              |    ~     ~    
1139|HD 30877                                                                                                 |Double or Multiple Star               |04 49 20.3787605184 -42 24 49.210420140|246.9517224891697 -39.8876231990842|  -22.496 1.548   |7.32     |A2/3(m)A3-F2    |0.0017  0.0    
1140|HD 30893                                                                                                 |High Proper Motion Star               |04 49 31.2198403872 -41 57 36.502484904|246.3634407499687 -39.8338005496883|  59.385 67.685   |7.97     |F5V             |    ~     ~    
1141|HD 30908                                                                                                 |High Proper Motion Star               |04 49 36.5080472232 -42 36 29.759950440|247.2076557186816 -39.8459777137178| 51.283 -22.097   |8.49     |F8V             |    ~     ~    
1142|HD 30920                                                                                                 |Star                                  |04 49 41.0166651792 -42 15 27.862401636|246.7523581739253 -39.8174086453678|   2.251 21.769   |9.44     |G6III           |    ~     ~    
1143|HD 31227                                                                                                 |Star                                  |04 52 02.5220005056 -42 45 28.856505492|247.4261247976515 -39.4053759368989|  11.039 24.226   |8.64     |K3III           |    ~     ~    
1144|CD-43 1547                                                                                               |Star                                  |04 46 07.8847657080 -43 16 04.026791352|248.0458741927349 -40.5015175864829|   -0.428 0.589   |10.30    |F5              |    ~     ~    
1145|HD 30720                                                                                                 |Star                                  |04 48 03.7958706720 -43 01 42.269271780|247.7431596748043 -40.1434733327726|    6.763 4.393   |9.23     |K2/3III         |    ~     ~    
1146|HD 30894                                                                                                 |Star                                  |04 49 25.4675051616 -43 21 13.275945828|248.1769428153743 -39.9046876523621|   45.870 0.569   |9.78     |F0V             |    ~     ~    
1147|HD 272191                                                                                                |Star                                  |04 49 31.8527410224 -43 18 51.742515276|248.1264366091748 -39.8842278944144|  11.473 -1.821   |10.20    |G0              |    ~     ~    
1148|HD 31131                                                                                                 |High Proper Motion Star               |04 51 12.9987001368 -43 03 06.084883476|247.7983372449075 -39.5683798327756|  35.023 70.587   |8.10     |F3V             |    ~     ~    
1149|HD 31241                                                                                                 |Star                                  |04 52 04.9971265728 -43 17 08.036898684|248.1087900456810 -39.4191416315069|    8.717 5.265   |9.972    |F6V             |    ~     ~    
1150|CD-41 1563                                                                                               |Star                                  |04 46 08.7989139456 -41 28 39.544863816|245.6940479316458 -40.4397917867640|   1.813 10.799   |9.41     |~               |    ~     ~    
1151|CD-41 1561                                                                                               |Star                                  |04 45 34.1864937264 -41 39 28.928117988|245.9247726280983 -40.5555415307364|    1.127 3.598   |9.75     |~               |    ~     ~    
1152|CD-42 1616                                                                                               |Star                                  |04 45 39.3704321232 -42 44 54.907531044|247.3602586077556 -40.5765675181691|   -2.583 3.130   |10.9     |~               |    ~     ~    
1153|CD-42 1618                                                                                               |Star                                  |04 45 59.8637504232 -42 01 03.757704780|246.4017434784927 -40.4902368305832|   -3.206 4.042   |10.296   |~               |    ~     ~    
1154|CD-42 1621                                                                                               |Star                                  |04 46 18.4990346280 -42 26 02.372698860|246.9512549817145 -40.4474028894944|   17.320 2.184   |10.15    |~               |    ~     ~    
1155|HD 272179                                                                                                |Star                                  |04 46 49.8176596200 -43 00 09.392828112|247.7013502248225 -40.3680672275726|    3.300 0.841   |10.42    |K7              |    ~     ~    
1156|HD 272180                                                                                                |Star                                  |04 47 52.0359874944 -43 01 21.448047576|247.7342587740633 -40.1791150120566|  25.161 22.162   |10.43    |G0              |    ~     ~    
1157|HD 272172                                                                                                |Star                                  |04 48 15.8131675008 -42 39 27.618214068|247.2601186859363 -40.0950040903823|   10.866 6.062   |10.58    |K7              |    ~     ~    
1158|HD 272165                                                                                                |Star                                  |04 48 26.0281495584 -42 00 31.504006044|246.4144905811564 -40.0377589300736|   16.290 9.554   |10.72    |K0              |    ~     ~    
1159|HD 272156                                                                                                |Star                                  |04 49 06.6947175648 -41 13 52.920307740|245.4101846564274 -39.8713198721035|  -8.078 -7.209   |10.34    |K7              |    ~     ~    
1160|HD 272160                                                                                                |Star                                  |04 49 25.1297221584 -41 43 01.036412004|246.0459031316802 -39.8404923639240|   5.995 -6.986   |10.25    |K7              |    ~     ~    
1161|HD 272159                                                                                                |Star                                  |04 49 41.4590139552 -41 37 02.155716696|245.9198022664586 -39.7844686034663|    1.434 5.721   |10.32    |K5              |    ~     ~    
1162|HD 272211                                                                                                |Star                                  |04 50 01.3287162528 -41 25 58.497595212|245.6848980448060 -39.7123079497689|    1.534 0.518   |10.34    |K5              |    ~     ~    
1163|HD 272237                                                                                                |Star                                  |04 50 17.9377429392 -43 13 55.329390480|248.0248550337226 -39.7419693446521|   3.833 -4.291   |10.68    |K0              |    ~     ~    
1164|HD 272222                                                                                                |High Proper Motion Star               |04 52 17.7338039808 -42 14 28.728963924|246.7614316970374 -39.3338241402002|  25.799 59.247   |10.73    |K0              |    ~     ~    
1165|HD 272152                                                                                                |Spectroscopic Binary                  |04 49 01.9351029960 -40 54 27.012514824|244.9878116691672 -39.8667443990702|-39.487 -31.873   |10.81    |K7              |    ~     ~    
1166|HD 272154                                                                                                |Star                                  |04 48 36.2600377560 -41 07 35.555150064|245.2665230405604 -39.9605203204050|  11.331 11.471   |10.86    |K7              |    ~     ~    
1167|HD 272157                                                                                                |High Proper Motion Star               |04 49 04.7991398688 -41 23 38.705113068|245.6214421686788 -39.8864753275786|   3.248 49.770   |10.787   |K2              |    ~     ~    
1168|HD 272163                                                                                                |Star                                  |04 48 08.5399733280 -41 51 06.061974372|246.2062590688597 -40.0847658502503|  -7.048 27.466   |10.87    |K0              |    ~     ~    
1169|HD 272181                                                                                                |Star                                  |04 47 30.4009163904 -43 03 42.206745708|247.7830719201866 -40.2460469212872|  -1.789 11.358   |10.90    |F5              |    ~     ~    
1170|HD 272186                                                                                                |Star                                  |04 48 01.3674522456 -43 17 56.327884044|248.0967652896920 -40.1580742897237|  37.128 -4.797   |10.46    |G0              |    ~     ~    
1171|HD 272188                                                                                                |High Proper Motion Star               |04 48 57.7687203048 -43 04 02.527885560|247.8004337687519 -39.9803621409389|   8.664 52.624   |10.67    |K0              |    ~     ~    
1172|HD 272189                                                                                                |Star                                  |04 49 21.6803431032 -43 09 17.227824768|247.9173174659293 -39.9103476357539| -15.008 -4.512   |10.58    |F2              |    ~     ~    
1173|HD 272215                                                                                                |Star                                  |04 51 36.3465446856 -41 39 36.810753336|246.0016001613134 -39.4296982722689| -9.019 -29.542   |10.810   |F5              |    ~     ~    
1174|HD 272217                                                                                                |Star                                  |04 49 50.7636792936 -41 50 37.524746976|246.2160717282801 -39.7674707860681|-17.557 -14.435   |10.97    |K0              |    ~     ~    
1175|HD 272227                                                                                                |Star                                  |04 49 49.4686841376 -42 32 45.720133188|247.1287642044152 -39.8037491054996|   10.650 6.925   |10.62    |A2              |    ~     ~    
1176|HD 272228                                                                                                |Star                                  |04 50 42.5842200768 -42 44 33.474574572|247.3927831859601 -39.6490885266446|  2.232 -18.581   |10.83    |K7              |    ~     ~    
1177|HD 272235                                                                                                |Star                                  |04 50 20.2754163960 -42 55 24.995062272|247.6243552645440 -39.7242037155291|   38.256 3.328   |10.445   |G0              |    ~     ~    
1178|HD 272238                                                                                                |Star                                  |04 50 50.3299561056 -43 22 41.684935044|248.2188581938129 -39.6484782654433|   -3.995 5.940   |10.99    |F5              |    ~     ~    
1179|HD 272241                                                                                                |Star                                  |04 51 15.7840181592 -43 30 06.014864484|248.3821345320636 -39.5753877904996|   -2.286 6.751   |10.71    |K2              |    ~     ~    
1180|HD 30748                                                                                                 |Star                                  |04 48 12.6370107600 -43 27 53.947248624|248.3149224586264 -40.1278907248307|   -7.213 5.563   |9.06     |A2V             |    ~     ~    
1181|HD 272245                                                                                                |Star                                  |04 50 51.6115891008 -43 33 50.046980544|248.4600230264223 -39.6502484166289|  -3.995 11.878   |9.75     |G5              |    ~     ~    
1182|HD 272192                                                                                                |Star                                  |04 49 10.0514046528 -43 29 19.270327236|248.3513105589137 -39.9549137965345|  12.826 12.186   |10.29    |K0              |    ~     ~    
1183|HD 272247                                                                                                |Star                                  |04 49 55.0623338928 -43 32 51.847857852|248.4328303481118 -39.8204884254580|   -3.091 0.335   |10.65    |F8              |    ~     ~    
1184|CD-41 1571                                                                                               |Star                                  |04 47 04.1641197624 -40 48 39.509006220|244.8325980660362 -40.2313562198465|    2.193 2.085   |10.17    |~               |    ~     ~    
1185|HD 272158                                                                                                |Star                                  |04 49 36.7317380424 -41 27 29.116395432|245.7119123499147 -39.7904363446120|  -2.544 12.315   |10.686   |K2              |    ~     ~    
1186|SAO 217030                                                                                               |Star                                  |04 50 15.0497716224 -41 19 17.826855420|245.5437866338284 -39.6629561466255|  16.192 17.364   |10.38    |~               |    ~     ~    
1187|BD-02 1065                                                                                               |Star                                  |04 55 14.7414868296 -02 39 59.116607712|201.3003832214064 -26.9281281356632|   3.165 -7.618   |10.40    |~               |    ~     ~    
1188|BD-00 796                                                                                                |Star                                  |04 54 26.3272608192 -00 11 48.194919168|198.7954972256298 -25.8761389913147|  1.089 -37.292   |10.00    |F2              |    ~     ~    
1189|BD-00 798                                                                                                |Star                                  |04 54 57.8887322760 -00 11 42.342887184|198.8676985724418 -25.7618056681138|   -5.520 0.115   |10.9     |A2              |    ~     ~    
1190|HD 31124                                                                                                 |Star                                  |04 53 04.5557906064 -01 15 51.887057760|199.6343672582704 -26.7070484162174| 17.637 -18.492   |8.06     |A2/7            |    ~     ~    
1191|HD 31125                                                                                                 |Star                                  |04 53 04.8146926080 -01 16 32.794890708|199.6459908411415 -26.7117891072941| 12.721 -15.762   |7.92     |A7/F0           |    ~     ~    
1192|BD-01 745                                                                                                |Star                                  |04 53 17.1654382728 -01 45 38.410923456|200.1459075602913 -26.9084948688468|    3.927 8.846   |9.52     |G0              |    ~     ~    
1193|BD-01 747                                                                                                |Star                                  |04 53 42.0030801744 -01 10 28.798597956|199.6345544375332 -26.5270792427265|   -1.978 0.904   |9.98     |G5              |    ~     ~    
1194|BD-01 748                                                                                                |Star                                  |04 54 07.8719965661 -01 09 40.806572992|199.6817709135228 -26.4270556954825| 12.360 -15.132   |9.49     |G0              |    ~     ~    
1195|HD 31256                                                                                                 |Star                                  |04 54 12.0463790208 -01 43 33.238254972|200.2390167385393 -26.6927543506835|  5.068 -10.724   |8.08     |K1/2III         |    ~     ~    
1196|BD-01 751                                                                                                |Double or Multiple Star               |04 54 32.597 -01 07 22.93              |199.702117 -26.318688              |    -19.5 -25.0   |10.0     |F8              |    ~     ~    
1197|HD 31183                                                                                                 |Star                                  |04 53 32.4645097728 -01 46 20.385245424|200.1926808471648 -26.8589445401658|  -6.426 -1.319   |8.59     |K0III           |    ~     ~    
1198|BD-02 1060                                                                                               |Star                                  |04 54 27.8396237856 -01 55 05.053466856|200.4624021788811 -26.7306639982354|  -0.247 -8.895   |9.09     |K0              |    ~     ~    
1199|HD 31317                                                                                                 |Star                                  |04 54 35.4780882744 -01 47 42.827426736|200.3604876713292 -26.6422893280023|   -0.585 1.429   |8.21     |K1III           |    ~     ~    
1200|HD 31156                                                                                                 |Star                                  |04 53 18.1154190168 -02 36 07.327180404|200.9704184297951 -27.3199718549373| -0.493 -10.206   |8.38     |K3III           |    ~     ~    
1201|BD-02 1057                                                                                               |Star                                  |04 53 55.5344087304 -02 14 46.900309272|200.7082206916826 -27.0095664859727| 16.343 -41.681   |9.63     |G0              |    ~     ~    
1202|CCDM J04543-0155A                                                                                        |Star                                  |04 54 17.58 -01 54 48.5                |200.43429 -26.76554                |            ~ ~   |10.8     |~               |    ~     ~    
1203|BD-00 794                                                                                                |Star                                  |04 53 33.9324786288 -00 00 06.555221892|198.4857471079251 -25.9657725866868|  -8.358 -3.355   |10.4     |~               |    ~     ~    
1204|BD-01 746                                                                                                |Star                                  |04 53 34.3302733080 -01 18 06.593340888|199.7399214327553 -26.6182495001730|   3.963 -0.496   |10.03    |~               |    ~     ~    
1205|TYC 4737-277-1                                                                                           |Star                                  |04 53 44.0581306632 -01 19 32.512564920|199.7856583833277 -26.5950252193846|    5.221 0.242   |10.41    |~               |    ~     ~    
1206|BD-02 1056                                                                                               |Star                                  |04 53 47.0292190800 -01 55 24.710161188|200.3736151305450 -26.8811038775874| -4.180 -11.776   |10.041   |~               |    ~     ~    
1207|BD-00 797                                                                                                |Star                                  |04 54 42.8826172464 -00 01 06.655674576|198.6634546849687 -25.7265286854687|   5.809 -8.555   |10.349   |~               |    ~     ~    
1208|HD 31356                                                                                                 |Double or Multiple Star               |04 55 03.88369 -00 32 41.9909          |199.21756502 -25.91640714          |      0.00 1.14   |7.8      |A7IV            |    ~     ~    
1209|BD-00 801                                                                                                |Star                                  |04 55 21.2976549600 -00 05 58.234996464|198.8307685431282 -25.6293571808365|   14.618 1.000   |9.02     |G0              |    ~     ~    
1210|HD 31383                                                                                                 |Star                                  |04 55 22.2774347880 -00 21 10.242840240|199.0758447840644 -25.7535407772674|  -3.984 -6.749   |8.14     |A0(V)           |    ~     ~    
1211|BD-00 804                                                                                                |Star                                  |04 55 38.4386343312 -00 27 25.132467312|199.2133751889324 -25.7477033346598| -3.364 -14.303   |9.21     |K5              |    ~     ~    
1212|HD 31455                                                                                                 |Star                                  |04 56 04.7071274952 -00 18 27.967733496|199.1313100476833 -25.5780802253350| 12.274 -10.096   |9.28     |A0V             |    ~     ~    
1213|BD-00 810                                                                                                |Star                                  |04 58 12.9544044240 -00 18 55.385632836|199.4354250155615 -25.1197560293915|   -3.721 3.538   |9.84     |A5              |    ~     ~    
1214|HD 31724                                                                                                 |Star                                  |04 58 13.5887348448 -00 33 20.609954568|199.6668338870596 -25.2377093609166|  -5.546 -4.035   |8.90     |A3(IV)          |    ~     ~    
1215|BD-00 815                                                                                                |Star                                  |04 58 39.4724229264 -00 42 05.105355372|199.8658882718399 -25.2169375268067|   -2.534 3.292   |9.41     |K0              |    ~     ~    
1216|BD-00 816                                                                                                |Star                                  |04 58 52.8505551072 -00 13 17.124518136|199.4376019303435 -24.9288163142324| -4.051 -32.117   |9.39     |K0              |    ~     ~    
1217|BD-00 817                                                                                                |Star                                  |04 59 35.2536618888 -00 08 33.568193436|199.4600168464451 -24.7364479707845|   2.430 13.227   |10.7     |G5              |    ~     ~    
1218|BD-01 752                                                                                                |Star                                  |04 55 03.8649758280 -01 12 57.854565396|199.8644978879023 -26.2521635046171|  -5.942 -9.244   |10.01    |K0              |    ~     ~    
1219|BD-01 753                                                                                                |High Proper Motion Star               |04 55 09.0828739512 -01 05 34.099844028|199.7574631427290 -26.1718799816742| 61.521 -27.499   |9.60     |F8              |    ~     ~    
1220|BD-01 755                                                                                                |Star                                  |04 55 27.7967440992 -01 15 30.262525092|199.9607421062679 -26.1867721257931|   6.427 -4.695   |9.39     |K0              |    ~     ~    
1221|HD 31467                                                                                                 |Star                                  |04 56 00.5208176064 -01 41 01.279934016|200.4478143438932 -26.2792824168189|  4.814 -18.498   |9.05     |K0III           |    ~     ~    
1222|HD 31623                                                                                                 |Star                                  |04 57 17.1910500528 -01 04 02.123786748|200.0283477285236 -25.6963447708516|-36.611 -26.583   |6.241    |F3/5III         |    ~     ~    
1223|HD 31681                                                                                                 |Star                                  |04 57 47.9816501352 -01 30 42.899906520|200.5277252835649 -25.8052803075462| -3.672 -11.765   |9.709    |A5IV(n)         |    ~     ~    
1224|BD-01 764                                                                                                |Star                                  |04 58 37.3430766864 -01 24 40.956208092|200.5434007502929 -25.5768455818467|  -7.723 -0.318   |10.32    |A5              |    ~     ~    
1225|HD 31807                                                                                                 |Star                                  |04 58 47.0522541384 -00 57 39.213186336|200.1321686775485 -25.3186133118376| -1.012 -12.639   |9.22     |K0III           |    ~     ~    
1226|BD-01 767                                                                                                |High Proper Motion Star               |04 58 49.4984959608 -00 58 15.805265916|200.1475269016139 -25.3148140256015|-43.811 -34.465   |9.90     |G5              |    ~     ~    
1227|HD 31365                                                                                                 |Star                                  |04 55 04.5874879968 -02 36 06.622406244|201.2140192398102 -26.9334472959100|   1.157 -2.031   |9.39     |A3II/III        |    ~     ~    
1228|HD 31439                                                                                                 |Star                                  |04 55 45.5688800448 -02 20 15.917884116|201.0495968540363 -26.6554128346357|  27.061 15.845   |8.40     |K0III/IV        |    ~     ~    
1229|HD 31739                                                                                                 |Star                                  |04 58 10.9118837184 -02 12 45.848265408|201.2585978540591 -26.0665756120110|  12.079 13.038   |6.338    |A1V             |    ~     ~    
1230|HD 31858                                                                                                 |Star                                  |04 59 05.8486958064 -02 08 11.883464412|201.3091645572731 -25.8298367567756|  -4.582 10.069   |7.52     |A1/2IV          |    ~     ~    
1231|HD 31919                                                                                                 |Star                                  |04 59 29.1947303136 -02 03 59.566577040|201.2940563577779 -25.7107697747563|    1.861 2.084   |8.93     |B9.5V           |    ~     ~    
1232|TYC 4737-959-1                                                                                           |Star                                  |04 59 10.2348432312 -01 34 32.903667336|200.7768510729147 -25.5387483143408|  -3.391 -7.802   |10.98    |~               |    ~     ~    
1233|PSR J0459-0210                                                                                           |Pulsar                                |04 59 51.941 -02 10 06.60              |201.444126 -25.677944              |            ~ ~   |10.36    |~               |    ~     ~    
1234|TYC 4737-1298-1                                                                                          |Star                                  |04 55 25.1318802192 -00 46 05.965163076|199.4817814054108 -25.9518155057800|  -1.512 -3.635   |10.8     |~               |    ~     ~    
1235|BD-01 756                                                                                                |Star                                  |04 55 32.2292950416 -01 02 34.837929168|199.7629625567907 -26.0634675327226| -11.208 -4.328   |10.56    |~               |    ~     ~    
1236|BD-01 757                                                                                                |Star                                  |04 55 45.5999990088 -01 41 09.216870828|200.4156830435379 -26.3343913301857|  4.033 -13.749   |10.13    |~               |    ~     ~    
1237|BD-00 805                                                                                                |Star                                  |04 55 47.1967738560 -00 37 10.948454112|199.3900105703597 -25.7978028690864|  -0.130 -0.636   |9.76     |~               |    ~     ~    
1238|BD-01 760                                                                                                |Star                                  |04 56 27.7251650376 -00 48 52.178806908|199.6711116110558 -25.7490664096778| -6.975 -18.217   |10.4     |~               |    ~     ~    
1239|BD-02 1072                                                                                               |Star                                  |04 56 31.1010895944 -02 11 05.288276328|201.0045001425089 -26.4151975200677|   0.641 -4.672   |9.58     |~               |    ~     ~    
1240|BD-00 808                                                                                                |Star                                  |04 57 26.8740867024 -00 08 05.048705292|199.1563360219136 -25.1951449965345|   -5.986 7.135   |10.09    |~               |    ~     ~    
1241|BD-00 809                                                                                                |Star                                  |04 57 29.1600675936 -00 33 01.199063736|199.5593019498559 -25.3953367286433|  10.034 -4.367   |10.29    |~               |    ~     ~    
1242|BD-00 812                                                                                                |High Proper Motion Star               |04 58 34.1389110984 -00 02 57.283455948|199.2302406684048 -24.9098781089424| -0.373 -53.803   |9.75     |~               |    ~     ~    
1243|TYC 4737-687-1                                                                                           |Star                                  |04 59 36.3398060688 -01 38 49.982410788|200.9050088143612 -25.4792260990754|  -1.758 -2.905   |10.42    |~               |    ~     ~    
1244|TYC 4737-49-1                                                                                            |Star                                  |04 55 16.2329600400 -00 20 30.604942140|199.0512042193096 -25.7697594097738|   9.218 -9.973   |9.95     |~               |    ~     ~    
1245|TYC 4737-198-1                                                                                           |Star                                  |04 54 36.5052209544 -00 57 52.285180248|199.5580581645494 -26.2253905473708|   0.040 -8.149   |10.613   |~               |    ~     ~    
1246|TYC 4737-231-1                                                                                           |Star                                  |04 55 10.3886282832 -01 01 42.270122568|199.6983146161134 -26.1350323575287| 21.631 -19.268   |10.83    |~               |    ~     ~    
1247|TYC 4737-314-1                                                                                           |Star                                  |04 53 31.8900934968 -00 53 05.545319352|199.3307301402420 -26.4185036142077|  8.104 -13.348   |10.9     |~               |    ~     ~    
1248|TYC 4737-457-1                                                                                           |Star                                  |04 52 47.5862255184 -01 38 00.447691380|199.9534399860856 -26.9522460662572|  7.784 -10.907   |10.66    |~               |    ~     ~    
1249|TYC 4737-662-1                                                                                           |Star                                  |04 57 16.9076809368 -00 25 35.978200500|199.4125133285388 -25.3776045895846|    4.467 6.527   |10.9     |~               |    ~     ~    
1250|TYC 4737-739-1                                                                                           |Star                                  |04 58 51.8426365344 -00 55 33.510663120|200.1096098666052 -25.2839497158403|  2.732 -12.625   |10.9     |~               |    ~     ~    
1251|TYC 4737-744-1                                                                                           |Star                                  |04 57 28.6503374520 -00 24 34.087084308|199.4231820959712 -25.3266496551201|   14.919 7.042   |10.4     |~               |    ~     ~    
1252|TYC 4737-783-1                                                                                           |Star                                  |04 56 00.8845676760 -01 37 35.633409384|200.3932802061679 -26.2497215964985|   4.221 -5.659   |10.236   |~               |    ~     ~    
1253|TYC 4737-867-1                                                                                           |Star                                  |04 59 36.7561167696 -00 59 00.469423752|200.2674121201134 -25.1500284349919|   -0.988 6.108   |10.41    |~               |    ~     ~    
1254|TYC 4737-961-1                                                                                           |Star                                  |04 56 08.4814757904 -01 27 59.844812616|200.2558671508644 -26.1430452270123|   -0.907 3.044   |9.70     |~               |    ~     ~    
1255|TYC 4737-1110-1                                                                                          |Star                                  |04 58 53.6558502984 -00 14 05.444322324|199.4522655684006 -24.9326368089166|  -8.125 -5.347   |10.9     |~               |    ~     ~    
1256|TYC 4737-1117-1                                                                                          |Star                                  |04 57 22.2902956848 -01 08 45.376873620|200.1158442988580 -25.7170038082426|   0.252 -4.111   |10.93    |~               |    ~     ~    
1257|TYC 4737-1129-1                                                                                          |High Proper Motion Star               |04 58 45.9609322152 -01 38 54.137067972|200.7916929785449 -25.6624736770823|  7.597 -58.261   |10.02    |~               |    ~     ~    
1258|TYC 4737-1146-1                                                                                          |Star                                  |04 59 10.1101012560 -00 20 48.053157936|199.5968745511853 -24.9292552003830|  0.769 -19.707   |10.7     |~               |    ~     ~    
1259|TYC 4737-1180-1                                                                                          |Star                                  |04 56 25.3705016592 -00 45 16.030106424|199.6079323827483 -25.7275644482858|   3.505 -9.328   |10.5     |~               |    ~     ~    
