C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:35:13

dec< 0&rah >=3.0&rah< 3.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2700

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
192 |BD-07 556                                                                                                |Star                                  |03 10 38.4007224984 -07 03 44.996698404|188.0942271791614 -51.3822837260044|  42.439 -7.794   |9.18     |G0              |    ~     ~    |    1|  153.142   pc  |  -3.3513     +3.3513    |paral   |2020yCat.1350....0G
193 |HD 19773                                                                                                 |High Proper Motion Star               |03 10 43.3376422896 -06 31 33.624993792|187.4185420547900 -51.0519477644595|   65.416 2.318   |8.05     |F8/G0V          |    ~     ~    |    1|   68.311   pc  |  -0.1274     +0.1274    |paral   |2020yCat.1350....0G
194 |HD 19791                                                                                                 |Rotating Variable                     |03 10 47.3036616528 -06 34 29.668160352|187.4968290551510 -51.0674322048036|  -0.690 -6.378   |8.63     |A8/9V           |    ~     ~    |    1|  132.371   pc  |  -1.8258     +1.8258    |paral   |2018yCat.1345....0G
195 |BD-07 559                                                                                                |Star                                  |03 10 52.6066498152 -06 42 06.408545112|187.6809229567116 -51.1241025572092|  -1.831 36.826   |10.40    |~               |    ~     ~    |    1|  159.436   pc  |  -0.5643     +0.5643    |paral   |2020yCat.1350....0G
196 |* rho02 Eri                                                                                              |Star                                  |03 02 42.2880946296 -07 41 07.718204472|187.0359667462057 -53.3422128874000|  43.205 -1.727   |5.336    |K0III           |    ~     ~    |    1|   77.560   pc  |  -0.6407     +0.6407    |paral   |2020yCat.1350....0G
197 |* rho03 Eri                                                                                              |High Proper Motion Star               |03 04 16.5168842952 -07 36 03.078421848|187.3035763887066 -52.9777414105593|  67.468 17.723   |5.30     |A5V             |    ~     ~    |    1|   44.094   pc  |  -0.1495     +0.1495    |paral   |2020yCat.1350....0G
198 |BD-08 579                                                                                                |Star                                  |03 05 44.7829290079 -07 46 18.275811880|187.8861875429874 -52.7817300103495|     -14.0 -3.5   |9.98     |~               |    ~     ~    |    0|                |                         |        |                   
199 |BD-08 586                                                                                                |Star                                  |03 07 36.5004487920 -07 42 55.631785140|188.2506006874058 -52.3732244176728|    7.868 7.939   |10.19    |F2              |    ~     ~    |    1|  216.715   pc  |  -3.0250     +3.0250    |ST-L    |2020AJ....160...83S
200 |BD-08 593                                                                                                |Star                                  |03 09 51.8836332264 -07 47 50.890910712|188.8839358564725 -51.9630489469050|  -2.366 -1.690   |9.53     |A0              |    ~     ~    |    1|  532.822   pc  | -11.5263    +11.5263    |paral   |2020yCat.1350....0G
201 |BD-08 587                                                                                                |Star                                  |03 07 46.7273534664 -07 50 07.723804704|188.4511614262767 -52.4079752417960|  12.358 -2.126   |9.88     |~               |    ~     ~    |    1|  625.508   pc  |  -6.7688     +6.7688    |paral   |2020yCat.1350....0G
202 |BD-08 591                                                                                                |Star                                  |03 09 17.2014467088 -07 49 58.362888360|188.7979708960274 -52.1007204968152|   -2.741 5.312   |10.63    |~               |    ~     ~    |    1|  346.416   pc  |  -2.1241     +2.1241    |paral   |2020yCat.1350....0G
203 |BD-08 594                                                                                                |High Proper Motion Star               |03 10 17.0138626968 -07 59 27.675805344|189.2380760829275 -51.9881549041254|  39.461 55.136   |10.87    |~               |    ~     ~    |    1|  183.739   pc  |  -0.5267     +0.5267    |paral   |2020yCat.1350....0G
204 |BD-07 539                                                                                                |Star                                  |03 02 29.3030351904 -07 25 09.790245408|186.6240480602874 -53.2280282834183|    6.021 0.691   |10.612   |~               |    ~     ~    |    1|  257.073   pc  |  -4.6560     +4.6560    |ST-L    |2020AJ....160...83S
205 |BD-08 574                                                                                                |Star                                  |03 04 34.5046021176 -07 34 36.996131712|187.3438028909919 -52.9035562142229|    1.110 7.080   |10.47    |~               |    ~     ~    |    1| 1133.530   pc  | -22.2286    +22.2286    |paral   |2020yCat.1350....0G
206 |BD-08 575                                                                                                |Star                                  |03 04 46.5171201648 -07 44 54.229363620|187.6226252970976 -52.9636710784789|   9.263 -4.570   |10.19    |~               |    ~     ~    |    1|  536.855   pc  |  -5.8219     +5.8219    |paral   |2020yCat.1350....0G
207 |BD-08 578                                                                                                |Star                                  |03 05 31.6470722928 -07 27 22.838738292|187.4112285681813 -52.6416425653446|-13.624 -29.192   |10.34    |~               |    ~     ~    |    1|  210.571   pc  |  -0.7582     +0.7582    |paral   |2020yCat.1350....0G
208 |BD-08 580                                                                                                |High Proper Motion Star               |03 06 13.8750382392 -07 26 38.357483280|187.5628766473917 -52.4930016206449| 51.206 -24.776   |10.51    |~               |    ~     ~    |    1|  223.419   pc  |  -0.8685     +0.8685    |paral   |2020yCat.1350....0G
209 |BD-08 584                                                                                                |Star                                  |03 07 18.6191463816 -07 33 00.448832916|187.9599294896231 -52.3375939440984|   13.751 2.642   |10.21    |~               |    ~     ~    |    1| 1000.700   pc  | -16.9237    +16.9237    |paral   |2020yCat.1350....0G
210 |BD-08 596                                                                                                |Star                                  |03 11 04.4037727176 -07 33 53.226957240|188.8525771243188 -51.5843151379756|  14.686 17.664   |10.706   |~               |    ~     ~    |    1|  715.342   pc  | -29.0000    +29.0000    |ST-L    |2020AJ....160...83S
211 |NGC 1202                           NGC 1202                                                              |Emission-line galaxy                  |03 05 02.5202366496 -06 29 29.818559148|186.0219242806690 -52.1653906529863|            ~ ~   |     ~   |~               |0.403 0.363    |    0|                |                         |        |                   
212 |NGC 1234                           NGC 1234                                                              |Galaxy                                |03 09 39.000 -07 50 43.39              |188.898398 -52.034078              |            ~ ~   |     ~   |~               |0.313 0.244    |    1|   45.92    Mpc |  -5.17       +5.17      |T-F     |2020ApJ...902..145K
213 |BD-06 599                                                                                                |High Proper Motion Star               |03 05 08.8319950056 -06 25 03.396933480|185.9512947734968 -52.0999678550287| 63.764 -46.006   |10.37    |~               |    ~     ~    |    1|  139.712   pc  |  -0.3455     +0.3455    |paral   |2020yCat.1350....0G
214 |ASAS J030521-0619.9                                                                                      |Eclipsing Binary                      |03 05 21.2018920200 -06 19 51.145159404|185.8889775492254 -52.0068092185367|   14.110 1.939   |10.70    |~               |    ~     ~    |    1|  250.445   pc  |  -1.1227     +1.1227    |paral   |2020yCat.1350....0G
215 |TYC 5294-1087-1                                                                                          |Star                                  |03 05 22.1153870160 -07 37 57.800701740|187.6092446480860 -52.7767967572054|    8.592 3.803   |10.85    |~               |    ~     ~    |    1| 1895.016   pc  | -54.9436    +54.9436    |paral   |2020yCat.1350....0G
216 |TYC 4713-66-1                                                                                            |Star                                  |03 06 00.8720411424 -07 10 11.583522264|187.1472289971076 -52.3755057343937| 13.516 -22.593   |10.89    |~               |    ~     ~    |    1|  386.250   pc  |  -2.6108     +2.6108    |paral   |2020yCat.1350....0G
217 |BD-08 567                                                                                                |Star                                  |03 02 25.7508654360 -08 02 44.006116776|187.4585169163295 -53.6088052038275|-15.233 -10.337   |9.95     |~               |    ~     ~    |    1|  225.383   pc  |  -0.9499     +0.9499    |paral   |2020yCat.1350....0G
218 |BD-06 584                                                                                                |Star                                  |03 00 11.8016040144 -06 04 40.688999544|184.2758021605599 -52.8667357915287|  20.310 12.443   |9.67     |F5              |    ~     ~    |    1|  167.471   pc  |  -0.5665     +0.5665    |paral   |2020yCat.1350....0G
219 |BD-06 585                                                                                                |Star                                  |03 00 58.4553119664 -06 09 56.203451136|184.5873447867424 -52.7688103369490|    7.779 1.473   |9.52     |~               |    ~     ~    |    1|  857.265   pc  | -13.8897    +13.8897    |paral   |2020yCat.1350....0G
220 |BD-06 587                                                                                                |Star                                  |03 02 06.8883895632 -06 03 27.306540072|184.7344251155180 -52.4788444810003| -6.105 -13.242   |10.18    |~               |    ~     ~    |    1|  200.172   pc  |  -0.6972     +0.6972    |paral   |2020yCat.1350....0G
221 |BD-07 534                                                                                                |Star                                  |03 00 38.3679691128 -06 34 53.372059608|185.0476541692469 -53.0895660162056| -6.730 -13.569   |8.68     |F2              |    ~     ~    |    1|  206.958   pc  |  -1.0451     +1.0451    |paral   |2020yCat.1350....0G
222 |BD-07 536                                                                                                |Star                                  |03 01 27.6963431232 -06 33 01.692655092|185.2137422074702 -52.9088357581319|  -4.193 -0.338   |10.29    |~               |    ~     ~    |    1|  870.095   pc  | -11.2046    +11.2046    |paral   |2020yCat.1350....0G
223 |HD 18894                                                                                                 |Spectroscopic Binary                  |03 02 09.2735455608 -06 29 40.318970388|185.3136973252463 -52.7382336461616|81.664 -141.425   |6.194    |G0V             |    ~     ~    |    1|   32.829   pc  |  -0.4281     +0.4281    |paral   |2020yCat.1350....0G
224 |BD-07 538                                                                                                |Star                                  |03 02 17.7611611200 -07 11 34.885022604|186.2732808944487 -53.1314658925688|-10.067 -11.469   |10.09    |~               |    ~     ~    |    1|  187.382   pc  |  -0.5477     +0.5477    |paral   |2020yCat.1350....0G
225 |BD-08 560                                                                                                |Star                                  |03 00 34.1333264616 -07 42 03.612625272|186.5298882568079 -53.7779957250173|  5.905 -14.116   |10.20    |~               |    ~     ~    |    1|  201.252   pc  |  -0.7209     +0.7209    |paral   |2020yCat.1350....0G
226 |* rho01 Eri                                                                                              |High Proper Motion Star               |03 01 10.0261089984 -07 39 46.832800572|186.6268828757233 -53.6361721924040|100.864 -71.182   |5.750    |G9.5III:        |    ~     ~    |    1|   95.955   pc  |  -0.3821     +0.3821    |paral   |2020yCat.1350....0G
227 |BD-08 563                                                                                                |Star                                  |03 01 14.6986119576 -07 30 44.217430200|186.4420094821913 -53.5310727680686|-21.418 -44.387   |9.76     |F8              |    ~     ~    |    1|  154.796   pc  |  -0.4026     +0.4026    |paral   |2020yCat.1350....0G
228 |BD-08 565                                                                                                |High Proper Motion Star               |03 01 35.3896159272 -07 44 48.011314020|186.8450868783477 -53.6013144225330|138.690 -20.047   |9.92     |~               |    ~     ~    |    1|  162.723   pc  |  -0.5772     +0.5772    |paral   |2020yCat.1350....0G
229 |BD-08 566                                                                                                |Star                                  |03 01 56.9582326800 -07 32 29.644836036|186.6558715758725 -53.4080896821058| -0.866 -13.769   |10.53    |~               |    ~     ~    |    1|  219.814   pc  |  -1.0437     +1.0437    |paral   |2020yCat.1350....0G
230 |2MASS J03003890-0715292                                                                                  |Star                                  |03 00 38.8913467104 -07 15 29.096858016|185.9505702648519 -53.4976464353681|    5.021 3.054   |9.5      |~               |    ~     ~    |    1| 1354.646   pc  | -31.1961    +31.1961    |paral   |2020yCat.1350....0G
231 |BD-06 586                                                                                                |Star                                  |03 01 51.9569564352 -06 18 10.413960984|184.9908749395015 -52.6781339792593|-19.929 -23.944   |10.63    |~               |    ~     ~    |    1| 1066.098   pc  | -19.4353    +19.4353    |paral   |2020yCat.1350....0G
232 |2MASS J03021312-0724247                                                                                  |Star                                  |03 02 13.1341995048 -07 24 24.735195900|186.5408655785456 -53.2743195924787|  -0.842 -6.315   |9.5      |~               |    ~     ~    |    1|  982.415   pc  | -13.3189    +13.3189    |paral   |2020yCat.1350....0G
233 |HD 19035                                                                                                 |Star                                  |03 03 22.0758139608 -10 05 12.870886992|190.5502494773670 -54.5752272640745|   6.117 -8.490   |10.46    |A1IV            |    ~     ~    |    1| 1088.850   pc  | -33.5523    +33.5523    |paral   |2020yCat.1350....0G
234 |HD 19177                                                                                                 |Star                                  |03 04 46.7756553384 -10 10 44.915795544|191.0097882987158 -54.3347404490539|-27.486 -36.963   |8.76     |K0/1III         |    ~     ~    |    1|  339.374   pc  |  -2.4647     +2.4647    |paral   |2020yCat.1350....0G
235 |HD 19366                                                                                                 |Star                                  |03 06 33.3726263880 -10 15 07.102108116|191.5190266361804 -54.0068467205866| 21.442 -11.727   |6.69     |K0III           |    ~     ~    |    1|  180.470   pc  |  -0.7621     +0.7621    |paral   |2020yCat.1350....0G
236 |HD 19543                                                                                                 |Star                                  |03 08 16.0645162584 -10 12 35.921410020|191.8428916554788 -53.6293322346003|  -0.933 31.118   |9.75     |G1V             |    ~     ~    |    1|  154.057   pc  |  -3.6289     +3.6289    |paral   |2020yCat.1350....0G
237 |HD 19657                                                                                                 |Star                                  |03 09 32.7582336000 -10 12 57.221000352|192.1343785784765 -53.3668870673496| 12.548 -17.390   |9.85     |G2/3(V)         |    ~     ~    |    1|  251.604   pc  |  -1.0762     +1.0762    |paral   |2020yCat.1350....0G
238 |BD-10 621                                                                                                |Red Giant Branch star Candidate       |03 08 28.6709057688 -10 20 34.611759204|192.0790147636167 -53.6568753705591|-10.774 -22.045   |9.83     |~               |    ~     ~    |    1|  515.570   pc  |  -4.2530     +4.2530    |paral   |2020yCat.1350....0G
239 |BD-10 609                                                                                                |Star                                  |03 06 17.8914834384 -10 17 10.694776632|191.5099457712467 -54.0788108397299|   7.919 -5.990   |10.40    |~               |    ~     ~    |    1|  833.264   pc  | -14.0254    +14.0254    |paral   |2020yCat.1350....0G
240 |BD-10 616                                                                                                |Star                                  |03 07 39.8124132864 -10 07 22.007661384|191.5837985666671 -53.7077309966502|  -1.998 10.399   |10.61    |~               |    ~     ~    |    1|  706.464   pc  |  -9.7822     +9.7822    |paral   |2020yCat.1350....0G
241 |BD-10 617                                                                                                |Star                                  |03 08 02.8122374904 -10 19 04.677993804|191.9476314397745 -53.7330880225976|  -12.129 1.897   |10.67    |~               |    ~     ~    |    1|  353.532   pc  | -19.5976    +19.5976    |paral   |2020yCat.1350....0G
242 |BD-08 569                                                                                                |Star                                  |03 02 59.7646985088 -08 22 52.049397576|188.0567751570398 -53.6896655917081|  15.376 -2.802   |9.97     |~               |    ~     ~    |    1|  257.679   pc  |  -3.3531     +3.3531    |paral   |2020yCat.1350....0G
243 |HD 19210                                                                                                 |High Proper Motion Star               |03 05 11.2982966136 -08 16 27.285000564|188.4347242878874 -53.1848882387576|  62.199 23.784   |6.31     |K0III           |    ~     ~    |    1|  132.859   pc  |  -1.0714     +1.0714    |paral   |2020yCat.1350....0G
244 |BD-08 595                                                                                                |Star                                  |03 10 17.9883232512 -08 24 54.324811836|189.8115211379150 -52.2243774577015|  12.840 -9.601   |9.64     |~               |    ~     ~    |    1|  817.595   pc  | -11.5644    +11.5644    |paral   |2020yCat.1350....0G
245 |BD-09 579                                                                                                |Star                                  |03 02 58.6705862904 -08 40 22.800992448|188.4562841474692 -53.8613440579505| -8.905 -19.574   |10.651   |~               |    ~     ~    |    1|  221.752   pc  |  -2.7150     +2.7150    |ST-L    |2020AJ....160...83S
246 |BD-09 580                                                                                                |Star                                  |03 03 11.2690146984 -08 31 34.337968464|188.3032580405890 -53.7345614305585|   9.833 -3.937   |10.58    |~               |    ~     ~    |    1|  564.972   pc  |  -4.8837     +4.8837    |paral   |2020yCat.1350....0G
247 |BD-09 582                                                                                                |High Proper Motion Star               |03 04 05.3633598504 -08 48 56.295693324|188.9199359087807 -53.7172673686586| 16.367 -68.731   |9.43     |G0              |    ~     ~    |    1|  317.642   pc  | -13.9035    +13.9035    |paral   |2020yCat.1350....0G
248 |HD 19108                                                                                                 |delta Sct Variable                    |03 04 13.4752451664 -08 27 52.411342392|188.4664317613143 -53.4893183019629|  48.874 15.860   |8.23     |kA8hA9mA9(III)  |    ~     ~    |    1|  169.099   pc  |  -0.7463     +0.7463    |paral   |2020yCat.1350....0G
249 |BD-09 584                                                                                                |High Proper Motion Star               |03 04 58.7905725288 -08 28 07.167803196|188.6515873402045 -53.3386007199547| 58.457 -39.819   |9.32     |G0              |    ~     ~    |    1|  107.694   pc  |  -0.1960     +0.1960    |paral   |2020yCat.1350....0G
250 |HD 19220                                                                                                 |Double or Multiple Star               |03 05 15.652 -08 56 39.29              |189.375029 -53.551571              |       43.0 7.0   |8.7      |G0V             |    ~     ~    |    0|                |                         |        |                   
251 |BD-09 586                                                                                                |Star                                  |03 05 23.7341789520 -08 29 02.999397624|188.7711860971925 -53.2631081618006|  5.783 -21.251   |10.71    |~               |    ~     ~    |    1|  521.703   pc  |  -4.9263     +4.9263    |paral   |2020yCat.1350....0G
252 |BD-09 587                                                                                                |High Proper Motion Star               |03 05 25.5603563472 -08 50 55.520453472|189.2812009276737 -53.4640002687730|-14.540 -52.759   |10.28    |~               |    ~     ~    |    1|  140.148   pc  |  -0.3673     +0.3673    |paral   |2020yCat.1350....0G
253 |BD-09 590                                                                                                |High Proper Motion Star               |03 06 22.3703540424 -09 05 47.189526756|189.8456997820064 -53.4098240795519| 72.443 -26.280   |10.03    |~               |    ~     ~    |    1|  145.277   pc  |  -0.4242     +0.4242    |paral   |2020yCat.1350....0G
254 |BD-09 591                                                                                                |Star                                  |03 06 24.9032530800 -08 27 33.863474880|188.9768735341828 -53.0418665656015| 35.726 -18.701   |8.34     |K8              |    ~     ~    |    1|  461.808   pc  |  -5.4383     +5.4383    |paral   |2020yCat.1350....0G
255 |HD 19350                                                                                                 |High Proper Motion Star               |03 06 28.2345119088 -08 35 22.699477464|189.1682554906772 -53.1045419888642|-10.863 -70.985   |8.22     |F7V             |    ~     ~    |    1|  122.069   pc  |  -0.3561     +0.3561    |paral   |2020yCat.1350....0G
256 |BD-09 595                                                                                                |Star                                  |03 06 51.6314553432 -09 13 00.208791372|190.1256905283236 -53.3769657672027|   -0.760 4.766   |10.19    |~               |    ~     ~    |    1|  259.882   pc  |  -1.4723     +1.4723    |paral   |2020yCat.1350....0G
257 |BD-09 596                                                                                                |Star                                  |03 07 47.6093701008 -08 56 45.804312924|189.9647452338420 -53.0348910803109|  -5.720 10.055   |9.33     |G0              |    ~     ~    |    1|  343.796   pc  | -15.7200    +15.7200    |paral   |2020yCat.1350....0G
258 |BD-09 597                                                                                                |Star                                  |03 07 52.8313094832 -09 03 14.709927312|190.1338936163103 -53.0772780420932| -3.637 -31.039   |9.0      |~               |    ~     ~    |    1|  212.567   pc  |  -0.8766     +0.8766    |paral   |2020yCat.1350....0G
259 |BD-09 599                                                                                                |Star                                  |03 08 52.7593749792 -08 27 00.428662332|189.5350839689902 -52.5344598172588|  1.363 -12.420   |9.22     |K0              |    ~     ~    |    1|  439.522   pc  |  -3.1295     +3.1295    |paral   |2020yCat.1350....0G
260 |HD 19740                                                                                                 |Star                                  |03 10 19.7708131392 -09 07 31.344053952|190.7862197863065 -52.6132137362389|  16.396 15.268   |9.33     |G0/1V           |    ~     ~    |    1|  118.268   pc  |  -0.2769     +0.2769    |paral   |2020yCat.1350....0G
261 |BD-09 606                                                                                                |Star                                  |03 11 14.6185434816 -08 52 18.509073600|190.6434100353822 -52.2850839972469|   -7.658 7.550   |9.26     |G5              |    ~     ~    |    1|  404.711   pc  |  -3.2431     +3.2431    |paral   |2020yCat.1350....0G
262 |HD 19553                                                                                                 |Spectroscopic Binary                  |03 08 27.6924695688 -09 32 38.911012836|190.9472561316960 -53.2282622696646|  38.509 35.778   |8.14     |G8III/IV        |    ~     ~    |    1|  279.228   pc  |  -8.0541     +8.0541    |paral   |2020yCat.1350....0G
263 |V* IS Eri                                                                                                |BY Dra Variable                       |03 09 42.2876014080 -09 34 46.583173740|191.2754735243654 -52.9908206439442|89.915 -112.600   |8.49     |G8/K0V          |    ~     ~    |    1|   38.723   pc  |  -0.0283     +0.0283    |paral   |2020yCat.1350....0G
264 |HD 19139                                                                                                 |Double or Multiple Star               |03 04 24.7763523120 -09 51 10.804915728|190.4576375116084 -54.2316963886375| 30.753 -10.120   |9.56     |F5/6V           |0.0117  0.0    |    1|  238.931   pc  |  -6.4567     +6.4567    |paral   |2020yCat.1350....0G
265 |NGC 1215                           NGC 1215                                                              |Galaxy towards a Group of Galaxies    |03 07 09.4626542856 -09 35 33.695780136|190.7198612877361 -53.5236735314684|            ~ ~   |     ~   |~               |0.810 0.502    |    1|   64.37    Mpc |                         |redshift|2007ApJ...655..790C
266 |NGC 1214                           NGC 1214                                                              |Galaxy towards a Group of Galaxies    |03 06 55.9415492400 -09 32 38.450810976|190.6000531844936 -53.5433027624530|            ~ ~   |     ~   |~               |1.100 0.352    |    1|   49.43    Mpc |                         |        |2016AJ....152...50T
267 |NGC 1208                           NGC 1208                                                              |Galaxy towards a Group of Galaxies    |03 06 11.9046679272 -09 32 29.399744796|190.4283248403885 -53.6928768596055|            ~ ~   |     ~   |~               |1.427 0.742    |    1|   58.31    Mpc |                         |redshift|2007ApJ...655..790C
268 |NGC 1185                           NGC 1185                                                              |Galaxy towards a Group of Galaxies    |03 02 59.4806863920 -09 07 56.157955896|189.1016285905062 -54.1201649885556|            ~ ~   |     ~   |~               |0.940 0.301    |    1|   52.00    Mpc |  -4.45       +4.45      |T-F     |2020ApJ...902..145K
269 |IRAS 03067-1016                                                                                          |Star                                  |03 09 09.8890214400 -10 04 39.803546532|191.8546165670782 -53.3720792821730|   3.852 -3.790   |10.11    |~               |    ~     ~    |    1| 1543.686   pc  | -54.3317    +54.3317    |paral   |2020yCat.1350....0G
270 |StKM 1-338                                                                                               |High Proper Motion Star               |03 03 01.3090183320 -08 43 13.176475140|188.5326351309969 -53.8795461086261| 206.734 22.431   |10.92    |K4              |    ~     ~    |    1|   73.672   pc  |  -0.0863     +0.0863    |paral   |2020yCat.1350....0G
271 |StKM 1-341                                                                                               |High Proper Motion Star               |03 04 26.4614677032 -08 27 43.874504604|188.5147364727239 -53.4441170955959|  116.287 3.200   |10.94    |K4              |    ~     ~    |    1|   75.766   pc  |  -0.4470     +0.4470    |ST-L    |2020AJ....160...83S
272 |BD-09 593                                                                                                |High Proper Motion Star               |03 06 37.1331164736 -08 32 33.616923936|189.1384759156943 -53.0477078648862|41.842 -170.526   |10.93    |~               |    ~     ~    |    1|  103.941   pc  |  -0.1459     +0.1459    |paral   |2020yCat.1350....0G
273 |BD-10 596                                                                                                |Star                                  |03 02 39.2205004584 -09 26 22.166139012|189.4555582920033 -54.3621370191520| -13.003 28.540   |10.42    |~               |    ~     ~    |    1|  175.359   pc  |  -0.4982     +0.4982    |paral   |2020yCat.1350....0G
274 |BD-10 597                                                                                                |Star                                  |03 02 42.3649589472 -09 31 37.300720800|189.5924621668810 -54.4005132902912| -0.932 -21.342   |10.21    |~               |    ~     ~    |    1|  366.730   pc  |  -2.4746     +2.4746    |paral   |2020yCat.1350....0G
275 |BD-08 571                                                                                                |Star                                  |03 03 12.7546712208 -08 15 47.502420228|187.9468063707618 -53.5777557803496|  20.481 11.892   |9.64     |~               |    ~     ~    |    1|  507.692   pc  |  -4.6137     +4.6137    |paral   |2020yCat.1350....0G
276 |BD-10 603                                                                                                |Star                                  |03 05 01.4401604664 -09 26 01.301748900|190.0047933151417 -53.8741589873904| 15.402 -13.085   |10.06    |~               |    ~     ~    |    1|  364.087   pc  |  -3.1549     +3.1549    |paral   |2020yCat.1350....0G
277 |BD-09 588                                                                                                |Star                                  |03 05 48.5209827936 -08 36 36.684329184|189.0415748590965 -53.2509215578978|   6.753 -6.180   |10.26    |~               |    ~     ~    |    1|  388.561   pc  |  -4.8464     +4.8464    |paral   |2020yCat.1350....0G
278 |BD-09 589                                                                                                |Star                                  |03 06 10.4136251976 -08 56 16.266987960|189.5792554268467 -53.3616775440530|-14.813 -40.999   |10.53    |~               |    ~     ~    |    1|  264.103   pc  |  -1.1509     +1.1509    |paral   |2020yCat.1350....0G
279 |BD-10 607                                                                                                |Star                                  |03 06 10.4749405032 -09 26 35.341134036|190.2845280430497 -53.6433879715959|   6.940 -0.633   |10.90    |~               |    ~     ~    |    1|  506.380   pc  |  -4.3848     +4.3848    |paral   |2020yCat.1350....0G
280 |BD-08 582                                                                                                |Star                                  |03 06 37.8871277664 -08 17 43.071095292|188.8036587348342 -52.9043302960766|-14.851 -19.947   |10.23    |~               |    ~     ~    |    1|  614.288   pc  | -25.2825    +25.2825    |paral   |2020yCat.1350....0G
281 |BD-09 594                                                                                                |Star                                  |03 06 50.8171740624 -08 51 19.339825140|189.6214636307232 -53.1777510046728|  36.697 -6.131   |10.98    |~               |    ~     ~    |    1|  144.315   pc  |  -0.3499     +0.3499    |paral   |2020yCat.1350....0G
282 |BD-10 613                                                                                                |Star                                  |03 07 10.3584155880 -09 50 57.635772648|191.0851980868745 -53.6610223874242|    9.171 5.423   |10.24    |~               |    ~     ~    |    1|  218.861   pc  |  -0.8909     +0.8909    |paral   |2020yCat.1350....0G
283 |BD-10 615                                                                                                |Star                                  |03 07 39.1360397160 -09 44 12.555144924|191.0349046971567 -53.5006121968756|   28.397 4.866   |10.74    |~               |    ~     ~    |    1|  209.670   pc  |  -0.9803     +0.9803    |paral   |2020yCat.1350....0G
284 |BD-10 622                                                                                                |High Proper Motion Star               |03 08 51.5912965776 -09 32 29.686662492|191.0333270201188 -53.1446563952211| 62.893 -19.111   |10.56    |~               |    ~     ~    |    1|  210.690   pc  |  -0.7324     +0.7324    |paral   |2020yCat.1350....0G
285 |BD-09 600                                                                                                |High Proper Motion Star               |03 09 25.3464503784 -09 21 10.494020124|190.8971550563671 -52.9252529455046|  117.094 3.845   |10.711   |~               |    ~     ~    |    1|  164.223   pc  |  -1.8240     +1.8240    |ST-L    |2020AJ....160...83S
286 |BD-10 627                                                                                                |Star                                  |03 09 48.6693451272 -09 47 27.033071424|191.5942328507149 -53.0833989774001| -17.726 23.757   |10.38    |~               |    ~     ~    |    1|  178.132   pc  |  -0.7362     +0.7362    |paral   |2020yCat.1350....0G
287 |BD-10 630                                                                                                |Star                                  |03 10 07.4973071256 -09 42 48.754455048|191.5556838799449 -52.9765553343826|   1.940 -8.659   |10.693   |~               |    ~     ~    |    1|  536.616   pc  | -16.8700    +16.8700    |ST-L    |2020AJ....160...83S
288 |BD-10 631                                                                                                |Star                                  |03 10 17.4460173552 -10 05 18.446035416|192.1180841755407 -53.1438663915176|  36.850 -7.996   |10.40    |~               |    ~     ~    |    1|  419.340   pc  |  -3.0246     +3.0246    |paral   |2020yCat.1350....0G
289 |BD-10 611                                                                                                |Star                                  |03 06 36.0996719040 -09 43 51.573004788|190.7880064229512 -53.7141282094773|   5.386 -4.713   |10.37    |~               |    ~     ~    |    1|  557.383   pc  | -12.4891    +12.4891    |paral   |2020yCat.1350....0G
290 |NGC 1206                           NGC 1206                                                              |Galaxy towards a Group of Galaxies    |03 06 09.7504740096 -08 49 59.350536804|189.4317647664730 -53.3050022902285|            ~ ~   |     ~   |~               |0.437 0.428    |    1|  137.96    Mpc |                         |redshift|2007ApJ...655..790C
291 |NGC 1182                           NGC 1182                                                              |Galaxy                                |03 03 28.878 -09 40 16.61              |189.980876 -54.322377              |            ~ ~   |     ~   |~               |0.723 0.217    |    0|                |                         |        |                   
292 |BD-09 581                                                                                                |High Proper Motion Star               |03 03 34.2053400048 -08 54 16.191441720|188.9202871297810 -53.8733146590958| 46.520 -52.081   |10.875   |~               |    ~     ~    |    1|  190.354   pc  |  -2.9470     +2.9470    |ST-L    |2020AJ....160...83S
293 |2MASS J03033921-0930313                                                                                  |Star                                  |03 03 39.2052880536 -09 30 31.188767832|189.7901016792724 -54.1965715019414|    2.941 0.541   |9.6      |~               |    ~     ~    |    1| 2130.379   pc  | -71.7085    +71.7085    |paral   |2020yCat.1350....0G
294 |BD-10 608                                                                                                |Star                                  |03 06 14.0885 -09 48 36.243            |190.8161500 -53.8330622            |   17.130 3.746   |10.93    |~               |    ~     ~    |    0|                |                         |        |                   
295 |BD-08 583                                                                                                |Star                                  |03 06 45.7068639120 -08 17 36.310407576|188.8316200846367 -52.8767906316910|  5.222 -13.447   |10.73    |~               |    ~     ~    |    1|  628.694   pc  |  -6.6403     +6.6403    |paral   |2020yCat.1350....0G
