C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:35:13

dec< 0&rah >=3.0&rah< 3.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2700

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
22  |BD-01 438                                                                                                |Star                                  |03 04 22.4583381840 -01 16 58.588295124|179.5252906661569 -48.9767083747684|-12.042 -16.688   |9.78     |~               |    ~     ~    |    1|  737.626   pc  |  -8.1070     +8.1070    |paral   |2020yCat.1350....0G
23  |TYC 4707-686-1                                                                                           |Star                                  |03 06 59.8070237688 -01 21 04.044040524|180.2642268631129 -48.5329360085039|-16.023 -38.363   |10.561   |~               |    ~     ~    |    1|  264.309   pc  |  -4.0070     +4.0070    |ST-L    |2020AJ....160...83S
24  |BD-02 558                                                                                                |Star                                  |03 08 31.8358898664 -01 33 11.944287936|180.8744934360195 -48.3779536348173|  3.106 -13.476   |10.49    |~               |    ~     ~    |    1|  189.876   pc  |  -0.7896     +0.7896    |paral   |2020yCat.1350....0G
25  |TYC 4708-57-1                                                                                            |Star                                  |03 10 34.9340600544 -01 13 12.646653816|181.0012415581616 -47.7723710199314| -3.347 -13.466   |10.31    |~               |    ~     ~    |    1| 1504.891   pc  | -43.9351    +43.9351    |paral   |2020yCat.1350....0G
26  |HD 18688                                                                                                 |High Proper Motion Star               |03 00 20.5660884792 -00 18 39.428562960|177.3937759777817 -49.0558171408907|138.308 -38.512   |8.26     |G3V             |    ~     ~    |    1|   83.321   pc  |  -0.1333     +0.1333    |paral   |2020yCat.1350....0G
27  |HD 18739                                                                                                 |Star                                  |03 00 42.2629316112 -00 07 03.685673640|177.2757953729390 -48.8570175471864|  40.846 11.220   |8.09     |K0III           |    ~     ~    |    1|  311.013   pc  |  -7.9995     +7.9995    |paral   |2020yCat.1350....0G
28  |HD 18668                                                                                                 |Star                                  |03 00 06.1104861336 -00 40 56.788146048|177.7430526158150 -49.3550782213470| -4.079 -21.615   |7.79     |K3III           |    ~     ~    |    1|  422.030   pc  |  -5.1474     +5.1474    |paral   |2020yCat.1350....0G
29  |BD-01 431                                                                                                |Star                                  |03 01 14.0676669408 -00 50 36.503620656|178.2202293246789 -49.2586582612859|   6.784 -0.308   |10.1     |K2              |    ~     ~    |    1|  630.875   pc  | -10.0297    +10.0297    |paral   |2020yCat.1350....0G
30  |BD-01 432                                                                                                |Star                                  |03 01 31.9332729072 -00 35 24.609835752|178.0149426698905 -49.0313473914271|  5.922 -33.308   |9.90     |K0              |    ~     ~    |    1|  430.997   pc  |  -3.6966     +3.6966    |paral   |2020yCat.1350....0G
31  |HD 18834                                                                                                 |Star                                  |03 01 50.1295683360 -01 09 45.111815352|178.7359474652592 -49.3650840705415|    0.416 8.233   |8.47     |G8/K0III/IV     |    ~     ~    |    1|  340.009   pc  |  -2.6474     +2.6474    |paral   |2020yCat.1350....0G
32  |TYC 4707-1092-1                                                                                          |Star                                  |03 01 55.4094689592 -00 55 44.663949804|178.4957109133993 -49.1906629551288|   4.414 -0.690   |10.4     |K               |    ~     ~    |    1|  662.647   pc  |  -8.6064     +8.6064    |paral   |2020yCat.1350....0G
33  |HD 18833                                                                                                 |Star                                  |03 01 52.6927024656 -00 55 06.605727168|178.4720756581013 -49.1917912054483|  19.951 -7.682   |8.14     |G8V             |    ~     ~    |    1|  184.264   pc  |  -0.9507     +0.9507    |paral   |2020yCat.1350....0G
34  |HD 18669                                                                                                 |Star                                  |03 00 03.1285741056 -01 48 16.379487612|179.0029724237388 -50.1273533919483| -41.448 -0.247   |7.03     |F0V             |    ~     ~    |    1|   75.291   pc  |  -0.1559     +0.1559    |paral   |2020yCat.1350....0G
35  |TYC 4707-90-1                                                                                            |High Proper Motion Star               |03 03 04.7201901792 -00 49 22.577110032|178.6754934030267 -48.9064744689522|  82.293 26.895   |10.2     |~               |    ~     ~    |    1|  179.633   pc  |  -1.8393     +1.8393    |paral   |2020yCat.1350....0G
36  |TYC 4707-144-1                                                                                           |Star                                  |03 04 10.1259685752 -00 47 01.293447552|178.9113158392922 -48.6791868111534| 21.141 -28.255   |10.8     |~               |    ~     ~    |    1| 1673.360   pc  | -41.1620    +41.1620    |paral   |2020yCat.1350....0G
37  |TYC 4707-151-1                                                                                           |Star                                  |03 09 04.7967481944 -01 28 50.501926020|180.9274822530745 -48.2266927413223| -0.454 -10.056   |10.41    |~               |    ~     ~    |    1|  846.668   pc  | -14.1936    +14.1936    |paral   |2020yCat.1350....0G
38  |TYC 4707-317-1                                                                                           |Star                                  |03 02 23.4294513072 -00 56 01.342764492|178.6219914538801 -49.1080442017369|    3.426 8.790   |10.7     |~               |    ~     ~    |    1|  231.594   pc  |  -2.2366     +2.2366    |paral   |2020yCat.1350....0G
39  |TYC 4707-404-1                                                                                           |Star                                  |03 02 04.6399284600 -00 13 55.875278748|177.7603240756289 -48.6868765830919|-20.242 -29.942   |10.3     |~               |    ~     ~    |    1|  265.576   pc  | -15.9822    +15.9822    |paral   |2020yCat.1350....0G
40  |TYC 4707-497-1                                                                                           |Star                                  |03 04 48.7332417312 -01 23 36.459310092|179.7619644133327 -48.9690879333998| 27.131 -12.827   |9.92     |~               |    ~     ~    |    1|  271.282   pc  |  -1.0966     +1.0966    |paral   |2020yCat.1350....0G
