C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:51:47

Vmag< 11&dec< 0&rah >=7.0&rah< 7.25
-----------------------------------

Number of objects : 10182

  #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
-----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
867  |HD 53754                                                                                                                                                                       |Variable Star                         |07 05 50.5478757984 -08 48 25.478971668|222.4050235316329 -00.8350217978430|   -0.670 1.038   |8.21     |B0/1Ib           |    ~     ~    
868  |HD 53802                                                                                                                                                                       |Star                                  |07 06 02.3493600960 -08 33 33.320987172|222.2071960239973 -00.6780200289652|  -1.172 -5.180   |8.47     |K4III            |    ~     ~    
869  |HD 53855                                                                                                                                                                       |Star                                  |07 06 14.7639886632 -08 26 44.358128124|222.1297943127346 -00.5803875913474|  -2.708 -4.007   |9.81     |A2III            |    ~     ~    
870  |BD-08 1743                                                                                                                                                                     |Emission-line Star                    |07 06 21.6374580912 -09 10 07.852672956|222.7851858327090 -00.8875397675379|   -0.998 0.474   |9.88     |B1e              |    ~     ~    
871  |HD 53906                                                                                                                                                                       |Star                                  |07 06 28.0932616776 -09 03 59.404393296|222.7064776318929 -00.8169235993257|   -7.202 3.158   |8.98     |A5IV             |    ~     ~    
872  |HD 53905                                                                                                                                                                       |Star                                  |07 06 31.0800114168 -08 19 44.335509852|222.0570800394111 -00.4670338701539|  -4.793 -3.616   |9.94     |B9IV/V           |    ~     ~    
873  |HD 54083                                                                                                                                                                       |Star                                  |07 07 11.4638980008 -09 06 39.890118852|222.8281127521891 -00.6789513928430|   -4.012 1.255   |9.28     |B9II/III         |    ~     ~    
874  |HD 54103                                                                                                                                                                       |Star                                  |07 07 16.4436942240 -08 40 13.163583576|222.4461664768556 -00.4580014307601|  -2.393 -7.071   |8.80     |K0III            |    ~     ~    
875  |HD 52270                                                                                                                                                                       |Star                                  |07 00 10.3 -09 17 13                   |222.1910 -02.2995                  |            ~ ~   |8.98     |B9V(n)           |    ~     ~    
876  |ADS 5677 B                                                                                                                                                                     |Star                                  |07 00 10.2 -09 17 19                   |222.1923 -02.3006                  |            ~ ~   |9.3      |~                |    ~     ~    
877  |BD-09 1782                                                                                                                                                                     |Star                                  |07 00 28.2665343744 -09 11 46.356987660|222.1439476856289 -02.1923639709907|   -5.238 7.249   |9.33     |~                |    ~     ~    
878  |HD 52383                                                                                                                                                                       |Star                                  |07 00 43.0161729912 -09 30 07.102489140|222.4439459039462 -02.2778392627800|   0.860 -6.655   |8.35     |K1/3(III)        |    ~     ~    
879  |HD 52384                                                                                                                                                                       |Star                                  |07 00 44.1348868632 -09 38 11.874916104|222.5659843694050 -02.3351534158177|   -2.605 0.062   |8.93     |B6V              |    ~     ~    
880  |BD-09 1789                                                                                                                                                                     |Emission-line Star                    |07 01 12.7195701264 -09 55 59.652486012|222.8837439362251 -02.3659575151517|   -1.205 0.789   |9.51     |~                |    ~     ~    
881  |HD 52537                                                                                                                                                                       |Star                                  |07 01 18.6246945384 -09 27 50.390450388|222.4769400939332 -02.1302895511387|  -1.284 -4.448   |8.80     |F3/5II/III       |    ~     ~    
882  |BD-09 1792                                                                                                                                                                     |Star                                  |07 01 26.0263751296 -09 41 06.972481995|222.6878556074584 -02.2042133482603|   7.221 -6.488   |10.31    |~                |    ~     ~    
883  |BD-09 1794                                                                                                                                                                     |Star                                  |07 01 26.1186377928 -09 33 17.810967312|222.5719863886194 -02.1443987557952|  -8.784 -3.263   |9.57     |F5               |    ~     ~    
884  |HD 52590                                                                                                                                                                       |Double or Multiple Star               |07 01 30.4749 -09 42 04.365            |222.7103958 -02.1952317            |     -39.6 17.2   |7.94     |F3/5V            |    ~     ~    
885  |BD-09 1798                                                                                                                                                                     |Star                                  |07 01 34.8 -09 49 21                   |222.8265 -02.2348                  |            ~ ~   |9.0      |~                |    ~     ~    
886  |BD-09 1800                                                                                                                                                                     |Star                                  |07 01 36.3720284160 -09 55 16.666604940|222.9174325751706 -02.2741243748859|  -1.158 -3.428   |9.49     |~                |    ~     ~    
887  |HD 52640                                                                                                                                                                       |Star                                  |07 01 40.6203414456 -10 00 57.985650036|223.0098259127403 -02.3018754060156| -19.476 13.653   |9.06     |G2/3V            |    ~     ~    
888  |HD 52693                                                                                                                                                                       |alpha2 CVn Variable                   |07 01 54.0057743880 -09 26 06.605049120|222.5177123274083 -01.9877480264209|  -3.434 -0.959   |8.61     |ApSi             |    ~     ~    
889  |HD 52745                                                                                                                                                                       |Star                                  |07 02 04.8939104640 -09 53 12.851952684|222.9402888379210 -02.1542634066674|   1.203 -0.489   |7.79     |A5IV             |    ~     ~    
890  |HD 52772                                                                                                                                                                       |Star                                  |07 02 12.5340442440 -09 12 37.397819700|222.3524805707295 -01.8172835770273|  -0.882 -0.796   |8.23     |B8II             |    ~     ~    
891  |HD 52870                                                                                                                                                                       |Star                                  |07 02 33.0091634640 -09 19 18.592172292|222.4901556059028 -01.7933355499309|    0.339 5.361   |9.31     |B9II/III         |    ~     ~    
892  |BD-09 1809                                                                                                                                                                     |Red Supergiant Candidate              |07 02 33.6441366216 -09 37 41.439022428|222.7639609875069 -01.9310479647153|   -0.786 1.825   |9.774    |M2/3I?           |    ~     ~    
893  |HD 52940                                                                                                                                                                       |Star                                  |07 02 48.6253524696 -09 24 54.100124964|222.6024484051436 -01.7788518016079|   -2.757 7.767   |9.04     |A0/1V            |    ~     ~    
894  |HD 53034                                                                                                                                                                       |Star                                  |07 03 12.9929325816 -09 35 14.839593216|222.8016801022952 -01.7686628687859|   -4.575 2.493   |9.37     |B8/9III          |    ~     ~    
895  |HD 53059                                                                                                                                                                       |Star                                  |07 03 18.4839235872 -09 33 35.732255256|222.7875144036980 -01.7360072924038|   -7.215 5.521   |8.51     |K0IV             |    ~     ~    
896  |LS 136                                                                                                                                                                         |Star                                  |07 03 37.0309905144 -09 29 09.644822556|222.7566585603096 -01.6344172093594|   -1.518 1.065   |10.61    |OB-              |    ~     ~    
897  |HD 53209                                                                                                                                                                       |Star                                  |07 03 55.4805248208 -09 20 44.262727224|222.6665404330558 -01.5027215134651|   0.989 -3.898   |9.42     |A7III            |    ~     ~    
898  |BD-09 1819                                                                                                                                                                     |Star                                  |07 04 05.0 -09 14 17                   |222.5888 -01.4187                  |            ~ ~   |9.8      |~                |    ~     ~    
899  |BD-09 1821                                                                                                                                                                     |Star                                  |07 04 05.7486834264 -09 50 40.431732756|223.1295898241144 -01.6936896159114|   -1.571 0.656   |9.87     |~                |    ~     ~    
900  |HD 53266                                                                                                                                                                       |Star                                  |07 04 09.2805944568 -09 16 12.019507392|222.6252938984488 -01.4176422746480|  -0.494 -1.292   |9.80     |A1IV             |    ~     ~    
901  |BD-09 1823                                                                                                                                                                     |Star                                  |07 04 09.3613200192 -09 38 40.332010848|222.9584906737418 -01.5889027977266|  6.061 -39.442   |9.34     |F0               |    ~     ~    
902  |BD-09 1825                                                                                                                                                                     |Star                                  |07 04 25.1252558112 -09 32 12.121563048|222.8922781326040 -01.4819345293753|  -30.879 5.285   |9.82     |~                |    ~     ~    
903  |BD-09 1828                                                                                                                                                                     |Star                                  |07 04 51.6 -09 46 42                   |223.1570 -01.4960                  |            ~ ~   |9.4      |~                |    ~     ~    
904  |BD-09 1829                                                                                                                                                                     |Star                                  |07 05 03.2252729568 -09 23 30.229274400|222.8351996296863 -01.2763124587281| -13.537 -3.983   |9.98     |~                |    ~     ~    
905  |BD-09 1830                                                                                                                                                                     |Emission-line Star                    |07 05 03.1222895664 -09 35 38.010159708|223.0147051178423 -01.3693949685683|   -1.157 0.964   |10.39    |OB               |    ~     ~    
906  |BD-09 1831                                                                                                                                                                     |Star                                  |07 05 07.6912725072 -09 32 32.156653632|222.9774256922878 -01.3290382282740|   -7.243 2.692   |9.66     |~                |    ~     ~    
907  |BD-09 1834                                                                                                                                                                     |Star                                  |07 05 38.0462975976 -09 45 05.781804948|223.2207044200137 -01.3142707521375|  -0.386 -2.105   |10.38    |~                |    ~     ~    
908  |HD 53689                                                                                                                                                                       |Star                                  |07 05 42.7048909512 -09 37 48.182420784|223.1214589575874 -01.2414898979349|   0.053 -1.864   |8.70     |G8IV             |    ~     ~    
909  |BD-09 1836                                                                                                                                                                     |Star                                  |07 05 50.4699022752 -09 21 05.123804796|222.8885175405722 -01.0852456833076| -23.931 14.799   |9.48     |~                |    ~     ~    
910  |HD 53803                                                                                                                                                                       |Star                                  |07 06 03.7852416528 -09 33 37.730649816|223.0994040161876 -01.1326121802213|  -2.096 -0.485   |9.53     |A0(III)          |    ~     ~    
911  |NGC 2335 13                        NGC 2335 13                                                                                                                                 |Star                                  |07 06 05.0484186576 -10 03 46.578625596|223.5482670604036 -01.3586833044035|   -4.554 1.516   |10.8     |~                |    ~     ~    
912  |BD-09 1840                                                                                                                                                                     |Eclipsing Binary                      |07 06 07.1171595144 -09 27 57.279732516|223.0216673474356 -01.0770229897861|   -1.188 0.905   |9.98     |OB-              |    ~     ~    
913  |BD-09 1841                                                                                                                                                                     |Star                                  |07 06 08.3080219800 -09 26 53.618709768|223.0082040811531 -01.0645542242408|   -1.154 0.961   |10.43    |OB-              |    ~     ~    
914  |HD 53823                                                                                                                                                                       |Double or Multiple Star               |07 06 10.34576 -09 16 53.8085          |222.86402627 -00.98059130          |     -6.24 0.71   |8.67     |B9V              |    ~     ~    
915  |NGC 2335 11                        NGC 2335 11                                                                                                                                 |Star                                  |07 06 11.4167055288 -09 56 22.756606044|223.4507130272797 -01.2788709211267|   7.787 -8.743   |10.89    |~                |    ~     ~    
916  |NGC 2335 10                        BD-09 1843                                                                                                                                  |Star                                  |07 06 13.4471102424 -09 54 13.297509576|223.4225863768616 -01.2549563052052|    0.318 0.352   |10.7     |~                |    ~     ~    
917  |NGC 2335 7                         BD-09 1847                                                                                                                                  |Star                                  |07 06 34.8788111928 -09 54 03.870900468|223.4606711285828 -01.1756121206302|  7.027 -13.660   |10.09    |~                |    ~     ~    
918  |NGC 2335 8                         BD-09 1849                                                                                                                                  |Star                                  |07 06 49.3860873456 -10 01 42.339569808|223.6011691016691 -01.1812452046725|  -0.741 -0.474   |10.32    |~                |    ~     ~    
919  |LS VI -09 5                                                                                                                                                                    |Star                                  |07 06 52.0229698488 -09 10 23.489662656|222.8464931489677 -00.7785303717725|   -1.175 0.890   |10.7     |B                |    ~     ~    
920  |NGC 2335 4                         BD-09 1851                                                                                                                                  |Spectroscopic Binary                  |07 06 52.0014982704 -10 02 54.337875072|223.6238678336066 -01.1809047636745|  -0.884 -0.571   |9.49     |K0               |    ~     ~    
921  |HD 54004                                                                                                                                                                       |Star                                  |07 06 53.7193465752 -09 47 53.486156184|223.4048215278973 -01.0596400281109| -39.358 -9.103   |8.89     |G8IV             |    ~     ~    
922  |V* V930 Mon                                                                                                                                                                    |Eclipsing Binary                      |07 07 20.6871786744 -09 34 59.585233692|223.2648265179634 -00.8624385248773|   -1.393 0.166   |8.32     |B3III            |    ~     ~    
923  |NGC 2335 1                         HD 54141                                                                                                                                    |Star                                  |07 07 21.6859371384 -09 59 06.497988612|223.6236539422635 -01.0436436051448|   -2.436 0.691   |7.003    |A1/2IV           |    ~     ~    
924  |BD-09 1855                                                                                                                                                                     |Star                                  |07 07 27.7669718784 -09 50 52.164132720|223.5131855887802 -00.9583275820634| 12.585 -12.269   |10.11    |~                |    ~     ~    
925  |V* BB Mon                                                                                                                                                                      |Eclipsing Binary                      |07 01 16.4796702120 -08 41 42.564640380|221.7884802065212 -01.7871106988038|   -3.952 2.446   |10.45    |A0               |    ~     ~    
926  |V* AC Mon                                                                                                                                                                      |Classical Cepheid Variable            |07 00 59.8200543168 -08 42 32.370161148|221.7694443787300 -01.8544721158137|   -2.237 1.964   |10.29    |F5               |    ~     ~    
927  |NGC 2323 142                       BD-08 1691                                                                                                                                  |Emission-line Star                    |07 02 32.3213993856 -08 23 03.452775288|221.6548032936740 -01.3670641940331|  -0.375 -0.425   |10.37    |A0V:             |    ~     ~    
928  |HD 52891                                                                                                                                                                       |Star                                  |07 02 34.3443502776 -10 04 23.869610796|223.1614577404598 -02.1318831398928|    4.640 8.946   |9.05     |F3V              |    ~     ~    
929  |HD 53240                                                                                                                                                                       |Star                                  |07 03 57.4561654488 -10 07 25.552989084|223.3623530565677 -01.8517527587094|   -4.147 0.596   |6.428    |B8III:           |    ~     ~    
930  |HD 53429                                                                                                                                                                       |Star                                  |07 04 42.7973299368 -10 09 52.867479888|223.4839440174096 -01.7051629876760|   0.715 -9.571   |8.95     |F0V              |    ~     ~    
931  |HD 53594                                                                                                                                                                       |Star                                  |07 05 17.2736681856 -10 05 46.908794436|223.4880335624697 -01.5481646834415|   -1.711 0.989   |8.46     |K0III+(G)        |    ~     ~    
932  |BD-09 1833                                                                                                                                                                     |Star                                  |07 05 30.8242265064 -10 07 03.633282624|223.5324786154184 -01.5085427936552| -13.224 -2.891   |9.70     |K5               |    ~     ~    
933  |NGC 2335 3                         HD 53824                                                                                                                                    |Star                                  |07 06 12.3894267648 -10 09 59.131714500|223.6540591117120 -01.3794372167286|   -2.090 2.814   |8.12     |B7III            |    ~     ~    
934  |NGC 2335 6                         BD-09 1845                                                                                                                                  |Double or Multiple Star               |07 06 21.5449310808 -10 10 36.169804740|223.6804457494330 -01.3508038188483|  27.197 -1.598   |10.102   |~                |    ~     ~    
935  |NGC 2335 5                         BD-09 1848                                                                                                                                  |Variable Star                         |07 06 42.9376253616 -10 09 22.662311400|223.7026100352454 -01.2634902861765|   -3.054 2.864   |9.95     |B9V              |    ~     ~    
936  |HD 52507                                                                                                                                                                       |Star                                  |07 01 09.0016221816 -10 26 59.900820108|223.3371291407704 -02.6151131595374|   -4.351 2.325   |9.96     |A3II/III         |    ~     ~    
937  |BD-10 1813                                                                                                                                                                     |Star                                  |07 01 22.0771574112 -10 12 26.861400288|223.1455305712945 -02.4568531152574|-18.344 -10.628   |9.93     |F5               |    ~     ~    
938  |HD 52565                                                                                                                                                                       |Star                                  |07 01 24.8554834632 -10 16 34.876395804|223.2121001594234 -02.4781306188939|  -2.126 -0.052   |9.94     |A1IV             |    ~     ~    
939  |HD 52802                                                                                                                                                                       |Star                                  |07 02 14.8047325752 -10 40 45.877422036|223.6645557248077 -02.4798623871757|  4.727 -13.983   |8.38     |F3IV/V           |    ~     ~    
940  |HD 52941                                                                                                                                                                       |Star                                  |07 02 44.0208849120 -10 49 21.863491788|223.8468388601991 -02.4388642207352|  -6.019 35.850   |9.16     |G1/2V            |    ~     ~    
941  |HD 52967                                                                                                                                                                       |Star                                  |07 02 52.9380754608 -10 45 08.238786804|223.8007840302378 -02.3742251509252|  -5.293 -0.165   |9.95     |B9V              |    ~     ~    
942  |HD 52966                                                                                                                                                                       |Star                                  |07 02 54.6470689824 -10 21 21.626733528|223.4511804152876 -02.1869854639007| -15.326 14.272   |8.86     |F3IV/V           |    ~     ~    
943  |LS 135                                                                                                                                                                         |Star                                  |07 03 06.4452733512 -10 30 28.601653752|223.6085366297995 -02.2134034038328|   -1.324 0.875   |10.72    |OB               |    ~     ~    
944  |BD-10 1839                                                                                                                                                                     |Star                                  |07 03 24.5579992272 -10 42 16.333231176|223.8174571558666 -02.2372611639073|   -2.721 1.575   |9.76     |B2Vn             |    ~     ~    
945  |HD 53159                                                                                                                                                                       |Double or Multiple Star               |07 03 37.3494890586 -10 31 20.339174954|223.6792403723141 -02.1073680885501|   0.067 -6.478   |9.27     |F0V              |    ~     ~    
946  |HD 53302                                                                                                                                                                       |Spectroscopic Binary                  |07 04 09.4395326952 -10 16 57.468463824|223.5261803817739 -01.8807723378358|  0.901 -15.211   |8.18     |A3III            |    ~     ~    
947  |BD-10 1847                                                                                                                                                                     |Star                                  |07 04 15.7680974112 -10 34 31.276413804|223.7984706562129 -01.9916903273324|   -0.937 0.356   |10.47    |B9               |    ~     ~    
948  |HD 53485                                                                                                                                                                       |Star                                  |07 04 52.5921819048 -10 30 57.280101588|223.8146984118936 -01.8303713524377|   4.044 23.670   |9.12     |K0/1(III)        |    ~     ~    
949  |HD 53690                                                                                                                                                                       |Spectroscopic Binary                  |07 05 37.2707897928 -10 25 40.773834948|223.8204648378220 -01.6273751877268|   1.428 -2.720   |8.66     |G6III            |    ~     ~    
950  |TYC 5385-2113-1                                                                                                                                                                |Star                                  |07 05 49.2067545768 -10 39 34.902607680|224.0488824176322 -01.6901901442705|   -3.846 1.788   |10.07    |F5III            |    ~     ~    
951  |TYC 5385-2112-1                                                                                                                                                                |Double or Multiple Star               |07 05 47.3082664220 -10 39 19.954014277|224.0416239818073 -01.6951938540042|  -3.692 -1.872   |9.57     |~                |    ~     ~    
952  |BD-10 1864                                                                                                                                                                     |Star                                  |07 05 51.4321990560 -10 34 26.929858440|223.9770137051409 -01.6428532784811|  -4.266 -0.926   |10.24    |B7-8             |    ~     ~    
953  |TYC 5385-439-1                                                                                                                                                                 |Star                                  |07 06 00.1486627224 -10 12 40.537888308|223.6708559904975 -01.4446150033582|   -3.046 3.817   |10.07    |A7               |    ~     ~    
954  |NGC 2335 9                         NGC 2335 9                                                                                                                                  |Star                                  |07 06 27.5657822928 -10 09 48.886800048|223.6801171183680 -01.3228372623996|   0.169 -5.080   |10.63    |~                |    ~     ~    
955  |NGC 2335 2                         HD 53907                                                                                                                                    |Star                                  |07 06 28.2088991280 -10 13 09.009103512|223.7307231112619 -01.3460229017151| -2.455 -10.787   |7.87     |K0III            |    ~     ~    
956  |NGC 2343 13                        NGC 2343 13                                                                                                                                 |Star                                  |07 07 18.7259099496 -10 37 02.470139184|224.1796289647491 -01.3450887811300|   -0.960 0.408   |10.94    |~                |    ~     ~    
957  |NGC 2335                           NGC 2335                                                                                                                                    |Open Cluster                          |07 06 45.6 -10 01 23                   |223.5892 -01.1925                  |  -0.784 -0.642   |7.2      |~                |13.2  13.2     
958  |BD-08 1692                                                                                                                                                                     |Star                                  |07 02 33.1461048456 -08 14 05.326161072|221.5234088338552 -01.2956461649126|   -1.732 5.541   |9.314    |M1.8II           |    ~     ~    
959  |BD-09 1808                                                                                                                                                                     |Double or Multiple Star               |07 02 30.51 -10 02 37.1                |223.12787 -02.13233                |            ~ ~   |10.14    |A0               |    ~     ~    
960  |V* V569 Mon                                                                                                                                                                    |beta Cep Variable                     |07 05 49.63971 -10 39 36.2907          |224.05003866 -01.68879160          |     -3.50 0.89   |6.49     |B1II/III         |    ~     ~    
961  |HD 53367                                                                                                                                                                       |Herbig Ae/Be Star                     |07 04 25.5189757244 -10 27 15.613478141|223.7091083826364 -01.9007807994867|   7.193 -7.043   |6.96     |B0IV/Ve          |    ~     ~    
962  |BD-08 1677                                                                                                                                                                     |Star                                  |07 01 46.7394819624 -08 52 38.763714072|222.0076533605747 -01.7595406181572|  -6.010 -4.145   |10.25    |~                |    ~     ~    
963  |TYC 5381-1909-1                                                                                                                                                                |Star                                  |07 03 42.9349052616 -08 48 10.259893440|222.1602414530148 -01.3000197151789|  -4.968 -5.087   |10.23    |~                |    ~     ~    
964  |BD-08 1727                                                                                                                                                                     |Star                                  |07 04 38.8619564112 -08 16 50.153672352|221.8016387312892 -00.8558334545633|  -3.038 -7.399   |9.9      |M2/3             |    ~     ~    
965  |TYC 5381-1453-1                                                                                                                                                                |Star                                  |07 06 15.6108072072 -09 05 14.090175348|222.7013062129274 -00.8720724952832|   1.643 -1.715   |10.70    |~                |    ~     ~    
966  |BD-09 1788                                                                                                                                                                     |Star                                  |07 01 01.3678705080 -10 11 32.885864268|223.0934183597242 -02.5256026187350|  -0.446 -4.069   |9.79     |~                |    ~     ~    
967  |BD-10 1815                                                                                                                                                                     |Red Giant Branch star Candidate       |07 01 27.0961676256 -10 43 56.137020384|223.6224762386063 -02.6777969716750|   0.932 -7.027   |9.67     |~                |    ~     ~    
968  |BD-10 1819                                                                                                                                                                     |Star                                  |07 02 06.3356205144 -10 35 26.161217556|223.5696160228925 -02.4702023439894|  1.883 -13.482   |9.91     |~                |    ~     ~    
969  |BD-10 1863                                                                                                                                                                     |High Proper Motion Star               |07 05 50.6693996256 -10 46 21.247703940|224.1519777539974 -01.7366354840444| -70.728 20.275   |9.32     |~                |    ~     ~    
970  |BD-10 1868                                                                                                                                                                     |Star                                  |07 06 19.9803308280 -10 25 50.465815608|223.9031903989382 -01.4731043965377| -1.484 -37.294   |10.22    |~                |    ~     ~    
971  |BD-10 1869                                                                                                                                                                     |Star                                  |07 06 20.7972833856 -10 20 34.305675936|223.8266823189545 -01.4298120239437|   -3.895 0.823   |10.00    |~                |    ~     ~    
972  |Cl* NGC 2323 BSF 22                                                                                                                                                            |Star                                  |07 03 38.8881746544 -08 25 07.550657688|221.8111041663047 -01.1389037474612|   -1.810 0.530   |10.56    |~                |    ~     ~    
973  |Cl* NGC 2323 BSF 21                                                                                                                                                            |Star                                  |07 03 34.0410941736 -08 24 25.473992112|221.7915587996639 -01.1513091470077|   -0.896 0.974   |9.74     |~                |    ~     ~    
974  |BD-08 1713                                                                                                                                                                     |Star                                  |07 03 16.4638205400 -08 29 34.914407748|221.8348032214176 -01.2550742400658|  -0.306 -0.663   |10.22    |~                |    ~     ~    
975  |NGC 2323 18                        NGC 2323 18                                                                                                                                 |Star                                  |07 02 54.2605772472 -08 27 49.421562120|221.7668448680117 -01.3230110033113|  -0.665 -0.731   |10.50    |~                |    ~     ~    
976  |NGC 2323 230                       NGC 2323 230                                                                                                                                |Star                                  |07 02 52.0003572744 -08 28 11.482113000|221.7680303723476 -01.3340977097824|  -0.368 -0.457   |10.66    |~                |    ~     ~    
977  |Cl* NGC 2323 BSF 56                                                                                                                                                            |Star                                  |07 02 19.2631686048 -08 29 14.686753128|221.7219020229657 -01.4620958308507|  -1.129 -4.542   |10.61    |~                |    ~     ~    
978  |Cl* NGC 2323 CPL 36                                                                                                                                                            |Star                                  |07 01 57.8365931880 -08 26 33.962201700|221.6417898969844 -01.5202109582989|   0.188 -0.404   |10.85    |~                |    ~     ~    
979  |Cl* NGC 2323 CPL 37                                                                                                                                                            |Star                                  |07 01 49.4930167200 -08 22 40.051032636|221.5682537278505 -01.5210921925365|  -0.872 -0.666   |9.96     |~                |    ~     ~    
980  |BD-08 1680                                                                                                                                                                     |Star                                  |07 01 57.4428352104 -08 17 19.863021048|221.5041159705500 -01.4512795458760|  -0.272 -0.066   |9.90     |~                |    ~     ~    
981  |Cl* NGC 2323 CPL 41                                                                                                                                                            |Star                                  |07 02 12.4561694592 -08 20 58.476603588|221.5864521685846 -01.4240042707689|  -0.413 -0.444   |10.41    |~                |    ~     ~    
982  |Cl* NGC 2323 BSF 95                                                                                                                                                            |Star                                  |07 02 10.7092731096 -08 19 53.271146856|221.5670451599955 -01.4221247027567| 18.032 -18.660   |9.67     |~                |    ~     ~    
983  |Cl* NGC 2323 CPL 67                                                                                                                                                            |Star                                  |07 03 39.3590294736 -08 17 58.536672936|221.7060439581008 -01.0825842197421|  -1.118 -9.625   |10.44    |~                |    ~     ~    
984  |GSC 05381-00368                                                                                                                                                                |Double or Multiple Star               |07 03 16.8123043200 -08 17 02.594659092|221.6496391542833 -01.1581040120632|  -0.981 -0.647   |10.67    |~                |    ~     ~    
985  |Cl* NGC 2323 BSF 8                                                                                                                                                             |Star                                  |07 03 13.5369989184 -08 18 25.114678812|221.6638357963884 -01.1806058875492|  -0.916 -1.101   |10.93    |~                |    ~     ~    
986  |NGC 2323 67                        NGC 2323 67                                                                                                                                 |Star                                  |07 02 45.9471698448 -08 19 54.071369832|221.6337257934307 -01.2930469574317|  -0.933 -0.623   |10.51    |~                |    ~     ~    
987  |NGC 2323 151                       NGC 2323 151                                                                                                                                |Star                                  |07 02 37.0967927304 -08 24 07.362005148|221.6796020919044 -01.3576836290294|  -0.872 -0.728   |10.93    |~                |    ~     ~    
988  |NGC 2323 158                       NGC 2323 158                                                                                                                                |Star                                  |07 02 44.1175719024 -08 26 06.219821004|221.7222123302142 -01.3470605689878|  -0.390 -0.316   |10.37    |~                |    ~     ~    
989  |NGC 2323 7                         NGC 2323 7                                                                                                                                  |Star                                  |07 02 21.0913731264 -08 22 01.055850168|221.6182023298863 -01.4002994272968|  -0.339 -0.295   |10.78    |~                |    ~     ~    
990  |NGC 2323 169                       NGC 2323 169                                                                                                                                |Star                                  |07 02 58.7283152664 -08 25 55.708747464|221.7471840695694 -01.2921816914693|  -0.466 -0.303   |10.79    |~                |    ~     ~    
991  |NGC 2323 5                         NGC 2323 5                                                                                                                                  |Star                                  |07 02 20.8977195120 -08 19 59.319096060|221.5877577382180 -01.3855407739747|   -0.298 1.069   |10.36    |~                |    ~     ~    
