C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:51:47

Vmag< 11&dec< 0&rah >=7.0&rah< 7.25
-----------------------------------

Number of objects : 10182

  #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   
-----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------
31   |HD 293098                                                                                                                                                                      |Star                                  |07 04 34.0920573048 -01 08 24.962512308|215.4453777407066 +02.4000667700842|   -1.685 3.878   |9.34     |K5               |    ~     ~    
32   |HD 53335                                                                                                                                                                       |Star                                  |07 04 45.1033029504 -00 28 39.461883636|214.8764200928889 +02.7437746225684| 19.776 -20.384   |8.98     |F0V              |    ~     ~    
33   |HD 293230                                                                                                                                                                      |Star                                  |07 04 47.5767688656 -01 02 39.864059160|215.3857623435100 +02.4938617904837|  -13.754 4.780   |10.18    |K7               |    ~     ~    
34   |HD 53590                                                                                                                                                                       |Star                                  |07 05 32.6871449856 -00 47 15.583527060|215.2432155014683 +02.7783983326869| 13.535 -21.135   |7.37     |K0III            |    ~     ~    
35   |HD 53619                                                                                                                                                                       |Star                                  |07 05 37.9770873816 -01 12 18.426141792|215.6249499248956 +02.6070624544774|  -6.149 -5.381   |7.77     |K0III            |    ~     ~    
36   |HD 53666                                                                                                                                                                       |Star                                  |07 05 50.7414584760 -01 08 26.456024436|215.5919455169642 +02.6838250252977|  -1.044 -3.640   |8.99     |B9/A0IV          |    ~     ~    
37   |HD 53665                                                                                                                                                                       |High Proper Motion Star               |07 05 52.7706069072 -01 01 13.679726988|215.4887982171745 +02.7463371556172|28.195 -186.328   |7.26     |F6V              |    ~     ~    
38   |HD 53752                                                                                                                                                                       |Star                                  |07 06 14.9579829024 -00 35 03.985191852|215.1428712225501 +03.0279433591032|  9.010 -29.501   |8.96     |F2/3V            |    ~     ~    
39   |BD-00 1594                                                                                                                                                                     |Star                                  |07 06 19.9757056368 -00 51 51.673176216|215.4017112509153 +02.9185330007178|  -0.758 -0.698   |9.35     |A0               |    ~     ~    
40   |HD 53881                                                                                                                                                                       |Star                                  |07 06 40.4127726000 -01 01 16.305674520|215.5803617984737 +02.9224918460696|  -1.756 -8.209   |9.64     |A2IV/V           |    ~     ~    
41   |HD 293196                                                                                                                                                                      |Star                                  |07 06 55.3199527104 -00 26 55.318482636|215.0989639112605 +03.2395655215784|  3.387 -15.756   |9.94     |G0               |    ~     ~    
42   |HD 53971                                                                                                                                                                       |Star                                  |07 07 03.9684769128 -00 15 02.107219716|214.9389643539367 +03.3621737806198| -11.371 -1.523   |9.43     |A2III/IV         |    ~     ~    
43   |HD 293236                                                                                                                                                                      |Star                                  |07 07 03.8286991296 -00 51 41.382249372|215.4828569258794 +03.0823039278544|   5.895 -9.862   |9.30     |K5               |    ~     ~    
44   |HD 293025                                                                                                                                                                      |Star                                  |07 00 01.5259421016 -02 03 11.174971284|215.7383843930051 +00.9730892523405|   0.876 -9.206   |9.61     |G                |    ~     ~    
45   |HD 52239                                                                                                                                                                       |Star                                  |07 00 21.1902513936 -01 35 01.781780496|215.3583050319414 +01.2603542777341|   4.516 -6.753   |9.07     |A(pCrEu)         |    ~     ~    
46   |HD 292994                                                                                                                                                                      |Star                                  |07 00 26.8473339936 -01 30 26.340801588|215.3009962676167 +01.3162698737479|   -1.273 0.096   |10.49    |B9               |    ~     ~    
47   |HD 292992                                                                                                                                                                      |Star                                  |07 00 56.3823531624 -01 31 36.646239756|215.3745970532656 +01.4167745156083|   -4.785 2.524   |9.10     |K0               |    ~     ~    
48   |HD 52611                                                                                                                                                                       |Star                                  |07 01 52.9167104184 -01 20 45.179397744|215.3212270826455 +01.7089301260756| 12.775 -39.642   |6.189    |K2III            |    ~     ~    
49   |LF 9 -02 627                                                                                                                                                                   |Star                                  |07 01 51.3700074336 -01 20 52.825496892|215.3201713098557 +01.7022288412897|  -4.234 -2.751   |10.04    |G                |    ~     ~    
