C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:43:54

Vmag< 11&dec >=0&rah >=13.25&rah< 13.5
--------------------------------------

Number of objects : 2069

 #  |                                                                                                                     identifier                                                                                                                      |              typ               |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------
30  |BD+81 429                                                                                                                                                                                                                                            |Star                            |13 25 46.1240133264 +81 01 34.671312732|121.2832773156939 +35.9917906137590|  3.772 -11.649    |9.24     |K5               |    ~     ~    
31  |TYC 4564-1247-1                                                                                                                                                                                                                                      |Star                            |13 26 17.6760345120 +80 59 05.389582704|121.2497376292414 +36.0292858703310| -44.863 -1.819    |10.73    |~                |    ~     ~    
32  |HD 116257                                                                                                                                                                                                                                            |Star                            |13 15 23.7476498592 +83 54 20.110378104|122.1734629287763 +33.1873458766665|   4.873 -1.025    |8.50     |G5               |    ~     ~    
33  |HD 116736                                                                                                                                                                                                                                            |High Proper Motion Star         |13 18 08.1926406936 +83 53 56.759070372|122.0861868360616 +33.1852509787842|  -85.003 8.083    |7.54     |F2               |    ~     ~    
34  |BD+84 306                                                                                                                                                                                                                                            |Star                            |13 17 06.6167343768 +83 36 02.369485728|122.0759910689671 +33.4848750054714|   23.121 1.039    |10.83    |F5               |    ~     ~    
35  |BD+84 308                                                                                                                                                                                                                                            |Star                            |13 19 33.4926434280 +83 24 41.620710672|121.9651833268243 +33.6638270732352|  -46.418 2.196    |9.77     |G5               |    ~     ~    
36  |BD+84 309                                                                                                                                                                                                                                            |High Proper Motion Star         |13 20 52.2724171800 +83 28 48.738843228|121.9316264037699 +33.5907860546109|  -57.011 9.524    |9.50     |G0               |    ~     ~    
37  |BD+84 310                                                                                                                                                                                                                                            |Star                            |13 23 42.0009415896 +83 27 46.789133832|121.8331349091708 +33.5962879712332|    3.138 4.891    |8.65     |M0               |    ~     ~    
38  |HD 117655                                                                                                                                                                                                                                            |High Proper Motion Star         |13 24 38.8324768728 +83 18 30.647850336|121.7724857090196 +33.7448186705943|  25.501 91.804    |7.25     |G5               |    ~     ~    
39  |BD+84 312                                                                                                                                                                                                                                            |Star                            |13 24 27.7500671040 +83 28 08.577732288|121.8084982227818 +33.5870158360399|  11.444 -6.072    |10.26    |K2               |    ~     ~    
40  |BD+83 384                                                                                                                                                                                                                                            |High Proper Motion Star         |13 15 42.4234890408 +82 51 28.491538248|122.0212338531194 +34.2273749660769| 46.395 -43.302    |9.53     |G5               |    ~     ~    
41  |BD+83 385                                                                                                                                                                                                                                            |Double or Multiple Star         |13 15 38.387736 +82 55 58.34424        |122.034023259 +34.153137021        |       8.3 -3.1    |10.354   |F8               |    ~     ~    
42  |BD+83 386                                                                                                                                                                                                                                            |Star                            |13 22 55.9043193864 +83 08 26.890184112|121.8022670141154 +33.9182383445266|    6.536 6.262    |10.49    |F8               |    ~     ~    
43  |BD+83 388                                                                                                                                                                                                                                            |Star                            |13 28 35.9128735224 +82 52 57.588803868|121.5470541711916 +34.1453969741319|    8.884 4.935    |10.39    |G5               |    ~     ~    
44  |BD+82 387                                                                                                                                                                                                                                            |Star                            |13 15 00.3519954720 +81 51 00.030362472|121.9110856637268 +35.2314773386375| -14.403 -4.766    |10.34    |G0               |    ~     ~    
