C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:43:54

Vmag< 11&dec >=0&rah >=13.25&rah< 13.5
--------------------------------------

Number of objects : 2069

 #  |                                                                                                                     identifier                                                                                                                      |              typ               |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------
519 |HD 234028                                                                                                                                                                                                                                            |Star                            |13 17 39.0720531792 +51 21 24.035208192|113.1232979498825 +65.2694545509828|  -6.327 -2.209    |9.94     |F0               |    ~     ~    
520 |HD 115734                                                                                                                                                                                                                                            |High Proper Motion Star         |13 18 08.3378798472 +51 29 52.651808988|113.0298500155796 +65.1138780124132|-102.034 37.857    |9.24     |G5               |    ~     ~    
521 |HD 115300                                                                                                                                                                                                                                            |Star                            |13 15 30.8708484600 +50 49 57.677077776|113.6131672150353 +65.8577090602583|  12.164 -4.227    |9.11     |G5               |    ~     ~    
522 |HD 115706                                                                                                                                                                                                                                            |High Proper Motion Star         |13 18 04.7206384488 +50 26 46.773904632|112.4138692325063 +66.1343762947251| -95.095 -8.051    |7.950    |F2               |    ~     ~    
523 |HD 115979                                                                                                                                                                                                                                            |Spectroscopic Binary            |13 19 47.7928727712 +50 26 00.346648092|111.7540139485983 +66.0748814391844|-54.017 -21.591    |8.31     |K0               |    ~     ~    
524 |HD 116074                                                                                                                                                                                                                                            |Star                            |13 20 23.8797323616 +50 26 01.564293948|111.5272013382818 +66.0483543211691|  18.187 -9.721    |8.96     |K0               |    ~     ~    
525 |BD+51 1833                                                                                                                                                                                                                                           |Spectroscopic Binary            |13 20 20.8080226272 +51 14 59.903933568|112.0845356322974 +65.2650971072799| -64.362 33.430    |10.64    |~                |    ~     ~    
526 |BD+51 1834                                                                                                                                                                                                                                           |Star                            |13 21 23.9514390744 +50 50 09.829683672|111.4286113892872 +65.6177554519665|   -4.025 2.100    |10.21    |K0               |    ~     ~    
527 |HD 116530                                                                                                                                                                                                                                            |Star                            |13 23 18.1660115832 +50 24 36.620979120|110.4218657528882 +65.9370264973120| -9.860 -19.193    |9.13     |F8               |    ~     ~    
528 |HD 116567                                                                                                                                                                                                                                            |High Proper Motion Star         |13 23 25.1813261208 +51 03 57.695968332|110.8548431518165 +65.3057167502724| -58.399 23.171    |9.05     |G5               |    ~     ~    
529 |HD 116752                                                                                                                                                                                                                                            |Star                            |13 24 39.6743775072 +51 08 40.014642300|110.4675505393208 +65.1722264139713| -21.679 20.244    |8.81     |G0               |    ~     ~    
530 |HD 234036                                                                                                                                                                                                                                            |Star                            |13 24 56.0176844280 +51 07 34.832411436|110.3574498226102 +65.1763180561080|   2.477 -3.440    |8.85     |K5               |    ~     ~    
531 |HD 234038                                                                                                                                                                                                                                            |Star                            |13 26 07.9908778056 +50 38 01.539539772|109.5521531995343 +65.5836202396285|-40.036 -16.234    |9.23     |K0               |    ~     ~    
532 |HD 234039                                                                                                                                                                                                                                            |Star                            |13 26 11.4996312792 +50 53 25.669400640|109.7310023623560 +65.3377248464584|  37.270 -4.656    |10.41    |F8               |    ~     ~    
533 |HD 234040                                                                                                                                                                                                                                            |Double or Multiple Star         |13 26 47.5970 +50 42 41.711            |109.3750080 +65.4758678            |    -55.9 -47.8    |9.95     |F8               |    ~     ~    
534 |BD+50 1991                                                                                                                                                                                                                                           |Star                            |13 17 00.6299521176 +50 10 50.189820528|112.6580815667970 +66.4344420155580|  -22.330 8.791    |10.71    |G5               |    ~     ~    
535 |HD 115627                                                                                                                                                                                                                                            |Spectroscopic Binary            |13 17 35.4911895744 +49 45 36.393216012|112.1624351970823 +66.8176962557335|   -8.737 4.922    |8.08     |K2               |    ~     ~    
536 |HD 234035                                                                                                                                                                                                                                            |Star                            |13 24 35.5628555088 +49 59 19.702256964|109.6142519185280 +66.2734094189185|-11.927 -16.934    |9.66     |K2               |    ~     ~    
537 |HD 115518                                                                                                                                                                                                                                            |Star                            |13 16 54.6404069928 +49 41 16.448897724|112.3864935500558 +66.9155393113577| -45.180 16.561    |8.95     |F5               |    ~     ~    
538 |HD 234029                                                                                                                                                                                                                                            |Star                            |13 17 48.3609168720 +49 15 29.328782652|111.7400734331481 +67.2931650505198|-39.996 -10.162    |9.60     |A3               |    ~     ~    
539 |* 21 CVn                                                                                                                                                                                                                                             |alpha2 CVn Variable             |13 18 14.5095312384 +49 40 55.429204656|111.8526554742816 +66.8656185659537| -35.161 16.342    |5.15     |B9IV(Si)         |    ~     ~    
540 |BD+50 1996                                                                                                                                                                                                                                           |Spectroscopic Binary            |13 22 46.6544147256 +49 31 33.646802304|109.9491243157238 +66.8047694918340| -33.996 39.133    |10.69    |F5               |    ~     ~    
541 |StKM 1-1064                                                                                                                                                                                                                                          |Star                            |13 21 36.2925951888 +49 09 58.129504812|110.1340421327427 +67.2057256014278| -27.330 -7.296    |10.82    |K4               |    ~     ~    
542 |TYC 3462-253-1                                                                                                                                                                                                                                       |Star                            |13 18 03.5590244280 +50 34 26.032665036|112.5012358492978 +66.0117853403602| 27.476 -16.891    |10.42    |~                |    ~     ~    
543 |TYC 3462-766-1                                                                                                                                                                                                                                       |Star                            |13 17 07.0882085088 +50 27 27.864155124|112.7869858227025 +66.1616557765566|  -6.655 -4.993    |10.79    |~                |    ~     ~    
544 |TYC 3462-781-1                                                                                                                                                                                                                                       |High Proper Motion Star         |13 17 59.3285821536 +50 28 58.121557716|112.4709707368883 +66.1027328003389|-15.191 -115.043   |9.72     |~                |    ~     ~    
545 |TYC 3462-897-1                                                                                                                                                                                                                                       |High Proper Motion Star         |13 23 01.9815904848 +50 52 14.526329952|110.8558036839936 +65.5103075897852|  -70.685 3.111    |10.55    |~                |    ~     ~    
546 |TYC 3462-1095-1                                                                                                                                                                                                                                      |High Proper Motion Star         |13 17 30.8552173752 +51 08 58.822095768|113.0524114169176 +65.4754572018358| 52.026 -12.320    |10.83    |~                |    ~     ~    
547 |TYC 3462-1148-1                                                                                                                                                                                                                                      |High Proper Motion Star         |13 27 01.0349153784 +51 13 15.964762908|109.6936688236848 +64.9828927504030| -94.768 16.353    |10.84    |~                |    ~     ~    
548 |TYC 3462-1214-1                                                                                                                                                                                                                                      |Star                            |13 20 34.5445370472 +51 40 21.888409944|112.2702492854347 +64.8481133514742|-12.925 -16.571    |10.58    |~                |    ~     ~    
549 |TYC 3462-1268-1                                                                                                                                                                                                                                      |Star                            |13 19 12.5545448256 +51 43 32.543384592|112.7837353940899 +64.8518767325378|   7.311 -4.448    |10.40    |~                |    ~     ~    
550 |TYC 3462-2275-1                                                                                                                                                                                                                                      |Spectroscopic Binary            |13 19 41.9254970976 +49 59 34.369503612|111.4926765153801 +66.5029997322886|-27.021 -12.747    |10.81    |~                |    ~     ~    
551 |TYC 3462-2357-1                                                                                                                                                                                                                                      |High Proper Motion Star         |13 22 34.9736269152 +50 59 32.938767888|111.1048726297707 +65.4145895466675|  57.694 10.742    |10.56    |~                |    ~     ~    
552 |TYC 3462-2516-1                                                                                                                                                                                                                                      |Star                            |13 19 53.7671778264 +50 38 20.647816404|111.8530988842834 +65.8726185273779| -2.176 -10.410    |10.59    |~                |    ~     ~    
553 |TYC 3462-2529-1                                                                                                                                                                                                                                      |Spectroscopic Binary            |13 23 13.4738746080 +51 17 11.359698612|111.0792465081559 +65.1040178800725|  1.403 -24.704    |10.43    |~                |    ~     ~    
554 |TYC 3462-2644-1                                                                                                                                                                                                                                      |Star                            |13 18 56.4543670416 +51 40 28.990269732|112.8482205376243 +64.9117018122716|   2.243 -4.705    |10.58    |~                |    ~     ~    
555 |HD 117403                                                                                                                                                                                                                                            |Star                            |13 29 18.7362120528 +46 22 15.305897784|104.1544311656492 +69.3520806565945|   0.549 13.011    |8.15     |F4III            |    ~     ~    
556 |BD+47 2064                                                                                                                                                                                                                                           |Star                            |13 29 59.7336244248 +46 30 04.891430376|104.0059682720829 +69.1844150121455|   6.083 -2.743    |10.80    |A2               |    ~     ~    
557 |IRAS 13243+4604                                                                                                                                                                                                                                      |Star                            |13 26 29.2668977160 +45 49 05.680207344|104.7968741489017 +70.0560518942239|  -4.936 -7.741    |10.32    |~                |    ~     ~    
558 |TYC 3460-509-1                                                                                                                                                                                                                                       |Star                            |13 29 00.7311184728 +46 16 10.423101792|104.1689864971050 +69.4657967445798|   7.319 19.255    |10.76    |~                |    ~     ~    
559 |BD+49 2209                                                                                                                                                                                                                                           |Star                            |13 19 56.0177455656 +48 18 20.748367944|110.1496173556145 +68.1091362740916|  14.743 17.253    |9.85     |K0               |    ~     ~    
560 |HD 115953                                                                                                                                                                                                                                            |Double or Multiple Star         |13 19 45.5462727363 +47 46 40.905539555|109.7978837037957 +68.6215225655416|226.463 -23.813    |8.54     |M2V              |    ~     ~    
561 |HD 115953A                                                                                                                                                                                                                                           |Spectroscopic Binary            |13 19 45.583 +47 46 41.05              |109.797648 +68.621453              |        135 -27    |8.94     |~                |    ~     ~    
562 |HD 115953B                                                                                                                                                                                                                                           |High Proper Motion Star         |13 19 45.514 +47 46 40.92              |109.798123 +68.621546              |        135 -27    |9.71     |~                |    ~     ~    
563 |BD+48 2112                                                                                                                                                                                                                                           |Star                            |13 21 41.7824778264 +48 04 10.515679140|109.2027555539778 +68.2440526989542| 10.556 -21.908    |10.23    |F8               |    ~     ~    
564 |BD+48 2106                                                                                                                                                                                                                                           |Spectroscopic Binary            |13 18 39.5671542096 +47 28 48.969455844|110.0421068451925 +68.9609050367957| -94.406 24.523    |10.98    |K2               |    ~     ~    
565 |HD 115501                                                                                                                                                                                                                                            |Star                            |13 16 48.4483446576 +46 44 08.701052352|110.2875439466683 +69.7647235834648|   3.242 -1.717    |8.72     |K2               |    ~     ~    
566 |HD 115502                                                                                                                                                                                                                                            |High Proper Motion Star         |13 16 51.6285633960 +46 19 04.982103012|109.9118151381468 +70.1621979371669| 88.605 -31.136    |8.35     |F2               |    ~     ~    
567 |HD 115809                                                                                                                                                                                                                                            |High Proper Motion Star         |13 18 47.5872197568 +47 08 25.170534096|109.6984633622146 +69.2788280744481| -73.721 -4.540    |8.13     |F5               |    ~     ~    
568 |HD 115443                                                                                                                                                                                                                                            |High Proper Motion Star         |13 16 27.4933015632 +46 13 27.088224888|110.0283633108138 +70.2721334008344| -51.116 20.539    |8.88     |F5               |    ~     ~    
569 |BD+49 2220                                                                                                                                                                                                                                           |Red Giant Branch star           |13 29 25.3075763664 +48 22 37.614027612|106.2883766402665 +67.5052551204744|  -8.927 -2.411    |10.31    |K2               |    ~     ~    
570 |BD+48 2113                                                                                                                                                                                                                                           |Star                            |13 24 30.1083961248 +47 51 14.413502592|107.8130937015266 +68.2920015504343| -26.534 13.957    |9.93     |K2               |    ~     ~    
571 |BD+48 2115                                                                                                                                                                                                                                           |Star                            |13 25 50.5864991712 +47 59 21.909279624|107.3748581103128 +68.0862737977631|  -28.601 1.331    |9.79     |K0               |    ~     ~    
572 |HD 117098                                                                                                                                                                                                                                            |Variable Star                   |13 27 13.8669246888 +48 00 05.941947456|106.8081818459411 +67.9905776716554| -2.839 -33.903    |8.37     |K0               |    ~     ~    
573 |BD+48 2118                                                                                                                                                                                                                                           |Star                            |13 27 16.5270568512 +48 06 20.145293460|106.8919260270997 +67.8912279903708|-23.534 -28.637    |9.97     |F8               |    ~     ~    
574 |HD 117174                                                                                                                                                                                                                                            |Star                            |13 27 45.7352103192 +47 45 32.255407080|106.3438465006020 +68.1824108199693|  5.079 -36.520    |9.17     |K0               |    ~     ~    
575 |AG+48 1068                                                                                                                                                                                                                                           |Spectroscopic Binary            |13 27 45.3572127240 +47 45 46.732291380|106.3505724438736 +68.1790877533873|  5.904 -38.293    |8.89     |~                |    ~     ~    
576 |BD+48 2121                                                                                                                                                                                                                                           |Star                            |13 27 57.4724111280 +48 11 27.866786748|106.6957590456533 +67.7696381536823| -36.986 17.129    |9.29     |F0               |    ~     ~    
577 |HD 117377                                                                                                                                                                                                                                            |Star                            |13 29 01.6373108040 +47 50 49.779068172|105.9083513870575 +68.0195566320111|  -44.950 3.522    |7.05     |F5IVn            |    ~     ~    
578 |HD 116172                                                                                                                                                                                                                                            |Star                            |13 21 07.3328954568 +47 16 11.066991204|108.7545329786323 +69.0330081783016|  27.472 -5.041    |6.98     |K0III            |    ~     ~    
579 |BD+48 2116                                                                                                                                                                                                                                           |High Proper Motion Star         |13 26 36.5452425552 +47 25 24.424043664|106.4913796616401 +68.5663533367953| 20.814 -45.666    |9.64     |F8               |    ~     ~    
580 |BD+47 2046                                                                                                                                                                                                                                           |Star                            |13 18 36.3563783232 +46 18 07.369664364|109.0518516866462 +70.0871304422897| -32.009 23.464    |9.52     |G5               |    ~     ~    
581 |HD 115993                                                                                                                                                                                                                                            |Star                            |13 20 00.6395504160 +46 41 49.645273272|108.7449068463357 +69.6361810538155|   -4.455 6.573    |8.53     |K2               |    ~     ~    
582 |HD 116027                                                                                                                                                                                                                                            |Star                            |13 20 08.8890639288 +46 29 00.349850148|108.4827197875304 +69.8310530026615|  9.973 -42.177    |9.08     |G5               |    ~     ~    
583 |BD+47 2052                                                                                                                                                                                                                                           |High Proper Motion Star         |13 22 43.9484073048 +47 11 12.595392636|107.9571001250048 +69.0211109121295|-119.910 -13.746   |9.23     |G5               |    ~     ~    
584 |BD+47 2054                                                                                                                                                                                                                                           |Star                            |13 23 23.4874725648 +46 14 59.860838004|106.7250962457891 +69.8597838323479| -15.623 -1.922    |9.54     |A5               |    ~     ~    
585 |BD+47 2056                                                                                                                                                                                                                                           |Star                            |13 23 31.3317686736 +47 12 30.711528468|107.6262501200023 +68.9548281119029|  -14.768 6.249    |10.16    |A2               |    ~     ~    
586 |BD+47 2057                                                                                                                                                                                                                                           |Star                            |13 24 56.0934687456 +46 27 20.011745448|106.2266012364155 +69.5711071363247|-26.880 -14.586    |9.68     |F5               |    ~     ~    
587 |BD+47 2059                                                                                                                                                                                                                                           |High Proper Motion Star         |13 26 23.8835594736 +47 08 12.540881940|106.2879913903759 +68.8456111165069|-70.526 -10.250    |10.27    |G5               |    ~     ~    
588 |BD+47 2060                                                                                                                                                                                                                                           |High Proper Motion Star         |13 27 18.0689949984 +46 49 12.581606676|105.5547474974086 +69.0795282555660| -70.114 29.968    |9.150    |F8               |    ~     ~    
589 |HD 116531                                                                                                                                                                                                                                            |Star                            |13 23 20.5454317512 +46 07 21.457309440|106.6146432786960 +69.9816365428113|  8.146 -15.306    |7.68     |K0               |    ~     ~    
590 |HD 116957                                                                                                                                                                                                                                            |Star                            |13 26 16.6023316056 +46 01 41.004770628|105.1370247355973 +69.8777506216560| 30.325 -19.264    |5.873    |K0III:           |    ~     ~    
591 |V* BR CVn                                                                                                                                                                                                                                            |Long-Period Variable            |13 23 05.4894912888 +47 00 07.176394584|107.6192002436862 +69.1739692302226| -14.724 15.922    |6.72     |M4III            |    ~     ~    
592 |TYC 3460-125-1                                                                                                                                                                                                                                       |Star                            |13 24 34.4249892168 +47 34 18.631546824|107.5150133903720 +68.5522797871185|  -33.710 9.375    |10.31    |~                |    ~     ~    
593 |TYC 3460-136-1                                                                                                                                                                                                                                       |Star                            |13 29 31.0610454528 +47 46 06.873622032|105.6235232067552 +68.0596789258129|  3.197 -22.370    |10.62    |~                |    ~     ~    
594 |TYC 3460-234-1                                                                                                                                                                                                                                       |High Proper Motion Star         |13 28 33.0316773168 +48 17 40.471741752|106.5570397282988 +67.6366759234912|-100.540 -22.052   |10.89    |~                |    ~     ~    
595 |TYC 3460-359-1                                                                                                                                                                                                                                       |Spectroscopic Binary            |13 29 00.2031515664 +48 03 25.559293392|106.1340801351424 +67.8274813838716| -0.099 -34.191    |10.62    |~                |    ~     ~    
596 |TYC 3460-361-1                                                                                                                                                                                                                                       |High Proper Motion Star         |13 23 18.7467055680 +48 32 25.570236300|108.9266241250683 +67.7118894911752|-15.983 -57.256    |10.72    |~                |    ~     ~    
597 |TYC 3460-366-1                                                                                                                                                                                                                                       |Star                            |13 24 16.4033503560 +48 17 10.330659096|108.3052478748959 +67.8988799655915|-22.824 -11.231    |10.04    |~                |    ~     ~    
598 |TYC 3460-482-1                                                                                                                                                                                                                                       |Star                            |13 24 27.7940700072 +46 00 57.893418144|105.9716971885269 +70.0093294393800|  12.252 -9.227    |10.54    |~                |    ~     ~    
599 |BD+49 2210                                                                                                                                                                                                                                           |Double or Multiple Star         |13 23 20.392248 +48 20 57.65028        |108.750008879 +67.891006908        |      -16.5 0.7    |10.877   |~                |    ~     ~    
600 |TYC 3460-551-1                                                                                                                                                                                                                                       |Star                            |13 26 43.9525184808 +47 37 45.922868616|106.6470242310688 +68.3673677833774|   5.055 -8.444    |10.64    |~                |    ~     ~    
601 |TYC 3460-683-1                                                                                                                                                                                                                                       |Star                            |13 27 48.0839390832 +47 21 24.859535688|105.9114897511059 +68.5515817958498|  -12.418 9.270    |10.73    |~                |    ~     ~    
602 |TYC 3460-878-1                                                                                                                                                                                                                                       |Spectroscopic Binary            |13 25 17.1991491408 +46 46 31.897250508|106.4041817517536 +69.2515309079137|    5.409 4.281    |9.77     |~                |    ~     ~    
603 |TYC 3460-1032-1                                                                                                                                                                                                                                      |Star                            |13 20 29.4436327656 +47 50 14.633539332|109.5269615756840 +68.5276019982025| -25.165 -5.070    |10.43    |~                |    ~     ~    
604 |TYC 3460-1094-1                                                                                                                                                                                                                                      |Star                            |13 17 52.7278190352 +47 32 48.158519172|110.4468947749101 +68.9354552661420| 16.261 -16.712    |10.34    |~                |    ~     ~    
605 |TYC 3460-1372-1                                                                                                                                                                                                                                      |Star                            |13 17 19.9604200416 +47 03 07.011124308|110.2993076227707 +69.4360683676589|  8.605 -20.294    |10.79    |~                |    ~     ~    
606 |TYC 3460-1760-1                                                                                                                                                                                                                                      |Spectroscopic Binary            |13 16 51.7705479072 +46 47 14.429460804|110.3036318399285 +69.7125648316774| -41.672 -2.219    |10.34    |~                |    ~     ~    
607 |TYC 3460-2042-1                                                                                                                                                                                                                                      |Star                            |13 20 28.5277780368 +47 53 47.259177144|109.5830713951598 +68.4721758407922|  -3.239 -9.435    |10.81    |~                |    ~     ~    
608 |TYC 3460-2138-1                                                                                                                                                                                                                                      |Spectroscopic Binary            |13 18 44.8859922240 +46 45 12.372503256|109.3863944211078 +69.6499868266449|  36.600 28.096    |10.15    |~                |    ~     ~    
609 |TYC 3460-2178-1                                                                                                                                                                                                                                      |High Proper Motion Star         |13 15 28.7824793592 +46 29 55.043817036|110.7325913294255 +70.0560055810257| -42.799 27.418    |10.38    |~                |    ~     ~    
610 |TYC 3460-2275-1                                                                                                                                                                                                                                      |High Proper Motion Star         |13 22 23.1303936744 +46 23 49.556063904|107.3467365515987 +69.7834180459170|  -51.194 1.193    |10.18    |~                |    ~     ~    
611 |TYC 3460-2374-1                                                                                                                                                                                                                                      |Star                            |13 17 33.2768543808 +46 24 24.449793516|109.6519371736209 +70.0422256708283| -43.009 15.528    |10.68    |~                |    ~     ~    
612 |TYC 3460-2392-1                                                                                                                                                                                                                                      |High Proper Motion Star         |13 20 28.5134524536 +46 17 27.270483936|108.1449172652465 +69.9947174988360| -57.343 19.290    |10.64    |~                |    ~     ~    
613 |TYC 3460-2402-1                                                                                                                                                                                                                                      |High Proper Motion Star         |13 18 04.4429624808 +46 43 08.482356012|109.6737726317484 +69.7175662375202|-61.692 -27.784    |10.64    |~                |    ~     ~    
614 |TYC 3460-2404-1                                                                                                                                                                                                                                      |Star                            |13 17 00.1238705760 +46 22 27.739996392|109.8911972149563 +70.1012055164456|    9.193 8.181    |10.45    |~                |    ~     ~    
615 |TYC 3460-2425-1                                                                                                                                                                                                                                      |Star                            |13 17 52.6141502376 +47 14 50.441316252|110.2072162648161 +69.2223273617842|  -15.857 0.763    |10.30    |~                |    ~     ~    
616 |NGC 5195                           NGC 5195                                                                                                                                                                                                          |Galaxy in Pair of Galaxies      |13 29 59.590 +47 15 58.06              |104.881595 +68.488024              |            ~ ~    |9.55     |~                | 5.89  4.68    
617 |TYC 3460-464-1                                                                                                                                                                                                                                       |Star                            |13 27 33.5983504008 +46 53 02.610831012|105.5103030829858 +69.0034476159086|-27.944 -22.961    |10.91    |~                |    ~     ~    
618 |TYC 3460-377-1                                                                                                                                                                                                                                       |High Proper Motion Star         |13 28 27.2787249552 +46 30 06.146163792|104.6879674784887 +69.2933703065359|-130.743 -30.562   |10.37    |~                |    ~     ~    
619 |M 51                               NGC 5194                           NAME OKM2018 SWIFT J1329.9+4719    NAME Whirlpool                     NAME Question Mark Galaxy          NAME Whirlpool Galaxy              M 51                               |Galaxy in Pair of Galaxies      |13 29 52.698 +47 11 42.93              |104.851585 +68.560702              |            ~ ~    |8.36     |~                |10.00  7.59    
620 |BD+49 2208                                                                                                                                                                                                                                           |High Proper Motion Star         |13 18 24.5168830512 +48 54 19.978222572|111.2445216452980 +67.6061299614507|-107.593 -13.504   |9.34     |G5               |    ~     ~    
621 |HD 115750                                                                                                                                                                                                                                            |Spectroscopic Binary            |13 18 26.0217731520 +48 21 38.701930860|110.8326480970311 +68.1283819345769|   4.036 -6.179    |9.21     |A2               |    ~     ~    
622 |BD+48 2102                                                                                                                                                                                                                                           |High Proper Motion Star         |13 17 24.0805007856 +48 11 14.561541780|111.1484570919256 +68.3425142658407| -61.038 -2.338    |9.88     |F8               |    ~     ~    
623 |BD+48 2100                                                                                                                                                                                                                                           |Star                            |13 17 04.9468989024 +47 39 58.822790868|110.8978871123189 +68.8582442238932|   -6.692 8.554    |10.26    |K0               |    ~     ~    
624 |BD+49 2204                                                                                                                                                                                                                                           |Star                            |13 15 13.38 +48 37 53.5                |112.39747 +68.00734                |            ~ ~    |10.2     |~                |    ~     ~    
